"","RochePt","Rosslare","Shannon","Dublin","Clones","MalinHead"
"61",7.41,8,8.87,6.83,8.96,17.92
"62",11.12,11.79,13.13,16,16,24.79
"63",14.09,15.12,14.54,13.42,15.67,13.7
"64",5.37,10.13,6.67,12.12,10.46,15.63
"65",19.83,22.34,17.41,18.75,19.17,21
"66",14,15.37,15.04,11.67,14.46,19.55
"67",10.21,8.17,10.46,12.83,10.88,15.59
"68",17.79,13,17.75,19.33,18.12,24.21
"69",8.21,10.04,3.42,5.13,2.67,4.92
"70",8.96,21.92,8.79,9.79,7.79,4.96
"71",5.75,8.96,6.38,2.62,3.04,2.25
"72",7.08,6.58,10.37,7.79,8.83,10.25
"73",15.96,14.75,13.75,14.67,12.96,10.67
"74",5.21,5.79,4,4.29,4.54,8.54
"75",18.84,13.25,16.83,14.67,13.88,20.67
"76",12.75,8.63,14.04,8.71,5.66,11.29
"77",32.96,26.67,23.75,19.83,17.25,33.87
"78",25.12,20.71,21.21,22.5,15.34,8.92
"79",22.21,20.46,16.58,17.29,18.54,21.59
"80",13.88,12.12,14.33,18.29,15.37,14.09
"81",11.25,8.71,9.17,2.71,3,3.63
"82",19.04,15.34,15.21,11.12,15,16.54
"83",12.54,18.54,10.54,12.96,10.92,21.37
"84",21.34,17.79,17.67,13.79,17.96,19.12
"85",16.66,16,12.58,10.67,10.08,17.25
"86",16.88,25.8,19.41,22.54,18.63,32.88
"87",13.79,10.63,12.17,7.58,9.46,14.92
"88",17.12,17.58,12.62,10.71,12.08,14.46
"89",7.71,4.83,6.58,4.75,5.83,11.58
"90",22.37,20.88,21.17,19.7,18.12,22.37
"91",10.96,10.83,9.46,7.54,8.5,9.33
"92",3.54,5.46,4.71,4.29,5.25,12.54
"93",11.75,12.38,9.71,8.04,9.59,9.83
"94",8.71,11.42,4.96,8.71,8.5,13.17
"95",14.5,9.71,10.21,9.13,8.79,13.42
"96",6.58,7.04,8.38,1.75,4.04,9.79
"97",5.66,10.21,4.83,9.25,10.21,14.96
"98",15.87,26.2,6.58,10.21,9.96,17.5
"99",13.08,14.12,6.58,10.79,7.83,17.75
"100",3.71,7.21,3.54,5.58,3.08,7.83
"101",7.92,7.71,2.5,5.66,2.75,12.08
"102",5.79,5.79,4.75,6,5.58,12.42
"103",14.71,14.33,17.46,21.04,16.33,28.04
"104",3.79,6.75,1.25,5.88,3.54,10
"105",11.58,12.58,10.41,8.38,11.75,25.41
"106",16.42,13.92,21.71,19.55,15.75,23.75
"107",23.54,19.7,17.16,20.38,20.41,28.67
"108",13.17,6.92,11.96,6.92,8.79,18.46
"109",9.38,11.71,8.54,5.88,6.34,12.92
"110",9.5,14.29,10.34,13.46,15.25,15.71
"111",7.08,10.67,5.96,5.17,5.41,9.25
"112",5.29,6.96,5.13,5.41,6.21,12.46
"113",10.75,8.12,11.21,6.54,8.63,12.87
"114",9.54,12.96,2.62,7.75,5.83,8.25
"115",20.62,13.13,13.54,11.29,12.42,19.38
"116",5.75,2.79,5.33,3.96,3.21,8.63
"117",12.25,9.38,10.17,7.29,8.58,20.83
"118",9.54,5.75,8.67,4.29,5.63,12.87
"119",7.79,5.58,4.88,3,2.21,8.42
"120",12.67,8.21,9.5,10.08,9.17,18.96
"121",13.79,10.88,7.92,9.38,9.17,11.75
"122",14.71,11.54,7.25,11,8.96,17.21
"123",26.3,23.09,16.42,17.92,16.96,19.58
"124",20.12,18.66,16,12.5,15.09,19.08
"125",21,16.79,20.21,12.29,8.54,10.29
"126",9.25,9.42,5.09,4.75,3.46,6.96
"127",17.21,14.17,19.17,13.75,11.08,16.71
"128",14.58,11,14.5,11.63,10.54,17.62
"129",21.67,16.88,22.29,12.42,13,18.41
"130",4.33,3.46,3.25,7.21,4.38,7.12
"131",14.33,10.88,11,7.87,8.75,15.96
"132",13.25,11.08,9.5,7.38,6.17,6.04
"133",14.5,11.29,12.75,15.04,13.21,20.12
"134",20.67,20.46,11.5,12.08,9.54,10.92
"135",2.58,6.25,4.12,1.46,3,10.63
"136",17.92,9.13,15.67,10.71,10.88,16.71
"137",4.96,8.71,4.75,3.21,3.67,5.21
"138",10.58,7.33,10.21,6.38,8,12.21
"139",10.34,12.58,6,3.96,4.17,11.63
"140",18.16,17.5,20.62,18.21,15.96,26.92
"141",8.92,7.87,7.5,2,2.75,7.83
"142",11.67,7.87,11.08,5.63,5.5,10.25
"143",5.41,4.21,6.42,8.5,5.79,12.96
"144",19.75,22.54,12.87,14.79,14.21,25.96
"145",6.71,7.46,4.5,5.46,3.79,13.25
"146",16.38,27.37,11.38,13.79,8.79,13.42
"147",4.29,4.42,5.54,6.75,4.71,13.59
"148",28.33,27.04,23,21.87,23.83,40.41
"149",7.46,9.54,4.46,2.92,4.08,10
"150",11.17,7.54,10.5,9.67,6.87,12.33
"151",15.96,16.58,13.88,11,8.83,12.46
"152",13.83,9.46,13.59,17.04,12,19.12
"153",15.16,11.17,14,18.16,11.38,27.84
"154",9.79,8.25,5.75,6.96,5.88,9.29
"155",20.12,22,14.54,18.54,16.38,31.13
"156",9.08,10.54,5.46,7.08,7.04,11.42
"157",8.25,13.59,6.96,7.38,6.13,8.54
"158",7.12,5.91,6.34,4.79,3.08,7.54
"159",5.29,5.88,6.5,4.96,5.37,11.92
"160",6.13,6.29,4.63,1.79,2.37,4.67
"161",5.41,7.29,6.5,3.04,3.04,5.54
"162",10.17,8.08,13,12.17,10.46,23.16
"163",8.29,7.71,9.5,4.88,2.21,6.71
"164",11.21,10.13,10.37,3.79,8.79,12.29
"165",4.17,6,4.12,4.71,3.13,9.04
"166",6.21,9.46,7.25,3.96,4.42,12.46
"167",16.92,15.21,11.58,11.75,12.58,16.08
"168",18.63,15.67,12.38,9.33,11.63,15.29
"169",20.08,18.63,14.37,15.34,15.92,20.83
"170",5.58,5.75,5.96,10.67,7.71,20.91
"171",18.84,12.96,12.5,14.58,12.46,32.5
"172",17.62,13.7,21.25,17.88,12.08,22.71
"173",18.25,13.67,14.09,12.25,7.29,26.5
"174",12.62,8.83,8.71,12.83,7.75,19.87
"175",17.92,17.58,16.46,10.58,10.58,22.75
"176",5.04,5.37,7.5,4.42,1.96,10.92
"177",12.12,13.59,11.79,10,10,21.54
"178",30.29,24,22.54,22.04,18.66,23.16
"179",13.83,11.12,12.38,12.29,9.5,20
"180",6.5,5.83,3.5,1.75,1.38,17.04
"181",10.08,8.67,9.62,5.54,6.87,12.67
"182",9.04,6,7.41,10.75,9.54,16.21
"183",17.33,12.38,19.29,21.09,17.71,26.83
"184",8.33,5.09,9.87,4,8.87,14.83
"185",13.83,12.17,17,13.67,16.62,22.79
"186",7.25,7.38,6.04,6.58,9.08,17.58
"187",4.42,4.12,6.42,4.63,3.92,11.21
"188",10,8,13.29,11.08,7.25,19
"189",3.79,1.87,5.5,1.87,2.04,7.71
"190",10.88,9.04,14.17,9.38,7,13.59
"191",8.75,7.83,7.54,5.37,5.66,7.46
"192",5.66,6.63,4.92,2.42,3.75,8.5
"193",5.58,10.34,3.92,5.96,3.08,9.13
"194",17.12,11.46,19.38,13.33,8.63,12.12
"195",15,15.54,18.38,13.42,15.09,23.79
"196",14.04,12.46,11.87,8,8.12,13.88
"197",2.37,4.54,2.08,4.46,1.87,7.87
"198",19.5,14.62,17.71,9.87,11,21.25
"199",10.54,11.34,6.34,8.67,7.46,15
"200",14.71,16.54,10.67,11.63,13.88,19.5
"201",8.17,6.17,7,9.25,7,20.33
"202",9.54,15.21,4.63,7.83,4.67,22.75
"203",6.13,5.41,2.54,8.5,6.34,16.71
"204",11.63,12.12,5.79,9.67,7.67,20.12
"205",12.58,22.25,10.67,11.21,6.92,7.5
"206",21.12,18.66,14.88,16.17,15.71,30.71
"207",5.75,6.42,4.5,5.46,2.21,10.21
"208",7.46,6.38,11.63,5.04,10.83,18.54
"209",4.08,8.33,9.13,6.87,4.42,4.08
"210",6.34,8.87,6.58,5.46,7.17,11.29
"211",8.92,8.12,6,5.17,3.79,12
"212",11.96,13.37,12.25,9.38,8.92,16.83
"213",7.92,7.12,10.67,12.38,8.38,20.5
"214",8.63,3.13,7.67,3.71,3.75,7.62
"215",9.96,9.21,10.71,8.42,4.5,13.17
"216",14.37,13.54,14.88,9.59,13.62,16.83
"217",12.87,9.75,14.25,10.08,10.08,18.46
"218",16.79,11.17,10.41,9.54,10.21,16.92
"219",5.79,15.21,5.91,6.34,5.13,11.38
"220",3.83,10,5.09,3.75,4.33,7.41
"221",8.83,11.17,6.04,7.46,7.25,22.46
"222",7.04,6.75,10.46,11.58,8.5,25.17
"223",18.25,12.25,19.41,18.16,14,29.46
"224",9.13,9.08,8.12,2.58,4.75,34.08
"225",12.83,8.46,5.41,6.21,3.92,10.96
"226",12.71,10.75,2.71,5.25,2.79,9.5
"227",10.46,10.83,4.75,12.33,6.21,20.21
"228",7.92,8.12,2.5,10.34,6.08,16.66
"229",7.96,8.25,3.92,4.63,2.54,8.5
"230",22.79,14.29,12.71,11.21,12.08,26.46
"231",6.38,6.46,5.13,4.25,5,16.08
"232",11.92,11.17,7.17,8,10.04,21.42
"233",17.29,15.5,9.21,9.71,12.33,16.29
"234",11.46,9.38,10.92,11,12.12,14.04
"235",13.33,8.33,13.42,12.04,11.83,20.96
"236",11.08,7.29,3.37,2.42,0.79,3.08
"237",4.96,4.5,5.5,2.62,5.25,6.54
"238",10.17,12.17,5.17,5.37,3.5,6.75
"239",4.88,8.71,3.5,0.37,0.04,4.12
"240",4.08,7.58,2.54,1.25,2.67,5.04
"241",13.25,10.79,12.71,5.58,6.83,14.46
"242",7.5,5.09,8,3.17,5.37,10.58
"243",11.71,12.04,10.67,4.67,9.79,15.5
"244",16.71,15.25,14.62,9.21,6.34,13.67
"245",6,9.62,6.25,6.79,1.96,14.37
"246",16.58,14.46,12.54,9.83,14.17,20.17
"247",12.25,10.54,9.92,12.62,11.21,18.66
"248",13.54,25.5,9.75,8.63,9,10.46
"249",7.17,20.83,8.29,7.75,5.09,10.41
"250",14.58,11.58,12.33,7.41,3.37,10.34
"251",10.75,11.29,13,10.21,8.5,16.66
"252",8.04,6.29,4.25,3.88,1.87,9.08
"253",9.21,9.17,9.21,7.25,4.29,20.54
"254",5.21,8.79,5.91,5.37,3.83,10.25
"255",11.04,8.67,10.63,5.46,7.71,15.12
"256",4.92,4.46,3.92,6,4.58,14.67
"257",10,6.83,6,2.92,2.71,5.71
"258",10.21,10.63,8.33,7.12,3.88,10.13
"259",18.71,17.08,14.37,15.12,16.13,12.38
"260",7.75,10.5,4.92,6.21,3.25,14.42
"261",9.29,9.33,6.83,7.58,6.42,18.29
"262",11.34,9.33,14.17,12.17,8.71,16.83
"263",13.25,19.12,11.34,13.25,7.75,15.46
"264",14.46,16.17,12.58,17,15.59,28.33
"265",11.25,10.34,8.08,6.92,4.38,12.29
"266",20.21,16.92,11.83,13.96,11.5,22.67
"267",12.92,12.92,7.71,8.04,6.29,13.37
"268",9.04,8.67,11.46,6.5,5.66,13.25
"269",18.12,17.16,20.12,19.29,14.83,23.91
"270",8.38,14.04,5.54,6.29,3.92,10.67
"271",28.79,23.63,33.04,24.5,17.79,29.5
"272",19,14.25,15.29,10.83,12.08,20.12
"273",6.92,7.04,5.25,5.09,4.75,9.87
"274",14.04,13.25,10.13,9.83,7.38,13.62
"275",3.75,4.67,1.54,2.62,1.42,6.75
"276",10.34,10.41,5.5,6.13,3.13,9.87
"277",8.54,8.67,4.79,5.96,4.63,11.67
"278",10.41,5.75,1.42,3.5,1.08,7.46
"279",8.67,11.54,3.88,5.75,2.08,12.83
"280",8.79,14.83,7.29,10.5,3.04,8.33
"281",4.92,6.38,3.17,3.88,3.5,10.71
"282",8.71,7.87,6,9.96,5.66,22.63
"283",11.38,11.46,11.75,15.29,8.21,12.54
"284",24.13,20.62,17.37,15.92,16.38,26.54
"285",19.04,21.42,12.29,18.41,9.79,14.5
"286",30.42,17.08,14.17,14.33,11.54,16.04
"287",12.17,6.21,8.38,3.13,1.21,7.79
"288",22,18.05,17.16,12.96,11.46,17.12
"289",10.34,8.92,9.42,12.87,8.08,14.5
"290",13.67,9.21,11.17,2.79,2.33,9.59
"291",6.42,11.83,3.96,6.58,4.33,9.17
"292",16.71,14.83,8.87,11.46,10.54,22
"293",9.67,11.12,5.33,4.08,2.92,9.92
"294",7.12,9,7.96,5.37,5.75,12.29
"295",10.37,11.54,11.17,8.17,10.41,15.46
"296",14.21,10.25,8.29,5.96,7.71,13.17
"297",15.34,10.92,11.92,7.54,10.79,14.92
"298",5.29,4.67,6,7,5.29,6.46
"299",12.75,10.37,9.33,7.54,6.58,14
"300",8.96,10.58,8.29,5.63,8.04,18.12
"301",9.46,15.5,6.08,6.79,3.5,9.92
"302",18.84,24.67,10.17,10.21,9.04,20.75
"303",16.46,10.37,16.88,7.5,7.25,14.33
"304",14.21,9.08,10.88,14.21,9.62,22.04
"305",13.59,12.08,9.75,7.41,6.04,15.87
"306",6.96,6.54,9.21,11.96,8.79,18.91
"307",25.7,21.37,16.88,13.67,12.58,20.62
"308",13.46,13.88,10.08,8.71,12.25,19.58
"309",4.17,7.41,5.41,7,3.58,10.67
"310",18.96,18.63,13,12.54,11.58,17.54
"311",15.79,16.71,10.92,8.12,8.54,14.58
"312",12.04,10.08,8.54,4.25,7,11.17
"313",9.38,18.46,8.29,6.75,3.5,4.33
"314",17.21,12.21,14.29,13.7,13.13,17.08
"315",12.42,16.25,12.12,14.54,10.96,18.75
"316",15.54,13.29,13.96,8.92,11.67,17.5
"317",20.12,14.04,13.75,11.54,9.42,17.29
"318",12.46,18,6.38,8.42,5.66,8.54
"319",13.79,6.79,8.92,5.91,7.71,14.62
"320",8.29,10.21,8.38,7.83,5.96,13.5
"321",7.96,7.04,6.87,4.92,4.83,8.87
"322",7.46,9.67,4.58,7.46,4.38,9.62
"323",23.79,13.92,17.62,15.59,8.5,26.34
"324",16.29,14.62,8.96,11.87,6.87,21.59
"325",16.38,19.12,10.67,13.13,9.25,24.25
"326",14.67,9.79,8.54,9.71,3.33,6.17
"327",14.42,11.63,15.79,13.13,10.5,19.67
"328",25.12,13.96,24.58,25.46,19.08,38.25
"329",25.84,20.88,25.92,25.33,16.88,25.96
"330",11.58,8.75,12.62,10.88,5.09,13.29
"331",33.12,25.88,21.79,19.62,21.54,28.71
"332",18.34,14.25,13.83,14.58,10.83,22.17
"333",11.67,13.46,10.17,10,5.79,12.92
"334",9.5,7.21,6.79,5.33,5.83,14.54
"335",8.5,8.75,7.08,10.88,8.79,10.58
"336",21.84,15,16,17.71,20.54,33.04
"337",14.88,8.08,9.46,12.83,10.34,18.41
"338",12.33,10.37,8.33,9.08,9.75,14
"339",18.46,15.96,12.83,10,7.62,10.58
"340",8.75,6.29,5.96,3.08,4.75,12.12
"341",15,14.75,12.75,10.46,12.58,20.46
"342",12.12,10,9.13,9.42,7.87,16.38
"343",7.21,6.46,6.25,5.09,3.88,7.79
"344",10.25,13.75,5.17,9.25,5,16.46
"345",3.25,4.38,1.83,5.09,3.54,12.46
"346",17.79,16.5,19.38,14,12.5,24.41
"347",15.63,13.83,14,9.46,8.29,15.09
"348",15.25,15.16,10.79,12.46,11.34,19.12
"349",9.75,8.25,12.33,11.67,8.75,22.46
"350",11.04,7.79,5.71,7.08,3.88,9.79
"351",8.75,5.96,5.33,10.46,6.75,17.21
"352",10.58,7.96,8.04,10.88,11.46,21.25
"353",11.46,14,7.21,12.79,10.75,18.79
"354",6.13,3.42,7.5,6.5,4.04,11.42
"355",7.58,7.33,7.96,6.87,7.58,13.67
"356",20.91,14.09,15.87,15,15.25,25.04
"357",10.29,14.37,6.25,9.96,4.63,7.5
"358",15.92,14.09,13,8.29,7.54,12.71
"359",5.37,6.54,2.13,4.29,2.5,6.79
"360",7.75,10.71,6.04,11.92,6.58,18.46
"361",10.41,11.04,9.67,10.04,10.17,13.67
"362",4.46,4.92,3.21,3.42,4.88,20.25
"363",15.75,12.54,15.71,9.04,8.58,11.08
"364",6.42,5.75,3.37,5.63,3.83,11.67
"365",6.04,5.41,3.92,3.46,2.29,10.58
"366",9.42,7.71,5.96,8.63,4.25,11.25
"367",9.83,8.12,4.29,10.04,5.63,15.16
"368",23.33,22.67,17.83,20.54,18.88,32.08
"369",5.66,5.33,4.29,3.08,1.79,8.17
"370",7.21,8.33,7.21,5.66,5.54,15.83
"371",13.5,7.83,10.75,6.96,5.63,8.79
"372",4.58,7.5,0.87,0.92,3.13,6.17
"373",10.83,7.79,9.83,8.08,7.33,15.67
"374",7.62,9.38,3.46,7.83,5.75,12.42
"375",16,13.37,14.09,15.46,9.5,14.92
"376",9.04,7.87,4.79,11.67,8.58,23.42
"377",8.75,11.83,11.25,12.17,10.71,22.95
"378",10.17,9.92,4.5,4.75,2.92,10.79
"379",16.38,15.54,11.12,9.21,11.34,17.75
"380",11.75,10.08,11.96,12.25,3.58,27.84
"381",27.5,20.21,17,18.34,17.54,23.54
"382",8.63,7.25,7.21,11.17,9.46,16.46
"383",13.13,14.54,9.67,14.29,11.04,15.37
"384",20.3,20.04,21.25,26.42,18.71,22.63
"385",14.29,12.54,10.54,13.21,8.79,13.08
"386",13.7,9.42,15.92,14.37,10.75,21.96
"387",16.88,11.58,14.37,14.09,10.54,14.88
"388",5.09,13,4,10.17,4.67,9.92
"389",7.96,13.5,4.12,12.5,4.38,15.04
"390",8,12.58,5.37,7.58,4.29,9.96
"391",14.12,27.25,10.88,16,10.04,20.79
"392",11.92,18.66,9.87,11.08,9.29,16.62
"393",8.5,18,6.34,10,7.46,9.62
"394",4.83,12.54,4.88,4,1.46,4.88
"395",4.63,14.33,5,6.79,3.08,5.04
"396",18.79,15.92,13.21,15.5,15.25,19.04
"397",8.92,7,7.54,5,4.08,9.71
"398",19.83,15.46,21.34,21.09,16.46,29.63
"399",20.33,17.25,21.71,20.3,15.04,28.84
"400",16.75,12.25,16.38,18.5,14.46,29.67
"401",9.75,9.08,9.75,10.88,9.04,17.37
"402",14.62,13.75,10.88,11.83,9.79,12.58
"403",11.79,8.54,12.17,13.25,11.17,24.96
"404",14.71,16.58,11.92,15.75,14,33.45
"405",14.62,10.5,14.21,17.08,11.67,27.92
"406",14.88,12.12,13.75,17.33,9.83,22.63
"407",15.75,14.37,14.42,13.5,11.5,18.41
"408",27.25,18.16,27.54,20.96,17.5,21.12
"409",14.67,13.5,10.21,13.33,7.79,17.79
"410",15.34,15.83,12.25,13,10.17,19.79
"411",18.71,16.71,13.88,14.92,13.42,20.41
"412",22.88,19.67,20.79,20.17,15.16,27.84
"413",17.12,16.04,10.96,11.79,10.71,22.71
"414",6.29,3.58,6.71,3.33,2.25,12.17
"415",4.75,6.79,6.08,3.88,5.54,7.33
"416",10.04,9.21,13.25,9.29,8.58,16.08
"417",7.17,8.46,7.54,1.71,2.5,8.25
"418",13.83,6.83,10.13,7.58,7.04,13.08
"419",12.67,10.54,12.92,9.33,8.12,19.29
"420",8,6.58,7.38,4.08,6.17,10.63
"421",11.83,10.58,8.04,6.25,6.67,13.79
"422",8.42,9.87,3.21,7.25,6.5,15.96
"423",5.25,6.38,6.04,8.25,7.54,19.92
"424",15.41,12.83,11.29,11.29,15.37,20.04
"425",18.91,13.29,13.29,12.62,12.58,23.87
"426",9.67,10.88,8.25,3.42,8.96,17.21
"427",18.79,14.62,12.29,16.5,14.54,24.33
"428",14.83,10.34,7.41,7.17,5.71,13.59
"429",14.46,10.17,9.59,4.38,9.13,22.95
"430",9.92,7.21,11,8.38,10.21,17.96
"431",12.92,11.25,6.5,10.34,6.75,17.33
"432",9.92,12.38,3.5,4.54,4.71,10.29
"433",13.21,13.46,8.12,14.33,18.05,41.46
