"","rat","locality","sex","weight","PCA0","PCA4"
"111",111,"Loc2","F",187,88.5,53
"112",112,"Loc2","F",375,84.3,88
"113",113,"Loc2","F",209,80.1,75.8
"114",114,"Loc2","F",250,60.5,62.6
"115",115,"Loc2","F",216,75.8,87.4
"116",116,"Loc2","F",277,55.9,62.3
"117",117,"Loc2","F",328,69.8,86.8
"118",118,"Loc2","F",222,76.2,50.5
"119",119,"Loc2","F",235,167.9,74.5
"120",120,"Loc2","F",242,86.8,117.7
"121",121,"Loc2","F",279,80.7,72.3
"122",122,"Loc2","F",288,67.4,67.2
"123",123,"Loc2","F",345,67.6,61.4
"124",124,"Loc2","M",289,103,82
"125",125,"Loc2","M",161,117,143
"126",126,"Loc2","M",89,134,161
"127",127,"Loc2","M",364,82,86
"128",128,"Loc2","M",161,153,179
"129",129,"Loc2","M",522,142.9,45.9
"130",130,"Loc2","M",391,93.7,92.2
"131",131,"Loc2","M",333,78.9,38
"132",132,"Loc2","M",380,77.7,22.9
"133",133,"Loc2","M",254,117.2,61.8
"134",134,"Loc2","M",341,78.2,28.4
"135",135,"Loc2","M",290,89.5,71
"136",136,"Loc2","M",218,105.5,44.3
"137",137,"Loc2","M",458,73.4,23.5
"138",138,"Loc2","M",306,71,22.7
"139",139,"Loc2","M",457,76.8,13.1
"140",140,"Loc2","M",241,94.9,61.2
"141",141,"Loc2","M",462,90,22.6
"142",142,"Loc2","M",415,92.7,35
"143",143,"Loc2","M",441,84.4,22.7
"144",144,"Loc2","M",230,53.3,45.6
"145",145,"Loc2","M",277,70,54.1
"146",146,"Loc2","M",288,90.9,76.4
"147",147,"Loc2","M",232,99.6,82.6
"148",148,"Loc2","M",372,66.4,41.1
"149",149,"Loc2","M",321,49,29.4
"150",150,"Loc2","M",387,105.9,85.6
"151",151,"Loc2","M",494,86,52.7
"152",152,"Loc2","M",311,53.1,38.5
"153",153,"Loc2","M",364,80.5,71.7
"154",154,"Loc2","M",437,95.3,57.6
"155",155,"Loc2","M",324,86.9,54.2
"156",156,"Loc2","M",319,114.6,74
"157",157,"Loc2","M",350,104.2,95
"158",158,"Loc2","M",330,84,71.4
