"","u1","u2","u3","u4","u5","u6","u7","u8","g"
"164","4","2","3","3","3","3","2","3","female"
"165","3","4","3","4","3","4","5","4","female"
"166","3","2","2","2","3","2","3","3","female"
"167","5","4","3","3","2","4","4","3","female"
"168","2","2","1","2","1","2","1","1","female"
"169","2","3","3","3","5","4","5","4","female"
"170","1","3","1","3","1","2","2","1","female"
"171","1","1","1","3","3","3","3","3","female"
"172","1","3","1","2","3","2","1","2","female"
"173","1","2","3","2","3","3","5","5","female"
"174","5","4","3","3","5","5","5","5","female"
"175","4","4","4","2","4","4","3","3","female"
"176","2","3","2","2","4","1","2","1","female"
"177","2","5","3","3","3","2","3","2","female"
"178","3","2","2","3","3","3","3","4","female"
"179","2","2","4","3","2","3","2","2","female"
"180","4","3","4","4","5","5","5","4","female"
"181","3","3","3","2","4","2","3","3","female"
"182","2","3","2","3","2","1","3","3","female"
"183","3","2","3","3","4","3","3","3","female"
"184","3","3","3","2","3","4","3","4","female"
"185","3","2","2","4","3","4","4","2","female"
"186","1","1","1","1","3","3","3","3","female"
"187","3","2","3","2","3","2","3","3","female"
"188","4","4","3","4","3","3","3","3","female"
"189","1","2","2","1","2","2","1","2","female"
"190","3","2","2","2","4","4","4","3","female"
"191","3","2","2","3","4","4","5","5","female"
"192","3","2","2","3","4","5","3","5","female"
"193","3","4","3","2","3","3","3","1","female"
"194","2","2","1","2","3","2","2","2","female"
"195","3","3","4","4","3","3","5","1","female"
"196","3","1","2","3","3","3","2","2","female"
"197","4","3","3","2","3","3","4","2","female"
"198","3","2","2","2","4","3","4","5","female"
"199","2","2","2","2","4","3","4","4","female"
"200","3","2","3","1","2","3","1","4","female"
