"","15-24 (79)","25-34 (79)","35-44 (79)","45-54 (79)","55-64 (79)","65-74 (79)","75-84 (79)","85-94 (79)","95 and more (79)","15-24 (06)","25-34 (06)","35-44 (06)","45-54 (06)","55-64 (06)","65-74 (06)","75-84 (06)","85-94 (06)","95 and more (06)"
"Malignant tumour of the liver and intrahepatic biliary tract",12,38,60,374,736,1394,1085,291,11,10,22,119,489,1295,2228,2485,736,67
"Malignant tumour of the oesophogus",0,7,161,951,1286,1714,1094,205,12,0,7,44,518,920,1013,970,342,23
"Malignant tumour of the of the colon",10,39,114,556,1130,2898,3541,1257,48,4,17,135,538,1421,2572,4641,2486,346
"Malignant tumour of the of the pancreas",4,13,97,356,751,1566,1379,403,19,3,5,101,586,1376,2146,2754,1163,129
"Malignant tumour of the prostate",3,2,7,65,415,2076,3052,926,31,1,0,1,74,509,1634,3982,2449,287
"Malignant tumour of the rectum and anus",5,26,70,330,680,1645,1630,562,32,3,15,60,255,656,954,1492,746,85
"Malignant tumour of the stomach",7,33,134,508,1117,2829,3277,1073,42,3,30,107,360,649,1061,1648,823,82
"Meningitis ",19,18,29,41,64,97,72,22,0,5,4,8,11,15,28,33,15,0
"Meningococal disease",13,3,3,5,6,8,6,0,0,8,0,1,1,0,4,2,0,0
"Other accidents",1447,1085,940,1413,1240,1873,1994,854,75,238,346,524,840,979,1280,3116,3880,1229
"Other chronic respiritory illnesses",17,25,67,320,736,2406,3965,1968,176,2,1,26,154,446,1253,3058,2248,463
"Other congenital defects and chromosomal abnormalities ",14,20,8,19,19,27,29,9,0,30,31,42,95,113,49,50,36,1
"Other digestive conditions",86,239,406,1080,1602,4081,6776,3571,251,28,57,224,604,946,1842,4912,4844,1148
"Other diseases of the nervous system and sensory organs",239,200,259,542,865,2720,4785,2298,148,167,214,455,837,1334,2884,10105,9267,1572
"Other diseases of the osteo-articular system + muscles and connecting tissue",17,15,26,62,101,258,357,174,15,11,16,28,66,155,369,1061,966,238
"Other endocrinological, metabolic and nutritional conditions ",31,40,101,264,366,1059,2251,1715,203,56,65,90,315,411,750,2072,2767,1109
"Other external injury and poisoning ",28,33,48,86,121,282,290,126,9,14,28,42,90,132,288,631,424,59
"Other genito-urinary diseases ",4,13,16,43,96,483,1182,663,52,1,1,7,12,46,170,655,762,181
"Other heart disease",111,233,461,1414,2611,9569,21946,16044,1716,75,126,331,921,1685,3801,12888,17627,5738
"Other ill-defined symptoms and conditions",41,75,116,276,511,1635,5641,7330,1500,42,126,346,752,1077,1746,4943,7920,4253
"Other illnesses relating to circulation ",107,196,400,1308,2470,7347,12203,6672,515,43,84,303,833,1826,3874,10855,10389,2512
"Other infectious diseases and parasites",54,72,89,230,389,986,1479,692,54,32,32,95,260,537,1009,2578,2371,507
"Other malignent tumours",218,332,664,2275,3583,6793,6675,2588,134,137,234,609,2346,4248,5664,7943,3833,533
"Other psychological and behavioural disorders ",13,22,27,57,65,615,1757,1116,77,19,39,122,266,374,794,3731,6029,2037
"Other respiratory ailments",66,102,142,564,989,2949,5356,3622,407,32,32,70,236,541,1437,4265,4243,1286
"Other tumours",67,95,166,416,640,1112,1111,443,27,39,45,141,300,564,1010,2192,1713,318
"Pneumonia",20,27,58,138,195,713,2005,1693,208,13,17,79,211,296,721,2890,4014,1402
"Rhumatoid arthritis and osteoarthritis",2,5,6,22,45,202,295,125,3,0,1,0,4,14,99,231,176,54
"Road accidents",3439,1666,1195,1328,966,1117,757,135,4,1214,785,646,599,443,362,454,137,8
"Suicides",909,1552,1308,1707,1444,1676,1113,231,12,522,1141,1972,2293,1524,1211,1223,454,45
"Tuberculosis",8,38,84,234,314,605,578,201,8,3,5,11,23,51,82,314,215,23
"Unknown or unspecified causes",645,789,844,1519,1606,2907,3703,2090,253,227,476,928,1517,1585,1487,2446,2298,872
"Viral hepatitis",19,13,15,37,46,84,87,28,0,0,9,76,117,94,143,224,61,6
