"","class","FL","RW","CL","CW","BD"
"48","BM",19.8,14.2,43.2,49.7,18.6
"49","BM",19.8,14.3,42.4,48.9,18.3
"50","BM",21.3,15.7,47.1,54.6,20
"51","BF",7.2,6.5,14.7,17.1,6.1
"52","BF",9,8.5,19.3,22.7,7.7
"53","BF",9.1,8.1,18.5,21.6,7.7
"54","BF",9.1,8.2,19.2,22.2,7.7
"55","BF",9.5,8.2,19.6,22.4,7.8
"56","BF",9.8,8.9,20.4,23.9,8.8
"57","BF",10.1,9.3,20.9,24.4,8.4
"58","BF",10.3,9.5,21.3,24.7,8.9
"59","BF",10.4,9.7,21.7,25.4,8.3
"60","BF",10.8,9.5,22.5,26.3,9.1
"61","BF",11,9.8,22.5,25.7,8.2
"62","BF",11.2,10,22.8,26.9,9.4
"63","BF",11.5,11,24.7,29.2,10.1
"64","BF",11.6,11,24.6,28.5,10.4
"65","BF",11.6,11.4,23.7,27.7,10
"66","BF",11.7,10.6,24.9,28.5,10.4
"67","BF",11.9,11.4,26,30.1,10.9
"68","BF",12,10.7,24.6,28.9,10.5
"69","BF",12,11.1,25.4,29.2,11
"70","BF",12.6,12.2,26.1,31.6,11.2
"71","BF",12.8,11.7,27.1,31.2,11.9
"72","BF",12.8,12.2,26.7,31.1,11.1
"73","BF",12.8,12.2,27.9,31.9,11.5
"74","BF",13,11.4,27.3,31.8,11.3
"75","BF",13.1,11.5,27.6,32.6,11.1
"76","BF",13.2,12.2,27.9,32.1,11.5
"77","BF",13.4,11.8,28.4,32.7,11.7
"78","BF",13.7,12.5,28.6,33.8,11.9
"79","BF",13.9,13,30,34.9,13.1
"80","BF",14.7,12.5,30.1,34.7,12.5
"81","BF",14.9,13.2,30.1,35.6,12
"82","BF",15,13.8,31.7,36.9,14
"83","BF",15,14.2,32.8,37.4,14
"84","BF",15.1,13.3,31.8,36.3,13.5
"85","BF",15.1,13.5,31.9,37,13.8
"86","BF",15.1,13.8,31.7,36.6,13
"87","BF",15.2,14.3,33.9,38.5,14.7
"88","BF",15.3,14.2,32.6,38.3,13.8
"89","BF",15.4,13.3,32.4,37.6,13.8
"90","BF",15.5,13.8,33.4,38.7,14.7
"91","BF",15.6,13.9,32.8,37.9,13.4
"92","BF",15.6,14.7,33.9,39.5,14.3
"93","BF",15.7,13.9,33.6,38.5,14.1
"94","BF",15.8,15,34.5,40.3,15.3
"95","BF",16.2,15.2,34.5,40.1,13.9
"96","BF",16.4,14,34.2,39.8,15.2
"97","BF",16.7,16.1,36.6,41.9,15.4
"98","BF",17.4,16.9,38.2,44.1,16.6
"99","BF",17.5,16.7,38.6,44.5,17
"100","BF",19.2,16.5,40.9,47.9,18.1
"101","OM",9.1,6.9,16.7,18.6,7.4
"102","OM",10.2,8.2,20.2,22.2,9
"103","OM",10.7,8.6,20.7,22.7,9.2
"104","OM",11.4,9,22.7,24.8,10.1
"105","OM",12.5,9.4,23.2,26,10.8
"106","OM",12.5,9.4,24.2,27,11.2
"107","OM",12.7,10.4,26,28.8,12.1
"108","OM",13.2,11,27.1,30.4,12.2
"109","OM",13.4,10.1,26.6,29.6,12
"110","OM",13.7,11,27.5,30.5,12.2
"111","OM",14,11.5,29.2,32.2,13.1
"112","OM",14.1,10.4,28.9,31.8,13.5
"113","OM",14.1,10.5,29.1,31.6,13.1
"114","OM",14.1,10.7,28.7,31.9,13.3
"115","OM",14.2,10.6,28.7,31.7,12.9
"116","OM",14.2,10.7,27.8,30.9,12.7
"117","OM",14.2,11.3,29.2,32.2,13.5
"118","OM",14.6,11.3,29.9,33.5,12.8
"119","OM",14.7,11.1,29,32.1,13.1
"120","OM",15.1,11.4,30.2,33.3,14
"121","OM",15.1,11.5,30.9,34,13.9
"122","OM",15.4,11.1,30.2,33.6,13.5
"123","OM",15.7,12.2,31.7,34.2,14.2
"124","OM",16.2,11.8,32.3,35.3,14.7
"125","OM",16.3,11.6,31.6,34.2,14.5
"126","OM",17.1,12.6,35,38.9,15.7
"127","OM",17.4,12.8,36.1,39.5,16.2
"128","OM",17.5,12,34.4,37.3,15.3
"129","OM",17.5,12.7,34.6,38.4,16.1
"130","OM",17.8,12.5,36,39.8,16.7
"131","OM",17.9,12.9,36.9,40.9,16.5
"132","OM",18,13.4,36.7,41.3,17.1
"133","OM",18.2,13.7,38.8,42.7,17.2
"134","OM",18.4,13.4,37.9,42.2,17.7
"135","OM",18.6,13.4,37.8,41.9,17.3
"136","OM",18.6,13.5,36.9,40.2,17
"137","OM",18.8,13.4,37.2,41.1,17.5
"138","OM",18.8,13.8,39.2,43.3,17.9
"139","OM",19.4,14.1,39.1,43.2,17.8
"140","OM",19.4,14.4,39.8,44.3,17.9
"141","OM",20.1,13.7,40.6,44.5,18
"142","OM",20.6,14.4,42.8,46.5,19.6
"143","OM",21,15,42.9,47.2,19.4
"144","OM",21.5,15.5,45.5,49.7,20.9
"145","OM",21.6,15.4,45.7,49.7,20.6
"146","OM",21.6,14.8,43.4,48.2,20.1
"147","OM",21.9,15.7,45.4,51,21.1
"148","OM",22.1,15.8,44.6,49.6,20.5
"149","OM",23,16.8,47.2,52.1,21.5
"150","OM",23.1,15.7,47.6,52.8,21.6
"151","OF",10.7,9.7,21.4,24,9.8
"152","OF",11.4,9.2,21.7,24.1,9.7
"153","OF",12.5,10,24.1,27,10.9
"154","OF",12.6,11.5,25,28.1,11.5
"155","OF",12.9,11.2,25.8,29.1,11.9
"156","OF",14,11.9,27,31.4,12.6
"157","OF",14,12.8,28.8,32.4,12.7
"158","OF",14.3,12.2,28.1,31.8,12.5
"159","OF",14.7,13.2,29.6,33.4,12.9
"160","OF",14.9,13,30,33.7,13.3
"161","OF",15,12.3,30.1,33.3,14
"162","OF",15.6,13.5,31.2,35.1,14.1
"163","OF",15.6,14,31.6,35.3,13.8
"164","OF",15.6,14.1,31,34.5,13.8
"165","OF",15.7,13.6,31,34.8,13.8
"166","OF",16.1,13.6,31.6,36,14
"167","OF",16.1,13.7,31.4,36.1,13.9
"168","OF",16.2,14,31.6,35.6,13.7
"169","OF",16.7,14.3,32.3,37,14.7
"170","OF",17.1,14.5,33.1,37.2,14.6
"171","OF",17.5,14.3,34.5,39.6,15.6
"172","OF",17.5,14.4,34.5,39,16
"173","OF",17.5,14.7,33.3,37.6,14.6
"174","OF",17.6,14,34,38.6,15.5
"175","OF",18,14.9,34.7,39.5,15.7
"176","OF",18,16.3,37.9,43,17.2
"177","OF",18.3,15.7,35.1,40.5,16.1
"178","OF",18.4,15.5,35.6,40,15.9
"179","OF",18.4,15.7,36.5,41.6,16.4
"180","OF",18.5,14.6,37,42,16.6
"181","OF",18.6,14.5,34.7,39.4,15
"182","OF",18.8,15.2,35.8,40.5,16.6
"183","OF",18.9,16.7,36.3,41.7,15.3
"184","OF",19.1,16,37.8,42.3,16.8
"185","OF",19.1,16.3,37.9,42.6,17.2
"186","OF",19.7,16.7,39.9,43.6,18.2
"187","OF",19.9,16.6,39.4,43.9,17.9
"188","OF",19.9,17.9,40.1,46.4,17.9
"189","OF",20,16.7,40.4,45.1,17.7
"190","OF",20.1,17.2,39.8,44.1,18.6
"191","OF",20.3,16,39.4,44.1,18
"192","OF",20.5,17.5,40,45.5,19.2
"193","OF",20.6,17.5,41.5,46.2,19.2
"194","OF",20.9,16.5,39.9,44.7,17.5
"195","OF",21.3,18.4,43.8,48.4,20
"196","OF",21.4,18,41.2,46.2,18.7
"197","OF",21.7,17.1,41.7,47.2,19.6
"198","OF",21.9,17.2,42.6,47.4,19.5
"199","OF",22.5,17.2,43,48.7,19.8
"200","OF",23.1,20.2,46.2,52.5,21.1
