"","Year","Date","Block","Treatment","Plot","Sp1","Sp2","Sp3","Sp4","Sp5","Sp6","Sp7","Sp8","Sp9","Sp10","Sp11","Sp12"
"41","1",2,1,"Iso","Iso1",0,1,0,0,0,0,0,0,0,0,0,0
"42","1",2,2,"Iso","Iso2",0,0,1,0,0,0,0,0,1,0,0,0
"43","1",2,3,"Iso","Iso3",0,6,0,9,0,0,0,0,0,0,0,0
"44","1",2,4,"Iso","Iso4",0,0,0,0,0,0,0,0,1,0,0,0
"45","1",2,5,"Iso","Iso5",0,0,0,0,0,0,0,0,4,0,0,0
"46","1",2,6,"Iso","Iso6",0,1,0,0,0,0,0,3,0,1,0,0
"47","1",2,7,"Iso","Iso7",0,1,0,0,0,0,0,1,0,0,0,0
"48","1",2,8,"Iso","Iso8",0,1,1,0,0,0,0,0,2,0,0,0
"49","2",1,1,"GM","GM1",0,80,10,0,0,0,0,1,1,0,0,0
"50","2",1,2,"GM","GM2",0,8,12,0,0,0,0,0,0,0,0,0
"51","2",1,3,"GM","GM3",0,0,6,0,0,0,0,0,0,0,0,0
"52","2",1,4,"GM","GM4",0,22,18,0,0,0,0,0,0,0,0,0
"53","2",1,5,"GM","GM5",0,10,5,0,0,0,0,0,0,0,0,0
"54","2",1,6,"GM","GM6",0,12,3,0,0,1,0,1,0,0,0,0
"55","2",1,7,"GM","GM7",0,5,0,0,0,0,0,0,0,0,0,0
"56","2",1,8,"GM","GM8",0,6,1,0,0,0,0,0,0,0,0,0
"57","2",1,1,"Ins","Ins1",0,1,0,0,0,0,0,0,0,0,0,0
"58","2",1,2,"Ins","Ins2",0,11,0,0,0,0,0,0,0,0,0,0
"59","2",1,3,"Ins","Ins3",0,1,0,0,0,0,0,0,0,0,0,0
"60","2",1,4,"Ins","Ins4",0,7,0,0,0,0,0,0,0,0,0,0
"61","2",1,5,"Ins","Ins5",0,0,0,0,0,0,0,0,0,0,0,0
"62","2",1,6,"Ins","Ins6",0,3,0,0,0,0,0,0,0,0,0,0
"63","2",1,7,"Ins","Ins7",0,3,0,0,0,0,0,0,0,0,0,0
"64","2",1,8,"Ins","Ins8",0,5,0,0,0,0,0,0,0,0,0,0
"65","2",1,1,"Iso","Iso1",0,4,0,0,0,0,0,0,0,0,0,0
"66","2",1,2,"Iso","Iso2",0,0,1,0,0,0,0,0,0,0,0,0
"67","2",1,3,"Iso","Iso3",0,35,10,0,0,0,0,0,0,0,0,0
"68","2",1,4,"Iso","Iso4",0,16,15,0,0,0,0,0,0,0,0,0
"69","2",1,5,"Iso","Iso5",0,6,2,0,0,0,0,0,0,0,0,0
"70","2",1,6,"Iso","Iso6",0,25,0,0,0,0,0,0,0,0,0,0
"71","2",1,7,"Iso","Iso7",0,12,3,0,0,0,0,0,0,0,0,0
"72","2",1,8,"Iso","Iso8",0,1,5,0,0,0,0,0,0,0,0,0
"73","2",2,1,"GM","GM1",0,8,1,0,0,0,0,0,1,0,0,1
"74","2",2,2,"GM","GM2",0,29,0,0,0,0,0,1,0,0,0,0
"75","2",2,3,"GM","GM3",0,3,1,0,0,0,0,0,0,0,0,0
"76","2",2,4,"GM","GM4",0,42,1,0,0,0,0,1,0,0,0,0
"77","2",2,5,"GM","GM5",0,20,1,0,0,0,0,3,0,0,0,0
"78","2",2,6,"GM","GM6",0,13,0,0,0,0,0,0,0,0,0,0
"79","2",2,7,"GM","GM7",0,23,0,0,0,0,0,0,0,0,0,0
"80","2",2,8,"GM","GM8",0,10,0,0,0,0,0,0,1,0,0,0
"81","2",2,1,"Ins","Ins1",0,1,1,0,0,0,0,0,0,0,0,0
"82","2",2,2,"Ins","Ins2",0,3,0,0,0,0,0,0,0,0,0,0
"83","2",2,3,"Ins","Ins3",0,3,0,0,0,0,0,0,0,0,0,0
"84","2",2,4,"Ins","Ins4",0,2,0,0,0,0,0,0,0,0,0,0
"85","2",2,5,"Ins","Ins5",0,1,0,0,0,0,0,0,0,0,0,0
"86","2",2,6,"Ins","Ins6",0,0,0,0,0,0,0,0,0,0,0,0
"87","2",2,7,"Ins","Ins7",0,10,0,0,0,0,0,0,0,0,0,0
"88","2",2,8,"Ins","Ins8",0,0,0,0,0,0,0,0,0,0,0,0
"89","2",2,1,"Iso","Iso1",0,1,0,0,0,0,0,0,0,0,0,0
"90","2",2,2,"Iso","Iso2",0,0,0,0,0,0,0,0,0,0,0,0
"91","2",2,3,"Iso","Iso3",0,15,2,0,0,0,0,0,1,0,0,0
"92","2",2,4,"Iso","Iso4",0,1,0,0,0,0,0,0,0,0,0,0
"93","2",2,5,"Iso","Iso5",0,7,1,0,0,0,0,0,0,0,0,0
"94","2",2,6,"Iso","Iso6",0,3,0,0,0,0,0,0,0,0,0,0
"95","2",2,7,"Iso","Iso7",0,16,1,0,0,0,0,0,0,0,0,0
"96","2",2,8,"Iso","Iso8",0,15,1,0,0,0,0,0,0,0,0,0
"97","3",1,1,"GM","GM1",4,12,0,0,0,0,0,0,0,0,0,0
"98","3",1,2,"GM","GM2",8,15,9,0,0,0,0,0,0,0,0,0
"99","3",1,3,"GM","GM3",2,11,2,0,0,0,0,0,0,0,0,0
"100","3",1,4,"GM","GM4",4,10,1,0,0,0,0,0,0,0,0,0
"101","3",1,5,"GM","GM5",3,32,5,0,0,0,0,0,0,0,0,0
"102","3",1,6,"GM","GM6",11,17,2,0,0,0,0,0,0,0,0,0
"103","3",1,7,"GM","GM7",16,13,1,0,0,3,0,0,0,0,0,0
"104","3",1,8,"GM","GM8",10,3,0,0,0,0,0,0,0,0,0,0
"105","3",1,1,"Ins","Ins1",0,0,0,0,0,0,0,0,0,0,0,0
"106","3",1,2,"Ins","Ins2",0,1,0,0,0,0,0,0,0,0,0,0
"107","3",1,3,"Ins","Ins3",0,1,0,0,0,0,0,0,0,0,0,0
"108","3",1,4,"Ins","Ins4",0,0,0,0,0,0,0,0,0,0,0,0
"109","3",1,5,"Ins","Ins5",0,4,0,0,0,0,0,0,0,0,0,0
"110","3",1,6,"Ins","Ins6",0,6,0,0,0,0,0,0,0,0,0,0
"111","3",1,7,"Ins","Ins7",0,5,0,0,0,0,0,0,0,0,0,0
"112","3",1,8,"Ins","Ins8",0,2,0,0,0,0,0,0,0,0,0,0
"113","3",1,1,"Iso","Iso1",4,8,0,0,0,0,0,1,0,0,0,0
"114","3",1,2,"Iso","Iso2",2,7,0,0,0,0,0,0,0,0,0,0
"115","3",1,3,"Iso","Iso3",13,33,1,0,0,0,0,1,0,0,0,0
"116","3",1,4,"Iso","Iso4",3,14,3,0,0,0,0,0,0,0,0,0
"117","3",1,5,"Iso","Iso5",19,25,2,0,0,0,0,0,0,0,0,0
"118","3",1,6,"Iso","Iso6",8,32,0,0,0,0,0,0,0,0,0,0
"119","3",1,7,"Iso","Iso7",26,32,0,0,0,0,0,0,0,0,0,0
"120","3",1,8,"Iso","Iso8",8,11,1,0,0,1,0,0,0,0,0,0
"121","3",2,1,"GM","GM1",0,7,5,0,0,0,0,0,0,0,0,0
"122","3",2,2,"GM","GM2",0,1,2,0,0,0,0,0,0,0,0,0
"123","3",2,3,"GM","GM3",3,9,4,0,0,0,0,0,0,0,0,0
"124","3",2,4,"GM","GM4",1,2,4,0,0,0,0,0,0,0,0,0
"125","3",2,5,"GM","GM5",1,5,13,0,0,0,0,0,0,0,0,0
"126","3",2,6,"GM","GM6",0,5,0,0,0,0,0,0,1,0,0,0
"127","3",2,7,"GM","GM7",0,4,0,0,0,0,0,0,0,0,0,0
"128","3",2,8,"GM","GM8",0,0,0,0,0,0,0,0,0,0,0,0
"129","3",2,1,"Ins","Ins1",0,1,0,0,0,0,0,0,0,0,0,0
"130","3",2,2,"Ins","Ins2",0,1,0,0,0,0,0,0,0,0,0,0
"131","3",2,3,"Ins","Ins3",0,2,0,0,0,0,0,0,0,0,0,0
"132","3",2,4,"Ins","Ins4",0,1,0,0,0,0,0,0,0,0,0,0
"133","3",2,5,"Ins","Ins5",0,0,0,0,0,0,0,0,0,0,0,0
"134","3",2,6,"Ins","Ins6",0,0,0,0,0,0,0,0,0,0,0,0
"135","3",2,7,"Ins","Ins7",0,1,0,0,0,0,0,0,0,0,0,0
"136","3",2,8,"Ins","Ins8",1,2,0,0,0,0,0,0,0,0,0,0
"137","3",2,1,"Iso","Iso1",0,5,1,0,0,0,0,0,0,0,0,0
"138","3",2,2,"Iso","Iso2",0,9,1,0,0,0,0,0,0,0,0,0
"139","3",2,3,"Iso","Iso3",1,13,8,0,0,0,0,0,0,0,0,0
"140","3",2,4,"Iso","Iso4",0,17,1,0,0,0,0,1,1,0,0,0
"141","3",2,5,"Iso","Iso5",0,4,1,0,0,0,0,0,0,0,0,0
"142","3",2,6,"Iso","Iso6",0,1,0,0,0,0,0,0,0,0,0,0
"143","3",2,7,"Iso","Iso7",0,4,3,0,0,0,0,0,2,0,0,0
"144","3",2,8,"Iso","Iso8",0,0,0,0,0,0,0,0,0,0,0,0
