"","Y","F","R"
"107",4.07981538860484,"F2","R4"
"108",3.8367142486087,"F2","R4"
"109",4.79255326143767,"F2","R4"
"110",4.79330318070181,"F2","R4"
"111",4.24878158667621,"F2","R4"
"112",4.60338377848002,"F2","R4"
"113",3.52158325775354,"F3","R4"
"114",3.9770468879428,"F3","R4"
"115",3.39077132046048,"F3","R4"
"116",4.13199160541144,"F3","R4"
"117",5.15575648984859,"F3","R4"
"118",5.5801742316936,"F3","R4"
"119",4.12527498110422,"F3","R4"
"120",3.99990198309865,"F3","R4"
"121",3.3330907921472,"F4","R4"
"122",4.77245146159982,"F4","R4"
"123",4.84010549603171,"F4","R4"
"124",5.70783433811584,"F4","R4"
"125",4.6607104454376,"F4","R4"
"126",4.62170853994131,"F4","R4"
"127",5.43435880620935,"F4","R4"
"128",4.46408931229904,"F4","R4"
"129",5.73803410625193,"F1","R5"
"130",4.48971894987795,"F1","R5"
"131",7.2400658007291,"F1","R5"
"132",3.59342766347314,"F1","R5"
"133",2.86446301817647,"F1","R5"
"134",5.33902541247538,"F1","R5"
"135",4.10466302338962,"F1","R5"
"136",3.41551204057461,"F1","R5"
"137",6.14366579241894,"F2","R5"
"138",5.80485947736634,"F2","R5"
"139",5.86157289951625,"F2","R5"
"140",5.55622120228579,"F2","R5"
"141",4.77526476550093,"F2","R5"
"142",3.95895891600838,"F2","R5"
"143",4.29752323858544,"F2","R5"
"144",3.92179349377258,"F2","R5"
"145",6.88544200466663,"F3","R5"
"146",2.72180826728176,"F3","R5"
"147",4.33980698637147,"F3","R5"
"148",5.14577535725892,"F3","R5"
"149",4.69167373554585,"F3","R5"
"150",4.58787785730843,"F3","R5"
"151",6.11552805683051,"F3","R5"
"152",4.54955950656848,"F3","R5"
"153",4.41126556893049,"F4","R5"
"154",5.24085660669316,"F4","R5"
"155",3.51537012818277,"F4","R5"
"156",4.78362903488502,"F4","R5"
"157",4.13900129098418,"F4","R5"
"158",3.469184045709,"F4","R5"
"159",3.88366044792228,"F4","R5"
"160",4.89887118585835,"F4","R5"
