"","number","frequency","percentage","description"
"146",105,6,0.000199833472106578,NA
"147",113,6,0.000199833472106578,NA
"148",217,6,0.000199833472106578,NA
"149",237,6,0.000199833472106578,NA
"150",243,6,0.000199833472106578,NA
"151",317,6,0.000199833472106578,NA
"152",327,6,0.000199833472106578,NA
"153",417,6,0.000199833472106578,NA
"154",496,6,0.000199833472106578,NA
"155",612,6,0.000199833472106578,NA
"156",714,6,0.000199833472106578,NA
"157",9001,6,0.000199833472106578,NA
"158",0.143,5,0.000166527893422148,NA
"159",90,5,0.000166527893422148,NA
"160",109,5,0.000166527893422148,NA
"161",119,5,0.000166527893422148,NA
"162",121,5,0.000166527893422148,NA
"163",126,5,0.000166527893422148,NA
"164",128,5,0.000166527893422148,NA
"165",216,5,0.000166527893422148,NA
"166",221,5,0.000166527893422148,NA
"167",227,5,0.000166527893422148,NA
"168",273,5,0.000166527893422148,NA
"169",347,5,0.000166527893422148,NA
"170",512,5,0.000166527893422148,NA
"171",713,5,0.000166527893422148,NA
"172",717,5,0.000166527893422148,NA
"173",808,5,0.000166527893422148,NA
"174",888,5,0.000166527893422148,NA
"175",1000,5,0.000166527893422148,NA
"176",1089,5,0.000166527893422148,NA
"177",1123,5,0.000166527893422148,NA
"178",16777216,5,0.000166527893422148,NA
"179",6.28318530717958,4,0.000133222314737719,NA
"180",70,4,0.000133222314737719,NA
"181",80,4,0.000133222314737719,NA
"182",124,4,0.000133222314737719,NA
"183",131,4,0.000133222314737719,NA
"184",138,4,0.000133222314737719,NA
"185",149,4,0.000133222314737719,NA
"186",212,4,0.000133222314737719,NA
"187",218,4,0.000133222314737719,NA
"188",235,4,0.000133222314737719,NA
"189",242,4,0.000133222314737719,NA
"190",252,4,0.000133222314737719,NA
"191",321,4,0.000133222314737719,NA
"192",329,4,0.000133222314737719,NA
"193",358,4,0.000133222314737719,NA
"194",413,4,0.000133222314737719,NA
"195",555,4,0.000133222314737719,NA
"196",613,4,0.000133222314737719,NA
"197",2112,4,0.000133222314737719,NA
"198",1e+06,4,0.000133222314737719,NA
"199",1.61,3,9.99167360532889e-05,NA
"200",85,3,9.99167360532889e-05,NA
"201",103,3,9.99167360532889e-05,NA
"202",104,3,9.99167360532889e-05,NA
"203",132,3,9.99167360532889e-05,NA
"204",142,3,9.99167360532889e-05,NA
"205",152,3,9.99167360532889e-05,NA
"206",154,3,9.99167360532889e-05,NA
"207",157,3,9.99167360532889e-05,NA
"208",181,3,9.99167360532889e-05,NA
"209",187,3,9.99167360532889e-05,NA
"210",193,3,9.99167360532889e-05,NA
"211",198,3,9.99167360532889e-05,NA
"212",211,3,9.99167360532889e-05,NA
"213",215,3,9.99167360532889e-05,NA
"214",255,3,9.99167360532889e-05,NA
"215",284,3,9.99167360532889e-05,NA
"216",297,3,9.99167360532889e-05,NA
"217",322,3,9.99167360532889e-05,NA
"218",337,3,9.99167360532889e-05,NA
"219",356,3,9.99167360532889e-05,NA
"220",369,3,9.99167360532889e-05,NA
"221",423,3,9.99167360532889e-05,NA
"222",436,3,9.99167360532889e-05,NA
"223",440,3,9.99167360532889e-05,NA
"224",453,3,9.99167360532889e-05,NA
"225",511,3,9.99167360532889e-05,NA
"226",532,3,9.99167360532889e-05,NA
"227",537,3,9.99167360532889e-05,NA
"228",619,3,9.99167360532889e-05,NA
"229",621,3,9.99167360532889e-05,NA
"230",786,3,9.99167360532889e-05,NA
"231",801,3,9.99167360532889e-05,NA
"232",911,3,9.99167360532889e-05,NA
"233",927,3,9.99167360532889e-05,NA
"234",997,3,9.99167360532889e-05,NA
"235",999,3,9.99167360532889e-05,NA
"236",1023,3,9.99167360532889e-05,NA
"237",1221,3,9.99167360532889e-05,NA
"238",1701,3,9.99167360532889e-05,NA
"239",1812,3,9.99167360532889e-05,NA
"240",2468,3,9.99167360532889e-05,NA
"241",2520,3,9.99167360532889e-05,NA
"242",65535,3,9.99167360532889e-05,NA
"243",65536,3,9.99167360532889e-05,NA
"244",711147,3,9.99167360532889e-05,NA
"245",1048576,3,9.99167360532889e-05,NA
"246",299792458,3,9.99167360532889e-05,NA
"247",1e+09,3,9.99167360532889e-05,NA
"248",12345678987654300,3,9.99167360532889e-05,NA
"249",-273.15,2,6.66111573688593e-05,NA
"250",-8,2,6.66111573688593e-05,NA
"251",-7,2,6.66111573688593e-05,NA
"252",0.0073,2,6.66111573688593e-05,NA
"253",0.0123,2,6.66111573688593e-05,NA
"254",0.05,2,6.66111573688593e-05,NA
"255",0.142857,2,6.66111573688593e-05,NA
"256",0.2,2,6.66111573688593e-05,NA
"257",0.705,2,6.66111573688593e-05,NA
"258",0.999,2,6.66111573688593e-05,NA
"259",1.464,2,6.66111573688593e-05,NA
"260",1.61803399,2,6.66111573688593e-05,NA
"261",1.643,2,6.66111573688593e-05,NA
"262",4.669,2,6.66111573688593e-05,NA
"263",17.5,2,6.66111573688593e-05,NA
"264",23.5,2,6.66111573688593e-05,NA
"265",27.5,2,6.66111573688593e-05,NA
"266",95,2,6.66111573688593e-05,NA
"267",106,2,6.66111573688593e-05,NA
"268",115,2,6.66111573688593e-05,NA
"269",118,2,6.66111573688593e-05,NA
"270",122,2,6.66111573688593e-05,NA
"271",135,2,6.66111573688593e-05,NA
"272",136,2,6.66111573688593e-05,NA
"273",148,2,6.66111573688593e-05,NA
"274",156,2,6.66111573688593e-05,NA
"275",158,2,6.66111573688593e-05,NA
"276",159,2,6.66111573688593e-05,NA
"277",172,2,6.66111573688593e-05,NA
"278",182,2,6.66111573688593e-05,NA
"279",183,2,6.66111573688593e-05,NA
"280",189,2,6.66111573688593e-05,NA
"281",203,2,6.66111573688593e-05,NA
"282",204,2,6.66111573688593e-05,NA
"283",208,2,6.66111573688593e-05,NA
"284",210,2,6.66111573688593e-05,NA
"285",213,2,6.66111573688593e-05,NA
"286",219,2,6.66111573688593e-05,NA
"287",220,2,6.66111573688593e-05,NA
"288",225,2,6.66111573688593e-05,NA
"289",247,2,6.66111573688593e-05,NA
"290",262,2,6.66111573688593e-05,NA
"291",267,2,6.66111573688593e-05,NA
"292",279,2,6.66111573688593e-05,NA
"293",286,2,6.66111573688593e-05,NA
"294",311,2,6.66111573688593e-05,NA
"295",312,2,6.66111573688593e-05,NA
"296",315,2,6.66111573688593e-05,NA
"297",318,2,6.66111573688593e-05,NA
"298",324,2,6.66111573688593e-05,NA
"299",326,2,6.66111573688593e-05,NA
"300",350,2,6.66111573688593e-05,NA
"301",367,2,6.66111573688593e-05,NA
"302",375,2,6.66111573688593e-05,NA
"303",404,2,6.66111573688593e-05,NA
"304",414,2,6.66111573688593e-05,NA
"305",415,2,6.66111573688593e-05,NA
"306",427,2,6.66111573688593e-05,NA
"307",437,2,6.66111573688593e-05,NA
"308",451,2,6.66111573688593e-05,NA
"309",505,2,6.66111573688593e-05,NA
"310",525,2,6.66111573688593e-05,NA
"311",534,2,6.66111573688593e-05,NA
"312",536,2,6.66111573688593e-05,NA
"313",617,2,6.66111573688593e-05,NA
"314",624,2,6.66111573688593e-05,NA
"315",627,2,6.66111573688593e-05,NA
"316",707,2,6.66111573688593e-05,NA
"317",720,2,6.66111573688593e-05,NA
"318",721,2,6.66111573688593e-05,NA
"319",723,2,6.66111573688593e-05,NA
"320",737,2,6.66111573688593e-05,NA
"321",738,2,6.66111573688593e-05,NA
"322",784,2,6.66111573688593e-05,NA
"323",825,2,6.66111573688593e-05,NA
"324",837,2,6.66111573688593e-05,NA
"325",841,2,6.66111573688593e-05,NA
"326",919,2,6.66111573688593e-05,NA
"327",945,2,6.66111573688593e-05,NA
"328",969,2,6.66111573688593e-05,NA
"329",1025,2,6.66111573688593e-05,NA
"330",1041,2,6.66111573688593e-05,NA
"331",1101,2,6.66111573688593e-05,NA
"332",1117,2,6.66111573688593e-05,NA
"333",1121,2,6.66111573688593e-05,NA
"334",1125,2,6.66111573688593e-05,NA
"335",1138,2,6.66111573688593e-05,NA
"336",1611,2,6.66111573688593e-05,NA
"337",1649,2,6.66111573688593e-05,NA
"338",1723,2,6.66111573688593e-05,NA
"339",1881,2,6.66111573688593e-05,NA
"340",1892,2,6.66111573688593e-05,NA
"341",1962,2,6.66111573688593e-05,NA
"342",1989,2,6.66111573688593e-05,NA
"343",1997,2,6.66111573688593e-05,NA
"344",1999,2,6.66111573688593e-05,NA
"345",2000,2,6.66111573688593e-05,NA
"346",2012,2,6.66111573688593e-05,NA
"347",2222,2,6.66111573688593e-05,NA
"348",2401,2,6.66111573688593e-05,NA
"349",2680,2,6.66111573688593e-05,NA
"350",3435,2,6.66111573688593e-05,NA
"351",3677,2,6.66111573688593e-05,NA
"352",4077,2,6.66111573688593e-05,NA
"353",4096,2,6.66111573688593e-05,NA
"354",4444,2,6.66111573688593e-05,NA
"355",5040,2,6.66111573688593e-05,NA
"356",5150,2,6.66111573688593e-05,NA
"357",6502,2,6.66111573688593e-05,NA
"358",7734,2,6.66111573688593e-05,NA
"359",11235,2,6.66111573688593e-05,NA
"360",24601,2,6.66111573688593e-05,NA
"361",31337,2,6.66111573688593e-05,NA
"362",35173,2,6.66111573688593e-05,NA
"363",58008,2,6.66111573688593e-05,NA
"364",80085,2,6.66111573688593e-05,NA
"365",113355,2,6.66111573688593e-05,NA
"366",362880,2,6.66111573688593e-05,NA
"367",715517,2,6.66111573688593e-05,NA
"368",1000009,2,6.66111573688593e-05,NA
"369",8675309,2,6.66111573688593e-05,NA
"370",12345679,2,6.66111573688593e-05,NA
"371",71011343,2,6.66111573688593e-05,NA
"372",3816547290,2,6.66111573688593e-05,NA
"373",4294967296,2,6.66111573688593e-05,NA
"374",937450274560,2,6.66111573688593e-05,NA
"375",1e+14,2,6.66111573688593e-05,NA
"376",18446744073709500416,2,6.66111573688593e-05,NA
"377",1e+37,2,6.66111573688593e-05,NA
"378",-1e+46,1,3.33055786844296e-05,NA
"379",-14736844985,1,3.33055786844296e-05,NA
"380",-44714928,1,3.33055786844296e-05,NA
"381",-273,1,3.33055786844296e-05,NA
"382",-100,1,3.33055786844296e-05,NA
"383",-44,1,3.33055786844296e-05,NA
"384",-40,1,3.33055786844296e-05,NA
"385",-34.7,1,3.33055786844296e-05,NA
"386",-16.23,1,3.33055786844296e-05,NA
"387",-13,1,3.33055786844296e-05,NA
"388",-10,1,3.33055786844296e-05,NA
"389",-6,1,3.33055786844296e-05,NA
"390",-0.0833,1,3.33055786844296e-05,NA
"391",0.00404,1,3.33055786844296e-05,NA
"392",0.007299,1,3.33055786844296e-05,NA
"393",0.00729927,1,3.33055786844296e-05,NA
"394",0.01,1,3.33055786844296e-05,NA
"395",0.09090909,1,3.33055786844296e-05,NA
"396",0.1234567891011,1,3.33055786844296e-05,NA
"397",0.207879576,1,3.33055786844296e-05,NA
"398",0.207879576350761,1,3.33055786844296e-05,NA
"399",0.234,1,3.33055786844296e-05,NA
"400",0.253,1,3.33055786844296e-05,NA
"401",0.3010299957,1,3.33055786844296e-05,NA
"402",0.333,1,3.33055786844296e-05,NA
"403",0.3333333,1,3.33055786844296e-05,NA
"404",0.333333333333333,1,3.33055786844296e-05,NA
"405",0.577,1,3.33055786844296e-05,NA
"406",0.6085,1,3.33055786844296e-05,NA
"407",0.618,1,3.33055786844296e-05,NA
"408",0.636363636,1,3.33055786844296e-05,NA
"409",0.667,1,3.33055786844296e-05,NA
"410",0.7,1,3.33055786844296e-05,NA
"411",0.707,1,3.33055786844296e-05,NA
"412",0.7071,1,3.33055786844296e-05,NA
"413",0.739085,1,3.33055786844296e-05,NA
"414",0.772727272,1,3.33055786844296e-05,NA
"415",0.99,1,3.33055786844296e-05,NA
"416",0.99999,1,3.33055786844296e-05,NA
"417",0.9999999,1,3.33055786844296e-05,NA
"418",0.999999999999,1,3.33055786844296e-05,NA
"419",1.21,1,3.33055786844296e-05,NA
"420",1.3,1,3.33055786844296e-05,NA
"421",1.414,1,3.33055786844296e-05,NA
"422",1.6180339887,1,3.33055786844296e-05,NA
"423",1.7320508,1,3.33055786844296e-05,NA
"424",1.772,1,3.33055786844296e-05,NA
"425",1.8092,1,3.33055786844296e-05,NA
"426",2.236067977,1,3.33055786844296e-05,NA
"427",2.23606797749,1,3.33055786844296e-05,NA
"428",2.3,1,3.33055786844296e-05,NA
"429",2.665,1,3.33055786844296e-05,NA
"430",2.685452001,1,3.33055786844296e-05,NA
"431",2.83,1,3.33055786844296e-05,NA
"432",2.854101966,1,3.33055786844296e-05,NA
"433",2.87,1,3.33055786844296e-05,NA
"434",2.92,1,3.33055786844296e-05,NA
"435",3.14159,1,3.33055786844296e-05,NA
"436",3.33,1,3.33055786844296e-05,NA
"437",4.1231,1,3.33055786844296e-05,NA
"438",4.4,1,3.33055786844296e-05,NA
"439",4.6692016,1,3.33055786844296e-05,NA
"440",4.669201609,1,3.33055786844296e-05,NA
"441",4.99557733456877,1,3.33055786844296e-05,NA
"442",5.19,1,3.33055786844296e-05,NA
"443",5.56,1,3.33055786844296e-05,NA
"444",6.02,1,3.33055786844296e-05,NA
"445",6.18,1,3.33055786844296e-05,NA
"446",6.25,1,3.33055786844296e-05,NA
"447",6.2831254,1,3.33055786844296e-05,NA
"448",6.283185307,1,3.33055786844296e-05,NA
"449",6.2831853071,1,3.33055786844296e-05,NA
"450",6.28318530718,1,3.33055786844296e-05,NA
"451",6.4807407,1,3.33055786844296e-05,NA
"452",6.5,1,3.33055786844296e-05,NA
"453",7.07,1,3.33055786844296e-05,NA
"454",7.1,1,3.33055786844296e-05,NA
"455",7.19874353732892,1,3.33055786844296e-05,NA
"456",7.483,1,3.33055786844296e-05,NA
"457",8.124,1,3.33055786844296e-05,NA
"458",8.31,1,3.33055786844296e-05,NA
"459",8.53973422,1,3.33055786844296e-05,NA
"460",9.24,1,3.33055786844296e-05,NA
"461",10.5,1,3.33055786844296e-05,NA
"462",11.11,1,3.33055786844296e-05,NA
"463",12.74357,1,3.33055786844296e-05,NA
"464",12.99,1,3.33055786844296e-05,NA
"465",14.2359853789743,1,3.33055786844296e-05,NA
"466",15.5,1,3.33055786844296e-05,NA
"467",16.41,1,3.33055786844296e-05,NA
"468",16.5,1,3.33055786844296e-05,NA
"469",17.3,1,3.33055786844296e-05,NA
"470",18.5,1,3.33055786844296e-05,NA
"471",23.1406926327793,1,3.33055786844296e-05,NA
"472",24.96,1,3.33055786844296e-05,NA
"473",27.22,1,3.33055786844296e-05,NA
"474",29.5,1,3.33055786844296e-05,NA
"475",36.2,1,3.33055786844296e-05,NA
"476",36.4621596,1,3.33055786844296e-05,NA
"477",37.1,1,3.33055786844296e-05,NA
"478",37.5,1,3.33055786844296e-05,NA
"479",38.41,1,3.33055786844296e-05,NA
"480",57.7321409,1,3.33055786844296e-05,NA
"481",60.006,1,3.33055786844296e-05,NA
"482",63.72,1,3.33055786844296e-05,NA
"483",80.5,1,3.33055786844296e-05,NA
"484",87.5,1,3.33055786844296e-05,NA
"485",88.5,1,3.33055786844296e-05,NA
"486",91.5,1,3.33055786844296e-05,NA
"487",102,1,3.33055786844296e-05,NA
"488",112,1,3.33055786844296e-05,NA
"489",114,1,3.33055786844296e-05,NA
"490",121.6,1,3.33055786844296e-05,NA
"491",125,1,3.33055786844296e-05,NA
"492",133,1,3.33055786844296e-05,NA
"493",134,1,3.33055786844296e-05,NA
"494",137.5,1,3.33055786844296e-05,NA
"495",139,1,3.33055786844296e-05,NA
"496",141,1,3.33055786844296e-05,NA
"497",145,1,3.33055786844296e-05,NA
"498",146,1,3.33055786844296e-05,NA
"499",151,1,3.33055786844296e-05,NA
"500",171,1,3.33055786844296e-05,NA
"501",173,1,3.33055786844296e-05,NA
"502",174,1,3.33055786844296e-05,NA
"503",176,1,3.33055786844296e-05,NA
"504",178,1,3.33055786844296e-05,NA
"505",179,1,3.33055786844296e-05,NA
"506",184,1,3.33055786844296e-05,NA
"507",186,1,3.33055786844296e-05,NA
"508",191,1,3.33055786844296e-05,NA
"509",196,1,3.33055786844296e-05,NA
"510",197,1,3.33055786844296e-05,NA
"511",200,1,3.33055786844296e-05,NA
"512",202,1,3.33055786844296e-05,NA
"513",206,1,3.33055786844296e-05,NA
"514",207,1,3.33055786844296e-05,NA
"515",214,1,3.33055786844296e-05,NA
"516",224,1,3.33055786844296e-05,NA
"517",229,1,3.33055786844296e-05,NA
"518",231,1,3.33055786844296e-05,NA
"519",234,1,3.33055786844296e-05,NA
"520",239,1,3.33055786844296e-05,NA
"521",240,1,3.33055786844296e-05,NA
"522",245,1,3.33055786844296e-05,NA
"523",253,1,3.33055786844296e-05,NA
"524",254,1,3.33055786844296e-05,NA
"525",258,1,3.33055786844296e-05,NA
"526",265,1,3.33055786844296e-05,NA
"527",271,1,3.33055786844296e-05,NA
"528",272,1,3.33055786844296e-05,NA
"529",277,1,3.33055786844296e-05,NA
"530",287,1,3.33055786844296e-05,NA
"531",289,1,3.33055786844296e-05,NA
"532",299,1,3.33055786844296e-05,NA
"533",303,1,3.33055786844296e-05,NA
"534",307,1,3.33055786844296e-05,NA
"535",309,1,3.33055786844296e-05,NA
"536",310,1,3.33055786844296e-05,NA
"537",316,1,3.33055786844296e-05,NA
"538",319,1,3.33055786844296e-05,NA
"539",320,1,3.33055786844296e-05,NA
"540",323,1,3.33055786844296e-05,NA
"541",325,1,3.33055786844296e-05,NA
"542",336,1,3.33055786844296e-05,NA
"543",339,1,3.33055786844296e-05,NA
"544",341,1,3.33055786844296e-05,NA
"545",345,1,3.33055786844296e-05,NA
"546",346,1,3.33055786844296e-05,NA
"547",349,1,3.33055786844296e-05,NA
"548",351,1,3.33055786844296e-05,NA
"549",352,1,3.33055786844296e-05,NA
"550",353,1,3.33055786844296e-05,NA
"551",355,1,3.33055786844296e-05,NA
"552",357,1,3.33055786844296e-05,NA
"553",365,1,3.33055786844296e-05,NA
"554",371,1,3.33055786844296e-05,NA
"555",372,1,3.33055786844296e-05,NA
"556",374,1,3.33055786844296e-05,NA
"557",376,1,3.33055786844296e-05,NA
"558",378,1,3.33055786844296e-05,NA
"559",379,1,3.33055786844296e-05,NA
"560",400,1,3.33055786844296e-05,NA
"561",401,1,3.33055786844296e-05,NA
"562",402,1,3.33055786844296e-05,NA
"563",403,1,3.33055786844296e-05,NA
"564",407,1,3.33055786844296e-05,NA
"565",409,1,3.33055786844296e-05,NA
"566",416,1,3.33055786844296e-05,NA
"567",419,1,3.33055786844296e-05,NA
"568",421,1,3.33055786844296e-05,NA
"569",422,1,3.33055786844296e-05,NA
"570",424,1,3.33055786844296e-05,NA
"571",425,1,3.33055786844296e-05,NA
"572",432,1,3.33055786844296e-05,NA
"573",441,1,3.33055786844296e-05,NA
"574",442,1,3.33055786844296e-05,NA
"575",445,1,3.33055786844296e-05,NA
"576",452,1,3.33055786844296e-05,NA
"577",456,1,3.33055786844296e-05,NA
"578",463,1,3.33055786844296e-05,NA
"579",464,1,3.33055786844296e-05,NA
"580",475,1,3.33055786844296e-05,NA
"581",476,1,3.33055786844296e-05,NA
"582",478,1,3.33055786844296e-05,NA
"583",479,1,3.33055786844296e-05,NA
"584",480,1,3.33055786844296e-05,NA
"585",492,1,3.33055786844296e-05,NA
"586",495,1,3.33055786844296e-05,NA
"587",497,1,3.33055786844296e-05,NA
"588",498,1,3.33055786844296e-05,NA
"589",501,1,3.33055786844296e-05,NA
"590",503,1,3.33055786844296e-05,NA
"591",510,1,3.33055786844296e-05,NA
"592",513,1,3.33055786844296e-05,NA
"593",514,1,3.33055786844296e-05,NA
"594",515,1,3.33055786844296e-05,NA
"595",517,1,3.33055786844296e-05,NA
"596",520,1,3.33055786844296e-05,NA
"597",522,1,3.33055786844296e-05,NA
"598",527,1,3.33055786844296e-05,NA
"599",528,1,3.33055786844296e-05,NA
"600",529,1,3.33055786844296e-05,NA
"601",538,1,3.33055786844296e-05,NA
"602",549,1,3.33055786844296e-05,NA
"603",553,1,3.33055786844296e-05,NA
"604",561,1,3.33055786844296e-05,NA
"605",562,1,3.33055786844296e-05,NA
"606",565,1,3.33055786844296e-05,NA
"607",567,1,3.33055786844296e-05,NA
"608",568,1,3.33055786844296e-05,NA
"609",576,1,3.33055786844296e-05,NA
"610",579,1,3.33055786844296e-05,NA
"611",586,1,3.33055786844296e-05,NA
"612",601,1,3.33055786844296e-05,NA
"613",607,1,3.33055786844296e-05,NA
"614",608,1,3.33055786844296e-05,NA
"615",610,1,3.33055786844296e-05,NA
"616",614,1,3.33055786844296e-05,NA
"617",616,1,3.33055786844296e-05,NA
"618",620,1,3.33055786844296e-05,NA
"619",623,1,3.33055786844296e-05,NA
"620",625,1,3.33055786844296e-05,NA
"621",626,1,3.33055786844296e-05,NA
"622",628,1,3.33055786844296e-05,NA
"623",629,1,3.33055786844296e-05,NA
"624",632,1,3.33055786844296e-05,NA
"625",637,1,3.33055786844296e-05,NA
"626",638,1,3.33055786844296e-05,NA
"627",649,1,3.33055786844296e-05,NA
"628",650,1,3.33055786844296e-05,NA
"629",651,1,3.33055786844296e-05,NA
"630",653,1,3.33055786844296e-05,NA
"631",656,1,3.33055786844296e-05,NA
"632",657,1,3.33055786844296e-05,NA
"633",663,1,3.33055786844296e-05,NA
"634",675,1,3.33055786844296e-05,NA
"635",676,1,3.33055786844296e-05,NA
"636",678,1,3.33055786844296e-05,NA
"637",680,1,3.33055786844296e-05,NA
"638",692,1,3.33055786844296e-05,NA
"639",698,1,3.33055786844296e-05,NA
"640",702,1,3.33055786844296e-05,NA
"641",709,1,3.33055786844296e-05,NA
"642",715,1,3.33055786844296e-05,NA
"643",716,1,3.33055786844296e-05,NA
"644",718,1,3.33055786844296e-05,NA
"645",724,1,3.33055786844296e-05,NA
"646",727,1,3.33055786844296e-05,NA
"647",729,1,3.33055786844296e-05,NA
"648",735,1,3.33055786844296e-05,NA
"649",739,1,3.33055786844296e-05,NA
"650",740,1,3.33055786844296e-05,NA
"651",741,1,3.33055786844296e-05,NA
"652",743,1,3.33055786844296e-05,NA
"653",746,1,3.33055786844296e-05,NA
"654",749,1,3.33055786844296e-05,NA
"655",756,1,3.33055786844296e-05,NA
"656",759,1,3.33055786844296e-05,NA
"657",776,1,3.33055786844296e-05,NA
"658",789,1,3.33055786844296e-05,NA
