"","obs","type"
"273",130,"ApP"
"274",130,"ApP"
"275",120,"ApP"
"276",120,"ApP"
"277",120,"ApP"
"278",120,"ApP"
"279",130,"ApP"
"280",130,"ApP"
"281",130,"ApP"
"282",135,"ApP"
"283",130,"ApP"
"284",130,"ApP"
"285",120,"ApP"
"286",125,"ApP"
"287",125,"ApP"
"288",120,"ApP"
"289",125,"ApP"
"290",115,"ApP"
"291",125,"ApP"
"292",130,"ApP"
"293",130,"ApP"
"294",130,"ApP"
"295",140,"ApP"
"296",130,"ApP"
"297",130,"ApP"
"298",130,"ApP"
"299",135,"ApP"
"300",135,"ApP"
"301",130,"ApP"
"302",125,"ApP"
"303",120,"ApP"
"304",130,"ApP"
"305",125,"ApP"
"306",130,"ApP"
"307",140,"ApP"
"308",130,"ApP"
"309",120,"ApP"
"310",130,"ApP"
"311",130,"ApP"
"312",135,"ApP"
"313",130,"ApP"
"314",120,"ApP"
"315",130,"ApP"
"316",135,"ApP"
"317",120,"ApP"
"318",140,"ApP"
"319",130,"ApP"
"320",120,"ApP"
"321",120,"ApP"
"322",130,"ApP"
"323",130,"ApP"
"324",125,"ApP"
"325",130,"ApP"
"326",125,"ApP"
"327",120,"ApP"
"328",120,"ApP"
"329",125,"ApP"
"330",120,"ApP"
"331",120,"ApP"
"332",125,"ApP"
"333",135,"ApP"
"334",135,"ApP"
"335",135,"ApP"
"336",125,"ApP"
"337",125,"ApP"
"338",130,"ApP"
"339",135,"ApP"
"340",130,"ApP"
"341",130,"ApP"
"342",130,"ApP"
"343",130,"ApP"
