"","day","date","kar","lgth","wgt"
"105",1,190692,2,6.3,7.3
"106",1,190692,2,8,17.55
"107",1,190692,2,7.6,15.3
"108",1,190692,2,7.8,14.45
"109",1,190692,2,7.1,9.6
"110",1,190692,2,6.8,9.05
"111",1,190692,2,7.8,15.75
"112",1,190692,2,7.6,12
"113",1,190692,2,7.2,11.1
"114",1,190692,3,7.8,13.9
"115",1,190692,3,7.2,11.1
"116",1,190692,3,7.4,12.85
"117",1,190692,3,7.2,12.25
"118",1,190692,3,7.8,15.4
"119",1,190692,3,7.3,12.4
"120",1,190692,3,7.3,13.6
"121",1,190692,3,7.8,15.7
"122",1,190692,3,7.3,12.05
"123",1,190692,3,7.9,15.6
"124",1,190692,3,7.3,12.5
"125",1,190692,3,6.6,7.8
"126",1,190692,3,6.9,9.8
"127",1,190692,3,7.3,12.35
"128",1,190692,3,7.4,12.35
"129",1,190692,3,7.1,11.9
"130",1,190692,3,7.8,15.2
"131",1,190692,3,7,10.05
"132",1,190692,3,7.4,13.45
"133",1,190692,3,7.6,14.1
"134",1,190692,3,7.4,13.15
"135",1,190692,3,7.3,12.45
"136",1,190692,3,7,10.75
"137",1,190692,3,7.9,15.45
"138",1,190692,3,7.3,13.2
"139",1,190692,3,7.9,16.6
"140",1,190692,3,7.2,11.55
"141",1,190692,3,6.9,11
"142",1,190692,3,7.1,11.1
"143",1,190692,3,7.6,14.25
"144",1,190692,3,6.7,8.8
"145",1,190692,3,7.8,13.8
"146",1,190692,3,7.2,10.4
"147",1,190692,3,7.3,12.45
"148",1,190692,3,7.6,11.8
"149",1,190692,3,7.8,15.1
"150",1,190692,3,7.3,11.1
"151",1,190692,3,7.4,14.25
"152",1,190692,3,7.6,13.9
"153",1,190692,3,7.4,12.8
"154",1,190692,3,7.4,12.3
"155",1,190692,3,7.3,12.1
"156",1,190692,3,6.8,10
"157",1,190692,3,7.2,12.95
"158",1,190692,3,7.4,12.4
"159",1,190692,3,6.8,9.5
"160",1,190692,3,7,10.2
"161",1,190692,3,7.8,15.4
"162",1,190692,3,7.1,11
"163",2,40992,1,7.5,14.05
"164",2,40992,1,8.1,19.25
"165",2,40992,1,8.7,23
"166",2,40992,1,8,16
"167",2,40992,1,8,13.9
"168",2,40992,1,7.5,14.7
"169",2,40992,1,8.6,20.35
"170",2,40992,1,7.8,15.05
"171",2,40992,1,7.8,15.3
"172",2,40992,1,7.9,15.5
"173",2,40992,1,7.4,14
"174",2,40992,1,7.2,13.45
"175",2,40992,1,8.3,19.3
"176",2,40992,1,7.7,15.65
"177",2,40992,1,7.1,13.15
"178",2,40992,1,7.7,16.4
"179",2,40992,1,8.9,25.65
"180",2,40992,1,8.3,19.75
"181",2,40992,1,8.5,23.5
"182",2,40992,1,7,11.8
"183",2,40992,1,7.9,18.5
"184",2,40992,1,7.5,14.35
"185",2,40992,1,7.8,15.25
"186",2,40992,1,7.2,14.75
"187",2,40992,1,8.4,21.1
"188",2,40992,1,8.3,20.65
"189",2,40992,1,7.7,15.75
"190",2,40992,1,8.2,19.6
"191",2,40992,1,7.8,16.5
"192",2,40992,1,9.2,25.6
"193",2,40992,1,7.6,16.25
"194",2,40992,1,7.5,14.15
"195",2,40992,1,7.4,13.15
"196",2,40992,1,8.1,15.95
"197",2,40992,1,7.8,15.85
"198",2,40992,1,7.6,15.1
"199",2,40992,1,8.7,24.25
"200",2,40992,1,8,18.3
"201",2,40992,1,8.2,18.6
"202",2,40992,1,7.4,14.3
"203",2,40992,2,7.3,12
"204",2,40992,2,7.2,12.1
"205",2,40992,2,7.9,18.3
"206",2,40992,2,8.1,15.4
"207",2,40992,2,8.1,17.5
"208",2,40992,2,8.3,22.05
"209",2,40992,2,8,18.5
"210",2,40992,2,7.9,15.3
"211",2,40992,2,7.2,14.85
"212",2,40992,2,7.3,14.7
"213",2,40992,2,7.9,17.85
"214",2,40992,2,8.2,20.9
"215",2,40992,2,8.4,20.5
"216",2,40992,2,7.4,14.45
"217",2,40992,2,7.7,15.8
"218",2,40992,2,8,16.8
"219",2,40992,2,7.6,15
"220",2,40992,2,8,19.35
"221",2,40992,2,8.5,20.7
"222",2,40992,2,7.5,14.3
"223",2,40992,2,7.9,16.75
"224",2,40992,2,7.3,12.95
"225",2,40992,2,7.6,16.2
"226",2,40992,2,7.4,11.15
"227",2,40992,2,7.8,16.7
"228",2,40992,2,8.1,18.9
"229",2,40992,2,8.9,21.3
"230",2,40992,2,7.8,16.1
"231",2,40992,2,8,19.4
"232",2,40992,2,7.7,15.85
"233",2,40992,2,8,19.55
"234",2,40992,2,7.7,16.25
"235",2,40992,2,7.9,15.15
"236",2,40992,2,7.8,15.85
"237",2,40992,2,7.9,18
"238",2,40992,2,8.7,19.35
"239",2,40992,2,8.5,18.95
"240",2,40992,2,8,17.95
"241",2,40992,2,7.9,15.65
"242",2,40992,2,8.2,18.65
"243",2,40992,2,8.2,20.3
"244",2,40992,2,8.2,17.6
"245",2,40992,2,7.4,14.75
"246",2,40992,2,7.5,13.05
"247",2,40992,2,7.4,13.25
"248",2,40992,3,7.9,17.4
"249",2,40992,3,8,16.15
"250",2,40992,3,7.8,15.65
"251",2,40992,3,7.8,16.8
"252",2,40992,3,7.5,12.7
"253",2,40992,3,7.8,15.6
"254",2,40992,3,7.4,13.55
"255",2,40992,3,7.9,18.35
"256",2,40992,3,7.6,14.75
"257",2,40992,3,7.9,16.9
"258",2,40992,3,8.3,20.6
"259",2,40992,3,7.5,14.15
"260",2,40992,3,8.2,21
"261",2,40992,3,8.2,19.45
"262",2,40992,3,7.5,14.05
"263",2,40992,3,7.4,13.3
"264",2,40992,3,8.3,19.55
"265",2,40992,3,7.9,14.85
"266",2,40992,3,8.2,19.45
"267",2,40992,3,7.8,17.9
"268",2,40992,3,7.7,16.25
"269",2,40992,3,7.6,15.6
"270",2,40992,3,8,18.25
"271",2,40992,3,7.2,12.25
"272",2,40992,3,8.5,21.5
"273",2,40992,3,6.9,9.8
"274",2,40992,3,7.9,16.65
"275",2,40992,3,7.7,13.25
"276",2,40992,3,7.2,12.5
"277",2,40992,3,8.4,18.85
"278",3,181292,1,8.8,28.95
"279",3,181292,1,8.9,27.1
"280",3,181292,1,9.3,30.95
"281",3,181292,1,8,19.5
"282",3,181292,1,8.4,21.75
"283",3,181292,1,8.6,27.5
"284",3,181292,1,7.3,14.4
"285",3,181292,1,8.4,25.45
"286",3,181292,1,8.1,19.9
"287",3,181292,1,8.3,24
"288",3,181292,1,9.3,34.8
"289",3,181292,1,7.6,16.65
"290",3,181292,1,8.1,19.7
"291",3,181292,1,8.2,20.9
"292",3,181292,1,8.2,23.25
"293",3,181292,1,9.1,27.5
"294",3,181292,1,9,29.9
"295",3,181292,1,8.3,22.6
"296",3,181292,1,7.9,16.3
"297",3,181292,1,8.5,22.35
"298",3,181292,1,8.3,24.6
"299",3,181292,1,7,13.4
"300",3,181292,1,8.8,26
"301",3,181292,1,9.5,33.45
"302",3,181292,1,9.3,30.65
"303",3,181292,1,9.3,33.2
"304",3,181292,1,7.6,14.45
"305",3,181292,1,8,21.3
"306",3,181292,1,7.9,20.75
"307",3,181292,1,7.8,14.95
"308",3,181292,1,8.1,21.1
"309",3,181292,2,8.2,25
"310",3,181292,2,8,19.7
"311",3,181292,2,8.9,29.6
"312",3,181292,2,7.4,15
"313",3,181292,2,8.2,22.25
"314",3,181292,2,8.8,28.8
"315",3,181292,2,9,19.95
"316",3,181292,2,8,22.25
"317",3,181292,2,7.9,21.55
"318",3,181292,2,8.5,21.7
"319",3,181292,2,7.9,20.75
"320",3,181292,2,9.5,24.5
"321",3,181292,2,7.3,14.4
"322",3,181292,2,8.5,24.4
"323",3,181292,2,8.7,23.1
"324",3,181292,2,8.1,19.2
"325",3,181292,2,7.7,12.95
"326",3,181292,2,8.6,27.45
"327",3,181292,2,8.5,25.5
"328",3,181292,2,7.6,17.55
"329",3,181292,2,8.9,31.65
"330",3,181292,2,8.4,26.65
"331",3,181292,2,8.4,24.6
"332",3,181292,2,8.2,17.45
"333",3,181292,2,8.8,25.45
"334",3,181292,2,8.1,21.6
"335",3,181292,2,7.9,19.5
"336",3,181292,2,8.6,24.05
"337",3,181292,2,8.6,26.3
"338",3,181292,2,7.7,13.05
"339",3,181292,2,7.6,14.75
"340",3,181292,2,7.6,16.75
"341",3,181292,2,8.3,19.7
"342",3,181292,2,8,20.9
"343",3,181292,3,7.5,16.6
"344",3,181292,3,7.1,17.45
"345",3,181292,3,7.5,17.25
"346",3,181292,3,8.5,26.9
"347",3,181292,3,8.5,23.55
"348",3,181292,3,7.5,19.2
"349",3,181292,3,8.3,21.2
"350",3,181292,3,7.8,15.2
"351",3,181292,3,7.4,13.55
"352",3,181292,3,7.5,18.8
"353",3,181292,3,8,23.1
"354",3,181292,3,8.4,25
"355",3,181292,3,7.9,20.25
"356",3,181292,3,8.1,21.2
"357",3,181292,3,7.7,17.85
"358",3,181292,3,7.5,15.55
"359",3,181292,3,6.8,10.05
"360",3,181292,3,8.6,17.65
"361",3,181292,3,8.5,21.6
