"","sex","A","P","C","Y","upper"
"147",1,73,1971,1898,7329,0
"148",1,73,1971,1897,6909.83333333333,1
"149",1,74,1971,1897,6775.66666666667,0
"150",1,74,1971,1896,6406.66666666667,1
"151",1,75,1971,1896,6264.83333333333,0
"152",1,75,1971,1895,5862.83333333333,1
"153",1,76,1971,1895,5745.66666666667,0
"154",1,76,1971,1894,5444.16666666667,1
"155",1,77,1971,1894,5308.33333333333,0
"156",1,77,1971,1893,4820.66666666667,1
"157",1,78,1971,1893,4686.33333333333,0
"158",1,78,1971,1892,4157.33333333333,1
"159",1,79,1971,1892,4033.66666666667,0
"160",1,79,1971,1891,3928.16666666667,1
"161",1,80,1971,1891,3799.83333333333,0
"162",1,80,1971,1890,3422.66666666667,1
"163",1,81,1971,1890,3300.83333333333,0
"164",1,81,1971,1889,2984.66666666667,1
"165",1,82,1971,1889,2863.33333333333,0
"166",1,82,1971,1888,2645.66666666667,1
"167",1,83,1971,1888,2534.33333333333,0
"168",1,83,1971,1887,2256.5,1
"169",1,84,1971,1887,2155.5,0
"170",1,84,1971,1886,1922.5,1
"171",1,85,1971,1886,1821,0
"172",1,85,1971,1885,1597.16666666667,1
"173",1,86,1971,1885,1508.33333333333,0
"174",1,86,1971,1884,1332.5,1
"175",1,87,1971,1884,1245,0
"176",1,87,1971,1883,995,1
"177",1,88,1971,1883,925.5,0
"178",1,88,1971,1882,822.333333333333,1
"179",1,89,1971,1882,764.666666666667,0
"180",1,89,1971,1881,610.666666666667,1
"181",1,90,1971,1881,562.833333333333,0
"182",1,90,1971,1880,456.5,1
"183",1,91,1971,1880,415.5,0
"184",1,91,1971,1879,339.333333333333,1
"185",1,92,1971,1879,311.166666666667,0
"186",1,92,1971,1878,241.666666666667,1
"187",1,93,1971,1878,219.333333333333,0
"188",1,93,1971,1877,184.333333333333,1
"189",1,94,1971,1877,160.666666666667,0
"190",1,94,1971,1876,105.833333333333,1
"191",1,95,1971,1876,94.1666666666667,0
"192",1,95,1971,1875,72.6666666666667,1
"193",1,96,1971,1875,64.3333333333333,0
"194",1,96,1971,1874,37,1
"195",1,97,1971,1874,31,0
"196",1,97,1971,1873,21.1666666666667,1
"197",1,98,1971,1873,18.3333333333333,0
"198",1,98,1971,1872,21.8333333333333,1
"199",1,99,1971,1872,23.1666666666667,0
"200",1,99,1971,1871,22.3333333333333,1
"201",1,0,1972,1972,19093,0
"202",1,0,1972,1971,19202.5,1
"203",1,1,1972,1971,19210,0
"204",1,1,1972,1970,18005,1
"205",1,2,1972,1970,18016.5,0
"206",1,2,1972,1969,18199.6666666667,1
"207",1,3,1972,1969,18206.8333333333,0
"208",1,3,1972,1968,18950.6666666667,1
"209",1,4,1972,1968,18953.3333333333,0
"210",1,4,1972,1967,20483.5,1
"211",1,5,1972,1967,20488,0
"212",1,5,1972,1966,22249.3333333333,1
"213",1,6,1972,1966,22251.6666666667,0
"214",1,6,1972,1965,21538.1666666667,1
"215",1,7,1972,1965,21544.8333333333,0
"216",1,7,1972,1964,20995.8333333333,1
"217",1,8,1972,1964,20998.1666666667,0
"218",1,8,1972,1963,20650.6666666667,1
"219",1,9,1972,1963,20655.8333333333,0
"220",1,9,1972,1962,19430,1
"221",1,10,1972,1962,19434.5,0
"222",1,10,1972,1961,19096.1666666667,1
"223",1,11,1972,1961,19101.8333333333,0
"224",1,11,1972,1960,19029,1
"225",1,12,1972,1960,19029.5,0
"226",1,12,1972,1959,18559.8333333333,1
"227",1,13,1972,1959,18562.6666666667,0
"228",1,13,1972,1958,18801,1
"229",1,14,1972,1958,18803,0
"230",1,14,1972,1957,18950.6666666667,1
"231",1,15,1972,1957,18956.3333333333,0
"232",1,15,1972,1956,19184.6666666667,1
"233",1,16,1972,1956,19200.8333333333,0
"234",1,16,1972,1955,19227.8333333333,1
"235",1,17,1972,1955,19252.1666666667,0
"236",1,17,1972,1954,18903.8333333333,1
"237",1,18,1972,1954,18922.1666666667,0
"238",1,18,1972,1953,19505,1
"239",1,19,1972,1953,19520,0
"240",1,19,1972,1952,19200.8333333333,1
"241",1,20,1972,1952,19218.6666666667,0
"242",1,20,1972,1951,19106.5,1
"243",1,21,1972,1951,19115,0
"244",1,21,1972,1950,19562.6666666667,1
"245",1,22,1972,1950,19573.3333333333,0
"246",1,22,1972,1949,19673.1666666667,1
"247",1,23,1972,1949,19697.8333333333,0
"248",1,23,1972,1948,20874.3333333333,1
"249",1,24,1972,1948,20894.1666666667,0
"250",1,24,1972,1947,22358.6666666667,1
"251",1,25,1972,1947,22374.3333333333,0
"252",1,25,1972,1946,23291.8333333333,1
"253",1,26,1972,1946,23294.6666666667,0
"254",1,26,1972,1945,22725.6666666667,1
"255",1,27,1972,1945,22729.3333333333,0
"256",1,27,1972,1944,21698.3333333333,1
"257",1,28,1972,1944,21699.6666666667,0
"258",1,28,1972,1943,19875.5,1
"259",1,29,1972,1943,19872.5,0
"260",1,29,1972,1942,18800.3333333333,1
"261",1,30,1972,1942,18814.1666666667,0
"262",1,30,1972,1941,16751.3333333333,1
"263",1,31,1972,1941,16759.1666666667,0
"264",1,31,1972,1940,16304,1
"265",1,32,1972,1940,16307.5,0
"266",1,32,1972,1939,15844.8333333333,1
"267",1,33,1972,1939,15844.1666666667,0
"268",1,33,1972,1938,15662.3333333333,1
"269",1,34,1972,1938,15670.1666666667,0
"270",1,34,1972,1937,15159.6666666667,1
"271",1,35,1972,1937,15159.8333333333,0
"272",1,35,1972,1936,14810.5,1
"273",1,36,1972,1936,14808.5,0
"274",1,36,1972,1935,14395.8333333333,1
"275",1,37,1972,1935,14390.1666666667,0
"276",1,37,1972,1934,14198.6666666667,1
"277",1,38,1972,1934,14197.8333333333,0
"278",1,38,1972,1933,13875.5,1
"279",1,39,1972,1933,13859,0
"280",1,39,1972,1932,13818.1666666667,1
"281",1,40,1972,1932,13807.3333333333,0
"282",1,40,1972,1931,13814.3333333333,1
"283",1,41,1972,1931,13805.1666666667,0
"284",1,41,1972,1930,13946.3333333333,1
"285",1,42,1972,1930,13938.6666666667,0
"286",1,42,1972,1929,13686.8333333333,1
"287",1,43,1972,1929,13674.1666666667,0
"288",1,43,1972,1928,14273.3333333333,1
"289",1,44,1972,1928,14262.6666666667,0
"290",1,44,1972,1927,14069.5,1
"291",1,45,1972,1927,14051,0
"292",1,45,1972,1926,14337.5,1
"293",1,46,1972,1926,14323,0
"294",1,46,1972,1925,14426.3333333333,1
"295",1,47,1972,1925,14411.1666666667,0
"296",1,47,1972,1924,14856.8333333333,1
"297",1,48,1972,1924,14834.1666666667,0
"298",1,48,1972,1923,14803,1
"299",1,49,1972,1923,14776,0
"300",1,49,1972,1922,14609.3333333333,1
"301",1,50,1972,1922,14579.6666666667,0
"302",1,50,1972,1921,15422.6666666667,1
"303",1,51,1972,1921,15388.8333333333,0
"304",1,51,1972,1920,15913,1
"305",1,52,1972,1920,15879.5,0
"306",1,52,1972,1919,13820.6666666667,1
"307",1,53,1972,1919,13783.8333333333,0
"308",1,53,1972,1918,14290.3333333333,1
"309",1,54,1972,1918,14250.6666666667,0
"310",1,54,1972,1917,13694.5,1
"311",1,55,1972,1917,13649,0
"312",1,55,1972,1916,13700,1
"313",1,56,1972,1916,13655,0
"314",1,56,1972,1915,13422.3333333333,1
"315",1,57,1972,1915,13373.6666666667,0
"316",1,57,1972,1914,13878.8333333333,1
"317",1,58,1972,1914,13821.6666666667,0
"318",1,58,1972,1913,13763,1
"319",1,59,1972,1913,13695.5,0
"320",1,59,1972,1912,13981,1
"321",1,60,1972,1912,13904.5,0
"322",1,60,1972,1911,13440,1
"323",1,61,1972,1911,13364.5,0
"324",1,61,1972,1910,13245.6666666667,1
"325",1,62,1972,1910,13154.8333333333,0
"326",1,62,1972,1909,13198.3333333333,1
"327",1,63,1972,1909,13098.1666666667,0
"328",1,63,1972,1908,12342,1
"329",1,64,1972,1908,12239,0
"330",1,64,1972,1907,11729.6666666667,1
"331",1,65,1972,1907,11612.8333333333,0
"332",1,65,1972,1906,11151,1
"333",1,66,1972,1906,11036,0
"334",1,66,1972,1905,10694.5,1
"335",1,67,1972,1905,10576,0
"336",1,67,1972,1904,10143.3333333333,1
"337",1,68,1972,1904,10021.6666666667,0
"338",1,68,1972,1903,9603.33333333333,1
"339",1,69,1972,1903,9472.16666666667,0
"340",1,69,1972,1902,9255.33333333333,1
"341",1,70,1972,1902,9125.16666666667,0
"342",1,70,1972,1901,8605.66666666667,1
"343",1,71,1972,1901,8468.33333333333,0
"344",1,71,1972,1900,8011.66666666667,1
"345",1,72,1972,1900,7873.83333333333,0
"346",1,72,1972,1899,7268.16666666667,1
"347",1,73,1972,1899,7131.83333333333,0
"348",1,73,1972,1898,7046,1
"349",1,74,1972,1898,6903.5,0
"350",1,74,1972,1897,6488.33333333333,1
"351",1,75,1972,1897,6335.16666666667,0
"352",1,75,1972,1896,5984.16666666667,1
"353",1,76,1972,1896,5845.33333333333,0
"354",1,76,1972,1895,5490.5,1
"355",1,77,1972,1895,5352.5,0
"356",1,77,1972,1894,5033,1
"357",1,78,1972,1894,4893.5,0
"358",1,78,1972,1893,4414.5,1
"359",1,79,1972,1893,4277,0
"360",1,79,1972,1892,3788.16666666667,1
"361",1,80,1972,1892,3666.33333333333,0
"362",1,80,1972,1891,3546.5,1
"363",1,81,1972,1891,3421.5,0
"364",1,81,1972,1890,3061.16666666667,1
"365",1,82,1972,1890,2943.33333333333,0
"366",1,82,1972,1889,2631.5,1
"367",1,83,1972,1889,2521,0
"368",1,83,1972,1888,2316.83333333333,1
"369",1,84,1972,1888,2210.66666666667,0
"370",1,84,1972,1887,1962.16666666667,1
"371",1,85,1972,1887,1869.83333333333,0
"372",1,85,1972,1886,1630.66666666667,1
"373",1,86,1972,1886,1541.83333333333,0
"374",1,86,1972,1885,1336.16666666667,1
"375",1,87,1972,1885,1252.83333333333,0
"376",1,87,1972,1884,1096.16666666667,1
"377",1,88,1972,1884,1034.83333333333,0
"378",1,88,1972,1883,801.5,1
"379",1,89,1972,1883,747,0
"380",1,89,1972,1882,659.666666666667,1
"381",1,90,1972,1882,612.333333333333,0
"382",1,90,1972,1881,476.166666666667,1
"383",1,91,1972,1881,437.333333333333,0
"384",1,91,1972,1880,345.333333333333,1
"385",1,92,1972,1880,316.166666666667,0
"386",1,92,1972,1879,257.666666666667,1
"387",1,93,1972,1879,232.333333333333,0
"388",1,93,1972,1878,180.333333333333,1
"389",1,94,1972,1878,163.666666666667,0
"390",1,94,1972,1877,121.5,1
"391",1,95,1972,1877,106,0
"392",1,95,1972,1876,73.1666666666667,1
"393",1,96,1972,1876,63.8333333333333,0
"394",1,96,1972,1875,51,1
"395",1,97,1972,1875,46,0
"396",1,97,1972,1874,21.8333333333333,1
"397",1,98,1972,1874,18.6666666666667,0
"398",1,98,1972,1873,18.8333333333333,1
"399",1,99,1972,1873,22.1666666666667,0
"400",1,99,1972,1872,27.8333333333333,1
"401",1,0,1973,1973,18098,0
"402",1,0,1973,1972,19101.8333333333,1
"403",1,1,1973,1972,19110.6666666667,0
"404",1,1,1973,1971,19217.8333333333,1
"405",1,2,1973,1971,19218.1666666667,0
"406",1,2,1973,1970,18038.8333333333,1
"407",1,3,1973,1970,18049.6666666667,0
"408",1,3,1973,1969,18226.1666666667,1
"409",1,4,1973,1969,18238.3333333333,0
"410",1,4,1973,1968,18959.8333333333,1
"411",1,5,1973,1968,18963.6666666667,0
"412",1,5,1973,1967,20498.5,1
"413",1,6,1973,1967,20504.5,0
"414",1,6,1973,1966,22263.5,1
"415",1,7,1973,1966,22273,0
"416",1,7,1973,1965,21555.8333333333,1
"417",1,8,1973,1965,21560.1666666667,0
"418",1,8,1973,1964,21011.8333333333,1
"419",1,9,1973,1964,21023.1666666667,0
"420",1,9,1973,1963,20669.1666666667,1
"421",1,10,1973,1963,20677.3333333333,0
"422",1,10,1973,1962,19441.6666666667,1
"423",1,11,1973,1962,19444.3333333333,0
"424",1,11,1973,1961,19114.8333333333,1
"425",1,12,1973,1961,19122.1666666667,0
"426",1,12,1973,1960,19042,1
"427",1,13,1973,1960,19054,0
"428",1,13,1973,1959,18576.3333333333,1
"429",1,14,1973,1959,18587.1666666667,0
"430",1,14,1973,1958,18828.3333333333,1
"431",1,15,1973,1958,18851.6666666667,0
"432",1,15,1973,1957,18981.5,1
"433",1,16,1973,1957,19001,0
"434",1,16,1973,1956,19234.6666666667,1
"435",1,17,1973,1956,19252.3333333333,0
"436",1,17,1973,1955,19299,1
"437",1,18,1973,1955,19321.5,0
"438",1,18,1973,1954,18980.5,1
"439",1,19,1973,1954,19020.5,0
"440",1,19,1973,1953,19570,1
"441",1,20,1973,1953,19605,0
"442",1,20,1973,1952,19265.1666666667,1
"443",1,21,1973,1952,19293.8333333333,0
"444",1,21,1973,1951,19175.3333333333,1
"445",1,22,1973,1951,19227.1666666667,0
"446",1,22,1973,1950,19631.3333333333,1
"447",1,23,1973,1950,19678.6666666667,0
"448",1,23,1973,1949,19769.3333333333,1
"449",1,24,1973,1949,19816.1666666667,0
"450",1,24,1973,1948,20946.1666666667,1
"451",1,25,1973,1948,20978.3333333333,0
"452",1,25,1973,1947,22412.5,1
"453",1,26,1973,1947,22435,0
"454",1,26,1973,1946,23311.5,1
"455",1,27,1973,1946,23325.5,0
"456",1,27,1973,1945,22730.8333333333,1
"457",1,28,1973,1945,22728.6666666667,0
"458",1,28,1973,1944,21686.8333333333,1
"459",1,29,1973,1944,21672.6666666667,0
"460",1,29,1973,1943,19871.5,1
"461",1,30,1973,1943,19873.5,0
"462",1,30,1973,1942,18830.1666666667,1
"463",1,31,1973,1942,18832.3333333333,0
"464",1,31,1973,1941,16760.3333333333,1
"465",1,32,1973,1941,16753.6666666667,0
"466",1,32,1973,1940,16305.8333333333,1
"467",1,33,1973,1940,16300.6666666667,0
"468",1,33,1973,1939,15840.5,1
"469",1,34,1973,1939,15837.5,0
"470",1,34,1973,1938,15673.1666666667,1
"471",1,35,1973,1938,15668.3333333333,0
"472",1,35,1973,1937,15153.3333333333,1
"473",1,36,1973,1937,15146.6666666667,0
"474",1,36,1973,1936,14797.5,1
"475",1,37,1973,1936,14788.5,0
"476",1,37,1973,1935,14375.8333333333,1
"477",1,38,1973,1935,14367.1666666667,0
"478",1,38,1973,1934,14187.3333333333,1
"479",1,39,1973,1934,14177.6666666667,0
"480",1,39,1973,1933,13842,1
"481",1,40,1973,1933,13841.5,0
"482",1,40,1973,1932,13788.5,1
"483",1,41,1973,1932,13780.5,0
"484",1,41,1973,1931,13787.8333333333,1
"485",1,42,1973,1931,13779.6666666667,0
"486",1,42,1973,1930,13919.6666666667,1
"487",1,43,1973,1930,13908.3333333333,0
"488",1,43,1973,1929,13642.5,1
"489",1,44,1973,1929,13623.5,0
"490",1,44,1973,1928,14240.8333333333,1
"491",1,45,1973,1928,14229.6666666667,0
"492",1,45,1973,1927,14011.5,1
"493",1,46,1973,1927,13990.5,0
"494",1,46,1973,1926,14283,1
"495",1,47,1973,1926,14257.5,0
"496",1,47,1973,1925,14370.8333333333,1
"497",1,48,1973,1925,14345.6666666667,0
"498",1,48,1973,1924,14784.8333333333,1
"499",1,49,1973,1924,14758.1666666667,0
"500",1,49,1973,1923,14715.1666666667,1
"501",1,50,1973,1923,14681.3333333333,0
"502",1,50,1973,1922,14514,1
"503",1,51,1973,1922,14478,0
"504",1,51,1973,1921,15312.6666666667,1
"505",1,52,1973,1921,15270.3333333333,0
"506",1,52,1973,1920,15803.3333333333,1
"507",1,53,1973,1920,15760.6666666667,0
"508",1,53,1973,1919,13705.6666666667,1
"509",1,54,1973,1919,13664.3333333333,0
"510",1,54,1973,1918,14161.8333333333,1
"511",1,55,1973,1918,14112.6666666667,0
"512",1,55,1973,1917,13552.1666666667,1
"513",1,56,1973,1917,13500.8333333333,0
"514",1,56,1973,1916,13555.6666666667,1
"515",1,57,1973,1916,13501.3333333333,0
"516",1,57,1973,1915,13261,1
"517",1,58,1973,1915,13197,0
"518",1,58,1973,1914,13703.1666666667,1
"519",1,59,1973,1914,13641.8333333333,0
"520",1,59,1973,1913,13556.6666666667,1
"521",1,60,1973,1913,13485.3333333333,0
"522",1,60,1973,1912,13741.3333333333,1
"523",1,61,1973,1912,13654.6666666667,0
"524",1,61,1973,1911,13200,1
"525",1,62,1973,1911,13111,0
"526",1,62,1973,1910,12969,1
"527",1,63,1973,1910,12874,0
"528",1,63,1973,1909,12905.1666666667,1
"529",1,64,1973,1909,12812.3333333333,0
"530",1,64,1973,1908,12027.3333333333,1
"531",1,65,1973,1908,11918.6666666667,0
"532",1,65,1973,1907,11377.3333333333,1
"533",1,66,1973,1907,11258.6666666667,0
"534",1,66,1973,1906,10803.5,1
"535",1,67,1973,1906,10686,0
"536",1,67,1973,1905,10331.5,1
"537",1,68,1973,1905,10205.5,0
"538",1,68,1973,1904,9774.33333333333,1
"539",1,69,1973,1904,9648.66666666667,0
"540",1,69,1973,1903,9210,1
"541",1,70,1973,1903,9079,0
"542",1,70,1973,1902,8848.5,1
"543",1,71,1973,1902,8702,0
"544",1,71,1973,1901,8201.33333333333,1
"545",1,72,1973,1901,8071.66666666667,0
"546",1,72,1973,1900,7599.33333333333,1
"547",1,73,1973,1900,7462.66666666667,0
"548",1,73,1973,1899,6858.66666666667,1
"549",1,74,1973,1899,6721.83333333333,0
"550",1,74,1973,1898,6618.5,1
"551",1,75,1973,1898,6476,0
"552",1,75,1973,1897,6036.5,1
"553",1,76,1973,1897,5891,0
"554",1,76,1973,1896,5564.5,1
"555",1,77,1973,1896,5422.5,0
"556",1,77,1973,1895,5083.66666666667,1
"557",1,78,1973,1895,4952.83333333333,0
"558",1,78,1973,1894,4614.83333333333,1
"559",1,79,1973,1894,4475.66666666667,0
"560",1,79,1973,1893,4012,1
"561",1,80,1973,1893,3884.5,0
"562",1,80,1973,1892,3425.5,1
"563",1,81,1973,1892,3306.5,0
"564",1,81,1973,1891,3173.33333333333,1
"565",1,82,1973,1891,3050.16666666667,0
"566",1,82,1973,1890,2717,1
"567",1,83,1973,1890,2608.5,0
"568",1,83,1973,1889,2302.16666666667,1
"569",1,84,1973,1889,2193.83333333333,0
"570",1,84,1973,1888,2005.5,1
"571",1,85,1973,1888,1906.5,0
"572",1,85,1973,1887,1686.33333333333,1
"573",1,86,1973,1887,1595.16666666667,0
"574",1,86,1973,1886,1364.5,1
"575",1,87,1973,1886,1276,0
"576",1,87,1973,1885,1104.66666666667,1
"577",1,88,1973,1885,1039.83333333333,0
"578",1,88,1973,1884,909.5,1
"579",1,89,1973,1884,845.5,0
"580",1,89,1973,1883,641.5,1
"581",1,90,1973,1883,590.5,0
"582",1,90,1973,1882,523.833333333333,1
"583",1,91,1973,1882,482.666666666667,0
"584",1,91,1973,1881,364.333333333333,1
"585",1,92,1973,1881,330.166666666667,0
"586",1,92,1973,1880,262.666666666667,1
"587",1,93,1973,1880,238.333333333333,0
"588",1,93,1973,1879,185.833333333333,1
"589",1,94,1973,1879,164.666666666667,0
"590",1,94,1973,1878,131,1
"591",1,95,1973,1878,115,0
"592",1,95,1973,1877,82.8333333333333,1
"593",1,96,1973,1877,75.1666666666667,0
"594",1,96,1973,1876,48.6666666666667,1
"595",1,97,1973,1876,42.8333333333333,0
"596",1,97,1973,1875,36.3333333333333,1
"597",1,98,1973,1875,31.6666666666667,0
"598",1,98,1973,1874,18.8333333333333,1
"599",1,99,1973,1874,22.1666666666667,0
"600",1,99,1973,1873,28.8333333333333,1
"601",1,0,1974,1974,17813,0
"602",1,0,1974,1973,18150.3333333333,1
"603",1,1,1974,1973,18202.6666666667,0
"604",1,1,1974,1972,19115.8333333333,1
"605",1,2,1974,1972,19112.1666666667,0
"606",1,2,1974,1971,19208.3333333333,1
"607",1,3,1974,1971,19198.1666666667,0
"608",1,3,1974,1970,18054.5,1
"609",1,4,1974,1970,18048.5,0
"610",1,4,1974,1969,18241.3333333333,1
"611",1,5,1974,1969,18232.1666666667,0
"612",1,5,1974,1968,18961.6666666667,1
"613",1,6,1974,1968,18955.8333333333,0
"614",1,6,1974,1967,20507.3333333333,1
"615",1,7,1974,1967,20504.1666666667,0
"616",1,7,1974,1966,22270.5,1
"617",1,8,1974,1966,22258.5,0
"618",1,8,1974,1965,21561.5,1
"619",1,9,1974,1965,21558.5,0
"620",1,9,1974,1964,21034,1
"621",1,10,1974,1964,21033.5,0
"622",1,10,1974,1963,20675.6666666667,1
"623",1,11,1974,1963,20665.8333333333,0
"624",1,11,1974,1962,19448.6666666667,1
"625",1,12,1974,1962,19450.3333333333,0
"626",1,12,1974,1961,19126.1666666667,1
"627",1,13,1974,1961,19122.8333333333,0
"628",1,13,1974,1960,19066.5,1
"629",1,14,1974,1960,19067,0
"630",1,14,1974,1959,18604.3333333333,1
"631",1,15,1974,1959,18610.6666666667,0
"632",1,15,1974,1958,18888.5,1
"633",1,16,1974,1958,18902,0
"634",1,16,1974,1957,19027.6666666667,1
"635",1,17,1974,1957,19034.8333333333,0
"636",1,17,1974,1956,19273.1666666667,1
"637",1,18,1974,1956,19276.3333333333,0
"638",1,18,1974,1955,19339.1666666667,1
"639",1,19,1974,1955,19334.3333333333,0
"640",1,19,1974,1954,19039.8333333333,1
"641",1,20,1974,1954,19019.1666666667,0
"642",1,20,1974,1953,19606.1666666667,1
"643",1,21,1974,1953,19572.3333333333,0
"644",1,21,1974,1952,19290.3333333333,1
"645",1,22,1974,1952,19258.1666666667,0
"646",1,22,1974,1951,19256.3333333333,1
"647",1,23,1974,1951,19233.6666666667,0
