"","age","per","sex","risk","dt","rt","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15"
"28",1,58,2,179250,243,1.356,0.073,0.117,0.017,0.033,0.006,0.167,0,0.011,0.29,0.011,0.1,0,0.006,0.223,0.301
"29",1,63,1,206667,263,1.273,0.034,0.077,0.015,0.005,0.015,0.106,0.019,0.044,0.198,0.015,0.077,0,0.034,0.198,0.435
"30",1,63,2,197145,230,1.167,0.086,0.127,0.01,0.005,0,0.091,0,0.081,0.162,0.015,0.066,0.005,0.036,0.238,0.243
"31",1,68,1,192633,217,1.126,0.073,0.114,0.016,0.01,0.01,0.078,0.026,0.016,0.114,0.005,0.021,0,0.031,0.27,0.343
"32",1,68,2,182414,158,0.866,0.033,0.093,0,0.011,0,0.088,0.016,0.049,0.082,0.005,0.027,0,0.022,0.17,0.269
"33",1,73,1,183117,173,0.945,0.098,0.071,0.011,0.022,0,0.071,0,0.005,0.104,0,0.016,0.005,0.033,0.251,0.257
"34",1,73,2,175195,110,0.628,0.063,0.08,0.011,0.011,0,0.029,0.011,0.023,0.046,0.011,0.006,0.006,0.029,0.143,0.16
"35",1,78,1,153424,136,0.886,0.033,0.065,0,0.013,0.013,0.098,0,0.007,0.085,0.007,0,0.013,0.013,0.326,0.215
"36",1,78,2,146598,96,0.655,0.055,0.068,0,0.014,0,0.048,0.007,0.02,0.082,0,0,0.007,0,0.205,0.15
"37",1,83,1,135025,99,0.733,0.059,0.067,0.007,0.015,0,0.081,0,0.007,0.067,0.015,0,0,0.03,0.318,0.067
"38",1,83,2,129338,93,0.719,0.07,0.07,0.008,0.023,0.008,0.062,0,0.015,0.046,0,0,0.008,0.039,0.255,0.116
"39",1,88,1,105338,85,0.807,0.057,0.019,0,0.028,0,0.114,0.009,0.009,0.076,0.009,0,0,0.038,0.199,0.247
"40",1,88,2,99561,77,0.773,0.131,0.06,0,0.03,0,0.07,0,0.01,0.05,0,0.01,0,0.01,0.191,0.211
"41",2,43,1,198225,503,2.538,0.757,0.111,0.055,0.015,0.025,0.212,0.005,0.061,0.363,0,0.257,0.015,0.055,0.015,0.59
"42",2,43,2,190045,412,2.168,0.674,0.084,0.016,0,0.037,0.205,0.005,0.047,0.353,0.005,0.189,0.026,0.026,0.016,0.484
"43",2,48,1,216334,370,1.71,0.291,0.125,0.028,0.014,0.032,0.125,0,0.046,0.171,0.009,0.065,0.014,0.032,0.055,0.703
"44",2,48,2,205912,267,1.297,0.243,0.121,0.005,0.005,0.015,0.117,0.005,0.034,0.189,0.01,0.053,0.01,0.019,0.039,0.432
"45",2,53,1,191969,244,1.271,0.073,0.161,0.026,0,0.01,0.135,0,0,0.135,0,0.094,0.021,0.016,0.109,0.49
"46",2,53,2,182034,149,0.819,0.066,0.126,0.011,0.005,0.005,0.104,0.005,0.005,0.088,0.005,0.071,0,0,0.066,0.258
"47",2,58,1,188161,188,0.999,0.027,0.133,0.021,0,0.005,0.122,0,0.011,0.133,0,0.027,0,0,0.112,0.409
"48",2,58,2,178940,135,0.754,0.034,0.129,0.006,0.006,0,0.101,0,0.006,0.095,0,0.022,0,0.011,0.078,0.268
"49",2,63,1,200420,167,0.833,0.045,0.12,0.01,0.01,0.005,0.05,0.01,0.02,0.08,0.005,0.04,0.005,0.005,0.08,0.349
"50",2,63,2,191792,141,0.735,0.031,0.083,0.005,0,0.01,0.068,0.005,0.036,0.099,0.01,0.016,0.016,0.031,0.104,0.219
"51",2,68,1,199158,162,0.813,0.05,0.115,0,0.01,0.005,0.045,0.01,0.005,0.07,0,0.01,0.005,0.01,0.09,0.387
"52",2,68,2,188889,110,0.582,0.058,0.111,0,0.011,0.005,0.005,0.005,0.011,0.032,0.005,0.005,0,0,0.127,0.206
"53",2,73,1,185367,125,0.674,0.059,0.076,0,0.027,0.005,0.049,0,0.011,0.043,0.005,0.005,0,0.011,0.135,0.248
"54",2,73,2,177361,85,0.479,0.006,0.062,0.006,0.011,0,0.068,0,0,0.023,0,0,0,0.011,0.101,0.192
"55",2,78,1,160548,86,0.536,0.044,0.031,0.012,0,0.012,0.044,0,0,0.031,0,0,0,0.006,0.187,0.168
"56",2,78,2,153308,60,0.391,0.039,0.046,0.007,0.013,0,0.052,0,0.007,0.026,0,0,0,0.02,0.091,0.091
"57",2,83,1,135385,54,0.399,0.066,0.052,0,0.015,0,0.03,0,0.007,0.03,0,0,0,0,0.089,0.111
"58",2,83,2,129923,53,0.408,0.023,0.054,0,0.015,0,0.015,0,0,0.038,0,0,0,0.015,0.1,0.146
"59",2,88,1,102196,63,0.616,0.049,0.088,0,0.02,0.01,0.059,0,0,0.029,0,0,0,0.02,0.137,0.205
"60",2,88,2,96730,31,0.32,0.031,0.062,0,0,0,0.021,0,0,0.01,0,0,0,0.01,0.083,0.103
"61",3,43,1,185508,332,1.79,0.442,0.199,0.043,0.011,0.016,0.119,0,0.059,0.183,0.005,0.14,0.022,0.011,0.027,0.512
"62",3,43,2,178594,254,1.422,0.538,0.09,0.022,0.017,0.017,0.112,0,0.022,0.146,0.006,0.112,0.006,0.011,0.017,0.308
"63",3,48,1,222161,238,1.071,0.113,0.086,0.023,0,0.009,0.068,0.005,0.023,0.099,0,0.054,0.014,0.014,0.014,0.554
"64",3,48,2,211090,203,0.962,0.246,0.128,0.019,0,0.005,0.081,0,0.033,0.095,0.005,0.043,0.014,0.005,0.014,0.275
"65",3,53,1,192572,192,0.997,0.088,0.203,0.021,0.01,0.01,0.047,0,0,0.114,0,0.047,0.021,0,0.078,0.358
"66",3,53,2,183303,125,0.682,0.071,0.125,0.016,0.011,0.005,0.065,0.005,0.005,0.098,0.005,0.027,0.005,0,0.055,0.185
"67",3,58,1,188699,154,0.816,0.037,0.18,0.011,0.005,0.005,0.064,0,0.016,0.053,0.011,0.021,0.005,0,0.074,0.334
"68",3,58,2,179128,108,0.603,0.028,0.117,0.011,0,0,0.073,0,0,0.078,0,0.017,0,0,0.056,0.223
"69",3,63,1,195022,164,0.841,0.021,0.231,0.005,0.005,0.01,0.062,0,0.015,0.026,0.01,0.021,0.005,0.005,0.092,0.333
"70",3,63,2,187182,123,0.657,0.032,0.15,0.011,0.005,0.005,0.032,0,0.005,0.085,0.005,0.011,0,0.005,0.059,0.251
"71",3,68,1,205269,154,0.75,0.044,0.127,0.005,0.019,0,0.029,0,0.01,0.034,0.005,0,0,0,0.127,0.351
"72",3,68,2,194934,101,0.518,0.026,0.097,0.005,0,0,0.051,0,0,0.051,0,0.015,0,0.005,0.067,0.2
"73",3,73,1,185248,103,0.556,0.011,0.097,0.005,0.022,0,0.054,0,0.005,0.032,0.005,0.016,0,0,0.054,0.254
"74",3,73,2,176718,57,0.323,0.006,0.085,0,0.006,0,0.045,0,0,0.006,0,0.011,0,0,0.079,0.085
"75",3,78,1,167174,64,0.383,0.024,0.054,0.006,0.012,0.006,0.024,0.006,0,0.006,0.006,0,0.006,0.006,0.078,0.15
"76",3,78,2,159943,49,0.306,0.025,0.025,0,0.006,0.006,0.019,0.006,0.013,0.025,0,0,0,0.006,0.044,0.131
"77",3,83,1,138189,51,0.369,0.007,0.051,0,0.014,0,0.051,0,0,0.007,0,0.007,0,0.007,0.08,0.145
"78",3,83,2,132695,34,0.256,0.03,0.045,0,0.015,0,0.03,0,0.008,0.008,0,0.008,0,0.008,0.023,0.083
"79",3,88,1,99281,42,0.423,0.06,0.05,0,0.02,0,0.02,0,0,0.01,0,0,0,0.01,0.081,0.171
"80",3,88,2,94351,21,0.223,0.032,0.032,0.021,0,0,0.011,0.021,0,0.011,0,0.011,0,0,0.032,0.053
"81",4,43,1,175375,224,1.277,0.285,0.108,0.029,0,0.011,0.091,0,0.063,0.12,0,0.108,0.017,0.023,0,0.422
"82",4,43,2,168772,183,1.084,0.338,0.119,0.018,0,0.006,0.095,0,0.036,0.089,0,0.124,0.012,0.018,0.006,0.225
"83",4,48,1,223421,203,0.909,0.139,0.13,0.027,0.009,0.013,0.063,0,0.027,0.036,0.004,0.058,0.018,0.009,0.027,0.349
"84",4,48,2,212873,144,0.676,0.136,0.099,0.009,0,0.014,0.047,0.005,0.019,0.056,0.009,0.033,0.014,0.005,0.028,0.202
"85",4,53,1,194478,132,0.679,0.036,0.113,0.026,0.005,0.005,0.067,0,0.005,0.057,0,0.01,0.005,0.005,0.031,0.314
"86",4,53,2,185451,100,0.539,0.032,0.146,0.016,0.005,0,0.049,0.005,0,0.065,0.005,0.022,0.011,0.005,0.054,0.124
"87",4,58,1,189479,127,0.67,0.026,0.111,0.005,0.005,0,0.021,0,0.005,0.063,0.005,0.021,0.005,0.005,0.058,0.338
"88",4,58,2,179821,75,0.417,0.022,0.128,0,0.006,0,0.05,0,0,0.05,0,0.017,0,0,0.05,0.095
"89",4,63,1,190823,121,0.634,0.016,0.126,0.005,0.01,0,0.031,0,0.005,0.068,0.01,0.01,0.01,0,0.052,0.288
"90",4,63,2,183172,96,0.524,0.005,0.126,0.016,0.005,0.005,0.022,0.016,0.005,0.082,0.005,0.016,0,0.005,0.071,0.142
"91",4,68,1,209585,130,0.62,0.005,0.162,0,0.01,0,0.029,0.005,0.005,0.01,0,0.005,0,0,0.072,0.32
"92",4,68,2,199576,86,0.431,0.025,0.1,0.01,0.01,0,0.015,0,0,0.02,0,0,0.015,0.005,0.055,0.175
"93",4,73,1,186129,76,0.408,0.011,0.086,0,0.016,0.005,0.005,0.005,0.005,0.027,0,0,0,0,0.048,0.199
"94",4,73,2,176943,59,0.333,0.017,0.073,0.017,0.011,0,0.017,0,0.006,0.034,0,0,0.006,0.006,0.057,0.09
"95",4,78,1,172461,51,0.296,0.012,0.035,0,0,0.006,0.041,0,0,0.017,0,0.006,0,0.006,0.029,0.145
"96",4,78,2,165170,48,0.291,0.024,0.067,0,0.006,0,0.03,0,0.006,0.018,0.006,0,0,0,0.036,0.097
"97",4,83,1,142962,44,0.308,0.021,0.063,0.007,0,0,0,0,0.007,0.007,0,0.021,0,0,0.042,0.14
"98",4,83,2,137197,35,0.255,0,0.044,0.007,0,0,0.022,0,0,0,0,0.007,0.007,0.007,0.029,0.131
"99",4,88,1,96646,26,0.269,0.041,0.052,0.01,0,0,0.01,0,0.01,0.021,0,0,0,0,0.052,0.072
"100",4,88,2,92389,27,0.292,0.011,0.108,0.011,0.011,0,0.032,0,0,0.022,0,0.011,0,0.011,0.054,0.022
"101",5,43,1,167919,182,1.084,0.286,0.036,0.018,0.006,0.018,0.077,0.006,0.042,0.071,0.006,0.083,0.012,0.006,0,0.417
"102",5,43,2,161795,136,0.841,0.173,0.08,0.012,0,0.006,0.087,0.019,0.068,0.037,0.012,0.043,0.019,0.019,0.012,0.253
"103",5,48,1,219210,182,0.83,0.128,0.128,0.014,0.009,0.005,0.05,0.005,0.027,0.055,0.005,0.036,0.009,0.009,0.014,0.338
"104",5,48,2,209631,113,0.539,0.114,0.052,0.014,0.01,0.005,0.038,0.01,0.01,0.048,0,0.038,0.01,0.024,0.01,0.157
"105",5,53,1,199005,124,0.623,0.045,0.111,0.01,0.005,0.005,0.06,0.005,0,0.04,0,0.02,0.02,0.01,0.025,0.266
"106",5,53,2,190187,82,0.431,0.032,0.105,0,0.005,0,0.026,0,0,0.005,0.005,0.021,0.005,0.005,0.032,0.189
"107",5,58,1,190183,126,0.663,0.032,0.126,0.005,0.011,0.011,0.068,0,0.005,0.026,0,0.011,0.005,0.005,0.042,0.315
"108",5,58,2,180369,65,0.36,0.011,0.067,0.011,0.006,0,0.033,0,0.011,0,0,0,0.006,0,0.039,0.177
"109",5,63,1,188921,107,0.566,0.021,0.074,0.005,0,0.005,0.042,0,0,0.005,0.005,0.021,0.011,0,0.069,0.307
"110",5,63,2,180826,75,0.415,0.022,0.094,0,0,0.006,0.011,0.006,0.006,0.055,0,0.022,0.006,0,0.028,0.16
"111",5,68,1,210228,125,0.595,0.01,0.119,0.005,0.005,0,0.048,0,0.005,0.033,0,0.005,0,0,0.057,0.309
"112",5,68,2,200543,78,0.389,0.015,0.095,0.005,0,0,0.02,0,0,0.025,0.005,0.005,0.005,0.01,0.035,0.17
"113",5,73,1,188243,69,0.367,0.011,0.106,0,0.005,0.005,0.032,0.005,0,0.011,0,0,0,0.016,0.032,0.143
"114",5,73,2,178652,58,0.325,0,0.09,0.006,0.006,0,0.022,0,0.006,0,0,0.011,0,0,0.05,0.134
"115",5,78,1,178071,52,0.292,0,0.073,0.006,0.006,0.006,0.011,0.006,0,0.011,0.006,0,0,0.006,0.062,0.101
"116",5,78,2,170725,43,0.252,0.012,0.035,0.006,0.006,0,0.018,0,0,0.012,0,0,0.006,0.006,0.041,0.111
"117",5,83,1,148159,34,0.229,0.007,0.061,0,0,0,0.013,0.007,0,0.013,0,0.007,0,0,0.034,0.088
"118",5,83,2,142096,23,0.162,0.007,0.035,0,0.007,0,0,0.007,0.007,0.007,0,0,0,0,0.035,0.056
"119",5,88,1,94936,27,0.284,0.011,0.053,0.011,0.011,0,0.032,0,0,0,0,0,0,0,0.032,0.137
"120",5,88,2,90975,14,0.154,0.011,0.055,0,0,0,0.011,0,0,0,0,0,0,0,0,0.077
"121",6,43,1,163170,148,0.907,0.227,0.067,0.018,0.006,0,0.055,0,0.049,0.037,0,0.067,0.037,0.025,0.012,0.306
"122",6,43,2,157772,111,0.704,0.19,0.051,0.032,0.006,0.013,0.044,0,0.044,0.032,0.006,0.025,0.013,0,0,0.247
"123",6,48,1,209613,141,0.673,0.114,0.105,0.024,0.014,0.019,0.067,0,0.019,0.024,0.005,0.024,0.014,0,0.01,0.234
"124",6,48,2,200763,73,0.364,0.05,0.07,0.015,0,0,0.02,0.005,0.02,0.035,0,0.015,0.005,0.01,0.01,0.11
"125",6,53,1,206334,100,0.485,0.039,0.073,0.01,0,0.015,0.024,0.005,0.005,0.024,0.005,0.015,0.01,0,0.024,0.237
"126",6,53,2,197478,52,0.263,0.025,0.061,0.01,0.005,0,0.035,0,0.005,0.025,0,0,0,0,0.015,0.081
"127",6,58,1,190184,110,0.578,0.016,0.142,0.005,0.005,0.005,0.042,0,0.011,0.037,0,0.005,0.011,0,0.053,0.247
"128",6,58,2,180281,68,0.377,0.017,0.1,0.006,0.006,0,0.017,0,0.006,0.028,0,0.011,0.017,0,0.044,0.128
"129",6,63,1,188483,105,0.557,0.016,0.117,0,0,0,0.016,0,0,0.005,0.016,0.005,0,0.005,0.027,0.35
"130",6,63,2,179966,59,0.328,0.033,0.067,0.011,0.006,0,0.028,0.006,0,0.011,0,0.011,0.011,0,0.05,0.094
"131",6,68,1,206136,115,0.558,0.01,0.116,0,0.005,0.01,0.029,0.005,0,0.01,0,0.015,0,0,0.044,0.315
"132",6,68,2,196794,71,0.361,0.005,0.086,0,0,0,0.015,0.005,0,0.02,0.005,0.01,0.005,0,0.03,0.178
"133",6,73,1,192719,88,0.457,0,0.093,0,0.005,0.016,0.031,0.01,0,0.016,0,0,0,0.005,0.042,0.239
"134",6,73,2,183013,55,0.301,0.022,0.038,0,0.005,0.005,0.011,0,0.005,0.016,0,0,0,0.005,0.055,0.137
"135",6,78,1,183663,51,0.278,0,0.109,0,0,0,0.005,0,0.005,0,0,0.005,0,0,0.049,0.103
"136",6,78,2,176242,46,0.261,0.006,0.04,0.006,0.011,0,0.023,0,0,0.023,0,0.006,0,0,0.051,0.096
"137",6,83,1,153750,30,0.195,0.013,0.065,0.007,0,0,0.013,0,0,0.007,0,0,0,0,0.033,0.059
"138",6,83,2,147200,22,0.149,0.007,0.041,0,0,0,0.02,0,0.007,0,0,0,0,0,0.02,0.054
"139",6,88,1,94557,26,0.275,0.011,0.074,0,0,0,0.032,0,0,0,0,0,0,0,0.021,0.137
"140",6,88,2,90626,23,0.254,0,0.033,0,0.011,0,0.011,0,0,0.011,0,0,0,0.011,0.044,0.132
"141",7,43,1,160104,138,0.862,0.194,0.037,0.019,0.006,0,0.081,0,0.044,0.044,0.006,0.062,0.037,0.006,0.019,0.306
"142",7,43,2,155070,92,0.593,0.155,0.026,0.013,0,0,0.045,0.006,0.019,0.006,0,0.09,0,0,0.026,0.206
"143",7,48,1,196689,117,0.595,0.071,0.056,0.01,0.005,0,0.056,0,0.02,0.036,0,0.036,0.02,0.005,0.005,0.275
"144",7,48,2,188885,88,0.466,0.101,0.048,0,0,0.005,0.048,0.011,0.032,0.026,0.005,0.026,0.011,0.005,0.016,0.132
"145",7,53,1,214282,106,0.495,0.028,0.093,0.014,0,0.009,0.028,0,0.005,0.023,0.005,0.009,0.014,0.005,0.009,0.252
"146",7,53,2,204738,71,0.347,0.024,0.078,0.015,0.005,0,0.024,0.005,0.01,0.029,0,0.01,0.015,0,0.034,0.098
"147",7,58,1,190240,99,0.52,0,0.116,0.005,0.005,0.005,0.053,0.005,0.016,0.011,0.005,0.011,0.011,0,0.047,0.231
"148",7,58,2,180823,44,0.243,0,0.044,0.006,0,0.006,0.022,0,0.006,0.006,0.017,0.022,0.006,0,0.028,0.083
"149",7,63,1,188508,98,0.52,0.016,0.048,0.011,0.005,0,0.016,0,0.005,0,0,0.005,0.005,0.011,0.074,0.324
"150",7,63,2,179533,60,0.334,0.011,0.05,0.011,0.006,0,0.017,0.006,0,0.022,0.006,0,0,0,0.033,0.173
"151",7,68,1,200637,123,0.613,0.015,0.075,0,0.01,0.01,0.025,0.005,0,0.015,0,0.01,0,0.01,0.05,0.389
"152",7,68,2,191809,57,0.297,0.005,0.057,0,0.01,0,0.021,0.005,0,0.01,0,0,0,0,0.021,0.167
"153",7,73,1,199317,95,0.477,0.005,0.115,0.005,0.015,0,0.03,0.005,0.005,0.01,0,0,0,0.01,0.05,0.226
"154",7,73,2,189402,62,0.327,0.005,0.095,0,0.005,0,0.005,0,0,0.011,0,0,0,0,0.069,0.137
"155",7,78,1,185720,52,0.28,0,0.086,0.005,0,0.005,0.005,0.005,0,0.011,0,0,0,0,0.011,0.151
"156",7,78,2,178020,35,0.197,0.017,0.073,0.006,0.006,0,0.011,0,0.006,0.006,0,0,0,0,0.022,0.051
"157",7,83,1,160711,33,0.205,0.006,0.037,0.006,0,0,0.006,0,0.012,0,0,0,0,0,0.006,0.131
"158",7,83,2,153616,23,0.15,0,0.046,0.007,0,0,0.013,0,0,0,0,0,0,0,0.033,0.052
"159",7,88,1,96003,27,0.281,0.01,0.042,0,0.01,0,0.01,0,0.01,0,0,0,0,0,0.021,0.177
"160",7,88,2,92227,19,0.206,0.011,0.043,0.011,0,0.011,0.011,0,0,0.022,0,0.011,0,0,0.022,0.065
"161",8,43,1,156998,138,0.879,0.217,0.051,0.019,0.006,0,0.045,0,0.051,0.038,0,0.07,0.032,0,0.006,0.344
"162",8,43,2,152187,99,0.651,0.131,0.02,0.033,0.026,0,0.039,0,0.066,0.013,0,0.059,0.033,0,0.013,0.217
"163",8,48,1,184689,98,0.531,0.065,0.049,0.011,0.005,0.011,0.022,0.005,0.032,0.022,0.005,0.027,0.016,0,0.005,0.254
"164",8,48,2,177822,59,0.332,0.084,0.039,0.017,0,0,0.034,0.006,0.022,0.017,0,0.006,0.011,0,0.011,0.084
"165",8,53,1,220488,92,0.417,0.027,0.077,0.009,0,0.005,0.041,0.005,0.009,0.009,0.005,0.018,0.009,0,0.023,0.181
"166",8,53,2,210008,47,0.224,0.019,0.01,0,0,0,0.024,0,0.01,0.005,0,0.014,0.005,0,0.033,0.105
"167",8,58,1,190971,87,0.456,0.016,0.079,0.005,0,0,0.037,0,0.01,0.021,0,0.005,0.01,0,0.021,0.251
"168",8,58,2,182280,61,0.335,0.011,0.071,0.005,0,0,0.027,0.005,0,0.016,0,0.005,0.005,0.005,0.044,0.137
"169",8,63,1,188784,83,0.44,0.005,0.111,0,0,0.005,0.016,0,0,0.005,0,0.011,0.005,0,0.037,0.244
"170",8,63,2,179554,55,0.306,0.006,0.072,0.017,0.006,0.006,0.033,0,0,0.011,0,0.006,0.011,0,0.033,0.106
"171",8,68,1,195804,106,0.541,0.01,0.051,0.01,0,0.01,0.041,0.005,0.005,0.015,0,0.005,0.01,0,0.026,0.352
"172",8,68,2,187450,54,0.288,0.011,0.053,0,0,0.011,0.005,0,0.005,0.016,0,0,0.005,0,0.021,0.16
"173",8,73,1,205639,80,0.389,0,0.034,0.005,0.01,0.005,0.015,0,0,0.015,0,0,0.005,0,0.044,0.258
"174",8,73,2,195444,44,0.225,0,0.031,0.005,0.015,0,0.026,0,0,0.005,0.005,0.005,0,0,0.026,0.107
"175",8,78,1,185604,66,0.356,0,0.086,0,0.011,0.016,0.005,0,0.005,0,0,0,0,0,0.043,0.189
"176",8,78,2,177328,27,0.152,0,0.045,0,0.006,0,0,0,0,0,0,0,0.006,0,0.023,0.073
"177",8,83,1,167295,42,0.251,0.006,0.09,0.006,0.012,0,0.018,0,0,0.006,0,0,0,0,0.012,0.102
"178",8,83,2,160106,28,0.175,0.006,0.044,0.006,0,0.006,0.006,0,0.006,0.006,0,0,0,0.006,0.012,0.075
"179",8,88,1,99431,29,0.292,0,0.08,0,0.01,0,0.01,0.01,0,0.01,0,0.01,0,0,0.01,0.151
"180",8,88,2,95561,13,0.136,0.021,0.01,0,0,0,0.021,0.021,0,0,0,0,0,0,0.021,0.042
"181",9,43,1,154143,120,0.778,0.182,0.032,0,0.006,0,0.071,0,0.052,0.032,0,0.097,0.032,0.006,0.013,0.253
"182",9,43,2,149520,86,0.575,0.134,0.027,0.02,0.013,0,0.033,0,0.067,0.02,0.007,0.06,0.007,0,0.02,0.167
"183",9,48,1,175076,112,0.64,0.143,0.074,0.011,0,0,0.051,0.011,0.011,0.017,0,0.006,0.017,0.011,0.011,0.274
"184",9,48,2,168788,61,0.361,0.059,0.018,0.036,0.006,0,0.047,0.006,0.024,0.024,0,0.03,0.006,0,0,0.107
"185",9,53,1,222105,91,0.41,0.009,0.059,0.009,0,0,0.023,0.005,0.005,0.014,0.005,0.018,0.018,0,0.027,0.221
"186",9,53,2,211580,49,0.232,0.009,0.066,0,0.009,0,0.024,0,0.005,0.024,0,0,0,0,0.019,0.076
"187",9,58,1,192894,85,0.441,0,0.073,0,0.005,0.01,0.031,0.005,0.01,0.021,0.005,0,0.021,0,0.031,0.228
"188",9,58,2,184366,60,0.325,0,0.076,0.005,0,0.005,0.022,0,0,0.016,0,0.016,0.011,0,0.033,0.141
"189",9,63,1,189482,100,0.528,0.011,0.127,0,0.005,0,0.016,0.005,0,0.011,0.011,0.005,0.005,0.005,0.032,0.296
"190",9,63,2,180241,44,0.244,0,0.05,0.006,0,0,0.011,0,0.006,0.006,0,0,0.011,0,0.028,0.128
"191",9,68,1,191580,89,0.465,0.005,0.057,0,0.005,0,0.01,0.005,0.005,0.021,0,0,0.01,0,0.052,0.292
"192",9,68,2,183500,66,0.36,0.005,0.065,0,0.022,0,0.011,0.005,0,0.027,0,0.005,0,0,0.033,0.185
"193",9,73,1,210169,89,0.423,0,0.071,0,0.01,0,0.024,0.005,0,0.01,0,0.005,0.005,0,0.019,0.276
"194",9,73,2,200099,46,0.23,0.005,0.05,0,0,0.005,0.015,0,0,0.005,0,0.005,0.01,0,0.025,0.11
"195",9,78,1,186513,59,0.316,0,0.059,0.011,0.011,0,0.021,0.011,0.005,0.005,0,0,0,0,0.011,0.182
"196",9,78,2,177566,33,0.186,0,0.039,0,0.017,0,0.011,0.006,0.006,0,0,0.006,0,0,0.028,0.073
"197",9,83,1,172533,52,0.301,0.012,0.046,0.006,0.012,0.017,0.023,0,0.006,0,0,0.012,0,0,0.017,0.151
