"","agr","per","sex","risk","dt","rt","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15"
"33",65,43,1,328692,10674,32.474,0.98,7.502,0.295,0.818,0.237,1.013,2.136,11.439,1.798,0.566,1.174,2.312,0.639,0.225,1.339
"34",70,43,1,230092,12131,52.722,1.121,11.117,0.265,1.356,0.417,2.495,3.694,19.431,3.468,0.665,1.586,4.459,0.834,0.382,1.43
"35",75,43,1,140112,12165,86.823,1.085,14.717,0.578,1.442,0.507,7.33,5.995,32.845,6.602,1.006,2.355,8.436,1.113,0.578,2.234
"36",80,43,1,67780,9845,145.25,1.077,17.557,0.679,1.697,0.841,21.703,10.15,54.146,13.854,1.239,2.995,13.691,1.003,0.752,3.865
"37",85,43,1,24661,5681,230.36,1.46,17.599,0.608,0.77,0.73,52.836,12.652,82.276,25.141,1.338,5.028,19.869,1.744,1.054,7.258
"38",90,43,1,5955,2061,346.1,0.84,16.289,0.672,0.168,0.672,118.89,14.945,117.88,33.417,1.343,6.717,19.312,0.672,2.183,12.091
"39",0,48,1,1070000,8457,7.879,0.533,0.11,0.031,0.051,0.028,0.263,0.006,0.045,1.369,0.014,0.445,0.021,0.164,4.148,0.652
"40",5,48,1,985277,650,0.66,0.105,0.084,0.014,0.007,0.007,0.05,0.004,0.022,0.031,0.003,0.026,0.015,0.005,0.009,0.276
"41",10,48,1,798629,438,0.548,0.053,0.071,0.014,0.005,0.004,0.033,0.009,0.035,0.016,0.001,0.039,0.02,0.004,0.009,0.237
"42",15,48,1,743190,679,0.914,0.094,0.097,0.015,0.004,0.004,0.039,0.004,0.047,0.027,0.003,0.057,0.019,0.007,0.011,0.487
"43",20,48,1,744426,1030,1.384,0.183,0.122,0.017,0.017,0.007,0.043,0.011,0.066,0.021,0.009,0.051,0.038,0.009,0.015,0.774
"44",25,48,1,782473,1206,1.541,0.276,0.161,0.023,0.024,0.006,0.055,0.018,0.073,0.027,0.01,0.069,0.051,0.015,0.017,0.716
"45",30,48,1,773855,1302,1.682,0.264,0.173,0.041,0.017,0.01,0.063,0.027,0.109,0.041,0.014,0.089,0.054,0.008,0.018,0.753
"46",35,48,1,783859,1683,2.147,0.274,0.32,0.073,0.042,0.008,0.084,0.041,0.207,0.052,0.023,0.125,0.07,0.023,0.023,0.782
"47",40,48,1,754769,2326,3.082,0.331,0.551,0.086,0.06,0.015,0.101,0.069,0.476,0.087,0.061,0.205,0.105,0.049,0.024,0.863
"48",45,48,1,676719,3379,4.993,0.378,1.116,0.098,0.069,0.024,0.143,0.17,1.101,0.182,0.12,0.309,0.155,0.086,0.038,1.005
"49",50,48,1,600508,4623,7.698,0.463,1.807,0.193,0.107,0.032,0.193,0.351,2.09,0.265,0.148,0.488,0.265,0.133,0.048,1.116
"50",55,48,1,512338,6127,11.959,0.482,3.17,0.207,0.17,0.062,0.224,0.701,3.878,0.476,0.256,0.564,0.379,0.141,0.059,1.191
"51",60,48,1,435101,8230,18.915,0.667,4.799,0.253,0.391,0.087,0.296,1.65,6.447,0.781,0.319,0.722,0.807,0.172,0.101,1.423
"52",65,48,1,357699,10721,29.972,0.758,7.154,0.341,0.637,0.176,0.682,3.025,10.962,1.445,0.537,0.964,1.512,0.187,0.129,1.462
"53",70,48,1,269238,13406,49.792,0.862,11.072,0.36,0.995,0.316,1.237,6.032,19.017,2.648,0.769,1.382,2.942,0.234,0.171,1.757
"54",75,48,1,166646,13539,81.244,0.828,14.942,0.666,1.134,0.444,1.95,10.861,32.332,5.953,0.828,2.19,5.677,0.636,0.27,2.532
"55",80,48,1,80589,10892,135.15,0.807,19.047,1.142,1.278,0.757,6.378,17.844,55.243,11.739,1.328,2.966,10.15,2.072,0.335,4.07
"56",85,48,1,28464,5932,208.4,0.913,19.604,1.089,0.878,0.773,14.123,26.138,88.252,21.747,1.721,4.216,16.161,5.516,0.281,6.991
"57",90,48,1,7090,2737,386.04,1.128,17.772,2.116,0.564,0.564,39.21,34.838,140.06,42.031,2.821,3.385,18.759,17.913,50.212,14.669
"58",0,53,1,964446,6760,7.009,0.187,0.141,0.028,0.036,0.011,0.251,0.009,0.012,0.762,0.008,0.262,0.019,0.123,4.662,0.497
"59",5,53,1,1060000,513,0.483,0.029,0.082,0.01,0.001,0.007,0.035,0.004,0.005,0.022,0.004,0.016,0.014,0.003,0.022,0.231
"60",10,53,1,980929,387,0.395,0.013,0.067,0.006,0.002,0.005,0.032,0.008,0.009,0.012,0.005,0.008,0.009,0.001,0.027,0.19
"61",15,53,1,792339,677,0.854,0.024,0.09,0.009,0.004,0.001,0.032,0.009,0.024,0.028,0.001,0.02,0.034,0.006,0.033,0.54
"62",20,53,1,720516,938,1.302,0.024,0.139,0.011,0.008,0.001,0.029,0.007,0.042,0.022,0.004,0.032,0.043,0.003,0.017,0.92
"63",25,53,1,722781,887,1.227,0.055,0.169,0.012,0.028,0.006,0.04,0.018,0.066,0.021,0.007,0.035,0.053,0.012,0.022,0.683
"64",30,53,1,770073,1073,1.393,0.078,0.252,0.021,0.044,0.009,0.045,0.019,0.103,0.029,0.017,0.053,0.065,0.01,0.03,0.618
"65",35,53,1,759608,1321,1.739,0.074,0.324,0.028,0.038,0.003,0.065,0.036,0.236,0.053,0.024,0.065,0.058,0.012,0.024,0.703
"66",40,53,1,769441,2079,2.702,0.121,0.594,0.049,0.043,0.013,0.081,0.077,0.539,0.048,0.053,0.11,0.075,0.017,0.036,0.845
"67",45,53,1,738290,3278,4.44,0.127,1.103,0.074,0.051,0.019,0.122,0.158,1.2,0.13,0.107,0.188,0.122,0.037,0.034,0.967
"68",50,53,1,653868,5001,7.648,0.211,2.104,0.106,0.078,0.034,0.139,0.408,2.462,0.226,0.18,0.317,0.151,0.038,0.06,1.133
"69",55,53,1,571272,7066,12.369,0.275,3.42,0.103,0.098,0.033,0.231,0.851,4.564,0.378,0.292,0.413,0.32,0.049,0.075,1.266
"70",60,53,1,474199,9050,19.085,0.384,5.506,0.169,0.173,0.04,0.289,1.708,7.254,0.557,0.403,0.515,0.569,0.101,0.08,1.337
"71",65,53,1,386087,11754,30.444,0.474,8.014,0.231,0.21,0.101,0.414,3.629,12.186,0.839,0.609,0.808,1.204,0.104,0.122,1.5
"72",70,53,1,294788,14425,48.933,0.488,11.683,0.326,0.299,0.139,0.56,7.507,19.879,1.51,0.736,1.272,2.307,0.292,0.126,1.811
"73",75,53,1,195735,15741,80.42,0.679,16.119,0.511,0.393,0.209,0.976,13.809,33.443,3.132,1.206,1.717,4.685,0.761,0.215,2.565
"74",80,53,1,98563,13145,133.37,0.751,21.722,0.893,0.477,0.386,1.491,24.512,55.802,6.402,1.522,2.384,9.679,2.75,0.213,4.383
"75",85,53,1,34281,7208,210.26,0.642,24.27,0.933,0.408,0.671,2.509,36.259,91.217,13.827,1.721,2.946,17.036,8.81,0.204,8.81
"76",90,53,1,8919,2830,317.3,1.233,20.294,0.897,0.224,0.897,3.588,52.136,148,20.182,2.579,3.812,22.873,25.563,0.336,14.688
"77",0,58,1,943321,5520,5.852,0.086,0.128,0.018,0.028,0.011,0.174,0.001,0.017,0.461,0.011,0.154,0.006,0.124,4.266,0.368
"78",5,58,1,954472,507,0.531,0.013,0.107,0.004,0.005,0.006,0.046,0.002,0.01,0.023,0.002,0.006,0.012,0.001,0.039,0.255
"79",10,58,1,1060000,419,0.397,0.008,0.075,0.006,0.003,0.004,0.021,0.004,0.001,0.013,0,0.008,0.011,0.006,0.033,0.205
"80",15,58,1,974273,777,0.798,0.006,0.099,0.005,0.005,0.002,0.028,0.009,0.016,0.015,0.003,0.007,0.02,0.008,0.048,0.526
"81",20,58,1,769258,873,1.135,0.005,0.146,0.008,0.01,0.005,0.043,0.008,0.035,0.022,0,0.012,0.025,0.014,0.043,0.759
"82",25,58,1,697301,815,1.169,0.024,0.227,0.006,0.026,0.001,0.024,0.019,0.053,0.026,0.003,0.017,0.036,0.013,0.023,0.671
"83",30,58,1,711350,927,1.303,0.037,0.221,0.015,0.072,0.001,0.051,0.025,0.111,0.032,0.017,0.027,0.048,0.013,0.034,0.6
"84",35,58,1,761138,1324,1.74,0.037,0.368,0.032,0.058,0.005,0.067,0.028,0.255,0.039,0.026,0.062,0.08,0.026,0.032,0.625
"85",40,58,1,749265,2009,2.681,0.065,0.635,0.027,0.057,0.015,0.083,0.056,0.646,0.051,0.053,0.072,0.105,0.037,0.044,0.734
"86",45,58,1,754360,3257,4.318,0.076,1.038,0.037,0.058,0.008,0.127,0.129,1.355,0.098,0.107,0.125,0.126,0.08,0.054,0.9
"87",50,58,1,715823,5385,7.523,0.144,2.075,0.057,0.084,0.02,0.13,0.312,2.808,0.208,0.127,0.201,0.184,0.091,0.08,1.003
"88",55,58,1,622416,7814,12.554,0.201,3.57,0.101,0.103,0.035,0.183,0.733,4.921,0.429,0.239,0.318,0.344,0.119,0.103,1.155
"89",60,58,1,528107,10461,19.808,0.269,5.775,0.153,0.187,0.059,0.261,1.46,8.106,0.716,0.339,0.424,0.498,0.127,0.117,1.316
"90",65,58,1,419564,13136,31.309,0.317,8.719,0.205,0.269,0.081,0.305,3.234,12.952,1.149,0.57,0.686,1.154,0.222,0.112,1.335
"91",70,58,1,317391,15990,50.38,0.388,12.278,0.315,0.388,0.154,0.438,6.809,20.933,2.25,0.794,1.074,2.259,0.362,0.123,1.815
"92",75,58,1,214931,17578,81.784,0.4,16.875,0.382,0.563,0.191,0.572,13.041,34.397,4.248,1.103,1.717,4.508,0.791,0.177,2.82
"93",80,58,1,116118,15585,134.22,0.594,22.305,0.586,0.715,0.319,0.758,22.279,57.803,9.396,1.585,2.67,8.44,2.17,0.25,4.349
"94",85,58,1,42142,8970,212.85,0.759,27.882,0.902,0.854,0.475,1.4,35.048,93.327,17.346,1.851,4.153,14.949,6.336,0.19,7.38
"95",90,58,1,10435,3478,333.3,0.575,30.283,2.396,0.287,0.767,2.396,48.874,149.88,33.733,2.204,4.792,20.795,18.879,0.383,17.058
"96",0,63,1,1e+06,5236,5.213,0.059,0.129,0.016,0.016,0.011,0.144,0.016,0.028,0.255,0.021,0.179,0.011,0.125,3.837,0.365
"97",5,63,1,944178,493,0.522,0.014,0.095,0.003,0.002,0.002,0.021,0.001,0.001,0.005,0.006,0.01,0.005,0.004,0.048,0.304
"98",10,63,1,955168,391,0.409,0.007,0.072,0.008,0.001,0.002,0.012,0.006,0.008,0.016,0.005,0.008,0.008,0.007,0.042,0.205
"99",15,63,1,1050000,889,0.843,0.011,0.08,0.012,0.004,0.003,0.022,0.009,0.017,0.007,0,0.008,0.013,0.01,0.049,0.598
"100",20,63,1,961603,950,0.988,0.01,0.14,0.006,0.007,0.002,0.019,0.016,0.023,0.008,0.002,0.006,0.028,0.007,0.037,0.675
"101",25,63,1,763213,782,1.025,0.007,0.199,0.005,0.031,0.004,0.016,0.02,0.051,0.024,0.004,0.02,0.03,0.02,0.029,0.566
"102",30,63,1,698744,877,1.255,0.017,0.24,0.007,0.054,0.003,0.034,0.026,0.112,0.021,0.011,0.02,0.034,0.023,0.036,0.615
"103",35,63,1,711370,1245,1.75,0.018,0.347,0.011,0.069,0.003,0.049,0.052,0.297,0.034,0.024,0.03,0.059,0.03,0.037,0.692
"104",40,63,1,757242,2019,2.666,0.044,0.593,0.017,0.059,0.009,0.059,0.102,0.728,0.065,0.066,0.048,0.091,0.05,0.061,0.675
"105",45,63,1,737408,3302,4.478,0.066,1.143,0.05,0.079,0.012,0.114,0.134,1.47,0.13,0.077,0.098,0.123,0.061,0.069,0.85
"106",50,63,1,733593,5636,7.683,0.1,2.099,0.034,0.09,0.023,0.121,0.326,2.954,0.292,0.135,0.161,0.155,0.083,0.086,1.024
"107",55,63,1,681098,9114,13.381,0.091,3.789,0.098,0.144,0.044,0.16,0.733,5.529,0.627,0.222,0.289,0.231,0.173,0.156,1.095
"108",60,63,1,573205,12502,21.811,0.167,6.263,0.148,0.223,0.049,0.223,1.533,9.225,1.085,0.283,0.44,0.42,0.197,0.199,1.354
"109",65,63,1,463267,15865,34.246,0.255,9.077,0.237,0.419,0.071,0.326,3.095,14.706,1.777,0.527,0.734,0.958,0.289,0.22,1.554
"110",70,63,1,341289,18207,53.348,0.249,12.684,0.275,0.586,0.135,0.387,6.32,23.734,2.769,0.65,1.239,1.849,0.437,0.258,1.776
"111",75,63,1,228796,19247,84.123,0.367,16.757,0.424,0.87,0.179,0.52,12.684,37.662,4.694,0.948,1.766,3.597,0.73,0.258,2.666
"112",80,63,1,125697,16937,134.74,0.43,21.846,0.581,1.162,0.27,0.716,22.387,61.378,8.703,1.321,2.562,6.858,1.718,0.35,4.463
"113",85,63,1,49264,10509,213.32,0.548,27.119,0.974,1.177,0.345,1.441,32.965,102.87,17.538,1.624,3.918,11.022,3.674,0.426,7.673
"114",90,63,1,12504,4108,328.53,0.56,27.271,1.679,0.88,0.64,1.679,47.905,164.35,31.99,2.479,4.878,18.154,10.877,0.48,14.715
"115",0,68,1,994622,3811,3.832,0.102,0.129,0.012,0.031,0.005,0.107,0.009,0.018,0.16,0.008,0.053,0.006,0.124,2.722,0.347
"116",5,68,1,1e+06,558,0.556,0.01,0.085,0.003,0.005,0.006,0.031,0.004,0.003,0.019,0,0.007,0.004,0.002,0.046,0.332
"117",10,68,1,945000,403,0.426,0.002,0.062,0.005,0.008,0.006,0.023,0.003,0.004,0.007,0,0.002,0.004,0.002,0.029,0.267
"118",15,68,1,959805,941,0.98,0.004,0.099,0.002,0.002,0.008,0.019,0.007,0.01,0.017,0,0.004,0.002,0.009,0.03,0.766
"119",20,68,1,1060000,1110,1.05,0.009,0.127,0.003,0.009,0.002,0.027,0.008,0.019,0.012,0.007,0.005,0.012,0.012,0.037,0.763
"120",25,68,1,963717,916,0.95,0.004,0.138,0.008,0.031,0.005,0.026,0.017,0.032,0.018,0.007,0.011,0.005,0.012,0.026,0.609
"121",30,68,1,768238,935,1.217,0.007,0.229,0.014,0.035,0.004,0.021,0.026,0.075,0.026,0.022,0.016,0.018,0.03,0.029,0.665
"122",35,68,1,700896,1315,1.876,0.02,0.401,0.011,0.071,0.009,0.056,0.044,0.25,0.037,0.044,0.026,0.03,0.043,0.034,0.8
"123",40,68,1,709561,2107,2.969,0.023,0.641,0.017,0.103,0.008,0.076,0.089,0.679,0.082,0.09,0.048,0.045,0.082,0.059,0.927
"124",45,68,1,747055,3519,4.71,0.063,1.124,0.021,0.112,0.007,0.12,0.151,1.491,0.158,0.126,0.083,0.071,0.108,0.058,1.016
"125",50,68,1,717677,5538,7.717,0.071,2.143,0.033,0.13,0.014,0.149,0.314,2.678,0.354,0.224,0.114,0.127,0.169,0.064,1.133
"126",55,68,1,699107,8944,12.793,0.082,3.785,0.047,0.209,0.021,0.185,0.612,4.903,0.721,0.296,0.206,0.169,0.217,0.096,1.244
"127",60,68,1,627038,13327,21.254,0.158,6.225,0.083,0.257,0.035,0.239,1.289,8.704,1.416,0.386,0.359,0.293,0.319,0.152,1.34
"128",65,68,1,501022,17244,34.418,0.232,9.776,0.116,0.443,0.05,0.349,2.563,14.568,2.559,0.479,0.615,0.525,0.465,0.194,1.485
"129",70,68,1,373579,19962,53.434,0.262,13.269,0.179,0.811,0.11,0.485,5.512,23.417,3.841,0.667,0.889,1.205,0.683,0.236,1.871
"130",75,68,1,245934,19317,78.545,0.398,16.228,0.232,1.122,0.085,0.695,9.734,36.266,5.558,0.976,1.285,2.139,1.004,0.281,2.541
"131",80,68,1,136647,16783,122.82,0.41,20.257,0.432,1.31,0.198,1.288,16.751,59.021,9.272,1.449,2.122,4.479,1.566,0.373,3.893
"132",85,68,1,56019,10657,190.24,0.553,23.171,0.714,1.714,0.303,1.821,27.83,95.2,15.834,1.892,3.32,8.658,2.999,0.357,5.873
"133",90,68,1,16029,4794,299.08,0.936,25.204,1.123,1.934,0.437,3.244,39.678,158.9,30.694,1.872,4.367,11.854,7.112,0.374,11.354
"134",0,73,1,916485,2575,2.81,0.106,0.075,0.009,0.046,0.01,0.087,0.002,0.016,0.117,0.005,0.031,0.008,0.13,1.929,0.239
"135",5,73,1,996087,421,0.423,0.003,0.083,0.002,0.009,0.005,0.026,0.005,0.001,0.012,0,0.001,0.002,0.006,0.037,0.23
"136",10,73,1,1010000,346,0.344,0.004,0.049,0.002,0.01,0.004,0.019,0.006,0.01,0.007,0.001,0.002,0.004,0.003,0.033,0.191
"137",15,73,1,951474,907,0.953,0.007,0.096,0.007,0.007,0,0.037,0.005,0.017,0.013,0.001,0.004,0.003,0.008,0.029,0.718
"138",20,73,1,966180,1080,1.118,0.006,0.11,0.003,0.005,0.003,0.033,0.006,0.03,0.02,0.007,0.004,0.007,0.017,0.017,0.85
"139",25,73,1,1060000,1063,1.004,0.005,0.141,0.004,0.019,0.003,0.024,0.013,0.036,0.011,0.02,0.008,0.01,0.025,0.02,0.666
"140",30,73,1,961511,1080,1.123,0.005,0.186,0.003,0.036,0.004,0.023,0.034,0.09,0.018,0.027,0.015,0.007,0.038,0.015,0.621
"141",35,73,1,765909,1394,1.82,0.01,0.326,0.014,0.054,0.007,0.047,0.057,0.274,0.035,0.097,0.026,0.02,0.073,0.018,0.761
"142",40,73,1,695210,2044,2.94,0.016,0.554,0.013,0.082,0.001,0.083,0.089,0.739,0.086,0.2,0.037,0.036,0.105,0.02,0.877
"143",45,73,1,697980,3376,4.837,0.032,1.176,0.02,0.095,0.004,0.102,0.213,1.6,0.163,0.222,0.06,0.03,0.208,0.029,0.883
"144",50,73,1,724882,5945,8.201,0.062,2.261,0.033,0.109,0.008,0.139,0.323,3,0.372,0.353,0.121,0.065,0.308,0.04,1.006
"145",55,73,1,683247,8775,12.843,0.076,3.584,0.026,0.17,0.018,0.151,0.575,5.193,0.673,0.422,0.195,0.113,0.438,0.067,1.143
"146",60,73,1,644144,13409,20.817,0.124,6.272,0.062,0.275,0.026,0.227,1.143,8.703,1.357,0.45,0.186,0.185,0.602,0.081,1.124
"147",65,73,1,548400,18270,33.315,0.16,9.659,0.095,0.438,0.044,0.295,2.391,14.245,2.465,0.496,0.405,0.392,0.81,0.109,1.311
"148",70,73,1,404350,21537,53.263,0.213,13.837,0.116,0.653,0.062,0.458,4.672,23.64,4.38,0.65,0.735,0.868,1.246,0.136,1.598
"149",75,73,1,268418,21536,80.233,0.302,18.087,0.272,1.013,0.142,0.604,8.688,36.398,7.272,0.712,1.233,1.561,1.595,0.22,2.135
"150",80,73,1,150134,17883,119.11,0.373,21.741,0.346,1.192,0.273,0.906,14.207,56.649,11.61,1.146,1.898,2.851,2.291,0.26,3.37
"151",85,73,1,63743,11976,187.88,0.565,25.007,0.737,1.726,0.612,1.412,22.904,95.085,19.892,1.553,3.122,5.538,3.891,0.267,5.569
"152",90,73,1,20139,6048,300.31,0.695,27.012,0.794,1.092,0.943,2.135,35.652,159.29,37.787,1.738,4.916,8.094,9.285,0.497,10.378
"153",0,78,1,801141,1736,2.167,0.056,0.05,0.006,0.011,0.01,0.087,0.002,0.006,0.109,0.005,0.014,0.007,0.235,1.374,0.193
"154",5,78,1,919571,280,0.304,0,0.083,0.004,0.005,0.005,0.01,0.004,0.003,0.005,0.001,0.001,0,0.001,0.035,0.146
"155",10,78,1,998832,294,0.294,0.003,0.053,0.002,0.006,0.005,0.017,0.007,0.003,0.011,0.001,0.002,0,0,0.021,0.163
"156",15,78,1,1010000,855,0.845,0.008,0.084,0.001,0.008,0.001,0.039,0.005,0.012,0.014,0.002,0.002,0.007,0.011,0.021,0.631
"157",20,78,1,951880,1135,1.192,0.008,0.104,0.002,0.009,0.003,0.043,0.013,0.033,0.019,0.004,0.005,0.001,0.025,0.023,0.899
"158",25,78,1,959630,1160,1.209,0.006,0.116,0.002,0.011,0.002,0.028,0.025,0.036,0.023,0.022,0.003,0.009,0.032,0.025,0.867
"159",30,78,1,1050000,1373,1.31,0.009,0.184,0.006,0.029,0.001,0.029,0.02,0.081,0.02,0.049,0.003,0.007,0.059,0.01,0.804
"160",35,78,1,953031,1707,1.791,0.012,0.256,0.016,0.055,0.002,0.067,0.062,0.207,0.034,0.115,0.013,0.014,0.101,0.016,0.824
"161",40,78,1,756264,2126,2.811,0.021,0.561,0.011,0.073,0.003,0.078,0.104,0.594,0.075,0.167,0.03,0.021,0.155,0.02,0.899
"162",45,78,1,681062,3278,4.813,0.022,1.113,0.015,0.106,0.006,0.12,0.162,1.508,0.128,0.263,0.044,0.047,0.245,0.032,1.003
"163",50,78,1,675371,5329,7.89,0.033,2.233,0.018,0.123,0.003,0.194,0.317,2.73,0.271,0.363,0.07,0.059,0.4,0.043,1.035
"164",55,78,1,686943,9220,13.422,0.054,4.085,0.06,0.205,0.007,0.23,0.587,5.271,0.587,0.448,0.111,0.115,0.565,0.064,1.034
"165",60,78,1,627511,13221,21.069,0.089,6.508,0.092,0.292,0.029,0.296,1.061,8.75,1.237,0.502,0.214,0.174,0.714,0.059,1.052
"166",65,78,1,564174,18587,32.946,0.113,10.024,0.105,0.395,0.044,0.358,2.189,13.935,2.324,0.532,0.383,0.326,0.987,0.101,1.129
"167",70,78,1,442926,23416,52.867,0.156,15.106,0.196,0.614,0.097,0.533,4.337,22.532,4.233,0.555,0.722,0.68,1.596,0.12,1.388
"168",75,78,1,290166,23834,82.139,0.289,20.395,0.338,0.965,0.114,0.948,8.285,35.966,7.289,0.806,1.155,1.316,2.109,0.2,1.964
"169",80,78,1,163433,20034,122.58,0.398,25.295,0.526,1.316,0.245,1.346,13.565,54.94,11.931,1.016,2.197,2.668,3.5,0.275,3.365
"170",85,78,1,71230,12864,180.6,0.576,28.808,0.856,1.727,0.281,1.839,20.96,84.992,19.332,1.278,3.369,5.012,5.7,0.211,5.658
"171",90,78,1,23454,7003,298.58,0.938,28.225,1.236,2.174,0.725,3.112,32.446,148.97,41.23,1.833,5.074,8.357,12.066,0.341,11.853
"172",0,83,1,687870,1501,2.182,0.077,0.055,0.007,0.02,0.003,0.063,0.001,0.009,0.058,0.003,0.015,0,0.403,1.348,0.121
"173",5,83,1,802448,191,0.238,0.009,0.06,0.005,0.005,0.004,0.015,0.001,0.004,0.005,0,0.004,0,0,0.02,0.107
"174",10,83,1,920877,239,0.26,0.003,0.062,0.002,0.004,0.001,0.022,0.002,0.008,0.01,0,0.003,0.001,0.002,0.013,0.126
"175",15,83,1,1010000,762,0.758,0.015,0.064,0.003,0.001,0.001,0.041,0.005,0.011,0.023,0.002,0.002,0.002,0.005,0.026,0.558
"176",20,83,1,1020000,1061,1.039,0.004,0.074,0.006,0.012,0.001,0.038,0.008,0.022,0.013,0.004,0.001,0.002,0.019,0.024,0.813
