"","A5","P5","C5","up","Ax","Px","Cx","D","Y"
"25",45,1948,1898,1,48.3333333333333,1949.66666666667,1901.33333333333,77,327750.166666667
"26",45,1948,1903,0,46.6666666666667,1951.33333333333,1904.66666666667,86,348967.833333333
"27",45,1953,1903,1,48.3333333333333,1954.66666666667,1906.33333333333,115,354950.833333333
"28",45,1953,1908,0,46.6666666666667,1956.33333333333,1909.66666666667,93,383339.666666667
"29",45,1958,1908,1,48.3333333333333,1959.66666666667,1911.33333333333,124,383687.166666667
"30",45,1958,1913,0,46.6666666666667,1961.33333333333,1914.66666666667,102,370670.5
"31",45,1963,1913,1,48.3333333333333,1964.66666666667,1916.33333333333,149,359747.666666667
"32",45,1963,1918,0,46.6666666666667,1966.33333333333,1919.66666666667,103,377658
"33",45,1968,1918,1,48.3333333333333,1969.66666666667,1921.33333333333,172,379286.166666667
"34",45,1968,1923,0,46.6666666666667,1971.33333333333,1924.66666666667,112,367768.666666667
"35",45,1973,1923,1,48.3333333333333,1974.66666666667,1926.33333333333,149,354294.5
"36",45,1973,1928,0,46.6666666666667,1976.33333333333,1929.66666666667,114,343681.833333333
"37",45,1978,1928,1,48.3333333333333,1979.66666666667,1931.33333333333,139,335786.666666667
"38",45,1978,1933,0,46.6666666666667,1981.33333333333,1934.66666666667,112,345277.166666667
"39",45,1983,1933,1,48.3333333333333,1984.66666666667,1936.33333333333,140,353510.166666667
"40",45,1983,1938,0,46.6666666666667,1986.33333333333,1939.66666666667,117,388043
"41",45,1988,1938,1,48.3333333333333,1989.66666666667,1941.33333333333,147,411903.5
"42",45,1988,1943,0,46.6666666666667,1991.33333333333,1944.66666666667,118,512528.333333333
"43",45,1993,1943,1,48.3333333333333,1994.66666666667,1946.33333333333,186,512634.833333333
"44",45,1993,1948,0,46.6666666666667,1996.33333333333,1949.66666666667,65,308755
"45",50,1943,1888,1,53.3333333333333,1944.66666666667,1891.33333333333,84,255297.166666667
"46",50,1943,1893,0,51.6666666666667,1946.33333333333,1894.66666666667,113,283667
"47",50,1948,1893,1,53.3333333333333,1949.66666666667,1896.33333333333,152,290343.5
"48",50,1948,1898,0,51.6666666666667,1951.33333333333,1899.66666666667,140,310162.833333333
"49",50,1953,1898,1,53.3333333333333,1954.66666666667,1901.33333333333,235,315716.333333333
"50",50,1953,1903,0,51.6666666666667,1956.33333333333,1904.66666666667,207,338151.166666667
"51",50,1958,1903,1,53.3333333333333,1959.66666666667,1906.33333333333,282,343014.5
"52",50,1958,1908,0,51.6666666666667,1961.33333333333,1909.66666666667,226,372805.333333333
"53",50,1963,1908,1,53.3333333333333,1964.66666666667,1911.33333333333,313,372110.833333333
"54",50,1963,1913,0,51.6666666666667,1966.33333333333,1914.66666666667,247,361479.333333333
"55",50,1968,1913,1,53.3333333333333,1969.66666666667,1916.33333333333,306,349182
"56",50,1968,1918,0,51.6666666666667,1971.33333333333,1919.66666666667,274,368495.333333333
"57",50,1973,1918,1,53.3333333333333,1974.66666666667,1921.33333333333,372,367719.833333333
"58",50,1973,1923,0,51.6666666666667,1976.33333333333,1924.66666666667,285,357160.5
"59",50,1978,1923,1,53.3333333333333,1979.66666666667,1926.33333333333,360,341696.666666667
"60",50,1978,1928,0,51.6666666666667,1981.33333333333,1929.66666666667,248,333674.833333333
"61",50,1983,1928,1,53.3333333333333,1984.66666666667,1931.33333333333,342,324220.5
"62",50,1983,1933,0,51.6666666666667,1986.33333333333,1934.66666666667,249,335277.833333333
"63",50,1988,1933,1,53.3333333333333,1989.66666666667,1936.33333333333,280,341929
"64",50,1988,1938,0,51.6666666666667,1991.33333333333,1939.66666666667,213,377731
"65",50,1993,1938,1,53.3333333333333,1994.66666666667,1941.33333333333,280,383429.5
"66",50,1993,1943,0,51.6666666666667,1996.33333333333,1944.66666666667,166,317430.666666667
"67",55,1943,1883,1,58.3333333333333,1944.66666666667,1886.33333333333,106,227641.166666667
"68",55,1943,1888,0,56.6666666666667,1946.33333333333,1889.66666666667,155,243374.833333333
"69",55,1948,1888,1,58.3333333333333,1949.66666666667,1891.33333333333,196,242457.5
"70",55,1948,1893,0,56.6666666666667,1951.33333333333,1894.66666666667,208,269880.5
"71",55,1953,1893,1,58.3333333333333,1954.66666666667,1896.33333333333,285,274387
"72",55,1953,1898,0,56.6666666666667,1956.33333333333,1899.66666666667,311,296883.666666667
"73",55,1958,1898,1,58.3333333333333,1959.66666666667,1901.33333333333,389,299139.833333333
"74",55,1958,1903,0,56.6666666666667,1961.33333333333,1904.66666666667,383,323273.5
"75",55,1963,1903,1,58.3333333333333,1964.66666666667,1906.33333333333,542,324982.333333333
"76",55,1963,1908,0,56.6666666666667,1966.33333333333,1909.66666666667,510,356114.666666667
"77",55,1968,1908,1,58.3333333333333,1969.66666666667,1911.33333333333,639,352300.166666667
"78",55,1968,1913,0,56.6666666666667,1971.33333333333,1914.66666666667,436,346803
"79",55,1973,1913,1,58.3333333333333,1974.66666666667,1916.33333333333,569,331903
"80",55,1973,1918,0,56.6666666666667,1976.33333333333,1919.66666666667,546,351339.666666667
"81",55,1978,1918,1,58.3333333333333,1979.66666666667,1921.33333333333,663,346830.666666667
"82",55,1978,1923,0,56.6666666666667,1981.33333333333,1924.66666666667,555,340108.833333333
"83",55,1983,1923,1,58.3333333333333,1984.66666666667,1926.33333333333,594,322928.333333333
"84",55,1983,1928,0,56.6666666666667,1986.33333333333,1929.66666666667,496,317868.5
"85",55,1988,1928,1,58.3333333333333,1989.66666666667,1931.33333333333,556,306331.833333333
"86",55,1988,1933,0,56.6666666666667,1991.33333333333,1934.66666666667,439,320149.5
"87",55,1993,1933,1,58.3333333333333,1994.66666666667,1936.33333333333,491,312943.166666667
"88",55,1993,1938,0,56.6666666666667,1996.33333333333,1939.66666666667,205,231145
"89",60,1943,1878,1,63.3333333333333,1944.66666666667,1881.33333333333,93,191119.166666667
"90",60,1943,1883,0,61.6666666666667,1946.33333333333,1884.66666666667,120,212053.333333333
"91",60,1948,1883,1,63.3333333333333,1949.66666666667,1886.33333333333,171,209253.333333333
"92",60,1948,1888,0,61.6666666666667,1951.33333333333,1889.66666666667,223,225845
"93",60,1953,1888,1,63.3333333333333,1954.66666666667,1891.33333333333,256,222524.5
"94",60,1953,1893,0,61.6666666666667,1956.33333333333,1894.66666666667,321,251673
"95",60,1958,1893,1,63.3333333333333,1959.66666666667,1896.33333333333,466,252354.666666667
"96",60,1958,1898,0,61.6666666666667,1961.33333333333,1899.66666666667,489,275751.666666667
"97",60,1963,1898,1,63.3333333333333,1964.66666666667,1901.33333333333,670,274160.666666667
"98",60,1963,1903,0,61.6666666666667,1966.33333333333,1904.66666666667,672,299044.166666667
"99",60,1968,1903,1,63.3333333333333,1969.66666666667,1906.33333333333,869,296391.5
"100",60,1968,1908,0,61.6666666666667,1971.33333333333,1909.66666666667,813,330644.833333333
"101",60,1973,1908,1,63.3333333333333,1974.66666666667,1911.33333333333,883,322367.666666667
"102",60,1973,1913,0,61.6666666666667,1976.33333333333,1914.66666666667,771,321775
"103",60,1978,1913,1,63.3333333333333,1979.66666666667,1916.33333333333,907,302924.333333333
"104",60,1978,1918,0,61.6666666666667,1981.33333333333,1919.66666666667,919,324584.833333333
"105",60,1983,1918,1,63.3333333333333,1984.66666666667,1921.33333333333,1049,315686.333333333
"106",60,1983,1923,0,61.6666666666667,1986.33333333333,1924.66666666667,836,314698.166666667
"107",60,1988,1923,1,63.3333333333333,1989.66666666667,1926.33333333333,825,295161.833333333
"108",60,1988,1928,0,61.6666666666667,1991.33333333333,1929.66666666667,672,295507.166666667
"109",60,1993,1928,1,63.3333333333333,1994.66666666667,1931.33333333333,735,271650
"110",60,1993,1933,0,61.6666666666667,1996.33333333333,1934.66666666667,378,191437.833333333
"111",65,1943,1873,1,68.3333333333333,1944.66666666667,1876.33333333333,62,155445.666666667
"112",65,1943,1878,0,66.6666666666667,1946.33333333333,1879.66666666667,79,173244.833333333
"113",65,1948,1878,1,68.3333333333333,1949.66666666667,1881.33333333333,111,167888.666666667
"114",65,1948,1883,0,66.6666666666667,1951.33333333333,1884.66666666667,162,189806.166666667
"115",65,1953,1883,1,68.3333333333333,1954.66666666667,1886.33333333333,209,184107.5
"116",65,1953,1888,0,66.6666666666667,1956.33333333333,1889.66666666667,282,201975.5
"117",65,1958,1888,1,68.3333333333333,1959.66666666667,1891.33333333333,351,194648.666666667
"118",65,1958,1893,0,66.6666666666667,1961.33333333333,1894.66666666667,517,224913.333333333
"119",65,1963,1893,1,68.3333333333333,1964.66666666667,1896.33333333333,548,219490.333333333
"120",65,1963,1898,0,66.6666666666667,1966.33333333333,1899.66666666667,687,243774.833333333
"121",65,1968,1898,1,68.3333333333333,1969.66666666667,1901.33333333333,877,236802.5
"122",65,1968,1903,0,66.6666666666667,1971.33333333333,1904.66666666667,979,264217.5
"123",65,1973,1903,1,68.3333333333333,1974.66666666667,1906.33333333333,1039,256050.666666667
"124",65,1973,1908,0,66.6666666666667,1976.33333333333,1909.66666666667,1097,292348.833333333
"125",65,1978,1908,1,68.3333333333333,1979.66666666667,1911.33333333333,1167,279293.833333333
"126",65,1978,1913,0,66.6666666666667,1981.33333333333,1914.66666666667,1064,284879.666666667
"127",65,1983,1913,1,68.3333333333333,1984.66666666667,1916.33333333333,1028,262132
"128",65,1983,1918,0,66.6666666666667,1986.33333333333,1919.66666666667,1160,286454.166666667
"129",65,1988,1918,1,68.3333333333333,1989.66666666667,1921.33333333333,1160,273641.833333333
"130",65,1988,1923,0,66.6666666666667,1991.33333333333,1924.66666666667,1033,279778.666666667
"131",65,1993,1923,1,68.3333333333333,1994.66666666667,1926.33333333333,979,249160.166666667
"132",65,1993,1928,0,66.6666666666667,1996.33333333333,1929.66666666667,506,172307.5
"133",70,1943,1868,1,73.3333333333333,1944.66666666667,1871.33333333333,50,103368.5
"134",70,1943,1873,0,71.6666666666667,1946.33333333333,1874.66666666667,60,126722.333333333
"135",70,1948,1873,1,73.3333333333333,1949.66666666667,1876.33333333333,96,125135.5
"136",70,1948,1878,0,71.6666666666667,1951.33333333333,1879.66666666667,119,144100.333333333
"137",70,1953,1878,1,73.3333333333333,1954.66666666667,1881.33333333333,121,135401.166666667
"138",70,1953,1883,0,71.6666666666667,1956.33333333333,1884.66666666667,179,159385.5
"139",70,1958,1883,1,73.3333333333333,1959.66666666667,1886.33333333333,266,148847.166666667
"140",70,1958,1888,0,71.6666666666667,1961.33333333333,1889.66666666667,330,168540.833333333
"141",70,1963,1888,1,73.3333333333333,1964.66666666667,1891.33333333333,387,155994.166666667
"142",70,1963,1893,0,71.6666666666667,1966.33333333333,1894.66666666667,589,185294.166666667
"143",70,1968,1893,1,73.3333333333333,1969.66666666667,1896.33333333333,672,174035
"144",70,1968,1898,0,71.6666666666667,1971.33333333333,1899.66666666667,776,199542
"145",70,1973,1898,1,73.3333333333333,1974.66666666667,1901.33333333333,910,187786
"146",70,1973,1903,0,71.6666666666667,1976.33333333333,1904.66666666667,1014,216562.833333333
"147",70,1978,1903,1,73.3333333333333,1979.66666666667,1906.33333333333,1062,202727.833333333
"148",70,1978,1908,0,71.6666666666667,1981.33333333333,1909.66666666667,1221,240197.166666667
"149",70,1983,1908,1,73.3333333333333,1984.66666666667,1911.33333333333,1173,222862.333333333
"150",70,1983,1913,0,71.6666666666667,1986.33333333333,1914.66666666667,1120,235966
"151",70,1988,1913,1,73.3333333333333,1989.66666666667,1916.33333333333,1037,211071.166666667
"152",70,1988,1918,0,71.6666666666667,1991.33333333333,1919.66666666667,1120,237925.166666667
"153",70,1993,1918,1,73.3333333333333,1994.66666666667,1921.33333333333,1040,213026.333333333
"154",70,1993,1923,0,71.6666666666667,1996.33333333333,1924.66666666667,651,152906.333333333
"155",75,1943,1863,1,78.3333333333333,1944.66666666667,1866.33333333333,23,61022.1666666667
"156",75,1943,1868,0,76.6666666666667,1946.33333333333,1869.66666666667,31,79088.5
"157",75,1948,1868,1,78.3333333333333,1949.66666666667,1871.33333333333,47,72541.3333333333
"158",75,1948,1873,0,76.6666666666667,1951.33333333333,1874.66666666667,79,94100.5
"159",75,1953,1873,1,78.3333333333333,1954.66666666667,1876.33333333333,72,88119.5
"160",75,1953,1878,0,76.6666666666667,1956.33333333333,1879.66666666667,95,107610.333333333
"161",75,1958,1878,1,78.3333333333333,1959.66666666667,1881.33333333333,110,96044.5
"162",75,1958,1883,0,76.6666666666667,1961.33333333333,1884.66666666667,210,118885.833333333
"163",75,1963,1883,1,78.3333333333333,1964.66666666667,1886.33333333333,203,104404.166666667
"164",75,1963,1888,0,76.6666666666667,1966.33333333333,1889.66666666667,311,124389.333333333
"165",75,1968,1888,1,78.3333333333333,1969.66666666667,1891.33333333333,346,109209
"166",75,1968,1893,0,76.6666666666667,1971.33333333333,1894.66666666667,514,136723
"167",75,1973,1893,1,78.3333333333333,1974.66666666667,1896.33333333333,499,122127.666666667
"168",75,1973,1898,0,76.6666666666667,1976.33333333333,1899.66666666667,714,146287.5
"169",75,1978,1898,1,78.3333333333333,1979.66666666667,1901.33333333333,666,131488.666666667
"170",75,1978,1903,0,76.6666666666667,1981.33333333333,1904.66666666667,893,158673.666666667
"171",75,1983,1903,1,78.3333333333333,1984.66666666667,1906.33333333333,878,141660
"172",75,1983,1908,0,76.6666666666667,1986.33333333333,1909.66666666667,946,177492.666666667
"173",75,1988,1908,1,78.3333333333333,1989.66666666667,1911.33333333333,806,158562.833333333
"174",75,1988,1913,0,76.6666666666667,1991.33333333333,1914.66666666667,834,177898.833333333
"175",75,1993,1913,1,78.3333333333333,1994.66666666667,1916.33333333333,665,146145.5
"176",75,1993,1918,0,76.6666666666667,1996.33333333333,1919.66666666667,556,116764.666666667
"177",80,1943,1858,1,83.3333333333333,1944.66666666667,1861.33333333333,7,28132
"178",80,1943,1863,0,81.6666666666667,1946.33333333333,1864.66666666667,13,39646.8333333333
"179",80,1948,1863,1,83.3333333333333,1949.66666666667,1866.33333333333,20,32727.8333333333
"180",80,1948,1868,0,81.6666666666667,1951.33333333333,1869.66666666667,37,47859.1666666667
"181",80,1953,1868,1,83.3333333333333,1954.66666666667,1871.33333333333,26,40358.3333333333
"182",80,1953,1873,0,81.6666666666667,1956.33333333333,1874.66666666667,61,58203
"183",80,1958,1873,1,83.3333333333333,1959.66666666667,1876.33333333333,70,49552.1666666667
"184",80,1958,1878,0,81.6666666666667,1961.33333333333,1879.66666666667,87,66564.5
"185",80,1963,1878,1,83.3333333333333,1964.66666666667,1881.33333333333,85,53776
"186",80,1963,1883,0,81.6666666666667,1966.33333333333,1884.66666666667,135,71921.3333333333
"187",80,1968,1883,1,83.3333333333333,1969.66666666667,1886.33333333333,148,59017.6666666667
"188",80,1968,1888,0,81.6666666666667,1971.33333333333,1889.66666666667,242,77628.5
"189",80,1973,1888,1,83.3333333333333,1974.66666666667,1891.33333333333,224,63880
"190",80,1973,1893,0,81.6666666666667,1976.33333333333,1894.66666666667,349,86251.8333333333
"191",80,1978,1893,1,83.3333333333333,1979.66666666667,1896.33333333333,299,71854.6666666667
"192",80,1978,1898,0,81.6666666666667,1981.33333333333,1899.66666666667,454,91578.3333333333
"193",80,1983,1898,1,83.3333333333333,1984.66666666667,1901.33333333333,390,76362.6666666667
"194",80,1983,1903,0,81.6666666666667,1986.33333333333,1904.66666666667,491,99404.5
"195",80,1988,1903,1,83.3333333333333,1989.66666666667,1906.33333333333,363,83283.1666666667
"196",80,1988,1908,0,81.6666666666667,1991.33333333333,1909.66666666667,474,113182.666666667
"197",80,1993,1908,1,83.3333333333333,1994.66666666667,1911.33333333333,404,91460.1666666667
"198",80,1993,1913,0,81.6666666666667,1996.33333333333,1914.66666666667,312,76551.5
"199",85,1943,1853,1,88.3333333333333,1944.66666666667,1856.33333333333,3,9514.16666666667
"200",85,1943,1858,0,86.6666666666667,1946.33333333333,1859.66666666667,4,15142
"201",85,1948,1858,1,88.3333333333333,1949.66666666667,1861.33333333333,2,10451.6666666667
"202",85,1948,1863,0,86.6666666666667,1951.33333333333,1864.66666666667,8,18012.1666666667
"203",85,1953,1863,1,88.3333333333333,1954.66666666667,1866.33333333333,7,12925.3333333333
"204",85,1953,1868,0,86.6666666666667,1956.33333333333,1869.66666666667,16,21355.1666666667
"205",85,1958,1868,1,88.3333333333333,1959.66666666667,1871.33333333333,19,15969.5
"206",85,1958,1873,0,86.6666666666667,1961.33333333333,1874.66666666667,29,26166.8333333333
"207",85,1963,1873,1,88.3333333333333,1964.66666666667,1876.33333333333,24,19378.8333333333
"208",85,1963,1878,0,86.6666666666667,1966.33333333333,1879.66666666667,48,29884.5
"209",85,1968,1878,1,88.3333333333333,1969.66666666667,1881.33333333333,31,21816.8333333333
"210",85,1968,1883,0,86.6666666666667,1971.33333333333,1884.66666666667,79,34201.3333333333
"211",85,1973,1883,1,88.3333333333333,1974.66666666667,1886.33333333333,73,25813.1666666667
"212",85,1973,1888,0,86.6666666666667,1976.33333333333,1889.66666666667,103,37929.5
"213",85,1978,1888,1,88.3333333333333,1979.66666666667,1891.33333333333,73,27995.1666666667
"214",85,1978,1893,0,86.6666666666667,1981.33333333333,1894.66666666667,140,43231.3333333333
"215",85,1983,1893,1,88.3333333333333,1984.66666666667,1896.33333333333,115,31987.1666666667
"216",85,1983,1898,0,86.6666666666667,1986.33333333333,1899.66666666667,192,45634.3333333333
"217",85,1988,1898,1,88.3333333333333,1989.66666666667,1901.33333333333,102,34971.3333333333
"218",85,1988,1903,0,86.6666666666667,1991.33333333333,1904.66666666667,184,50405.3333333333
"219",85,1993,1903,1,88.3333333333333,1994.66666666667,1906.33333333333,124,36416.1666666667
"220",85,1993,1908,0,86.6666666666667,1996.33333333333,1909.66666666667,138,38194.3333333333
