"","year","month","m","f"
"507",1943,11,3313,3131
"508",1943,12,3630,3430
"517",1944,1,3818,3608
"521",1944,2,3747,3541
"522",1944,3,4263,4029
"523",1944,4,4147,3918
"524",1944,5,4041,3818
"525",1944,6,3775,3567
"526",1944,7,3898,3684
"527",1944,8,3946,3728
"528",1944,9,3872,3658
"518",1944,10,3659,3458
"519",1944,11,3655,3453
"520",1944,12,3781,3572
"529",1945,1,4035,3813
"533",1945,2,3865,3653
"534",1945,3,4491,4243
"535",1945,4,4390,4149
"536",1945,5,4396,4155
"537",1945,6,3910,3695
"538",1945,7,4123,3896
"539",1945,8,4089,3863
"540",1945,9,4010,3790
"530",1945,10,3909,3693
"531",1945,11,3749,3542
"532",1945,12,3907,3691
"541",1946,1,4031,3810
"545",1946,2,4177,3948
"546",1946,3,4807,4542
"547",1946,4,4486,4239
"548",1946,5,4672,4414
"549",1946,6,4112,3885
"550",1946,7,4141,3913
"551",1946,8,3937,3721
"552",1946,9,3949,3732
"542",1946,10,3885,3672
"543",1946,11,3576,3379
"544",1946,12,3642,3441
"553",1947,1,4011,3790
"557",1947,2,3940,3724
"558",1947,3,4564,4313
"559",1947,4,4349,4110
"560",1947,5,4458,4212
"561",1947,6,3978,3760
"562",1947,7,3930,3713
"563",1947,8,3839,3627
"564",1947,9,3688,3485
"554",1947,10,3552,3356
"555",1947,11,3348,3164
"556",1947,12,3498,3305
"565",1948,1,3711,3506
"569",1948,2,3657,3456
"570",1948,3,4156,3927
"571",1948,4,3935,3718
"572",1948,5,3951,3734
"573",1948,6,3609,3410
"574",1948,7,3692,3489
"575",1948,8,3488,3296
"576",1948,9,3506,3313
"566",1948,10,3374,3188
"567",1948,11,3251,3073
"568",1948,12,3341,3157
"577",1949,1,3483,3292
"581",1949,2,3349,3165
"582",1949,3,3856,3643
"583",1949,4,3746,3539
"584",1949,5,3663,3461
"585",1949,6,3468,3278
"586",1949,7,3373,3188
"587",1949,8,3371,3185
"588",1949,9,3284,3104
"578",1949,10,3227,3049
"579",1949,11,3084,2915
"580",1949,12,3191,3015
"589",1950,1,3471,3279
"593",1950,2,3339,3155
"594",1950,3,3955,3737
"595",1950,4,3736,3530
"596",1950,5,3719,3515
"597",1950,6,3404,3216
"598",1950,7,3354,3169
"599",1950,8,3251,3073
"600",1950,9,3250,3072
"590",1950,10,3195,3019
"591",1950,11,3067,2898
"592",1950,12,3164,2990
"601",1951,1,3344,3160
"605",1951,2,3295,3113
"606",1951,3,3725,3520
"607",1951,4,3528,3333
"608",1951,5,3565,3369
"609",1951,6,3285,3104
"610",1951,7,3180,3005
"611",1951,8,3108,2937
"612",1951,9,3010,2844
"602",1951,10,3007,2842
"603",1951,11,3177,3002
"604",1951,12,3139,2967
"613",1952,1,3215,3039
"617",1952,2,3218,3041
"618",1952,3,3636,3435
"619",1952,4,3635,3435
"620",1952,5,3456,3266
"621",1952,6,3168,2993
"622",1952,7,3217,3039
"623",1952,8,3117,2945
"624",1952,9,3238,3060
"614",1952,10,3255,3076
"615",1952,11,3173,2998
"616",1952,12,3233,3055
"625",1953,1,3411,3223
"629",1953,2,3263,3083
"630",1953,3,3830,3619
"631",1953,4,3721,3516
"632",1953,5,3613,3415
"633",1953,6,3364,3179
"634",1953,7,3316,3133
"635",1953,8,3275,3094
"636",1953,9,3238,3059
"626",1953,10,3079,2910
"627",1953,11,2890,2731
"628",1953,12,3239,3060
"637",1954,1,3268,3089
"641",1954,2,3222,3044
"642",1954,3,3664,3462
"643",1954,4,3448,3259
"644",1954,5,3543,3348
"645",1954,6,3309,3127
"646",1954,7,3227,3049
"647",1954,8,3126,2953
"648",1954,9,3264,3085
"638",1954,10,3170,2996
"639",1954,11,2999,2833
"640",1954,12,3054,2886
"649",1955,1,3188,3012
"653",1955,2,3176,3002
"654",1955,3,3677,3474
"655",1955,4,3624,3424
"656",1955,5,3486,3294
"657",1955,6,3302,3121
"658",1955,7,3297,3115
"659",1955,8,3224,3047
"660",1955,9,3176,3001
"650",1955,10,3225,3048
"651",1955,11,2959,2796
"652",1955,12,3174,3000
"1045",1956,1,3219,2992
"1046",1956,2,3192,3076
"1047",1956,3,3775,3443
"1048",1956,4,3636,3273
"1049",1956,5,3587,3254
"1050",1956,6,3107,3006
"1051",1956,7,3235,3252
"1052",1956,8,3311,3173
"1053",1956,9,3169,2968
"1054",1956,10,3144,2936
"1055",1956,11,3062,2878
"1056",1956,12,3101,2936
"1057",1957,1,3268,3033
"1058",1957,2,3112,2896
"1059",1957,3,3486,3345
"1060",1957,4,3375,3310
"1061",1957,5,3537,3192
"1062",1957,6,3343,3108
"1063",1957,7,3175,2941
"1064",1957,8,3101,3059
"1065",1957,9,3218,3001
"1066",1957,10,3160,2954
"1067",1957,11,2971,2690
"1068",1957,12,3093,2896
"1069",1958,1,3173,3025
"1070",1958,2,3003,2854
"1071",1958,3,3696,3331
"1072",1958,4,3597,3272
"1073",1958,5,3422,3284
"1074",1958,6,3306,3088
"1075",1958,7,3054,2951
"1076",1958,8,2831,2753
"1077",1958,9,3104,2897
"1078",1958,10,3041,2943
"1079",1958,11,2969,2820
"1080",1958,12,3260,3007
"1081",1959,1,3213,2879
"1082",1959,2,2996,2884
"1083",1959,3,3540,3448
"1084",1959,4,3348,3196
"1085",1959,5,3347,3108
"1086",1959,6,3137,2968
"1087",1959,7,3196,3000
"1088",1959,8,3051,2931
"1089",1959,9,3153,3021
"1090",1959,10,3059,2974
"1091",1959,11,2908,2737
"1092",1959,12,3038,2796
"1093",1960,1,3007,2780
"1094",1960,2,3179,3061
"1095",1960,3,3565,3382
"1096",1960,4,3378,3299
"1097",1960,5,3518,3289
"1098",1960,6,3308,3059
"1099",1960,7,3342,3161
"1100",1960,8,3212,3095
"1101",1960,9,3284,3133
"1102",1960,10,3158,3048
"1103",1960,11,2960,2920
"1104",1960,12,3048,2891
"1105",1961,1,3153,3044
"1106",1961,2,3058,2888
"1107",1961,3,3573,3374
"1108",1961,4,3435,3230
"1109",1961,5,3488,3210
"1110",1961,6,3187,3067
"1111",1961,7,3290,3110
"1112",1961,8,3237,3139
"1113",1961,9,3256,3159
"1114",1961,10,3236,3008
"1115",1961,11,3074,2962
"1116",1961,12,3188,3073
"1117",1962,1,3190,3101
"1118",1962,2,3224,3080
"1119",1962,3,3645,3505
"1120",1962,4,3558,3392
"1121",1962,5,3641,3375
"1122",1962,6,3312,3265
"1123",1962,7,3320,3205
"1124",1962,8,3353,3180
"1125",1962,9,3339,3121
"1126",1962,10,3076,2990
"1127",1962,11,3051,2842
"1128",1962,12,3140,2903
"1129",1963,1,3281,3161
"1130",1963,2,3057,3098
"1131",1963,3,4029,3655
"1132",1963,4,3758,3604
"1133",1963,5,3833,3520
"1134",1963,6,3536,3402
"1135",1963,7,3563,3334
"1136",1963,8,3499,3374
"1137",1963,9,3550,3409
"1138",1963,10,3553,3295
"1139",1963,11,3366,3133
"1140",1963,12,3261,3142
"1141",1964,1,3383,3290
"1142",1964,2,3533,3246
"1143",1964,3,3993,3610
"1144",1964,4,3830,3637
"1145",1964,5,3667,3425
"1146",1964,6,3495,3352
"1147",1964,7,3646,3386
"1148",1964,8,3528,3261
"1149",1964,9,3574,3453
"1150",1964,10,3533,3269
"1151",1964,11,3318,3061
"1152",1964,12,3506,3360
"1153",1965,1,3568,3303
"1154",1965,2,3388,3167
"1155",1965,3,3946,3695
"1156",1965,4,3852,3796
"1157",1965,5,3729,3645
"1158",1965,6,3748,3481
"1159",1965,7,3806,3557
"1160",1965,8,3725,3533
"1161",1965,9,3752,3465
"1162",1965,10,3568,3374
"1163",1965,11,3516,3238
"1164",1965,12,3553,3391
"1165",1966,1,3603,3441
"1166",1966,2,3553,3151
"1167",1966,3,4033,3984
"1168",1966,4,4122,3900
"1169",1966,5,3954,3824
"1170",1966,6,3714,3509
"1171",1966,7,3914,3603
"1172",1966,8,3751,3651
"1173",1966,9,3804,3638
"1174",1966,10,3865,3624
"1175",1966,11,3563,3312
"1176",1966,12,3536,3283
"1177",1967,1,3510,3445
"1178",1967,2,3502,3162
"1179",1967,3,3978,3653
"1180",1967,4,3904,3569
"1181",1967,5,3738,3612
"1182",1967,6,3496,3262
"1183",1967,7,3498,3392
"1184",1967,8,3416,3235
"1185",1967,9,3314,3221
"1186",1967,10,3256,3206
"1187",1967,11,3004,2924
"1188",1967,12,3175,2938
"1189",1968,1,3075,3000
"1190",1968,2,3150,2951
"1191",1968,3,3620,3423
"1192",1968,4,3600,3436
"1193",1968,5,3517,3284
"1194",1968,6,3314,2986
"1195",1968,7,3183,2893
"1196",1968,8,3114,2967
"1197",1968,9,3154,2858
"1198",1968,10,3022,2819
"1199",1968,11,2856,2708
"1200",1968,12,2886,2727
"1201",1969,1,3187,2846
"1202",1969,2,2883,2632
"1203",1969,3,3388,3233
"1204",1969,4,3376,3100
"1205",1969,5,3300,3131
"1206",1969,6,3058,2938
"1207",1969,7,3124,2853
"1208",1969,8,3048,2813
"1209",1969,9,3059,2875
"1210",1969,10,2978,2830
"1211",1969,11,2762,2585
"1212",1969,12,2704,2595
"661",1970,1,2827,2672
"662",1970,2,2727,2576
"663",1970,3,3300,3118
"664",1970,4,3378,3192
"665",1970,5,3255,3075
"666",1970,6,3126,2953
"667",1970,7,3122,2951
"668",1970,8,3108,2937
"669",1970,9,3006,2840
"670",1970,10,2804,2650
"671",1970,11,2867,2709
"672",1970,12,2884,2725
"673",1971,1,2991,2826
"674",1971,2,2881,2723
"675",1971,3,3453,3262
"676",1971,4,3497,3305
"677",1971,5,3560,3365
"678",1971,6,3281,3101
"679",1971,7,3274,3094
"680",1971,8,3321,3139
"681",1971,9,3309,3127
"682",1971,10,3091,2920
"683",1971,11,3068,2899
"684",1971,12,3019,2853
"685",1972,1,3130,2958
"686",1972,2,3161,2987
"687",1972,3,3542,3348
"688",1972,4,3582,3385
"689",1972,5,3580,3383
"690",1972,6,3409,3222
"691",1972,7,3293,3112
"692",1972,8,3290,3108
"693",1972,9,3154,2981
"694",1972,10,2964,2800
"695",1972,11,2824,2668
"696",1972,12,2892,2732
"697",1973,1,3052,2884
"698",1973,2,2939,2778
"699",1973,3,3460,3269
"700",1973,4,3278,3097
"701",1973,5,3342,3159
"702",1973,6,3185,3010
"703",1973,7,3166,2991
"704",1973,8,3053,2885
"705",1973,9,3035,2868
"706",1973,10,2840,2684
"707",1973,11,2802,2647
"708",1973,12,2813,2658
"709",1974,1,3050,2882
"710",1974,2,2795,2641
"711",1974,3,3418,3230
"712",1974,4,3278,3098
"713",1974,5,3287,3106
"714",1974,6,2957,2794
"715",1974,7,3127,2955
"716",1974,8,3058,2889
"717",1974,9,3219,3042
"718",1974,10,2962,2799
"719",1974,11,2798,2644
"720",1974,12,2724,2574
"721",1975,1,3035,2867
"722",1975,2,3018,2852
"723",1975,3,3330,3147
"724",1975,4,3426,3238
"725",1975,5,3273,3092
"726",1975,6,3144,2971
"727",1975,7,3283,3102
"728",1975,8,3117,2946
"729",1975,9,3085,2916
"730",1975,10,2896,2737
"731",1975,11,2685,2537
"732",1975,12,2763,2611
"733",1976,1,2764,2612
"734",1976,2,2839,2683
"735",1976,3,3199,3022
"736",1976,4,3009,2843
"737",1976,5,3002,2837
"738",1976,6,2962,2798
"739",1976,7,2886,2727
"740",1976,8,2767,2614
"741",1976,9,2749,2597
"742",1976,10,2656,2510
"743",1976,11,2364,2234
"744",1976,12,2361,2232
"745",1977,1,2598,2455
"746",1977,2,2514,2375
"747",1977,3,2955,2793
"748",1977,4,2783,2629
"749",1977,5,2874,2715
"750",1977,6,2736,2585
"751",1977,7,2690,2542
"752",1977,8,2701,2553
"753",1977,9,2550,2410
"754",1977,10,2596,2454
"755",1977,11,2450,2316
"756",1977,12,2367,2237
"757",1978,1,2542,2402
"758",1978,2,2414,2281
"759",1978,3,2915,2755
"760",1978,4,2897,2738
"761",1978,5,3066,2898
"762",1978,6,2783,2630
"763",1978,7,2812,2658
"764",1978,8,2706,2558
"765",1978,9,2650,2505
"766",1978,10,2538,2398
"767",1978,11,2304,2178
"768",1978,12,2266,2142
"769",1979,1,2441,2306
"770",1979,2,2387,2256
"771",1979,3,2854,2696
"772",1979,4,2839,2682
"773",1979,5,2800,2645
"774",1979,6,2712,2562
"775",1979,7,2587,2445
"776",1979,8,2590,2447
"777",1979,9,2490,2352
"778",1979,10,2466,2330
"779",1979,11,2241,2118
"780",1979,12,2169,2049
"781",1980,1,2436,2302
"782",1980,2,2360,2230
"783",1980,3,2691,2542
"784",1980,4,2748,2597
"785",1980,5,2668,2522
"786",1980,6,2529,2390
"787",1980,7,2610,2466
"788",1980,8,2470,2335
"789",1980,9,2409,2276
"790",1980,10,2294,2167
"791",1980,11,2120,2004
"792",1980,12,2122,2005
"793",1981,1,2159,2041
"794",1981,2,2101,1986
"795",1981,3,2363,2232
"796",1981,4,2450,2315
"797",1981,5,2440,2305
"798",1981,6,2429,2296
"799",1981,7,2463,2327
"800",1981,8,2337,2208
"801",1981,9,2373,2243
"802",1981,10,2136,2019
"803",1981,11,1990,1880
"804",1981,12,2055,1941
"805",1982,1,2246,2122
"806",1982,2,2091,1976
"807",1982,3,2433,2299
"808",1982,4,2386,2254
"809",1982,5,2507,2369
"810",1982,6,2365,2235
"811",1982,7,2368,2238
"812",1982,8,2265,2140
"813",1982,9,2228,2106
"814",1982,10,2179,2060
"815",1982,11,1994,1884
"816",1982,12,2012,1901
"817",1983,1,1986,1877
"818",1983,2,1987,1877
