"","A","P","D","Y"
"114",23,1944,2,34022.5
"115",24,1944,0,33423.166666666
"116",25,1944,2,32217.333333333
"117",26,1944,3,31337.166666667
"118",27,1944,1,31033.5
"119",28,1944,4,30982
"120",29,1944,3,31372.5
"121",30,1944,2,31955.5
"122",31,1944,4,32363.666666667
"123",32,1944,1,32427.5
"124",33,1944,3,32442.833333333
"125",34,1944,0,32250.5
"126",35,1944,1,31799.5
"127",36,1944,2,30919
"128",37,1944,1,30080.666666666
"129",38,1944,2,29506.166666667
"130",39,1944,2,28983.833333333
"131",40,1944,1,28508.666666667
"132",41,1944,3,27912.166666667
"133",42,1944,1,27343.166666666
"134",43,1944,0,26651.666666667
"135",44,1944,1,26019.833333334
"136",45,1944,0,25500.333333334
"137",46,1944,0,25022.833333333
"138",47,1944,1,24602.833333334
"139",48,1944,0,24021.5
"140",49,1944,0,23313.666666667
"141",50,1944,0,22376.833333333
"142",51,1944,1,21497.5
"143",52,1944,0,20831.166666666
"144",53,1944,2,20339.833333333
"145",54,1944,0,19955.1666666663
"146",55,1944,1,19487.5
"147",56,1944,0,19007.8333333333
"148",57,1944,0,18573.3333333333
"149",58,1944,0,18224
"150",59,1944,0,17806.3333333334
"151",60,1944,1,17140
"152",61,1944,0,16322.5
"153",62,1944,0,15644.3333333333
"154",63,1944,0,15159.3333333333
"155",64,1944,0,14693.3333333334
"156",65,1944,0,14211.1666666667
"157",66,1944,0,13695.1666666666
"158",67,1944,0,13112.8333333334
"159",68,1944,2,12295.8333333333
"160",69,1944,0,11306.5
"161",70,1944,0,10407.3333333334
"162",71,1944,0,9638.3333333333
"163",72,1944,0,8926.1666666667
"164",73,1944,0,8118.6666666666
"165",74,1944,0,7330.8333333334
"166",75,1944,0,6633.1666666667
"167",76,1944,0,6013.8333333333
"168",77,1944,0,5443.8333333333
"169",78,1944,0,4796.6666666666
"170",79,1944,1,4178.8333333334
"171",80,1944,0,3560.8333333333
"172",81,1944,1,3031
"173",82,1944,0,2582.6666666666
"174",83,1944,0,2191
"175",84,1944,0,1840.66666666667
"176",85,1944,0,1510
"177",86,1944,0,1188
"178",87,1944,0,916
"179",88,1944,0,712
"180",89,1944,0,537.19813695871
"181",0,1945,0,45687.666666667
"182",1,1945,0,42791.5
"183",2,1945,1,39547.666666667
"184",3,1945,0,36686
"185",4,1945,0,34339.5
"186",5,1945,1,33219.666666667
"187",6,1945,0,32687.666666667
"188",7,1945,0,32031.166666666
"189",8,1945,0,31286.333333333
"190",9,1945,0,30746.666666667
"191",10,1945,0,30395.5
"192",11,1945,0,29999.5
"193",12,1945,0,29877.666666667
"194",13,1945,0,29992.333333333
"195",14,1945,0,29840.166666667
"196",15,1945,0,30078.333333333
"197",16,1945,0,30651.333333333
"198",17,1945,1,30888.5
"199",18,1945,1,31234
"200",19,1945,0,31602.166666666
"201",20,1945,2,32174.5
"202",21,1945,0,32419
"203",22,1945,1,32654
"204",23,1945,0,33284.166666667
"205",24,1945,1,33692
"206",25,1945,2,33033.333333333
"207",26,1945,1,31946
"208",27,1945,2,31106.333333333
"209",28,1945,3,30876
"210",29,1945,1,31019.5
"211",30,1945,3,31527
"212",31,1945,3,31865
"213",32,1945,1,32450.5
"214",33,1945,2,32302.833333334
"215",34,1945,5,32500.5
"216",35,1945,3,32289
"217",36,1945,1,31565
"218",37,1945,1,30847.666666666
"219",38,1945,2,30098
"220",39,1945,4,29487.5
"221",40,1945,4,28836
"222",41,1945,3,28360
"223",42,1945,1,27868.5
"224",43,1945,1,27203.5
"225",44,1945,3,26655.333333333
"226",45,1945,2,25859.166666667
"227",46,1945,0,25451.833333333
"228",47,1945,2,24799.333333334
"229",48,1945,0,24482.166666666
"230",49,1945,0,23867
"231",50,1945,0,23170.166666667
"232",51,1945,0,22211.333333334
"233",52,1945,0,21295.833333333
"234",53,1945,0,20735
"235",54,1945,1,20173.6666666663
"236",55,1945,0,19745.3333333337
"237",56,1945,0,19359.5
"238",57,1945,0,18748.1666666666
"239",58,1945,2,18297
"240",59,1945,0,17990.1666666667
"241",60,1945,0,17575.3333333333
"242",61,1945,0,16759.3333333334
"243",62,1945,1,16037.1666666667
"244",63,1945,0,15399.8333333333
"245",64,1945,0,14937.8333333333
"246",65,1945,0,14341.3333333334
"247",66,1945,0,13834
"248",67,1945,1,13296
"249",68,1945,1,12661.3333333333
"250",69,1945,0,11830
"251",70,1945,0,10881.5
"252",71,1945,1,9979
"253",72,1945,0,9120.3333333334
"254",73,1945,0,8306.1666666666
"255",74,1945,1,7666.5
"256",75,1945,0,6901.1666666667
"257",76,1945,0,6244.3333333333
"258",77,1945,0,5557.1666666667
"259",78,1945,0,5015.5
"260",79,1945,0,4305.3333333334
"261",80,1945,0,3692.1666666667
"262",81,1945,0,3147.1666666667
"263",82,1945,0,2629.8333333333
"264",83,1945,0,2205
"265",84,1945,0,1839
"266",85,1945,0,1480
"267",86,1945,0,1234.66666666666
"268",87,1945,1,972.33333333334
"269",88,1945,0,734.16666666667
"270",89,1945,0,518.66176470588
"271",0,1946,0,47226.833333333
"272",1,1946,1,45203.833333333
"273",2,1946,1,42578.166666667
"274",3,1946,0,39445.833333334
"275",4,1946,0,36574.333333333
"276",5,1946,0,34474
"277",6,1946,0,33301
"278",7,1946,0,32672
"279",8,1946,0,31951.333333333
"280",9,1946,0,31311
"281",10,1946,0,30815.166666667
"282",11,1946,0,30401
"283",12,1946,0,30031.666666667
"284",13,1946,0,29753.333333333
"285",14,1946,0,29701
"286",15,1946,0,29767.333333334
"287",16,1946,0,29992
"288",17,1946,2,30273.333333333
"289",18,1946,0,30476.166666667
"290",19,1946,1,30652
"291",20,1946,1,30928
"292",21,1946,0,31434.666666667
"293",22,1946,2,31765
"294",23,1946,1,32103.5
"295",24,1946,3,32787.833333333
"296",25,1946,0,33078.833333333
"297",26,1946,3,32634.5
"298",27,1946,3,31578.333333333
"299",28,1946,1,30924
"300",29,1946,3,30893.833333333
"301",30,1946,1,30995.5
"302",31,1946,3,31394.166666667
"303",32,1946,3,31860.666666666
"304",33,1946,2,32278.5
"305",34,1946,2,32404.333333333
"306",35,1946,5,32326.666666667
"307",36,1946,1,32073.833333334
"308",37,1946,1,31582.5
"309",38,1946,2,30815.166666666
"310",39,1946,3,29987
"311",40,1946,1,29295.666666667
"312",41,1946,0,28753.166666667
"313",42,1946,1,28289.333333333
"314",43,1946,2,27774.833333333
"315",44,1946,2,27172.166666666
"316",45,1946,6,26480.333333333
"317",46,1946,2,25784.166666666
"318",47,1946,0,25202.833333334
"319",48,1946,1,24730.166666667
"320",49,1946,0,24305.166666666
"321",50,1946,1,23740.833333333
"322",51,1946,2,22969.333333334
"323",52,1946,0,22062.5
"324",53,1946,0,21201.333333334
"325",54,1946,0,20533.666666666
"326",55,1946,0,20013.666666667
"327",56,1946,0,19574
"328",57,1946,0,19067.5
"329",58,1946,0,18520.3333333333
"330",59,1946,1,18082.5
"331",60,1946,0,17700.6666666666
"332",61,1946,1,17213.6666666667
"333",62,1946,0,16530
"334",63,1946,1,15778.5
"335",64,1946,2,15128
"336",65,1946,1,14564.1666666666
"337",66,1946,1,13993.8333333333
"338",67,1946,1,13423.5
"339",68,1946,1,12839.3333333333
"340",69,1946,0,12211.8333333334
"341",70,1946,0,11397
"342",71,1946,2,10388
"343",72,1946,0,9375.5
"344",73,1946,2,8552.1666666667
"345",74,1946,1,7878.8333333333
"346",75,1946,0,7204.6666666667
"347",76,1946,0,6486.5
"348",77,1946,0,5762.1666666666
"349",78,1946,0,5084.5
"350",79,1946,1,4456.3333333333
"351",80,1946,0,3821.1666666667
"352",81,1946,0,3262
"353",82,1946,0,2736.3333333333
"354",83,1946,0,2245.3333333333
"355",84,1946,0,1828.49999999997
"356",85,1946,0,1495.16666666667
"357",86,1946,0,1226.16666666666
"358",87,1946,0,995.16666666667
"359",88,1946,0,776.66666666667
"360",89,1946,0,509.04307116105
"361",0,1947,1,46636.666666667
"362",1,1947,0,46393.666666666
"363",2,1947,0,44991.333333333
"364",3,1947,0,42484
"365",4,1947,0,39383.833333333
"366",5,1947,1,36520.666666667
"367",6,1947,0,34423.833333334
"368",7,1947,0,33258.833333334
"369",8,1947,0,32636.833333334
"370",9,1947,0,31916.666666666
"371",10,1947,0,31294.5
"372",11,1947,0,30802
"373",12,1947,0,30390.833333334
"374",13,1947,0,30012
"375",14,1947,0,29731
"376",15,1947,0,29681
"377",16,1947,0,29741.5
"378",17,1947,0,29919.166666667
"379",18,1947,0,30068.5
"380",19,1947,2,30121
"381",20,1947,0,30266.666666667
"382",21,1947,0,30670.166666667
"383",22,1947,0,31245.333333334
"384",23,1947,6,31385
"385",24,1947,5,31661.5
"386",25,1947,5,32400.833333333
"387",26,1947,0,32749.5
"388",27,1947,5,32336
"389",28,1947,4,31309.833333333
"390",29,1947,3,30719.166666667
"391",30,1947,4,30712.333333333
"392",31,1947,1,30823.833333334
"393",32,1947,2,31247
"394",33,1947,2,31720.5
"395",34,1947,1,32127.833333333
"396",35,1947,2,32268.333333333
"397",36,1947,2,32204.5
"398",37,1947,1,31957.166666667
"399",38,1947,2,31452.166666667
"400",39,1947,1,30698.833333333
"401",40,1947,2,29882
"402",41,1947,0,29178.5
"403",42,1947,1,28646.333333334
"404",43,1947,0,28168
"405",44,1947,1,27632.333333334
"406",45,1947,1,27034.166666667
"407",46,1947,3,26332
"408",47,1947,0,25644.5
"409",48,1947,1,25056.666666667
"410",49,1947,1,24570.166666667
"411",50,1947,0,24137.833333333
"412",51,1947,2,23554.166666667
"413",52,1947,0,22781.833333333
"414",53,1947,2,21881
"415",54,1947,2,21003.833333333
"416",55,1947,0,20330.9999999997
"417",56,1947,1,19793.5
"418",57,1947,1,19337
"419",58,1947,0,18825
"420",59,1947,0,18261.3333333334
"421",60,1947,1,17804.8333333333
"422",61,1947,0,17388.5
"423",62,1947,1,16867.5
"424",63,1947,0,16181.8333333333
"425",64,1947,0,15438.8333333334
"426",65,1947,2,14761.5
"427",66,1947,1,14167.6666666667
"428",67,1947,0,13587.8333333333
"429",68,1947,0,12984
"430",69,1947,0,12373.1666666667
"431",70,1947,0,11719.1666666666
"432",71,1947,0,10888.5
"433",72,1947,0,9874.6666666666
"434",73,1947,0,8866.5
"435",74,1947,0,8031.1666666667
"436",75,1947,0,7364
"437",76,1947,0,6688.1666666667
"438",77,1947,0,5968.6666666666
"439",78,1947,0,5263.8333333333
"440",79,1947,1,4584.5
"441",80,1947,0,3944.1666666667
"442",81,1947,0,3348.3333333333
"443",82,1947,0,2808.3333333334
"444",83,1947,0,2348
"445",84,1947,1,1896.3333333333
"446",85,1947,0,1503.16666666667
"447",86,1947,0,1203
"448",87,1947,0,966.5
"449",88,1947,0,768.16666666667
"450",89,1947,0,542.95466321244
"451",0,1948,0,44383.166666667
"452",1,1948,0,45682.166666667
"453",2,1948,0,46162.666666667
"454",3,1948,0,44875.833333334
"455",4,1948,0,42396.166666667
"456",5,1948,0,39297
"457",6,1948,0,36447.5
"458",7,1948,0,34373.166666666
"459",8,1948,0,33217.5
"460",9,1948,0,32591.5
"461",10,1948,1,31887.5
"462",11,1948,0,31268
"463",12,1948,0,30775
"464",13,1948,0,30358.166666666
"465",14,1948,0,29981.166666667
"466",15,1948,1,29691.166666667
"467",16,1948,0,29631.666666666
"468",17,1948,0,29640.666666667
"469",18,1948,0,29739.5
"470",19,1948,1,29793.333333333
"471",20,1948,0,29865
"472",21,1948,0,30208.333333333
"473",22,1948,1,30579.5
"474",23,1948,1,30986.5
"475",24,1948,3,31088.5
"476",25,1948,2,31405.833333333
"477",26,1948,3,32203.166666667
"478",27,1948,2,32570.5
"479",28,1948,2,32183
"480",29,1948,2,31163.5
"481",30,1948,2,30581
"482",31,1948,1,30572.833333333
"483",32,1948,1,30703.5
"484",33,1948,4,31116.333333334
"485",34,1948,3,31581.833333333
"486",35,1948,1,31999.5
"487",36,1948,0,32138.666666667
"488",37,1948,2,32065.833333333
"489",38,1948,1,31829.833333334
"490",39,1948,1,31335.833333333
"491",40,1948,1,30573
"492",41,1948,2,29763.166666666
"493",42,1948,1,29055
"494",43,1948,1,28497.333333333
"495",44,1948,2,28026
"496",45,1948,0,27487.666666666
"497",46,1948,2,26891.5
"498",47,1948,2,26188.166666667
"499",48,1948,2,25481.166666666
"500",49,1948,0,24882.5
"501",50,1948,1,24387.5
"502",51,1948,2,23943.5
"503",52,1948,1,23350.333333334
"504",53,1948,1,22581.833333333
"505",54,1948,1,21685.166666667
"506",55,1948,1,20795.666666666
"507",56,1948,0,20105.166666667
"508",57,1948,0,19567.8333333333
"509",58,1948,0,19093.6666666666
"510",59,1948,0,18566.8333333333
"511",60,1948,1,17982.6666666667
"512",61,1948,0,17504.1666666667
"513",62,1948,0,17068
"514",63,1948,0,16534.6666666666
"515",64,1948,0,15839.3333333334
"516",65,1948,0,15075.5
"517",66,1948,0,14380.3333333334
"518",67,1948,0,13765.5
"519",68,1948,1,13158.1666666666
"520",69,1948,1,12531
"521",70,1948,0,11899.3333333334
"522",71,1948,0,11236.3333333334
"523",72,1948,0,10390.8333333333
"524",73,1948,0,9387.8333333333
"525",74,1948,0,8379.1666666667
"526",75,1948,0,7525.6666666667
"527",76,1948,0,6853.3333333334
"528",77,1948,1,6193.5
"529",78,1948,0,5500
"530",79,1948,0,4787.3333333333
"531",80,1948,0,4103.3333333334
"532",81,1948,0,3478.1666666666
"533",82,1948,0,2921.5
"534",83,1948,0,2437.8333333334
"535",84,1948,1,2013.1666666667
"536",85,1948,0,1604.5
"537",86,1948,0,1238.66666666666
"538",87,1948,0,961
"539",88,1948,0,758
"540",89,1948,0,573.53840877915
"541",0,1949,1,41656.833333333
"542",1,1949,0,43591.166666667
"543",2,1949,0,45507.166666666
"544",3,1949,0,46067
"545",4,1949,0,44789
"546",5,1949,0,42312.333333333
"547",6,1949,0,39237.166666667
"548",7,1949,0,36405
"549",8,1949,0,34335.833333333
"550",9,1949,0,33175.333333333
"551",10,1949,0,32548.666666666
"552",11,1949,0,31851.833333333
"553",12,1949,0,31240.166666667
"554",13,1949,0,30743.666666667
"555",14,1949,0,30322.666666667
"556",15,1949,0,29946.666666667
"557",16,1949,0,29652.833333333
"558",17,1949,0,29543.5
"559",18,1949,0,29472.333333333
"560",19,1949,0,29508.333333333
"561",20,1949,1,29655.5
"562",21,1949,0,29955.166666667
"563",22,1949,1,30164.833333334
"564",23,1949,2,30340
"565",24,1949,3,30746.5
"566",25,1949,4,30959.833333333
"567",26,1949,1,31282.333333334
"568",27,1949,1,32085.333333333
"569",28,1949,5,32492.833333334
"570",29,1949,5,32089.833333333
"571",30,1949,2,31051.833333333
"572",31,1949,4,30468.5
"573",32,1949,4,30477.5
"574",33,1949,0,30610.5
"575",34,1949,3,31017.5
"576",35,1949,2,31468.5
"577",36,1949,1,31893
"578",37,1949,1,32008.333333333
"579",38,1949,3,31942.5
"580",39,1949,4,31713.333333333
"581",40,1949,3,31220.666666667
"582",41,1949,1,30439.333333334
"583",42,1949,2,29619.166666667
"584",43,1949,1,28924
"585",44,1949,2,28367.5
"586",45,1949,2,27891.333333333
"587",46,1949,4,27353.833333333
"588",47,1949,1,26736.333333334
"589",48,1949,1,26029.333333333
"590",49,1949,1,25330
"591",50,1949,3,24726.833333333
"592",51,1949,1,24208.666666666
"593",52,1949,2,23746
"594",53,1949,0,23166
"595",54,1949,1,22378.166666667
"596",55,1949,2,21461.166666666
"597",56,1949,1,20569.9999999997
"598",57,1949,1,19878.8333333337
"599",58,1949,0,19338.6666666667
"600",59,1949,0,18841.8333333333
"601",60,1949,0,18303.1666666666
"602",61,1949,0,17696.5
"603",62,1949,1,17191.6666666667
"604",63,1949,1,16747.6666666666
"605",64,1949,0,16190
"606",65,1949,1,15480.6666666666
"607",66,1949,1,14697.8333333333
"608",67,1949,0,13974.3333333334
"609",68,1949,0,13332.5
"610",69,1949,0,12702.1666666666
"611",70,1949,0,12060.6666666666
"612",71,1949,1,11408.6666666667
"613",72,1949,0,10727.3333333333
"614",73,1949,0,9886.3333333333
"615",74,1949,1,8875.5
"616",75,1949,0,7854
"617",76,1949,0,7017.8333333334
"618",77,1949,0,6354.3333333333
"619",78,1949,0,5716
"620",79,1949,0,5020.3333333333
"621",80,1949,1,4327.1666666667
"622",81,1949,0,3665.5
"623",82,1949,0,3057.6666666666
"624",83,1949,0,2520.8333333333
"625",84,1949,0,2094.66666666663
"626",85,1949,0,1712
"627",86,1949,0,1341.5
"628",87,1949,0,1022.33333333333
"629",88,1949,0,762.33333333333
"630",89,1949,0,521.05570966251
"631",0,1950,0,40116.833333333
"632",1,1950,0,41216.333333334
"633",2,1950,0,43474.833333333
"634",3,1950,0,45397
"635",4,1950,0,45939
"636",5,1950,0,44696.833333333
"637",6,1950,0,42329.833333334
"638",7,1950,0,39255.666666667
"639",8,1950,0,36434.166666667
"640",9,1950,0,34357.5
"641",10,1950,0,33160
"642",11,1950,0,32456.666666667
"643",12,1950,0,31771.166666666
"644",13,1950,0,31159.666666666
"645",14,1950,0,30753
"646",15,1950,0,30217.666666667
"647",16,1950,1,29890.833333334
"648",17,1950,0,29493.333333334
"649",18,1950,0,29323.333333333
"650",19,1950,1,29277.833333333
"651",20,1950,3,29406.5
"652",21,1950,0,29729.5
"653",22,1950,3,29815.333333334
"654",23,1950,1,29900.666666667
"655",24,1950,1,30198.333333333
"656",25,1950,1,30702.166666666
"657",26,1950,3,30946
"658",27,1950,4,31306.333333333
"659",28,1950,0,32183.333333333
"660",29,1950,5,32369.5
"661",30,1950,1,32074.333333333
"662",31,1950,1,31057.666666666
"663",32,1950,0,30427
"664",33,1950,3,30392.666666667
"665",34,1950,1,30348.166666666
"666",35,1950,2,30641
"667",36,1950,1,31366
"668",37,1950,3,31642.333333333
"669",38,1950,1,31892.833333334
"670",39,1950,3,31738.666666667
"671",40,1950,1,31461.833333333
"672",41,1950,2,31241.166666666
"673",42,1950,1,30320.666666667
"674",43,1950,4,29396
"675",44,1950,2,28778.833333333
"676",45,1950,0,28258
"677",46,1950,0,27771.833333333
"678",47,1950,2,27093.833333334
"679",48,1950,0,26538.333333333
"680",49,1950,0,25789
"681",50,1950,3,25105.333333334
"682",51,1950,0,24462.5
"683",52,1950,0,24128.833333333
"684",53,1950,2,23523.833333333
"685",54,1950,0,22929.666666667
"686",55,1950,1,22106.666666667
"687",56,1950,0,21195.833333333
"688",57,1950,0,20332.833333333
"689",58,1950,1,19546
"690",59,1950,0,19096.5
"691",60,1950,0,18520.8333333333
"692",61,1950,0,17879.6666666667
"693",62,1950,1,17370.6666666667
"694",63,1950,1,16868.8333333333
"695",64,1950,1,16361.1666666667
"696",65,1950,0,15776.3333333333
"697",66,1950,0,15180.1666666666
"698",67,1950,0,14253.5
"699",68,1950,0,13484.6666666667
"700",69,1950,0,12822.1666666667
"701",70,1950,1,12198.6666666667
"702",71,1950,1,11537
"703",72,1950,0,10847
"704",73,1950,0,10207
"705",74,1950,1,9325
"706",75,1950,0,8284
"707",76,1950,0,7309.1666666667
"708",77,1950,0,6566.8333333334
"709",78,1950,0,5950.8333333333
"710",79,1950,0,5165.5
"711",80,1950,0,4443.3333333334
"712",81,1950,0,3735.5
"713",82,1950,0,3175.5
"714",83,1950,0,2572.5
"715",84,1950,0,2196.5
"716",85,1950,0,1802.83333333333
"717",86,1950,0,1403.33333333334
"718",87,1950,0,1078
"719",88,1950,0,809.83333333333
"720",89,1950,0,541.80808080808
"721",0,1951,0,38984.333333333
"722",1,1951,0,39599.333333333
"723",2,1951,0,41108.333333333
"724",3,1951,0,43283
"725",4,1951,0,45259.333333334
"726",5,1951,0,45865.333333333
"727",6,1951,0,44707.333333333
"728",7,1951,0,42306.666666667
"729",8,1951,0,39264.333333334
"730",9,1951,0,36418.833333334
"731",10,1951,0,34283.833333333
"732",11,1951,0,33040.166666667
"733",12,1951,0,32379
"734",13,1951,0,31721.333333333
"735",14,1951,0,31121.833333333
"736",15,1951,0,30631.666666666
"737",16,1951,0,30174
"738",17,1951,0,29706.833333334
"739",18,1951,0,29305.333333334
"740",19,1951,0,29098.333333333
"741",20,1951,1,29104.833333333
"742",21,1951,0,29321.5
"743",22,1951,2,29416.166666667
"744",23,1951,1,29447.333333334
"745",24,1951,2,29677.5
"746",25,1951,1,30053.833333334
"747",26,1951,2,30592.833333333
"748",27,1951,5,30868.166666667
"749",28,1951,2,31179.5
"750",29,1951,1,31951.333333334
"751",30,1951,6,32337
"752",31,1951,5,31952.5
"753",32,1951,2,30922.666666667
"754",33,1951,1,30186.666666667
"755",34,1951,5,30010.666666667
"756",35,1951,0,30054.166666667
"757",36,1951,5,30509.666666667
"758",37,1951,5,31080.666666666
"759",38,1951,1,31499.666666666
"760",39,1951,3,31584.166666667
"761",40,1951,3,31631.666666667
"762",41,1951,1,31463.666666666
"763",42,1951,2,30982
"764",43,1951,1,30129.333333334
"765",44,1951,1,29277.333333333
"766",45,1951,0,28657.166666667
"767",46,1951,1,28051
"768",47,1951,3,27494.333333334
"769",48,1951,1,26882.833333334
"770",49,1951,2,26264.166666666
"771",50,1951,3,25563
"772",51,1951,1,24924.166666667
"773",52,1951,1,24362.833333334
"774",53,1951,1,23844.5
"775",54,1951,1,23314.333333333
"776",55,1951,0,22654
"777",56,1951,2,21865.833333334
"778",57,1951,0,20902.666666667
"779",58,1951,0,20024.4999999997
"780",59,1951,0,19301.3333333334
"781",60,1951,0,18694.6666666666
"782",61,1951,0,18150
"783",62,1951,1,17584.1666666667
"784",63,1951,1,17023
"785",64,1951,1,16475.3333333334
"786",65,1951,0,16009.6666666667
"787",66,1951,0,15449.5
"788",67,1951,1,14676.3333333333
"789",68,1951,2,13784.8333333333
"790",69,1951,1,13005.1666666666
"791",70,1951,0,12333.1666666667
"792",71,1951,0,11650.3333333333
"793",72,1951,0,10998.6666666666
"794",73,1951,0,10331.8333333333
"795",74,1951,0,9624
"796",75,1951,1,8729
"797",76,1951,0,7760.5
"798",77,1951,0,6875.6666666667
"799",78,1951,0,6048.6666666667
"800",79,1951,0,5311.8333333333
"801",80,1951,0,4550
"802",81,1951,0,3862.8333333333
"803",82,1951,0,3261
"804",83,1951,0,2725.6666666667
"805",84,1951,0,2265.6666666667
"806",85,1951,1,1840.00000000003
"807",86,1951,0,1478.66666666667
"808",87,1951,0,1150.83333333333
"809",88,1951,0,889.5
"810",89,1951,0,630.87795275591
"811",0,1952,0,38653.166666667
"812",1,1952,0,38742.5
"813",2,1952,1,39440.5
"814",3,1952,0,40993.833333333
"815",4,1952,0,43180.333333333
"816",5,1952,0,45160.5
"817",6,1952,0,45777.166666666
"818",7,1952,0,44630.166666666
"819",8,1952,0,42248.166666666
"820",9,1952,0,39208
"821",10,1952,0,36362.833333333
"822",11,1952,0,34238.666666667
"823",12,1952,0,33002.333333334
"824",13,1952,0,32340.5
"825",14,1952,1,31682
"826",15,1952,1,31110.333333333
"827",16,1952,0,30616.166666666
"828",17,1952,0,30098.5
"829",18,1952,2,29557.666666667
"830",19,1952,0,29095.333333333
"831",20,1952,0,28909
"832",21,1952,1,28984.833333333
"833",22,1952,0,28995
"834",23,1952,1,29046.333333334
"835",24,1952,3,29162.833333333
"836",25,1952,4,29431.833333334
"837",26,1952,2,29824.166666667
"838",27,1952,1,30351.666666667
"839",28,1952,1,30648.333333333
"840",29,1952,3,30982
"841",30,1952,2,31787.5
"842",31,1952,6,32180.833333333
"843",32,1952,2,31809.833333333
"844",33,1952,2,30800
"845",34,1952,5,30072.666666666
"846",35,1952,2,29882.5
"847",36,1952,3,29928.333333334
"848",37,1952,1,30366.666666667
"849",38,1952,5,30939
"850",39,1952,5,31372.166666667
"851",40,1952,2,31455.833333334
"852",41,1952,2,31509.166666667
"853",42,1952,4,31331.666666666
"854",43,1952,1,30858.166666667
"855",44,1952,4,29999.5
"856",45,1952,2,29141.666666666
"857",46,1952,0,28509.166666666
"858",47,1952,1,27906.166666666
"859",48,1952,1,27337.833333334
"860",49,1952,2,26724.166666667
"861",50,1952,0,26095.833333333
"862",51,1952,1,25385.5
"863",52,1952,0,24728.333333333
"864",53,1952,0,24168.166666667
