"","sex","A","P","N"
"703",1,51,1974,28884
"704",2,51,1974,29517
"705",1,52,1974,30456
"706",2,52,1974,31837
"707",1,53,1974,31436
"708",2,53,1974,32665
"709",1,54,1974,27246
"710",2,54,1974,27968
"711",1,55,1974,28127
"712",2,55,1974,28930
"713",1,56,1974,26899
"714",2,56,1974,28191
"715",1,57,1974,26894
"716",2,57,1974,28020
"717",1,58,1974,26266
"718",2,58,1974,27633
"719",1,59,1974,27161
"720",2,59,1974,29080
"721",1,60,1974,26828
"722",2,60,1974,28895
"723",1,61,1974,27136
"724",2,61,1974,28776
"725",1,62,1974,26044
"726",2,62,1974,28085
"727",1,63,1974,25558
"728",2,63,1974,27803
"729",1,64,1974,25439
"730",2,64,1974,28160
"731",1,65,1974,23620
"732",2,65,1974,26996
"733",1,66,1974,22280
"734",2,66,1974,25721
"735",1,67,1974,21137
"736",2,67,1974,24898
"737",1,68,1974,20159
"738",2,68,1974,23928
"739",1,69,1974,19046
"740",2,69,1974,23330
"741",1,70,1974,17896
"742",2,70,1974,22177
"743",1,71,1974,17111
"744",2,71,1974,21704
"745",1,72,1974,15884
"746",2,72,1974,20669
"747",1,73,1974,14652
"748",2,73,1974,19393
"749",1,74,1974,13170
"750",2,74,1974,18165
"751",1,75,1974,12667
"752",2,75,1974,17457
"753",1,76,1974,11491
"754",2,76,1974,16009
"755",1,77,1974,10561
"756",2,77,1974,15298
"757",1,78,1974,9644
"758",2,78,1974,13801
"759",1,79,1974,8673
"760",2,79,1974,12353
"761",1,80,1974,7514
"762",2,80,1974,11212
"763",1,81,1974,6375
"764",2,81,1974,9775
"765",1,82,1974,5854
"766",2,82,1974,8811
"767",1,83,1974,5000
"768",2,83,1974,7616
"769",1,84,1974,4171
"770",2,84,1974,6497
"771",1,85,1974,3615
"772",2,85,1974,5475
"773",1,86,1974,3008
"774",2,86,1974,4745
"775",1,87,1974,2375
"776",2,87,1974,3761
"777",1,88,1974,1950
"778",2,88,1974,3128
"779",1,89,1974,1563
"780",2,89,1974,2522
"781",1,90,1974,1079
"782",2,90,1974,1826
"783",1,91,1974,883
"784",2,91,1974,1385
"785",1,92,1974,592
"786",2,92,1974,991
"787",1,93,1974,428
"788",2,93,1974,713
"789",1,94,1974,287
"790",2,94,1974,475
"791",1,95,1974,198
"792",2,95,1974,359
"793",1,96,1974,135
"794",2,96,1974,246
"795",1,97,1974,74
"796",2,97,1974,151
"797",1,98,1974,54
"798",2,98,1974,90
"799",1,99,1974,51
"800",2,99,1974,121
"801",1,0,1975,35626
"802",2,0,1975,34123
"803",1,1,1975,36510
"804",2,1,1975,34886
"805",1,2,1975,38217
"806",2,2,1975,36762
"807",1,3,1975,38376
"808",2,3,1975,36240
"809",1,4,1975,36085
"810",2,4,1975,34431
"811",1,5,1975,36446
"812",2,5,1975,34315
"813",1,6,1975,37900
"814",2,6,1975,35747
"815",1,7,1975,41002
"816",2,7,1975,39264
"817",1,8,1975,44493
"818",2,8,1975,42439
"819",1,9,1975,43111
"820",2,9,1975,41040
"821",1,10,1975,42066
"822",2,10,1975,39850
"823",1,11,1975,41312
"824",2,11,1975,39520
"825",1,12,1975,38904
"826",2,12,1975,37327
"827",1,13,1975,38239
"828",2,13,1975,36711
"829",1,14,1975,38135
"830",2,14,1975,36611
"831",1,15,1975,37234
"832",2,15,1975,35553
"833",1,16,1975,37831
"834",2,16,1975,35932
"835",1,17,1975,38084
"836",2,17,1975,35823
"837",1,18,1975,38559
"838",2,18,1975,36424
"839",1,19,1975,38659
"840",2,19,1975,36247
"841",1,20,1975,37997
"842",2,20,1975,36244
"843",1,21,1975,39077
"844",2,21,1975,37124
"845",1,22,1975,38452
"846",2,22,1975,36753
"847",1,23,1975,38422
"848",2,23,1975,36055
"849",1,24,1975,39360
"850",2,24,1975,37760
"851",1,25,1975,39474
"852",2,25,1975,37482
"853",1,26,1975,41843
"854",2,26,1975,39367
"855",1,27,1975,44678
"856",2,27,1975,42087
"857",1,28,1975,46512
"858",2,28,1975,43398
"859",1,29,1975,45267
"860",2,29,1975,42303
"861",1,30,1975,43121
"862",2,30,1975,40637
"863",1,31,1975,39618
"864",2,31,1975,37828
"865",1,32,1975,37460
"866",2,32,1975,35605
"867",1,33,1975,33394
"868",2,33,1975,31985
"869",1,34,1975,32504
"870",2,34,1975,31325
"871",1,35,1975,31589
"872",2,35,1975,30039
"873",1,36,1975,31222
"874",2,36,1975,30186
"875",1,37,1975,30151
"876",2,37,1975,29855
"877",1,38,1975,29432
"878",2,38,1975,29000
"879",1,39,1975,28622
"880",2,39,1975,28283
"881",1,40,1975,28222
"882",2,40,1975,28143
"883",1,41,1975,27558
"884",2,41,1975,27145
"885",1,42,1975,27429
"886",2,42,1975,27835
"887",1,43,1975,27407
"888",2,43,1975,27460
"889",1,44,1975,27686
"890",2,44,1975,28116
"891",1,45,1975,27079
"892",2,45,1975,27467
"893",1,46,1975,28297
"894",2,46,1975,28358
"895",1,47,1975,27747
"896",2,47,1975,28173
"897",1,48,1975,28334
"898",2,48,1975,29132
"899",1,49,1975,28454
"900",2,49,1975,29427
"901",1,50,1975,29281
"902",2,50,1975,30031
"903",1,51,1975,29109
"904",2,51,1975,30321
"905",1,52,1975,28642
"906",2,52,1975,29375
"907",1,53,1975,30208
"908",2,53,1975,31650
"909",1,54,1975,31144
"910",2,54,1975,32518
"911",1,55,1975,26944
"912",2,55,1975,27754
"913",1,56,1975,27843
"914",2,56,1975,28738
"915",1,57,1975,26547
"916",2,57,1975,27974
"917",1,58,1975,26548
"918",2,58,1975,27799
"919",1,59,1975,25873
"920",2,59,1975,27408
"921",1,60,1975,26702
"922",2,60,1975,28851
"923",1,61,1975,26328
"924",2,61,1975,28596
"925",1,62,1975,26628
"926",2,62,1975,28477
"927",1,63,1975,25478
"928",2,63,1975,27779
"929",1,64,1975,24963
"930",2,64,1975,27464
"931",1,65,1975,24756
"932",2,65,1975,27744
"933",1,66,1975,22974
"934",2,66,1975,26619
"935",1,67,1975,21601
"936",2,67,1975,25344
"937",1,68,1975,20393
"938",2,68,1975,24468
"939",1,69,1975,19406
"940",2,69,1975,23449
"941",1,70,1975,18241
"942",2,70,1975,22785
"943",1,71,1975,17035
"944",2,71,1975,21681
"945",1,72,1975,16273
"946",2,72,1975,21048
"947",1,73,1975,14959
"948",2,73,1975,20034
"949",1,74,1975,13756
"950",2,74,1975,18723
"951",1,75,1975,12333
"952",2,75,1975,17501
"953",1,76,1975,11802
"954",2,76,1975,16687
"955",1,77,1975,10617
"956",2,77,1975,15203
"957",1,78,1975,9691
"958",2,78,1975,14494
"959",1,79,1975,8769
"960",2,79,1975,12946
"961",1,80,1975,7844
"962",2,80,1975,11494
"963",1,81,1975,6718
"964",2,81,1975,10396
"965",1,82,1975,5626
"966",2,82,1975,8938
"967",1,83,1975,5130
"968",2,83,1975,7966
"969",1,84,1975,4350
"970",2,84,1975,6850
"971",1,85,1975,3548
"972",2,85,1975,5796
"973",1,86,1975,3054
"974",2,86,1975,4845
"975",1,87,1975,2480
"976",2,87,1975,4048
"977",1,88,1975,1946
"978",2,88,1975,3186
"979",1,89,1975,1559
"980",2,89,1975,2592
"981",1,90,1975,1228
"982",2,90,1975,2041
"983",1,91,1975,816
"984",2,91,1975,1463
"985",1,92,1975,668
"986",2,92,1975,1081
"987",1,93,1975,427
"988",2,93,1975,760
"989",1,94,1975,312
"990",2,94,1975,537
"991",1,95,1975,197
"992",2,95,1975,332
"993",1,96,1975,133
"994",2,96,1975,260
"995",1,97,1975,93
"996",2,97,1975,160
"997",1,98,1975,45
"998",2,98,1975,101
"999",1,99,1975,63
"1000",2,99,1975,124
"1001",1,0,1976,36435
"1002",2,0,1976,35021
"1003",1,1,1976,36037
"1004",2,1,1976,34604
"1005",1,2,1976,36336
"1006",2,2,1976,34765
"1007",1,3,1976,38096
"1008",2,3,1976,36662
"1009",1,4,1976,38244
"1010",2,4,1976,36172
"1011",1,5,1976,35985
"1012",2,5,1976,34353
"1013",1,6,1976,36359
"1014",2,6,1976,34307
"1015",1,7,1976,37831
"1016",2,7,1976,35683
"1017",1,8,1976,40935
"1018",2,8,1976,39164
"1019",1,9,1976,44399
"1020",2,9,1976,42356
"1021",1,10,1976,43012
"1022",2,10,1976,40983
"1023",1,11,1976,41992
"1024",2,11,1976,39769
"1025",1,12,1976,41264
"1026",2,12,1976,39478
"1027",1,13,1976,38827
"1028",2,13,1976,37293
"1029",1,14,1976,38215
"1030",2,14,1976,36657
"1031",1,15,1976,38113
"1032",2,15,1976,36588
"1033",1,16,1976,37184
"1034",2,16,1976,35517
"1035",1,17,1976,37726
"1036",2,17,1976,35678
"1037",1,18,1976,37992
"1038",2,18,1976,35736
"1039",1,19,1976,38373
"1040",2,19,1976,36203
"1041",1,20,1976,38420
"1042",2,20,1976,36122
"1043",1,21,1976,37687
"1044",2,21,1976,36125
"1045",1,22,1976,38832
"1046",2,22,1976,36876
"1047",1,23,1976,38189
"1048",2,23,1976,36585
"1049",1,24,1976,38065
"1050",2,24,1976,35808
"1051",1,25,1976,38973
"1052",2,25,1976,37520
"1053",1,26,1976,39017
"1054",2,26,1976,37252
"1055",1,27,1976,41487
"1056",2,27,1976,39228
"1057",1,28,1976,44298
"1058",2,28,1976,41905
"1059",1,29,1976,46143
"1060",2,29,1976,43186
"1061",1,30,1976,45000
"1062",2,30,1976,42183
"1063",1,31,1976,42801
"1064",2,31,1976,40526
"1065",1,32,1976,39387
"1066",2,32,1976,37703
"1067",1,33,1976,37269
"1068",2,33,1976,35526
"1069",1,34,1976,33293
"1070",2,34,1976,31929
"1071",1,35,1976,32348
"1072",2,35,1976,31256
"1073",1,36,1976,31404
"1074",2,36,1976,29971
"1075",1,37,1976,31048
