"","strata","income","books","sportDays"
"215","F_area1",7576,9,47
"216","F_area1",39925,19,2
"217","F_area1",19710,6,43
"218","F_area1",33468,23,65
"219","F_area1",38311,17,75
"220","F_area1",31305,21,82
"221","F_area1",23897,10,49
"222","F_area1",37430,11,60
"223","F_area1",41841,13,30
"224","F_area1",25138,10,26
"225","F_area1",45713,19,130
"226","F_area1",42331,1,15
"227","F_area1",14489,24,73
"228","F_area1",27879,23,43
"229","F_area1",34376,23,80
"230","F_area1",46144,21,23
"231","F_area1",49964,11,88
"232","F_area1",24809,7,72
"233","F_area1",28802,1,30
"234","F_area1",32399,8,66
"235","F_area1",43028,7,121
"236","F_area1",47368,24,3
"237","F_area1",37964,24,50
"238","F_area1",10008,14,99
"239","F_area1",38686,7,3
"240","F_area1",24710,23,45
"241","F_area1",8063,22,134
"242","F_area1",30727,7,46
"243","F_area1",5668,22,90
"244","F_area1",41154,13,58
"245","F_area1",37563,14,25
"246","F_area1",10234,1,72
"247","F_area1",29681,18,140
"248","F_area1",9388,24,71
"249","F_area1",42494,9,41
"250","F_area1",31538,21,31
"251","F_area1",41210,20,116
"252","F_area1",47463,13,132
"253","F_area1",39405,7,105
"254","F_area1",44154,13,24
"255","F_area1",16452,9,123
"256","F_area1",35376,17,27
"257","F_area1",8096,10,14
"258","F_area1",12718,15,33
"259","F_area1",9989,17,55
"260","F_area1",8539,19,94
"261","F_area1",33244,1,52
"262","F_area1",41934,2,17
"263","F_area1",32119,2,120
"264","F_area1",10250,23,10
"265","F_area1",31654,23,7
"266","F_area1",43382,25,65
"267","F_area1",12461,16,161
"268","F_area1",24664,24,113
"269","F_area1",36564,0,94
"270","F_area1",12204,3,73
"271","F_area1",31390,10,59
"272","F_area1",31102,22,59
"273","F_area1",36883,1,134
"274","F_area1",28113,23,5
"275","F_area1",6188,24,61
"276","F_area1",14141,7,24
"277","F_area1",23312,1,73
"278","F_area1",13746,5,31
"279","F_area1",15165,9,93
"280","F_area1",31895,20,33
"281","F_area1",18297,19,113
"282","F_area1",5074,0,130
"283","M_area2",46298,1,37
"284","M_area2",43742,13,43
"285","M_area2",35416,23,76
"286","M_area2",49851,17,24
"287","M_area2",11371,20,104
"288","M_area2",9350,13,90
"289","M_area2",14661,6,19
"290","M_area2",43361,10,9
"291","M_area2",7831,4,0
"292","M_area2",23283,21,92
"293","M_area2",32171,24,28
"294","M_area2",39921,8,42
"295","M_area2",29898,23,32
"296","M_area2",9630,11,2
"297","M_area2",37886,17,95
"298","M_area2",34496,24,66
"299","M_area2",13133,13,64
"300","M_area2",49318,14,71
"301","M_area2",28461,12,18
"302","M_area2",38501,24,51
"303","M_area2",17909,16,63
"304","M_area2",33089,5,27
"305","M_area2",7631,1,122
"306","M_area2",10090,14,38
"307","M_area2",43535,3,54
"308","M_area2",28891,14,72
"309","M_area2",9964,7,21
"310","M_area2",9383,15,42
"311","M_area2",16344,21,110
"312","M_area2",33576,2,78
"313","M_area2",25090,14,39
"314","M_area2",19119,6,105
"315","M_area2",46875,7,25
"316","M_area2",31377,13,83
"317","M_area2",32329,12,73
"318","M_area2",45080,7,70
"319","M_area2",10732,18,114
"320","M_area2",15846,19,116
"321","M_area2",17978,25,79
"322","M_area2",19128,16,20
"323","M_area2",46649,9,21
"324","M_area2",23809,18,20
"325","M_area2",6814,4,73
"326","M_area2",22986,10,21
"327","M_area2",25588,9,31
"328","M_area2",29703,24,134
"329","M_area2",32216,5,35
"330","M_area2",10309,25,158
"331","M_area2",21845,9,33
"332","M_area2",17178,10,93
"333","M_area2",48054,12,70
"334","M_area2",34089,12,21
"335","M_area2",10127,14,68
"336","M_area2",17416,15,126
"337","M_area2",47503,9,108
"338","M_area2",27285,17,152
"339","M_area2",22069,7,116
"340","M_area2",43721,1,22
"341","M_area2",41287,7,66
"342","M_area2",15548,22,139
"343","M_area2",28572,7,88
"344","M_area2",33068,22,21
"345","M_area2",28513,20,124
"346","M_area2",21048,1,33
"347","M_area2",19227,8,90
"348","M_area2",32793,2,69
"349","M_area2",15856,1,12
"350","M_area2",9040,3,44
"351","M_area2",7973,13,5
"352","M_area2",49160,11,29
"353","M_area2",21123,23,20
"354","M_area2",15445,15,14
"355","M_area2",21501,7,96
"356","M_area2",12479,10,25
"357","M_area2",39052,1,77
"358","M_area2",13657,6,16
"359","M_area2",8525,5,18
"360","M_area2",18392,18,97
"361","M_area2",5170,6,71
"362","M_area2",25754,11,36
"363","M_area2",30853,23,89
"364","M_area2",22683,13,94
"365","M_area2",30911,3,48
"366","M_area2",37364,10,8
"367","M_area2",8508,15,32
"368","M_area2",17269,3,58
"369","M_area2",22500,4,63
"370","M_area2",5946,4,58
"371","M_area2",7328,5,25
"372","M_area2",15525,18,54
"373","M_area2",37126,7,32
"374","M_area2",12048,7,53
"375","M_area2",19290,5,70
"376","M_area2",16751,14,54
"377","M_area2",35918,6,114
"378","M_area2",18056,9,35
"379","M_area2",34239,12,66
"380","M_area2",48912,10,33
"381","M_area2",38237,5,156
"382","M_area2",29611,24,65
"383","M_area2",5368,5,1
"384","M_area2",47601,7,16
"385","M_area2",12600,15,73
"386","M_area2",38134,4,116
"387","M_area2",46194,6,57
"388","M_area2",47764,7,5
"389","M_area2",40020,8,28
"390","M_area2",16655,12,35
"391","M_area2",13772,22,68
"392","M_area2",27632,17,64
"393","M_area2",37087,21,143
"394","M_area2",38214,23,77
"395","M_area2",17130,4,130
"396","M_area2",42894,23,71
"397","M_area2",17336,20,11
"398","M_area2",38524,23,89
"399","M_area2",26830,16,22
"400","M_area2",37803,24,83
"401","M_area2",25034,2,134
"402","M_area2",8378,2,28
"403","M_area2",32639,16,59
"404","M_area2",7298,9,71
"405","M_area2",37690,11,100
"406","M_area2",11049,22,66
"407","M_area2",15062,18,48
"408","M_area2",24294,5,7
"409","M_area2",9260,0,89
"410","M_area2",26254,21,88
"411","M_area2",29435,10,92
"412","M_area2",44057,21,39
"413","M_area2",39740,15,61
"414","M_area2",33054,4,15
"415","M_area2",44109,19,69
"416","M_area2",48072,9,11
"417","M_area2",19105,25,95
"418","M_area2",27383,7,82
"419","M_area2",13650,1,7
"420","M_area2",29097,14,49
"421","M_area2",11641,13,40
"422","M_area2",42194,15,76
"423","M_area2",47123,22,21
"424","M_area2",33917,12,37
"425","M_area2",25845,18,91
"426","M_area2",33427,24,37
"427","M_area2",49924,1,48
"428","M_area2",12956,11,150
"429","M_area2",48558,5,7
"430","M_area2",31926,18,31
"431","M_area2",36278,12,75
"432","M_area2",43669,3,11
"433","M_area2",31541,14,11
"434","M_area2",19884,13,84
"435","M_area2",37043,25,50
"436","M_area2",25271,23,66
"437","M_area2",41420,17,65
"438","M_area2",29427,17,60
"439","M_area2",36579,19,118
"440","M_area2",38758,11,41
"441","M_area2",13911,13,6
"442","M_area2",16626,14,123
"443","M_area2",5314,15,5
"444","M_area2",36574,10,18
"445","M_area2",39337,18,107
"446","M_area2",30352,15,38
"447","M_area2",31147,11,111
"448","M_area2",46278,25,64
"449","M_area2",26121,18,91
"450","M_area2",29580,14,5
"451","M_area2",30466,1,113
"452","M_area2",8812,17,48
"453","M_area2",18868,2,125
"454","M_area2",45692,24,17
"455","M_area2",10544,17,90
"456","M_area2",41535,7,37
"457","M_area2",28462,3,22
"458","M_area2",35641,25,10
"459","M_area2",47431,1,8
"460","M_area2",48071,11,110
"461","M_area2",40798,8,97
"462","M_area2",29253,16,85
"463","F_area2",17468,8,131
"464","F_area2",44096,11,55
"465","F_area2",48871,9,130
"466","F_area2",49857,16,5
"467","F_area2",6490,23,120
"468","F_area2",45773,14,55
"469","F_area2",26193,24,85
"470","F_area2",33232,24,15
"471","F_area2",31665,8,125
"472","F_area2",18823,7,19
"473","F_area2",11954,20,66
"474","F_area2",35793,9,52
"475","F_area2",8119,2,51
"476","F_area2",21250,21,141
"477","F_area2",40754,7,112
"478","F_area2",32887,6,55
"479","F_area2",32253,18,115
"480","F_area2",20091,15,64
"481","F_area2",22118,18,70
"482","F_area2",38465,7,116
"483","F_area2",35888,7,39
"484","F_area2",19577,21,42
"485","F_area2",39453,6,100
"486","F_area2",43878,4,43
"487","F_area2",23841,10,5
"488","F_area2",39411,12,154
"489","F_area2",27720,19,75
"490","F_area2",29492,21,76
"491","F_area2",25388,14,98
"492","F_area2",35504,12,1
"493","F_area2",29527,20,94
"494","F_area2",27866,23,77
"495","F_area2",41463,9,34
"496","F_area2",11952,6,58
"497","F_area2",10747,8,114
"498","F_area2",41978,3,165
"499","F_area2",26501,13,105
"500","F_area2",26498,22,107
"501","F_area2",31055,18,32
"502","F_area2",43441,8,121
"503","F_area2",5234,10,67
"504","F_area2",37058,13,55
"505","F_area2",10748,3,107
"506","F_area2",16477,15,27
"507","F_area2",33518,16,92
"508","F_area2",45531,8,84
"509","F_area2",14178,21,22
"510","F_area2",20415,6,84
"511","F_area2",42721,3,50
"512","F_area2",18479,5,62
"513","F_area2",25528,13,30
"514","F_area2",17179,9,36
"515","F_area2",21863,6,49
"516","F_area2",43058,3,42
"517","F_area2",19529,19,118
"518","F_area2",16589,6,20
"519","F_area2",19311,3,10
"520","F_area2",34766,13,86
"521","F_area2",7387,2,64
"522","F_area2",43967,15,2
"523","F_area2",15153,10,115
"524","F_area2",16785,0,34
"525","F_area2",34268,16,31
"526","F_area2",34727,9,44
"527","F_area2",40612,22,41
"528","F_area2",26591,19,89
"529","F_area2",23839,16,22
"530","F_area2",32796,6,140
"531","F_area2",29836,16,121
"532","F_area2",8271,14,103
"533","F_area2",22838,2,47
"534","F_area2",45458,21,144
"535","F_area2",45452,11,1
"536","F_area2",27485,6,137
"537","F_area2",25091,8,55
"538","F_area2",46810,8,41
"539","F_area2",41526,11,48
"540","F_area2",41842,23,70
"541","F_area2",32313,23,57
"542","F_area2",33284,1,3
"543","F_area2",29374,7,41
"544","F_area2",42585,3,155
"545","F_area2",10190,10,53
"546","F_area2",28945,11,92
"547","F_area2",7268,14,65
"548","F_area2",15456,16,8
"549","F_area2",17961,3,100
"550","F_area2",30508,24,84
"551","F_area2",6672,8,54
"552","F_area2",39780,6,33
"553","F_area2",14966,4,28
"554","F_area2",13350,5,84
"555","F_area2",18308,4,102
"556","F_area2",43018,13,60
"557","F_area2",25376,17,104
"558","F_area2",11694,3,9
"559","F_area2",19629,16,23
"560","F_area2",22321,23,2
"561","F_area2",25068,21,37
"562","F_area2",34991,12,26
"563","F_area2",45073,14,4
"564","F_area2",19480,20,31
"565","F_area2",22847,21,151
"566","F_area2",17635,6,64
"567","F_area2",10564,16,33
"568","F_area2",16173,6,125
"569","F_area2",10491,2,35
"570","F_area2",9628,7,45
"571","F_area2",49345,11,56
"572","F_area2",49141,10,102
"573","F_area2",37123,9,107
"574","F_area2",12284,7,112
"575","F_area2",8550,7,18
"576","F_area2",25374,14,139
"577","F_area2",20896,13,38
"578","F_area2",33582,18,105
"579","F_area2",29520,1,34
"580","F_area2",18386,13,19
"581","F_area2",36782,21,37
"582","F_area2",15056,23,50
"583","M_area3",32583,24,74
"584","M_area3",46876,6,37
"585","M_area3",10504,8,49
"586","M_area3",23565,19,58
"587","M_area3",15834,4,10
"588","M_area3",44754,10,37
"589","M_area3",8596,7,1
"590","M_area3",7829,20,1
"591","M_area3",43821,4,1
"592","M_area3",12645,1,88
"593","M_area3",27439,23,97
"594","M_area3",37462,1,83
"595","M_area3",35754,22,20
"596","M_area3",28560,12,115
"597","M_area3",18966,5,67
"598","M_area3",22721,11,49
"599","M_area3",23926,7,50
"600","M_area3",17144,25,93
"601","M_area3",31625,19,45
"602","M_area3",44298,13,3
"603","M_area3",37127,16,51
"604","M_area3",13144,12,39
"605","M_area3",49758,1,15
"606","M_area3",24012,21,73
"607","M_area3",17342,8,20
"608","M_area3",32213,11,78
"609","M_area3",21294,3,103
"610","M_area3",24730,2,50
"611","M_area3",30625,11,75
"612","M_area3",28981,0,64
"613","M_area3",38872,23,92
"614","M_area3",24417,10,31
"615","M_area3",7602,11,10
"616","M_area3",26095,3,24
"617","M_area3",19722,20,59
"618","M_area3",25809,5,112
"619","M_area3",25521,11,14
"620","M_area3",31111,13,69
"621","M_area3",11005,8,94
"622","M_area3",7888,10,28
"623","M_area3",29369,0,55
"624","M_area3",10639,21,121
"625","M_area3",35734,18,72
"626","M_area3",48217,21,62
"627","M_area3",16975,5,106
"628","M_area3",35473,1,23
"629","M_area3",42258,20,114
"630","M_area3",5331,23,24
"631","M_area3",24534,8,0
"632","M_area3",24505,22,69
"633","M_area3",39020,3,10
"634","M_area3",48244,18,127
"635","M_area3",21078,3,101
"636","M_area3",49908,18,94
"637","M_area3",11775,17,30
"638","M_area3",27288,21,98
"639","M_area3",30258,22,23
"640","M_area3",44913,7,48
"641","M_area3",14862,18,75
"642","M_area3",30615,4,20
"643","M_area3",7746,24,173
"644","M_area3",15324,15,9
"645","M_area3",7436,19,82
"646","M_area3",12154,0,29
"647","M_area3",26598,7,83
"648","M_area3",49774,13,30
"649","M_area3",35508,7,12
"650","M_area3",36517,4,91
"651","M_area3",37407,8,79
"652","M_area3",23464,22,90
"653","M_area3",21016,8,18
"654","M_area3",37254,17,7
"655","M_area3",21775,2,8
"656","M_area3",7820,12,21
"657","M_area3",12511,10,11
"658","M_area3",24092,24,50
"659","M_area3",44981,14,60
"660","M_area3",7182,23,37
"661","M_area3",31962,17,59
"662","M_area3",14581,22,14
"663","M_area3",44226,25,36
"664","M_area3",11975,13,62
"665","M_area3",31887,16,77
"666","M_area3",40475,4,5
"667","M_area3",44938,12,92
"668","M_area3",44118,16,35
"669","M_area3",26991,5,64
"670","M_area3",31601,19,18
"671","M_area3",11620,12,16
"672","M_area3",45092,16,5
"673","M_area3",25555,3,65
"674","M_area3",42515,13,16
"675","M_area3",47558,15,81
"676","M_area3",46771,15,29
"677","M_area3",13413,14,8
"678","M_area3",28550,5,47
"679","M_area3",38319,24,58
"680","M_area3",16732,13,10
"681","M_area3",45605,12,79
"682","M_area3",41620,4,62
"683","M_area3",30544,3,158
"684","M_area3",24836,7,83
"685","M_area3",47103,2,9
"686","M_area3",17039,17,40
"687","M_area3",42825,10,49
"688","M_area3",38193,19,76
"689","M_area3",13471,20,51
"690","M_area3",39247,12,62
"691","M_area3",45732,21,56
"692","M_area3",44352,12,39
"693","M_area3",35046,3,44
"694","M_area3",41161,3,1
"695","M_area3",17881,16,83
"696","M_area3",45675,9,24
"697","M_area3",18669,17,18
"698","M_area3",7430,23,79
"699","M_area3",28863,7,97
"700","M_area3",49385,12,64
"701","M_area3",25990,23,12
"702","M_area3",21904,17,32
"703","M_area3",12850,4,90
"704","M_area3",35974,16,53
"705","M_area3",6560,20,115
"706","M_area3",8166,10,55
"707","M_area3",46397,4,21
"708","M_area3",32656,3,69
"709","M_area3",23393,16,43
"710","M_area3",20763,7,10
"711","M_area3",43607,24,68
"712","M_area3",40560,13,51
"713","M_area3",49782,7,62
"714","M_area3",13348,7,158
"715","M_area3",26579,22,37
"716","M_area3",31357,7,66
"717","M_area3",45052,1,27
"718","M_area3",35896,23,48
"719","M_area3",12673,5,22
"720","M_area3",13938,14,79
"721","M_area3",45941,4,91
"722","M_area3",21915,10,68
"723","M_area3",31137,16,67
"724","M_area3",25500,9,74
"725","M_area3",44689,23,37
"726","M_area3",46758,19,31
"727","M_area3",42525,4,37
"728","M_area3",6601,12,14
"729","M_area3",18509,19,95
"730","M_area3",42825,0,100
"731","M_area3",35380,21,86
"732","M_area3",25445,23,68
"733","M_area3",28804,14,145
"734","M_area3",22486,2,95
"735","M_area3",27469,1,40
"736","M_area3",5964,20,99
"737","M_area3",39551,16,90
"738","M_area3",42346,5,22
"739","M_area3",35073,21,103
"740","M_area3",49539,0,23
"741","M_area3",49113,18,14
"742","M_area3",28366,0,87
"743","M_area3",34578,9,71
"744","M_area3",30642,19,31
"745","M_area3",40177,17,43
"746","M_area3",21084,10,48
"747","M_area3",24162,10,65
"748","M_area3",35614,24,14
"749","M_area3",32619,9,70
"750","M_area3",26550,21,31
"751","M_area3",24218,12,56
"752","M_area3",43412,8,42
"753","M_area3",6217,14,14
"754","M_area3",28797,5,122
"755","M_area3",29666,6,107
"756","M_area3",5549,17,68
"757","M_area3",33494,5,8
"758","M_area3",20661,6,83
"759","M_area3",24940,17,46
"760","M_area3",20355,13,74
"761","M_area3",31380,18,59
"762","M_area3",27316,7,32
"763","M_area3",39252,21,1
"764","M_area3",26482,14,49
"765","M_area3",10137,8,121
"766","M_area3",20963,18,74
"767","M_area3",34985,7,7
"768","M_area3",36945,9,11
"769","M_area3",43741,16,76
"770","M_area3",10285,3,9
"771","M_area3",14246,8,10
"772","M_area3",20123,15,25
"773","M_area3",7061,17,77
"774","M_area3",35427,16,59
"775","M_area3",40759,21,95
"776","M_area3",24205,11,7
"777","M_area3",11196,14,70
"778","M_area3",39377,10,126
"779","M_area3",38058,17,5
"780","F_area3",23754,18,62
"781","F_area3",38985,11,76
"782","F_area3",28157,12,27
"783","F_area3",43459,24,18
"784","F_area3",26609,1,23
"785","F_area3",22971,3,34
"786","F_area3",13330,3,61
"787","F_area3",28946,10,53
"788","F_area3",35649,0,106
"789","F_area3",13265,13,51
"790","F_area3",17941,2,85
"791","F_area3",43686,22,132
"792","F_area3",9785,9,34
"793","F_area3",20009,14,46
"794","F_area3",25335,3,83
"795","F_area3",25132,8,18
"796","F_area3",15379,11,41
"797","F_area3",5390,2,33
"798","F_area3",6160,25,42
"799","F_area3",24815,23,48
"800","F_area3",20094,16,27
"801","F_area3",44059,13,61
"802","F_area3",45412,24,104
"803","F_area3",42729,20,1
"804","F_area3",11940,18,46
"805","F_area3",24222,17,0
"806","F_area3",7568,20,15
"807","F_area3",19813,10,23
"808","F_area3",32710,20,92
"809","F_area3",25953,7,101
"810","F_area3",29331,3,91
"811","F_area3",41814,1,70
"812","F_area3",49487,0,6
"813","F_area3",9072,2,17
"814","F_area3",15147,3,29
"815","F_area3",25498,14,79
"816","F_area3",5195,2,70
"817","F_area3",38634,13,53
"818","F_area3",25634,3,129
"819","F_area3",22752,14,15
"820","F_area3",27645,16,73
"821","F_area3",29661,2,21
"822","F_area3",33629,22,45
"823","F_area3",12219,2,86
"824","F_area3",31920,13,109
"825","F_area3",45460,1,54
"826","F_area3",15597,23,110
"827","F_area3",30836,5,51
"828","F_area3",14711,16,21
"829","F_area3",8218,5,89
"830","F_area3",22579,18,108
"831","F_area3",12922,11,69
"832","F_area3",28478,11,42
"833","F_area3",17044,3,23
"834","F_area3",5999,10,16
"835","F_area3",17478,20,59
"836","F_area3",32613,9,67
"837","F_area3",15651,11,95
"838","F_area3",29694,18,22
"839","F_area3",31693,18,74
"840","F_area3",41213,17,125
"841","F_area3",5115,7,85
"842","F_area3",34086,19,96
"843","F_area3",24801,17,71
"844","F_area3",19364,1,71
"845","F_area3",16704,15,33
"846","F_area3",29397,7,64
"847","F_area3",26819,9,42
"848","F_area3",5580,6,30
"849","F_area3",15058,6,16
"850","F_area3",11824,7,67
"851","F_area3",37580,2,21
"852","F_area3",26550,23,66
"853","F_area3",44505,23,133
"854","F_area3",6826,24,82
"855","F_area3",25231,14,149
"856","F_area3",7664,15,81
"857","F_area3",12814,24,103
"858","F_area3",44671,24,18
"859","F_area3",19649,22,112
"860","F_area3",21829,16,26
"861","F_area3",28063,12,105
"862","F_area3",25722,2,5
"863","F_area3",20602,23,25
"864","F_area3",13588,3,96
"865","F_area3",47246,15,93
"866","F_area3",21489,5,96
"867","F_area3",49849,10,23
"868","F_area3",11124,17,15
"869","F_area3",8554,3,65
"870","F_area3",7760,0,87
"871","F_area3",28962,23,34
"872","F_area3",38279,11,55
"873","F_area3",29329,2,63
"874","F_area3",44741,14,134
"875","F_area3",20240,19,20
"876","F_area3",8860,8,73
"877","F_area3",29954,23,83
"878","F_area3",48610,13,57
"879","F_area3",9067,9,8
"880","F_area3",27293,24,149
"881","F_area3",49095,5,16
"882","F_area3",37359,19,95
"883","F_area3",46281,18,61
"884","F_area3",42129,24,85
"885","F_area3",36554,7,61
"886","F_area3",26614,16,51
"887","F_area3",34298,20,84
"888","F_area3",14680,14,37
"889","F_area3",37042,3,74
"890","F_area3",45546,5,21
"891","F_area3",48800,24,17
"892","F_area3",18801,1,13
"893","F_area3",46875,24,57
"894","F_area3",37034,4,5
"895","F_area3",10549,14,68
"896","F_area3",15652,4,131
"897","F_area3",23661,4,97
"898","F_area3",49648,12,9
"899","F_area3",41691,23,10
"900","F_area3",18755,5,35
"901","F_area3",7216,19,70
"902","F_area3",21665,22,46
"903","F_area3",21353,22,101
"904","F_area3",41752,17,16
"905","F_area3",37699,1,77
"906","M_area4",34300,11,33
"907","M_area4",44049,20,146
"908","M_area4",37589,20,86
"909","M_area4",10842,4,41
"910","M_area4",19815,5,60
"911","M_area4",40964,17,26
"912","M_area4",13320,14,103
"913","M_area4",49661,25,14
"914","M_area4",48273,10,97
"915","M_area4",21493,19,78
"916","M_area4",10936,15,11
"917","M_area4",36751,18,40
"918","M_area4",27902,6,122
"919","M_area4",49285,19,24
"920","M_area4",44098,11,16
"921","M_area4",6908,17,42
"922","M_area4",24836,25,74
"923","M_area4",36956,22,25
"924","M_area4",13715,2,64
"925","M_area4",29659,6,10
"926","M_area4",37168,2,99
"927","M_area4",16202,11,150
"928","M_area4",45963,0,61
"929","M_area4",18939,21,56
"930","M_area4",8757,19,10
"931","M_area4",21268,19,69
