"","Symbol","ISIN","Code","Name"
"50","BAP","CH0002175773","CH0002175773CHF4","BAUMGARTNER N"
"51","BARN","CH0009002962","CH0009002962CHF4","BARRY CALLEBAUT N"
"52","BAX","US0718131099","US0718131099CHF4","BAXTER INTL"
"53","BAY","DE0005752000","DE0005752000CHF4","BAYER"
"54","BBN","CH0028422100","CH0028422100CHF4","BELLEVUE GROUP N"
"55","BBVA","CH0004665078","CH0004665078CHF4","BC BILB VIZ A CT-CH"
"56","BC","CH0018116472","CH0018116472CHF4","BK COOP"
"57","BCAN","CH0021273740","CH0021273740CHF4","BK CA St. Gallen AG N"
"58","BCGE","CH0001642682","CH0001642682CHF4","BC GENEVE P"
"59","BCHN","CH0025536027","CH0025536027CHF4","BURCKHARDT N"
"60","BCJ","CH0032991348","CH0032991348CHF4","BC JURA I"
"61","BCVN","CH0015251710","CH0015251710CHF4","BC VAUD N"
"62","BEAN","CH0001503199","CH0001503199CHF4","BELIMO N"
"63","BEKN","CH0009691608","CH0009691608CHF4","BEKB / BCBE N"
"64","BELN","CH0004410418","CH0004410418CHF4","BELL HLD AG N"
"65","BHI","US0572241075","US0572241075CHF4","BAKER HUGHES"
"66","BHP","CH0006403635","CH0006403635CHF4","BHP CT-CH"
"67","BIM","CH0026725611","CH0026725611CHF4","BONHOTE IMMOBILIER"
"68","BIOEE","CH0027659793","CH0027659793CHF4","BB BIOTECH N 2.LINIE"
"69","BION","CH0038389992","CH0038389992CHF4","BB BIOTECH N"
"70","BKWN","CH0021607004","CH0021607004CHF4","BKW FMB ENERGIE N"
"71","BLIN","CH0018206117","CH0018206117CHF4","BFW LIEGENSCHAFTEN N"
"72","BLKB","CH0001473559","CH0001473559CHF4","BASELLAND KB PS"
"73","BMRN","US09061G1013","US09061G1013CHF4","BIOMARIN N"
"74","BMW","DE0005190003","DE0005190003CHF4","BMW"
"75","BNP","FR0000131104","FR0000131104CHF4","BNP PARIBAS"
"76","BOBNN","CH0012684657","CH0012684657CHF4","BOBST GRP N"
"77","BON","CH0006227414","CH0006227414CHF4","BONDPARTNERS I"
"78","BOS","CH0012323868","CH0012323868CHF4","BOSSARD I"
"79","BPAM","GB0007980591","GB0007980591CHF4","BP"
"80","BRIC","IE00B1W57M07","IE00B1W57M07USD4","ISHARES FTSE BRIC 50"
"81","BRKN","CH0020327802","CH0020327802CHF4","BURKHALTER N"
"82","BSAN","CH0038389307","CH0038389307CHF4","SARASIN N-B-"
"83","BSKP","CH0009236461","CH0009236461CHF4","BASLER KB PS"
"84","BSLN","CH0011432447","CH0011432447CHF4","BASILEA N"
"85","BTTL","CH0016233691","CH0016233691CHF4","BT&amp;T TIMELIFE"
"86","BUCN","CH0002432174","CH0002432174CHF4","BUCHER N"
"87","BUD","US0352291035","US0352291035CHF4","ANHEUSER"
"88","BVM","DE0008022005","DE0008022005CHF4","BAY HYP&amp;VERBK I"
"89","BVZN","CH0008207356","CH0008207356CHF4","BVZ HOL N"
"90","BXLN","IT0004069933","IT0004069933CHF4","BIOXELL"
"91","C","US1729671016","US1729671016CHF4","CITIGROUP INC"
"92","C0001P","CH0022635129","CH0022635129","SWX ID OIL&GAS PR"
"93","C0001T","CH0022635152","CH0022635152","SWX ID OIL&GAS TR"
"94","C0500P","CH0022652884","CH0022652884","SWX SP OIL&GAS2 PR"
"95","C0500T","CH0022652926","CH0022652926","SWX SP OIL&GAS2 TR"
"96","C0530P","CH0022628215","CH0022628215","SWX SR OIL&GPROD PR"
"97","C0530T","CH0022627985","CH0022627985","SWX SR OIL&GPROD TR"
"98","C0533P","CH0022645375","CH0022645375","SWX SB EXPL&PROD PR"
"99","C0533T","CH0022645342","CH0022645342","SWX SB EXPL&PROD TR"
"100","C0537P","CH0022645508","CH0022645508","SWX SB INTOIL&GS PR"
"101","C0537T","CH0022645433","CH0022645433","SWX SB INTOIL&GS TR"
"102","C0570P","CH0022628454","CH0022628454","SWX SR OILES&DIS PR"
"103","C0570T","CH0022628363","CH0022628363","SWX SR OILES&DIS TR"
"104","C0573P","CH0022645557","CH0022645557","SWX SB OILEP&SRV PR"
"105","C0573T","CH0022645516","CH0022645516","SWX SB OILEP&SRV TR"
"106","C0577P","CH0022645631","CH0022645631","SWX SB PIPELINES PR"
"107","C0577T","CH0022645599","CH0022645599","SWX SB PIPELINES TR"
"108","C1000P","CH0022635186","CH0022635186","SWX ID BASICMAT PR"
"109","C1000T","CH0022635194","CH0022635194","SWX ID BASICMAT TR"
"110","C1300P","CH0022652991","CH0022652991","SWX SP CHEMICALS PR"
"111","C1300T","CH0022653098","CH0022653098","SWX SP CHEMICALS TR"
"112","C1350P","CH0022628637","CH0022628637","SWX SR CHEMICAL3 PR"
"113","C1350T","CH0022628538","CH0022628538","SWX SR CHEMICAL3 TR"
"114","C1353P","CH0022645680","CH0022645680","SWX SB COMCHEM PR"
"115","C1353T","CH0022645656","CH0022645656","SWX SB COMCHEM TR"
"116","C1357P","CH0022645789","CH0022645789","SWX SB SPECCHEM PR"
"117","C1357T","CH0022645722","CH0022645722","SWX SB SPECCHEM TR"
"118","C1700P","CH0022653130","CH0022653130","SWX SP BASICRES PR"
"119","C1700T","CH0022653338","CH0022653338","SWX SP BASICRES TR"
"120","C1730P","CH0022629288","CH0022629288","SWX SR FOR&PAPER PR"
"121","C1730T","CH0022629163","CH0022629163","SWX SR FOR&PAPER TR"
"122","C1733P","CH0022616046","CH0022616046","SWX SB FORESTRY PR"
"123","C1733T","CH0022645839","CH0022645839","SWX SB FORESTRY TR"
"124","C1737P","CH0022616137","CH0022616137","SWX SB PAPER PR"
"125","C1737T","CH0022616103","CH0022616103","SWX SB PAPER TR"
"126","C1750P","CH0022629536","CH0022629536","SWX SR INDMETALS PR"
"127","C1750T","CH0022629320","CH0022629320","SWX SR INDMETALS TR"
"128","C1753P","CH0022616236","CH0022616236","SWX SB ALUMINIUM PR"
"129","C1753T","CH0022616178","CH0022616178","SWX SB ALUMINIUM TR"
"130","C1755P","CH0022616343","CH0022616343","SWX SB NFERRMET PR"
"131","C1755T","CH0022616293","CH0022616293","SWX SB NFERRMET TR"
"132","C1757P","CH0022616426","CH0022616426","SWX SB STEEL PR"
"133","C1757T","CH0022616384","CH0022616384","SWX SB STEEL TR"
"134","C1770P","CH0022629627","CH0022629627","SWX SR MINING PR"
"135","C1770T","CH0022629585","CH0022629585","SWX SR MINING TR"
"136","C1771P","CH0022616483","CH0022616483","SWX SB COAL PR"
"137","C1771T","CH0022616467","CH0022616467","SWX SB COAL TR"
"138","C1773P","CH0022616533","CH0022616533","SWX SB DMDS&GEMS PR"
"139","C1773T","CH0022616517","CH0022616517","SWX SB DMDS&GEMS TR"
"140","C1775P","CH0022616582","CH0022616582","SWX SB GENMINING PR"
"141","C1775T","CH0022616566","CH0022616566","SWX SB GENMINING TR"
"142","C1777P","CH0022616640","CH0022616640","SWX SB GOLDMING PR"
"143","C1777T","CH0022616590","CH0022616590","SWX SB GOLDMING TR"
"144","C1779P","CH0022616673","CH0022616673","SWX SB PLAT&PRMT PR"
"145","C1779T","CH0022616665","CH0022616665","SWX SB PLAT&PRMT TR"
"146","C2000P","CH0022635202","CH0022635202","SWX ID INDUSTRY PR"
"147","C2000T","CH0022635210","CH0022635210","SWX ID INDUSTRY TR"
"148","C2300P","CH0022653437","CH0022653437","SWX SP CONST&MAT PR"
"149","C2300T","CH0022653494","CH0022653494","SWX SP CONST&MAT TR"
"150","C2350P","CH0022629759","CH0022629759","SWX SR CONST&MA3 PR"
"151","C2350T","CH0022629684","CH0022629684","SWX SR CONST&MA3 TR"
"152","C2353P","CH0022616715","CH0022616715","SWX SB BLDMAT&FX PR"
"153","C2353T","CH0022616707","CH0022616707","SWX SB BLDMAT&FX TR"
"154","C2357P","CH0022616764","CH0022616764","SWX SB HEAVYCONS PR"
"155","C2357T","CH0022616749","CH0022616749","SWX SB HEAVYCONS TR"
"156","C2700P","CH0022653544","CH0022653544","SWX SP IND GD&SV PR"
"157","C2700T","CH0022653585","CH0022653585","SWX SP IND GD&SV TR"
"158","C2710P","CH0022630070","CH0022630070","SWX SR AERO&DEF PR"
"159","C2710T","CH0022629783","CH0022629783","SWX SR AERO&DEF TR"
"160","C2713P","CH0022625526","CH0022625526","SWX SB AEROSPACE PR"
"161","C2713T","CH0022625435","CH0022625435","SWX SB AEROSPACE TR"
"162","C2717P","CH0022625633","CH0022625633","SWX SB DEFENSE PR"
"163","C2717T","CH0022625567","CH0022625567","SWX SB DEFENSE TR"
"164","C2720P","CH0022630179","CH0022630179","SWX SR GENINDUST PR"
"165","C2720T","CH0022630146","CH0022630146","SWX SR GENINDUST TR"
"166","C2723P","CH0022625757","CH0022625757","SWX SB CONT&PACK PR"
"167","C2723T","CH0022625716","CH0022625716","SWX SB CONT&PACK TR"
"168","C2727P","CH0022626177","CH0022626177","SWX SB DIVINDUST PR"
"169","C2727T","CH0022625807","CH0022625807","SWX SB DIVINDUST TR"
"170","C2730P","CH0022630542","CH0022630542","SWX SR ELC&EEQPT PR"
"171","C2730T","CH0022630468","CH0022630468","SWX SR ELC&EEQPT TR"
"172","C2733P","CH0022626318","CH0022626318","SWX SB ETCMP&EQP PR"
"173","C2733T","CH0022626250","CH0022626250","SWX SB ETCMP&EQP TR"
"174","C2737P","CH0022626540","CH0022626540","SWX SB ELCEQUIPT PR"
"175","C2737T","CH0022626466","CH0022626466","SWX SB ELCEQUIPT TR"
"176","C2750P","CH0022630757","CH0022630757","SWX SR INDENGING PR"
"177","C2750T","CH0022630674","CH0022630674","SWX SR INDENGING TR"
"178","C2753P","CH0022626649","CH0022626649","SWX SB CVEH&TRUC PR"
"179","C2753T","CH0022626607","CH0022626607","SWX SB CVEH&TRUC TR"
"180","C2757P","CH0022626870","CH0022626870","SWX SB INDMACHIN PR"
"181","C2757T","CH0022626821","CH0022626821","SWX SB INDMACHIN TR"
"182","C2770P","CH0022643305","CH0022643305","SWX SR INDTRANS PR"
"183","C2770T","CH0022643164","CH0022643164","SWX SR INDTRANS TR"
"184","C2771P","CH0022626938","CH0022626938","SWX SB DELSERV PR"
"185","C2771T","CH0022626904","CH0022626904","SWX SB DELSERV TR"
"186","C2773P","CH0022626995","CH0022626995","SWX SB MARINETRP PR"
"187","C2773T","CH0022626961","CH0022626961","SWX SB MARINETRP TR"
"188","C2775P","CH0022627084","CH0022627084","SWX SB RAILROADS PR"
"189","C2775T","CH0022627019","CH0022627019","SWX SB RAILROADS TR"
"190","C2777P","CH0022627183","CH0022627183","SWX SB TRANSSERV PR"
"191","C2777T","CH0022627118","CH0022627118","SWX SB TRANSSERV TR"
"192","C2779P","CH0022632548","CH0022632548","SWX SB TRUCKING PR"
"193","C2779T","CH0022627241","CH0022627241","SWX SB TRUCKING TR"
"194","C2790P","CH0022643743","CH0022643743","SWX SR SUPSERV PR"
"195","C2790T","CH0022643545","CH0022643545","SWX SR SUPSERV TR"
"196","C2791P","CH0022632613","CH0022632613","SWX SB BUSSPSERV PR"
"197","C2791T","CH0022632597","CH0022632597","SWX SB BUSSPSERV TR"
"198","C2793P","CH0022632670","CH0022632670","SWX SB BUSTR&EMA PR"
"199","C2793T","CH0022632639","CH0022632639","SWX SB BUSTR&EMA TR"
"200","C2795P","CH0022632738","CH0022632738","SWX SB FINADMIN PR"
"201","C2795T","CH0022632704","CH0022632704","SWX SB FINADMIN TR"
"202","C2797P","CH0022632761","CH0022632761","SWX SB INDSUPPLR PR"
"203","C2797T","CH0022632753","CH0022632753","SWX SB INDSUPPLR TR"
"204","C2799P","CH0022632829","CH0022632829","SWX SB WS&DSPSRV PR"
"205","C2799T","CH0022632803","CH0022632803","SWX SB WS&DSPSRV TR"
"206","C3000P","CH0022635277","CH0022635277","SWX ID CONGOODS PR"
"207","C3000T","CH0022635301","CH0022635301","SWX ID CONGOODS TR"
"208","C3300P","CH0022653619","CH0022653619","SWX SP AUTO&PART PR"
"209","C3300T","CH0022653643","CH0022653643","SWX SP AUTO&PART TR"
"210","C3350P","CH0022643883","CH0022643883","SWX SR AUTO&PAR3 PR"
"211","C3350T","CH0022643867","CH0022643867","SWX SR AUTO&PAR3 TR"
"212","C3353P","CH0022632852","CH0022632852","SWX SB AUTO PR"
"213","C3353T","CH0022632837","CH0022632837","SWX SB AUTO TR"
"214","C3355P","CH0022632894","CH0022632894","SWX SB AUTOPARTS PR"
"215","C3355T","CH0022632878","CH0022632878","SWX SB AUTOPARTS TR"
"216","C3357P","CH0022632977","CH0022632977","SWX SB TIRES PR"
"217","C3357T","CH0022632936","CH0022632936","SWX SB TIRES TR"
"218","C3500P","CH0022653718","CH0022653718","SWX SP FOOD&BEV PR"
"219","C3500T","CH0022653742","CH0022653742","SWX SP FOOD&BEV TR"
"220","C3530P","CH0022643982","CH0022643982","SWX SR BEVERAGES PR"
"221","C3530T","CH0022643925","CH0022643925","SWX SR BEVERAGES TR"
"222","C3533P","CH0022633033","CH0022633033","SWX SB BREWERS PR"
"223","C3533T","CH0022633009","CH0022633009","SWX SB BREWERS TR"
"224","C3535P","CH0022633124","CH0022633124","SWX SB DIST&VINT PR"
"225","C3535T","CH0022633082","CH0022633082","SWX SB DIST&VINT TR"
"226","C3537P","CH0022633231","CH0022633231","SWX SB SOFTDRINK PR"
"227","C3537T","CH0022633181","CH0022633181","SWX SB SOFTDRINK TR"
"228","C3570P","CH0022644089","CH0022644089","SWX SR FOODPROD PR"
"229","C3570T","CH0022644022","CH0022644022","SWX SR FOODPROD TR"
"230","C3573P","CH0022633330","CH0022633330","SWX SB FARM&FISH PR"
"231","C3573T","CH0022633298","CH0022633298","SWX SB FARM&FISH TR"
"232","C3577P","CH0022633447","CH0022633447","SWX SB FOODPRDCT PR"
"233","C3577T","CH0022633405","CH0022633405","SWX SB FOODPRDCT TR"
"234","C3700P","CH0022653841","CH0022653841","SWX SP PERS&GOOD PR"
"235","C3700T","CH0022653882","CH0022653882","SWX SP PERS&GOOD TR"
"236","C3720P","CH0022644162","CH0022644162","SWX SR HSHOLDGDS PR"
"237","C3720T","CH0022644121","CH0022644121","SWX SR HSHOLDGDS TR"
"238","C3722P","CH0022633538","CH0022633538","SWX SB DURHHPROD PR"
"239","C3722T","CH0022633470","CH0022633470","SWX SB DURHHPROD TR"
"240","C3724P","CH0022633942","CH0022633942","SWX SB NDUHHPROD PR"
"241","C3724T","CH0022633918","CH0022633918","SWX SB NDUHHPROD TR"
"242","C3726P","CH0022634031","CH0022634031","SWX SB FURNISH PR"
"243","C3726T","CH0022634007","CH0022634007","SWX SB FURNISH TR"
"244","C3728P","CH0022634106","CH0022634106","SWX SB HOMECONST PR"
"245","C3728T","CH0022634080","CH0022634080","SWX SB HOMECONST TR"
"246","C3740P","CH0022644220","CH0022644220","SWX SR LSRGOODS PR"
"247","C3740T","CH0022644204","CH0022644204","SWX SR LSRGOODS TR"
"248","C3743P","CH0022634163","CH0022634163","SWX SB CONSELECT PR"
"249","C3743T","CH0022634130","CH0022634130","SWX SB CONSELECT TR"
"250","C3745P","CH0022634205","CH0022634205","SWX SB RECREPROD PR"
"251","C3745T","CH0022634189","CH0022634189","SWX SB RECREPROD TR"
"252","C3747P","CH0022634262","CH0022634262","SWX SB TOYS PR"
"253","C3747T","CH0022634239","CH0022634239","SWX SB TOYS TR"
"254","C3760P","CH0022644303","CH0022644303","SWX SR PERSGOODS PR"
"255","C3760T","CH0022644261","CH0022644261","SWX SR PERSGOODS TR"
"256","C3763P","CH0022634320","CH0022634320","SWX SB CLOTH&ACC PR"
"257","C3763T","CH0022634296","CH0022634296","SWX SB CLOTH&ACC TR"
"258","C3765P","CH0022634429","CH0022634429","SWX SB FOOTWEAR PR"
"259","C3765T","CH0022634361","CH0022634361","SWX SB FOOTWEAR TR"
"260","C3767P","CH0022634510","CH0022634510","SWX SB PERSPROD PR"
"261","C3767T","CH0022634478","CH0022634478","SWX SB PERSPROD TR"
"262","C3780P","CH0022644378","CH0022644378","SWX SR TOBACCO PR"
"263","C3780T","CH0022644337","CH0022644337","SWX SR TOBACCO TR"
"264","C3785P","CH0022617929","CH0022617929","SWX SB TOBACCO4 PR"
"265","C3785T","CH0022634544","CH0022634544","SWX SB TOBACCO4 TR"
"266","C4000P","CH0022646969","CH0022646969","SWX ID HLTHCARE PR"
"267","C4000T","CH0022647017","CH0022647017","SWX ID HLTHCARE TR"
"268","C4500P","CH0022653916","CH0022653916","SWX SP HLTHCARE2 PR"
"269","C4500T","CH0022654005","CH0022654005","SWX SP HLTHCARE2 TR"
"270","C4530P","CH0022644592","CH0022644592","SWX SR HCEP&SERV PR"
"271","C4530T","CH0022644550","CH0022644550","SWX SR HCEP&SERV TR"
"272","C4533P","CH0022618307","CH0022618307","SWX SB HCAREPROV PR"
"273","C4533T","CH0022618182","CH0022618182","SWX SB HCAREPROV TR"
"274","C4535P","CH0022618463","CH0022618463","SWX SB MEDEQP PR"
"275","C4535T","CH0022618380","CH0022618380","SWX SB MEDEQP TR"
"276","C4537P","CH0022618828","CH0022618828","SWX SB MEDSUPPL PR"
"277","C4537T","CH0022618711","CH0022618711","SWX SB MEDSUPPL TR"
"278","C4570P","CH0022644642","CH0022644642","SWX SR PHARM&BIO PR"
"279","C4570T","CH0022644634","CH0022644634","SWX SR PHARM&BIO TR"
"280","C4573P","CH0022619180","CH0022619180","SWX SB BIOTECH PR"
"281","C4573T","CH0022618943","CH0022618943","SWX SB BIOTECH TR"
"282","C4577P","CH0022619214","CH0022619214","SWX SB PHARMACTL PR"
"283","C4577T","CH0022619206","CH0022619206","SWX SB PHARMACTL TR"
"284","C5000P","CH0022647132","CH0022647132","SWX ID CONSERV PR"
"285","C5000T","CH0022647256","CH0022647256","SWX ID CONSERV TR"
"286","C5300P","CH0022654070","CH0022654070","SWX SP RETAIL PR"
"287","C5300T","CH0022654112","CH0022654112","SWX SP RETAIL TR"
"288","C5330P","CH0022644683","CH0022644683","SWX SR FD&DGRET PR"
"289","C5330T","CH0022644667","CH0022644667","SWX SR FD&DGRET TR"
"290","C5333P","CH0022635111","CH0022635111","SWX SB DRUGRET PR"
"291","C5333T","CH0022619230","CH0022619230","SWX SB DRUGRET TR"
"292","C5337P","CH0022635327","CH0022635327","SWX SB FDRET&WLS PR"
"293","C5337T","CH0022635160","CH0022635160","SWX SB FDRET&WLS TR"
"294","C5370P","CH0022644774","CH0022644774","SWX SR GENRLRET PR"
"295","C5370T","CH0022644766","CH0022644766","SWX SR GENRLRET TR"
"296","C5371P","CH0022648262","CH0022648262","SWX SB APPARELRT PR"
"297","C5371T","CH0022648254","CH0022648254","SWX SB APPARELRT TR"
"298","C5373P","CH0022650102","CH0022650102","SWX SB BROADLRET PR"
"299","C5373T","CH0022648288","CH0022648288","SWX SB BROADLRET TR"
"300","C5375P","CH0022650151","CH0022650151","SWX SB HOMEIMPRT PR"
"301","C5375T","CH0022650136","CH0022650136","SWX SB HOMEIMPRT TR"
"302","C5377P","CH0022650185","CH0022650185","SWX SB SPCONSSRV PR"
"303","C5377T","CH0022650177","CH0022650177","SWX SB SPCONSSRV TR"
"304","C5379P","CH0022650219","CH0022650219","SWX SB SPRETAIL PR"
"305","C5379T","CH0022650193","CH0022650193","SWX SB SPRETAIL TR"
"306","C5500P","CH0022654203","CH0022654203","SWX SP MEDIA PR"
"307","C5500T","CH0022654252","CH0022654252","SWX SP MEDIA TR"
"308","C5550P","CH0022644824","CH0022644824","SWX SR MEDIA3 PR"
"309","C5550T","CH0022644782","CH0022644782","SWX SR MEDIA3 TR"
"310","C5553P","CH0022650656","CH0022650656","SWX SB BROADETMT PR"
"311","C5553T","CH0022650607","CH0022650607","SWX SB BROADETMT TR"
"312","C5555P","CH0022650714","CH0022650714","SWX SB MEDIAAG PR"
"313","C5555T","CH0022650680","CH0022650680","SWX SB MEDIAAG TR"
"314","C5557P","CH0022650821","CH0022650821","SWX SB PUBLISHIN PR"
"315","C5557T","CH0022650771","CH0022650771","SWX SB PUBLISHIN TR"
"316","C5700P","CH0022654336","CH0022654336","SWX SP TRA&LEIS PR"
"317","C5700T","CH0022654401","CH0022654401","SWX SP TRA&LEIS TR"
"318","C5750P","CH0022644857","CH0022644857","SWX SR TRA&LEIS3 PR"
"319","C5750T","CH0022644832","CH0022644832","SWX SR TRA&LEIS3 TR"
"320","C5751P","CH0022650896","CH0022650896","SWX SB AIRLINES PR"
"321","C5751T","CH0022650847","CH0022650847","SWX SB AIRLINES TR"
"322","C5752P","CH0022651126","CH0022651126","SWX SB GAMBLING PR"
"323","C5752T","CH0022651100","CH0022651100","SWX SB GAMBLING TR"
"324","C5753P","CH0022651258","CH0022651258","SWX SB HOTELS PR"
"325","C5753T","CH0022651159","CH0022651159","SWX SB HOTELS TR"
"326","C5755P","CH0022651423","CH0022651423","SWX SB RECSERV PR"
"327","C5755T","CH0022651332","CH0022651332","SWX SB RECSERV TR"
"328","C5757P","CH0022651530","CH0022651530","SWX SB REST&BARS PR"
"329","C5757T","CH0022651506","CH0022651506","SWX SB REST&BARS TR"
"330","C5759P","CH0022651654","CH0022651654","SWX SB TRAV&TOUR PR"
"331","C5759T","CH0022651571","CH0022651571","SWX SB TRAV&TOUR TR"
"332","C6000P","CH0022647389","CH0022647389","SWX ID TELECOM PR"
"333","C6000T","CH0022647405","CH0022647405","SWX ID TELECOM TR"
"334","C6500P","CH0022654468","CH0022654468","SWX SP TELECOM2 PR"
"335","C6500T","CH0022654500","CH0022654500","SWX SP TELECOM2 TR"
"336","C6530P","CH0022644873","CH0022644873","SWX SR FIXEDLTEL PR"
"337","C6530T","CH0022644865","CH0022644865","SWX SR FIXEDLTEL TR"
"338","C6535P","CH0022651761","CH0022651761","SWX SB FIXEDLTE4 PR"
"339","C6535T","CH0022651712","CH0022651712","SWX SB FIXEDLTE4 TR"
"340","C6570P","CH0022644899","CH0022644899","SWX SR MOBILETEL PR"
"341","C6570T","CH0022644881","CH0022644881","SWX SR MOBILETEL TR"
"342","C6575P","CH0022651845","CH0022651845","SWX SB MOBILETE4 PR"
"343","C6575T","CH0022651803","CH0022651803","SWX SB MOBILETE4 TR"
"344","C7000P","CH0022647793","CH0022647793","SWX ID UTILITIES PR"
"345","C7000T","CH0022647835","CH0022647835","SWX ID UTILITIES TR"
"346","C7500P","CH0022628124","CH0022628124","SWX SP UTILITIE2 PR"
"347","C7500T","CH0022626888","CH0022626888","SWX SP UTILITIE2 TR"
"348","C7530P","CH0022644915","CH0022644915","SWX SR ELECTRCTY PR"
"349","C7530T","CH0022644907","CH0022644907","SWX SR ELECTRCTY TR"
"350","C7535P","CH0022617168","CH0022617168","SWX SB ELECTRCT4 PR"
"351","C7535T","CH0022651894","CH0022651894","SWX SB ELECTRCT4 TR"
"352","C7570P","CH0022644956","CH0022644956","SWX SR GASWAT&MU PR"
"353","C7570T","CH0022644931","CH0022644931","SWX SR GASWAT&MU TR"
"354","C7573P","CH0022617408","CH0022617408","SWX SB GASDISTRB PR"
"355","C7573T","CH0022617325","CH0022617325","SWX SB GASDISTRB TR"
"356","C7575P","CH0022617481","CH0022617481","SWX SB MULTIUTIL PR"
"357","C7575T","CH0022617440","CH0022617440","SWX SB MULTIUTIL TR"
"358","C7577P","CH0022617572","CH0022617572","SWX SB WATER PR"
"359","C7577T","CH0022617507","CH0022617507","SWX SB WATER TR"
"360","C8000P","CH0022647850","CH0022647850","SWX ID FINANCE PR"
"361","C8000T","CH0022647934","CH0022647934","SWX ID FINANCE TR"
"362","C8300P","CH0022626714","CH0022626714","SWX SP BANKS PR"
"363","C8300T","CH0022627290","CH0022627290","SWX SP BANKS TR"
"364","C8350P","CH0022645011","CH0022645011","SWX SR BANKS3 PR"
"365","C8350T","CH0022644972","CH0022644972","SWX SR BANKS3 TR"
"366","C8355P","CH0022617655","CH0022617655","SWX SB BANKS4 PR"
"367","C8355T","CH0022617606","CH0022617606","SWX SB BANKS4 TR"
"368","C8500P","CH0022627449","CH0022627449","SWX SP INSURANCE PR"
"369","C8500T","CH0022627704","CH0022627704","SWX SP INSURANCE TR"
"370","C8530P","CH0022645060","CH0022645060","SWX SR NLIFEINS PR"
"371","C8530T","CH0022645045","CH0022645045","SWX SR NLIFEINS TR"
"372","C8532P","CH0022617838","CH0022617838","SWX SB FLINEINS PR"
