"","Symbol","Name","MarketCap","Exchange"
"178","CGL-A","Cagle's, Inc.","$23.3","AMEX"
"179","CGR","Claude Resources, Inc.","$94.1","AMEX"
"180","CGS","Chyron Corporation","$85.8","AMEX"
"181","CGW","Claymore Exchange-Traded Fund Trust 2","$329.2","AMEX"
"182","CH","Chile Fund, Inc. (The)","$161.8","AMEX"
"183","CHM","China Healthcare Acquisition Corp","$67.3","AMEX"
"184","CHM-U","China Healthcare Acquisition Corp","$0.0","AMEX"
"185","CHM-WT","China Healthcare Acquisition Corp","$0.0","AMEX"
"186","CHQ","Challenger Energy Corp","$229.8","AMEX"
"187","CHV","Churchill Ventures Ltd.","$130.4","AMEX"
"188","CHV-U","Churchill Ventures Ltd.","$0.0","AMEX"
"189","CHV-WT","Churchill Ventures Ltd.","$0.0","AMEX"
"190","CIK","Credit Suisse Asset Management Income Fund, Inc.","$158.2","AMEX"
"191","CIO","Asia Special Situation Acquisition Corp","$128.7","AMEX"
"192","CIO-U","Asia Special Situation Acquisition Corp","$0.0","AMEX"
"193","CIO-WT","Asia Special Situation Acquisition Corp","$0.0","AMEX"
"194","CKK","Citigroup Inc.",NA,"AMEX"
"195","CKX","CKX Lands, Inc.","$24.9","AMEX"
"196","CLA","Capitol Acquisition Corp","$306.1","AMEX"
"197","CLA-U","Capitol Acquisition Corp","$0.0","AMEX"
"198","CLA-WT","Capitol Acquisition Corp","$0.0","AMEX"
"199","CLM","Cornerstone Strategic Value Fund, Inc.","$142.3","AMEX"
"200","CMF","iShares Trust","$20.7","AMEX"
"201","CMT","Core Molding Technologies Inc","$48.3","AMEX"
"202","CNR","CanArgo Energy Corporation","$58.4","AMEX"
"203","CNU","Continucare Corp.","$147.0","AMEX"
"204","COR","Cortex Pharmaceuticals, Inc.","$42.8","AMEX"
"205","CPD","Caraco Pharmaceutical Laboratories, Ltd.","$466.3","AMEX"
"206","CPI","Capital Properties, Inc.","$72.6","AMEX"
"207","CQP","Cheniere Energy Partners, LP","$225.6","AMEX"
"208","CRC","Chromcraft Revington, Inc.","$21.6","AMEX"
"209","CRF","Cornerstone Strategic Return Fund, Inc. (The)","$68.1","AMEX"
"210","CRJ","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"211","CRO","Claymore Exchange-Traded Fund Trust 2","$4.3","AMEX"
"212","CRV","Coast Distribution System, Inc. (The)","$12.2","AMEX"
"213","CSD","Claymore Exchange-Traded Fund Trust","$24.7","AMEX"
"214","CSY","China Sky One Medical, Inc.","$149.1","AMEX"
"215","CTE","Cardiotech International, Inc.","$12.6","AMEX"
"216","CTO","Consolidated-Tomoka Land Co.","$223.5","AMEX"
"217","CTT","Competitive Technologies, Inc.","$16.4","AMEX"
"218","CTU","Chad Therapeutics, Inc.","$1.6","AMEX"
"219","CUB","Cubic Corporation","$627.5","AMEX"
"220","CUO","Continental Materials Corporation","$35.3","AMEX"
"221","CUR","Neuralstem, Inc.","$42.0","AMEX"
"222","CUT","Claymore Exchange-Traded Fund Trust 2","$7.3","AMEX"
"223","CVF","Castle Convertible Fund, Inc.","$50.2","AMEX"
"224","CVM","Cel-Sci Corporation","$72.9","AMEX"
"225","CVN","Conversion Services International, Inc.","$9.2","AMEX"
"226","CVP","Centerplate Inc.","$51.4","AMEX"
"227","CVR","Chicago Rivet & Machine Co.","$19.4","AMEX"
"228","CVU","CPI Aerostructures, Inc.","$44.3","AMEX"
"229","CVY","Claymore Exchange-Traded Fund Trust","$71.5","AMEX"
"230","CWI","streetTRACKS Index Shares Funds","$220.5","AMEX"
"231","CXA","SPDR Series Trust","$17.5","AMEX"
"232","CXM","Cardium Therapeutics, Inc.","$96.8","AMEX"
"233","CXZ","Crosshair Exploration & Mining Corp","$44.2","AMEX"
"234","CZA","Claymore Exchange-Traded Fund Trust","$4.6","AMEX"
"235","DAX","NETS Trust",NA,"AMEX"
"236","DBA","PowerShares DB Multi-Sector Commodity Trust","$516.9","AMEX"
"237","DBB","PowerShares DB Multi-Sector Commodity Trust","$66.6","AMEX"
"238","DBC","PowerShares DB Commodity Index Tracking Fund","$2,875.2","AMEX"
"239","DBE","PowerShares DB Multi-Sector Commodity Trust","$44.5","AMEX"
"240","DBO","PowerShares DB Multi-Sector Commodity Trust","$98.9","AMEX"
"241","DBP","PowerShares DB Multi-Sector Commodity Trust","$21.5","AMEX"
"242","DBS","PowerShares DB Multi-Sector Commodity Trust","$27.8","AMEX"
"243","DBV","PowerShares DB G10 Currency Harvest Fund","$475.6","AMEX"
"244","DBX","Morgan Stanley Dean Witter & Co.","$28.9","AMEX"
"245","DBY","MORGAN STANLEY","$107.8","AMEX"
"246","DBZ","MORGAN STANLEY","$30.3","AMEX"
"247","DCU","DRYCLEAN USA, Inc.","$6.3","AMEX"
"248","DCV","Morgan Stanley","$0.0","AMEX"
"249","DDD","SCOLR Inc","$39.1","AMEX"
"250","DDG","ProShares Trust",NA,"AMEX"
"251","DDM","ProShares Trust","$126.6","AMEX"
"252","DEF","Claymore Exchange-Traded Fund Trust","$22.3","AMEX"
"253","DEJ","Dejour Enterprises Ltd","$123.1","AMEX"
"254","DEK","Dekania Corp","$121.4","AMEX"
"255","DEK-U","Dekania Corp","$0.0","AMEX"
"256","DEK-WT","Dekania Corp","$0.0","AMEX"
"257","DEV","Merrill Lynch & Co., Inc.",NA,"AMEX"
"258","DFB","Morgan Stanley Dean Witter & Co.","$26.8","AMEX"
"259","DGC","DGSE Companies, Inc.","$26.6","AMEX"
"260","DGD","Morgan Stanley","$199.9","AMEX"
"261","DGK","Merrill Lynch & Co., Inc.","$76.4","AMEX"
"262","DGL","PowerShares DB Multi-Sector Commodity Trust","$43.0","AMEX"
"263","DGT","streetTRACKS Dow Jones Global Titans Index Fund","$154.5","AMEX"
"264","DHY","Credit Suisse High Yield Bond Fund","$172.8","AMEX"
"265","DIA","DIAMONDS Trust Series I","$7,449.1","AMEX"
"266","DIG","ProShares Trust","$31.4","AMEX"
"267","DII","Decorator Industries, Inc.","$7.3","AMEX"
"268","DIT","AMCON Distributing Company","$15.8","AMEX"
"269","DJL","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"270","DJQ","Citigroup Inc.","$345.2","AMEX"
"271","DLA","Delta Apparel, Inc.","$40.7","AMEX"
"272","DMC","Document Security Systems, Inc.","$68.7","AMEX"
"273","DMF","Dreyfus Municipal Income, Inc.","$173.3","AMEX"
"274","DMJ","Morgan Stanley Dean Witter & Co.","$279.7","AMEX"
"275","DMU","Morgan Stanley","$0.0","AMEX"
"276","DMY","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"277","DNE","Dune Energy, Inc.","$74.8","AMEX"
"278","DNN","Intl Uranium Corp","$1,495.1","AMEX"
"279","DOG","ProShares Trust","$818.2","AMEX"
"280","DOY","MACROshares $100 Oil Down Trust",NA,"AMEX"
"281","DPP","MORGAN STANLEY","$15.1","AMEX"
"282","DPW","Digital Power Corporation","$5.6","AMEX"
"283","DRJ","Dreams, Inc.","$44.8","AMEX"
"284","DRU","Morgan Stanley Dean Witter & Co.","$30.3","AMEX"
"285","DRV","Debt Resolve Inc","$7.6","AMEX"
"286","DRW","WisdomTree Trust","$93.9","AMEX"
"287","DSC","SPDR Series Trust","$8.0","AMEX"
"288","DSG","streetTRACKS Dow Jones U.S. Small Cap Growth Index Fund","$79.0","AMEX"
"289","DSI","iShares Trust","$28.1","AMEX"
"290","DSP","SP Acquisition Holdings, Inc","$506.5","AMEX"
"291","DSP-U","SP Acquisition Holdings, Inc","$0.0","AMEX"
"292","DSP-WT","SP Acquisition Holdings, Inc","$0.0","AMEX"
"293","DSV","streetTRACKS Dow Jones U.S. Small Cap Value Index Fund","$81.2","AMEX"
"294","DUG","ProShares Trust","$18.3","AMEX"
"295","DVK","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$61.4","AMEX"
"296","DWX","SPDR Index Shares Fund","$11.8","AMEX"
"297","DXD","ProShares Trust","$790.3","AMEX"
"298","DXI","Morgan Stanley","$28.7","AMEX"
"299","DXN","DigitalFX International, Inc.","$16.0","AMEX"
"300","DXR","Daxor Corporation","$68.3","AMEX"
"301","EAD","Evergreen Income Advantage Fund","$688.7","AMEX"
"302","EAG","American Defense Systems, Inc",NA,"AMEX"
"303","EAP","Citigroup Inc.",NA,"AMEX"
"304","EAR","HearUSA, Inc.","$60.9","AMEX"
"305","EAZ","Citigroup Inc.",NA,"AMEX"
"306","EBB","Citigroup Inc.","$0.0","AMEX"
"307","EBE","Citigroup Inc.","$65.7","AMEX"
"308","EBK","MORGAN STANLEY","$11.4","AMEX"
"309","EBY","Citigroup Inc.","$0.0","AMEX"
"310","ECB","Citigroup Inc.","$0.0","AMEX"
"311","ECF","Ellsworth Convertible Growth and Income Fund, Inc.","$94.6","AMEX"
"312","ECI","Encision Inc.","$11.0","AMEX"
"313","ECP","Canterbury Park Holding Corporation","$35.9","AMEX"
"314","EDA","Citigroup Inc.","$0.0","AMEX"
"315","EDV","Vanguard World Funds",NA,"AMEX"
"316","EEB","Claymore Exchange-Traded Fund Trust","$957.8","AMEX"
"317","EEC","MORGAN STANLEY","$29.5","AMEX"
"318","EEI","Ecology and Environment, Inc.","$28.7","AMEX"
"319","EEN","Claymore Exchange-Traded Fund Trust 2","$4.3","AMEX"
"320","EES","WisdomTree Trust","$14.2","AMEX"
"321","EEV","ProShares Trust","$0.0","AMEX"
"322","EEZ","WisdomTree Trust","$12.1","AMEX"
"323","EFP","Morgan Stanley Dean Witter & Co.","$17.3","AMEX"
"324","EFU","ProShares Trust","$0.0","AMEX"
"325","EFZ","ProShares Trust","$0.0","AMEX"
"326","EGI","Entree Gold Inc","$187.2","AMEX"
"327","EGJ","Citigroup Inc.",NA,"AMEX"
"328","EGK","Citigroup Inc.",NA,"AMEX"
"329","EGO","Eldorado Gold Corp","$2,946.4","AMEX"
"330","EGR","Commerce Energy Group, Inc","$34.0","AMEX"
"331","EGT","Elixir Gaming Technologies, Inc","$111.5","AMEX"
"332","EGX","Engex, Inc.","$8.9","AMEX"
"333","EHC","Citigroup Inc.","$0.0","AMEX"
"334","EHN","Morgan Stanley","$17.5","AMEX"
"335","EHP","Citigroup Inc.","$0.0","AMEX"
"336","EIA","Eaton Vance Insured California Municipal Bond Fund II","$49.5","AMEX"
"337","EIF","Eaton Vance Insured Florida Municipal Bond Fund","$33.4","AMEX"
"338","EII","Energy Infrastructure Acquisition Corporation","$269.8","AMEX"
"339","EII-WT","Energy Infrastructure Acquisition Corporation","$0.0","AMEX"
"340","EIM","Eaton Vance Insured Municipal Bond Fund","$875.3","AMEX"
"341","EIO","Eaton Vance Insured Ohio Municipal Bond Fund","$32.9","AMEX"
"342","EIP","Eaton Vance Insured Pennsylvania Municipal Bond Fund","$39.6","AMEX"
"343","EIV","Eaton Vance Insured Municipal Bond Fund II","$130.8","AMEX"
"344","EJC","Citigroup Inc.","$0.0","AMEX"
"345","EJS","Citigroup Inc.","$0.0","AMEX"
"346","EKC","Citigroup Inc.","$0.0","AMEX"
"347","EKD","Citigroup Inc.","$44.9","AMEX"
"348","EKH","Merrill Lynch Europe 2001 HOLDRS","$19.7","AMEX"
"349","EKJ","Citigroup Inc.","$0.0","AMEX"
"350","EKM","Citigroup Inc.","$50.5","AMEX"
"351","EKO","Citigroup Inc.","$126.5","AMEX"
"352","ELG","streetTRACKS Dow Jones U.S. Large Cap Growth Index Fund","$286.4","AMEX"
"353","ELI","Elite Pharmaceuticals, Inc.","$9.7","AMEX"
"354","ELJ","Citigroup Inc.","$0.0","AMEX"
"355","ELR","SPDR Series Trust","$8.6","AMEX"
"356","ELU","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"357","ELV","streetTRACKS Dow Jones U.S. Large Cap Value Index Fund","$104.6","AMEX"
"358","EMG","SPDR Series Trust","$41.7","AMEX"
"359","EMI","Eaton Vance Michigan Municipal Income Trust","$26.2","AMEX"
"360","EMJ","Eaton Vance Insured New Jersey Municipal Bond Fund","$36.4","AMEX"
"361","EML","Eastern Company (The)","$88.5","AMEX"
"362","EMM","SPDR Series Trust","$19.8","AMEX"
"363","EMV","SPDR Series Trust","$9.7","AMEX"
"364","ENA","Enova Systems Inc.","$54.9","AMEX"
"365","END","Endeavor International Corporation","$236.1","AMEX"
"366","ENQ","Citigroup Inc.","$95.4","AMEX"
"367","ENX","Eaton Vance Insured New York Municipal Bond Fund","$214.2","AMEX"
"368","ENY","Claymore Exchange-Traded Fund Trust 2","$36.1","AMEX"
"369","EOF","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"370","EOH","Lehman Brothers Fin SA","$280.0","AMEX"
"371","EPK","Citigroup Inc.","$0.0","AMEX"
"372","EPM","Evolution Petroleum Corporation, Inc.","$146.4","AMEX"
"373","EPS","WisdomTree Trust","$50.7","AMEX"
"374","ERC","Evergreen Multi-Sector Income Fund","$624.9","AMEX"
"375","ERH","Evergreen Utilities and High Income Fund","$203.2","AMEX"
"376","ERS","Empire Resources, Inc.","$28.0","AMEX"
"377","ESA","Energy Services Acquisition Corp","$63.4","AMEX"
"378","ESA-U","Energy Services Acquisition Corp","$0.0","AMEX"
"379","ESA-WT","Energy Services Acquisition Corp","$0.0","AMEX"
"380","ESC","Emeritus Corporation","$564.8","AMEX"
"381","ESM","Citigroup Inc.","$0.0","AMEX"
"382","ESP","Espey Mfg. & Electronics Corp.","$42.8","AMEX"
"383","EST","Enterprise Acquisition Corp.","$293.1","AMEX"
"384","EST-U","Enterprise Acquisition Corp.","$0.0","AMEX"
"385","EST-WT","Enterprise Acquisition Corp.","$0.0","AMEX"
"386","ETC","Environmental Tectonics Corp.","$13.5","AMEX"
"387","ETF","Emerging Markets Telecommunications Fund (The)","$168.5","AMEX"
"388","ETQ","Corriente Res Inc","$318.4","AMEX"
"389","ETX","Merrill Lynch & Co., Inc.","$86.9","AMEX"
"390","EUM","ProShares Trust","$0.0","AMEX"
"391","EVD","Citigroup Inc.","$34.0","AMEX"
"392","EVJ","Eaton Vance New Jersey Municipal Income Trust","$57.2","AMEX"
"393","EVM","Eaton Vance Insured California Municipal Bond Fund","$286.5","AMEX"
"394","EVO","Eaton Vance Ohio Municipal Income Trust","$34.7","AMEX"
"395","EVP","Eaton Vance Pennsylvania Municipal Income Trust","$33.6","AMEX"
"396","EVV","Eaton Vance Limited Duration Income Fund","$1,565.5","AMEX"
"397","EVX","Market Vectors ETF Trust","$34.9","AMEX"
"398","EVY","Eaton Vance New York Municipal Income Trust","$71.2","AMEX"
"399","EWV","ProShares Trust","$0.0","AMEX"
"400","EWX","SPDR Index Shares Fund","$26.2","AMEX"
"401","EXB","Claymore Exchange-Traded Fund Trust 2","$13.6","AMEX"
"402","EXK","Endeavour Silver Corporation","$161.6","AMEX"
"403","EXT","WisdomTree Trust","$14.7","AMEX"
"404","EXX-A","EXX, Inc.","$32.6","AMEX"
"405","EXX-B","EXX, Inc.","$2.9","AMEX"
"406","EYA","Citigroup Inc.","$0.0","AMEX"
"407","EYJ","Citigroup Inc.","$0.0","AMEX"
"408","EYW","Citigroup Inc.","$0.0","AMEX"
"409","EZM","WisdomTree Trust","$24.2","AMEX"
"410","EZY","WisdomTree Trust","$21.2","AMEX"
"411","FAB","First Trust Exchange-Traded Fund","$4.3","AMEX"
"412","FAD","First Trust Exchange-Traded Fund","$8.2","AMEX"
"413","FAX","Aberdeen Asia-Pacific Income Fund Inc","$1,606.5","AMEX"
"414","FBK-P","Franklin Bank Corp","$12.8","AMEX"
"415","FBT","First Trust Amex  Biotechnology Index Fund","$42.0","AMEX"
"416","FCM","First Trust/Four Corners Senior Floating Rate Income Fund","$68.3","AMEX"
"417","FCO","Aberdeen Global Income Fund, Inc.","$108.0","AMEX"
"418","FDD","First Trust Exchange-Traded Fund II","$8.2","AMEX"
"419","FDL","First Trust Morningstar Dividend Leaders Index Fund","$57.7","AMEX"
"420","FDM","First Trust Dow Jones Select MicroCap Index(sm) Fund","$12.5","AMEX"
"421","FDN","First Trust Dow Jones Internet Indexsm Fund","$50.8","AMEX"
"422","FDT","Federal Trust Corporation","$5.5","AMEX"
"423","FDV","First Trust DB Strategic Value Index Fund","$20.0","AMEX"
"424","FEN","Energy Income and Growth Fund","$142.5","AMEX"
"425","FEP","Franklin Electronic Publishers, Inc.","$15.6","AMEX"
