"","POV","BLK","LAT","GVT","SVC","FED","XFR","POP"
"57",0,0.08262564,0.08482366,0,0,0,0,9.94897067
"58",0,0.03840565,0.20531451,0,0,0,0,8.55423204
"59",1,0.03767568,0.39848825,0,0,0,0,9.05103197
"60",0,0.04042673,0.12970241,0,0,0,0,7.55607942
"61",0,0.04345056,0.04561672,0,0,0,0,8.94080378
"62",0,0.18763056,0.0400076,0,0,0,0,9.70342963
"63",1,0.0098184,0.72301787,0,1,0,1,9.50799753
"64",1,0.02303821,0.32792231,0,0,0,0,9.55042512
"65",0,0.05902981,0.28326515,0,0,0,0,8.58752739
"66",0,0.0017994,0.13983051,0,1,0,0,9.73109652
"67",0,0,0.29273356,0,0,0,0,7.25464921
"68",0,0.06473252,0.35619655,0,0,0,0,8.68519042
"69",1,0.09221599,0.35717625,0,0,0,0,9.79502965
"70",0,0.03695451,0.07929034,0,0,0,0,10.12914793
"71",1,0.2588017,0.11564157,1,0,0,0,9.84774578
"72",1,0.05116292,0.41706585,0,0,0,0,10.47877044
"73",1,0.07745754,0.18708183,0,0,0,0,8.33014046
"74",0,0.00012968,0.05239269,0,1,0,0,8.9842341
"75",0,0,0.20140918,0,0,0,0,8.70891487
"76",0,0.05981273,0.11255494,0,0,0,0,8.6447652
"77",0,0.00248413,0.05409881,0,0,0,0,8.23897728
"78",1,0.03474789,0.19281384,0,0,0,0,8.85841603
"79",0,0.00189138,0.11105107,0,0,0,0,8.29388296
"80",0,0.09208205,0.08208352,0,0,0,0,10.2033452
"81",0,0.04102225,0.31560665,0,0,0,0,10.10030082
"82",0,0.08503697,0.04959911,0,0,0,0,10.27772569
"83",1,0.29435484,0.03765004,0,1,0,0,9.98839533
"84",0,0.03844364,0.24980608,0,0,0,0,10.41716909
"85",1,0.00275198,0.65531476,0,0,0,0,7.93677928
"86",0,0.02569116,0.09783756,0,0,0,0,10.17819836
"87",0,0.00123305,0.23736128,0,0,0,0,7.42575511
"88",0,0.00722752,0.03425846,0,0,0,0,8.91918561
"89",0,0.09166474,0.21165243,0,0,0,0,9.50024497
"90",0,0.18721196,0.01933675,0,0,0,0,10.35762642
"91",0,0.01036807,0.39346812,1,0,0,0,7.54380287
"92",1,0.00058916,0.90455617,1,0,0,0,8.55243163
"93",1,0.00507533,0.71859804,0,0,0,0,10.56200015
"94",0,0.03898957,0.16858869,0,0,0,0,9.75523887
"95",1,0.02773523,0.47311134,0,0,0,1,9.45881373
"96",0,0.00340599,0.16321526,0,1,0,0,9.54824016
"97",1,0,0.78021978,0,0,0,0,6.21793589
"98",0,0.00496032,0.11904762,0,0,0,0,6.951134
