"","avgage","technology","badballots","size","Republican","npa","white","bla","his","int","new"
"57",71.02,"Votomatic",28,741,488,159,865,3,2,28,27
"58",51.38,"Votomatic",123,854,240,66,398,359,94,3,43
"59",62.66,"Votomatic",83,1360,834,219,1555,7,16,27,53
"60",50.48,"Votomatic",23,679,318,103,672,11,10,15,22
"61",49.53,"Votomatic",55,341,6,12,3,329,5,1,20
"62",45.97,"Votomatic",43,324,29,28,19,291,11,2,19
"63",59,"Votomatic",34,399,135,62,341,90,7,10,23
"64",53.87,"Votomatic",80,1045,370,178,862,196,20,31,77
"65",59.95,"Votomatic",31,819,494,126,902,9,12,17,31
"66",48.44,"Votomatic",248,1491,42,80,15,1431,5,10,54
"67",52.11,"Votomatic",59,1270,606,225,1308,13,22,43,59
"68",56.16,"Votomatic",83,1727,893,331,1775,15,25,72,152
"69",52.19,"Votomatic",17,636,374,102,684,7,7,26,19
"70",47.71,"Votomatic",45,1055,476,224,1084,11,22,27,48
"71",47.4,"Votomatic",12,495,288,82,505,9,6,30,80
"72",78.49,"Votomatic",77,696,88,75,728,6,7,7,41
"73",78.16,"Votomatic",141,1391,177,145,1513,7,27,25,43
"74",49.41,"Votomatic",140,1074,76,94,166,907,9,5,59
"75",61.74,"Votomatic",29,580,298,124,621,4,3,19,26
"76",50.69,"Votomatic",123,834,61,47,105,710,7,8,39
"77",43,"Votomatic",1,48,2,19,2,2,8,10,29
"78",48.99,"Votomatic",300,1563,64,88,22,1538,7,9,69
"79",52.62,"Votomatic",184,1096,36,62,10,1108,3,5,36
"80",57.59,"Votomatic",21,382,159,53,341,64,4,16,15
"81",50.61,"Votomatic",67,724,63,43,93,644,5,6,42
"82",50.54,"Votomatic",35,883,428,127,887,3,13,13,45
"83",48.76,"Votomatic",22,349,148,53,324,4,7,4,22
"84",53.31,"Votomatic",27,955,555,162,1038,2,7,25,40
"85",49.39,"Votomatic",38,331,37,17,79,241,2,4,16
"86",50.75,"Votomatic",142,1131,186,139,459,630,12,20,61
"87",51.72,"Votomatic",1,23,4,3,9,13,2,2,4
"88",62.74,"Votomatic",85,1408,476,286,1314,219,32,22,92
"89",48.13,"Votomatic",118,956,94,86,181,792,8,10,51
"90",48.92,"Votomatic",17,354,109,69,335,39,10,11,38
"91",59.64,"Datapunch",91,1252,946,211,1419,2,18,27,57
"92",49.43,"Votomatic",23,533,232,78,465,45,41,9,27
"93",47.12,"Votomatic",64,741,176,110,447,261,37,18,71
"94",52.91,"Votomatic",0,33,21,3,33,27,11,1,2
"95",53.49,"Votomatic",65,446,15,19,2,449,3,1,16
"96",53.85,"Votomatic",161,1365,46,58,32,1425,3,3,50
"97",49.76,"Votomatic",13,185,140,56,289,37,7,13,20
"98",51.1,"Votomatic",13,270,9,11,2,258,2,1,13
"99",52.56,"Votomatic",33,171,7,3,1,169,2,2,5
"100",51.86,"Votomatic",4,183,92,36,188,3,6,2,21
"101",31,"Votomatic",0,9,2,2,6,14,2,1,1
"102",59.25,"Votomatic",26,602,305,119,663,8,12,18,31
"103",52.61,"Votomatic",39,1055,488,173,1039,20,53,18,75
"104",70.31,"Votomatic",34,533,372,73,554,3,8,23,21
"105",64.56,"Votomatic",28,781,701,160,1035,2,6,23,30
"106",48.75,"Votomatic",49,759,189,123,481,165,89,11,71
"107",56.06,"Votomatic",42,687,237,106,570,46,73,8,27
"108",45.84,"Votomatic",42,1283,610,207,1172,89,38,27,103
"109",53.72,"Votomatic",108,1496,469,253,1272,207,75,25,102
"110",48.04,"Votomatic",40,735,241,126,589,84,66,13,43
"111",54.2,"Votomatic",38,483,202,69,361,29,86,6,30
"112",49.86,"Votomatic",82,953,530,92,730,100,170,1,61
"113",52.39,"Votomatic",63,283,9,10,3,283,7,3,12
"114",52.12,"Votomatic",134,714,13,28,9,694,2,1,38
"115",52.36,"Votomatic",53,764,362,126,641,20,116,7,49
"116",54.92,"Votomatic",76,1059,421,209,707,48,306,13,90
"117",52.58,"Votomatic",16,264,104,43,175,11,65,2,18
"118",50.47,"Votomatic",40,463,171,73,369,33,71,4,28
"119",53.15,"Votomatic",34,1097,531,144,1065,8,55,14,45
"120",50.55,"Datapunch",87,1209,515,214,1134,36,101,22,64
"121",53.56,"Votomatic",64,848,366,135,643,18,195,11,58
"122",47.36,"Votomatic",40,772,264,151,646,40,87,14,53
"123",50.44,"Votomatic",154,632,34,38,81,508,34,3,36
"124",53.37,"Votomatic",44,1146,490,153,1124,7,73,19,36
"125",75.32,"Votomatic",81,1005,495,241,1251,1,8,26,35
"126",54.1,"Datapunch",92,1771,899,190,1759,12,83,20,59
"127",51.14,"Votomatic",48,1113,499,135,1084,35,68,19,36
"128",46.95,"Votomatic",22,157,36,15,55,99,6,10,20
"129",74.69,"Votomatic",56,633,275,80,629,2,34,13,34
"130",52.86,"Votomatic",13,95,21,5,57,34,1,1,11
"131",48.66,"Votomatic",61,1107,372,196,916,96,110,29,65
"132",48.77,"Votomatic",79,1229,414,214,1022,62,119,33,97
"133",53.41,"Votomatic",36,562,256,89,581,1,13,10,15
"134",51.11,"Votomatic",46,798,226,170,715,36,49,24,66
"135",51.27,"Votomatic",37,589,214,98,475,51,54,9,27
"136",62.2,"Votomatic",47,412,141,47,343,31,31,2,15
"137",56.05,"Votomatic",31,642,223,124,638,9,18,27,39
"138",49.39,"Votomatic",53,516,118,92,275,143,68,10,40
"139",74.04,"Votomatic",51,703,325,170,857,1,3,21,12
"140",57.27,"Votomatic",22,325,118,59,345,4,6,18,19
"141",58.08,"Datapunch",131,1431,705,233,1530,36,32,27,109
"142",45.81,"Datapunch",137,1528,489,279,1057,206,180,30,127
"143",52.12,"Votomatic",39,530,195,87,500,22,36,20,46
"144",47.69,"Votomatic",25,1331,691,215,1324,15,19,28,81
"145",50.27,"Votomatic",12,395,236,64,392,10,4,4,19
"146",48.95,"Votomatic",38,1554,832,239,1647,12,21,43,83
"147",46.48,"Votomatic",36,1133,585,208,1167,6,16,34,40
"148",54.47,"Votomatic",48,677,250,126,646,23,32,19,31
"149",55.97,"Votomatic",18,377,155,57,395,2,5,10,13
"150",48.5,"Votomatic",39,423,91,80,270,91,41,5,33
"151",50.42,"Datapunch",145,945,168,108,389,458,57,10,74
"152",70.81,"Votomatic",48,760,358,159,923,1,1,23,39
"153",50.13,"Votomatic",11,375,228,54,386,3,10,5,24
"154",51.36,"Datapunch",117,1281,455,211,1142,95,51,33,64
"155",71.72,"Datapunch",160,1054,450,141,1125,9,63,17,41
"156",46.89,"Votomatic",34,544,165,86,389,79,45,14,50
"157",75.03,"Votomatic",14,217,6,7,27,1,3,2,56
"158",51.56,"Votomatic",15,149,55,26,134,7,12,2,7
"159",44.41,"Votomatic",33,329,119,66,234,28,44,3,32
"160",50.5,"Votomatic",0,50,23,4,43,6,4,1,2
"161",55.69,"Votomatic",60,779,275,145,699,50,49,19,59
"162",66.19,"Votomatic",48,679,304,122,734,4,10,27,37
"163",55.81,"Votomatic",24,695,343,140,697,6,8,28,73
"164",54.25,"Votomatic",0,24,15,3,23,31,3,1,3
"165",55.53,"Votomatic",63,1174,435,188,1062,118,43,19,89
"166",54.84,"Votomatic",20,517,270,89,542,7,4,14,37
"167",51.08,"Votomatic",94,791,35,49,35,741,2,5,48
"168",54.89,"Votomatic",45,894,312,166,741,140,21,13,48
"169",64.67,"Datapunch",153,1684,775,264,1794,14,22,41,83
"170",75.43,"Votomatic",76,1085,582,170,1173,1,7,28,40
"171",60.24,"Votomatic",17,836,558,143,931,1,10,27,53
"172",63,"Votomatic",8,170,129,31,193,9,2,8,4
"173",60.34,"Votomatic",51,810,325,129,796,30,27,14,30
"174",61.57,"Datapunch",103,1182,503,223,1108,89,39,51,140
"175",70.92,"Datapunch",151,1952,984,294,2256,7,8,53,60
"176",50.34,"Votomatic",43,847,343,140,773,71,15,26,37
"177",50.63,"Votomatic",48,528,177,94,446,69,20,11,37
"178",51.57,"Datapunch",120,1052,144,117,335,683,28,19,91
"179",74.6,"Votomatic",23,285,177,49,346,1,1,7,13
"180",50.75,"Votomatic",50,1361,605,250,1248,69,70,23,80
"181",73.78,"Votomatic",64,1317,397,341,1473,3,3,43,42
"182",53.18,"Votomatic",23,779,437,115,817,22,15,12,30
"183",54.05,"Votomatic",23,524,323,69,539,16,15,9,36
"184",57.8,"Votomatic",10,183,104,40,199,1,3,3,10
"185",62.06,"Votomatic",51,808,240,120,819,42,15,20,58
"186",72.1,"Votomatic",39,361,82,51,348,6,1,3,29
"187",51.44,"Votomatic",33,897,486,117,893,12,8,19,29
"188",61.14,"Votomatic",6,365,303,53,427,1,1,6,18
"189",78.18,"Votomatic",103,1294,105,106,1437,1,1,21,25
"190",78.01,"Votomatic",34,359,55,37,384,1,1,9,13
"191",70.3,"Votomatic",50,999,352,222,1046,3,5,40,23
"192",50,"Votomatic",19,412,122,60,332,61,19,16,32
"193",68.93,"Datapunch",129,1501,638,216,1634,34,26,51,116
"194",51.61,"Votomatic",56,761,46,50,59,699,8,7,46
"195",49.5,"Votomatic",86,860,21,48,10,805,3,4,64
"196",63.58,"Datapunch",140,1529,984,277,1755,17,18,52,83
"197",47.13,"Votomatic",99,1012,70,109,176,730,45,9,116
"198",69.16,"Votomatic",23,441,231,59,412,111,10,15,39
"199",48.51,"Votomatic",53,937,385,184,867,45,23,36,108
"200",76.81,"Votomatic",67,643,153,81,712,3,1,17,15
"201",50.67,"Votomatic",5,188,82,23,160,2,21,1,8
"202",78.18,"Votomatic",76,1061,147,162,1210,4,2,22,23
"203",78.74,"Votomatic",44,367,42,16,378,7,2,7,8
"204",79.26,"Votomatic",40,704,58,45,762,8,2,7,19
"205",78.06,"Votomatic",39,422,37,35,460,5,3,9,13
"206",79.75,"Votomatic",135,932,60,68,972,1,6,15,28
"207",79.37,"Votomatic",99,1146,80,78,1248,1,1,16,29
"208",79.97,"Votomatic",103,1042,57,49,1114,35,3,16,33
"209",79.8,"Votomatic",76,773,50,61,849,1,1,3,21
"210",54.64,"Datapunch",65,1108,639,182,1211,8,13,45,90
"211",61.83,"Votomatic",144,1332,478,240,1298,22,66,24,50
"212",50.52,"Votomatic",83,1242,400,224,1043,118,74,36,72
"213",60.06,"Votomatic",91,1448,473,237,1400,32,56,28,57
"214",56.41,"Votomatic",110,1764,664,364,1616,71,125,53,164
"215",47.89,"Votomatic",14,274,116,37,231,15,26,5,18
"216",69.1,"Votomatic",30,346,127,75,369,1,9,6,7
"217",51.18,"Votomatic",1,45,26,7,44,3,5,1,1
"218",71.94,"Votomatic",4,43,20,3,51,17,3,1,1
"219",50.82,"Votomatic",16,254,83,39,220,15,19,7,19
"220",69.07,"Votomatic",77,1411,541,202,1528,27,33,19,44
"221",61.3,"Datapunch",118,1328,948,214,1521,3,15,39,79
"222",66.21,"Datapunch",223,1877,1143,388,2261,4,11,74,112
"223",54.37,"Datapunch",193,1298,512,239,1305,18,39,36,106
"224",59.4,"Datapunch",122,1814,839,322,1939,24,27,43,94
"225",52.92,"Datapunch",86,1566,492,294,1482,25,54,51,136
"226",52.12,"Votomatic",36,1143,608,212,1125,27,33,34,83
"227",49.64,"Votomatic",17,1034,581,185,1105,3,23,32,63
"228",57.3,"Datapunch",96,1082,344,197,937,48,66,24,123
"229",55.49,"Datapunch",129,1348,831,262,1475,5,15,33,95
"230",54.27,"Votomatic",48,1334,604,224,1317,15,19,32,68
"231",52.09,"Votomatic",41,809,335,171,774,31,23,25,87
"232",51.15,"Votomatic",39,1000,444,165,941,28,35,22,70
"233",53.66,"Votomatic",16,728,377,122,729,3,17,11,35
"234",48.7,"Votomatic",6,241,149,38,255,6,2,2,14
"235",61.56,"Datapunch",109,1237,749,247,1399,2,12,34,64
"236",48.35,"Datapunch",94,1216,419,257,1071,48,90,38,127
"237",66.26,"Datapunch",101,1447,362,271,1644,4,16,37,90
"238",50.59,"Votomatic",29,326,159,44,272,59,14,3,25
"239",66.54,"Votomatic",36,722,421,157,826,2,9,21,35
"240",54.71,"Votomatic",18,732,488,119,777,1,6,15,29
"241",59.41,"Votomatic",26,632,300,136,640,28,20,20,62
"242",61.34,"Datapunch",115,1524,1029,294,1749,14,22,62,128
"243",50.61,"Votomatic",29,1027,550,213,1064,3,14,14,72
"244",54.05,"Votomatic",42,942,391,189,890,56,50,24,78
"245",50.9,"Datapunch",90,1491,812,293,1492,13,39,21,85
"246",67.99,"Votomatic",30,881,570,186,1019,1,13,26,56
"247",53.03,"Datapunch",71,1507,815,290,1514,26,50,35,129
"248",66.6,"Votomatic",37,1034,542,280,1190,4,9,40,58
"249",71.45,"Votomatic",80,1032,336,207,1109,9,16,28,51
"250",49.98,"Votomatic",10,697,358,142,722,1,12,8,49
"251",78.65,"Votomatic",9,75,9,10,75,3,3,4,4
"252",67.21,"Datapunch",131,1277,423,211,1303,22,36,21,54
"253",80.36,"Datapunch",163,1226,77,75,1364,2,2,11,46
"254",79.9,"Datapunch",160,1314,101,108,1459,1,3,18,48
"255",80.45,"Datapunch",164,1370,85,114,1481,24,1,12,49
"256",59.11,"Votomatic",54,1085,527,208,1113,7,33,32,104
"257",60.91,"Datapunch",74,1278,634,216,1266,19,42,39,130
"258",55.12,"Votomatic",18,919,416,204,982,2,11,26,56
"259",52.38,"Votomatic",11,361,187,31,338,3,31,6,13
"260",51.53,"Votomatic",31,491,204,62,438,5,43,4,21
"261",49.61,"Votomatic",72,795,257,119,536,56,95,14,61
"262",50.77,"Votomatic",30,577,223,86,507,19,41,12,32
"263",49.69,"Votomatic",13,574,337,81,602,4,7,7,20
"264",53.24,"Votomatic",43,989,434,116,976,7,16,19,34
"265",78.34,"Votomatic",62,845,155,173,886,2,2,13,17
"266",46.26,"Votomatic",22,724,353,118,667,33,22,33,40
"267",46.49,"Votomatic",33,891,358,151,855,24,34,18,49
"268",79.06,"Votomatic",12,412,84,85,455,4,1,2,4
"269",49.66,"Votomatic",7,60,10,12,36,4,15,2,7
"270",74.65,"Votomatic",90,1012,266,131,1085,8,4,15,21
"271",50.84,"Votomatic",93,1427,467,253,1167,205,60,31,125
"272",50.8,"Votomatic",49,1212,636,224,1258,17,33,32,51
"273",66.02,"Votomatic",13,454,32,17,70,359,6,4,50
"274",48.49,"Votomatic",17,615,253,121,587,10,11,31,35
"275",62.25,"Votomatic",48,973,619,155,1157,4,4,31,58
"276",48.2,"Votomatic",4,226,146,31,238,2,1,6,11
"277",24.5,"Votomatic",0,2,2,40,2,7,3,5,5
"278",46.65,"Votomatic",38,1119,523,190,1062,47,40,21,70
"279",54.5,"Votomatic",0,2,1,15,1,9,1,7,4
"280",48.49,"Votomatic",33,772,343,114,727,22,23,16,42
"281",44.4,"Votomatic",81,1664,730,259,1435,140,70,53,137
"282",47.26,"Votomatic",41,948,477,173,890,85,37,31,56
"283",44.32,"Votomatic",53,1215,482,249,1064,90,73,28,95
"284",48.21,"Votomatic",10,753,448,110,763,26,14,15,32
"285",47.66,"Votomatic",38,245,1,37,4,5,74,2,106
"286",47.32,"Votomatic",43,274,42,26,83,159,11,1,20
"287",70.19,"Votomatic",15,82,37,9,86,1,1,4,3
"288",51.19,"Votomatic",43,970,531,144,1057,7,24,31,91
"289",46.73,"Votomatic",19,331,150,71,334,6,8,12,16
"290",45.2,"Votomatic",5,45,14,8,40,2,2,1,2
"291",53.56,"Votomatic",19,1448,888,244,1607,15,12,39,56
"292",58.53,"Votomatic",29,955,564,192,1052,7,13,38,48
"293",62.84,"Votomatic",76,1444,886,320,1689,17,13,76,67
"294",59.88,"Votomatic",21,1123,581,285,1291,9,10,74,77
"295",65.05,"Votomatic",2,105,85,18,137,2,3,2,2
"296",50.27,"Votomatic",15,107,11,7,27,73,2,6,10
"297",50.28,"Votomatic",18,270,81,37,174,81,9,5,14
"298",47.13,"Votomatic",25,269,36,38,74,183,5,3,23
"299",68.37,"Votomatic",39,952,682,190,1179,4,8,27,57
"300",63.05,"Votomatic",19,434,260,97,494,3,6,18,26
"301",44.66,"Votomatic",34,624,191,91,404,160,29,10,75
"302",49.73,"Votomatic",0,16,11,4,14,10,2,1,1
"303",46.78,"Votomatic",40,751,287,152,637,83,53,40,87
"304",50.33,"Votomatic",28,419,125,53,233,157,5,4,19
"305",64.6,"Votomatic",1,19,44,13,89,7,2,11,6
"306",49.18,"Votomatic",29,282,27,24,58,221,5,2,13
"307",62.1,"Votomatic",14,370,189,64,393,7,4,8,20
"308",46.27,"Votomatic",19,497,160,89,371,80,17,16,22
"309",56.9,"Votomatic",17,546,350,104,597,3,1,24,52
"310",49.47,"Votomatic",3,99,27,20,91,17,1,3,12
"311",45.94,"Votomatic",6,189,74,34,134,43,9,5,12
"312",42.48,"Votomatic",33,496,162,98,342,131,13,14,38
"313",57.43,"Votomatic",2,131,86,32,149,11,3,7,14
"314",58.51,"Votomatic",62,1692,719,373,1656,32,46,64,190
"315",63.66,"Votomatic",1,18,4,6,21,22,2,1,7
"316",50.53,"Votomatic",67,588,69,72,119,443,12,5,52
"317",44.15,"Votomatic",22,891,387,174,804,74,21,37,145
"318",57.47,"Votomatic",82,719,145,108,444,241,18,15,102
"319",39.21,"Votomatic",22,115,5,11,7,80,4,1,11
"320",54.64,"Votomatic",31,977,467,177,974,49,17,24,71
"321",51.19,"Votomatic",23,665,265,113,603,55,14,21,26
"322",47.57,"Votomatic",42,1038,367,224,801,124,44,21,134
"323",48.41,"Votomatic",59,655,164,84,463,209,10,12,47
"324",64.7,"Votomatic",32,802,547,180,1010,4,4,23,41
"325",64.04,"Votomatic",3,95,68,23,119,15,2,3,10
"326",60.78,"Votomatic",3,44,14,19,60,27,1,2,17
"327",47.32,"Votomatic",12,125,37,19,95,33,8,1,15
"328",43.69,"Votomatic",13,173,38,45,126,32,6,4,18
"329",73.62,"Votomatic",32,307,133,41,313,20,3,9,13
"330",73.93,"Votomatic",7,55,40,9,78,2,5,2,9
"331",44.54,"Votomatic",0,65,24,12,66,1,2,1,5
"332",48.68,"Votomatic",13,247,85,45,240,5,6,7,10
"333",58.5,"Votomatic",0,2,1,6,2,2,1,1,5
"334",49.95,"Votomatic",20,800,367,110,807,5,18,14,34
"335",43.74,"Votomatic",52,1476,629,255,1301,112,78,43,116
"336",46.05,"Votomatic",38,399,100,62,215,120,35,11,28
"337",49.31,"Votomatic",12,293,88,46,247,24,20,4,16
"338",51.1,"Votomatic",14,177,47,25,77,53,45,1,20
"339",46.89,"Votomatic",80,510,66,39,78,380,47,7,40
"340",51.19,"Votomatic",6,155,64,27,143,2,5,2,5
"341",54.42,"Votomatic",1,67,33,8,73,1,2,1,1
"342",48.74,"Datapunch",76,1538,604,242,1276,134,135,14,92
"343",46.98,"Votomatic",12,52,17,7,27,14,9,1,3
"344",46.75,"Votomatic",28,297,114,46,240,15,38,4,22
"345",49.68,"Votomatic",3,64,31,11,60,5,8,3,5
"346",49.96,"Votomatic",37,631,268,109,545,33,75,12,44
"347",47.35,"Votomatic",25,157,31,6,42,110,6,1,11
"348",47.13,"Votomatic",24,153,34,9,48,85,9,2,9
"349",48.4,"Votomatic",0,6,160,1,5,14,32,2,4
"350",60.28,"Votomatic",0,7,2,15,6,2,8,8,9
"351",47.54,"Votomatic",100,1368,400,260,902,154,227,29,114
"352",53.68,"Votomatic",26,458,192,76,460,10,27,6,30
"353",53.12,"Votomatic",3,132,64,21,127,3,4,3,7
"354",67.56,"Votomatic",2,20,3,3,21,2,2,1,2
"355",55.66,"Votomatic",1,6,2,3,6,1,2,1,4
"356",50.85,"Votomatic",27,425,175,65,315,44,73,7,40
"357",54,"Votomatic",7,73,24,12,52,8,8,1,4
"358",49.38,"Votomatic",3,134,50,22,96,22,10,9,16
"359",51.98,"Votomatic",7,80,20,11,62,8,5,3,7
"360",61.59,"Votomatic",19,269,100,40,286,3,13,7,15
"361",55.71,"Votomatic",17,553,255,80,577,2,14,8,28
"362",46.05,"Votomatic",32,954,397,157,864,55,47,27,93
"363",54.46,"Votomatic",39,693,336,113,710,10,21,15,33
"364",59.4,"Votomatic",33,1068,384,162,1081,17,20,29,28
"365",58.56,"Votomatic",53,644,242,109,618,15,28,14,53
"366",47.04,"Datapunch",58,1927,818,352,1753,90,81,59,139
"367",52.48,"Votomatic",16,395,201,45,394,16,20,7,28
"368",47.5,"Votomatic",51,958,361,156,781,58,89,23,77
"369",48.21,"Datapunch",66,1599,681,295,1419,78,84,59,174
"370",43,"Votomatic",33,1509,549,294,1263,80,94,68,222
"371",48.64,"Votomatic",45,1156,477,207,1007,62,68,36,83
"372",50.31,"Votomatic",1,15,7,2,15,1,15,1,1
"373",46.39,"Votomatic",12,229,61,44,173,50,9,2,21
"374",57.98,"Votomatic",38,686,347,121,727,3,4,18,37
"375",47.58,"Votomatic",4,83,12,13,58,9,7,1,6
"376",53.26,"Votomatic",4,42,13,7,38,4,3,2,1
"377",52.08,"Votomatic",12,214,70,42,203,10,8,8,15
"378",58.08,"Votomatic",97,1174,426,188,1124,50,37,43,63
"379",60.49,"Votomatic",37,254,96,29,213,27,11,2,12
"380",47.3,"Datapunch",122,1642,688,346,1535,113,68,52,122
"381",53.85,"Votomatic",54,1037,380,186,949,49,38,37,73
"382",49.9,"Votomatic",0,10,2,5,7,2,1,2,1
"383",67.19,"Votomatic",73,1126,300,305,1178,8,7,51,57
"384",25,"Votomatic",0,48,1,20,1,2,20,9,25
"385",55.83,"Votomatic",63,1015,444,159,1002,38,42,24,66
"386",51.5,"Votomatic",20,272,71,45,219,34,8,10,24
"387",54.37,"Votomatic",7,122,47,14,103,14,1,5,9
"388",44.63,"Votomatic",64,954,344,188,760,124,61,13,70
"389",49.69,"Datapunch",87,1245,496,242,1071,172,40,14,85
"390",59.9,"Datapunch",237,1686,596,318,1550,143,74,17,97
"391",49.32,"Datapunch",161,1741,704,328,1440,188,82,31,140
"392",47.1,"Datapunch",138,1308,494,210,1023,229,63,19,61
"393",59.18,"Votomatic",0,9,5,3,10,1,8,1,2
"394",48.74,"Votomatic",11,137,30,20,82,40,7,3,8
"395",53.39,"Votomatic",37,602,255,94,576,27,17,27,30
"396",75.31,"Votomatic",38,474,208,78,506,8,1,12,10
"397",47.58,"Votomatic",37,1135,468,203,1046,46,46,38,65
"398",50.43,"Datapunch",218,1649,737,316,1582,47,57,41,117
"399",49.76,"Votomatic",5,69,35,5,54,4,7,1,6
"400",54.97,"Votomatic",8,277,93,45,263,10,6,8,55
"401",56.1,"Votomatic",78,1156,268,227,934,209,40,29,92
"402",41,"Votomatic",0,4,1,37,2,15,2,5,4
"403",54.5,"Votomatic",36,1056,341,195,1022,38,32,38,165
"404",72.61,"Votomatic",112,1441,192,279,1587,1,4,60,35
"405",71.03,"Votomatic",78,1379,385,307,1557,5,7,47,75
"406",60.93,"Votomatic",71,1046,342,196,1098,10,18,19,51
"407",71.16,"Votomatic",98,1364,202,217,1453,23,2,48,29
"408",50.77,"Datapunch",89,1316,498,273,1270,34,38,40,150
"409",70.35,"Votomatic",78,960,233,248,1094,1,3,45,18
"410",70.93,"Votomatic",52,699,93,142,759,4,3,37,16
"411",71.4,"Votomatic",14,153,99,28,186,41,7,14,4
"412",54.05,"Votomatic",2,71,31,18,73,3,2,4,4
"413",47.54,"Votomatic",30,1123,417,222,1033,59,37,51,167
"414",47.72,"Votomatic",41,1081,468,199,1021,59,37,36,88
"415",71.59,"Datapunch",144,2032,417,468,2193,15,13,78,81
"416",73.61,"Votomatic",18,568,497,74,655,44,5,7,16
"417",67.5,"Votomatic",5,134,133,17,152,39,2,1,1
"418",64.34,"Votomatic",58,1312,277,230,1319,64,37,43,110
"419",63.13,"Votomatic",101,1728,392,295,1761,47,44,81,167
"420",74.66,"Votomatic",38,602,77,86,665,2,9,17,13
"421",68.38,"Datapunch",170,2434,397,525,2606,3,5,165,186
"422",73.58,"Votomatic",101,1002,496,144,1079,3,8,22,18
"423",53.5,"Votomatic",64,1187,445,217,1090,122,29,50,126
"424",68.11,"Votomatic",33,449,199,93,488,8,11,17,16
"425",72.73,"Votomatic",18,265,162,43,308,11,2,11,14
"426",51.62,"Votomatic",3,59,20,15,46,5,4,3,4
