"","X1","CHLEG010","LEGHUANG","X.2697","X.2697.1","X2","X1.1","X1.2","X0","X0.1","X2.1","X3","X2.2","X3.1","X2.3"
"65",66,"CHWZH130","XUZHOUJI",-966,-966,3,1,1,1,1,2,10,3,1,4
"66",67,"CHWZH140","ZHOUCHUY",-964,-964,3,1,1,1,1,2,10,2,3,1
"67",68,"CHWZH150","ZHOUEMPC",-942,-942,2,1,1,0,0,2,10,2,2,2
"68",69,"CHWZH160","WESTRONG",-927,-927,2,2,2,0,0,2,8,2,1,1
"69",70,"CHWZH170","ZHAIZHOU",-921,-921,2,1,1,0,0,2,10,2,2,4
"70",71,"CHWZH180","ZHOUEDOG",-913,-913,2,2,2,0,0,2,8,3,2,1
"71",72,"CHWZH190","ZHOUEWES",-909,-909,2,2,2,0,0,2,8,3,2,1
"72",73,"CHWZH200","ZHOUETUR",-891,-891,2,2,2,0,0,2,8,3,2,1
"73",74,"CHWZH210","CHUZHOUY",-887,-887,2,1,1,0,0,2,10,2,2,4
"74",75,"CHWZH220","HUAIYIEL",-875,-875,2,2,2,0,0,2,9,2,2,1
"75",76,"CHWZH230","HUAIHWAI",-867,-867,2,2,2,0,0,2,8,2,2,4
"76",77,"CHWZH240","XIONGNUX",-864,-864,2,2,2,0,0,2,9,2,2,1
"77",78,"CHWZH250","ZHOUPEOP",-841,-841,2,1,1,0,0,1,NA,2,NA,NA
"78",79,"CHWZH260","ZHOUEWES",-825,-825,2,2,2,0,0,2,8,3,2,1
"79",80,"CHWZH270","ZHOUEJIN",-823,-823,2,2,2,0,0,2,8,3,2,1
"80",81,"CHWZH280","ZHOUEXIO",-823,-823,2,2,2,0,0,2,9,3,2,1
"81",82,"CHWZH290","ZHOUEXUR",-822,-822,2,2,2,0,0,2,8,3,2,1
"82",83,"CHWZH300","ZHOUEHIA",-822,-822,3,2,2,1,1,2,9,3,2,1
"83",84,"CHWZH310","ZHOULU",-796,-796,2,1,1,0,0,2,10,2,2,4
"84",85,"CHWZH320","ZHOUERON",-795,-795,2,2,2,0,0,2,8,3,2,1
"85",86,"CHWZH330","ZHOUETIA",-790,-790,4,2,2,2,2,2,8,2,2,1
"86",87,"CHWZH340","ZHOUQIAN",-789,-789,2,2,2,0,0,2,8,2,2,1
"87",88,"CHWZH350","QINCHINZ",-788,-788,2,2,2,0,0,2,8,10,2,1
"88",89,"CHWZH360","RONGSJUN",-788,-788,2,2,2,0,0,2,8,10,1,1
"89",90,"CHWZH370","SHENWEST",-787,-787,3,2,2,1,1,2,8,10,2,1
"90",91,"CHWZH380","KUAIZHOU",-780,-780,2,1,1,0,0,2,10,10,2,4
"91",92,"CHWZH390","QINZHOUW",-778,-778,2,2,2,0,0,2,8,10,2,1
"92",93,"CHWZH400","WESTRONG",-776,-776,2,2,2,0,0,2,8,10,2,1
"93",94,"CHWZH410","ZHOUEWES",-776,-776,2,2,2,0,0,2,8,10,2,1
"94",95,"CHWZH420","GUOZHOUC",-775,-775,2,1,1,0,0,2,10,10,1,2
"95",96,"CHWZH430","ZHOUEMPC",-772,-772,2,1,1,0,0,2,10,10,2,2
"96",97,"CHWZH440","ZHOUDOGR",-771,-770,3,2,2,1,1,2,10,10,2,1
"97",98,"CHWZH450","QICHIZHO",-768,-768,2,1,1,0,0,2,10,10,2,2
"98",99,"CHWZH460","ZHENGZHO",-767,-767,2,1,1,0,0,2,10,10,2,2
"99",100,"CHWZH470","QINCHINZ",-766,-766,2,2,2,0,0,2,8,10,2,1
"100",101,"CHWZH480","QINCHINZ",-757,-757,2,1,1,0,0,2,10,10,2,2
"101",102,"CHWZH490","QINCRONG",-751,-751,2,2,2,0,0,2,8,10,2,2
"102",103,"CHWZH500","CHUZHOUE",-738,-738,2,1,1,0,0,2,10,10,2,2
"103",104,"CHWZH510","RONGJUNG",-729,-729,2,2,2,0,0,2,8,10,2,2
