"","race","educatn","employm","SES","married","num.chld","military","pr.arrst","plea","sentence","defense","dp.sght","jdge.dec","pen.phse","did.appl","out.appl","vict.sex","pr.incrc","vict.age","vict.rel","vict.st1","vict.st2","specialA","methodA","num.kill","num.prps","def.age","aggrevat","bloody","fam.lov","insane","mitcir","num.depr","rape"
"150",0,1,1,1,0,4,1,0,0,0,2,1,0,0,0,9,2,2,0,0,0,9,1,1,1,0,6,0,0,1,0,1,0,0
"152",0,1,0,0,0,9,1,1,0,0,2,1,0,0,0,9,1,2,0,0,0,9,0,1,1,0,6,0,0,0,0,1,0,0
"153",1,2,0,1,1,4,1,1,0,1,2,2,0,1,1,2,1,2,0,0,0,9,0,1,1,0,4,0,0,0,0,1,1,0
"154",1,1,1,1,0,1,0,1,0,1,1,2,0,1,1,2,1,1,0,0,0,9,1,1,1,0,2,0,1,0,0,1,0,0
"155",1,2,1,1,0,0,0,3,0,1,2,2,0,1,1,2,1,2,0,0,0,9,1,1,1,0,3,0,0,0,0,1,1,0
"156",0,1,0,1,1,2,1,1,0,1,2,2,0,1,1,2,2,2,0,0,0,9,1,2,1,0,3,0,1,1,1,1,3,1
"157",0,1,0,1,1,4,1,2,0,1,1,2,0,1,1,2,1,1,0,0,0,9,0,1,1,1,3,0,0,1,0,1,2,0
"159",0,1,1,0,1,2,1,18,0,1,1,2,0,1,1,2,1,1,0,0,1,9,0,17,1,4,6,0,0,0,0,1,0,0
"160",1,1,0,0,0,8,1,3,0,1,2,2,0,1,1,2,1,2,0,0,0,9,0,1,2,0,4,0,0,0,1,1,1,0
"161",1,1,0,1,1,3,0,0,0,1,2,2,0,1,1,2,1,2,0,0,0,25,0,1,1,0,3,0,1,0,0,0,0,0
"162",0,1,1,0,1,2,1,12,0,1,1,2,0,1,1,2,1,1,0,1,1,9,0,1,3,4,4,0,0,0,0,0,1,0
"164",0,2,0,1,0,4,1,10,0,1,1,2,0,1,1,2,1,1,0,1,1,9,0,1,3,2,5,0,0,0,0,1,1,0
"165",1,1,1,1,0,4,1,1,0,1,1,2,0,1,1,2,1,2,0,0,0,9,1,1,1,0,4,0,0,0,0,1,0,0
"166",1,2,1,1,1,1,0,7,0,1,2,2,0,1,1,2,2,1,0,0,0,9,1,14,1,0,4,1,0,0,0,0,1,0
"167",1,2,0,1,1,4,0,3,0,1,2,2,0,1,1,2,1,1,0,0,1,9,1,1,1,0,3,0,0,0,0,0,0,0
"169",1,1,0,1,1,3,-1,0,0,1,2,2,0,1,1,2,1,2,0,0,0,9,1,5,1,0,3,1,1,0,0,1,3,0
"172",1,1,1,1,0,0,1,2,0,1,1,2,0,1,1,2,1,2,0,0,0,9,0,1,1,0,3,0,0,0,0,1,1,0
"173",1,1,1,0,0,2,1,0,0,1,2,2,0,1,1,1,1,2,0,0,1,9,1,1,1,0,3,0,0,0,0,1,0,0
"175",0,1,0,1,1,7,1,0,0,0,1,2,0,0,1,4,1,2,1,1,0,9,1,3,1,0,4,1,0,1,0,1,2,0
"176",0,2,0,0,0,2,1,18,0,1,2,1,0,0,1,7,1,1,0,1,0,9,1,1,1,5,5,0,0,0,0,1,2,0
"177",0,3,1,0,1,1,1,13,0,0,1,1,0,0,1,1,1,2,0,1,0,9,1,1,1,5,5,0,0,0,0,0,2,0
"178",0,1,1,0,0,1,1,5,0,1,1,2,0,1,1,1,2,2,0,1,0,9,1,1,2,0,5,0,1,1,1,1,0,0
"179",0,1,1,0,0,2,1,1,0,1,1,2,0,1,1,1,2,2,0,1,0,9,1,1,2,0,5,0,1,1,1,1,0,0
"180",1,1,0,1,0,0,0,1,0,1,2,2,0,1,1,1,2,2,0,0,0,9,0,1,1,0,3,0,0,0,0,1,2,1
"182",1,1,0,0,0,4,0,0,0,1,2,2,0,0,1,1,1,2,0,0,1,9,0,1,1,0,3,0,0,1,0,1,0,0
"185",0,3,1,0,0,2,1,8,0,0,2,1,0,0,0,9,1,1,0,0,1,9,0,1,1,2,3,0,0,0,0,1,0,0
"190",1,1,1,1,0,4,0,0,0,0,2,1,0,0,0,9,2,1,0,0,0,9,1,2,1,0,4,0,0,0,0,1,0,0
"193",0,2,1,1,0,3,0,3,0,0,2,1,0,0,0,9,1,2,0,0,0,9,1,2,1,0,5,0,1,0,0,1,1,0
"196",0,1,0,0,0,9,1,5,0,0,2,1,0,0,0,9,1,2,0,0,0,9,1,1,1,0,6,0,0,0,0,1,0,0
"198",0,3,0,0,0,3,0,1,0,0,1,1,1,0,1,4,2,2,0,0,0,23,1,2,1,0,4,0,0,0,0,1,1,0
"199",0,3,1,0,1,1,0,0,0,0,1,1,0,0,1,4,1,2,0,0,0,9,0,1,1,0,6,0,1,0,1,1,0,0
"201",0,2,0,0,0,0,0,1,0,0,2,2,0,1,1,4,1,2,0,0,0,9,0,1,1,1,2,0,0,0,0,0,0,0
"202",0,3,0,0,1,1,0,0,0,0,1,1,0,0,1,4,1,2,0,1,0,9,1,2,1,0,4,0,1,0,0,1,0,0
"204",0,3,0,0,0,4,1,0,0,0,2,1,0,0,0,9,1,2,0,1,0,9,0,2,1,0,5,0,1,1,0,1,0,0
"205",0,3,0,0,0,2,1,0,0,1,1,2,0,1,0,9,2,2,0,0,0,9,1,1,1,1,3,0,0,1,0,0,1,0
"208",0,2,0,0,1,1,1,1,0,0,1,1,0,0,0,9,2,2,0,1,0,9,1,1,1,3,3,0,0,0,0,0,1,0
"210",1,3,0,0,0,2,1,0,0,0,2,1,0,0,0,9,1,2,0,0,0,9,1,1,1,0,4,0,0,1,0,1,1,0
"211",1,3,0,0,1,0,0,4,0,0,1,1,0,0,1,4,2,2,0,0,0,9,0,2,1,0,5,0,0,0,1,1,0,0
"212",0,1,0,0,1,3,0,3,0,0,2,1,1,0,1,4,1,2,0,0,0,24,1,1,1,1,5,0,0,0,0,1,0,0
"214",0,3,0,0,1,1,0,0,0,0,2,2,0,1,1,4,1,2,1,1,0,24,1,4,1,1,3,1,1,0,1,0,0,0
"215",0,3,0,0,0,0,0,0,0,0,2,1,0,0,1,4,1,2,0,0,0,9,0,1,1,2,3,0,0,0,0,1,1,0
"216",0,3,1,0,1,3,0,1,0,1,1,2,0,1,1,1,1,2,0,1,0,9,0,1,2,2,5,0,1,0,0,1,0,0
"218",1,1,0,1,0,2,0,7,0,0,2,1,0,0,1,4,1,1,0,0,1,9,1,1,2,3,4,0,0,0,0,1,0,0
"220",1,2,0,1,0,2,0,0,0,0,2,1,0,0,0,9,1,1,0,0,0,9,0,1,1,1,2,0,0,0,0,1,0,0
"221",1,3,0,1,1,3,-1,1,0,1,2,2,0,0,1,1,1,2,0,0,0,9,0,1,1,0,3,0,0,0,0,0,1,0
"222",0,3,0,0,0,0,1,4,0,1,2,2,0,1,1,1,2,1,0,0,0,9,1,1,2,3,4,0,0,0,0,0,1,0
"223",0,2,1,0,1,2,0,0,0,0,1,1,0,0,0,9,1,2,0,0,0,9,0,1,3,0,4,0,0,0,0,1,0,0
"224",0,2,1,0,1,2,1,0,0,0,2,1,0,0,0,9,2,1,1,1,0,9,1,4,1,0,4,0,0,0,0,1,2,0
"227",0,1,1,0,0,2,1,9,0,0,2,1,0,0,0,9,2,2,0,1,0,9,1,2,1,0,5,1,0,1,1,1,1,0
"229",1,3,1,0,0,0,1,9,0,0,2,1,0,0,0,9,2,2,0,1,0,9,1,1,1,0,4,0,0,1,0,1,0,0
"230",1,1,0,1,1,9,0,7,0,0,2,1,0,0,1,4,1,1,0,0,0,9,0,1,1,1,4,0,0,0,0,0,0,0
"232",0,1,1,1,1,6,1,3,0,0,1,1,1,0,1,6,1,1,0,0,1,9,0,1,1,2,5,0,0,0,0,1,0,0
"233",1,1,0,1,1,1,1,4,0,0,1,1,0,0,0,9,2,1,0,1,0,9,1,1,1,0,6,0,1,1,0,1,1,0
"234",1,2,0,1,1,2,0,8,0,0,1,2,0,0,0,9,1,1,0,0,0,9,1,1,1,1,4,0,0,0,0,0,0,0
"235",1,1,0,1,0,4,1,3,0,0,2,1,0,0,1,4,2,1,0,1,0,9,1,1,1,0,5,0,0,1,0,1,0,0
"237",0,3,1,0,1,2,1,0,0,0,2,1,0,0,0,9,1,2,0,0,0,9,0,2,1,0,3,0,1,0,0,1,2,1
"238",0,1,0,0,1,3,1,2,0,0,2,1,0,0,1,4,2,1,0,0,0,9,1,1,1,0,5,0,1,0,0,0,1,0
"239",0,1,1,0,1,6,0,2,0,0,1,1,0,0,1,4,2,1,0,0,0,9,1,10,1,0,5,1,0,0,0,0,1,0
"241",0,2,1,0,1,3,0,0,0,1,2,2,0,1,1,2,1,2,0,0,0,9,0,1,1,2,4,0,0,0,0,1,0,0
"242",1,2,1,1,0,3,1,1,0,1,2,2,0,1,0,9,1,2,0,0,0,9,1,1,1,2,3,0,0,0,0,0,2,0
"243",1,3,0,1,1,1,-1,0,0,1,2,2,0,1,1,2,1,2,0,0,1,9,0,1,1,1,2,0,1,0,0,1,2,0
"244",1,3,0,1,0,3,1,2,0,0,2,1,0,0,0,9,1,2,0,0,0,9,1,4,1,2,4,0,0,0,0,1,2,0
"245",1,2,0,1,1,1,-1,1,0,0,2,1,0,0,1,4,1,2,0,0,0,9,1,4,1,2,3,0,0,0,0,1,2,0
"249",0,1,1,1,1,3,1,0,0,0,2,1,0,0,1,4,2,2,0,0,0,9,1,4,1,0,5,0,0,0,1,1,2,0
"250",1,2,1,0,1,1,0,0,0,1,2,2,0,1,1,1,1,2,0,0,0,9,0,2,1,0,3,1,1,0,0,1,2,0
"254",1,2,1,1,1,1,0,7,0,0,1,2,0,1,1,4,2,2,0,0,0,9,0,1,1,0,3,1,0,0,0,0,1,1
"258",0,1,0,0,0,4,1,0,0,0,1,2,0,1,0,9,2,2,0,1,0,9,1,1,1,0,6,0,1,1,0,1,0,0
"260",1,3,1,0,1,1,0,0,0,0,1,1,0,0,0,9,1,2,0,0,0,9,0,8,1,0,2,0,0,0,0,1,1,0
"263",0,3,0,1,1,1,1,0,0,0,2,1,0,0,0,9,2,2,0,1,0,9,1,1,1,0,4,0,0,1,0,1,1,0
"264",0,3,0,1,1,3,1,7,0,0,2,1,0,0,1,4,1,2,0,0,0,9,1,1,1,0,4,0,0,0,1,1,0,0
"265",1,2,1,1,0,0,-1,1,0,0,2,2,0,1,1,2,1,2,0,0,0,9,0,2,2,0,2,0,1,0,0,0,0,0
"266",1,2,1,1,0,0,-1,1,0,1,2,2,0,1,1,2,1,2,0,0,0,9,0,2,2,0,2,0,1,0,0,0,0,0
"268",0,2,1,0,0,1,1,0,0,0,1,1,0,0,0,9,1,2,0,0,0,9,1,1,1,0,2,0,1,0,0,1,0,0
"269",0,1,0,0,0,4,1,3,0,0,1,1,0,0,1,4,2,2,0,1,0,9,0,1,1,0,5,0,0,0,0,1,0,0
"273",0,3,0,0,0,0,1,6,0,1,2,2,0,1,1,1,2,2,0,0,0,9,1,1,3,3,2,0,1,0,0,0,5,1
"274",0,1,1,0,0,0,0,8,0,1,2,2,0,1,1,1,2,2,0,0,0,9,0,1,4,3,4,0,1,0,0,0,4,1
"275",1,1,1,1,1,0,1,5,0,1,2,2,0,1,1,1,2,2,0,0,1,9,1,1,1,3,4,0,1,0,0,0,4,1
"276",1,3,1,1,0,1,1,0,0,0,1,2,0,1,0,9,2,2,0,0,0,9,1,14,1,0,3,1,0,0,0,0,2,0
"277",0,1,1,0,0,5,1,0,0,0,1,1,1,0,1,4,2,2,0,1,0,24,1,1,1,0,5,1,1,0,0,1,0,0
"278",1,1,1,1,0,1,1,1,0,0,2,1,0,0,0,9,1,1,0,0,0,9,0,1,1,1,3,0,0,0,0,1,0,0
"279",1,3,1,0,0,0,0,2,0,0,1,1,0,0,1,4,1,2,0,0,0,9,0,1,1,0,2,0,0,0,0,1,1,0
"281",1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,4,2,2,0,1,0,24,1,4,1,0,1,1,0,0,1,0,1,0
"282",0,2,0,0,0,0,1,1,0,1,2,2,0,1,1,1,1,2,0,0,0,9,1,1,2,1,4,0,0,0,0,1,1,0
"284",0,1,1,0,0,2,1,2,0,0,1,1,0,0,0,9,1,2,0,0,0,9,1,3,1,0,5,1,1,0,0,1,0,0
"285",0,3,1,1,0,1,0,0,0,0,1,2,1,0,1,4,1,2,0,0,0,9,0,1,1,0,5,0,0,0,0,1,0,0
"286",1,1,0,0,1,1,-1,17,0,1,2,2,0,1,1,1,1,2,0,0,1,18,0,1,1,3,4,0,0,0,0,1,0,0
"287",1,2,1,1,1,2,1,13,0,0,2,1,0,1,0,9,1,1,0,0,1,9,0,1,1,3,4,0,0,0,0,0,0,0
"290",1,3,0,0,0,1,1,0,0,0,2,2,0,1,1,4,1,2,0,0,1,9,1,1,1,0,2,0,0,0,0,1,0,0
"291",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,9,1,2,0,1,0,9,1,1,1,0,4,0,0,1,0,1,0,0
"293",0,2,0,1,0,3,1,4,0,0,2,2,0,1,1,4,2,2,0,1,0,9,0,1,1,0,4,1,0,0,0,1,1,0
"296",0,2,0,0,1,2,0,0,0,0,2,1,0,0,1,4,2,2,1,1,0,24,1,4,1,0,2,1,0,0,1,1,1,0
"298",0,2,0,0,0,0,0,1,0,1,1,2,0,1,1,1,2,2,0,0,0,9,0,1,1,0,2,0,0,0,0,0,1,0
"299",0,2,0,0,0,0,0,11,0,1,2,2,0,1,1,2,1,1,0,0,0,9,0,1,1,1,4,0,0,0,0,0,0,0
"300",0,2,0,0,0,0,1,1,0,1,2,2,0,1,1,2,1,2,0,0,0,9,0,1,1,1,3,0,0,0,0,1,0,0
"301",0,1,1,1,0,3,1,0,0,0,2,2,0,1,0,9,2,2,1,1,0,9,1,1,1,0,6,0,0,0,0,1,0,0
"315",0,3,1,0,0,1,1,7,0,0,2,2,1,1,1,4,1,2,0,0,0,9,0,2,1,2,4,1,1,0,0,1,4,0
