"","CASE_NO","CASE_ID","WAR_NAME","ONSET","TERM","EXTENT","ETHNIC","DIVERSE","ALLIANCE","DYADS","POL.LEV","COMPLEX","POLAR","BALANCE","TEMPOR","SCOPE","DURATION"
"58",58,"CHWZH050","QINZHOUQ",-1101,-1101,2,1,1,0,0,2,10,3,2,2,3.40119738166216,1
"59",59,"CHWZH060","ZHOUCHU",-1036,-1036,2,1,1,0,0,2,10,3,3,1,3.40119738166216,1
"60",60,"CHWZH070","ZHOUEDOG",-989,-989,5,2,2,1,6,2,8,3,2,1,3.3322045101752,1
"61",61,"CHWZH080","ZHOUEWES",-988,-988,3,2,2,1,1,2,8,3,2,1,3.3322045101752,1
"62",62,"CHWZH090","XURONGSJ",-988,-988,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"63",63,"CHWZH100","BIZHOUZH",-987,-987,2,1,1,0,0,2,10,3,1,4,3.40119738166216,1
"64",64,"CHWZH110","ZHOUXURO",-987,-987,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"65",65,"CHWZH120","ZHOUDOGR",-984,-984,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"66",66,"CHWZH130","XUZHOUJI",-966,-966,3,1,1,1,1,2,10,3,1,4,3.40119738166216,1
"67",67,"CHWZH140","ZHOUCHUY",-964,-964,3,1,1,1,1,2,10,2,3,1,3.40119738166216,1
"68",68,"CHWZH150","ZHOUEMPC",-942,-942,2,1,1,0,0,2,10,2,2,2,3.40119738166216,1
"69",69,"CHWZH160","WESTRONG",-927,-927,2,2,2,0,0,2,8,2,1,1,3.3322045101752,1
"70",70,"CHWZH170","ZHAIZHOU",-921,-921,2,1,1,0,0,2,10,2,2,4,3.40119738166216,1
"71",71,"CHWZH180","ZHOUEDOG",-913,-913,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"72",72,"CHWZH190","ZHOUEWES",-909,-909,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"73",73,"CHWZH200","ZHOUETUR",-891,-891,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"74",74,"CHWZH210","CHUZHOUY",-887,-887,2,1,1,0,0,2,10,2,2,4,3.40119738166216,1
"75",75,"CHWZH220","HUAIYIEL",-875,-875,2,2,2,0,0,2,9,2,2,1,3.36729582998647,1
"76",76,"CHWZH230","HUAIHWAI",-867,-867,2,2,2,0,0,2,8,2,2,4,3.3322045101752,1
"77",77,"CHWZH240","XIONGNUX",-864,-864,2,2,2,0,0,2,9,2,2,1,3.36729582998647,1
"78",78,"CHWZH250","ZHOUPEOP",-841,-841,2,1,1,0,0,1,NA,2,NA,NA,NA,1
"79",79,"CHWZH260","ZHOUEWES",-825,-825,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"80",80,"CHWZH270","ZHOUEJIN",-823,-823,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"81",81,"CHWZH280","ZHOUEXIO",-823,-823,2,2,2,0,0,2,9,3,2,1,3.36729582998647,1
"82",82,"CHWZH290","ZHOUEXUR",-822,-822,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"83",83,"CHWZH300","ZHOUEHIA",-822,-822,3,2,2,1,1,2,9,3,2,1,3.36729582998647,1
"84",84,"CHWZH310","ZHOULU",-796,-796,2,1,1,0,0,2,10,2,2,4,3.40119738166216,1
"85",85,"CHWZH320","ZHOUERON",-795,-795,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"86",86,"CHWZH330","ZHOUETIA",-790,-790,4,2,2,2,2,2,8,2,2,1,3.3322045101752,1
"87",87,"CHWZH340","ZHOUQIAN",-789,-789,2,2,2,0,0,2,8,2,2,1,3.3322045101752,1
"88",88,"CHWZH350","QINCHINZ",-788,-788,2,2,2,0,0,2,8,10,2,1,3.3322045101752,1
"89",89,"CHWZH360","RONGSJUN",-788,-788,2,2,2,0,0,2,8,10,1,1,3.3322045101752,1
"90",90,"CHWZH370","SHENWEST",-787,-787,3,2,2,1,1,2,8,10,2,1,3.3322045101752,1
"91",91,"CHWZH380","KUAIZHOU",-780,-780,2,1,1,0,0,2,10,10,2,4,3.40119738166216,1
"92",92,"CHWZH390","QINZHOUW",-778,-778,2,2,2,0,0,2,8,10,2,1,3.3322045101752,1
"93",93,"CHWZH400","WESTRONG",-776,-776,2,2,2,0,0,2,8,10,2,1,3.3322045101752,1
"94",94,"CHWZH410","ZHOUEWES",-776,-776,2,2,2,0,0,2,8,10,2,1,3.3322045101752,1
"95",95,"CHWZH420","GUOZHOUC",-775,-775,2,1,1,0,0,2,10,10,1,2,3.40119738166216,1
"96",96,"CHWZH430","ZHOUEMPC",-772,-772,2,1,1,0,0,2,10,10,2,2,3.40119738166216,1
"97",97,"CHWZH440","ZHOUDOGR",-771,-770,3,2,2,1,1,2,10,10,2,1,3.40119738166216,2
"98",98,"CHWZH450","QICHIZHO",-768,-768,2,1,1,0,0,2,10,10,2,2,3.40119738166216,1
"99",99,"CHWZH460","ZHENGZHO",-767,-767,2,1,1,0,0,2,10,10,2,2,3.40119738166216,1
"100",100,"CHWZH470","QINCHINZ",-766,-766,2,2,2,0,0,2,8,10,2,1,3.3322045101752,1
"101",101,"CHWZH480","QINCHINZ",-757,-757,2,1,1,0,0,2,10,10,2,2,3.40119738166216,1
"102",102,"CHWZH490","QINCRONG",-751,-751,2,2,2,0,0,2,8,10,2,2,3.3322045101752,1
"103",103,"CHWZH500","CHUZHOUE",-738,-738,2,1,1,0,0,2,10,10,2,2,3.40119738166216,1
"104",104,"CHWZH510","RONGJUNG",-729,-729,2,2,2,0,0,2,8,10,2,2,3.3322045101752,1
