"","band.3","band.4","band.5","band.6","band.7","band.8","band.9","band.10","band.11","band.12","band.13","band.14","band.15","band.16","band.17","band.18","band.19","band.20","band.21","band.22","band.23","band.24","band.25","band.26","band.27","band.28"
"s22",1808,1735,1717,1724,1890,2060,2093,1987,1901,1899,1861,1836,1760,1721,1707,1910,2618,2880,3891,3777,3768,4296,4084,3479,3581,4071
"s23",1660,1567,1501,1576,1989,2386,2410,2111,1759,1639,1467,1328,1168,988,947,1446,3051,4761,8109,8613,8806,9963,9434,7958,8069,9053
"s24",1571,1462,1402,1444,1853,2184,2235,1953,1645,1511,1368,1254,1082,937,884,1326,2772,4215,6999,7358,7490,8496,8031,6783,6860,7746
"s25",1630,1535,1443,1526,1822,2098,2137,1896,1640,1528,1391,1297,1125,1007,991,1356,2642,3807,6197,6468,6573,7406,7056,5921,6029,6820
"s26",2016,2027,1925,1931,2119,2331,2361,2274,2179,2178,2161,2122,2042,2040,2045,2210,2915,3102,4162,4042,4037,4570,4382,3739,3850,4328
"s27",1809,1797,1709,1733,1936,2086,2121,2015,1907,1888,1832,1783,1712,1657,1631,1898,2654,2955,4049,3907,3942,4466,4285,3617,3727,4188
"s28",1615,1587,1509,1542,1730,1901,1929,1818,1685,1656,1638,1564,1449,1382,1386,1692,2600,3085,4309,4222,4244,4789,4575,3876,3965,4460
"s29",1542,1389,1327,1378,1677,1975,2033,1801,1577,1459,1356,1242,1094,969,928,1386,2730,3971,6395,6671,6882,7847,7505,6386,6568,7473
"s30",1542,1421,1361,1386,1632,1828,1859,1678,1476,1402,1292,1201,1064,994,991,1297,2382,3364,5471,5731,5847,6711,6414,5479,5606,6399
"s31",1779,1776,1692,1782,2058,2331,2427,2274,2077,2027,1938,1880,1749,1670,1631,1958,3093,3784,5403,5382,5430,6075,5764,4868,4990,5590
"s32",1601,1505,1427,1518,1738,1976,2023,1858,1680,1633,1562,1528,1394,1313,1280,1633,2737,3421,4884,4842,4870,5517,5281,4410,4512,5076
"s33",1601,1484,1444,1502,1693,1939,1979,1824,1703,1645,1609,1564,1455,1364,1355,1705,2725,3318,4704,4639,4644,5284,5059,4243,4358,4920
"s34",1586,1483,1435,1477,1807,2091,2153,1930,1702,1615,1520,1425,1266,1178,1161,1542,2748,3715,5752,5877,6013,6814,6517,5547,5652,6383
"s35",1453,1400,1294,1370,1586,1841,1870,1678,1487,1402,1315,1273,1125,1058,1029,1381,2476,3421,5414,5641,5787,6595,6359,5448,5591,6368
"s36",1557,1463,1377,1394,1601,1852,1863,1666,1447,1366,1262,1164,1039,962,922,1176,2150,3079,4951,5236,5233,5997,5674,4830,4874,5481
"s37",1720,1609,1576,1617,1891,2098,2132,1993,1839,1819,1762,1722,1614,1504,1506,1850,2927,3512,4963,4887,4882,5530,5281,4456,4543,5154
"s38",1690,1651,1543,1568,1815,2012,2055,1925,1793,1795,1750,1686,1578,1479,1468,1814,2915,3443,4850,4763,4799,5439,5198,4426,4528,5107
"s39",1764,1682,1658,1708,1898,2128,2181,2105,1981,1963,1938,1898,1778,1714,1700,2036,3062,3500,4799,4711,4727,5374,5176,4387,4527,5106
"s40",1615,1509,1492,1521,1848,2159,2227,2043,1835,1748,1661,1573,1417,1329,1311,1723,2964,3855,5819,5933,6033,6877,6555,5615,5756,6566
"s41",1512,1421,1344,1370,1647,1877,1902,1723,1544,1448,1362,1298,1137,1033,1029,1369,2488,3409,5358,5483,5668,6439,6179,5235,5406,6135
"s42",1645,1577,1518,1567,1792,2012,2066,1913,1753,1731,1702,1642,1497,1420,1411,1790,2926,3563,5098,5027,5042,5724,5411,4578,4666,5294
"s43",1601,1526,1477,1518,1754,1902,1979,1835,1680,1656,1562,1552,1419,1351,1355,1669,2702,3352,4794,4752,4775,5426,5184,4365,4451,5091
"s44",1661,1630,1560,1584,1754,1926,1957,1880,1748,1761,1715,1686,1578,1517,1481,1814,2725,3137,4365,4279,4311,4881,4658,3968,4097,4593
