"","substance","dose","unit","response","celltype","plate","ok"
"195","TBT",0.03125,"microM",0.906613,"IPC-81",695,"ok"
"196","TBT",0.015625,"microM",0.833671,"IPC-81",695,"ok"
"197","TBT",0.0078125,"microM",0.902192,"IPC-81",695,"ok"
"198","TBT",0.00390625,"microM",0.831461,"IPC-81",695,"ok"
"199","TBT",1,"microM",0.69884,"IPC-81",695,"ok"
"200","TBT",0.5,"microM",0.981765,"IPC-81",695,"ok"
"201","TBT",0.25,"microM",0.893351,"IPC-81",695,"ok"
"202","TBT",0.125,"microM",0.846933,"IPC-81",695,"ok"
"203","TBT",0.0625,"microM",0.778412,"IPC-81",695,"ok"
"204","TBT",0.03125,"microM",0.871247,"IPC-81",695,"ok"
"205","TBT",0.015625,"microM",0.840302,"IPC-81",695,"ok"
"206","TBT",0.0078125,"microM",0.911033,"IPC-81",695,"ok"
"207","TBT",0.00390625,"microM",0.930927,"IPC-81",695,"ok"
"208","TBT",1,"microM",0.776202,"IPC-81",695,"ok"
"209","TBT",0.5,"microM",0.851354,"IPC-81",695,"ok"
"210","TBT",0.25,"microM",0.851354,"IPC-81",695,"ok"
"211","TBT",0.125,"microM",0.884509,"IPC-81",695,"ok"
"212","TBT",0.0625,"microM",0.840302,"IPC-81",695,"ok"
"213","TBT",0.03125,"microM",0.818199,"IPC-81",695,"ok"
"214","TBT",0.015625,"microM",0.926506,"IPC-81",695,"ok"
"215","TBT",0.0078125,"microM",0.895561,"IPC-81",695,"ok"
"216","TBT",0.00390625,"microM",0.933137,"IPC-81",695,"ok"
