"","substance","dose","unit","response","organism","ok"
"35","IM14 BF4",1000,"microM",0.746399998664856,"Vibrio fischeri","ok"
"36","IM14 BF4",500,"microM",0.789699971675873,"Vibrio fischeri","ok"
"37","IM14 BF4",50000,"microM",0.0166999995708466,"Vibrio fischeri","ok"
"38","IM14 BF4",10000,"microM",0.284900009632111,"Vibrio fischeri","ok"
"39","IM14 BF4",5000,"microM",0.515399992465973,"Vibrio fischeri","ok"
"40","IM14 BF4",2500,"microM",0.626699984073639,"Vibrio fischeri","ok"
"41","IM14 BF4",1000,"microM",0.84060001373291,"Vibrio fischeri","ok"
"42","IM14 BF4",50000,"microM",0.0171000007539988,"Vibrio fischeri","ok"
"43","IM14 BF4",10000,"microM",0.28439998626709,"Vibrio fischeri","ok"
"44","IM14 BF4",5000,"microM",0.442799985408783,"Vibrio fischeri","ok"
"45","IM14 BF4",2500,"microM",0.660899996757507,"Vibrio fischeri","ok"
"46","IM14 BF4",1000,"microM",0.833299994468689,"Vibrio fischeri","ok"
"47","IM14 BF4",500,"microM",1.0132999420166,"Vibrio fischeri","ok"
"48","IM14 BF4",50,"microM",1.06659996509552,"Vibrio fischeri","ok"
"49","IM14 BF4",5,"microM",1.00909996032715,"Vibrio fischeri","ok"
"50","IM14 BF4",50000,"microM",0.0187999997287989,"Vibrio fischeri","ok"
"51","IM14 BF4",10000,"microM",0.268999993801117,"Vibrio fischeri","ok"
"52","IM14 BF4",5000,"microM",0.55510002374649,"Vibrio fischeri","ok"
"53","IM14 BF4",2500,"microM",0.667999982833862,"Vibrio fischeri","ok"
"54","IM14 BF4",1000,"microM",0.841499984264374,"Vibrio fischeri","ok"
"55","IM14 BF4",500,"microM",0.881500005722046,"Vibrio fischeri","ok"
"56","IM14 BF4",50,"microM",1.00349998474121,"Vibrio fischeri","ok"
"57","IM14 BF4",5,"microM",1.02649998664856,"Vibrio fischeri","ok"
"58","IM1-10 BF4",500,"microM",0.000500030990224332,"Vibrio fischeri","ok"
"59","IM1-10 BF4",50,"microM",0.00480003003031015,"Vibrio fischeri","ok"
"60","IM1-10 BF4",5,"microM",0.125900000333786,"Vibrio fischeri","ok"
"61","IM1-10 BF4",2.5,"microM",0.210299998521805,"Vibrio fischeri","ok"
"62","IM1-10 BF4",0.5,"microM",0.567799985408783,"Vibrio fischeri","ok"
"63","IM1-10 BF4",0.25,"microM",0.686900019645691,"Vibrio fischeri","ok"
"64","IM1-10 BF4",500,"microM",0.000400009012082592,"Vibrio fischeri","ok"
"65","IM1-10 BF4",50,"microM",0.00529999006539583,"Vibrio fischeri","ok"
"66","IM1-10 BF4",5,"microM",0.126499995589256,"Vibrio fischeri","ok"
"67","IM1-10 BF4",2.5,"microM",0.28099998831749,"Vibrio fischeri","ok"
"68","IM1-10 BF4",0.5,"microM",0.559899985790253,"Vibrio fischeri","ok"
"69","IM1-10 BF4",0.25,"microM",0.703999996185303,"Vibrio fischeri","ok"
"70","IM1-10 BF4",0.00499999988824129,"microM",1.00390005111694,"Vibrio fischeri","ok"
"71","IM1-10 BF4",0.000500000023748726,"microM",1.06379997730255,"Vibrio fischeri","ok"
"72","IM1-10 BF4",4.99999987368938e-05,"microM",1.06690001487732,"Vibrio fischeri","ok"
"73","IM1-10 BF4",4.99999998737621e-07,"microM",1.01170003414154,"Vibrio fischeri","ok"
"74","IM1-10 BF4",0.000500000023748726,"microM",1.04149997234344,"Vibrio fischeri","ok"
"75","IM1-10 BF4",4.99999987368938e-05,"microM",1.06470000743866,"Vibrio fischeri","ok"
"76","IM1-10 BF4",4.99999987368938e-06,"microM",1.0058000087738,"Vibrio fischeri","ok"
"77","IM1-10 BF4",4.99999998737621e-07,"microM",0.888999998569489,"Vibrio fischeri","ok"
"78","IM16 BF4",50000,"microM",0.000199966001673602,"Vibrio fischeri","ok"
"79","IM16 BF4",5000,"microM",0.131400004029274,"Vibrio fischeri","ok"
"80","IM16 BF4",500,"microM",0.837400019168854,"Vibrio fischeri","ok"
"81","IM16 BF4",5,"microM",1.02450001239777,"Vibrio fischeri","ok"
"82","IM16 BF4",0.5,"microM",1.04970002174377,"Vibrio fischeri","ok"
"83","IM16 BF4",50000,"microM",0.000199966001673602,"Vibrio fischeri","ok"
"84","IM16 BF4",5000,"microM",0.130700007081032,"Vibrio fischeri","ok"
"85","IM16 BF4",500,"microM",0.835300028324127,"Vibrio fischeri","ok"
"86","IM16 BF4",5,"microM",1.02600002288818,"Vibrio fischeri","ok"
"87","IM16 BF4",0.5,"microM",1.00789999961853,"Vibrio fischeri","ok"
"88","IM16 BF4",2500,"microM",0.334899991750717,"Vibrio fischeri","ok"
"89","IM16 BF4",2000,"microM",0.405800014734268,"Vibrio fischeri","ok"
"90","IM16 BF4",1500,"microM",0.509100019931793,"Vibrio fischeri","ok"
"91","IM16 BF4",1000,"microM",0.617900013923645,"Vibrio fischeri","ok"
"92","IM16 BF4",500,"microM",0.835600018501282,"Vibrio fischeri","ok"
"93","IM16 BF4",0.5,"microM",1.04499995708466,"Vibrio fischeri","ok"
"94","IM16 BF4",0.0500000007450581,"microM",1.0867999792099,"Vibrio fischeri","ok"
"95","IM16 BF4",0.00499999988824129,"microM",1.08120000362396,"Vibrio fischeri","ok"
"96","IM16 BF4",2500,"microM",0.339899986982346,"Vibrio fischeri","ok"
"97","IM16 BF4",2000,"microM",0.412999987602234,"Vibrio fischeri","ok"
"98","IM16 BF4",1500,"microM",0.510500013828278,"Vibrio fischeri","ok"
"99","IM16 BF4",1000,"microM",0.630400002002716,"Vibrio fischeri","ok"
"100","IM16 BF4",500,"microM",0.858399987220764,"Vibrio fischeri","ok"
"101","IM16 BF4",0.5,"microM",1.04040002822876,"Vibrio fischeri","ok"
"102","IM16 BF4",0.0500000007450581,"microM",1.09019994735718,"Vibrio fischeri","ok"
"103","IM16 BF4",0.00499999988824129,"microM",1.07089996337891,"Vibrio fischeri","ok"
"104","IM16 BF4",0.000500000023748726,"microM",1.06379997730255,"Vibrio fischeri","ok"
"105","IM16 BF4",4.99999987368938e-05,"microM",1.0673999786377,"Vibrio fischeri","ok"
"106","IM16 BF4",0.000500000023748726,"microM",1.09519994258881,"Vibrio fischeri","ok"
"107","IM16 BF4",4.99999987368938e-05,"microM",1.05079996585846,"Vibrio fischeri","ok"
"108","IM18 BF4",500,"microM",0.00669997977092862,"Vibrio fischeri","ok"
"109","IM18 BF4",50,"microM",0.420899987220764,"Vibrio fischeri","ok"
"110","IM18 BF4",5,"microM",0.824400007724762,"Vibrio fischeri","ok"
"111","IM18 BF4",2.5,"microM",0.841300010681152,"Vibrio fischeri","ok"
"112","IM18 BF4",0.5,"microM",1.01339995861053,"Vibrio fischeri","ok"
"113","IM18 BF4",0.0500000007450581,"microM",1.01300001144409,"Vibrio fischeri","ok"
"114","IM18 BF4",500,"microM",0.00720001012086868,"Vibrio fischeri","ok"
"115","IM18 BF4",50,"microM",0.456299990415573,"Vibrio fischeri","ok"
"116","IM18 BF4",5,"microM",0.840300023555756,"Vibrio fischeri","ok"
"117","IM18 BF4",0.0500000007450581,"microM",1.05770003795624,"Vibrio fischeri","ok"
"118","IM18 BF4",0.00499999988824129,"microM",1.03770005702972,"Vibrio fischeri","ok"
"119","IM18 BF4",100,"microM",0.168300002813339,"Vibrio fischeri","ok"
"120","IM18 BF4",25,"microM",0.51639997959137,"Vibrio fischeri","ok"
"121","IM18 BF4",10,"microM",0.587400019168854,"Vibrio fischeri","ok"
"122","IM18 BF4",100,"microM",0.172999992966652,"Vibrio fischeri","ok"
"123","IM18 BF4",25,"microM",0.532299995422363,"Vibrio fischeri","ok"
"124","IM18 BF4",10,"microM",0.683099985122681,"Vibrio fischeri","ok"
"125","IM19 BF4",500,"microM",0.000299987994367257,"Vibrio fischeri","ok"
"126","IM19 BF4",100,"microM",0.00989998038858175,"Vibrio fischeri","ok"
"127","IM19 BF4",50,"microM",0.0471000000834465,"Vibrio fischeri","ok"
"128","IM19 BF4",25,"microM",0.147900000214577,"Vibrio fischeri","ok"
"129","IM19 BF4",10,"microM",0.372900009155273,"Vibrio fischeri","ok"
"130","IM19 BF4",5,"microM",0.501600027084351,"Vibrio fischeri","ok"
"131","IM19 BF4",2.5,"microM",0.665600001811981,"Vibrio fischeri","ok"
"132","IM19 BF4",500,"microM",0.000299987994367257,"Vibrio fischeri","ok"
"133","IM19 BF4",100,"microM",0.0107000004500151,"Vibrio fischeri","ok"
"134","IM19 BF4",50,"microM",0.0504000000655651,"Vibrio fischeri","ok"
"135","IM19 BF4",25,"microM",0.154200002551079,"Vibrio fischeri","ok"
"136","IM19 BF4",10,"microM",0.383700013160706,"Vibrio fischeri","ok"
"137","IM19 BF4",5,"microM",0.537199974060059,"Vibrio fischeri","ok"
"138","IM19 BF4",2.5,"microM",0.660799980163574,"Vibrio fischeri","ok"
"139","IM19 BF4",0.5,"microM",0.876200020313263,"Vibrio fischeri","ok"
"140","IM19 BF4",0.0500000007450581,"microM",1.01540005207062,"Vibrio fischeri","ok"
"141","IM19 BF4",0.000500000023748726,"microM",1.01349997520447,"Vibrio fischeri","ok"
"142","IM19 BF4",4.99999987368938e-05,"microM",1.0463000535965,"Vibrio fischeri","ok"
"143","IM19 BF4",4.99999987368938e-06,"microM",1.01569998264313,"Vibrio fischeri","ok"
"144","IM19 BF4",0.00499999988824129,"microM",1.03620004653931,"Vibrio fischeri","ok"
"145","IM19 BF4",0.000500000023748726,"microM",1.01230001449585,"Vibrio fischeri","ok"
"146","IM19 BF4",4.99999987368938e-05,"microM",1.05820000171661,"Vibrio fischeri","ok"
"147","IM17 BF4",50000,"microM",0.00010002100316342,"Vibrio fischeri","ok"
"148","IM17 BF4",5000,"microM",0.000199966001673602,"Vibrio fischeri","ok"
"149","IM17 BF4",500,"microM",0.363599985837936,"Vibrio fischeri","ok"
"150","IM17 BF4",50,"microM",0.888800024986267,"Vibrio fischeri","ok"
"151","IM17 BF4",5,"microM",1.05190002918243,"Vibrio fischeri","ok"
"152","IM17 BF4",0.5,"microM",1.08329999446869,"Vibrio fischeri","ok"
"153","IM17 BF4",0.0500000007450581,"microM",1.03340005874634,"Vibrio fischeri","ok"
"154","IM17 BF4",50000,"microM",0.000199966001673602,"Vibrio fischeri","ok"
"155","IM17 BF4",5000,"microM",0.000199966001673602,"Vibrio fischeri","ok"
"156","IM17 BF4",500,"microM",0.359400004148483,"Vibrio fischeri","ok"
"157","IM17 BF4",50,"microM",0.898400008678436,"Vibrio fischeri","ok"
"158","IM17 BF4",5,"microM",1.04550004005432,"Vibrio fischeri","ok"
"159","IM17 BF4",0.5,"microM",1.04809999465942,"Vibrio fischeri","ok"
"160","IM17 BF4",0.0500000007450581,"microM",1.03269994258881,"Vibrio fischeri","ok"
"161","IM17 BF4",1000,"microM",0.154200002551079,"Vibrio fischeri","ok"
"162","IM17 BF4",250,"microM",0.552600026130676,"Vibrio fischeri","ok"
"163","IM17 BF4",100,"microM",0.625699996948242,"Vibrio fischeri","ok"
"164","IM17 BF4",1000,"microM",0.156299993395805,"Vibrio fischeri","ok"
"165","IM17 BF4",250,"microM",0.571799993515015,"Vibrio fischeri","ok"
"166","IM17 BF4",100,"microM",0.750800013542175,"Vibrio fischeri","ok"
"167","IM13 BF4",50000,"microM",0.0494999997317791,"Vibrio fischeri","ok"
"168","IM13 BF4",10000,"microM",0.519299983978271,"Vibrio fischeri","ok"
"169","IM13 BF4",5000,"microM",0.723100006580353,"Vibrio fischeri","ok"
"170","IM13 BF4",2500,"microM",0.75,"Vibrio fischeri","ok"
"171","IM13 BF4",1500,"microM",0.850499987602234,"Vibrio fischeri","ok"
"172","IM13 BF4",50,"microM",1.00080001354218,"Vibrio fischeri","ok"
"173","IM13 BF4",50000,"microM",0.047800000756979,"Vibrio fischeri","ok"
"174","IM13 BF4",10000,"microM",0.572799980640411,"Vibrio fischeri","ok"
"175","IM13 BF4",5000,"microM",0.694999992847443,"Vibrio fischeri","ok"
"176","IM13 BF4",2500,"microM",0.785099983215332,"Vibrio fischeri","ok"
"177","IM13 BF4",1500,"microM",0.866500020027161,"Vibrio fischeri","ok"
"178","IM13 BF4",500,"microM",0.845099985599518,"Vibrio fischeri","ok"
"179","IM13 BF4",25000,"microM",0.159099996089935,"Vibrio fischeri","ok"
"180","IM13 BF4",0.000500000023748726,"microM",1.083899974823,"Vibrio fischeri","ok"
"181","IM13 BF4",25000,"microM",0.135000005364418,"Vibrio fischeri","ok"
"182","IM13 BF4",500,"microM",1.03110003471375,"Vibrio fischeri","ok"
"183","IM13 BF4",50,"microM",1.00279998779297,"Vibrio fischeri","ok"
"184","IM13 BF4",5,"microM",1.00870001316071,"Vibrio fischeri","ok"
"185","IM13 BF4",0.5,"microM",1.00740003585815,"Vibrio fischeri","ok"
"186","IM13 BF4",0.0500000007450581,"microM",1.01929998397827,"Vibrio fischeri","ok"
"187","IM13 BF4",0.000500000023748726,"microM",1.02980005741119,"Vibrio fischeri","ok"
"188","IM13 BF4",4.99999987368938e-06,"microM",1.04670000076294,"Vibrio fischeri","ok"
"189","IM15 BF4",50000,"microM",0.000199966001673602,"Vibrio fischeri","ok"
"190","IM15 BF4",5000,"microM",0.162799999117851,"Vibrio fischeri","ok"
"191","IM15 BF4",2500,"microM",0.316900014877319,"Vibrio fischeri","ok"
"192","IM15 BF4",1000,"microM",0.648599982261658,"Vibrio fischeri","ok"
"193","IM15 BF4",500,"microM",0.777300000190735,"Vibrio fischeri","ok"
"194","IM15 BF4",5,"microM",1.02400004863739,"Vibrio fischeri","ok"
"195","IM15 BF4",0.5,"microM",1.02030003070831,"Vibrio fischeri","ok"
"196","IM15 BF4",50000,"microM",0.000199966001673602,"Vibrio fischeri","ok"
"197","IM15 BF4",5000,"microM",0.163800001144409,"Vibrio fischeri","ok"
"198","IM15 BF4",2500,"microM",0.327499985694885,"Vibrio fischeri","ok"
"199","IM15 BF4",1000,"microM",0.654399991035461,"Vibrio fischeri","ok"
"200","IM15 BF4",500,"microM",0.780399978160858,"Vibrio fischeri","ok"
"201","IM15 BF4",5,"microM",1.03620004653931,"Vibrio fischeri","ok"
"202","IM15 BF4",0.5,"microM",1.02409994602203,"Vibrio fischeri","ok"
"203","IM15 BF4",5000,"microM",0.121699996292591,"Vibrio fischeri","ok"
"204","IM15 BF4",1000,"microM",0.586899995803833,"Vibrio fischeri","ok"
"205","IM15 BF4",500,"microM",0.753600001335144,"Vibrio fischeri","ok"
"206","IM15 BF4",5000,"microM",0.12720000743866,"Vibrio fischeri","ok"
"207","IM15 BF4",1000,"microM",0.600300014019012,"Vibrio fischeri","ok"
"208","IM15 BF4",500,"microM",0.752699971199036,"Vibrio fischeri","ok"
