"","s.v.i.b"
"187","5,1,27,3"
"188","5,1,27,4"
"189","5,1,27,5"
"190","5,1,28,4"
"191","5,1,28,11"
"192","5,1,28,13"
"193","5,1,28,18"
"194","5,1,29,26"
"195","5,1,29,28"
"196","5,1,29,30"
"197","5,1,29,31"
"198","5,1,30,20"
"199","5,1,30,22"
"200","5,1,30,27"
"201","5,1,30,28"
"202","5,1,31,31"
"203","5,1,31,35"
"204","5,1,31,40"
"205","5,1,31,41"
"206","5,1,32,18"
"207","5,1,32,27"
"208","5,1,32,41"
"209","5,1,32,42"
"210","5,1,32,43"
"211","6,0,1,10"
"212","6,0,1,19"
"213","6,0,1,45"
"214","6,0,1,65"
"215","6,0,1,102"
"216","6,0,1,123"
"217","6,0,2,10"
"218","6,0,2,28"
"219","6,0,2,46"
"220","6,0,2,72"
"221","6,0,2,101"
"222","6,0,3,9"
"223","6,0,3,45"
"224","6,0,3,66"
"225","6,0,3,114"
"226","6,0,4,9"
"227","6,0,4,25"
"228","6,0,4,46"
"229","6,0,4,71"
"230","6,0,4,115"
"231","6,0,5,20"
"232","6,0,5,44"
"233","6,0,5,65"
"234","6,0,6,27"
"235","6,0,6,47"
"236","6,0,6,72"
"237","6,0,7,21"
"238","6,0,7,44"
"239","6,0,7,66"
"240","6,0,7,113"
"241","6,0,8,26"
"242","6,0,8,47"
"243","6,0,8,71"
"244","6,0,9,19"
"245","6,0,9,38"
"246","6,0,9,64"
"247","6,0,9,93"
"248","6,0,9,124"
"249","6,0,10,28"
"250","6,0,10,73"
"251","6,0,10,100"
"252","6,0,11,38"
"253","6,0,11,92"
"254","6,0,11,107"
"255","6,0,12,25"
"256","6,0,12,70"
"257","6,0,12,116"
"258","6,0,13,20"
"259","6,0,13,43"
"260","6,0,13,64"
"261","6,0,13,94"
"262","6,0,13,111"
"263","6,0,14,27"
"264","6,0,14,48"
"265","6,0,14,73"
"266","6,0,14,99"
"267","6,0,15,21"
"268","6,0,15,43"
"269","6,0,15,112"
"270","6,0,16,26"
"271","6,0,16,48"
"272","6,0,16,70"
"273","6,0,16,98"
"274","6,0,16,117"
"275","6,0,17,1"
"276","6,0,17,36"
"277","6,0,17,84"
"278","6,0,17,103"
"279","6,0,17,123"
"280","6,0,18,1"
"281","6,0,18,35"
"282","6,0,18,85"
"283","6,0,19,8"
"284","6,0,19,67"
"285","6,0,19,114"
"286","6,0,20,8"
"287","6,0,20,24"
"288","6,0,20,68"
"289","6,0,20,115"
"290","6,0,21,18"
"291","6,0,21,84"
"292","6,0,21,104"
"293","6,0,22,18"
"294","6,0,22,34"
"295","6,0,22,85"
"296","6,0,22,105"
"297","6,0,23,7"
"298","6,0,23,22"
"299","6,0,23,67"
"300","6,0,23,113"
"301","6,0,24,7"
"302","6,0,24,23"
"303","6,0,24,68"
"304","6,0,25,2"
"305","6,0,25,36"
"306","6,0,25,37"
"307","6,0,25,90"
"308","6,0,25,124"
"309","6,0,26,2"
"310","6,0,26,35"
"311","6,0,26,86"
"312","6,0,26,89"
"313","6,0,27,37"
"314","6,0,27,91"
"315","6,0,27,107"
"316","6,0,28,24"
"317","6,0,28,69"
"318","6,0,28,116"
"319","6,0,29,42"
"320","6,0,29,95"
"321","6,0,29,111"
"322","6,0,30,34"
"323","6,0,30,86"
"324","6,0,30,106"
"325","6,0,31,6"
"326","6,0,31,22"
"327","6,0,31,42"
"328","6,0,31,96"
"329","6,0,31,112"
"330","6,0,32,6"
"331","6,0,32,23"
"332","6,0,32,69"
"333","6,0,32,97"
"334","6,0,32,117"
"335","6,0,33,11"
"336","6,0,33,54"
"337","6,0,33,78"
"338","6,0,33,102"
"339","6,0,33,122"
"340","6,0,34,11"
"341","6,0,34,29"
"342","6,0,34,51"
"343","6,0,34,77"
"344","6,0,34,101"
"345","6,0,35,54"
"346","6,0,35,79"
"347","6,0,35,121"
"348","6,0,36,30"
"349","6,0,36,51"
"350","6,0,36,76"
"351","6,0,37,12"
"352","6,0,37,53"
"353","6,0,37,78"
"354","6,0,38,12"
"355","6,0,38,52"
"356","6,0,38,77"
"357","6,0,39,13"
"358","6,0,39,53"
"359","6,0,39,79"
"360","6,0,39,120"
"361","6,0,40,13"
"362","6,0,40,31"
"363","6,0,40,52"
"364","6,0,40,76"
"365","6,0,40,119"
"366","6,0,41,39"
"367","6,0,41,63"
"368","6,0,41,93"
"369","6,0,42,29"
"370","6,0,42,50"
"371","6,0,42,74"
"372","6,0,42,100"
"373","6,0,43,39"
"374","6,0,43,62"
"375","6,0,43,92"
"376","6,0,43,108"
"377","6,0,44,30"
"378","6,0,44,50"
"379","6,0,44,75"
"380","6,0,45,40"
"381","6,0,45,63"
"382","6,0,45,94"
"383","6,0,45,110"
"384","6,0,46,49"
"385","6,0,46,74"
"386","6,0,46,99"
"387","6,0,47,40"
"388","6,0,47,62"
"389","6,0,47,109"
"390","6,0,48,31"
"391","6,0,48,49"
"392","6,0,48,75"
"393","6,0,48,98"
"394","6,0,48,118"
"395","6,0,49,16"
"396","6,0,49,55"
"397","6,0,49,83"
"398","6,0,49,103"
"399","6,0,49,122"
"400","6,0,50,16"
"401","6,0,50,56"
"402","6,0,50,82"
"403","6,0,51,15"
"404","6,0,51,55"
"405","6,0,51,80"
"406","6,0,51,121"
"407","6,0,52,15"
"408","6,0,52,56"
"409","6,0,52,81"
"410","6,0,53,17"
"411","6,0,53,83"
"412","6,0,53,104"
"413","6,0,54,17"
"414","6,0,54,33"
"415","6,0,54,57"
"416","6,0,54,82"
"417","6,0,54,105"
"418","6,0,55,14"
"419","6,0,55,80"
"420","6,0,55,120"
"421","6,0,56,14"
"422","6,0,56,32"
"423","6,0,56,57"
"424","6,0,56,81"
"425","6,0,56,119"
"426","6,0,57,3"
"427","6,0,57,60"
"428","6,0,57,90"
"429","6,0,58,3"
"430","6,0,58,59"
"431","6,0,58,87"
"432","6,0,58,89"
"433","6,0,59,4"
"434","6,0,59,60"
"435","6,0,59,61"
"436","6,0,59,91"
"437","6,0,59,108"
"438","6,0,60,4"
"439","6,0,60,59"
"440","6,0,60,88"
"441","6,0,61,41"
"442","6,0,61,95"
"443","6,0,61,110"
"444","6,0,62,33"
"445","6,0,62,58"
"446","6,0,62,87"
"447","6,0,62,106"
"448","6,0,63,5"
"449","6,0,63,41"
"450","6,0,63,61"
"451","6,0,63,96"
"452","6,0,63,109"
"453","6,0,64,5"
"454","6,0,64,32"
"455","6,0,64,58"
"456","6,0,64,88"
"457","6,0,64,97"
"458","6,0,64,118"
"459","7,0,1,9"
"460","7,0,1,45"
"461","7,0,1,81"
"462","7,0,1,117"
"463","7,0,1,153"
"464","7,0,1,189"
"465","7,0,1,225"
"466","7,0,2,36"
"467","7,0,2,45"
"468","7,0,2,82"
"469","7,0,2,208"
"470","7,0,2,224"
"471","7,0,3,8"
"472","7,0,3,46"
"473","7,0,3,172"
"474","7,0,3,216"
"475","7,0,3,225"
"476","7,0,4,1"
"477","7,0,4,46"
"478","7,0,4,171"
"479","7,0,4,224"
"480","7,0,5,9"
"481","7,0,5,136"
"482","7,0,5,180"
"483","7,0,5,188"
"484","7,0,5,226"
"485","7,0,6,36"
"486","7,0,6,87"
"487","7,0,6,209"
"488","7,0,6,223"
"489","7,0,7,8"
"490","7,0,7,135"
"491","7,0,7,181"
"492","7,0,7,226"
"493","7,0,8,1"
"494","7,0,8,88"
"495","7,0,8,170"
"496","7,0,8,223"
"497","7,0,9,10"
"498","7,0,9,100"
"499","7,0,9,144"
"500","7,0,9,152"
"501","7,0,9,189"
"502","7,0,10,35"
"503","7,0,10,83"
"504","7,0,10,127"
"505","7,0,10,208"
"506","7,0,11,7"
"507","7,0,11,51"
"508","7,0,11,173"
"509","7,0,11,216"
"510","7,0,12,6"
"511","7,0,12,51"
"512","7,0,12,174"
"513","7,0,13,10"
"514","7,0,13,99"
"515","7,0,13,145"
"516","7,0,13,188"
"517","7,0,14,35"
"518","7,0,14,86"
"519","7,0,14,128"
"520","7,0,14,209"
"521","7,0,15,7"
"522","7,0,15,52"
"523","7,0,15,134"
"524","7,0,15,181"
"525","7,0,16,6"
"526","7,0,16,52"
"527","7,0,16,133"
"528","7,0,16,175"
"529","7,0,17,64"
"530","7,0,17,108"
"531","7,0,17,116"
"532","7,0,17,153"
"533","7,0,17,190"
"534","7,0,18,19"
"535","7,0,18,64"
"536","7,0,18,107"
"537","7,0,18,191"
"538","7,0,19,47"
"539","7,0,19,91"
"540","7,0,19,172"
"541","7,0,19,215"
"542","7,0,20,2"
"543","7,0,20,47"
"544","7,0,20,90"
"545","7,0,20,171"
"546","7,0,21,137"
"547","7,0,21,180"
"548","7,0,21,187"
"549","7,0,21,231"
"550","7,0,22,19"
"551","7,0,22,106"
"552","7,0,22,192"
"553","7,0,23,138"
"554","7,0,23,186"
"555","7,0,23,231"
"556","7,0,24,2"
"557","7,0,24,89"
"558","7,0,24,170"
"559","7,0,25,63"
"560","7,0,25,109"
"561","7,0,25,152"
"562","7,0,25,190"
"563","7,0,26,18"
"564","7,0,26,63"
"565","7,0,26,110"
"566","7,0,26,191"
"567","7,0,27,50"
"568","7,0,27,92"
"569","7,0,27,173"
"570","7,0,27,215"
"571","7,0,28,5"
"572","7,0,28,50"
"573","7,0,28,93"
"574","7,0,28,174"
"575","7,0,29,98"
"576","7,0,29,145"
"577","7,0,29,187"
"578","7,0,29,232"
"579","7,0,30,18"
"580","7,0,30,105"
"581","7,0,30,111"
"582","7,0,30,192"
"583","7,0,31,97"
"584","7,0,31,139"
"585","7,0,31,186"
"586","7,0,31,232"
"587","7,0,32,5"
"588","7,0,32,94"
"589","7,0,32,132"
"590","7,0,32,175"
"591","7,0,33,72"
"592","7,0,33,80"
"593","7,0,33,117"
"594","7,0,33,154"
"595","7,0,33,244"
"596","7,0,34,72"
"597","7,0,34,79"
"598","7,0,34,159"
"599","7,0,34,245"
"600","7,0,35,71"
"601","7,0,35,155"
"602","7,0,35,199"
"603","7,0,35,244"
"604","7,0,36,71"
"605","7,0,36,158"
"606","7,0,36,200"
"607","7,0,36,245"
"608","7,0,37,55"
"609","7,0,37,136"
"610","7,0,37,179"
"611","7,0,37,227"
"612","7,0,38,55"
"613","7,0,38,178"
"614","7,0,38,228"
"615","7,0,39,54"
"616","7,0,39,135"
"617","7,0,39,182"
"618","7,0,39,227"
"619","7,0,40,54"
"620","7,0,40,177"
"621","7,0,40,183"
"622","7,0,40,228"
"623","7,0,41,15"
"624","7,0,41,101"
"625","7,0,41,144"
"626","7,0,41,151"
"627","7,0,42,34"
"628","7,0,42,84"
"629","7,0,42,127"
"630","7,0,43,70"
"631","7,0,43,156"
"632","7,0,43,199"
"633","7,0,44,70"
"634","7,0,44,157"
"635","7,0,44,200"
"636","7,0,45,15"
"637","7,0,45,102"
"638","7,0,45,150"
"639","7,0,46,34"
"640","7,0,46,85"
"641","7,0,46,128"
"642","7,0,47,53"
"643","7,0,47,134"
"644","7,0,47,182"
"645","7,0,48,53"
"646","7,0,48,133"
"647","7,0,48,176"
"648","7,0,48,183"
"649","7,0,49,73"
"650","7,0,49,116"
"651","7,0,49,154"
"652","7,0,49,243"
"653","7,0,50,78"
"654","7,0,50,159"
"655","7,0,50,246"
"656","7,0,51,74"
"657","7,0,51,155"
"658","7,0,51,198"
"659","7,0,51,243"
"660","7,0,52,77"
"661","7,0,52,158"
"662","7,0,52,201"
"663","7,0,52,246"
"664","7,0,53,56"
"665","7,0,53,137"
"666","7,0,53,179"
"667","7,0,53,230"
"668","7,0,54,56"
"669","7,0,54,178"
"670","7,0,54,229"
"671","7,0,55,57"
"672","7,0,55,138"
"673","7,0,55,185"
"674","7,0,55,230"
"675","7,0,56,57"
"676","7,0,56,177"
"677","7,0,56,184"
"678","7,0,56,229"
"679","7,0,57,16"
"680","7,0,57,62"
"681","7,0,57,109"
"682","7,0,57,151"
"683","7,0,58,17"
"684","7,0,58,62"
"685","7,0,58,110"
"686","7,0,59,69"
"687","7,0,59,75"
"688","7,0,59,156"
"689","7,0,59,198"
"690","7,0,60,69"
"691","7,0,60,76"
"692","7,0,60,157"
"693","7,0,60,201"
"694","7,0,61,16"
"695","7,0,61,61"
"696","7,0,61,103"
"697","7,0,61,150"
"698","7,0,62,17"
"699","7,0,62,61"
"700","7,0,62,104"
"701","7,0,62,111"
"702","7,0,63,58"
"703","7,0,63,96"
"704","7,0,63,139"
"705","7,0,63,185"
"706","7,0,64,58"
"707","7,0,64,95"
"708","7,0,64,132"
"709","7,0,64,176"
"710","7,0,64,184"
"711","7,0,65,28"
"712","7,0,65,44"
"713","7,0,65,81"
"714","7,0,65,118"
"715","7,0,65,252"
"716","7,0,66,44"
"717","7,0,66,82"
"718","7,0,66,207"
"719","7,0,66,217"
"720","7,0,67,29"
"721","7,0,67,43"
"722","7,0,67,123"
"723","7,0,67,252"
"724","7,0,68,43"
"725","7,0,68,124"
"726","7,0,68,206"
"727","7,0,68,217"
"728","7,0,69,28"
"729","7,0,69,119"
"730","7,0,69,163"
"731","7,0,69,251"
"732","7,0,70,87"
"733","7,0,70,210"
"734","7,0,70,222"
"735","7,0,71,29"
"736","7,0,71,122"
"737","7,0,71,164"
"738","7,0,71,251"
"739","7,0,72,88"
"740","7,0,72,169"
"741","7,0,72,211"
"742","7,0,72,222"
"743","7,0,73,11"
"744","7,0,73,100"
"745","7,0,73,143"
"746","7,0,73,235"
"747","7,0,74,83"
"748","7,0,74,126"
"749","7,0,74,207"
"750","7,0,74,218"
"751","7,0,75,12"
"752","7,0,75,142"
"753","7,0,75,235"
"754","7,0,76,125"
"755","7,0,76,206"
"756","7,0,76,218"
"757","7,0,77,11"
"758","7,0,77,99"
"759","7,0,77,146"
"760","7,0,77,234"
"761","7,0,78,86"
"762","7,0,78,129"
"763","7,0,78,210"
"764","7,0,78,221"
"765","7,0,79,12"
"766","7,0,79,141"
"767","7,0,79,147"
"768","7,0,79,234"
"769","7,0,80,130"
"770","7,0,80,168"
"771","7,0,80,211"
"772","7,0,80,221"
"773","7,0,81,65"
"774","7,0,81,108"
"775","7,0,81,115"
"776","7,0,81,195"
"777","7,0,82,20"
"778","7,0,82,65"
"779","7,0,82,107"
"780","7,0,82,194"
"781","7,0,83,48"
"782","7,0,83,91"
"783","7,0,83,214"
"784","7,0,84,3"
"785","7,0,84,48"
"786","7,0,84,90"
"787","7,0,84,213"
"788","7,0,85,120"
"789","7,0,85,163"
"790","7,0,85,250"
"791","7,0,86,20"
"792","7,0,86,106"
"793","7,0,86,193"
"794","7,0,87,121"
"795","7,0,87,164"
"796","7,0,87,250"
"797","7,0,88,3"
"798","7,0,88,89"
"799","7,0,88,169"
"800","7,0,88,212"
"801","7,0,89,66"
"802","7,0,89,114"
"803","7,0,89,195"
"804","7,0,90,21"
"805","7,0,90,66"
"806","7,0,90,113"
"807","7,0,90,194"
"808","7,0,91,49"
"809","7,0,91,92"
"810","7,0,91,214"
"811","7,0,92,4"
"812","7,0,92,49"
"813","7,0,92,93"
"814","7,0,92,213"
"815","7,0,93,98"
"816","7,0,93,146"
"817","7,0,93,233"
"818","7,0,94,21"
"819","7,0,94,105"
"820","7,0,94,112"
"821","7,0,94,193"
"822","7,0,95,97"
"823","7,0,95,140"
"824","7,0,95,147"
"825","7,0,95,233"
"826","7,0,96,4"
"827","7,0,96,94"
"828","7,0,96,131"
"829","7,0,96,168"
"830","7,0,96,212"
"831","7,0,97,27"
"832","7,0,97,37"
"833","7,0,97,80"
"834","7,0,97,118"
"835","7,0,98,26"
"836","7,0,98,37"
"837","7,0,98,79"
"838","7,0,98,160"
"839","7,0,99,30"
"840","7,0,99,42"
"841","7,0,99,123"
"842","7,0,100,31"
"843","7,0,100,42"
"844","7,0,100,124"
"845","7,0,100,205"
"846","7,0,101,27"
"847","7,0,101,38"
"848","7,0,101,119"
"849","7,0,101,162"
"850","7,0,102,26"
"851","7,0,102,38"
"852","7,0,102,161"
"853","7,0,103,30"
"854","7,0,103,41"
"855","7,0,103,122"
"856","7,0,103,165"
"857","7,0,104,31"
"858","7,0,104,41"
"859","7,0,104,166"
"860","7,0,104,204"
"861","7,0,105,14"
"862","7,0,105,101"
"863","7,0,105,143"
"864","7,0,105,236"
"865","7,0,106,33"
"866","7,0,106,84"
"867","7,0,106,126"
"868","7,0,106,219"
"869","7,0,107,13"
"870","7,0,107,142"
"871","7,0,107,236"
"872","7,0,108,32"
"873","7,0,108,125"
"874","7,0,108,205"
"875","7,0,108,219"
"876","7,0,109,14"
"877","7,0,109,102"
"878","7,0,109,149"
"879","7,0,109,237"
"880","7,0,110,33"
"881","7,0,110,85"
"882","7,0,110,129"
"883","7,0,110,220"
"884","7,0,111,13"
"885","7,0,111,141"
"886","7,0,111,148"
"887","7,0,111,237"
"888","7,0,112,32"
"889","7,0,112,130"
"890","7,0,112,167"
"891","7,0,112,204"
"892","7,0,112,220"
"893","7,0,113,73"
"894","7,0,113,115"
"895","7,0,113,196"
"896","7,0,113,242"
"897","7,0,114,25"
"898","7,0,114,78"
"899","7,0,114,160"
"900","7,0,114,247"
"901","7,0,115,74"
"902","7,0,115,197"
"903","7,0,115,242"
"904","7,0,116,24"
"905","7,0,116,77"
"906","7,0,116,202"
"907","7,0,116,247"
"908","7,0,117,39"
"909","7,0,117,120"
"910","7,0,117,162"
"911","7,0,117,249"
"912","7,0,118,25"
"913","7,0,118,39"
"914","7,0,118,161"
"915","7,0,118,248"
"916","7,0,119,40"
"917","7,0,119,121"
"918","7,0,119,165"
"919","7,0,119,249"
"920","7,0,120,24"
"921","7,0,120,40"
"922","7,0,120,166"
"923","7,0,120,203"
"924","7,0,120,248"
"925","7,0,121,67"
"926","7,0,121,114"
"927","7,0,121,196"
"928","7,0,121,241"
"929","7,0,122,22"
"930","7,0,122,67"
"931","7,0,122,113"
"932","7,0,122,240"
"933","7,0,123,68"
"934","7,0,123,75"
"935","7,0,123,197"
"936","7,0,123,241"
"937","7,0,124,23"
"938","7,0,124,68"
"939","7,0,124,76"
"940","7,0,124,202"
"941","7,0,124,240"
"942","7,0,125,60"
"943","7,0,125,103"
"944","7,0,125,149"
"945","7,0,125,238"
"946","7,0,126,22"
"947","7,0,126,60"
"948","7,0,126,104"
"949","7,0,126,112"
"950","7,0,126,239"
"951","7,0,127,59"
"952","7,0,127,96"
"953","7,0,127,140"
"954","7,0,127,148"
"955","7,0,127,238"
"956","7,0,128,23"
"957","7,0,128,59"
"958","7,0,128,95"
"959","7,0,128,131"
"960","7,0,128,167"
"961","7,0,128,203"
"962","7,0,128,239"
"963","4,0,1,15"
"964","4,0,1,16"
"965","4,0,1,17"
"966","4,0,1,18"
"967","4,0,2,9"
"968","4,0,2,13"
"969","4,0,2,17"
"970","4,0,2,25"
"971","4,0,3,2"
"972","4,0,3,16"
"973","4,0,3,23"
"974","4,0,4,3"
"975","4,0,4,23"
"976","4,0,4,25"
"977","4,0,5,1"
"978","4,0,5,15"
"979","4,0,5,24"
"980","4,0,6,9"
"981","4,0,6,10"
"982","4,0,6,19"
"983","4,0,7,1"
"984","4,0,7,2"
"985","4,0,7,7"
"986","4,0,7,8"
"987","4,0,8,3"
"988","4,0,8,5"
"989","4,0,8,8"
"990","4,0,8,19"
"991","4,0,9,12"
"992","4,0,9,14"
"993","4,0,9,18"
"994","4,0,9,27"
"995","4,0,10,12"
"996","4,0,10,13"
"997","4,0,10,26"
"998","4,0,10,28"
"999","4,0,11,4"
"1000","4,0,11,11"
"1001","4,0,11,14"
"1002","4,0,12,11"
"1003","4,0,12,20"
"1004","4,0,12,26"
"1005","4,0,13,22"
"1006","4,0,13,24"
"1007","4,0,13,27"
"1008","4,0,14,10"
"1009","4,0,14,21"
"1010","4,0,14,28"
"1011","4,0,15,4"
"1012","4,0,15,6"
"1013","4,0,15,7"
"1014","4,0,15,22"
"1015","4,0,16,5"
"1016","4,0,16,6"
"1017","4,0,16,20"
"1018","4,0,16,21"
"1019","5,0,1,12"
"1020","5,0,1,24"
"1021","5,0,1,36"
"1022","5,0,1,48"
"1023","5,0,1,60"
"1024","5,0,2,7"
"1025","5,0,2,36"
"1026","5,0,2,37"
"1027","5,0,2,59"
"1028","5,0,3,11"
"1029","5,0,3,19"
"1030","5,0,3,25"
"1031","5,0,3,60"
"1032","5,0,4,8"
"1033","5,0,4,18"
"1034","5,0,4,25"
"1035","5,0,4,59"
"1036","5,0,5,12"
"1037","5,0,5,23"
"1038","5,0,5,43"
"1039","5,0,5,49"
"1040","5,0,6,7"
"1041","5,0,6,38"
"1042","5,0,6,58"
"1043","5,0,7,11"
"1044","5,0,7,20"
"1045","5,0,7,42"
"1046","5,0,7,49"
"1047","5,0,8,8"
"1048","5,0,8,17"
"1049","5,0,8,39"
"1050","5,0,8,58"
"1051","5,0,9,1"
"1052","5,0,9,24"
"1053","5,0,9,31"
"1054","5,0,9,47"
"1055","5,0,10,2"
"1056","5,0,10,31"
"1057","5,0,10,46"
"1058","5,0,11,10"
"1059","5,0,11,19"
"1060","5,0,11,26"
"1061","5,0,12,9"
"1062","5,0,12,18"
"1063","5,0,12,26"
"1064","5,0,13,1"
"1065","5,0,13,23"
"1066","5,0,13,30"
"1067","5,0,13,44"
"1068","5,0,14,2"
"1069","5,0,14,30"
"1070","5,0,14,45"
"1071","5,0,15,10"
"1072","5,0,15,20"
"1073","5,0,15,27"
"1074","5,0,15,41"
"1075","5,0,16,9"
"1076","5,0,16,17"
"1077","5,0,16,27"
"1078","5,0,16,40"
"1079","5,0,17,13"
"1080","5,0,17,35"
"1081","5,0,17,48"
"1082","5,0,17,55"
"1083","5,0,18,6"
"1084","5,0,18,35"
"1085","5,0,18,37"
"1086","5,0,18,56"
"1087","5,0,19,14"
"1088","5,0,19,34"
"1089","5,0,19,55"
"1090","5,0,20,5"
"1091","5,0,20,15"
"1092","5,0,20,34"
"1093","5,0,20,56"
"1094","5,0,21,22"
"1095","5,0,21,43"
"1096","5,0,21,50"
"1097","5,0,22,6"
"1098","5,0,22,38"
"1099","5,0,22,57"
"1100","5,0,23,21"
"1101","5,0,23,42"
"1102","5,0,23,50"
"1103","5,0,24,5"
"1104","5,0,24,16"
"1105","5,0,24,39"
"1106","5,0,24,57"
"1107","5,0,25,13"
"1108","5,0,25,32"
"1109","5,0,25,47"
"1110","5,0,25,54"
"1111","5,0,26,3"
"1112","5,0,26,32"
"1113","5,0,26,46"
"1114","5,0,26,53"
"1115","5,0,27,14"
"1116","5,0,27,33"
"1117","5,0,27,54"
"1118","5,0,28,4"
"1119","5,0,28,15"
"1120","5,0,28,33"
"1121","5,0,28,53"
"1122","5,0,29,22"
"1123","5,0,29,29"
"1124","5,0,29,44"
"1125","5,0,29,51"
"1126","5,0,30,3"
"1127","5,0,30,29"
"1128","5,0,30,45"
"1129","5,0,30,52"
"1130","5,0,31,21"
"1131","5,0,31,28"
"1132","5,0,31,41"
"1133","5,0,31,51"
"1134","5,0,32,4"
"1135","5,0,32,16"
"1136","5,0,32,28"
"1137","5,0,32,40"
"1138","5,0,32,52"
