"","s.v.n.x.y"
"125","1,0,1,707.153,360.474"
"126","1,0,1,713.674,370.62"
"127","1,0,1,719.711,381.088"
"128","1,0,1,725.25,391.864"
"129","1,0,1,730.273,402.93"
"130","1,0,1,732.587,408.567"
"131","1,0,1,734.766,414.27"
"132","1,0,1,736.808,420.039"
"133","1,0,1,738.712,425.87"
"134","1,0,1,740.474,431.761"
"135","1,0,1,742.094,437.712"
"136","1,0,1,743.569,443.719"
"137","1,0,1,744.897,449.78"
"138","1,0,1,746.077,455.895"
"139","1,0,1,747.106,462.059"
"140","1,0,1,747.982,468.273"
"141","1,0,1,748.703,474.533"
"142","1,0,1,749.267,480.838"
"143","1,0,1,749.673,487.185"
"144","1,0,1,749.918,493.573"
"145","1,0,1,750,500"
"146","1,0,1,749.918,506.427"
"147","1,0,1,749.673,512.815"
"148","1,0,1,749.267,519.162"
"149","1,0,1,748.703,525.467"
"150","1,0,1,747.982,531.727"
"151","1,0,1,747.106,537.941"
"152","1,0,1,746.077,544.105"
"153","1,0,1,744.897,550.22"
"154","1,0,1,743.569,556.281"
"155","1,0,1,742.094,562.288"
"156","1,0,1,740.474,568.239"
"157","1,0,1,738.712,574.13"
"158","1,0,1,736.808,579.961"
"159","1,0,1,734.766,585.73"
"160","1,0,1,732.587,591.433"
"161","1,0,1,730.273,597.07"
"162","1,0,1,725.25,608.136"
"163","1,0,1,719.711,618.912"
"164","1,0,1,713.674,629.38"
"165","1,0,1,707.153,639.526"
"166","1,0,1,700.166,649.334"
"167","1,0,1,692.728,658.786"
"168","1,0,1,684.855,667.868"
"169","1,0,1,676.562,676.562"
"170","1,0,1,667.868,684.855"
"171","1,0,1,658.786,692.728"
"172","1,0,1,649.334,700.166"
"173","1,0,1,639.526,707.153"
"174","1,0,1,629.38,713.674"
"175","1,0,1,618.912,719.711"
"176","1,0,1,608.136,725.25"
"177","1,0,1,597.07,730.273"
"178","1,0,1,591.433,732.587"
"179","1,0,1,585.73,734.766"
"180","1,0,1,579.961,736.808"
"181","1,0,1,574.13,738.712"
"182","1,0,1,568.239,740.474"
"183","1,0,1,562.288,742.094"
"184","1,0,1,556.281,743.569"
"185","1,0,1,550.22,744.897"
"186","1,0,1,544.105,746.077"
"187","1,0,1,537.941,747.106"
"188","1,0,1,531.727,747.982"
"189","1,0,1,525.467,748.703"
"190","1,0,1,519.162,749.267"
"191","1,0,1,512.815,749.673"
"192","1,0,1,506.427,749.918"
"193","1,0,1,500,750"
"194","1,0,1,500,750"
"195","1,0,1,NA,NA"
"196","2,0,1,500,716"
"197","2,0,1,493.065,720.007"
"198","2,0,1,485.954,723.777"
"199","2,0,1,478.681,727.307"
"200","2,0,1,471.258,730.594"
"201","2,0,1,463.697,733.634"
"202","2,0,1,456.011,736.426"
"203","2,0,1,448.212,738.965"
"204","2,0,1,440.312,741.25"
"205","2,0,1,432.325,743.277"
"206","2,0,1,424.263,745.043"
"207","2,0,1,416.137,746.545"
"208","2,0,1,407.961,747.781"
"209","2,0,1,399.747,748.748"
"210","2,0,1,391.507,749.441"
"211","2,0,1,383.254,749.86"
"212","2,0,1,375,750"
"213","2,0,1,368.573,749.918"
"214","2,0,1,362.185,749.673"
"215","2,0,1,355.838,749.267"
"216","2,0,1,349.533,748.703"
"217","2,0,1,343.273,747.982"
"218","2,0,1,337.059,747.106"
"219","2,0,1,330.895,746.077"
"220","2,0,1,324.78,744.897"
"221","2,0,1,318.719,743.569"
"222","2,0,1,312.712,742.094"
"223","2,0,1,306.761,740.474"
"224","2,0,1,300.87,738.712"
"225","2,0,1,295.039,736.808"
"226","2,0,1,289.27,734.766"
"227","2,0,1,283.567,732.587"
"228","2,0,1,277.93,730.273"
"229","2,0,1,266.864,725.25"
"230","2,0,1,256.088,719.711"
"231","2,0,1,245.62,713.674"
"232","2,0,1,235.474,707.153"
"233","2,0,1,225.666,700.166"
"234","2,0,1,216.214,692.728"
"235","2,0,1,207.132,684.855"
"236","2,0,1,198.438,676.562"
"237","2,0,1,190.145,667.868"
"238","2,0,1,182.272,658.786"
"239","2,0,1,174.834,649.334"
"240","2,0,1,167.847,639.526"
"241","2,0,1,161.326,629.38"
"242","2,0,1,155.289,618.912"
"243","2,0,1,149.75,608.136"
"244","2,0,1,144.727,597.07"
"245","2,0,1,142.413,591.433"
"246","2,0,1,140.234,585.73"
"247","2,0,1,138.192,579.961"
"248","2,0,1,136.288,574.13"
"249","2,0,1,134.526,568.239"
"250","2,0,1,132.906,562.288"
"251","2,0,1,131.431,556.281"
"252","2,0,1,130.103,550.22"
"253","2,0,1,128.923,544.105"
"254","2,0,1,127.894,537.941"
"255","2,0,1,127.018,531.727"
"256","2,0,1,126.297,525.467"
"257","2,0,1,125.733,519.162"
"258","2,0,1,125.327,512.815"
"259","2,0,1,125.082,506.427"
"260","2,0,1,125,500"
"261","2,0,1,125.082,493.573"
"262","2,0,1,125.327,487.185"
"263","2,0,1,125.733,480.838"
"264","2,0,1,126.297,474.533"
"265","2,0,1,127.018,468.273"
"266","2,0,1,127.894,462.059"
"267","2,0,1,128.923,455.895"
"268","2,0,1,130.103,449.78"
"269","2,0,1,131.431,443.719"
"270","2,0,1,132.906,437.712"
"271","2,0,1,134.526,431.761"
"272","2,0,1,136.288,425.87"
"273","2,0,1,138.192,420.039"
"274","2,0,1,140.234,414.27"
"275","2,0,1,142.413,408.567"
"276","2,0,1,144.727,402.93"
"277","2,0,1,149.75,391.864"
"278","2,0,1,155.289,381.088"
"279","2,0,1,161.326,370.62"
"280","2,0,1,167.847,360.474"
"281","2,0,1,174.834,350.666"
"282","2,0,1,182.272,341.214"
"283","2,0,1,190.145,332.132"
"284","2,0,1,198.438,323.438"
"285","2,0,1,207.132,315.145"
"286","2,0,1,216.214,307.272"
"287","2,0,1,225.666,299.834"
"288","2,0,1,235.474,292.847"
"289","2,0,1,245.62,286.326"
"290","2,0,1,256.088,280.289"
"291","2,0,1,266.864,274.75"
"292","2,0,1,277.93,269.727"
"293","2,0,1,283.567,267.413"
"294","2,0,1,289.27,265.234"
"295","2,0,1,295.039,263.192"
"296","2,0,1,300.87,261.288"
"297","2,0,1,306.761,259.526"
"298","2,0,1,312.712,257.906"
"299","2,0,1,318.719,256.431"
"300","2,0,1,324.78,255.103"
"301","2,0,1,330.895,253.923"
"302","2,0,1,337.059,252.894"
"303","2,0,1,343.273,252.018"
"304","2,0,1,349.533,251.297"
"305","2,0,1,355.838,250.733"
"306","2,0,1,362.185,250.327"
"307","2,0,1,368.573,250.082"
"308","2,0,1,375,250"
"309","2,0,1,383.254,250.223"
"310","2,0,1,391.507,250.702"
"311","2,0,1,399.747,251.438"
"312","2,0,1,407.961,252.43"
"313","2,0,1,416.137,253.676"
"314","2,0,1,424.263,255.177"
"315","2,0,1,432.325,256.931"
"316","2,0,1,440.312,258.938"
"317","2,0,1,448.212,261.196"
"318","2,0,1,456.011,263.706"
"319","2,0,1,463.697,266.466"
"320","2,0,1,471.258,269.477"
"321","2,0,1,478.681,272.736"
"322","2,0,1,485.954,276.243"
"323","2,0,1,493.065,279.998"
"324","2,0,1,500,284"
"325","2,0,1,500,284"
"326","2,0,1,507.683,288.649"
"327","2,0,1,515.122,293.497"
"328","2,0,1,522.317,298.538"
"329","2,0,1,529.268,303.766"
"330","2,0,1,535.975,309.173"
"331","2,0,1,542.438,314.755"
"332","2,0,1,548.657,320.503"
"333","2,0,1,554.633,326.413"
"334","2,0,1,560.364,332.477"
"335","2,0,1,565.852,338.689"
"336","2,0,1,571.096,345.043"
"337","2,0,1,576.096,351.532"
"338","2,0,1,580.852,358.15"
"339","2,0,1,585.364,364.89"
"340","2,0,1,589.632,371.745"
"341","2,0,1,593.656,378.711"
"342","2,0,1,597.437,385.779"
"343","2,0,1,600.973,392.945"
"344","2,0,1,604.266,400.2"
"345","2,0,1,607.314,407.539"
"346","2,0,1,610.119,414.956"
"347","2,0,1,612.68,422.444"
"348","2,0,1,614.997,429.996"
"349","2,0,1,617.07,437.606"
"350","2,0,1,618.9,445.269"
"351","2,0,1,620.485,452.976"
"352","2,0,1,621.826,460.722"
"353","2,0,1,622.924,468.501"
"354","2,0,1,623.777,476.306"
"355","2,0,1,624.387,484.13"
"356","2,0,1,624.753,491.968"
"357","2,0,1,624.875,499.812"
"358","2,0,1,624.753,507.657"
"359","2,0,1,624.387,515.496"
"360","2,0,1,623.777,523.322"
"361","2,0,1,622.924,531.13"
"362","2,0,1,621.826,538.912"
"363","2,0,1,620.485,546.662"
"364","2,0,1,618.9,554.374"
"365","2,0,1,617.07,562.042"
"366","2,0,1,614.997,569.659"
"367","2,0,1,612.68,577.218"
"368","2,0,1,610.119,584.713"
"369","2,0,1,607.314,592.138"
"370","2,0,1,604.266,599.487"
"371","2,0,1,600.973,606.752"
"372","2,0,1,597.437,613.928"
"373","2,0,1,593.656,621.008"
"374","2,0,1,589.632,627.985"
"375","2,0,1,585.364,634.854"
"376","2,0,1,580.852,641.608"
"377","2,0,1,576.096,648.24"
"378","2,0,1,571.096,654.744"
"379","2,0,1,565.852,661.113"
"380","2,0,1,560.364,667.342"
"381","2,0,1,554.633,673.423"
"382","2,0,1,548.657,679.35"
"383","2,0,1,542.438,685.118"
"384","2,0,1,535.975,690.719"
"385","2,0,1,529.268,696.147"
"386","2,0,1,522.317,701.395"
"387","2,0,1,515.122,706.458"
"388","2,0,1,507.683,711.328"
"389","2,0,1,500,716"
"390","2,0,1,NA,NA"
"391","2,0,2,500,284"
"392","2,0,2,506.935,279.998"
"393","2,0,2,514.046,276.243"
"394","2,0,2,521.319,272.736"
"395","2,0,2,528.742,269.477"
"396","2,0,2,536.303,266.466"
"397","2,0,2,543.989,263.706"
"398","2,0,2,551.788,261.196"
"399","2,0,2,559.688,258.938"
"400","2,0,2,567.675,256.931"
"401","2,0,2,575.737,255.177"
"402","2,0,2,583.863,253.676"
"403","2,0,2,592.039,252.43"
"404","2,0,2,600.253,251.438"
"405","2,0,2,608.493,250.702"
"406","2,0,2,616.746,250.223"
"407","2,0,2,625,250"
"408","2,0,2,631.427,250.082"
"409","2,0,2,637.815,250.327"
"410","2,0,2,644.162,250.733"
"411","2,0,2,650.467,251.297"
"412","2,0,2,656.727,252.018"
"413","2,0,2,662.941,252.894"
"414","2,0,2,669.105,253.923"
"415","2,0,2,675.22,255.103"
"416","2,0,2,681.281,256.431"
"417","2,0,2,687.288,257.906"
"418","2,0,2,693.239,259.526"
"419","2,0,2,699.13,261.288"
"420","2,0,2,704.961,263.192"
"421","2,0,2,710.73,265.234"
"422","2,0,2,716.433,267.413"
"423","2,0,2,722.07,269.727"
"424","2,0,2,733.136,274.75"
"425","2,0,2,743.912,280.289"
"426","2,0,2,754.38,286.326"
"427","2,0,2,764.526,292.847"
"428","2,0,2,774.334,299.834"
"429","2,0,2,783.786,307.272"
"430","2,0,2,792.868,315.145"
"431","2,0,2,801.562,323.438"
"432","2,0,2,809.855,332.132"
"433","2,0,2,817.728,341.214"
"434","2,0,2,825.166,350.666"
"435","2,0,2,832.153,360.474"
"436","2,0,2,838.674,370.62"
"437","2,0,2,844.711,381.088"
"438","2,0,2,850.25,391.864"
"439","2,0,2,855.273,402.93"
"440","2,0,2,857.587,408.567"
"441","2,0,2,859.766,414.27"
"442","2,0,2,861.808,420.039"
"443","2,0,2,863.712,425.87"
"444","2,0,2,865.474,431.761"
"445","2,0,2,867.094,437.712"
"446","2,0,2,868.569,443.719"
"447","2,0,2,869.897,449.78"
"448","2,0,2,871.077,455.895"
"449","2,0,2,872.106,462.059"
"450","2,0,2,872.982,468.273"
"451","2,0,2,873.703,474.533"
"452","2,0,2,874.267,480.838"
"453","2,0,2,874.673,487.185"
"454","2,0,2,874.918,493.573"
"455","2,0,2,875,500"
"456","2,0,2,874.918,506.427"
"457","2,0,2,874.673,512.815"
"458","2,0,2,874.267,519.162"
"459","2,0,2,873.703,525.467"
"460","2,0,2,872.982,531.727"
"461","2,0,2,872.106,537.941"
"462","2,0,2,871.077,544.105"
"463","2,0,2,869.897,550.22"
"464","2,0,2,868.569,556.281"
"465","2,0,2,867.094,562.288"
"466","2,0,2,865.474,568.239"
"467","2,0,2,863.712,574.13"
"468","2,0,2,861.808,579.961"
"469","2,0,2,859.766,585.73"
"470","2,0,2,857.587,591.433"
"471","2,0,2,855.273,597.07"
"472","2,0,2,850.25,608.136"
"473","2,0,2,844.711,618.912"
"474","2,0,2,838.674,629.38"
"475","2,0,2,832.153,639.526"
"476","2,0,2,825.166,649.334"
"477","2,0,2,817.728,658.786"
"478","2,0,2,809.855,667.868"
"479","2,0,2,801.562,676.562"
"480","2,0,2,792.868,684.855"
"481","2,0,2,783.786,692.728"
"482","2,0,2,774.334,700.166"
"483","2,0,2,764.526,707.153"
"484","2,0,2,754.38,713.674"
"485","2,0,2,743.912,719.711"
"486","2,0,2,733.136,725.25"
"487","2,0,2,722.07,730.273"
"488","2,0,2,716.433,732.587"
"489","2,0,2,710.73,734.766"
"490","2,0,2,704.961,736.808"
"491","2,0,2,699.13,738.712"
"492","2,0,2,693.239,740.474"
"493","2,0,2,687.288,742.094"
"494","2,0,2,681.281,743.569"
"495","2,0,2,675.22,744.897"
"496","2,0,2,669.105,746.077"
"497","2,0,2,662.941,747.106"
"498","2,0,2,656.727,747.982"
"499","2,0,2,650.467,748.703"
"500","2,0,2,644.162,749.267"
"501","2,0,2,637.815,749.673"
"502","2,0,2,631.427,749.918"
"503","2,0,2,625,750"
"504","2,0,2,616.746,749.86"
"505","2,0,2,608.493,749.441"
"506","2,0,2,600.253,748.748"
"507","2,0,2,592.039,747.781"
"508","2,0,2,583.863,746.545"
"509","2,0,2,575.737,745.043"
"510","2,0,2,567.675,743.277"
"511","2,0,2,559.688,741.25"
"512","2,0,2,551.788,738.965"
"513","2,0,2,543.989,736.426"
"514","2,0,2,536.303,733.634"
"515","2,0,2,528.742,730.594"
"516","2,0,2,521.319,727.307"
"517","2,0,2,514.046,723.777"
"518","2,0,2,506.935,720.007"
"519","2,0,2,500,716"
"520","2,0,2,500,716"
"521","2,0,2,492.317,711.329"
"522","2,0,2,484.878,706.459"
"523","2,0,2,477.683,701.398"
"524","2,0,2,470.732,696.152"
"525","2,0,2,464.025,690.727"
"526","2,0,2,457.562,685.13"
"527","2,0,2,451.343,679.366"
"528","2,0,2,445.367,673.443"
"529","2,0,2,439.636,667.367"
"530","2,0,2,434.148,661.144"
"531","2,0,2,428.904,654.78"
"532","2,0,2,423.904,648.282"
"533","2,0,2,419.148,641.657"
"534","2,0,2,414.636,634.91"
"535","2,0,2,410.368,628.048"
"536","2,0,2,406.344,621.078"
"537","2,0,2,402.563,614.006"
"538","2,0,2,399.027,606.837"
"539","2,0,2,395.734,599.58"
"540","2,0,2,392.686,592.239"
"541","2,0,2,389.881,584.822"
"542","2,0,2,387.32,577.334"
"543","2,0,2,385.003,569.783"
"544","2,0,2,382.93,562.174"
"545","2,0,2,381.1,554.514"
"546","2,0,2,379.515,546.809"
"547","2,0,2,378.174,539.066"
"548","2,0,2,377.076,531.291"
"549","2,0,2,376.223,523.491"
"550","2,0,2,375.613,515.671"
"551","2,0,2,375.247,507.839"
"552","2,0,2,375.125,500"
"553","2,0,2,375.247,492.161"
"554","2,0,2,375.613,484.329"
"555","2,0,2,376.223,476.509"
"556","2,0,2,377.076,468.709"
"557","2,0,2,378.174,460.934"
"558","2,0,2,379.515,453.191"
"559","2,0,2,381.1,445.486"
"560","2,0,2,382.93,437.826"
"561","2,0,2,385.003,430.217"
"562","2,0,2,387.32,422.666"
"563","2,0,2,389.881,415.178"
"564","2,0,2,392.686,407.761"
"565","2,0,2,395.734,400.42"
"566","2,0,2,399.027,393.163"
"567","2,0,2,402.563,385.994"
"568","2,0,2,406.344,378.922"
"569","2,0,2,410.368,371.952"
"570","2,0,2,414.636,365.09"
"571","2,0,2,419.148,358.343"
"572","2,0,2,423.904,351.718"
"573","2,0,2,428.904,345.22"
"574","2,0,2,434.148,338.856"
"575","2,0,2,439.636,332.633"
"576","2,0,2,445.367,326.557"
"577","2,0,2,451.343,320.634"
"578","2,0,2,457.562,314.87"
"579","2,0,2,464.025,309.273"
"580","2,0,2,470.732,303.848"
"581","2,0,2,477.683,298.602"
"582","2,0,2,484.878,293.541"
"583","2,0,2,492.317,288.671"
"584","2,0,2,500,284"
"585","2,0,2,NA,NA"
"586","3,0,1,250,608.5"
"587","3,0,1,242.949,604.194"
"588","3,0,1,235.98,599.635"
"589","3,0,1,229.103,594.82"
"590","3,0,1,222.33,589.744"
"591","3,0,1,215.67,584.403"
"592","3,0,1,209.136,578.793"
"593","3,0,1,202.738,572.91"
"594","3,0,1,196.488,566.75"
"595","3,0,1,190.395,560.309"
"596","3,0,1,184.472,553.582"
"597","3,0,1,178.729,546.566"
"598","3,0,1,173.177,539.256"
"599","3,0,1,167.827,531.649"
"600","3,0,1,162.69,523.74"
"601","3,0,1,157.777,515.525"
"602","3,0,1,153.1,507"
"603","3,0,1,149.833,500.488"
"604","3,0,1,146.749,493.855"
"605","3,0,1,143.851,487.107"
"606","3,0,1,141.142,480.252"
"607","3,0,1,138.628,473.293"
"608","3,0,1,136.311,466.238"
"609","3,0,1,134.196,459.093"
"610","3,0,1,132.287,451.862"
"611","3,0,1,130.588,444.554"
"612","3,0,1,129.103,437.173"
"613","3,0,1,127.835,429.725"
"614","3,0,1,126.789,422.217"
"615","3,0,1,125.969,414.655"
"616","3,0,1,125.378,407.044"
"617","3,0,1,125.02,399.39"
"618","3,0,1,124.9,391.7"
"619","3,0,1,124.982,385.255"
"620","3,0,1,125.226,378.851"
"621","3,0,1,125.629,372.489"
"622","3,0,1,126.192,366.171"
"623","3,0,1,126.91,359.898"
"624","3,0,1,127.782,353.674"
"625","3,0,1,128.807,347.5"
"626","3,0,1,129.982,341.378"
"627","3,0,1,131.306,335.31"
"628","3,0,1,132.775,329.298"
"629","3,0,1,134.39,323.344"
"630","3,0,1,136.146,317.449"
"631","3,0,1,138.043,311.616"
"632","3,0,1,140.079,305.847"
"633","3,0,1,142.251,300.144"
"634","3,0,1,144.558,294.508"
"635","3,0,1,149.567,283.447"
"636","3,0,1,155.091,272.681"
"637","3,0,1,161.114,262.224"
"638","3,0,1,167.62,252.093"
"639","3,0,1,174.594,242.303"
"640","3,0,1,182.019,232.87"
"641","3,0,1,189.881,223.81"
"642","3,0,1,198.162,215.138"
"643","3,0,1,206.849,206.869"
"644","3,0,1,215.924,199.021"
"645","3,0,1,225.373,191.608"
"646","3,0,1,235.178,184.646"
"647","3,0,1,245.326,178.151"
"648","3,0,1,255.799,172.139"
"649","3,0,1,266.583,166.624"
"650","3,0,1,277.661,161.623"
"651","3,0,1,283.306,159.321"
"652","3,0,1,289.018,157.152"
"653","3,0,1,294.796,155.12"
"654","3,0,1,300.638,153.226"
"655","3,0,1,306.541,151.473"
"656","3,0,1,312.505,149.862"
"657","3,0,1,318.526,148.394"
"658","3,0,1,324.604,147.073"
"659","3,0,1,330.735,145.9"
"660","3,0,1,336.918,144.877"
"661","3,0,1,343.152,144.006"
"662","3,0,1,349.433,143.289"
"663","3,0,1,355.761,142.728"
"664","3,0,1,362.132,142.325"
"665","3,0,1,368.546,142.082"
"666","3,0,1,375,142"
"667","3,0,1,382.968,142.124"
"668","3,0,1,390.933,142.496"
"669","3,0,1,398.89,143.121"
"670","3,0,1,406.836,144"
"671","3,0,1,414.767,145.137"
"672","3,0,1,422.681,146.535"
"673","3,0,1,430.572,148.197"
"674","3,0,1,438.438,150.125"
"675","3,0,1,446.274,152.323"
"676","3,0,1,454.077,154.793"
"677","3,0,1,461.844,157.539"
"678","3,0,1,469.57,160.562"
"679","3,0,1,477.253,163.868"
"680","3,0,1,484.888,167.457"
"681","3,0,1,492.471,171.333"
"682","3,0,1,500,175.5"
"683","3,0,1,500,175.5"
"684","3,0,1,507.161,179.752"
"685","3,0,1,514.147,184.234"
"686","3,0,1,520.955,188.94"
"687","3,0,1,527.581,193.862"
"688","3,0,1,534.022,198.994"
"689","3,0,1,540.274,204.329"
"690","3,0,1,546.334,209.859"
"691","3,0,1,552.198,215.578"
"692","3,0,1,557.863,221.479"
"693","3,0,1,563.325,227.555"
"694","3,0,1,568.581,233.8"
"695","3,0,1,573.626,240.205"
"696","3,0,1,578.458,246.765"
"697","3,0,1,583.073,253.472"
"698","3,0,1,587.467,260.319"
"699","3,0,1,591.638,267.3"
"700","3,0,1,595.58,274.407"
"701","3,0,1,599.292,281.635"
"702","3,0,1,602.768,288.974"
"703","3,0,1,606.007,296.42"
"704","3,0,1,609.004,303.964"
"705","3,0,1,611.755,311.601"
"706","3,0,1,614.258,319.322"
"707","3,0,1,616.508,327.122"
"708","3,0,1,618.502,334.993"
"709","3,0,1,620.237,342.928"
"710","3,0,1,621.709,350.92"
"711","3,0,1,622.914,358.963"
"712","3,0,1,623.85,367.049"
"713","3,0,1,624.511,375.172"
"714","3,0,1,624.896,383.325"
"715","3,0,1,625,391.5"
"716","3,0,1,625,391.5"
"717","3,0,1,624.905,399.693"
"718","3,0,1,624.53,407.862"
"719","3,0,1,623.877,416"
"720","3,0,1,622.951,424.101"
"721","3,0,1,621.755,432.157"
"722","3,0,1,620.291,440.162"
"723","3,0,1,618.565,448.109"
"724","3,0,1,616.578,455.992"
"725","3,0,1,614.335,463.804"
"726","3,0,1,611.84,471.538"
"727","3,0,1,609.095,479.188"
"728","3,0,1,606.104,486.747"
"729","3,0,1,602.87,494.208"
"730","3,0,1,599.398,501.565"
"731","3,0,1,595.69,508.81"
"732","3,0,1,591.75,515.938"
"733","3,0,1,587.582,522.941"
"734","3,0,1,583.188,529.812"
"735","3,0,1,578.573,536.546"
"736","3,0,1,573.74,543.136"
"737","3,0,1,568.693,549.574"
"738","3,0,1,563.434,555.854"
"739","3,0,1,557.967,561.97"
"740","3,0,1,552.297,567.914"
"741","3,0,1,546.426,573.68"
"742","3,0,1,540.357,579.262"
"743","3,0,1,534.095,584.652"
"744","3,0,1,527.643,589.845"
"745","3,0,1,521.003,594.832"
"746","3,0,1,514.181,599.609"
"747","3,0,1,507.179,604.167"
"748","3,0,1,500,608.5"
"749","3,0,1,500,608.5"
"750","3,0,1,492.568,612.594"
"751","3,0,1,485.05,616.419"
"752","3,0,1,477.454,619.976"
"753","3,0,1,469.784,623.266"
"754","3,0,1,462.047,626.288"
"755","3,0,1,454.249,629.044"
"756","3,0,1,446.396,631.533"
"757","3,0,1,438.494,633.756"
"758","3,0,1,430.549,635.714"
"759","3,0,1,422.568,637.407"
"760","3,0,1,414.556,638.836"
"761","3,0,1,406.52,640"
"762","3,0,1,398.465,640.901"
"763","3,0,1,390.397,641.538"
"764","3,0,1,382.324,641.913"
"765","3,0,1,374.25,642.025"
"766","3,0,1,366.182,641.875"
"767","3,0,1,358.126,641.464"
"768","3,0,1,350.088,640.792"
"769","3,0,1,342.074,639.859"
"770","3,0,1,334.091,638.666"
"771","3,0,1,326.143,637.214"
"772","3,0,1,318.238,635.502"
"773","3,0,1,310.381,633.531"
"774","3,0,1,302.579,631.302"
"775","3,0,1,294.837,628.815"
"776","3,0,1,287.162,626.07"
"777","3,0,1,279.56,623.069"
"778","3,0,1,272.037,619.81"
"779","3,0,1,264.598,616.296"
"780","3,0,1,257.251,612.526"
"781","3,0,1,250,608.5"
"782","3,0,1,NA,NA"
"783","3,0,2,750,608.5"
