"","s.v.x.y.l"
"268","7,0,731,570,13457"
"269","7,0,637,319,13456"
"270","7,0,358,415,134567"
"271","7,0,464,849,12"
"272","7,0,497,809,127"
"273","7,0,302,719,126"
"274","7,0,310,679,1267"
"275","7,0,443,803,125"
"276","7,0,474,775,1257"
"277","7,0,345,710,1256"
"278","7,0,355,669,12567"
"279","7,0,770,353,124"
"280","7,0,267,597,1247"
"281","7,0,730,348,1246"
"282","7,0,315,623,12467"
"283","7,0,745,395,1245"
"284","7,0,285,548,12457"
"285","7,0,695,372,12456"
"286","7,0,347,570,124567"
"287","7,0,735,703,123"
"288","7,0,520,770,1237"
"289","7,0,697,700,1236"
"290","7,0,540,728,12367"
"291","7,0,429,758,1235"
"292","7,0,480,734,12357"
"293","7,0,402,708,12356"
"294","7,0,459,672,123567"
"295","7,0,719,659,1234"
"296","7,0,700,620,12347"
"297","7,0,666,671,12346"
"298","7,0,604,650,123467"
"299","7,0,719,430,12345"
"300","7,0,687,525,123457"
"301","7,0,629,379,123456"
"302","7,0,513,509,1234567"
