"","s.v.i.x.y"
"68","1,0,2,286.326,370.62"
"69","1,0,2,292.847,360.474"
"70","1,0,2,299.834,350.666"
"71","1,0,2,307.272,341.214"
"72","1,0,2,315.145,332.132"
"73","1,0,2,323.438,323.438"
"74","1,0,2,332.132,315.145"
"75","1,0,2,341.214,307.272"
"76","1,0,2,350.666,299.834"
"77","1,0,2,360.474,292.847"
"78","1,0,2,370.62,286.326"
"79","1,0,2,381.088,280.289"
"80","1,0,2,391.864,274.75"
"81","1,0,2,402.93,269.727"
"82","1,0,2,408.567,267.413"
"83","1,0,2,414.27,265.234"
"84","1,0,2,420.039,263.192"
"85","1,0,2,425.87,261.288"
"86","1,0,2,431.761,259.526"
"87","1,0,2,437.712,257.906"
"88","1,0,2,443.719,256.431"
"89","1,0,2,449.78,255.103"
"90","1,0,2,455.895,253.923"
"91","1,0,2,462.059,252.894"
"92","1,0,2,468.273,252.018"
"93","1,0,2,474.533,251.297"
"94","1,0,2,480.838,250.733"
"95","1,0,2,487.185,250.327"
"96","1,0,2,493.573,250.082"
"97","1,0,2,500,250"
"98","1,0,2,506.427,250.082"
"99","1,0,2,512.815,250.327"
"100","1,0,2,519.162,250.733"
"101","1,0,2,525.467,251.297"
"102","1,0,2,531.727,252.018"
"103","1,0,2,537.941,252.894"
"104","1,0,2,544.105,253.923"
"105","1,0,2,550.22,255.103"
"106","1,0,2,556.281,256.431"
"107","1,0,2,562.288,257.906"
"108","1,0,2,568.239,259.526"
"109","1,0,2,574.13,261.288"
"110","1,0,2,579.961,263.192"
"111","1,0,2,585.73,265.234"
"112","1,0,2,591.433,267.413"
"113","1,0,2,597.07,269.727"
"114","1,0,2,608.136,274.75"
"115","1,0,2,618.912,280.289"
"116","1,0,2,629.38,286.326"
"117","1,0,2,639.526,292.847"
"118","1,0,2,649.334,299.834"
"119","1,0,2,658.786,307.272"
"120","1,0,2,667.868,315.145"
"121","1,0,2,676.562,323.438"
"122","1,0,2,684.855,332.132"
"123","1,0,2,692.728,341.214"
"124","1,0,2,700.166,350.666"
"125","1,0,2,707.153,360.474"
"126","1,0,2,713.674,370.62"
"127","1,0,2,719.711,381.088"
"128","1,0,2,725.25,391.864"
"129","1,0,2,730.273,402.93"
"130","1,0,2,732.587,408.567"
"131","1,0,2,734.766,414.27"
"132","1,0,2,736.808,420.039"
"133","1,0,2,738.712,425.87"
"134","1,0,2,740.474,431.761"
"135","1,0,2,742.094,437.712"
"136","1,0,2,743.569,443.719"
"137","1,0,2,744.897,449.78"
"138","1,0,2,746.077,455.895"
"139","1,0,2,747.106,462.059"
"140","1,0,2,747.982,468.273"
"141","1,0,2,748.703,474.533"
"142","1,0,2,749.267,480.838"
"143","1,0,2,749.673,487.185"
"144","1,0,2,749.918,493.573"
"145","1,0,2,750,500"
"146","1,0,2,749.918,506.427"
"147","1,0,2,749.673,512.815"
"148","1,0,2,749.267,519.162"
"149","1,0,2,748.703,525.467"
"150","1,0,2,747.982,531.727"
"151","1,0,2,747.106,537.941"
"152","1,0,2,746.077,544.105"
"153","1,0,2,744.897,550.22"
"154","1,0,2,743.569,556.281"
"155","1,0,2,742.094,562.288"
"156","1,0,2,740.474,568.239"
"157","1,0,2,738.712,574.13"
"158","1,0,2,736.808,579.961"
"159","1,0,2,734.766,585.73"
"160","1,0,2,732.587,591.433"
"161","1,0,2,730.273,597.07"
"162","1,0,2,725.25,608.136"
"163","1,0,2,719.711,618.912"
"164","1,0,2,713.674,629.38"
"165","1,0,2,707.153,639.526"
"166","1,0,2,700.166,649.334"
"167","1,0,2,692.728,658.786"
"168","1,0,2,684.855,667.868"
"169","1,0,2,676.562,676.562"
"170","1,0,2,667.868,684.855"
"171","1,0,2,658.786,692.728"
"172","1,0,2,649.334,700.166"
"173","1,0,2,639.526,707.153"
"174","1,0,2,629.38,713.674"
"175","1,0,2,618.912,719.711"
"176","1,0,2,608.136,725.25"
"177","1,0,2,597.07,730.273"
"178","1,0,2,591.433,732.587"
"179","1,0,2,585.73,734.766"
"180","1,0,2,579.961,736.808"
"181","1,0,2,574.13,738.712"
"182","1,0,2,568.239,740.474"
"183","1,0,2,562.288,742.094"
"184","1,0,2,556.281,743.569"
"185","1,0,2,550.22,744.897"
"186","1,0,2,544.105,746.077"
"187","1,0,2,537.941,747.106"
"188","1,0,2,531.727,747.982"
"189","1,0,2,525.467,748.703"
"190","1,0,2,519.162,749.267"
"191","1,0,2,512.815,749.673"
"192","1,0,2,506.427,749.918"
"193","1,0,2,500,750"
"194","1,0,2,500,750"
"195","1,0,2,NA,NA"
"196","NA,NA,NA,NA,NA"
"197","2,0,2,500,284"
"198","2,0,2,506.935,279.998"
"199","2,0,2,514.046,276.243"
"200","2,0,2,521.319,272.736"
"201","2,0,2,528.742,269.477"
"202","2,0,2,536.303,266.466"
"203","2,0,2,543.989,263.706"
"204","2,0,2,551.788,261.196"
"205","2,0,2,559.688,258.938"
"206","2,0,2,567.675,256.931"
"207","2,0,2,575.737,255.177"
"208","2,0,2,583.863,253.676"
"209","2,0,2,592.039,252.43"
"210","2,0,2,600.253,251.438"
"211","2,0,2,608.493,250.702"
"212","2,0,2,616.746,250.223"
"213","2,0,2,625,250"
"214","2,0,2,631.427,250.082"
"215","2,0,2,637.815,250.327"
"216","2,0,2,644.162,250.733"
"217","2,0,2,650.467,251.297"
"218","2,0,2,656.727,252.018"
"219","2,0,2,662.941,252.894"
"220","2,0,2,669.105,253.923"
"221","2,0,2,675.22,255.103"
"222","2,0,2,681.281,256.431"
"223","2,0,2,687.288,257.906"
"224","2,0,2,693.239,259.526"
"225","2,0,2,699.13,261.288"
"226","2,0,2,704.961,263.192"
"227","2,0,2,710.73,265.234"
"228","2,0,2,716.433,267.413"
"229","2,0,2,722.07,269.727"
"230","2,0,2,733.136,274.75"
"231","2,0,2,743.912,280.289"
"232","2,0,2,754.38,286.326"
"233","2,0,2,764.526,292.847"
"234","2,0,2,774.334,299.834"
"235","2,0,2,783.786,307.272"
"236","2,0,2,792.868,315.145"
"237","2,0,2,801.562,323.438"
"238","2,0,2,809.855,332.132"
"239","2,0,2,817.728,341.214"
"240","2,0,2,825.166,350.666"
"241","2,0,2,832.153,360.474"
"242","2,0,2,838.674,370.62"
"243","2,0,2,844.711,381.088"
"244","2,0,2,850.25,391.864"
"245","2,0,2,855.273,402.93"
"246","2,0,2,857.587,408.567"
"247","2,0,2,859.766,414.27"
"248","2,0,2,861.808,420.039"
"249","2,0,2,863.712,425.87"
"250","2,0,2,865.474,431.761"
"251","2,0,2,867.094,437.712"
"252","2,0,2,868.569,443.719"
"253","2,0,2,869.897,449.78"
"254","2,0,2,871.077,455.895"
"255","2,0,2,872.106,462.059"
"256","2,0,2,872.982,468.273"
"257","2,0,2,873.703,474.533"
"258","2,0,2,874.267,480.838"
"259","2,0,2,874.673,487.185"
"260","2,0,2,874.918,493.573"
"261","2,0,2,875,500"
"262","2,0,2,874.918,506.427"
"263","2,0,2,874.673,512.815"
"264","2,0,2,874.267,519.162"
"265","2,0,2,873.703,525.467"
"266","2,0,2,872.982,531.727"
"267","2,0,2,872.106,537.941"
"268","2,0,2,871.077,544.105"
"269","2,0,2,869.897,550.22"
"270","2,0,2,868.569,556.281"
"271","2,0,2,867.094,562.288"
"272","2,0,2,865.474,568.239"
"273","2,0,2,863.712,574.13"
"274","2,0,2,861.808,579.961"
"275","2,0,2,859.766,585.73"
"276","2,0,2,857.587,591.433"
"277","2,0,2,855.273,597.07"
"278","2,0,2,850.25,608.136"
"279","2,0,2,844.711,618.912"
"280","2,0,2,838.674,629.38"
"281","2,0,2,832.153,639.526"
"282","2,0,2,825.166,649.334"
"283","2,0,2,817.728,658.786"
"284","2,0,2,809.855,667.868"
"285","2,0,2,801.562,676.562"
"286","2,0,2,792.868,684.855"
"287","2,0,2,783.786,692.728"
"288","2,0,2,774.334,700.166"
"289","2,0,2,764.526,707.153"
"290","2,0,2,754.38,713.674"
"291","2,0,2,743.912,719.711"
"292","2,0,2,733.136,725.25"
"293","2,0,2,722.07,730.273"
"294","2,0,2,716.433,732.587"
"295","2,0,2,710.73,734.766"
"296","2,0,2,704.961,736.808"
"297","2,0,2,699.13,738.712"
"298","2,0,2,693.239,740.474"
"299","2,0,2,687.288,742.094"
"300","2,0,2,681.281,743.569"
"301","2,0,2,675.22,744.897"
"302","2,0,2,669.105,746.077"
"303","2,0,2,662.941,747.106"
"304","2,0,2,656.727,747.982"
"305","2,0,2,650.467,748.703"
"306","2,0,2,644.162,749.267"
"307","2,0,2,637.815,749.673"
"308","2,0,2,631.427,749.918"
"309","2,0,2,625,750"
"310","2,0,2,616.746,749.86"
"311","2,0,2,608.493,749.441"
"312","2,0,2,600.253,748.748"
"313","2,0,2,592.039,747.781"
"314","2,0,2,583.863,746.545"
"315","2,0,2,575.737,745.043"
"316","2,0,2,567.675,743.277"
"317","2,0,2,559.688,741.25"
"318","2,0,2,551.788,738.965"
"319","2,0,2,543.989,736.426"
"320","2,0,2,536.303,733.634"
"321","2,0,2,528.742,730.594"
"322","2,0,2,521.319,727.307"
"323","2,0,2,514.046,723.777"
"324","2,0,2,506.935,720.007"
"325","2,0,2,500,716"
"326","2,0,2,500,716"
"327","2,0,2,507.683,711.328"
"328","2,0,2,515.122,706.458"
"329","2,0,2,522.317,701.395"
"330","2,0,2,529.268,696.147"
"331","2,0,2,535.975,690.719"
"332","2,0,2,542.438,685.118"
"333","2,0,2,548.657,679.35"
"334","2,0,2,554.633,673.423"
"335","2,0,2,560.364,667.342"
"336","2,0,2,565.852,661.113"
"337","2,0,2,571.096,654.744"
"338","2,0,2,576.096,648.24"
"339","2,0,2,580.852,641.608"
"340","2,0,2,585.364,634.854"
"341","2,0,2,589.632,627.985"
"342","2,0,2,593.656,621.008"
"343","2,0,2,597.437,613.928"
"344","2,0,2,600.973,606.752"
"345","2,0,2,604.266,599.487"
"346","2,0,2,607.314,592.138"
"347","2,0,2,610.119,584.713"
"348","2,0,2,612.68,577.218"
"349","2,0,2,614.997,569.659"
"350","2,0,2,617.07,562.042"
"351","2,0,2,618.9,554.374"
"352","2,0,2,620.485,546.662"
"353","2,0,2,621.826,538.912"
"354","2,0,2,622.924,531.13"
"355","2,0,2,623.777,523.322"
"356","2,0,2,624.387,515.496"
"357","2,0,2,624.753,507.657"
"358","2,0,2,624.875,499.812"
"359","2,0,2,624.753,491.968"
"360","2,0,2,624.387,484.13"
"361","2,0,2,623.777,476.306"
"362","2,0,2,622.924,468.501"
"363","2,0,2,621.826,460.722"
"364","2,0,2,620.485,452.976"
"365","2,0,2,618.9,445.269"
"366","2,0,2,617.07,437.606"
"367","2,0,2,614.997,429.996"
"368","2,0,2,612.68,422.444"
"369","2,0,2,610.119,414.956"
"370","2,0,2,607.314,407.539"
"371","2,0,2,604.266,400.2"
"372","2,0,2,600.973,392.945"
"373","2,0,2,597.437,385.779"
"374","2,0,2,593.656,378.711"
"375","2,0,2,589.632,371.745"
"376","2,0,2,585.364,364.89"
"377","2,0,2,580.852,358.15"
"378","2,0,2,576.096,351.532"
"379","2,0,2,571.096,345.043"
"380","2,0,2,565.852,338.689"
"381","2,0,2,560.364,332.477"
"382","2,0,2,554.633,326.413"
"383","2,0,2,548.657,320.503"
"384","2,0,2,542.438,314.755"
"385","2,0,2,535.975,309.173"
"386","2,0,2,529.268,303.766"
"387","2,0,2,522.317,298.538"
"388","2,0,2,515.122,293.497"
"389","2,0,2,507.683,288.649"
"390","2,0,2,500,284"
"391","2,0,2,NA,NA"
"392","NA,NA,NA,NA,NA"
"393","2,0,3,500,284"
"394","2,0,3,492.317,288.671"
"395","2,0,3,484.878,293.541"
"396","2,0,3,477.683,298.602"
"397","2,0,3,470.732,303.848"
"398","2,0,3,464.025,309.273"
"399","2,0,3,457.562,314.87"
"400","2,0,3,451.343,320.634"
"401","2,0,3,445.367,326.557"
"402","2,0,3,439.636,332.633"
"403","2,0,3,434.148,338.856"
"404","2,0,3,428.904,345.22"
"405","2,0,3,423.904,351.718"
"406","2,0,3,419.148,358.343"
"407","2,0,3,414.636,365.09"
"408","2,0,3,410.368,371.952"
"409","2,0,3,406.344,378.922"
"410","2,0,3,402.563,385.994"
"411","2,0,3,399.027,393.163"
"412","2,0,3,395.734,400.42"
"413","2,0,3,392.686,407.761"
"414","2,0,3,389.881,415.178"
"415","2,0,3,387.32,422.666"
"416","2,0,3,385.003,430.217"
"417","2,0,3,382.93,437.826"
"418","2,0,3,381.1,445.486"
"419","2,0,3,379.515,453.191"
"420","2,0,3,378.174,460.934"
"421","2,0,3,377.076,468.709"
"422","2,0,3,376.223,476.509"
"423","2,0,3,375.613,484.329"
"424","2,0,3,375.247,492.161"
"425","2,0,3,375.125,500"
"426","2,0,3,375.247,507.839"
"427","2,0,3,375.613,515.671"
"428","2,0,3,376.223,523.491"
"429","2,0,3,377.076,531.291"
"430","2,0,3,378.174,539.066"
"431","2,0,3,379.515,546.809"
"432","2,0,3,381.1,554.514"
"433","2,0,3,382.93,562.174"
"434","2,0,3,385.003,569.783"
"435","2,0,3,387.32,577.334"
"436","2,0,3,389.881,584.822"
"437","2,0,3,392.686,592.239"
"438","2,0,3,395.734,599.58"
"439","2,0,3,399.027,606.837"
"440","2,0,3,402.563,614.006"
"441","2,0,3,406.344,621.078"
"442","2,0,3,410.368,628.048"
"443","2,0,3,414.636,634.91"
"444","2,0,3,419.148,641.657"
"445","2,0,3,423.904,648.282"
"446","2,0,3,428.904,654.78"
"447","2,0,3,434.148,661.144"
"448","2,0,3,439.636,667.367"
"449","2,0,3,445.367,673.443"
"450","2,0,3,451.343,679.366"
"451","2,0,3,457.562,685.13"
"452","2,0,3,464.025,690.727"
"453","2,0,3,470.732,696.152"
"454","2,0,3,477.683,701.398"
"455","2,0,3,484.878,706.459"
"456","2,0,3,492.317,711.329"
"457","2,0,3,500,716"
"458","2,0,3,500,716"
"459","2,0,3,493.065,720.007"
"460","2,0,3,485.954,723.777"
"461","2,0,3,478.681,727.307"
"462","2,0,3,471.258,730.594"
"463","2,0,3,463.697,733.634"
"464","2,0,3,456.011,736.426"
"465","2,0,3,448.212,738.965"
"466","2,0,3,440.312,741.25"
"467","2,0,3,432.325,743.277"
"468","2,0,3,424.263,745.043"
"469","2,0,3,416.137,746.545"
"470","2,0,3,407.961,747.781"
"471","2,0,3,399.747,748.748"
"472","2,0,3,391.507,749.441"
"473","2,0,3,383.254,749.86"
"474","2,0,3,375,750"
"475","2,0,3,368.573,749.918"
"476","2,0,3,362.185,749.673"
"477","2,0,3,355.838,749.267"
"478","2,0,3,349.533,748.703"
"479","2,0,3,343.273,747.982"
"480","2,0,3,337.059,747.106"
"481","2,0,3,330.895,746.077"
"482","2,0,3,324.78,744.897"
"483","2,0,3,318.719,743.569"
"484","2,0,3,312.712,742.094"
"485","2,0,3,306.761,740.474"
"486","2,0,3,300.87,738.712"
"487","2,0,3,295.039,736.808"
"488","2,0,3,289.27,734.766"
"489","2,0,3,283.567,732.587"
"490","2,0,3,277.93,730.273"
"491","2,0,3,266.864,725.25"
"492","2,0,3,256.088,719.711"
"493","2,0,3,245.62,713.674"
"494","2,0,3,235.474,707.153"
"495","2,0,3,225.666,700.166"
"496","2,0,3,216.214,692.728"
"497","2,0,3,207.132,684.855"
"498","2,0,3,198.438,676.562"
"499","2,0,3,190.145,667.868"
"500","2,0,3,182.272,658.786"
"501","2,0,3,174.834,649.334"
"502","2,0,3,167.847,639.526"
"503","2,0,3,161.326,629.38"
"504","2,0,3,155.289,618.912"
"505","2,0,3,149.75,608.136"
"506","2,0,3,144.727,597.07"
"507","2,0,3,142.413,591.433"
"508","2,0,3,140.234,585.73"
"509","2,0,3,138.192,579.961"
"510","2,0,3,136.288,574.13"
"511","2,0,3,134.526,568.239"
"512","2,0,3,132.906,562.288"
"513","2,0,3,131.431,556.281"
"514","2,0,3,130.103,550.22"
"515","2,0,3,128.923,544.105"
"516","2,0,3,127.894,537.941"
"517","2,0,3,127.018,531.727"
"518","2,0,3,126.297,525.467"
"519","2,0,3,125.733,519.162"
"520","2,0,3,125.327,512.815"
"521","2,0,3,125.082,506.427"
"522","2,0,3,125,500"
"523","2,0,3,125.082,493.573"
"524","2,0,3,125.327,487.185"
"525","2,0,3,125.733,480.838"
"526","2,0,3,126.297,474.533"
"527","2,0,3,127.018,468.273"
"528","2,0,3,127.894,462.059"
"529","2,0,3,128.923,455.895"
"530","2,0,3,130.103,449.78"
"531","2,0,3,131.431,443.719"
"532","2,0,3,132.906,437.712"
"533","2,0,3,134.526,431.761"
"534","2,0,3,136.288,425.87"
"535","2,0,3,138.192,420.039"
"536","2,0,3,140.234,414.27"
"537","2,0,3,142.413,408.567"
"538","2,0,3,144.727,402.93"
"539","2,0,3,149.75,391.864"
"540","2,0,3,155.289,381.088"
"541","2,0,3,161.326,370.62"
"542","2,0,3,167.847,360.474"
"543","2,0,3,174.834,350.666"
"544","2,0,3,182.272,341.214"
"545","2,0,3,190.145,332.132"
"546","2,0,3,198.438,323.438"
"547","2,0,3,207.132,315.145"
"548","2,0,3,216.214,307.272"
"549","2,0,3,225.666,299.834"
"550","2,0,3,235.474,292.847"
"551","2,0,3,245.62,286.326"
"552","2,0,3,256.088,280.289"
"553","2,0,3,266.864,274.75"
"554","2,0,3,277.93,269.727"
"555","2,0,3,283.567,267.413"
"556","2,0,3,289.27,265.234"
"557","2,0,3,295.039,263.192"
"558","2,0,3,300.87,261.288"
"559","2,0,3,306.761,259.526"
"560","2,0,3,312.712,257.906"
"561","2,0,3,318.719,256.431"
"562","2,0,3,324.78,255.103"
"563","2,0,3,330.895,253.923"
"564","2,0,3,337.059,252.894"
"565","2,0,3,343.273,252.018"
"566","2,0,3,349.533,251.297"
"567","2,0,3,355.838,250.733"
"568","2,0,3,362.185,250.327"
"569","2,0,3,368.573,250.082"
"570","2,0,3,375,250"
"571","2,0,3,383.254,250.223"
"572","2,0,3,391.507,250.702"
"573","2,0,3,399.747,251.438"
"574","2,0,3,407.961,252.43"
"575","2,0,3,416.137,253.676"
"576","2,0,3,424.263,255.177"
"577","2,0,3,432.325,256.931"
"578","2,0,3,440.312,258.938"
"579","2,0,3,448.212,261.196"
"580","2,0,3,456.011,263.706"
"581","2,0,3,463.697,266.466"
"582","2,0,3,471.258,269.477"
"583","2,0,3,478.681,272.736"
"584","2,0,3,485.954,276.243"
"585","2,0,3,493.065,279.998"
"586","2,0,3,500,284"
"587","2,0,3,NA,NA"
"588","NA,NA,NA,NA,NA"
"589","2,0,4,500,284"
"590","2,0,4,492.317,288.671"
"591","2,0,4,484.878,293.541"
"592","2,0,4,477.683,298.602"
"593","2,0,4,470.732,303.848"
"594","2,0,4,464.025,309.273"
"595","2,0,4,457.562,314.87"
"596","2,0,4,451.343,320.634"
"597","2,0,4,445.367,326.557"
"598","2,0,4,439.636,332.633"
"599","2,0,4,434.148,338.856"
"600","2,0,4,428.904,345.22"
"601","2,0,4,423.904,351.718"
"602","2,0,4,419.148,358.343"
"603","2,0,4,414.636,365.09"
"604","2,0,4,410.368,371.952"
"605","2,0,4,406.344,378.922"
"606","2,0,4,402.563,385.994"
"607","2,0,4,399.027,393.163"
"608","2,0,4,395.734,400.42"
"609","2,0,4,392.686,407.761"
"610","2,0,4,389.881,415.178"
"611","2,0,4,387.32,422.666"
"612","2,0,4,385.003,430.217"
"613","2,0,4,382.93,437.826"
"614","2,0,4,381.1,445.486"
"615","2,0,4,379.515,453.191"
"616","2,0,4,378.174,460.934"
"617","2,0,4,377.076,468.709"
"618","2,0,4,376.223,476.509"
"619","2,0,4,375.613,484.329"
"620","2,0,4,375.247,492.161"
"621","2,0,4,375.125,500"
"622","2,0,4,375.247,507.839"
"623","2,0,4,375.613,515.671"
"624","2,0,4,376.223,523.491"
"625","2,0,4,377.076,531.291"
"626","2,0,4,378.174,539.066"
"627","2,0,4,379.515,546.809"
"628","2,0,4,381.1,554.514"
"629","2,0,4,382.93,562.174"
"630","2,0,4,385.003,569.783"
"631","2,0,4,387.32,577.334"
"632","2,0,4,389.881,584.822"
"633","2,0,4,392.686,592.239"
"634","2,0,4,395.734,599.58"
"635","2,0,4,399.027,606.837"
"636","2,0,4,402.563,614.006"
"637","2,0,4,406.344,621.078"
"638","2,0,4,410.368,628.048"
"639","2,0,4,414.636,634.91"
"640","2,0,4,419.148,641.657"
"641","2,0,4,423.904,648.282"
"642","2,0,4,428.904,654.78"
"643","2,0,4,434.148,661.144"
"644","2,0,4,439.636,667.367"
"645","2,0,4,445.367,673.443"
"646","2,0,4,451.343,679.366"
"647","2,0,4,457.562,685.13"
"648","2,0,4,464.025,690.727"
"649","2,0,4,470.732,696.152"
"650","2,0,4,477.683,701.398"
"651","2,0,4,484.878,706.459"
"652","2,0,4,492.317,711.329"
"653","2,0,4,500,716"
"654","2,0,4,500,716"
"655","2,0,4,507.683,711.328"
"656","2,0,4,515.122,706.458"
"657","2,0,4,522.317,701.395"
"658","2,0,4,529.268,696.147"
"659","2,0,4,535.975,690.719"
"660","2,0,4,542.438,685.118"
"661","2,0,4,548.657,679.35"
"662","2,0,4,554.633,673.423"
"663","2,0,4,560.364,667.342"
"664","2,0,4,565.852,661.113"
"665","2,0,4,571.096,654.744"
"666","2,0,4,576.096,648.24"
"667","2,0,4,580.852,641.608"
"668","2,0,4,585.364,634.854"
"669","2,0,4,589.632,627.985"
"670","2,0,4,593.656,621.008"
"671","2,0,4,597.437,613.928"
"672","2,0,4,600.973,606.752"
"673","2,0,4,604.266,599.487"
"674","2,0,4,607.314,592.138"
"675","2,0,4,610.119,584.713"
"676","2,0,4,612.68,577.218"
"677","2,0,4,614.997,569.659"
"678","2,0,4,617.07,562.042"
"679","2,0,4,618.9,554.374"
"680","2,0,4,620.485,546.662"
"681","2,0,4,621.826,538.912"
"682","2,0,4,622.924,531.13"
"683","2,0,4,623.777,523.322"
"684","2,0,4,624.387,515.496"
"685","2,0,4,624.753,507.657"
"686","2,0,4,624.875,499.812"
"687","2,0,4,624.753,491.968"
"688","2,0,4,624.387,484.13"
"689","2,0,4,623.777,476.306"
"690","2,0,4,622.924,468.501"
"691","2,0,4,621.826,460.722"
"692","2,0,4,620.485,452.976"
"693","2,0,4,618.9,445.269"
"694","2,0,4,617.07,437.606"
"695","2,0,4,614.997,429.996"
"696","2,0,4,612.68,422.444"
"697","2,0,4,610.119,414.956"
"698","2,0,4,607.314,407.539"
"699","2,0,4,604.266,400.2"
"700","2,0,4,600.973,392.945"
"701","2,0,4,597.437,385.779"
"702","2,0,4,593.656,378.711"
"703","2,0,4,589.632,371.745"
"704","2,0,4,585.364,364.89"
"705","2,0,4,580.852,358.15"
"706","2,0,4,576.096,351.532"
"707","2,0,4,571.096,345.043"
"708","2,0,4,565.852,338.689"
"709","2,0,4,560.364,332.477"
"710","2,0,4,554.633,326.413"
"711","2,0,4,548.657,320.503"
"712","2,0,4,542.438,314.755"
"713","2,0,4,535.975,309.173"
"714","2,0,4,529.268,303.766"
"715","2,0,4,522.317,298.538"
"716","2,0,4,515.122,293.497"
"717","2,0,4,507.683,288.649"
"718","2,0,4,500,284"
"719","2,0,4,NA,NA"
"720","NA,NA,NA,NA,NA"
"721","3,0,2,625,391.5"
"722","3,0,2,624.896,383.325"
"723","3,0,2,624.511,375.172"
"724","3,0,2,623.85,367.049"
"725","3,0,2,622.914,358.963"
"726","3,0,2,621.709,350.92"
"727","3,0,2,620.237,342.928"
"728","3,0,2,618.502,334.993"
"729","3,0,2,616.508,327.122"
"730","3,0,2,614.258,319.322"
"731","3,0,2,611.755,311.601"
"732","3,0,2,609.004,303.964"
"733","3,0,2,606.007,296.42"
"734","3,0,2,602.768,288.974"
"735","3,0,2,599.292,281.635"
"736","3,0,2,595.58,274.407"
"737","3,0,2,591.638,267.3"
"738","3,0,2,587.467,260.319"
"739","3,0,2,583.073,253.472"
"740","3,0,2,578.458,246.765"
"741","3,0,2,573.626,240.205"
"742","3,0,2,568.581,233.8"
"743","3,0,2,563.325,227.555"
"744","3,0,2,557.863,221.479"
"745","3,0,2,552.198,215.578"
"746","3,0,2,546.334,209.859"
"747","3,0,2,540.274,204.329"
"748","3,0,2,534.022,198.994"
"749","3,0,2,527.581,193.862"
"750","3,0,2,520.955,188.94"
"751","3,0,2,514.147,184.234"
"752","3,0,2,507.161,179.752"
"753","3,0,2,500,175.5"
"754","3,0,2,500,175.5"
"755","3,0,2,507.529,171.333"
"756","3,0,2,515.112,167.457"
"757","3,0,2,522.747,163.868"
"758","3,0,2,530.43,160.562"
"759","3,0,2,538.156,157.539"
"760","3,0,2,545.923,154.793"
"761","3,0,2,553.726,152.323"
"762","3,0,2,561.562,150.125"
"763","3,0,2,569.428,148.197"
"764","3,0,2,577.319,146.535"
"765","3,0,2,585.233,145.137"
"766","3,0,2,593.164,144"
"767","3,0,2,601.11,143.121"
"768","3,0,2,609.067,142.496"
"769","3,0,2,617.032,142.124"
"770","3,0,2,625,142"
"771","3,0,2,631.454,142.082"
"772","3,0,2,637.868,142.325"
"773","3,0,2,644.239,142.728"
"774","3,0,2,650.567,143.289"
"775","3,0,2,656.848,144.006"
"776","3,0,2,663.082,144.877"
"777","3,0,2,669.265,145.9"
"778","3,0,2,675.396,147.073"
"779","3,0,2,681.474,148.394"
"780","3,0,2,687.495,149.862"
"781","3,0,2,693.459,151.473"
"782","3,0,2,699.362,153.226"
