"","houseid","village","education","containers","viltype"
"117",121,105,"Primary",2,"rural"
"118",122,105,"Primary",0,"rural"
"119",123,105,"Primary",0,"rural"
"120",124,105,"Primary",0,"rural"
"121",125,77,"Primary",0,"rural"
"122",126,77,"High school",2,"rural"
"123",127,77,"Primary",0,"rural"
"124",128,77,"High school",0,"rural"
"125",129,77,"Primary",1,"rural"
"126",130,77,"High school",2,"rural"
"127",131,77,"Primary",0,"rural"
"128",132,77,"Primary",0,"rural"
"129",133,77,"Primary",0,"rural"
"130",134,77,"Primary",0,"rural"
"131",135,77,"Primary",2,"rural"
"132",136,77,"Other",0,"rural"
"133",137,65,"Primary",0,"rural"
"134",138,65,"Primary",0,"rural"
"135",139,65,"High school",0,"rural"
"136",140,65,"Primary",0,"rural"
"137",141,65,"Primary",0,"rural"
"138",142,65,"Bachelor",0,"rural"
"139",143,65,"High school",0,"rural"
"140",144,65,"Other",0,"rural"
"141",145,65,"Primary",0,"rural"
"142",146,65,"Bachelor",2,"rural"
"143",147,65,"Primary",0,"rural"
"144",148,65,"Primary",0,"rural"
"145",149,90,"Secondary",0,"rural"
"146",150,90,"Primary",0,"rural"
"147",151,90,"Primary",0,"rural"
"148",152,90,"Primary",0,"rural"
"149",153,90,"Other",0,"rural"
"150",154,90,"High school",0,"rural"
"151",155,90,"Primary",0,"rural"
"152",156,90,"Primary",0,"rural"
"153",157,90,"High school",1,"rural"
"154",158,90,"Primary",0,"rural"
"155",159,90,"Other",0,"rural"
"156",160,1,"High school",0,"slum"
"157",161,1,"Primary",0,"slum"
"158",162,1,"Primary",0,"slum"
"159",163,1,"High school",1,"slum"
"160",164,1,"Primary",0,"slum"
"161",165,1,"Primary",1,"slum"
"162",166,1,"Bachelor",0,"slum"
"163",167,1,"Bachelor",1,"slum"
"164",168,1,"Primary",0,"slum"
"165",169,1,"High school",0,"slum"
"166",170,1,"Primary",0,"slum"
"167",171,1,"Other",0,"slum"
"168",200,2,"Other",0,"slum"
"169",201,2,"Primary",0,"slum"
"170",202,2,"Primary",0,"slum"
"171",203,2,"Secondary",0,"slum"
"172",204,2,"Secondary",0,"slum"
"173",205,2,"Primary",0,"slum"
"174",206,2,"Primary",1,"slum"
"175",207,2,"Other",1,"slum"
"176",208,2,"Primary",0,"slum"
"177",209,2,"Primary",0,"slum"
"178",210,2,"Secondary",0,"slum"
"179",211,2,"Other",0,"slum"
"180",212,33,"Other",1,"rural"
"181",213,33,"Primary",2,"rural"
"182",214,33,"Primary",0,"rural"
"183",215,33,"Primary",1,"rural"
"184",216,34,"Other",1,"rural"
"185",217,34,"Secondary",1,"rural"
"186",218,34,"High school",0,"rural"
"187",219,34,"Secondary",0,"rural"
"188",220,31,"Primary",1,"rural"
"189",221,31,"Secondary",5,"rural"
"190",222,31,"Primary",0,"rural"
"191",223,31,"Other",1,"rural"
"192",224,33,"Primary",4,"rural"
"193",225,33,"Primary",1,"rural"
"194",226,33,"Secondary",1,"rural"
"195",227,33,"Primary",2,"rural"
"196",228,34,"Primary",0,"rural"
"197",229,34,"Secondary",0,"rural"
"198",230,34,"Primary",0,"rural"
"199",231,34,"Other",0,"rural"
"200",232,31,"Primary",1,"rural"
"201",233,31,"Primary",2,"rural"
"202",234,31,"Primary",0,"rural"
"203",235,31,"Bachelor",0,"rural"
"204",236,33,"High school",2,"rural"
"205",237,33,"Primary",1,"rural"
"206",238,33,"High school",1,"rural"
"207",239,33,"Primary",0,"rural"
"208",240,34,"Primary",2,"rural"
"209",241,34,"Other",0,"rural"
"210",242,34,"Secondary",0,"rural"
"211",243,34,"Primary",0,"rural"
"212",244,31,"Primary",1,"rural"
"213",245,31,"Primary",0,"rural"
"214",246,31,"Primary",0,"rural"
"215",247,31,"High school",0,"rural"
"216",260,3,"Primary",1,"slum"
"217",261,3,"Primary",0,"slum"
"218",262,3,"Primary",1,"slum"
"219",263,3,"Primary",2,"slum"
"220",264,3,"Primary",2,"slum"
"221",265,3,"Other",0,"slum"
"222",266,3,"High school",0,"slum"
"223",267,3,"Other",0,"slum"
"224",268,3,"Primary",0,"slum"
"225",269,3,"Primary",0,"slum"
"226",270,3,"Primary",0,"slum"
"227",271,3,"Primary",0,"slum"
"228",272,90,"Bachelor",1,"rural"
"229",273,93,"Primary",0,"rural"
"230",274,93,"Other",0,"rural"
"231",275,93,"Primary",0,"rural"
"232",276,93,"Primary",0,"rural"
"233",277,93,"Secondary",0,"rural"
"234",278,93,"High school",0,"rural"
"235",279,93,"Primary",0,"rural"
"236",280,93,"Primary",0,"rural"
"237",281,93,"Primary",0,"rural"
"238",282,93,"Secondary",3,"rural"
"239",283,93,"Other",1,"rural"
"240",284,93,"Primary",0,"rural"
"241",285,75,"Other",0,"urban"
"242",286,75,"Secondary",0,"urban"
"243",287,75,"High school",0,"urban"
"244",288,75,"High school",0,"urban"
"245",289,75,"High school",0,"urban"
"246",290,75,"Primary",0,"urban"
"247",291,75,"Primary",0,"urban"
"248",292,75,"Primary",0,"urban"
"249",293,75,"Bachelor",0,"urban"
"250",294,75,"Primary",0,"urban"
"251",295,75,"Primary",0,"urban"
"252",296,75,"Primary",0,"urban"
"253",297,101,"Primary",0,"rural"
"254",298,101,"Primary",0,"rural"
"255",299,101,"Primary",0,"rural"
"256",300,101,"Primary",0,"rural"
"257",301,101,"Primary",0,"rural"
"258",302,101,"Primary",1,"rural"
"259",303,101,"Other",0,"rural"
"260",304,101,"Primary",0,"rural"
"261",305,101,"High school",0,"rural"
"262",306,101,"Primary",0,"rural"
"263",307,101,"Primary",0,"rural"
"264",308,101,"Primary",0,"rural"
"265",350,60,"Secondary",0,"urban"
"266",351,60,"Primary",0,"urban"
"267",352,60,"Primary",0,"urban"
"268",353,60,"Primary",0,"urban"
"269",354,60,"Other",0,"urban"
"270",355,60,"Primary",0,"urban"
"271",356,60,"High school",0,"urban"
"272",357,60,"Other",0,"urban"
"273",358,60,"Bachelor",0,"urban"
"274",359,60,"Primary",0,"urban"
"275",360,60,"Bachelor",0,"urban"
"276",361,60,"Primary",0,"urban"
"277",362,9,"Primary",0,"rural"
"278",363,9,"Primary",1,"rural"
"279",364,9,"Primary",0,"rural"
"280",365,9,"Secondary",0,"rural"
"281",366,9,"Primary",0,"rural"
"282",367,9,"Primary",0,"rural"
"283",368,9,"Secondary",0,"rural"
"284",369,9,"Primary",0,"rural"
"285",370,9,"Primary",0,"rural"
"286",371,9,"Primary",0,"rural"
"287",372,9,"Secondary",1,"rural"
"288",373,9,"Bachelor",0,"rural"
"289",374,39,"Primary",0,"rural"
"290",375,39,"Primary",0,"rural"
"291",376,39,"Primary",1,"rural"
"292",377,39,"Primary",0,"rural"
"293",378,39,"Primary",0,"rural"
"294",379,39,"Primary",0,"rural"
"295",380,39,"Bachelor",0,"rural"
"296",381,39,"Primary",3,"rural"
"297",382,39,"Primary",0,"rural"
"298",383,39,"Primary",0,"rural"
"299",384,39,"Primary",0,"rural"
"300",385,39,"Primary",0,"rural"
