"","woman","district","user","living.children","age_mean","urban","constant"
"66",66,1,0,4,10.44,0,1
"67",67,1,0,4,4.44,0,1
"68",68,1,0,4,-3.5599,0,1
"69",69,1,0,1,-12.559,0,1
"70",70,1,0,3,-7.5599,0,1
"71",71,1,0,1,-13.559,0,1
"72",72,1,0,4,3.44,0,1
"73",73,1,0,3,19.44,0,1
"74",74,1,0,3,-7.5599,0,1
"75",75,1,0,3,1.44,0,1
"76",76,1,0,1,-4.5599,0,1
"77",77,1,0,1,-7.5599,0,1
"78",78,1,0,4,-1.5599,0,1
"79",79,1,0,4,2.44,0,1
"80",80,1,0,4,8.44,0,1
"81",81,1,0,4,8.44,0,1
"82",82,1,0,1,-9.5599,0,1
"83",83,1,1,4,8.44,0,1
"84",84,1,0,4,7.44,0,1
"85",85,1,0,4,5.44,0,1
"86",86,1,1,4,2.44,0,1
"87",87,1,0,1,-4.5599,0,1
"88",88,1,0,4,0.44,0,1
"89",89,1,0,4,11.44,0,1
"90",90,1,1,4,-3.5599,0,1
"91",91,1,0,1,5.44,0,1
"92",92,1,0,4,-1.5599,0,1
"93",93,1,0,3,-7.5599,0,1
"94",94,1,1,4,5.44,0,1
"95",95,1,0,2,6.44,0,1
"96",96,1,1,4,0.44,0,1
"97",97,1,1,4,10.44,0,1
"98",98,1,1,4,7.44,0,1
"99",99,1,0,2,-11.559,0,1
"100",100,1,0,3,10.44,0,1
"101",101,1,0,4,2.44,0,1
"102",102,1,0,3,-3.5599,0,1
"103",103,1,0,4,0.44,0,1
"104",104,1,0,4,16.44,0,1
"105",105,1,0,2,4.44,0,1
"106",106,1,0,4,12.44,0,1
"107",107,1,0,4,8.44,0,1
"108",108,1,0,4,18.44,0,1
"109",109,1,0,1,-13.559,0,1
"110",110,1,0,2,-11.559,0,1
"111",111,1,0,1,-2.56,0,1
"112",112,1,0,1,-5.5599,0,1
"113",113,1,0,3,3.44,0,1
"114",114,1,0,1,-1.5599,0,1
"115",115,1,0,4,3.44,0,1
"116",116,1,0,4,-1.5599,0,1
"117",117,1,0,3,11.44,0,1
"118",118,2,0,4,-1.5599,0,1
"119",119,2,0,3,-5.5599,0,1
"120",120,2,0,1,-13.559,0,1
"121",121,2,1,3,-5.5599,0,1
"122",122,2,0,4,19.44,0,1
"123",123,2,1,4,1.44,0,1
"124",124,2,1,2,-2.56,0,1
"125",125,2,1,3,6.44,0,1
"126",126,2,0,3,-5.5599,0,1
"127",127,2,1,4,7.44,0,1
"128",128,2,0,4,1.44,0,1
"129",129,2,0,3,0.44,0,1
"130",130,2,0,1,-11.559,0,1
"131",131,2,0,4,10.44,0,1
"132",132,2,0,1,-7.56,0,1
"133",133,2,1,3,-2.5599,0,1
"134",134,2,0,1,-13.559,0,1
"135",135,2,1,3,-2.5599,0,1
"136",136,2,0,3,1.44,0,1
"137",137,2,0,2,-11.559,0,1
"138",138,3,1,4,-3.5599,1,1
"139",139,3,1,1,-8.5599,1,1
"140",140,4,1,2,-6.5599,1,1
"141",141,4,1,4,2.44,1,1
"142",142,4,1,3,-1.5599,1,1
"143",143,4,0,1,-3.5599,1,1
"144",144,4,1,4,4.44,1,1
"145",145,4,1,3,7.44,1,1
"146",146,4,1,4,7.44,1,1
"147",147,4,1,4,-0.5599,1,1
"148",148,4,1,2,-10.559,1,1
"149",149,4,1,2,-3.5599,1,1
"150",150,4,1,4,2.44,1,1
"151",151,4,0,3,-2.5599,0,1
"152",152,4,1,2,-4.5599,0,1
"153",153,4,0,1,-4.5599,0,1
"154",154,4,0,4,14.44,0,1
"155",155,4,0,4,16.44,0,1
"156",156,4,0,4,6.44,0,1
"157",157,4,0,4,-1.5599,0,1
"158",158,4,1,2,1.44,0,1
"159",159,4,0,4,2.44,0,1
"160",160,4,0,4,13.44,0,1
"161",161,4,0,4,16.44,0,1
"162",162,4,1,4,-0.5599,0,1
"163",163,4,1,4,8.44,0,1
"164",164,4,1,4,2.44,0,1
"165",165,4,0,1,-10.559,0,1
"166",166,4,0,3,-1.5599,0,1
"167",167,4,0,2,-11.559,0,1
"168",168,4,0,3,-9.5599,0,1
"169",169,4,0,1,-7.5599,0,1
"170",170,5,0,1,-13.56,1,1
"171",171,5,1,4,2.44,1,1
"172",172,5,0,2,-4.5599,0,1
"173",173,5,0,4,3.44,0,1
"174",174,5,0,1,-13.559,0,1
"175",175,5,1,3,-4.5599,0,1
"176",176,5,0,1,-11.559,0,1
"177",177,5,1,1,-11.559,0,1
"178",178,5,1,2,-6.5599,0,1
"179",179,5,0,4,13.44,0,1
"180",180,5,1,1,-11.559,0,1
"181",181,5,0,1,-10.559,0,1
"182",182,5,0,1,-10.559,0,1
"183",183,5,0,4,16.44,0,1
"184",184,5,0,1,-3.56,0,1
"185",185,5,0,4,-2.5599,0,1
"186",186,5,0,4,16.44,0,1
"187",187,5,1,4,7.44,0,1
"188",188,5,0,1,-10.559,0,1
"189",189,5,0,4,0.44,0,1
"190",190,5,1,4,6.44,0,1
"191",191,5,0,4,2.44,0,1
"192",192,5,0,1,-9.5599,0,1
"193",193,5,1,3,-8.56,0,1
"194",194,5,1,4,14.44,0,1
"195",195,5,1,4,1.44,0,1
"196",196,5,1,3,-4.5599,0,1
"197",197,5,0,4,-4.5599,0,1
"198",198,5,0,3,-7.5599,0,1
"199",199,5,1,3,-5.5599,0,1
"200",200,5,1,1,-8.5599,0,1
"201",201,5,0,1,-12.56,0,1
"202",202,5,0,4,-1.5599,0,1
"203",203,5,0,4,-1.5599,0,1
"204",204,5,0,4,18.44,0,1
"205",205,5,0,3,17.44,0,1
"206",206,5,1,4,-0.5599,0,1
"207",207,5,0,4,11.44,0,1
"208",208,5,0,4,13.44,0,1
"209",209,6,1,1,-0.5599,1,1
"210",210,6,1,2,-4.5599,1,1
"211",211,6,1,4,-0.5599,1,1
"212",212,6,0,3,11.44,1,1
"213",213,6,1,1,-4.5599,1,1
"214",214,6,0,4,7.44,1,1
"215",215,6,1,4,4.44,1,1
"216",216,6,0,3,-5.56,0,1
"217",217,6,0,4,13.44,0,1
"218",218,6,1,1,-12.56,0,1
"219",219,6,0,4,12.44,0,1
"220",220,6,0,4,-5.5599,0,1
"221",221,6,0,4,8.44,0,1
"222",222,6,0,1,-11.559,0,1
"223",223,6,1,2,-0.5599,0,1
"224",224,6,0,2,-7.56,0,1
"225",225,6,0,2,6.44,0,1
"226",226,6,1,4,4.44,0,1
"227",227,6,1,3,-5.56,0,1
"228",228,6,1,3,-0.5599,0,1
"229",229,6,0,1,-6.56,0,1
"230",230,6,0,3,0.44,0,1
"231",231,6,0,4,13.44,0,1
"232",232,6,0,4,11.44,0,1
"233",233,6,0,1,1.44,0,1
"234",234,6,1,2,-5.5599,0,1
"235",235,6,0,1,-6.56,0,1
"236",236,6,1,3,-4.56,0,1
"237",237,6,0,3,-2.5599,0,1
"238",238,6,1,4,13.44,0,1
"239",239,6,0,1,-9.5599,0,1
"240",240,6,0,1,-11.559,0,1
"241",241,6,0,1,-8.5599,0,1
"242",242,6,0,1,-9.5599,0,1
"243",243,6,0,4,-2.5599,0,1
"244",244,6,0,1,-10.559,0,1
"245",245,6,0,4,18.44,0,1
"246",246,6,1,2,-7.56,0,1
"247",247,6,0,2,-4.5599,0,1
"248",248,6,0,2,-9.5599,0,1
"249",249,6,1,4,-0.56,0,1
"250",250,6,0,1,-8.5599,0,1
"251",251,6,0,2,8.44,0,1
"252",252,6,0,2,-5.5599,0,1
"253",253,6,0,3,5.44,0,1
"254",254,6,0,1,-12.56,0,1
"255",255,6,0,4,16.44,0,1
"256",256,6,0,4,8.44,0,1
"257",257,6,0,4,8.44,0,1
"258",258,6,0,2,-4.5599,0,1
"259",259,6,0,1,-6.56,0,1
"260",260,6,0,3,-2.5599,0,1
"261",261,6,0,4,18.44,0,1
"262",262,6,0,3,18.44,0,1
"263",263,6,0,4,-0.56,0,1
"264",264,6,0,4,8.44,0,1
"265",265,6,0,4,-8.5599,0,1
"266",266,6,0,4,-5.5599,0,1
"267",267,6,1,3,0.44,0,1
"268",268,6,1,4,2.44,0,1
"269",269,6,0,2,-7.56,0,1
"270",270,6,1,4,-2.5599,0,1
"271",271,6,0,4,15.44,0,1
"272",272,6,1,4,10.44,0,1
"273",273,6,0,1,-7.5599,0,1
"274",274,7,0,4,1.44,0,1
"275",275,7,0,2,-8.5599,0,1
"276",276,7,0,2,-7.56,0,1
"277",277,7,0,1,-13.56,0,1
"278",278,7,0,4,-5.5599,0,1
"279",279,7,0,1,-10.559,0,1
"280",280,7,1,4,3.44,0,1
"281",281,7,0,4,11.44,0,1
"282",282,7,1,1,-7.5599,0,1
"283",283,7,0,2,-6.56,0,1
"284",284,7,0,4,-0.5599,0,1
"285",285,7,0,2,2.44,0,1
"286",286,7,1,4,3.44,0,1
"287",287,7,0,4,6.44,0,1
"288",288,7,1,2,-10.559,0,1
"289",289,7,0,3,1.44,0,1
"290",290,7,0,1,-10.559,0,1
"291",291,7,1,1,-8.5599,0,1
"292",292,8,1,1,-10.559,1,1
"293",293,8,1,3,0.44,1,1
"294",294,8,0,1,19.44,0,1
"295",295,8,0,4,9.44,0,1
"296",296,8,1,3,-4.5599,0,1
"297",297,8,0,1,-12.56,0,1
"298",298,8,0,2,-5.5599,0,1
"299",299,8,0,4,11.44,0,1
"300",300,8,1,2,-6.5599,0,1
"301",301,8,0,1,-11.56,0,1
"302",302,8,1,4,7.44,0,1
"303",303,8,0,2,0.44,0,1
"304",304,8,1,4,1.44,0,1
"305",305,8,1,2,-7.5599,0,1
"306",306,8,1,4,5.44,0,1
"307",307,8,0,3,2.44,0,1
"308",308,8,1,2,-7.5599,0,1
"309",309,8,0,4,-1.5599,0,1
"310",310,8,0,1,-9.5599,0,1
"311",311,8,1,2,-6.5599,0,1
"312",312,8,0,1,-7.5599,0,1
"313",313,8,1,4,19.44,0,1
"314",314,8,0,3,-8.5599,0,1
"315",315,8,0,3,-6.5599,0,1
"316",316,8,1,4,19.44,0,1
"317",317,8,1,4,13.44,0,1
"318",318,8,0,2,-9.5599,0,1
"319",319,8,0,1,-6.5599,0,1
"320",320,8,0,4,12.44,0,1
"321",321,8,1,3,0.44,0,1
"322",322,8,0,4,16.44,0,1
"323",323,8,0,2,7.44,0,1
"324",324,8,0,1,-13.56,0,1
"325",325,8,0,2,-3.5599,0,1
"326",326,8,0,1,-6.5599,0,1
"327",327,8,0,1,-9.5599,0,1
"328",328,8,0,4,-2.5599,0,1
"329",329,9,1,4,7.44,1,1
"330",330,9,1,3,-3.5599,1,1
"331",331,9,0,4,16.44,1,1
"332",332,9,0,3,1.44,0,1
"333",333,9,1,4,-4.5599,0,1
"334",334,9,0,4,-3.5599,0,1
"335",335,9,1,2,-9.5599,0,1
"336",336,9,0,4,-0.5599,0,1
"337",337,9,1,3,2.44,0,1
"338",338,9,0,1,-11.559,0,1
"339",339,9,0,4,10.44,0,1
"340",340,9,0,3,-5.5599,0,1
"341",341,9,0,2,-6.56,0,1
"342",342,9,1,4,10.44,0,1
"343",343,9,0,3,-10.559,0,1
"344",344,9,0,4,15.44,0,1
"345",345,9,0,4,-5.5599,0,1
"346",346,9,0,1,-12.56,0,1
"347",347,9,0,1,-12.56,0,1
"348",348,9,0,2,-8.5599,0,1
"349",349,9,1,3,-4.5599,0,1
"350",350,9,0,4,10.44,0,1
"351",351,9,0,4,11.44,0,1
"352",352,10,0,3,18.44,0,1
"353",353,10,0,1,-11.559,0,1
"354",354,10,0,2,-6.5599,0,1
"355",355,10,0,4,3.44,0,1
"356",356,10,0,4,6.44,0,1
"357",357,10,0,1,13.44,0,1
"358",358,10,0,4,15.44,0,1
"359",359,10,1,2,3.44,0,1
"360",360,10,0,4,15.44,0,1
"361",361,10,0,3,19.44,0,1
"362",362,10,0,1,12.44,0,1
"363",363,10,0,1,-12.559,0,1
"364",364,10,0,1,-9.5599,0,1
"365",365,11,0,1,-9.5599,0,1
"366",366,11,0,1,-8.5599,0,1
"367",367,11,0,2,-5.5599,0,1
"368",368,11,0,2,18.44,0,1
"369",369,11,0,1,-8.5599,0,1
"370",370,11,0,1,-9.5599,0,1
"371",371,11,0,1,-12.559,0,1
"372",372,11,0,1,3.44,0,1
"373",373,11,0,1,-8.5599,0,1
"374",374,11,0,4,19.44,0,1
"375",375,11,0,1,-3.5599,0,1
"376",376,11,0,2,-5.5599,0,1
"377",377,11,0,2,2.44,0,1
"378",378,11,0,2,0.44,0,1
"379",379,11,0,1,-11.559,0,1
"380",380,11,0,3,-2.5599,0,1
"381",381,11,0,4,2.44,0,1
"382",382,11,0,2,-8.5599,0,1
"383",383,11,0,1,-8.5599,0,1
"384",384,11,0,1,-6.56,0,1
"385",385,11,0,4,18.44,0,1
"386",386,12,1,4,9.44,1,1
"387",387,12,0,4,18.44,1,1
"388",388,12,0,3,-5.5599,1,1
"389",389,12,1,1,4.44,1,1
"390",390,12,0,4,-3.5599,1,1
"391",391,12,0,4,17.44,1,1
"392",392,12,1,4,9.44,0,1
"393",393,12,0,2,-7.5599,0,1
"394",394,12,0,4,19.44,0,1
"395",395,12,0,4,6.44,0,1
"396",396,12,0,1,-1.5599,0,1
"397",397,12,0,4,3.44,0,1
"398",398,12,1,1,-5.5599,0,1
"399",399,12,0,4,5.44,0,1
"400",400,12,1,1,-11.559,0,1
"401",401,12,0,4,-1.5599,0,1
"402",402,12,0,4,2.44,0,1
"403",403,12,0,3,-5.5599,0,1
"404",404,12,1,2,-1.5599,0,1
"405",405,12,0,4,5.44,0,1
"406",406,12,1,4,18.44,0,1
"407",407,12,0,4,10.44,0,1
"408",408,12,1,4,4.44,0,1
"409",409,12,0,4,3.44,0,1
"410",410,12,1,4,11.44,0,1
"411",411,12,0,3,-2.5599,0,1
"412",412,12,0,3,-1.5599,0,1
"413",413,12,1,4,8.44,0,1
"414",414,12,0,1,-4.5599,0,1
"415",415,13,0,4,10.44,1,1
"416",416,13,0,1,-11.559,1,1
"417",417,13,1,4,6.44,1,1
"418",418,13,1,1,-7.5599,1,1
"419",419,13,0,2,-12.559,1,1
"420",420,13,1,2,-3.5599,1,1
"421",421,13,0,1,-8.5599,1,1
"422",422,13,0,1,-5.5599,1,1
"423",423,13,0,4,-2.5599,0,1
"424",424,13,0,4,16.44,0,1
"425",425,13,1,4,0.44,0,1
"426",426,13,1,4,-1.5599,0,1
"427",427,13,0,1,-2.5599,0,1
"428",428,13,0,4,15.44,0,1
"429",429,13,0,2,0.44,0,1
"430",430,13,1,3,-7.5599,0,1
"431",431,13,0,1,10.44,0,1
"432",432,13,0,1,-7.5599,0,1
"433",433,13,0,4,3.44,0,1
"434",434,13,1,4,0.44,0,1
"435",435,13,0,1,13.44,0,1
"436",436,13,1,4,4.44,0,1
"437",437,13,1,4,12.44,0,1
"438",438,13,1,2,-3.5599,0,1
"439",439,14,0,1,-9.5599,1,1
"440",440,14,1,1,-10.559,1,1
"441",441,14,0,2,-10.559,1,1
"442",442,14,0,2,-11.559,1,1
"443",443,14,1,1,-11.559,1,1
"444",444,14,0,2,2.44,1,1
"445",445,14,0,1,7.44,1,1
"446",446,14,0,1,0.44,1,1
"447",447,14,0,2,-3.5599,1,1
"448",448,14,1,1,-7.5599,1,1
"449",449,14,1,3,-2.5599,1,1
"450",450,14,0,4,3.44,1,1
"451",451,14,1,2,3.44,1,1
"452",452,14,1,1,-11.559,1,1
"453",453,14,1,2,-4.5599,1,1
"454",454,14,0,1,-10.559,1,1
"455",455,14,1,4,12.44,1,1
"456",456,14,0,2,-7.5599,1,1
"457",457,14,1,4,2.44,1,1
"458",458,14,0,1,-10.559,1,1
"459",459,14,0,1,-10.559,1,1
"460",460,14,1,1,-8.5599,1,1
"461",461,14,0,4,8.44,1,1
"462",462,14,0,1,-12.559,1,1
"463",463,14,0,3,-6.56,1,1
"464",464,14,1,1,-8.5599,1,1
"465",465,14,1,4,14.44,1,1
"466",466,14,1,4,16.44,1,1
"467",467,14,1,4,6.44,1,1
"468",468,14,1,4,16.44,1,1
"469",469,14,1,1,-11.559,1,1
"470",470,14,1,4,3.44,1,1
"471",471,14,1,2,-5.5599,1,1
"472",472,14,1,1,-6.5599,1,1
"473",473,14,1,3,-2.5599,1,1
"474",474,14,1,3,-7.5599,1,1
"475",475,14,1,4,-1.56,1,1
"476",476,14,1,3,2.44,1,1
"477",477,14,1,4,5.44,1,1
"478",478,14,0,4,0.44,1,1
"479",479,14,1,4,9.44,1,1
"480",480,14,1,4,4.44,1,1
"481",481,14,1,1,-13.559,1,1
"482",482,14,1,1,-13.559,1,1
"483",483,14,1,4,6.44,1,1
"484",484,14,0,1,2.44,1,1
"485",485,14,0,1,-8.5599,1,1
"486",486,14,0,4,12.44,1,1
"487",487,14,1,1,-9.5599,1,1
"488",488,14,1,4,10.44,1,1
"489",489,14,1,1,-11.559,1,1
"490",490,14,0,4,2.44,1,1
"491",491,14,0,1,-10.559,1,1
"492",492,14,1,1,-8.5599,1,1
"493",493,14,1,4,2.44,1,1
"494",494,14,1,4,4.44,1,1
"495",495,14,1,4,7.44,1,1
"496",496,14,0,2,-10.559,1,1
"497",497,14,0,1,-6.5599,1,1
"498",498,14,1,3,3.44,1,1
"499",499,14,1,1,-9.5599,1,1
"500",500,14,0,2,6.44,1,1
"501",501,14,1,3,-4.5599,1,1
"502",502,14,1,2,-5.5599,1,1
"503",503,14,0,2,-8.5599,1,1
"504",504,14,1,3,0.44,1,1
"505",505,14,1,4,17.44,1,1
"506",506,14,1,3,-7.5599,1,1
"507",507,14,0,4,14.44,1,1
"508",508,14,0,2,-4.5599,1,1
"509",509,14,1,3,3.44,1,1
"510",510,14,1,2,-1.5599,1,1
"511",511,14,1,2,-8.5599,1,1
"512",512,14,1,4,0.44,1,1
"513",513,14,1,2,-6.5599,1,1
"514",514,14,1,4,13.44,1,1
"515",515,14,1,1,0.44,1,1
"516",516,14,1,4,7.44,1,1
"517",517,14,1,3,0.44,1,1
"518",518,14,0,1,-1.5599,1,1
"519",519,14,1,1,-12.559,1,1
"520",520,14,0,3,18.44,1,1
"521",521,14,1,4,7.44,1,1
"522",522,14,1,1,-8.5599,1,1
"523",523,14,1,4,11.44,1,1
"524",524,14,1,4,13.44,1,1
"525",525,14,1,2,-7.5599,1,1
"526",526,14,0,1,-10.559,1,1
"527",527,14,1,2,-3.5599,1,1
"528",528,14,1,2,-7.5599,1,1
"529",529,14,1,3,-4.5599,1,1
"530",530,14,1,1,-8.5599,1,1
"531",531,14,0,3,-2.5599,1,1
"532",532,14,1,1,-9.5599,1,1
"533",533,14,1,1,0.44,1,1
"534",534,14,0,1,-5.5599,1,1
"535",535,14,1,1,-3.5599,1,1
"536",536,14,1,2,-10.559,1,1
"537",537,14,0,3,0.44,1,1
"538",538,14,1,4,8.44,1,1
"539",539,14,1,3,4.44,1,1
"540",540,14,1,2,2.44,0,1
"541",541,14,1,2,-5.5599,0,1
"542",542,14,0,3,-6.5599,0,1
"543",543,14,0,3,6.44,0,1
"544",544,14,0,2,-7.5599,0,1
"545",545,14,0,2,-1.5599,0,1
"546",546,14,0,4,-3.5599,0,1
"547",547,14,1,4,10.44,0,1
"548",548,14,0,4,18.44,0,1
"549",549,14,1,1,-12.559,0,1
"550",550,14,0,4,17.44,0,1
"551",551,14,1,4,-5.5599,0,1
"552",552,14,0,1,-12.559,0,1
"553",553,14,0,1,-10.56,0,1
"554",554,14,0,4,0.44,0,1
"555",555,14,0,2,-8.5599,0,1
"556",556,14,1,4,17.44,0,1
"557",557,15,1,4,14.44,1,1
"558",558,15,0,1,-13.559,1,1
"559",559,15,0,4,1.44,1,1
"560",560,15,0,4,2.44,1,1
"561",561,15,1,4,-0.5599,1,1
"562",562,15,0,4,19.44,1,1
"563",563,15,0,2,0.44,1,1
"564",564,15,1,1,-4.5599,1,1
"565",565,15,1,3,-3.5599,0,1
"566",566,15,0,1,-9.5599,0,1
"567",567,15,0,3,10.44,0,1
"568",568,15,0,2,4.44,0,1
"569",569,15,1,4,8.44,0,1
"570",570,15,0,2,-5.5599,0,1
"571",571,15,0,1,-2.5599,0,1
"572",572,15,0,1,-7.56,0,1
"573",573,15,0,1,-12.559,0,1
"574",574,15,1,2,-4.5599,0,1
"575",575,15,0,2,-8.5599,0,1
"576",576,15,0,1,-10.559,0,1
"577",577,15,1,3,-2.5599,0,1
"578",578,15,1,2,-5.5599,0,1
"579",579,16,1,3,-0.5599,1,1
"580",580,16,1,1,-9.5599,1,1
"581",581,16,0,1,-12.56,0,1
"582",582,16,0,1,-12.56,0,1
"583",583,16,1,1,-10.559,0,1
"584",584,16,0,1,-12.56,0,1
"585",585,16,1,1,-8.5599,0,1
"586",586,16,1,3,4.44,0,1
"587",587,16,1,3,17.44,0,1
"588",588,16,1,3,8.44,0,1
"589",589,16,0,4,4.44,0,1
"590",590,16,1,2,-10.559,0,1
"591",591,16,0,1,-10.559,0,1
"592",592,16,0,1,-13.559,0,1
"593",593,16,0,2,0.44,0,1
"594",594,16,1,4,10.44,0,1
"595",595,16,0,1,-12.56,0,1
"596",596,16,0,3,18.44,0,1
"597",597,16,1,1,-10.559,0,1
"598",598,16,1,2,-6.5599,0,1
"599",599,17,0,1,-11.559,0,1
"600",600,17,0,1,-12.559,0,1
"601",601,17,1,4,-0.5599,0,1
"602",602,17,1,4,4.44,0,1
"603",603,17,1,4,5.44,0,1
"604",604,17,0,2,-7.5599,0,1
"605",605,17,0,2,-5.5599,0,1
"606",606,17,0,4,15.44,0,1
"607",607,17,0,1,-4.5599,0,1
"608",608,17,0,1,-12.559,0,1
"609",609,17,0,4,-5.5599,0,1
"610",610,17,0,3,-2.5599,0,1
"611",611,17,0,1,-12.559,0,1
"612",612,17,0,1,1.44,0,1
"613",613,17,1,4,7.44,0,1
"614",614,17,0,4,9.44,0,1
"615",615,17,1,4,-2.5599,0,1
"616",616,17,0,4,-2.5599,0,1
"617",617,17,0,4,0.44,0,1
"618",618,17,1,3,-0.5599,0,1
"619",619,17,0,4,-5.5599,0,1
"620",620,17,1,4,0.44,0,1
"621",621,17,0,4,11.44,0,1
"622",622,17,0,4,9.44,0,1
"623",623,18,0,1,-1.56,1,1
"624",624,18,1,2,-5.5599,1,1
"625",625,18,0,3,1.44,1,1
"626",626,18,0,3,-1.5599,1,1
"627",627,18,0,1,-9.5599,1,1
"628",628,18,1,4,2.44,1,1
"629",629,18,0,1,-7.5599,1,1
"630",630,18,0,1,-11.559,1,1
"631",631,18,1,3,0.44,1,1
"632",632,18,1,4,15.44,1,1
"633",633,18,0,1,-7.5599,1,1
"634",634,18,1,1,-8.5599,1,1
"635",635,18,1,1,-9.5599,1,1
"636",636,18,1,4,8.44,1,1
"637",637,18,0,1,-12.559,0,1
"638",638,18,1,2,-6.5599,0,1
"639",639,18,0,1,-10.559,0,1
"640",640,18,0,2,-8.5599,0,1
"641",641,18,0,1,-8.5599,0,1
"642",642,18,1,1,-13.56,0,1
"643",643,18,1,4,-0.5599,0,1
"644",644,18,0,3,1.44,0,1
"645",645,18,0,1,-13.56,0,1
"646",646,18,0,1,-11.559,0,1
"647",647,18,0,4,15.44,0,1
"648",648,18,1,4,-5.5599,0,1
"649",649,18,0,4,12.44,0,1
"650",650,18,0,4,17.44,0,1
"651",651,18,1,3,-5.5599,0,1
"652",652,18,1,4,6.44,0,1
"653",653,18,0,4,8.44,0,1
"654",654,18,0,3,17.44,0,1
"655",655,18,0,3,-2.5599,0,1
"656",656,18,0,4,4.44,0,1
"657",657,18,0,1,0.44,0,1
"658",658,18,1,2,-13.559,0,1
"659",659,18,0,4,-2.5599,0,1
"660",660,18,0,4,1.44,0,1
"661",661,18,0,1,17.44,0,1
"662",662,18,0,3,-6.5599,0,1
"663",663,18,0,3,-6.5599,0,1
"664",664,18,0,4,5.44,0,1
"665",665,18,1,2,-6.5599,0,1
"666",666,18,0,1,-4.5599,0,1
"667",667,18,0,4,7.44,0,1
"668",668,18,0,4,16.44,0,1
"669",669,18,1,1,-10.559,0,1
"670",670,19,0,1,-2.5599,1,1
"671",671,19,1,2,-11.559,1,1
"672",672,19,1,4,-1.5599,1,1
"673",673,19,1,1,-12.559,1,1
"674",674,19,0,2,18.44,0,1
"675",675,19,1,4,2.44,0,1
"676",676,19,1,4,-0.5599,0,1
"677",677,19,0,1,-6.5599,0,1
"678",678,19,0,4,3.44,0,1
"679",679,19,0,4,11.44,0,1
"680",680,19,0,2,14.44,0,1
"681",681,19,0,2,5.44,0,1
"682",682,19,0,1,-9.5599,0,1
"683",683,19,0,1,-2.5599,0,1
"684",684,19,0,2,-6.5599,0,1
"685",685,19,1,1,0.44,0,1
"686",686,19,0,1,-1.5599,0,1
"687",687,19,0,1,-10.56,0,1
"688",688,19,1,4,3.44,0,1
"689",689,19,1,2,3.44,0,1
"690",690,19,1,4,2.44,0,1
"691",691,19,0,2,-5.5599,0,1
"692",692,19,0,4,-5.5599,0,1
"693",693,19,0,4,0.44,0,1
"694",694,19,1,4,12.44,0,1
"695",695,19,0,4,5.44,0,1
"696",696,20,0,3,-1.5599,0,1
"697",697,20,0,3,3.44,0,1
"698",698,20,1,1,-12.56,0,1
"699",699,20,1,3,-0.5599,0,1
