"","id","sex","dep","qa1","qa2","qa3","qa4","qa5","qa6","qa7","qa8","qa9","qa10","qa11","qa12","qa13","qa14","qa15","qa16","qa17","qa18"
"41",8,"female","Department 1",4,4,2,4,5,2,4,5,5,3,3,4,3,4,4,4,2,4
"42",9,"female","Department 1",5,5,1,4,5,1,5,5,5,4,2,3,2,5,4,2,2,5
"43",10,"female","Department 1",5,5,2,5,5,3,5,5,5,5,5,3,2,4,5,2,3,4
"44",11,"female","Department 1",4,4,2,4,4,3,4,4,4,4,4,3,2,4,4,3,3,4
"45",12,"female","Department 1",4,4,1,5,5,4,5,4,5,4,4,2,2,5,4,1,4,4
"46",13,"female","Department 1",3,2,4,3,5,5,4,3,4,4,4,2,4,3,3,5,5,3
"47",14,"female","Department 1",5,5,1,4,4,3,4,4,5,4,4,3,1,3,4,1,3,5
"48",15,"female","Department 1",5,5,1,5,5,1,5,5,5,4,4,3,2,3,4,2,3,4
"49",16,"female","Department 1",4,4,3,4,5,3,4,3,5,4,3,3,3,4,3,2,3,4
"50",17,"female","Department 1",4,4,2,4,5,3,4,4,5,4,4,4,1,4,4,1,4,4
"51",18,"female","Department 1",4,4,2,4,5,3,5,5,5,5,4,4,2,5,5,2,2,4
"52",19,"female","Department 1",5,4,1,4,5,3,5,5,5,2,2,3,2,2,5,2,2,3
"53",20,"female","Department 1",3,4,2,4,5,3,5,2,5,5,3,2,2,3,3,2,4,4
"54",22,"female","Department 1",5,5,2,4,5,2,4,5,5,4,5,4,3,4,5,2,5,4
"55",23,"female","Department 1",5,5,1,5,5,5,5,5,5,5,5,4,2,5,4,1,5,5
"56",24,"female","Department 1",5,5,1,5,5,3,5,5,5,5,5,3,4,2,5,1,4,5
"57",25,"female","Department 1",4,4,3,4,5,4,4,4,5,4,4,5,3,4,4,1,3,4
"58",26,"female","Department 1",3,4,4,4,5,4,5,5,5,4,4,4,1,4,5,1,4,4
"59",27,"female","Department 1",5,4,3,4,3,3,4,4,4,4,3,3,3,3,4,2,2,4
"60",28,"female","Department 1",5,5,5,5,5,3,5,5,5,5,4,2,2,2,5,1,2,5
"61",21,"female","Department 1",4,3,3,3,4,4,4,4,5,4,5,4,3,2,3,3,4,4
"62",29,"female","Department 1",4,3,2,4,5,4,4,4,4,3,1,2,3,3,4,2,3,4
"63",30,"female","Department 1",5,2,4,4,5,5,4,4,5,5,2,3,2,4,5,2,2,5
"64",31,"female","Department 1",5,5,2,4,5,3,5,5,5,4,4,4,4,3,4,2,2,4
"65",32,"female","Department 1",3,3,4,3,5,5,2,4,5,5,3,3,3,3,3,2,2,4
"66",33,"female","Department 1",4,4,4,4,5,3,4,2,5,4,3,2,2,3,4,2,4,4
"67",34,"female","Department 1",3,4,2,3,4,3,4,4,5,3,3,2,3,2,4,3,4,4
"68",35,"female","Department 1",4,3,3,4,4,3,3,3,4,4,2,2,2,2,3,3,2,4
"69",36,"female","Department 1",4,4,4,4,5,4,4,4,5,4,4,4,2,4,4,2,4,4
"70",37,"female","Department 1",4,4,2,4,4,4,3,3,5,5,3,4,2,3,4,2,3,4
"71",38,"female","Department 1",5,4,4,4,4,4,4,5,5,5,4,2,2,3,4,4,4,4
"72",39,"female","Department 1",4,4,3,4,5,4,4,4,4,4,4,4,5,4,4,2,4,4
"73",40,"female","Department 1",4,4,2,4,5,3,4,3,5,5,4,4,4,4,5,2,4,5
"74",41,"female","Department 1",4,4,3,4,5,3,4,4,5,5,5,3,3,4,4,2,3,3
"75",42,"female","Department 1",5,5,5,4,5,5,5,4,5,3,5,3,2,4,4,2,1,5
"76",43,"female","Department 1",5,5,2,4,5,3,4,4,4,4,3,4,3,3,4,2,4,4
"77",44,"female","Department 1",4,4,1,4,5,3,4,5,5,5,1,4,2,4,4,1,2,4
"78",45,"female","Department 1",5,5,5,5,5,3,5,5,5,4,4,4,3,5,5,2,4,5
"79",46,"female","Department 1",5,5,2,5,5,2,4,4,4,5,3,2,1,4,4,2,4,4
"80",47,"female","Department 1",4,3,3,4,5,5,4,4,5,4,4,3,2,3,4,2,4,4
"81",48,"female","Department 1",4,5,3,4,5,4,4,4,5,4,3,3,3,3,4,3,3,4
"82",49,"female","Department 1",4,4,3,4,5,5,5,3,5,5,4,3,2,4,5,2,4,3
"83",50,"male","Department 1",4,4,2,4,5,3,5,4,5,4,4,3,2,3,4,5,3,5
"84",51,"female","Department 1",4,4,4,4,4,4,4,4,4,4,2,3,2,4,4,2,2,4
"85",52,"female","Department 1",4,3,3,4,4,5,2,2,5,3,5,4,3,3,2,4,5,3
"86",53,"female","Department 1",4,4,2,4,3,3,3,3,5,4,4,4,3,3,3,4,4,4
"87",54,"female","Department 1",4,4,2,4,5,4,4,4,5,5,4,5,5,2,4,4,4,5
"88",55,"female","Department 1",5,4,3,4,5,3,4,5,5,4,2,3,4,3,4,4,4,4
"89",56,"female","Department 1",5,5,3,4,4,3,3,4,4,4,4,3,3,4,4,3,3,4
"90",57,"female","Department 1",5,5,2,4,5,3,5,5,5,5,4,4,4,4,4,2,4,4
"91",58,"female","Department 1",5,5,4,3,5,1,5,4,5,5,5,2,3,3,4,1,4,5
"92",59,"female","Department 1",5,5,2,4,5,2,4,5,5,4,4,3,4,3,5,1,2,4
"93",60,"female","Department 1",4,4,3,4,5,5,5,4,4,3,3,3,2,2,3,3,2,4
"94",61,"female","Department 1",5,5,4,4,4,4,4,4,4,4,4,3,3,4,5,2,3,4
"95",1,"male","Department 4",5,5,1,4,4,3,3,4,4,4,2,4,2,4,3,1,3,4
"96",2,"female","Department 4",5,4,1,4,4,3,4,4,4,4,2,4,2,4,3,1,3,4
"97",3,"female","Department 4",4,5,2,4,5,3,4,4,5,4,4,3,3,4,4,2,4,4
"98",4,"male","Department 4",4,5,2,4,5,3,5,3,5,4,3,2,2,3,4,1,3,4
"99",1,"male","Department 3",5,5,2,4,4,1,4,3,4,4,2,3,1,3,4,1,2,1
"100",2,"male","Department 3",4,4,2,4,4,4,4,4,4,4,3,3,2,3,4,3,2,5
"101",3,"male","Department 3",5,5,5,4,4,2,4,4,4,3,3,4,3,4,NA,3,2,3
"102",4,"male","Department 3",5,5,1,5,5,1,5,5,5,5,2,3,2,4,4,2,3,5
"103",5,"male","Department 3",5,4,2,4,4,3,4,4,4,3,2,4,3,3,4,2,2,4
"104",6,"male","Department 3",5,5,1,5,5,5,4,4,4,4,4,2,2,2,4,4,2,4
"105",7,"male","Department 3",5,4,4,4,4,2,4,4,4,4,3,4,3,4,4,4,2,5
"106",8,"male","Department 3",5,5,4,4,4,3,5,5,5,4,3,4,2,3,2,3,4,4
"107",9,"male","Department 3",5,4,3,4,4,2,4,4,4,4,1,3,4,4,4,5,4,4
"108",10,"male","Department 3",4,4,3,4,4,3,4,4,4,4,2,3,3,3,3,3,4,5
"109",11,"male","Department 3",5,5,1,5,5,3,5,5,5,5,5,3,1,3,4,3,3,5
"110",12,"male","Department 3",4,4,2,3,4,3,4,4,3,4,3,3,3,4,4,4,3,4
"111",13,"male","Department 3",5,4,2,3,4,3,4,4,4,4,4,4,3,4,4,NA,2,4
"112",14,"male","Department 3",4,4,3,4,4,3,4,5,5,4,4,5,3,4,4,4,3,4
"113",15,"female","Department 3",5,5,2,5,5,3,5,5,4,4,4,4,2,4,4,1,2,4
"114",26,"female","Department 5",5,5,1,4,5,2,5,5,5,4,3,NA,2,3,3,2,2,4
"115",27,"female","Department 5",4,5,2,5,2,NA,4,4,5,5,1,3,4,3,3,1,5,4
"116",9,"male","Department 2",5,4,3,5,3,2,3,3,3,3,5,5,5,4,5,1,1,1
"117",10,"male","Department 2",5,4,2,4,5,2,5,3,5,5,3,5,4,5,4,5,1,4
"118",11,"male","Department 2",4,4,3,4,3,3,4,3,4,4,3,3,4,3,3,2,3,4
"119",12,"male","Department 2",5,4,4,4,4,2,4,4,5,5,4,5,5,4,4,2,2,4
"120",5,"female","Department 4",5,5,1,5,5,2,5,4,5,4,4,2,1,2,5,1,4,4
"121",6,"female","Department 4",4,4,2,4,5,3,5,4,5,4,5,4,1,4,3,3,4,3
"122",62,"female","Department 1",5,5,2,4,5,1,5,4,5,5,4,2,2,4,4,1,2,5
"123",63,"female","Department 1",4,4,2,5,4,3,4,2,5,3,5,2,2,4,4,2,4,4
"124",64,"female","Department 1",5,5,1,4,4,1,5,5,5,4,4,4,1,5,5,1,2,4
"125",65,"female","Department 1",5,5,5,5,5,1,5,5,5,5,5,2,2,4,5,1,2,5
"126",66,"female","Department 1",5,5,2,4,5,3,4,4,5,3,4,3,1,4,5,5,3,5
"127",67,"female","Department 1",5,5,2,4,5,1,5,5,5,5,3,3,2,4,4,2,2,4
"128",68,"female","Department 1",4,5,1,5,5,3,5,5,5,3,5,2,2,4,4,1,2,3
"129",69,"female","Department 1",5,5,4,5,5,2,4,4,5,4,4,4,2,4,4,2,4,4
"130",70,"female","Department 1",4,3,2,5,5,4,5,4,5,5,3,4,2,3,5,1,4,3
"131",71,"female","Department 1",5,5,2,5,5,3,4,4,5,4,4,4,3,4,5,2,5,4
"132",72,"female","Department 1",5,5,1,4,4,3,4,4,5,4,2,4,2,3,4,NA,4,4
"133",73,"female","Department 1",3,3,5,3,2,5,2,2,3,5,5,5,3,3,3,3,5,2
"134",16,"male","Department 2",5,5,5,5,5,4,5,5,5,5,5,3,4,5,5,5,NA,4
"135",16,"male","Department 3",4,5,2,3,4,4,5,3,4,3,4,2,5,4,4,3,5,4
"136",17,"male","Department 3",4,5,2,3,4,4,5,3,4,3,4,2,5,4,4,3,5,4
