"","QID","A1","A2","A3","A4","A5","A6","A7","A8","A16","A17","A18"
"14",14,32,"primary","northeast",3,3,6000,"yes i know","yes","willing","willing","willing"
"144",148,26,"vocational","northern",13,13,7200,"no",NA,"willing if have money","willing if have money","willing if have money"
"271",277,23,"vocational","northeast",2,2,35000,"yes i know","yes","willing","willing","willing"
"38",38,28,"lowersec","northeast",3,3,5000,"yes i know","yes","willing","willing","willing"
"149",153,25,"lowersec","northeast",2,2,5000,"yes i know","yes","willing","willing","willing"
"236",242,36,"lowersec","northeast",12,12,99999,"yes i know","yes","willing","willing","willing"
"219",225,31,"lowersec","central",5,5,3000,"yes i know","yes","willing","willing if have money","willing"
"10",10,20,"lowersec","southern",18,18,6000,"yes i know","yes","willing","willing","willing"
"168",172,32,"lowersec","northeast",9,9,10000,"yes i know","yes","willing","willing if have money","willing"
"101",102,28,"lowersec","southern",6,6,6000,"yes i know","yes","willing","willing","willing"
"212",218,32,"lowersec","northern",12,12,20000,"yes i know","yes","willing","willing","willing"
"78",79,21,"uppersec","southern",36,36,7000,"yes i know","no","willing","willing","willing"
"276",282,27,"uppersec","northern",1,9,5000,"yes i know","yes","willing","willing if have money","willing"
"275",281,32,"lowersec","northeast",1,1,3000,"no","no","willing","willing","willing"
"7",7,36,"lowersec","northeast",120,36,5000,"yes i know","yes","willing","willing","willing"
"5",5,27,"primary","central",36,36,10000,"yes i know","yes","willing if have money","willing if have money","willing if have money"
"279",285,20,"lowersec","northeast",1,1,5000,"no",NA,"willing","willing","willing"
"91",92,26,"vocational","northeast",24,12,30000,"yes i know","yes","willing","willing","willing"
"72",73,21,"lowersec","northeast",4,4,7000,"no",NA,"willing","not sure","willing"
"224",230,20,"primary","northern",3,3,20000,"no",NA,"willing if have money","willing if have money","willing"
"169",173,23,"primary","northern",2,2,8000,"yes i know","no","willing","willing","willing"
"163",167,24,"lowersec","northeast",5,5,5000,"no",NA,"willing if have money","willing if have money","willing"
"210",214,27,"vocational","northern",1,1,3000,"yes i know","yes","willing if have money","willing if have money","willing"
"94",95,27,"primary","central",24,24,30000,"yes i know","yes","willing","willing","willing"
"41",41,23,"uppersec","northern",87,20,5000,"no",NA,"willing","willing","willing"
"113",115,18,"primary","southern",14,14,10000,"yes i know","yes","willing if have money","willing if have money","willing"
"74",75,24,"vocational","southern",31,6,7000,"no",NA,"willing if have money","willing if have money","willing"
"85",86,22,"lowersec","southern",72,50,5000,"yes i know","no","willing if have money","willing if have money","willing"
"263",269,24,"vocational","northern",10,10,10000,"yes i know","yes","willing if have money","willing if have money","willing"
"119",121,23,"uppersec","central",12,12,5000,"no",NA,"willing","willing","willing"
"106",107,34,"lowersec","northeast",3,3,4000,"no",NA,"willing","not sure","willing"
"277",283,31,"primary","northern",0,0,99999,"yes i know","yes","not sure","not sure","not sure"
"125",127,43,"primary","northeast",72,72,5000,"yes i know","yes","willing","willing","willing"
"4",4,42,"primary","central",62,73,4000,"yes i know","yes","willing","willing","willing"
"25",25,28,"vocational","northeast",2,2,7000,"yes i know","no","willing","willing","willing"
"40",40,38,"primary","northeast",12,12,4000,"yes i know","yes","willing","willing","willing"
"205",209,40,"vocational","northeast",0,0,20000,"no",NA,"willing","willing","willing"
"177",181,37,"primary","northeast",12,12,5000,"yes i know","yes","willing","willing if have money","willing"
"221",227,20,"uppersec","northeast",1,1,99999,"no",NA,"not sure","not willing","willing"
"35",35,45,"primary","northeast",8,8,2800,"no",NA,"willing","willing","willing"
"297",303,27,"uppersec","central",40,40,6000,"yes i know","no","willing","willing","willing"
"23",23,35,"primary","northeast",4,4,7000,"yes i know","yes","willing","willing if have money","willing"
"262",268,28,"lowersec","central",6,12,30000,"yes i know","yes","willing","willing if have money","willing"
"145",149,24,"bachelor","northern",14,4,8000,"yes i know","yes","willing if have money","willing if have money","willing"
"75",76,26,"lowersec","southern",24,7,5000,"no",NA,"willing if have money","not sure","willing"
"184",188,24,"lowersec","northeast",46,46,7000,"no",NA,"willing","willing if have money","willing"
"79",80,24,"primary","central",12,12,6000,"no",NA,"willing","willing","willing"
"57",58,29,"lowersec","central",108,132,20000,"yes i know","yes","willing if have money","willing if have money","willing"
"223",229,25,"primary","northeast",9,9,1000,"no",NA,"willing","willing if have money","willing"
"131",133,31,"lowersec","northeast",4,4,20000,"no",NA,"willing if have money","willing if have money","not willing"
"51",52,27,"uppersec","central",4,4,15000,"yes i know","yes","willing if have money","willing if have money","not willing"
"238",244,38,"lowersec","northeast",1,1,5000,"yes i know","yes","willing","willing","willing"
"110",112,30,"primary","northeast",1,888,1000,"yes i know","yes","willing","willing","willing"
"255",261,24,"lowersec","northern",12,31,30000,"yes i know","no","willing","willing","willing"
"139",143,31,"lowersec","northeast",11,11,88888,"yes i know","yes","willing if have money","willing if have money","willing"
"189",193,29,"primary","not relevant",9,9,6000,"no",NA,"willing if have money","willing if have money","willing"
"308",314,29,"uppersec","central",50,50,20000,"yes i know","yes","willing","willing","willing"
"295",301,24,"lowersec","northeast",36,36,6000,"yes i know","yes","willing","willing","willing"
"194",198,24,"vocational","central",0,0,7000,"no",NA,"willing if have money","willing if have money","willing"
"120",122,29,"vocational","southern",28,28,7000,"no",NA,"willing","willing","willing"
"229",235,33,"primary","central",61,30,30000,"yes i know","yes","willing if have money","willing","willing"
"129",131,26,"uppersec","southern",4,4,5000,"no",NA,"willing if have money","willing if have money","willing if have money"
"180",184,23,"lowersec","northeast",11,999,6000,"no",NA,"willing","willing","willing"
"245",251,37,"primary","northeast",1,1,99999,"yes i know","yes","willing if have money","willing if have money","willing"
"99",100,26,"primary","central",29,29,5000,"yes i know","no","willing","willing","willing"
"60",61,23,"lowersec","northeast",9,9,10000,"no",NA,"willing if have money","willing if have money","willing"
"154",158,28,"bachelor","northeast",5,5,88888,"yes i know","no","not sure","not sure","not sure"
"32",32,24,"uppersec","southern",22,22,20000,"yes i know","yes","willing","willing","willing"
"173",177,40,"primary","northeast",6,6,99999,"yes i know","yes","willing if have money","willing if have money","willing if have money"
"15",15,21,"lowersec","northern",2,2,3000,"yes i know","yes","willing if have money","not sure","willing"
"222",228,27,"primary","northeast",6,6,6000,"no",NA,"not answer","willing if have money","not sure"
"239",245,29,"lowersec","central",47,72,7000,"yes i know","yes","willing","willing","willing"
"143",147,27,"uppersec","southern",72,72,6700,"yes i know","yes","willing","willing","willing"
"207",211,34,"uppersec","central",30,30,10000,"yes i know","yes","willing","willing","willing"
"9",9,35,"primary","northeast",12,6,5000,"no",NA,"willing if have money","willing if have money","willing"
"153",157,30,"primary","northeast",1,1,99999,"yes i know","no","willing","willing","willing"
"69",70,18,"lowersec","southern",1,1,6000,"no",NA,"willing if have money","willing if have money","willing"
"202",206,30,"lowersec","not answer",0,0,99999,"yes i know","yes","willing","willing","willing"
"305",311,24,"lowersec","northern",3,3,88888,"yes i know","yes","willing if have money","willing if have money","willing"
"233",239,23,"lowersec","northeast",1,1,10000,"yes i know","no","willing","willing","willing"
"187",191,25,"bachelor","northeast",1,1,30000,"no",NA,"willing","willing if have money","willing"
"283",289,25,"primary","northeast",106,106,6000,"yes i know","yes","willing if have money","willing if have money","willing"
"195",199,22,"uppersec","northeast",2,2,10000,"no",NA,"willing if have money","willing if have money","willing"
"162",166,29,"uppersec","central",24,24,6000,"yes i know","yes","willing if have money","willing if have money","not sure"
"273",279,21,"vocational","northeast",7,7,50000,"yes i know","no","willing","willing","not willing"
"39",39,40,"primary","central",19,2,5000,"yes i know","yes","willing","willing","willing"
"107",108,22,"vocational","northeast",1,1,7000,"no",NA,"willing","not sure","willing"
"294",300,28,"uppersec","northeast",7,7,10000,"yes i know","no","willing","not sure","willing"
"116",118,43,"primary","northeast",3,3,5000,"yes i know","no","willing","willing","willing"
"130",132,21,"uppersec","southern",60,10,5000,"yes i know","no","willing","willing","willing"
"70",71,23,"lowersec","southern",2,0,6000,"no",NA,"willing if have money","not sure","willing"
"183",187,99,"primary","not answer",48,48,7000,"yes i know","yes","willing","willing if have money","willing"
"234",240,25,"primary","northeast",5,5,5000,"yes i know","yes","willing","willing","willing"
"272",278,24,"uppersec","central",1,1,40000,"yes i know","no","willing","willing","willing"
"90",91,39,"lowersec","northeast",1,1,88888,"no",NA,"willing if have money","not sure","willing"
"88",89,19,"lowersec","southern",13,3,5000,"yes i know","no","willing","willing if have money","willing"
"126",128,29,"uppersec","northeast",92,92,6000,"yes i know","yes","not sure","not sure","not sure"
"6",6,26,"vocational","central",1,1,6000,"yes i know","yes","willing if have money","willing if have money","willing if have money"
"34",34,31,"primary","central",18,18,4500,"yes i know","yes","willing","willing","willing"
"55",56,41,"lowersec","northeast",1,0,99999,"yes i know","no","willing","willing","willing"
"123",125,25,"uppersec","southern",72,72,7200,"no",NA,"willing if have money","willing if have money","willing"
"133",135,24,"uppersec","northeast",11,10,20000,"no",NA,"willing","willing","willing"
"288",294,26,"primary","northeast",24,24,5000,"yes i know","yes","willing","willing","willing"
"42",43,30,"primary","northeast",1,1,15000,"yes i know","yes","willing if have money","not sure","willing"
"105",106,53,"primary","northeast",72,72,4000,"no",NA,"willing","willing if have money","willing"
"19",19,32,"primary","central",14,14,30000,"yes i know","no","willing","not willing","willing"
"124",126,36,"primary","northeast",84,84,6200,"no",NA,"willing if have money","willing if have money","willing"
"203",207,25,"primary","northeast",96,2,5000,"yes i know","yes","willing","willing","willing"
"52",53,23,"primary","southern",60,6,6000,"no",NA,"willing","not sure","willing"
"174",178,40,"primary","northeast",4,4,10000,"yes i know","no","willing","willing","willing"
"44",45,28,"lowersec","northeast",4,4,15000,"yes i know","yes","willing","willing","willing"
"246",252,28,"primary","northeast",8,8,1000,"no",NA,"willing if have money","not sure","willing"
"28",28,31,"primary","central",11,11,5000,"yes i know","yes","willing","not willing","willing"
"61",62,24,"uppersec","northeast",7,7,15000,"yes i know","yes","not sure","not sure","not sure"
"299",305,27,"primary","northeast",24,24,4000,"yes i know","yes","willing if have money","not sure","willing"
"92",93,27,"uppersec","central",24,24,10000,"yes i know","yes","willing","willing","willing"
"93",94,25,"lowersec","northern",0,0,3000,"yes i know","yes","willing if have money","willing if have money","willing"
"254",260,29,"primary","northern",12,2,5000,"no",NA,"willing","willing","willing"
"87",88,32,"bachelor","northern",8,8,4000,"yes i know","no","not willing","not willing","not willing"
"249",255,49,"primary","northeast",3,3,1200,"no",NA,"willing","not sure","willing"
"48",49,40,"vocational","northern",3,3,10000,"yes i know","yes","willing if have money","willing if have money","willing"
"155",159,33,"primary","northeast",1,12,5000,"yes i know","no","willing","willing if have money","willing"
"290",296,20,"lowersec","northeast",1,1,3000,"no",NA,"not sure","not sure","not sure"
"216",222,27,"bachelor","northern",1,1,4000,"yes i know","yes","willing","willing","willing"
"82",83,24,"not answer","central",72,60,5200,"no",NA,"not sure","not sure","not sure"
"142",146,20,"uppersec","northeast",22,4,5000,"yes i know","yes","willing","willing if have money","willing"
"122",124,24,"lowersec","central",48,48,6700,"not answer","not answer","willing","willing if have money","willing"
"311",317,38,"primary","northeast",4,4,15000,"no",NA,"willing","willing if have money","willing"
"98",99,30,"lowersec","central",4,4,5000,"yes i know","no","willing","willing","willing"
"280",286,20,"lowersec","northeast",4,4,20000,"yes i know","yes","willing","not sure","willing"
"76",77,22,"lowersec","southern",29,7,6000,"no",NA,"willing","not willing","willing"
"242",248,26,"lowersec","northeast",0,60,80000,"yes i know","yes","willing","willing","willing"
"178",182,28,"uppersec","northeast",4,4,15000,"yes i know","no","willing","not sure","willing"
"135",137,38,"primary","northeast",24,24,5000,"yes i know","no","willing","willing","willing"
"29",29,21,"uppersec","northeast",5,5,5000,"no",NA,"willing if have money","not sure","willing"
"274",280,23,"lowersec","northeast",999,999,50000,"yes i know","yes","willing","willing","willing"
"157",161,30,"lowersec","central",12,12,5000,"yes i know","yes","not sure","not sure","willing"
"24",24,28,"vocational","central",2,2,6000,"yes i know","no","willing","willing","willing"
"248",254,30,"primary","northeast",0,0,99999,"no",NA,"willing if have money","willing if have money","willing"
"67",68,24,"vocational","southern",48,24,4000,"no",NA,"willing","willing","willing"
"12",12,34,"primary","central",122,12,5000,"yes i know","no","willing","willing","willing"
"170",174,23,"none","northeast",7,7,20000,"yes i know","yes","willing if have money","willing if have money","willing"
"45",46,46,"primary","southern",240,0,7000,"yes i know","yes","willing","willing","willing"
"304",310,32,"primary","northeast",12,12,5000,"yes i know","yes","willing","not willing","willing"
"303",309,51,"primary","northeast",24,999,5000,"no",NA,"willing","willing","willing"
"80",81,23,"lowersec","central",5,3,3000,"yes i know","no","willing","willing","willing"
"197",201,35,"primary","not answer",24,24,15000,"yes i know","no","willing","willing","willing"
"96",97,30,"lowersec","northern",0,0,8000,"yes i know","yes","willing","not willing","willing"
"198",202,18,"lowersec","northeast",1,1,3000,"no",NA,"not sure","not sure","not sure"
"151",155,22,"uppersec","southern",48,48,6000,"yes i know","yes","willing","willing","willing if have money"
"256",262,24,"lowersec","northern",41,36,20000,"yes i know","yes","willing","willing","willing"
"250",256,36,"uppersec","central",6,6,10000,"no",NA,"willing","not sure","willing"
