"","crosstype","yearcross","flat","row","posi","varb","resp","id","root"
"93.lds1","Br","2000","1","13",0.0300000000000011,"lds1",1,93,1
"94.lds1","Br","2000","2","10",-0.315,"lds1",1,94,1
"95.lds1","Wi","2000","1","0",0,"lds1",0,95,1
"96.lds1","Wr","2000","1","13",-0.139999999999999,"lds1",1,96,1
"97.lds1","Br","2000","3","13",-0.0549999999999997,"lds1",1,97,1
"98.lds1","Br","2000","1","11",0.15,"lds1",1,98,1
"99.lds1","Br","2000","2","10",-0.215,"lds1",1,99,1
"100.lds1","Br","2000","3","13",-0.309999999999999,"lds1",1,100,1
"101.lds1","Br","2000","2","10",0.0800000000000001,"lds1",1,101,1
"102.lds1","Br","2000","1","10",0.25,"lds1",1,102,1
"103.lds1","Br","2000","2","12",0.0300000000000011,"lds1",1,103,1
"104.lds1","Wi","2000","1","12",0.290000000000001,"lds1",1,104,1
"105.lds1","Wi","2000","3","13",0.0449999999999999,"lds1",1,105,1
"106.lds1","Wi","2000","1","0",0,"lds1",1,106,1
"107.lds1","Wi","2000","1","12",-0.00999999999999979,"lds1",1,107,1
"108.lds1","Wi","2000","3","13",0.0899999999999999,"lds1",1,108,1
"109.lds1","Wi","2000","3","10",0.0100000000000016,"lds1",1,109,1
"110.lds1","Wi","2000","1","11",0.315000000000001,"lds1",1,110,1
"111.lds1","Wi","2000","2","13",-0.26,"lds1",1,111,1
"112.lds1","Wi","2000","3","11",-0.225,"lds1",1,112,1
"113.lds1","Wi","2000","2","11",-0.139999999999999,"lds1",1,113,1
"114.lds1","Wi","2000","1","0",0,"lds1",0,114,1
"115.lds1","Wi","2000","2","0",0,"lds1",1,115,1
"116.lds1","Wi","2000","3","10",0.0850000000000009,"lds1",1,116,1
"117.lds1","Wi","2000","2","0",0,"lds1",1,117,1
"118.lds1","Br","2000","1","11",0.130000000000001,"lds1",1,118,1
"119.lds1","Br","2000","1","11",-0.244999999999999,"lds1",1,119,1
"120.lds1","Br","2000","3","12",-0.234999999999999,"lds1",1,120,1
"121.lds1","Br","2000","3","12",-0.0849999999999991,"lds1",1,121,1
"122.lds1","Wi","2000","3","11",0.31,"lds1",1,122,1
"123.lds1","Br","2000","3","11",0.120000000000001,"lds1",1,123,1
"124.lds1","Br","2000","1","12",0.0200000000000014,"lds1",1,124,1
"125.lds1","Br","2000","2","12",0.00500000000000078,"lds1",1,125,1
"126.lds1","Br","2000","2","11",-0.119999999999999,"lds1",1,126,1
"127.lds1","Br","2000","2","0",0,"lds1",0,127,1
"128.lds1","Br","2000","1","12",0.15,"lds1",1,128,1
"129.lds1","Br","2000","2","10",0.295,"lds1",1,129,1
"130.lds1","Br","2000","1","10",-0.145,"lds1",1,130,1
"131.lds1","Br","2000","2","12",-0.0199999999999996,"lds1",1,131,1
"132.lds1","Br","2000","3","13",0.200000000000001,"lds1",1,132,1
"133.lds1","Br","2000","2","13",0.0400000000000009,"lds1",1,133,1
"134.lds1","Wr","2000","2","11",-0.0699999999999985,"lds1",1,134,1
"135.lds1","Wr","2000","3","13",0.280000000000001,"lds1",1,135,1
"136.lds1","Wr","2000","1","11",0.235000000000001,"lds1",1,136,1
"137.lds1","Br","2000","3","10",-0.00999999999999979,"lds1",1,137,1
"138.lds1","Br","2000","3","11",0.0550000000000015,"lds1",1,138,1
"139.lds1","Br","2000","3","13",-0.0199999999999996,"lds1",1,139,1
"140.lds1","Br","2000","2","11",-0.17,"lds1",1,140,1
"141.lds1","Br","2000","1","10",0.200000000000001,"lds1",1,141,1
"142.lds1","Br","2000","1","0",0,"lds1",0,142,1
"143.lds1","Br","2000","1","0",0,"lds1",0,143,1
"144.lds1","Wi","2000","1","11",-0.184999999999999,"lds1",1,144,1
"145.lds1","Wi","2000","3","10",-0.274999999999999,"lds1",1,145,1
"146.lds1","Wi","2000","1","10",-0.254999999999999,"lds1",1,146,1
"147.lds1","Wi","2000","2","10",0.110000000000001,"lds1",1,147,1
"148.lds1","Wi","2000","1","12",-0.264999999999999,"lds1",1,148,1
"149.lds1","Wi","2000","2","13",-0.184999999999999,"lds1",1,149,1
"150.lds1","Wi","2000","3","12",-0.34,"lds1",1,150,1
"151.lds1","Wi","2000","3","12",0.225000000000001,"lds1",1,151,1
"152.lds1","Wi","2000","1","12",-0.18,"lds1",1,152,1
"153.lds1","Wi","2000","1","12",-0.0749999999999993,"lds1",1,153,1
"154.lds1","Wi","2000","2","13",0.0750000000000011,"lds1",1,154,1
"155.lds1","Wi","2000","3","12",-0.0449999999999999,"lds1",1,155,1
"156.lds1","Wi","2000","1","12",-0.225,"lds1",1,156,1
"157.lds1","Wi","2000","3","10",-0.16,"lds1",1,157,1
"158.lds1","Br","2000","2","11",0.33,"lds1",1,158,1
"159.lds1","Br","2000","1","10",0.0150000000000006,"lds1",1,159,1
"160.lds1","Wi","2000","1","10",-0.125,"lds1",1,160,1
"161.lds1","Wi","2000","1","13",-0.319999999999999,"lds1",1,161,1
"162.lds1","Wi","2000","2","10",0.315000000000001,"lds1",1,162,1
"163.lds1","Wi","2000","1","12",-0.145,"lds1",1,163,1
"164.lds1","Br","2000","1","13",-0.27,"lds1",1,164,1
"165.lds1","Br","2000","1","13",-0.239999999999998,"lds1",1,165,1
"166.lds1","Br","2000","2","10",0.260000000000002,"lds1",1,166,1
"167.lds1","Br","2000","3","10",-0.0499999999999989,"lds1",1,167,1
"168.lds1","Br","2000","1","13",0,"lds1",1,168,1
"169.lds1","Br","2000","3","10",0.280000000000001,"lds1",1,169,1
"170.lds1","Wi","2000","2","11",0.220000000000001,"lds1",1,170,1
"171.lds1","Wi","2000","2","11",0.0850000000000009,"lds1",1,171,1
"172.lds1","Wi","2000","2","13",-0.149999999999999,"lds1",1,172,1
"173.lds1","Wr","2000","3","10",0.0700000000000003,"lds1",1,173,1
"174.lds1","Wr","2000","2","0",0,"lds1",0,174,1
"175.lds1","Wr","2000","1","10",0.180000000000001,"lds1",1,175,1
"176.lds1","Wr","2000","3","11",-0.0149999999999988,"lds1",1,176,1
"177.lds1","Br","2000","1","12",0.350000000000001,"lds1",1,177,1
"178.lds1","Wi","2000","3","10",-0.17,"lds1",1,178,1
"179.lds1","Wi","2000","3","13",0.0500000000000007,"lds1",1,179,1
"180.lds1","Br","2000","1","10",-0.0399999999999991,"lds1",1,180,1
"181.lds1","Br","2000","3","13",0.255000000000001,"lds1",1,181,1
"182.lds1","Br","2000","3","12",-0.205,"lds1",1,182,1
"183.lds1","Br","2000","2","10",0.140000000000001,"lds1",1,183,1
"184.lds1","Br","2000","3","10",-0.00499999999999901,"lds1",1,184,1
"185.lds1","Br","2000","3","12",-0.0549999999999997,"lds1",1,185,1
"186.lds1","Br","2000","3","12",-0.279999999999999,"lds1",1,186,1
"187.lds1","Br","2000","1","11",0.265000000000001,"lds1",1,187,1
"188.lds1","Br","2000","2","13",-0.174999999999999,"lds1",1,188,1
"189.lds1","Br","2000","1","0",0,"lds1",0,189,1
"190.lds1","Br","2000","2","10",-0.279999999999999,"lds1",1,190,1
"191.lds1","Wi","2000","2","0",0,"lds1",1,191,1
"192.lds1","Wi","2000","3","11",-0.16,"lds1",1,192,1
"193.lds1","Wi","2000","2","0",0,"lds1",0,193,1
"194.lds1","Wi","2000","3","13",0.24,"lds1",1,194,1
"195.lds1","Br","2000","3","13",0.190000000000001,"lds1",1,195,1
"196.lds1","Br","2000","2","10",-0.0199999999999996,"lds1",1,196,1
"197.lds1","Br","2000","1","13",0.220000000000001,"lds1",1,197,1
"198.lds1","Br","2000","2","11",0.300000000000001,"lds1",1,198,1
"199.lds1","Br","2000","1","11",0.270000000000001,"lds1",1,199,1
"200.lds1","Br","2000","1","13",-0.254999999999999,"lds1",1,200,1
"201.lds1","Wi","2000","2","11",-0.305,"lds1",1,201,1
"202.lds1","Wi","2000","2","12",0.17,"lds1",1,202,1
"203.lds1","Wi","2000","3","11",0.260000000000002,"lds1",1,203,1
"204.lds1","Wi","2000","2","13",-0.295,"lds1",1,204,1
"205.lds1","Wi","2000","2","11",0.325000000000001,"lds1",1,205,1
"206.lds1","Wi","2000","3","12",-0.244999999999999,"lds1",1,206,1
"207.lds1","Wi","2000","3","12",0.215,"lds1",1,207,1
"208.lds1","Wi","2000","1","11",-0.19,"lds1",1,208,1
"209.lds1","Wi","2000","1","12",-0.149999999999999,"lds1",1,209,1
"210.lds1","Wi","2000","2","12",-0.309999999999999,"lds1",1,210,1
"211.lds1","Wi","2000","1","12",0.0400000000000009,"lds1",1,211,1
"212.lds1","Wi","2000","3","13",0.110000000000001,"lds1",1,212,1
"213.lds1","Br","2000","2","12",0.130000000000001,"lds1",1,213,1
"214.lds1","Br","2000","2","12",0.0700000000000003,"lds1",1,214,1
"215.lds1","Br","2000","2","10",-0.0800000000000001,"lds1",1,215,1
"216.lds1","Br","2000","3","11",0.16,"lds1",1,216,1
"217.lds1","Br","2000","2","13",0.285,"lds1",1,217,1
"218.lds1","Br","2000","3","12",0.205,"lds1",1,218,1
"219.lds1","Br","2000","2","12",-0.00499999999999901,"lds1",1,219,1
"220.lds1","Br","2000","2","11",0.23,"lds1",1,220,1
"221.lds1","Br","2000","2","11",0.115,"lds1",1,221,1
"222.lds1","Br","2000","3","13",0.215,"lds1",1,222,1
"223.lds1","Br","2000","3","13",0.0250000000000004,"lds1",1,223,1
"224.lds1","Br","2000","3","10",0.245000000000001,"lds1",1,224,1
"225.lds1","Br","2000","2","10",0.130000000000001,"lds1",1,225,1
"226.lds1","Br","2000","1","13",-0.234999999999999,"lds1",1,226,1
"227.lds1","Br","2000","3","11",0.215,"lds1",1,227,1
"228.lds1","Br","2000","1","13",0.295,"lds1",1,228,1
"229.lds1","Br","2000","3","13",-0.264999999999999,"lds1",1,229,1
"230.lds1","Br","2000","1","11",0.255000000000001,"lds1",1,230,1
"231.lds1","Br","2000","1","13",-0.229999999999999,"lds1",1,231,1
"232.lds1","Br","2000","3","10",-0.0999999999999996,"lds1",1,232,1
"233.lds1","Br","2000","1","11",0.0650000000000013,"lds1",1,233,1
"234.lds1","Br","2000","1","13",0.120000000000001,"lds1",1,234,1
"235.lds1","Br","2000","3","12",0.0650000000000013,"lds1",1,235,1
"236.lds1","Wr","2000","3","13",-0.109999999999999,"lds1",1,236,1
"237.lds1","Wr","2000","1","12",-0.0299999999999994,"lds1",1,237,1
"238.lds1","Wr","2000","2","10",0.16,"lds1",1,238,1
"239.lds1","Wr","2000","2","0",0,"lds1",0,239,1
"240.lds1","Wi","2000","2","0",0,"lds1",0,240,1
"241.lds1","Br","2000","3","10",-0.194999999999999,"lds1",1,241,1
"242.lds1","Br","2000","3","12",-0.0249999999999986,"lds1",1,242,1
"243.lds1","Br","2000","1","12",0,"lds1",1,243,1
"244.lds1","Br","2000","2","11",0.0899999999999999,"lds1",1,244,1
"245.lds1","Br","2000","3","11",-0.219999999999999,"lds1",1,245,1
"246.lds1","Br","2000","3","13",0.210000000000001,"lds1",1,246,1
"247.lds1","Br","2000","3","13",0.0200000000000014,"lds1",1,247,1
"248.lds1","Br","2000","3","11",-0.239999999999998,"lds1",1,248,1
"249.lds1","Br","2000","2","0",0,"lds1",1,249,1
"250.lds1","Br","2000","3","13",0.265000000000001,"lds1",1,250,1
"251.lds1","Br","2000","1","11",0.185,"lds1",1,251,1
"252.lds1","Br","2000","2","13",-0.205,"lds1",1,252,1
"253.lds1","Br","2000","1","13",0.145000000000001,"lds1",1,253,1
"254.lds1","Br","2000","1","12",-0.164999999999999,"lds1",1,254,1
"255.lds1","Br","2000","3","13",0.205,"lds1",1,255,1
"256.lds1","Br","2000","3","11",-0.0599999999999987,"lds1",1,256,1
"257.lds1","Br","2000","3","10",0.210000000000001,"lds1",1,257,1
"258.lds1","Br","2000","2","10",0.275,"lds1",1,258,1
"259.lds1","Br","2000","3","10",-0.199999999999999,"lds1",1,259,1
"260.lds1","Br","2000","3","10",0.290000000000001,"lds1",1,260,1
"261.lds1","Wr","2000","3","13",-0.0749999999999993,"lds1",1,261,1
"262.lds1","Wr","2000","2","12",-0.334999999999999,"lds1",1,262,1
"263.lds1","Wr","2000","1","13",0.0100000000000016,"lds1",1,263,1
"264.lds1","Wr","2000","3","12",0.180000000000001,"lds1",1,264,1
"265.lds1","Wr","2000","1","12",0.135000000000002,"lds1",1,265,1
"266.lds1","Wr","2000","2","12",-0.17,"lds1",1,266,1
"267.lds1","Wr","2000","3","13",0.125,"lds1",1,267,1
"268.lds1","Br","2000","2","11",0.210000000000001,"lds1",1,268,1
"269.lds1","Br","2000","2","12",-0.16,"lds1",1,269,1
"270.lds1","Br","2000","1","13",-0.114999999999998,"lds1",1,270,1
"271.lds1","Wi","2000","1","13",0.0700000000000003,"lds1",1,271,1
"272.lds1","Br","2000","3","12",-0.119999999999999,"lds1",1,272,1
"273.lds1","Wi","2000","3","13",0.23,"lds1",1,273,1
"274.lds1","Wi","2000","2","13",-0.0449999999999999,"lds1",1,274,1
"275.lds1","Br","2000","3","10",-0.309999999999999,"lds1",1,275,1
"276.lds1","Br","2000","2","13",0.165000000000001,"lds1",1,276,1
"277.lds1","Br","2000","2","0",0,"lds1",0,277,1
"278.lds1","Br","2000","1","12",-0.184999999999999,"lds1",1,278,1
"279.lds1","Br","2000","3","13",0.270000000000001,"lds1",1,279,1
"280.lds1","Br","2000","3","10",0.235000000000001,"lds1",1,280,1
"281.lds1","Br","2000","2","10",0.185,"lds1",1,281,1
"282.lds1","Wi","2000","2","11",-0.0949999999999989,"lds1",1,282,1
"283.lds1","Br","2000","1","13",-0.0599999999999987,"lds1",1,283,1
"284.lds1","Br","2000","2","12",-0.299999999999999,"lds1",1,284,1
"285.lds1","Br","2000","2","10",-0.305,"lds1",1,285,1
"286.lds1","Br","2000","1","10",0.0400000000000009,"lds1",1,286,1
"287.lds1","Br","2000","3","0",0,"lds1",0,287,1
"288.lds1","Wi","2000","2","13",-0.315,"lds1",1,288,1
"289.lds1","Wi","2000","3","11",-0.295,"lds1",1,289,1
"290.lds1","Wr","2000","3","10",-0.344999999999999,"lds1",1,290,1
"291.lds1","Wr","2000","1","12",-0.174999999999999,"lds1",1,291,1
"292.lds1","Wr","2000","1","13",-0.135,"lds1",1,292,1
"293.lds1","Br","2000","1","12",-0.0949999999999989,"lds1",1,293,1
"294.lds1","Br","2000","1","13",0.345000000000001,"lds1",1,294,1
"295.lds1","Br","2000","1","12",-0.0399999999999991,"lds1",1,295,1
"296.lds1","Br","2000","1","13",-0.35,"lds1",1,296,1
"297.lds1","Wi","2000","3","13",-0.305,"lds1",1,297,1
"298.lds1","Wi","2000","2","0",0,"lds1",1,298,1
"299.lds1","Wi","2000","1","11",-0.0749999999999993,"lds1",1,299,1
"300.lds1","Br","2000","1","11",0.25,"lds1",1,300,1
"301.lds1","Wi","2000","1","12",0.315000000000001,"lds1",1,301,1
"302.lds1","Wi","2000","2","10",-0.104999999999999,"lds1",1,302,1
"303.lds1","Wi","2000","1","0",0,"lds1",0,303,1
"304.lds1","Wi","2000","3","11",0.0300000000000011,"lds1",1,304,1
"305.lds1","Wi","2000","2","10",-0.184999999999999,"lds1",1,305,1
"306.lds1","Wi","2000","2","10",0.215,"lds1",1,306,1
"307.lds1","Wi","2000","1","12",-0.215,"lds1",1,307,1
"308.lds1","Wi","2000","3","11",-0.279999999999999,"lds1",1,308,1
"309.lds1","Wi","2000","2","12",0.0150000000000006,"lds1",1,309,1
"310.lds1","Br","2000","3","0",0,"lds1",0,310,1
"311.lds1","Br","2000","1","11",-0.205,"lds1",1,311,1
"312.lds1","Br","2000","3","11",0.295,"lds1",1,312,1
"313.lds1","Wi","2000","3","12",0.295,"lds1",1,313,1
"314.lds1","Wi","2000","3","12",-0.0599999999999987,"lds1",1,314,1
"315.lds1","Br","2000","2","0",0,"lds1",0,315,1
"316.lds1","Br","2000","1","12",-0.0800000000000001,"lds1",1,316,1
"317.lds1","Wr","2000","1","12",0.345000000000001,"lds1",1,317,1
"318.lds1","Wr","2000","3","0",0,"lds1",1,318,1
"319.lds1","Wr","2000","1","11",0.140000000000001,"lds1",1,319,1
"320.lds1","Wr","2000","3","10",0.0449999999999999,"lds1",1,320,1
"321.lds1","Wr","2000","3","11",-0.0449999999999999,"lds1",1,321,1
"322.lds1","Wr","2000","2","13",-0.00499999999999901,"lds1",1,322,1
"323.lds1","Wr","2000","3","10",-0.35,"lds1",1,323,1
"324.lds1","Wr","2000","2","11",-0.35,"lds1",1,324,1
"325.lds1","Wr","2000","2","12",-0.0350000000000001,"lds1",1,325,1
"326.lds1","Br","2000","3","12",0.0800000000000001,"lds1",1,326,1
"327.lds1","Br","2000","2","10",0.0250000000000004,"lds1",1,327,1
"328.lds1","Br","2000","2","13",0.17,"lds1",1,328,1
"329.lds1","Br","2000","3","12",0.210000000000001,"lds1",1,329,1
"330.lds1","Br","2000","1","11",0.225000000000001,"lds1",1,330,1
"331.lds1","Br","2000","1","12",-0.295,"lds1",1,331,1
"332.lds1","Br","2000","1","13",-0.17,"lds1",1,332,1
"333.lds1","Br","2000","2","12",-0.0499999999999989,"lds1",1,333,1
"334.lds1","Br","2000","3","10",-0.319999999999999,"lds1",1,334,1
"335.lds1","Br","2000","1","11",0.32,"lds1",1,335,1
"336.lds1","Br","2000","2","12",0.0950000000000006,"lds1",1,336,1
"337.lds1","Br","2000","1","10",0.115,"lds1",1,337,1
"338.lds1","Br","2000","2","0",0,"lds1",0,338,1
"339.lds1","Br","2000","2","12",0.16,"lds1",1,339,1
"340.lds1","Br","2000","3","12",0.145000000000001,"lds1",1,340,1
"341.lds1","Wr","2000","2","13",0.195,"lds1",1,341,1
"342.lds1","Wr","2000","1","11",0.205,"lds1",1,342,1
"343.lds1","Wr","2000","2","10",0.0350000000000001,"lds1",1,343,1
"344.lds1","Wr","2000","2","12",0.255000000000001,"lds1",1,344,1
"345.lds1","Br","2000","3","12",0.0100000000000016,"lds1",1,345,1
"346.lds1","Br","2000","2","11",-0.0549999999999997,"lds1",1,346,1
"347.lds1","Br","2000","1","13",-0.0350000000000001,"lds1",1,347,1
"348.lds1","Br","2000","1","10",0.305000000000001,"lds1",1,348,1
"349.lds1","Wr","2000","3","12",0.25,"lds1",1,349,1
"350.lds1","Wr","2000","3","0",0,"lds1",0,350,1
"351.lds1","Wr","2000","3","11",-0.129999999999999,"lds1",1,351,1
"352.lds1","Wr","2000","2","10",-0.164999999999999,"lds1",1,352,1
"353.lds1","Wr","2000","3","10",0.00500000000000078,"lds1",1,353,1
"354.lds1","Br","2000","1","0",0,"lds1",0,354,1
"355.lds1","Br","2000","2","0",0,"lds1",0,355,1
"356.lds1","Wr","2000","1","13",0.0650000000000013,"lds1",1,356,1
"357.lds1","Wr","2000","1","11",-0.145,"lds1",1,357,1
"358.lds1","Br","2000","2","11",0.335000000000001,"lds1",1,358,1
"359.lds1","Br","2000","2","13",0.100000000000001,"lds1",1,359,1
"360.lds1","Br","2000","3","13",0.180000000000001,"lds1",1,360,1
"361.lds1","Br","2000","2","13",0.130000000000001,"lds1",1,361,1
"362.lds1","Br","2000","1","10",0.165000000000001,"lds1",1,362,1
"363.lds1","Br","2000","2","13",0.350000000000001,"lds1",1,363,1
"364.lds1","Br","2000","1","11",-0.0199999999999996,"lds1",1,364,1
"365.lds1","Br","2000","3","11",0.305000000000001,"lds1",1,365,1
"366.lds1","Br","2000","3","13",-0.125,"lds1",1,366,1
"367.lds1","Br","2000","2","13",-0.0649999999999995,"lds1",1,367,1
"368.lds1","Br","2000","2","10",-0.18,"lds1",1,368,1
"369.lds1","Br","2000","3","10",-0.225,"lds1",1,369,1
"370.lds1","Br","2000","3","11",-0.254999999999999,"lds1",1,370,1
"371.lds1","Wi","2000","1","12",0.235000000000001,"lds1",1,371,1
"372.lds1","Wi","2000","1","12",0.280000000000001,"lds1",1,372,1
"373.lds1","Wi","2000","3","13",-0.164999999999999,"lds1",1,373,1
"374.lds1","Wi","2000","3","10",-0.0350000000000001,"lds1",1,374,1
"375.lds1","Wi","2000","1","13",0.260000000000002,"lds1",1,375,1
"376.lds1","Wi","2000","2","11",-0.27,"lds1",1,376,1
"377.lds1","Wi","2000","3","11",0.0449999999999999,"lds1",1,377,1
"378.lds1","Br","2000","2","13",-0.209999999999999,"lds1",1,378,1
"379.lds1","Br","2000","2","10",0.225000000000001,"lds1",1,379,1
"380.lds1","Wi","2000","1","13",0.235000000000001,"lds1",1,380,1
"381.lds1","Wi","2000","3","10",-0.295,"lds1",1,381,1
"382.lds1","Wi","2000","2","11",-0.0849999999999991,"lds1",1,382,1
"383.lds1","Br","2000","1","0",0,"lds1",0,383,1
"384.lds1","Br","2000","2","0",0,"lds1",0,384,1
"385.lds1","Br","2000","1","13",0.0600000000000005,"lds1",1,385,1
"386.lds1","Br","2000","1","13",0.0350000000000001,"lds1",1,386,1
"387.lds1","Br","2000","2","10",-0.139999999999999,"lds1",1,387,1
"388.lds1","Wi","2000","2","12",0.155000000000001,"lds1",1,388,1
"389.lds1","Br","2000","1","12",0.165000000000001,"lds1",1,389,1
"390.lds1","Wi","2000","1","0",0,"lds1",1,390,1
"391.lds1","Wi","2000","3","10",0.31,"lds1",1,391,1
"392.lds1","Wi","2000","2","12",-0.27,"lds1",1,392,1
"393.lds1","Wi","2000","2","0",0,"lds1",1,393,1
