"","Plant.id","Env","Gen","Fam","Site","Year","varb","resp","id","root","fit"
"43.Surv","S032425","SF 2003","M","M.389","SF","2003","Surv",1,43,1,0
"44.Surv","S032313","SF 2003","M","M.389","SF","2003","Surv",1,44,1,0
"45.Surv","S032365","SF 2003","M","M.289","SF","2003","Surv",1,45,1,0
"46.Surv","S032625","SF 2003","M","M.2084","SF","2003","Surv",1,46,1,0
"47.Surv","S032647","SF 2003","M","M.686","SF","2003","Surv",1,47,1,0
"48.Surv","S032126","SF 2003","M","M.1086","SF","2003","Surv",1,48,1,0
"49.Surv","S032142","SF 2003","M","M.289","SF","2003","Surv",1,49,1,0
"50.Surv","S032665","SF 2003","M","M.1086","SF","2003","Surv",1,50,1,0
"51.Surv","S032645","SF 2003","M","M.2084","SF","2003","Surv",1,51,1,0
"52.Surv","S032544","SF 2003","M","M.289","SF","2003","Surv",1,52,1,0
"53.Surv","S032357","SF 2003","M","M.686","SF","2003","Surv",1,53,1,0
"54.Surv","S032546","SF 2003","M","M.286","SF","2003","Surv",1,54,1,0
"55.Surv","S032735","SF 2003","X","X.489","SF","2003","Surv",1,55,1,0
"56.Surv","S032254","SF 2003","X","X.287","SF","2003","Surv",1,56,1,0
"57.Surv","S032722","SF 2003","X","X.187","SF","2003","Surv",1,57,1,0
"58.Surv","S032225","SF 2003","X","X.489","SF","2003","Surv",1,58,1,0
"59.Surv","S032525","SF 2003","X","X.589","SF","2003","Surv",1,59,1,0
"60.Surv","S032454","SF 2003","X","X.189","SF","2003","Surv",1,60,1,0
"61.Surv","S032523","SF 2003","X","X.187","SF","2003","Surv",1,61,1,0
"62.Surv","S032617","SF 2003","X","X.489","SF","2003","Surv",1,62,1,0
"63.Surv","S032744","SF 2003","X","X.589","SF","2003","Surv",1,63,1,0
"64.Surv","S032642","SF 2003","X","X.589","SF","2003","Surv",1,64,1,0
"65.Surv","S032511","SF 2003","X","X.287","SF","2003","Surv",1,65,1,0
"66.Surv","S032667","SF 2003","X","X.589","SF","2003","Surv",1,66,1,0
"67.Surv","S032247","SF 2003","X","X.489","SF","2003","Surv",1,67,1,0
"68.Surv","S032152","SF 2003","X","X.189","SF","2003","Surv",1,68,1,0
"69.Surv","S032715","SF 2003","X","X.189","SF","2003","Surv",1,69,1,0
"70.Surv","S033241","SF 2003","M","M.2084","SF","2003","Surv",1,70,1,0
"71.Surv","S033441","SF 2003","M","M.286","SF","2003","Surv",1,71,1,0
"72.Surv","S033261","SF 2003","M","M.289","SF","2003","Surv",1,72,1,0
"73.Surv","S033426","SF 2003","M","M.286","SF","2003","Surv",1,73,1,0
"74.Surv","S033637","SF 2003","M","M.389","SF","2003","Surv",1,74,1,0
"75.Surv","S033744","SF 2003","M","M.2084","SF","2003","Surv",1,75,1,0
"76.Surv","S033463","SF 2003","M","M.1086","SF","2003","Surv",1,76,1,0
"77.Surv","S033736","SF 2003","M","M.289","SF","2003","Surv",1,77,1,0
"78.Surv","S033157","SF 2003","M","M.2084","SF","2003","Surv",1,78,1,0
"79.Surv","S033242","SF 2003","M","M.389","SF","2003","Surv",1,79,1,0
"80.Surv","S033712","SF 2003","M","M.1086","SF","2003","Surv",1,80,1,0
"81.Surv","S033117","SF 2003","M","M.686","SF","2003","Surv",1,81,1,0
"82.Surv","S033766","SF 2003","M","M.686","SF","2003","Surv",1,82,1,0
"83.Surv","S033726","SF 2003","M","M.2084","SF","2003","Surv",1,83,1,0
"84.Surv","S033143","SF 2003","M","M.389","SF","2003","Surv",1,84,1,0
"85.Surv","S033671","SF 2003","M","M.286","SF","2003","Surv",1,85,1,0
"86.Surv","S033171","SF 2003","M","M.389","SF","2003","Surv",1,86,1,0
"87.Surv","S033271","SF 2003","X","X.589","SF","2003","Surv",0,87,1,0
"88.Surv","S033251","SF 2003","X","X.489","SF","2003","Surv",1,88,1,0
"89.Surv","S033366","SF 2003","X","X.189","SF","2003","Surv",1,89,1,0
"90.Surv","S033137","SF 2003","X","X.489","SF","2003","Surv",1,90,1,0
"91.Surv","S033352","SF 2003","X","X.287","SF","2003","Surv",1,91,1,0
"92.Surv","S033751","SF 2003","X","X.589","SF","2003","Surv",1,92,1,0
"93.Surv","S033724","SF 2003","X","X.187","SF","2003","Surv",1,93,1,0
"94.Surv","S033721","SF 2003","X","X.187","SF","2003","Surv",1,94,1,0
"95.Surv","S033617","SF 2003","X","X.189","SF","2003","Surv",1,95,1,0
"96.Surv","S033345","SF 2003","X","X.287","SF","2003","Surv",1,96,1,0
"97.Surv","S033737","SF 2003","X","X.589","SF","2003","Surv",1,97,1,0
"98.Surv","S033355","SF 2003","X","X.489","SF","2003","Surv",1,98,1,0
"99.Surv","S033115","SF 2003","X","X.287","SF","2003","Surv",1,99,1,0
"100.Surv","S033767","SF 2003","X","X.189","SF","2003","Surv",1,100,1,0
"101.Surv","S033551","SF 2003","X","X.589","SF","2003","Surv",1,101,1,0
"102.Surv","S033611","SF 2003","X","X.287","SF","2003","Surv",1,102,1,0
"103.Surv","S033343","SF 2003","X","X.187","SF","2003","Surv",1,103,1,0
"104.Surv","S033517","SF 2003","X","X.589","SF","2003","Surv",1,104,1,0
"105.Surv","S041333","SF 2004","M","M.289","SF","2004","Surv",0,105,1,0
"106.Surv","S041547","SF 2004","M","M.2084","SF","2004","Surv",0,106,1,0
"107.Surv","S041225","SF 2004","M","M.2084","SF","2004","Surv",0,107,1,0
"108.Surv","S041447","SF 2004","M","M.1086","SF","2004","Surv",0,108,1,0
"109.Surv","S041622","SF 2004","M","M.389","SF","2004","Surv",0,109,1,0
"110.Surv","S041665","SF 2004","M","M.1086","SF","2004","Surv",0,110,1,0
"111.Surv","S041163","SF 2004","M","M.686","SF","2004","Surv",1,111,1,0
"112.Surv","S041126","SF 2004","M","M.1086","SF","2004","Surv",1,112,1,0
"113.Surv","S041723","SF 2004","M","M.686","SF","2004","Surv",1,113,1,0
"114.Surv","S041354","SF 2004","M","M.286","SF","2004","Surv",1,114,1,0
"115.Surv","S041367","SF 2004","M","M.389","SF","2004","Surv",1,115,1,0
"116.Surv","S041235","SF 2004","M","M.1086","SF","2004","Surv",1,116,1,0
"117.Surv","S041212","SF 2004","M","M.289","SF","2004","Surv",1,117,1,0
"118.Surv","S041326","SF 2004","M","M.286","SF","2004","Surv",1,118,1,0
"119.Surv","S041434","SF 2004","M","M.289","SF","2004","Surv",1,119,1,0
"120.Surv","S041732","SF 2004","M","M.286","SF","2004","Surv",1,120,1,0
"121.Surv","S041313","SF 2004","M","M.686","SF","2004","Surv",1,121,1,0
"122.Surv","S041457","SF 2004","M","M.286","SF","2004","Surv",1,122,1,0
"123.Surv","S041444","SF 2004","M","M.389","SF","2004","Surv",1,123,1,0
"124.Surv","S041514","SF 2004","M","M.2084","SF","2004","Surv",1,124,1,0
"125.Surv","S041241","SF 2004","M","M.289","SF","2004","Surv",1,125,1,0
"126.Surv","S041141","SF 2004","M","M.686","SF","2004","Surv",1,126,1,0
"127.Surv","S041357","SF 2004","M","M.389","SF","2004","Surv",1,127,1,0
"128.Surv","S041714","SF 2004","X","X.489","SF","2004","Surv",0,128,1,0
"129.Surv","S041533","SF 2004","X","X.189","SF","2004","Surv",0,129,1,0
"130.Surv","S041527","SF 2004","X","X.189","SF","2004","Surv",0,130,1,0
"131.Surv","S041224","SF 2004","X","X.287","SF","2004","Surv",0,131,1,0
"132.Surv","S041323","SF 2004","X","X.187","SF","2004","Surv",0,132,1,0
"133.Surv","S041331","SF 2004","X","X.187","SF","2004","Surv",0,133,1,0
"134.Surv","S041417","SF 2004","X","X.589","SF","2004","Surv",0,134,1,0
"135.Surv","S041475","SF 2004","X","X.489","SF","2004","Surv",0,135,1,0
"136.Surv","S041556","SF 2004","X","X.189","SF","2004","Surv",0,136,1,0
"137.Surv","S041431","SF 2004","X","X.489","SF","2004","Surv",1,137,1,0
"138.Surv","S041144","SF 2004","X","X.287","SF","2004","Surv",1,138,1,0
"139.Surv","S041135","SF 2004","X","X.187","SF","2004","Surv",1,139,1,0
"140.Surv","S041432","SF 2004","X","X.187","SF","2004","Surv",1,140,1,0
"141.Surv","S042175","SF 2004","M","M.686","SF","2004","Surv",0,141,1,0
"142.Surv","S042514","SF 2004","M","M.2084","SF","2004","Surv",0,142,1,0
"143.Surv","S042461","SF 2004","M","M.2084","SF","2004","Surv",0,143,1,0
"144.Surv","S042227","SF 2004","M","M.389","SF","2004","Surv",0,144,1,0
"145.Surv","S042315","SF 2004","M","M.2084","SF","2004","Surv",0,145,1,0
"146.Surv","S042532","SF 2004","M","M.389","SF","2004","Surv",0,146,1,0
"147.Surv","S042726","SF 2004","M","M.289","SF","2004","Surv",0,147,1,0
"148.Surv","S042217","SF 2004","M","M.289","SF","2004","Surv",1,148,1,0
"149.Surv","S042625","SF 2004","M","M.1086","SF","2004","Surv",1,149,1,0
"150.Surv","S042515","SF 2004","M","M.1086","SF","2004","Surv",1,150,1,0
"151.Surv","S042363","SF 2004","M","M.286","SF","2004","Surv",1,151,1,0
"152.Surv","S042533","SF 2004","M","M.1086","SF","2004","Surv",1,152,1,0
"153.Surv","S042347","SF 2004","M","M.286","SF","2004","Surv",1,153,1,0
"154.Surv","S042432","SF 2004","M","M.686","SF","2004","Surv",1,154,1,0
"155.Surv","S042251","SF 2004","M","M.686","SF","2004","Surv",1,155,1,0
"156.Surv","S042724","SF 2004","M","M.2084","SF","2004","Surv",1,156,1,0
"157.Surv","S042637","SF 2004","M","M.389","SF","2004","Surv",1,157,1,0
"158.Surv","S042121","SF 2004","M","M.289","SF","2004","Surv",1,158,1,0
"159.Surv","S042162","SF 2004","X","X.489","SF","2004","Surv",0,159,1,0
"160.Surv","S042232","SF 2004","X","X.189","SF","2004","Surv",0,160,1,0
"161.Surv","S042326","SF 2004","X","X.189","SF","2004","Surv",0,161,1,0
"162.Surv","S042443","SF 2004","X","X.287","SF","2004","Surv",0,162,1,0
"163.Surv","S042462","SF 2004","X","X.489","SF","2004","Surv",0,163,1,0
"164.Surv","S042656","SF 2004","X","X.287","SF","2004","Surv",0,164,1,0
"165.Surv","S042275","SF 2004","X","X.187","SF","2004","Surv",0,165,1,0
"166.Surv","S042651","SF 2004","X","X.287","SF","2004","Surv",1,166,1,0
"167.Surv","S042314","SF 2004","X","X.189","SF","2004","Surv",1,167,1,0
"168.Surv","S042454","SF 2004","X","X.189","SF","2004","Surv",1,168,1,0
"169.Surv","S042254","SF 2004","X","X.589","SF","2004","Surv",1,169,1,0
"170.Surv","S042376","SF 2004","X","X.287","SF","2004","Surv",1,170,1,0
"171.Surv","S042246","SF 2004","X","X.489","SF","2004","Surv",1,171,1,0
"172.Surv","S042261","SF 2004","X","X.589","SF","2004","Surv",1,172,1,0
"173.Surv","S042161","SF 2004","X","X.187","SF","2004","Surv",1,173,1,0
"174.Surv","S043711","SF 2004","M","M.286","SF","2004","Surv",0,174,1,0
"175.Surv","S043611","SF 2004","M","M.389","SF","2004","Surv",0,175,1,0
"176.Surv","S043633","SF 2004","M","M.1086","SF","2004","Surv",0,176,1,0
"177.Surv","S043267","SF 2004","M","M.286","SF","2004","Surv",0,177,1,0
"178.Surv","S043323","SF 2004","M","M.286","SF","2004","Surv",0,178,1,0
"179.Surv","S043366","SF 2004","M","M.2084","SF","2004","Surv",0,179,1,0
"180.Surv","S043536","SF 2004","M","M.2084","SF","2004","Surv",0,180,1,0
"181.Surv","S043563","SF 2004","M","M.686","SF","2004","Surv",0,181,1,0
"182.Surv","S043355","SF 2004","M","M.289","SF","2004","Surv",1,182,1,0
"183.Surv","S043347","SF 2004","M","M.1086","SF","2004","Surv",1,183,1,0
"184.Surv","S043572","SF 2004","M","M.686","SF","2004","Surv",1,184,1,0
"185.Surv","S043643","SF 2004","M","M.389","SF","2004","Surv",1,185,1,0
"186.Surv","S043276","SF 2004","M","M.289","SF","2004","Surv",1,186,1,0
"187.Surv","S043545","SF 2004","M","M.1086","SF","2004","Surv",1,187,1,0
"188.Surv","S043264","SF 2004","M","M.389","SF","2004","Surv",1,188,1,0
"189.Surv","S043414","SF 2004","M","M.686","SF","2004","Surv",1,189,1,0
"190.Surv","S043142","SF 2004","M","M.289","SF","2004","Surv",1,190,1,0
"191.Surv","S043163","SF 2004","M","M.2084","SF","2004","Surv",1,191,1,0
"192.Surv","S043615","SF 2004","X","X.189","SF","2004","Surv",0,192,1,0
"193.Surv","S043527","SF 2004","X","X.287","SF","2004","Surv",0,193,1,0
"194.Surv","S043715","SF 2004","X","X.589","SF","2004","Surv",0,194,1,0
"195.Surv","S043255","SF 2004","X","X.489","SF","2004","Surv",0,195,1,0
"196.Surv","S043312","SF 2004","X","X.589","SF","2004","Surv",0,196,1,0
"197.Surv","S043325","SF 2004","X","X.189","SF","2004","Surv",0,197,1,0
"198.Surv","S043326","SF 2004","X","X.287","SF","2004","Surv",0,198,1,0
"199.Surv","S043427","SF 2004","X","X.489","SF","2004","Surv",0,199,1,0
"200.Surv","S043432","SF 2004","X","X.489","SF","2004","Surv",0,200,1,0
"201.Surv","S043433","SF 2004","X","X.187","SF","2004","Surv",0,201,1,0
"202.Surv","S043443","SF 2004","X","X.187","SF","2004","Surv",0,202,1,0
"203.Surv","S043465","SF 2004","X","X.187","SF","2004","Surv",0,203,1,0
"204.Surv","S043537","SF 2004","X","X.187","SF","2004","Surv",0,204,1,0
"205.Surv","S043565","SF 2004","X","X.489","SF","2004","Surv",0,205,1,0
"206.Surv","S043653","SF 2004","X","X.189","SF","2004","Surv",0,206,1,0
"207.Surv","S043112","SF 2004","X","X.287","SF","2004","Surv",1,207,1,0
"208.Surv","S043361","SF 2004","X","X.287","SF","2004","Surv",1,208,1,0
"209.Surv","S061535","SF 2006","M","M.686","SF","2006","Surv",0,209,1,0
"210.Surv","S061476","SF 2006","M","M.686","SF","2006","Surv",0,210,1,0
"211.Surv","S061372","SF 2006","M","M.686","SF","2006","Surv",0,211,1,0
"212.Surv","S061371","SF 2006","M","M.289","SF","2006","Surv",0,212,1,0
"213.Surv","S061575","SF 2006","M","M.1086","SF","2006","Surv",1,213,1,0
"214.Surv","S061562","SF 2006","M","M.2084","SF","2006","Surv",1,214,1,0
"215.Surv","S061551","SF 2006","M","M.286","SF","2006","Surv",1,215,1,0
"216.Surv","S061572","SF 2006","M","M.289","SF","2006","Surv",1,216,1,0
"217.Surv","S061127","SF 2006","M","M.2084","SF","2006","Surv",1,217,1,0
"218.Surv","S061135","SF 2006","M","M.389","SF","2006","Surv",1,218,1,0
"219.Surv","S061554","SF 2006","M","M.286","SF","2006","Surv",1,219,1,0
"220.Surv","S061227","SF 2006","M","M.1086","SF","2006","Surv",1,220,1,0
"221.Surv","S061177","SF 2006","M","M.289","SF","2006","Surv",1,221,1,0
"222.Surv","S061537","SF 2006","M","M.389","SF","2006","Surv",1,222,1,0
"223.Surv","S061557","SF 2006","M","M.2084","SF","2006","Surv",1,223,1,0
"224.Surv","S061212","SF 2006","M","M.389","SF","2006","Surv",1,224,1,0
"225.Surv","S061337","SF 2006","X","X.189","SF","2006","Surv",0,225,1,0
"226.Surv","S061315","SF 2006","X","X.489","SF","2006","Surv",0,226,1,0
"227.Surv","S061414","SF 2006","X","X.287","SF","2006","Surv",0,227,1,0
"228.Surv","S061233","SF 2006","X","X.187","SF","2006","Surv",0,228,1,0
"229.Surv","S061462","SF 2006","X","X.187","SF","2006","Surv",0,229,1,0
"230.Surv","S061133","SF 2006","X","X.189","SF","2006","Surv",0,230,1,0
"231.Surv","S061223","SF 2006","X","X.589","SF","2006","Surv",0,231,1,0
"232.Surv","S061142","SF 2006","X","X.187","SF","2006","Surv",1,232,1,0
"233.Surv","S061344","SF 2006","X","X.189","SF","2006","Surv",1,233,1,0
"234.Surv","S061256","SF 2006","X","X.489","SF","2006","Surv",1,234,1,0
"235.Surv","S061243","SF 2006","X","X.287","SF","2006","Surv",1,235,1,0
"236.Surv","S061331","SF 2006","X","X.189","SF","2006","Surv",1,236,1,0
"237.Surv","S061165","SF 2006","X","X.589","SF","2006","Surv",1,237,1,0
"238.Surv","S061546","SF 2006","X","X.287","SF","2006","Surv",1,238,1,0
"239.Surv","S061146","SF 2006","X","X.489","SF","2006","Surv",1,239,1,0
"240.Surv","S061145","SF 2006","X","X.287","SF","2006","Surv",1,240,1,0
"241.Surv","S061342","SF 2006","X","X.189","SF","2006","Surv",1,241,1,0
"242.Surv","S061264","SF 2006","X","X.187","SF","2006","Surv",1,242,1,0
"243.Surv","S062155","SF 2006","M","M.2084","SF","2006","Surv",0,243,1,0
"244.Surv","S062315","SF 2006","M","M.289","SF","2006","Surv",0,244,1,0
"245.Surv","S062163","SF 2006","M","M.2084","SF","2006","Surv",0,245,1,0
"246.Surv","S062225","SF 2006","M","M.286","SF","2006","Surv",0,246,1,0
"247.Surv","S062147","SF 2006","M","M.1086","SF","2006","Surv",1,247,1,0
"248.Surv","S062424","SF 2006","M","M.1086","SF","2006","Surv",1,248,1,0
"249.Surv","S062445","SF 2006","M","M.389","SF","2006","Surv",1,249,1,0
"250.Surv","S062153","SF 2006","M","M.389","SF","2006","Surv",1,250,1,0
"251.Surv","S062327","SF 2006","M","M.286","SF","2006","Surv",1,251,1,0
"252.Surv","S062443","SF 2006","M","M.686","SF","2006","Surv",1,252,1,0
"253.Surv","S062154","SF 2006","M","M.289","SF","2006","Surv",1,253,1,0
"254.Surv","S062333","SF 2006","M","M.286","SF","2006","Surv",1,254,1,0
"255.Surv","S062564","SF 2006","M","M.389","SF","2006","Surv",1,255,1,0
"256.Surv","S062364","SF 2006","M","M.686","SF","2006","Surv",1,256,1,0
"257.Surv","S062472","SF 2006","M","M.2084","SF","2006","Surv",1,257,1,0
"258.Surv","S062124","SF 2006","M","M.686","SF","2006","Surv",1,258,1,0
"259.Surv","S062222","SF 2006","M","M.1086","SF","2006","Surv",1,259,1,0
"260.Surv","S062135","SF 2006","X","X.589","SF","2006","Surv",0,260,1,0
"261.Surv","S062446","SF 2006","X","X.589","SF","2006","Surv",0,261,1,0
"262.Surv","S062527","SF 2006","X","X.189","SF","2006","Surv",0,262,1,0
"263.Surv","S062411","SF 2006","X","X.489","SF","2006","Surv",0,263,1,0
"264.Surv","S062152","SF 2006","X","X.187","SF","2006","Surv",0,264,1,0
"265.Surv","S062162","SF 2006","X","X.489","SF","2006","Surv",0,265,1,0
"266.Surv","S062466","SF 2006","X","X.189","SF","2006","Surv",0,266,1,0
"267.Surv","S062477","SF 2006","X","X.589","SF","2006","Surv",1,267,1,0
"268.Surv","S062341","SF 2006","X","X.489","SF","2006","Surv",1,268,1,0
"269.Surv","S062475","SF 2006","X","X.189","SF","2006","Surv",1,269,1,0
"270.Surv","S062256","SF 2006","X","X.187","SF","2006","Surv",1,270,1,0
"271.Surv","S062551","SF 2006","X","X.589","SF","2006","Surv",1,271,1,0
"272.Surv","S062566","SF 2006","X","X.287","SF","2006","Surv",1,272,1,0
"273.Surv","S062463","SF 2006","X","X.189","SF","2006","Surv",1,273,1,0
"274.Surv","S062536","SF 2006","X","X.287","SF","2006","Surv",1,274,1,0
"275.Surv","S062462","SF 2006","X","X.489","SF","2006","Surv",1,275,1,0
"276.Surv","S062576","SF 2006","X","X.287","SF","2006","Surv",1,276,1,0
"277.Surv","S063317","SF 2006","M","M.389","SF","2006","Surv",0,277,1,0
"278.Surv","S063234","SF 2006","M","M.389","SF","2006","Surv",0,278,1,0
"279.Surv","S063265","SF 2006","M","M.289","SF","2006","Surv",0,279,1,0
"280.Surv","S063566","SF 2006","M","M.1086","SF","2006","Surv",1,280,1,0
"281.Surv","S063411","SF 2006","M","M.289","SF","2006","Surv",1,281,1,0
"282.Surv","S063557","SF 2006","M","M.2084","SF","2006","Surv",1,282,1,0
"283.Surv","S063256","SF 2006","M","M.2084","SF","2006","Surv",1,283,1,0
"284.Surv","S063157","SF 2006","M","M.2084","SF","2006","Surv",1,284,1,0
"285.Surv","S063443","SF 2006","M","M.286","SF","2006","Surv",1,285,1,0
"286.Surv","S063447","SF 2006","M","M.686","SF","2006","Surv",1,286,1,0
"287.Surv","S063247","SF 2006","M","M.289","SF","2006","Surv",1,287,1,0
"288.Surv","S063374","SF 2006","M","M.389","SF","2006","Surv",1,288,1,0
"289.Surv","S063244","SF 2006","M","M.1086","SF","2006","Surv",1,289,1,0
"290.Surv","S063375","SF 2006","M","M.1086","SF","2006","Surv",1,290,1,0
"291.Surv","S063241","SF 2006","M","M.686","SF","2006","Surv",1,291,1,0
"292.Surv","S063236","SF 2006","M","M.286","SF","2006","Surv",1,292,1,0
"293.Surv","S063354","SF 2006","M","M.286","SF","2006","Surv",1,293,1,0
"294.Surv","S063323","SF 2006","X","X.589","SF","2006","Surv",0,294,1,0
"295.Surv","S063425","SF 2006","X","X.589","SF","2006","Surv",0,295,1,0
"296.Surv","S063227","SF 2006","X","X.287","SF","2006","Surv",0,296,1,0
"297.Surv","S063527","SF 2006","X","X.589","SF","2006","Surv",0,297,1,0
"298.Surv","S063466","SF 2006","X","X.287","SF","2006","Surv",0,298,1,0
"299.Surv","S063463","SF 2006","X","X.489","SF","2006","Surv",0,299,1,0
"300.Surv","S063474","SF 2006","X","X.489","SF","2006","Surv",0,300,1,0
"301.Surv","S063535","SF 2006","X","X.187","SF","2006","Surv",1,301,1,0
"302.Surv","S063245","SF 2006","X","X.589","SF","2006","Surv",1,302,1,0
"303.Surv","S063553","SF 2006","X","X.189","SF","2006","Surv",1,303,1,0
"304.Surv","S063567","SF 2006","X","X.287","SF","2006","Surv",1,304,1,0
"305.Surv","S063146","SF 2006","X","X.489","SF","2006","Surv",1,305,1,0
"306.Surv","S063123","SF 2006","X","X.589","SF","2006","Surv",1,306,1,0
"307.Surv","S063574","SF 2006","X","X.187","SF","2006","Surv",1,307,1,0
"308.Surv","S063165","SF 2006","X","X.187","SF","2006","Surv",1,308,1,0
"309.Surv","S063161","SF 2006","X","X.189","SF","2006","Surv",1,309,1,0
"310.Surv","S063127","SF 2006","X","X.287","SF","2006","Surv",1,310,1,0
"311.Surv","S063332","SF 2006","X","X.187","SF","2006","Surv",1,311,1,0
"312.Surv","S07010403","SF 2007","M","M.000","SF","2007","Surv",0,312,1,0
"313.Surv","S07011605","SF 2007","M","M.389","SF","2007","Surv",0,313,1,0
"314.Surv","S07010305","SF 2007","M","M.2084","SF","2007","Surv",0,314,1,0
"315.Surv","S07011204","SF 2007","M","M.686","SF","2007","Surv",0,315,1,0
"316.Surv","S07010417","SF 2007","M","M.389","SF","2007","Surv",0,316,1,0
"317.Surv","S07010718","SF 2007","M","M.389","SF","2007","Surv",0,317,1,0
"318.Surv","S07011710","SF 2007","M","M.2084","SF","2007","Surv",0,318,1,0
"319.Surv","S07011019","SF 2007","M","M.686","SF","2007","Surv",1,319,1,0
"320.Surv","S07012013","SF 2007","M","M.000","SF","2007","Surv",1,320,1,0
"321.Surv","S07012003","SF 2007","M","M.1086","SF","2007","Surv",1,321,1,0
"322.Surv","S07011706","SF 2007","M","M.1086","SF","2007","Surv",1,322,1,0
"323.Surv","S07011210","SF 2007","M","M.000","SF","2007","Surv",1,323,1,0
"324.Surv","S07010714","SF 2007","M","M.289","SF","2007","Surv",1,324,1,0
"325.Surv","S07011018","SF 2007","M","M.289","SF","2007","Surv",1,325,1,0
"326.Surv","S07010911","SF 2007","M","M.1086","SF","2007","Surv",1,326,1,0
"327.Surv","S07010917","SF 2007","M","M.289","SF","2007","Surv",1,327,1,0
"328.Surv","S07011206","SF 2007","X","X.489","SF","2007","Surv",0,328,1,0
"329.Surv","S07010905","SF 2007","X","X.000","SF","2007","Surv",0,329,1,0
"330.Surv","S07011009","SF 2007","X","X.189","SF","2007","Surv",0,330,1,0
"331.Surv","S07011103","SF 2007","X","X.189","SF","2007","Surv",0,331,1,0
"332.Surv","S07011213","SF 2007","X","X.287","SF","2007","Surv",0,332,1,0
"333.Surv","S07011402","SF 2007","X","X.287","SF","2007","Surv",0,333,1,0
"334.Surv","S07011415","SF 2007","X","X.589","SF","2007","Surv",0,334,1,0
"335.Surv","S07011416","SF 2007","X","X.489","SF","2007","Surv",0,335,1,0
"336.Surv","S07011518","SF 2007","X","X.189","SF","2007","Surv",0,336,1,0
"337.Surv","S07011804","SF 2007","X","X.287","SF","2007","Surv",0,337,1,0
