"","SIRE","DAM","POP","SITE","ROW","BLK","varb","resp","id","root","fit"
"69.fecund","2085","2059","2","M",2,"1","fecund",1,69,1,0
"70.fecund","1106","1098","1","M",2,"1","fecund",1,70,1,0
"71.fecund","2150","2096","2","M",2,"1","fecund",1,71,1,0
"72.fecund","3160","3045","3","M",2,"1","fecund",1,72,1,0
"73.fecund","2095","2170","2","M",2,"1","fecund",1,73,1,0
"74.fecund","2116","2047","2","M",2,"1","fecund",1,74,1,0
"75.fecund","3081","3061","3","M",2,"1","fecund",1,75,1,0
"76.fecund","3081","3101","3","M",2,"1","fecund",1,76,1,0
"77.fecund","1181","1088","1","M",2,"1","fecund",1,77,1,0
"78.fecund","2001","2136","2","M",2,"1","fecund",1,78,1,0
"79.fecund","2151","2048","2","M",2,"1","fecund",1,79,1,0
"80.fecund","2151","2213","2","M",2,"1","fecund",1,80,1,0
"81.fecund","3059","3146","3","M",2,"1","fecund",1,81,1,0
"82.fecund","3057","3130","3","M",2,"1","fecund",1,82,1,0
"83.fecund","3199","3047","3","M",2,"1","fecund",1,83,1,0
"84.fecund","3174","3011","3","M",2,"1","fecund",1,84,1,0
"85.fecund","1056","1148","1","M",2,"1","fecund",1,85,1,0
"86.fecund","2020","2073","2","M",2,"1","fecund",1,86,1,0
"87.fecund","1026","1171","1","M",2,"1","fecund",1,87,1,0
"88.fecund","2173","2052","2","M",2,"1","fecund",1,88,1,0
"89.fecund","1033","1097","1","M",2,"1","fecund",1,89,1,0
"90.fecund","3037","3152","3","M",2,"1","fecund",1,90,1,0
"91.fecund","2094","2008","2","M",2,"1","fecund",1,91,1,0
"92.fecund","2133","2197","2","M",3,"1","fecund",1,92,1,0
"93.fecund","1034","1163","1","M",3,"1","fecund",1,93,1,0
"94.fecund","3089","3043","3","M",3,"1","fecund",0,94,1,0
"95.fecund","3050","3116","3","M",3,"1","fecund",1,95,1,0
"96.fecund","2031","2125","2","M",3,"1","fecund",0,96,1,0
"97.fecund","3198","3053","3","M",3,"1","fecund",1,97,1,0
"98.fecund","3049","3062","3","M",3,"1","fecund",0,98,1,0
"99.fecund","2038","2021","2","M",3,"1","fecund",1,99,1,0
"100.fecund","3091","3076","3","M",3,"1","fecund",1,100,1,0
"101.fecund","1094","1020","1","M",3,"1","fecund",1,101,1,0
"102.fecund","3070","3028","3","M",3,"1","fecund",1,102,1,0
"103.fecund","2045","2168","2","M",3,"1","fecund",1,103,1,0
"104.fecund","2001","2146","2","M",3,"1","fecund",1,104,1,0
"105.fecund","2200","2044","2","M",3,"1","fecund",1,105,1,0
"106.fecund","3017","3115","3","M",3,"1","fecund",1,106,1,0
"107.fecund","2102","2202","2","M",3,"1","fecund",1,107,1,0
"108.fecund","1129","1086","1","M",3,"1","fecund",0,108,1,0
"109.fecund","2087","2007","2","M",3,"1","fecund",1,109,1,0
"110.fecund","3055","3164","3","M",3,"1","fecund",1,110,1,0
"111.fecund","3183","3178","3","M",3,"1","fecund",1,111,1,0
"112.fecund","3187","3071","3","M",3,"1","fecund",1,112,1,0
"113.fecund","2056","2018","2","M",3,"1","fecund",1,113,1,0
"114.fecund","2166","2167","2","M",3,"1","fecund",1,114,1,0
"115.fecund","2072","2104","2","M",3,"1","fecund",1,115,1,0
"116.fecund","2010","2121","2","M",3,"1","fecund",1,116,1,0
"117.fecund","3110","3176","3","M",3,"1","fecund",1,117,1,0
"118.fecund","1120","1017","1","M",3,"1","fecund",1,118,1,0
"119.fecund","2098","2140","2","M",3,"1","fecund",1,119,1,0
"120.fecund","1026","1131","1","M",3,"1","fecund",1,120,1,0
"121.fecund","3014","3161","3","M",3,"1","fecund",1,121,1,0
"122.fecund","3166","3040","3","M",3,"1","fecund",0,122,1,0
"123.fecund","2134","2046","2","M",3,"1","fecund",1,123,1,0
"124.fecund","2215","2030","2","M",3,"1","fecund",1,124,1,0
"125.fecund","2173","2127","2","M",3,"1","fecund",1,125,1,0
"126.fecund","2082","2205","2","M",3,"1","fecund",1,126,1,0
"127.fecund","3089","3172","3","M",3,"1","fecund",1,127,1,0
"128.fecund","2012","2011","2","M",3,"1","fecund",1,128,1,0
"129.fecund","1175","1149","1","M",3,"1","fecund",1,129,1,0
"130.fecund","3166","3134","3","M",3,"1","fecund",1,130,1,0
"131.fecund","1107","1093","1","M",3,"1","fecund",1,131,1,0
"132.fecund","3007","3131","3","M",3,"1","fecund",1,132,1,0
"133.fecund","2016","2149","2","M",3,"1","fecund",1,133,1,0
"134.fecund","1082","1011","1","M",3,"1","fecund",1,134,1,0
"135.fecund","3059","3096","3","M",3,"1","fecund",1,135,1,0
"136.fecund","2056","2060","2","M",4,"1","fecund",1,136,1,0
"137.fecund","2200","2118","2","M",4,"1","fecund",1,137,1,0
"138.fecund","1056","1148","1","M",4,"1","fecund",1,138,1,0
"139.fecund","3174","3012","3","M",4,"1","fecund",0,139,1,0
"140.fecund","1084","1043","1","M",4,"1","fecund",1,140,1,0
"141.fecund","1034","1019","1","M",4,"1","fecund",1,141,1,0
"142.fecund","2095","2170","2","M",4,"1","fecund",1,142,1,0
"143.fecund","2072","2104","2","M",4,"1","fecund",1,143,1,0
"144.fecund","3057","3092","3","M",4,"1","fecund",1,144,1,0
"145.fecund","3003","3191","3","M",4,"1","fecund",1,145,1,0
"146.fecund","1071","1182","1","M",4,"1","fecund",1,146,1,0
"147.fecund","1034","1081","1","M",4,"1","fecund",1,147,1,0
"148.fecund","1026","1191","1","M",4,"1","fecund",1,148,1,0
"149.fecund","2166","2207","2","M",4,"1","fecund",1,149,1,0
"150.fecund","3199","3195","3","M",4,"1","fecund",1,150,1,0
"151.fecund","2098","2169","2","M",4,"1","fecund",1,151,1,0
"152.fecund","1106","1098","1","M",4,"1","fecund",1,152,1,0
"153.fecund","3030","3149","3","M",4,"1","fecund",1,153,1,0
"154.fecund","1192","1183","1","M",4,"1","fecund",1,154,1,0
"155.fecund","1101","1172","1","M",4,"1","fecund",0,155,1,0
"156.fecund","1116","1074","1","M",4,"1","fecund",0,156,1,0
"157.fecund","3180","3098","3","M",4,"1","fecund",1,157,1,0
"158.fecund","2031","2071","2","M",4,"1","fecund",1,158,1,0
"159.fecund","3104","3072","3","M",4,"1","fecund",1,159,1,0
"160.fecund","3031","3113","3","M",4,"1","fecund",1,160,1,0
"161.fecund","1033","1143","1","M",4,"1","fecund",0,161,1,0
"162.fecund","2024","2194","2","M",4,"1","fecund",1,162,1,0
"163.fecund","3003","3111","3","M",4,"1","fecund",1,163,1,0
"164.fecund","1022","1151","1","M",4,"1","fecund",1,164,1,0
"165.fecund","1192","1187","1","M",4,"1","fecund",1,165,1,0
"166.fecund","2085","2208","2","M",4,"1","fecund",1,166,1,0
"167.fecund","3183","3178","3","M",4,"1","fecund",1,167,1,0
"168.fecund","2204","2022","2","M",4,"1","fecund",1,168,1,0
"169.fecund","2020","2164","2","M",4,"1","fecund",1,169,1,0
"170.fecund","1134","1050","1","M",4,"1","fecund",1,170,1,0
"171.fecund","1065","1070","1","M",4,"1","fecund",1,171,1,0
"172.fecund","2010","2101","2","M",4,"1","fecund",1,172,1,0
"173.fecund","2173","2128","2","M",4,"1","fecund",1,173,1,0
"174.fecund","1041","1124","1","M",4,"1","fecund",1,174,1,0
"175.fecund","2085","2147","2","M",4,"1","fecund",1,175,1,0
"176.fecund","3065","3121","3","M",4,"1","fecund",1,176,1,0
"177.fecund","2079","2109","2","M",4,"1","fecund",1,177,1,0
"178.fecund","3136","3153","3","M",4,"1","fecund",1,178,1,0
"179.fecund","3174","3025","3","M",4,"1","fecund",1,179,1,0
"180.fecund","2051","2064","2","M",4,"1","fecund",1,180,1,0
"181.fecund","3183","3009","3","M",5,"1","fecund",0,181,1,0
"182.fecund","2224","2114","2","M",5,"1","fecund",1,182,1,0
"183.fecund","2003","2083","2","M",5,"1","fecund",1,183,1,0
"184.fecund","1091","1198","1","M",5,"1","fecund",1,184,1,0
"185.fecund","1039","1164","1","M",5,"1","fecund",1,185,1,0
"186.fecund","2174","2216","2","M",5,"1","fecund",1,186,1,0
"187.fecund","2196","2029","2","M",5,"1","fecund",1,187,1,0
"188.fecund","3049","3109","3","M",5,"1","fecund",1,188,1,0
"189.fecund","3187","3165","3","M",5,"1","fecund",1,189,1,0
"190.fecund","1146","1112","1","M",5,"1","fecund",1,190,1,0
"191.fecund","3084","3082","3","M",5,"1","fecund",1,191,1,0
"192.fecund","1129","1044","1","M",5,"1","fecund",1,192,1,0
"193.fecund","2195","2057","2","M",5,"1","fecund",0,193,1,0
"194.fecund","2010","2121","2","M",5,"1","fecund",1,194,1,0
"195.fecund","2204","2188","2","M",5,"1","fecund",1,195,1,0
"196.fecund","2141","2144","2","M",5,"1","fecund",1,196,1,0
"197.fecund","2102","2212","2","M",5,"1","fecund",1,197,1,0
"198.fecund","2095","2039","2","M",5,"1","fecund",1,198,1,0
"199.fecund","2051","2064","2","M",5,"1","fecund",0,199,1,0
"200.fecund","3174","3011","3","M",5,"1","fecund",1,200,1,0
"201.fecund","1041","1125","1","M",5,"1","fecund",1,201,1,0
"202.fecund","1085","1032","1","M",5,"1","fecund",1,202,1,0
"203.fecund","2174","2143","2","M",5,"1","fecund",1,203,1,0
"204.fecund","2124","2153","2","M",5,"1","fecund",1,204,1,0
"205.fecund","2124","2199","2","M",5,"1","fecund",1,205,1,0
"206.fecund","2204","2135","2","M",5,"1","fecund",1,206,1,0
"207.fecund","1102","1100","1","M",5,"1","fecund",1,207,1,0
"208.fecund","3140","3188","3","M",5,"1","fecund",1,208,1,0
"209.fecund","3194","3142","3","M",5,"1","fecund",1,209,1,0
"210.fecund","2074","2107","2","M",5,"1","fecund",1,210,1,0
"211.fecund","2214","2203","2","M",5,"1","fecund",1,211,1,0
"212.fecund","2003","2130","2","M",5,"1","fecund",1,212,1,0
"213.fecund","2012","2091","2","M",5,"1","fecund",1,213,1,0
"214.fecund","1039","1054","1","M",5,"1","fecund",1,214,1,0
"215.fecund","1122","1186","1","M",5,"1","fecund",1,215,1,0
"216.fecund","3156","3158","3","M",5,"1","fecund",1,216,1,0
"217.fecund","3148","3157","3","M",5,"1","fecund",1,217,1,0
"218.fecund","1102","1008","1","M",5,"1","fecund",1,218,1,0
"219.fecund","1192","1128","1","M",5,"1","fecund",1,219,1,0
"220.fecund","2117","2013","2","M",5,"1","fecund",1,220,1,0
"221.fecund","2173","2127","2","M",5,"1","fecund",1,221,1,0
"222.fecund","3197","3063","3","M",5,"1","fecund",1,222,1,0
"223.fecund","2016","2149","2","M",6,"1","fecund",1,223,1,0
"224.fecund","3049","3062","3","M",6,"1","fecund",1,224,1,0
"225.fecund","2012","2055","2","M",6,"1","fecund",1,225,1,0
"226.fecund","2038","2021","2","M",6,"1","fecund",1,226,1,0
"227.fecund","2102","2217","2","M",6,"1","fecund",1,227,1,0
"228.fecund","3030","3078","3","M",6,"1","fecund",1,228,1,0
"229.fecund","2049","2221","2","M",6,"1","fecund",1,229,1,0
"230.fecund","3140","3188","3","M",6,"1","fecund",0,230,1,0
"231.fecund","2079","2066","2","M",6,"1","fecund",1,231,1,0
"232.fecund","3046","3002","3","M",6,"1","fecund",1,232,1,0
"233.fecund","3187","3123","3","M",6,"1","fecund",1,233,1,0
"234.fecund","1085","1064","1","M",6,"1","fecund",1,234,1,0
"235.fecund","2134","2190","2","M",6,"1","fecund",1,235,1,0
"236.fecund","2141","2144","2","M",6,"1","fecund",1,236,1,0
"237.fecund","2024","2106","2","M",6,"1","fecund",1,237,1,0
"238.fecund","3166","3141","3","M",6,"1","fecund",1,238,1,0
"239.fecund","3180","3112","3","M",6,"1","fecund",1,239,1,0
"240.fecund","2084","2181","2","M",6,"1","fecund",1,240,1,0
"241.fecund","3173","3036","3","M",6,"1","fecund",0,241,1,0
"242.fecund","1065","1031","1","M",6,"1","fecund",1,242,1,0
"243.fecund","3065","3118","3","M",6,"1","fecund",1,243,1,0
"244.fecund","3050","3144","3","M",6,"1","fecund",1,244,1,0
"245.fecund","3037","3125","3","M",6,"1","fecund",1,245,1,0
"246.fecund","2049","2221","2","M",6,"1","fecund",1,246,1,0
"247.fecund","2102","2202","2","M",6,"1","fecund",1,247,1,0
"248.fecund","3091","3107","3","M",6,"1","fecund",1,248,1,0
"249.fecund","1118","1055","1","M",6,"1","fecund",1,249,1,0
"250.fecund","1030","1049","1","M",6,"1","fecund",1,250,1,0
"251.fecund","2001","2136","2","M",6,"1","fecund",1,251,1,0
"252.fecund","2051","2129","2","M",6,"1","fecund",1,252,1,0
"253.fecund","1072","1137","1","M",6,"1","fecund",1,253,1,0
"254.fecund","2089","2065","2","M",6,"1","fecund",1,254,1,0
"255.fecund","1004","1169","1","M",6,"1","fecund",1,255,1,0
"256.fecund","1085","1032","1","M",6,"1","fecund",1,256,1,0
"257.fecund","2020","2210","2","M",6,"1","fecund",1,257,1,0
"258.fecund","3055","3177","3","M",6,"1","fecund",1,258,1,0
"259.fecund","3017","3001","3","M",6,"1","fecund",1,259,1,0
"260.fecund","3070","3028","3","M",6,"1","fecund",0,260,1,0
"261.fecund","3014","3106","3","M",6,"1","fecund",1,261,1,0
"262.fecund","3084","3056","3","M",6,"1","fecund",1,262,1,0
"263.fecund","3160","3133","3","M",6,"1","fecund",1,263,1,0
"264.fecund","2224","2155","2","M",6,"1","fecund",1,264,1,0
"265.fecund","3181","3196","3","M",6,"1","fecund",1,265,1,0
"266.fecund","3156","3158","3","M",6,"1","fecund",1,266,1,0
"267.fecund","1111","1196","1","M",6,"1","fecund",1,267,1,0
"268.fecund","2166","2167","2","M",7,"1","fecund",1,268,1,0
"269.fecund","2134","2046","2","M",7,"1","fecund",1,269,1,0
"270.fecund","3016","3108","3","M",7,"1","fecund",1,270,1,0
"271.fecund","2174","2027","2","M",7,"1","fecund",1,271,1,0
"272.fecund","3084","3056","3","M",7,"1","fecund",1,272,1,0
"273.fecund","2038","2100","2","M",7,"1","fecund",1,273,1,0
"274.fecund","1109","1016","1","M",7,"1","fecund",1,274,1,0
"275.fecund","2094","2036","2","M",7,"1","fecund",1,275,1,0
"276.fecund","3174","3012","3","M",7,"1","fecund",1,276,1,0
"277.fecund","1004","1161","1","M",7,"1","fecund",1,277,1,0
"278.fecund","2117","2160","2","M",7,"1","fecund",1,278,1,0
"279.fecund","2094","2157","2","M",7,"1","fecund",1,279,1,0
"280.fecund","2087","2025","2","M",7,"1","fecund",1,280,1,0
"281.fecund","1045","1176","1","M",7,"1","fecund",1,281,1,0
"282.fecund","3102","3010","3","M",7,"1","fecund",1,282,1,0
"283.fecund","3102","3010","3","M",7,"1","fecund",1,283,1,0
"284.fecund","2079","2219","2","M",7,"1","fecund",1,284,1,0
"285.fecund","1072","1051","1","M",7,"1","fecund",1,285,1,0
"286.fecund","3156","3067","3","M",7,"1","fecund",1,286,1,0
"287.fecund","3148","3044","3","M",7,"1","fecund",1,287,1,0
"288.fecund","2200","2014","2","M",7,"1","fecund",1,288,1,0
"289.fecund","1071","1079","1","M",7,"1","fecund",1,289,1,0
"290.fecund","2108","2148","2","M",7,"1","fecund",0,290,1,0
"291.fecund","2024","2194","2","M",7,"1","fecund",1,291,1,0
"292.fecund","3198","3124","3","M",7,"1","fecund",1,292,1,0
"293.fecund","2049","2161","2","M",7,"1","fecund",1,293,1,0
"294.fecund","3104","3066","3","M",7,"1","fecund",1,294,1,0
"295.fecund","1084","1126","1","M",7,"1","fecund",1,295,1,0
"296.fecund","1134","1024","1","M",7,"1","fecund",1,296,1,0
"297.fecund","1004","1140","1","M",7,"1","fecund",1,297,1,0
"298.fecund","2094","2157","2","M",7,"1","fecund",1,298,1,0
"299.fecund","3003","3117","3","M",7,"1","fecund",1,299,1,0
"300.fecund","2031","2125","2","M",7,"1","fecund",1,300,1,0
"301.fecund","1101","1103","1","M",7,"1","fecund",1,301,1,0
"302.fecund","1106","1007","1","M",7,"1","fecund",1,302,1,0
"303.fecund","2200","2118","2","M",7,"1","fecund",1,303,1,0
"304.fecund","1129","1044","1","M",7,"1","fecund",1,304,1,0
"305.fecund","1072","1013","1","M",7,"1","fecund",1,305,1,0
"306.fecund","3128","3184","3","M",7,"1","fecund",1,306,1,0
"307.fecund","2102","2217","2","M",7,"1","fecund",1,307,1,0
"308.fecund","1118","1130","1","M",7,"1","fecund",1,308,1,0
"309.fecund","2224","2114","2","M",7,"1","fecund",1,309,1,0
"310.fecund","2056","2132","2","M",7,"1","fecund",1,310,1,0
"311.fecund","3173","3036","3","M",7,"1","fecund",1,311,1,0
"312.fecund","1181","1177","1","M",7,"1","fecund",1,312,1,0
"313.fecund","1106","1168","1","M",7,"1","fecund",1,313,1,0
"314.fecund","1091","1114","1","M",7,"1","fecund",1,314,1,0
"315.fecund","2095","2139","2","M",7,"1","fecund",1,315,1,0
"316.fecund","1091","1114","1","M",8,"1","fecund",1,316,1,0
"317.fecund","3166","3040","3","M",8,"1","fecund",1,317,1,0
"318.fecund","1026","1191","1","M",8,"1","fecund",1,318,1,0
"319.fecund","2084","2179","2","M",8,"1","fecund",1,319,1,0
"320.fecund","1061","1155","1","M",8,"1","fecund",1,320,1,0
"321.fecund","3050","3116","3","M",8,"1","fecund",1,321,1,0
"322.fecund","1133","1119","1","M",8,"1","fecund",1,322,1,0
"323.fecund","2020","2073","2","M",8,"1","fecund",1,323,1,0
"324.fecund","3016","3090","3","M",8,"1","fecund",1,324,1,0
"325.fecund","3110","3015","3","M",8,"1","fecund",1,325,1,0
"326.fecund","3160","3182","3","M",8,"1","fecund",1,326,1,0
"327.fecund","1041","1105","1","M",8,"1","fecund",1,327,1,0
"328.fecund","2098","2169","2","M",8,"1","fecund",1,328,1,0
"329.fecund","1138","1057","1","M",8,"1","fecund",1,329,1,0
"330.fecund","3070","3105","3","M",8,"1","fecund",1,330,1,0
"331.fecund","2215","2002","2","M",8,"1","fecund",1,331,1,0
"332.fecund","2003","2083","2","M",8,"1","fecund",1,332,1,0
"333.fecund","1120","1067","1","M",8,"1","fecund",1,333,1,0
"334.fecund","3031","3020","3","M",8,"1","fecund",1,334,1,0
"335.fecund","3091","3083","3","M",8,"1","fecund",1,335,1,0
"336.fecund","1145","1092","1","M",8,"1","fecund",1,336,1,0
"337.fecund","1189","1121","1","M",8,"1","fecund",1,337,1,0
"338.fecund","3017","3001","3","M",8,"1","fecund",1,338,1,0
"339.fecund","2215","2002","2","M",8,"1","fecund",1,339,1,0
"340.fecund","1138","1089","1","M",8,"1","fecund",1,340,1,0
"341.fecund","1045","1037","1","M",8,"1","fecund",1,341,1,0
"342.fecund","2200","2014","2","M",8,"1","fecund",1,342,1,0
"343.fecund","2166","2034","2","M",8,"1","fecund",1,343,1,0
"344.fecund","2079","2066","2","M",8,"1","fecund",1,344,1,0
"345.fecund","3007","3185","3","M",8,"1","fecund",1,345,1,0
"346.fecund","1030","1180","1","M",8,"1","fecund",1,346,1,0
"347.fecund","1107","1068","1","M",8,"1","fecund",1,347,1,0
"348.fecund","1133","1005","1","M",8,"1","fecund",1,348,1,0
"349.fecund","1085","1064","1","M",8,"1","fecund",1,349,1,0
"350.fecund","1076","1174","1","M",8,"1","fecund",1,350,1,0
"351.fecund","1111","1080","1","M",8,"1","fecund",1,351,1,0
"352.fecund","3091","3083","3","M",8,"1","fecund",1,352,1,0
"353.fecund","3166","3141","3","M",8,"1","fecund",1,353,1,0
"354.fecund","1118","1055","1","M",8,"1","fecund",1,354,1,0
"355.fecund","1073","1165","1","M",8,"1","fecund",1,355,1,0
"356.fecund","3175","3201","3","M",8,"1","fecund",1,356,1,0
"357.fecund","1029","1035","1","M",8,"1","fecund",1,357,1,0
"358.fecund","2012","2055","2","M",8,"1","fecund",1,358,1,0
"359.fecund","3004","3159","3","M",8,"1","fecund",1,359,1,0
"360.fecund","3035","3127","3","M",8,"1","fecund",1,360,1,0
"361.fecund","2192","2159","2","M",8,"1","fecund",1,361,1,0
"362.fecund","3041","3132","3","M",8,"1","fecund",1,362,1,0
"363.fecund","1175","1147","1","M",8,"1","fecund",1,363,1,0
"364.fecund","2133","2105","2","M",9,"1","fecund",1,364,1,0
"365.fecund","1041","1124","1","M",9,"1","fecund",1,365,1,0
"366.fecund","1040","1115","1","M",9,"1","fecund",1,366,1,0
"367.fecund","1041","1105","1","M",9,"1","fecund",1,367,1,0
"368.fecund","2045","2122","2","M",9,"1","fecund",1,368,1,0
"369.fecund","1073","1087","1","M",9,"1","fecund",1,369,1,0
"370.fecund","2133","2105","2","M",9,"1","fecund",1,370,1,0
"371.fecund","3181","3196","3","M",9,"1","fecund",1,371,1,0
"372.fecund","1138","1089","1","M",9,"1","fecund",1,372,1,0
"373.fecund","2010","2158","2","M",9,"1","fecund",1,373,1,0
"374.fecund","2172","2156","2","M",9,"1","fecund",1,374,1,0
"375.fecund","1146","1069","1","M",9,"1","fecund",1,375,1,0
"376.fecund","2089","2120","2","M",9,"1","fecund",1,376,1,0
"377.fecund","3194","3095","3","M",9,"1","fecund",1,377,1,0
"378.fecund","3102","3154","3","M",9,"1","fecund",1,378,1,0
"379.fecund","2093","2123","2","M",9,"1","fecund",1,379,1,0
"380.fecund","1073","1165","1","M",9,"1","fecund",1,380,1,0
"381.fecund","3031","3113","3","M",9,"1","fecund",1,381,1,0
"382.fecund","2098","2140","2","M",9,"1","fecund",1,382,1,0
"383.fecund","1034","1019","1","M",9,"1","fecund",1,383,1,0
"384.fecund","2082","2113","2","M",9,"1","fecund",1,384,1,0
"385.fecund","1138","1047","1","M",9,"1","fecund",1,385,1,0
"386.fecund","1033","1108","1","M",9,"1","fecund",0,386,1,0
"387.fecund","3089","3172","3","M",9,"1","fecund",1,387,1,0
"388.fecund","3175","3039","3","M",9,"1","fecund",1,388,1,0
"389.fecund","2172","2080","2","M",9,"1","fecund",1,389,1,0
"390.fecund","2150","2223","2","M",9,"1","fecund",1,390,1,0
"391.fecund","2095","2139","2","M",9,"1","fecund",1,391,1,0
"392.fecund","1189","1190","1","M",9,"1","fecund",1,392,1,0
"393.fecund","3021","3058","3","M",9,"1","fecund",1,393,1,0
"394.fecund","2049","2078","2","M",9,"1","fecund",1,394,1,0
"395.fecund","3160","3133","3","M",9,"1","fecund",1,395,1,0
"396.fecund","2051","2129","2","M",9,"1","fecund",0,396,1,0
"397.fecund","2178","2145","2","M",9,"1","fecund",1,397,1,0
"398.fecund","3151","3018","3","M",9,"1","fecund",1,398,1,0
"399.fecund","3057","3186","3","M",9,"1","fecund",1,399,1,0
"400.fecund","1122","1186","1","M",9,"1","fecund",1,400,1,0
"401.fecund","1145","1195","1","M",9,"1","fecund",1,401,1,0
"402.fecund","1021","1009","1","M",9,"1","fecund",1,402,1,0
"403.fecund","2204","2188","2","M",9,"1","fecund",1,403,1,0
"404.fecund","2001","2112","2","M",9,"1","fecund",1,404,1,0
"405.fecund","3110","3015","3","M",9,"1","fecund",1,405,1,0
"406.fecund","3049","3033","3","M",9,"1","fecund",1,406,1,0
"407.fecund","2108","2175","2","M",9,"1","fecund",1,407,1,0
"408.fecund","3128","3184","3","M",9,"1","fecund",1,408,1,0
"409.fecund","1021","1156","1","M",10,"1","fecund",1,409,1,0
