"","Site","Block","Region","Pop","varb","resp","id","root","varbFlowering","varbFlowers","fit"
"93.Flowering","Riverside","5","S","JHNSNRCH","Flowering",1,93,1,1,0,0
"94.Flowering","Riverside","5","S","JHNSNRCH","Flowering",1,94,1,1,0,0
"95.Flowering","Riverside","5","S","JHNSNRCH","Flowering",1,95,1,1,0,0
"96.Flowering","Riverside","5","S","JHNSNRCH","Flowering",1,96,1,1,0,0
"97.Flowering","Riverside","5","S","JHNSNRCH","Flowering",1,97,1,1,0,0
"98.Flowering","Riverside","1","S","NEWSW33HMT","Flowering",0,98,1,1,0,0
"99.Flowering","Riverside","1","S","NEWSW33HMT","Flowering",0,99,1,1,0,0
"100.Flowering","Riverside","1","S","NEWSW33HMT","Flowering",1,100,1,1,0,0
"101.Flowering","Riverside","1","S","NEWSW33HMT","Flowering",1,101,1,1,0,0
"102.Flowering","Riverside","1","S","NEWSW33HMT","Flowering",1,102,1,1,0,0
"103.Flowering","Riverside","2","S","NEWSW33HMT","Flowering",1,103,1,1,0,0
"104.Flowering","Riverside","2","S","NEWSW33HMT","Flowering",1,104,1,1,0,0
"105.Flowering","Riverside","2","S","NEWSW33HMT","Flowering",1,105,1,1,0,0
"106.Flowering","Riverside","2","S","NEWSW33HMT","Flowering",1,106,1,1,0,0
"107.Flowering","Riverside","2","S","NEWSW33HMT","Flowering",1,107,1,1,0,0
"108.Flowering","Riverside","3","S","NEWSW33HMT","Flowering",1,108,1,1,0,0
"109.Flowering","Riverside","3","S","NEWSW33HMT","Flowering",1,109,1,1,0,0
"110.Flowering","Riverside","3","S","NEWSW33HMT","Flowering",1,110,1,1,0,0
"111.Flowering","Riverside","3","S","NEWSW33HMT","Flowering",1,111,1,1,0,0
"112.Flowering","Riverside","3","S","NEWSW33HMT","Flowering",1,112,1,1,0,0
"113.Flowering","Riverside","4","S","NEWSW33HMT","Flowering",1,113,1,1,0,0
"114.Flowering","Riverside","4","S","NEWSW33HMT","Flowering",1,114,1,1,0,0
"115.Flowering","Riverside","4","S","NEWSW33HMT","Flowering",1,115,1,1,0,0
"116.Flowering","Riverside","4","S","NEWSW33HMT","Flowering",1,116,1,1,0,0
"117.Flowering","Riverside","4","S","NEWSW33HMT","Flowering",1,117,1,1,0,0
"118.Flowering","Riverside","5","S","NEWSW33HMT","Flowering",1,118,1,1,0,0
"119.Flowering","Riverside","5","S","NEWSW33HMT","Flowering",1,119,1,1,0,0
"120.Flowering","Riverside","5","S","NEWSW33HMT","Flowering",1,120,1,1,0,0
"121.Flowering","Riverside","5","S","NEWSW33HMT","Flowering",1,121,1,1,0,0
"122.Flowering","Riverside","5","S","NEWSW33HMT","Flowering",1,122,1,1,0,0
"123.Flowering","Riverside","1","S","WATKINSUCR","Flowering",1,123,1,1,0,0
"124.Flowering","Riverside","1","S","WATKINSUCR","Flowering",1,124,1,1,0,0
"125.Flowering","Riverside","1","S","WATKINSUCR","Flowering",1,125,1,1,0,0
"126.Flowering","Riverside","1","S","WATKINSUCR","Flowering",0,126,1,1,0,0
"127.Flowering","Riverside","1","S","WATKINSUCR","Flowering",1,127,1,1,0,0
"128.Flowering","Riverside","2","S","WATKINSUCR","Flowering",1,128,1,1,0,0
"129.Flowering","Riverside","2","S","WATKINSUCR","Flowering",1,129,1,1,0,0
"130.Flowering","Riverside","2","S","WATKINSUCR","Flowering",1,130,1,1,0,0
"131.Flowering","Riverside","2","S","WATKINSUCR","Flowering",1,131,1,1,0,0
"132.Flowering","Riverside","2","S","WATKINSUCR","Flowering",1,132,1,1,0,0
"133.Flowering","Riverside","3","S","WATKINSUCR","Flowering",1,133,1,1,0,0
"134.Flowering","Riverside","3","S","WATKINSUCR","Flowering",1,134,1,1,0,0
"135.Flowering","Riverside","3","S","WATKINSUCR","Flowering",0,135,1,1,0,0
"136.Flowering","Riverside","3","S","WATKINSUCR","Flowering",1,136,1,1,0,0
"137.Flowering","Riverside","3","S","WATKINSUCR","Flowering",1,137,1,1,0,0
"138.Flowering","Riverside","4","S","WATKINSUCR","Flowering",1,138,1,1,0,0
"139.Flowering","Riverside","4","S","WATKINSUCR","Flowering",1,139,1,1,0,0
"140.Flowering","Riverside","4","S","WATKINSUCR","Flowering",1,140,1,1,0,0
"141.Flowering","Riverside","4","S","WATKINSUCR","Flowering",1,141,1,1,0,0
"142.Flowering","Riverside","4","S","WATKINSUCR","Flowering",1,142,1,1,0,0
"143.Flowering","Riverside","5","S","WATKINSUCR","Flowering",1,143,1,1,0,0
"144.Flowering","Riverside","5","S","WATKINSUCR","Flowering",1,144,1,1,0,0
"145.Flowering","Riverside","5","S","WATKINSUCR","Flowering",1,145,1,1,0,0
"146.Flowering","Riverside","5","S","WATKINSUCR","Flowering",1,146,1,1,0,0
"147.Flowering","Riverside","5","S","WATKINSUCR","Flowering",1,147,1,1,0,0
"148.Flowering","Point Reyes","6","N","HLFMNGRVST","Flowering",1,148,1,1,0,0
"149.Flowering","Point Reyes","6","N","HLFMNGRVST","Flowering",1,149,1,1,0,0
"150.Flowering","Point Reyes","6","N","HLFMNGRVST","Flowering",1,150,1,1,0,0
"151.Flowering","Point Reyes","6","N","HLFMNGRVST","Flowering",1,151,1,1,0,0
"152.Flowering","Point Reyes","6","N","HLFMNGRVST","Flowering",1,152,1,1,0,0
"153.Flowering","Point Reyes","7","N","HLFMNGRVST","Flowering",1,153,1,1,0,0
"154.Flowering","Point Reyes","7","N","HLFMNGRVST","Flowering",1,154,1,1,0,0
"155.Flowering","Point Reyes","7","N","HLFMNGRVST","Flowering",1,155,1,1,0,0
"156.Flowering","Point Reyes","8","N","HLFMNGRVST","Flowering",1,156,1,1,0,0
"157.Flowering","Point Reyes","8","N","HLFMNGRVST","Flowering",1,157,1,1,0,0
"158.Flowering","Point Reyes","8","N","HLFMNGRVST","Flowering",1,158,1,1,0,0
"159.Flowering","Point Reyes","8","N","HLFMNGRVST","Flowering",1,159,1,1,0,0
"160.Flowering","Point Reyes","9","N","HLFMNGRVST","Flowering",1,160,1,1,0,0
"161.Flowering","Point Reyes","9","N","HLFMNGRVST","Flowering",1,161,1,1,0,0
"162.Flowering","Point Reyes","9","N","HLFMNGRVST","Flowering",1,162,1,1,0,0
"163.Flowering","Point Reyes","9","N","HLFMNGRVST","Flowering",1,163,1,1,0,0
"164.Flowering","Point Reyes","9","N","HLFMNGRVST","Flowering",1,164,1,1,0,0
"165.Flowering","Point Reyes","10","N","HLFMNGRVST","Flowering",1,165,1,1,0,0
"166.Flowering","Point Reyes","10","N","HLFMNGRVST","Flowering",1,166,1,1,0,0
"167.Flowering","Point Reyes","10","N","HLFMNGRVST","Flowering",1,167,1,1,0,0
"168.Flowering","Point Reyes","10","N","HLFMNGRVST","Flowering",1,168,1,1,0,0
"169.Flowering","Point Reyes","6","N","SEARANCH","Flowering",1,169,1,1,0,0
"170.Flowering","Point Reyes","6","N","SEARANCH","Flowering",1,170,1,1,0,0
"171.Flowering","Point Reyes","6","N","SEARANCH","Flowering",1,171,1,1,0,0
"172.Flowering","Point Reyes","6","N","SEARANCH","Flowering",1,172,1,1,0,0
"173.Flowering","Point Reyes","6","N","SEARANCH","Flowering",1,173,1,1,0,0
"174.Flowering","Point Reyes","7","N","SEARANCH","Flowering",1,174,1,1,0,0
"175.Flowering","Point Reyes","7","N","SEARANCH","Flowering",1,175,1,1,0,0
"176.Flowering","Point Reyes","7","N","SEARANCH","Flowering",1,176,1,1,0,0
"177.Flowering","Point Reyes","7","N","SEARANCH","Flowering",1,177,1,1,0,0
"178.Flowering","Point Reyes","7","N","SEARANCH","Flowering",1,178,1,1,0,0
"179.Flowering","Point Reyes","8","N","SEARANCH","Flowering",1,179,1,1,0,0
"180.Flowering","Point Reyes","8","N","SEARANCH","Flowering",1,180,1,1,0,0
"181.Flowering","Point Reyes","8","N","SEARANCH","Flowering",1,181,1,1,0,0
"182.Flowering","Point Reyes","8","N","SEARANCH","Flowering",1,182,1,1,0,0
"183.Flowering","Point Reyes","9","N","SEARANCH","Flowering",1,183,1,1,0,0
"184.Flowering","Point Reyes","9","N","SEARANCH","Flowering",1,184,1,1,0,0
"185.Flowering","Point Reyes","9","N","SEARANCH","Flowering",1,185,1,1,0,0
"186.Flowering","Point Reyes","9","N","SEARANCH","Flowering",1,186,1,1,0,0
"187.Flowering","Point Reyes","10","N","SEARANCH","Flowering",1,187,1,1,0,0
"188.Flowering","Point Reyes","10","N","SEARANCH","Flowering",1,188,1,1,0,0
"189.Flowering","Point Reyes","10","N","SEARANCH","Flowering",0,189,1,1,0,0
"190.Flowering","Point Reyes","10","N","SEARANCH","Flowering",1,190,1,1,0,0
"191.Flowering","Point Reyes","6","N","STYSITE","Flowering",1,191,1,1,0,0
"192.Flowering","Point Reyes","6","N","STYSITE","Flowering",1,192,1,1,0,0
"193.Flowering","Point Reyes","6","N","STYSITE","Flowering",0,193,1,1,0,0
"194.Flowering","Point Reyes","6","N","STYSITE","Flowering",1,194,1,1,0,0
"195.Flowering","Point Reyes","6","N","STYSITE","Flowering",1,195,1,1,0,0
"196.Flowering","Point Reyes","7","N","STYSITE","Flowering",1,196,1,1,0,0
"197.Flowering","Point Reyes","7","N","STYSITE","Flowering",1,197,1,1,0,0
"198.Flowering","Point Reyes","7","N","STYSITE","Flowering",0,198,1,1,0,0
"199.Flowering","Point Reyes","7","N","STYSITE","Flowering",1,199,1,1,0,0
"200.Flowering","Point Reyes","8","N","STYSITE","Flowering",0,200,1,1,0,0
"201.Flowering","Point Reyes","8","N","STYSITE","Flowering",1,201,1,1,0,0
"202.Flowering","Point Reyes","8","N","STYSITE","Flowering",1,202,1,1,0,0
"203.Flowering","Point Reyes","8","N","STYSITE","Flowering",1,203,1,1,0,0
"204.Flowering","Point Reyes","8","N","STYSITE","Flowering",0,204,1,1,0,0
"205.Flowering","Point Reyes","9","N","STYSITE","Flowering",1,205,1,1,0,0
"206.Flowering","Point Reyes","9","N","STYSITE","Flowering",1,206,1,1,0,0
"207.Flowering","Point Reyes","9","N","STYSITE","Flowering",1,207,1,1,0,0
"208.Flowering","Point Reyes","9","N","STYSITE","Flowering",1,208,1,1,0,0
"209.Flowering","Point Reyes","9","N","STYSITE","Flowering",1,209,1,1,0,0
"210.Flowering","Point Reyes","10","N","STYSITE","Flowering",1,210,1,1,0,0
"211.Flowering","Point Reyes","10","N","STYSITE","Flowering",0,211,1,1,0,0
"212.Flowering","Point Reyes","10","N","STYSITE","Flowering",0,212,1,1,0,0
"213.Flowering","Point Reyes","10","N","STYSITE","Flowering",0,213,1,1,0,0
"214.Flowering","Point Reyes","6","S","JHNSNRCH","Flowering",1,214,1,1,0,0
"215.Flowering","Point Reyes","6","S","JHNSNRCH","Flowering",1,215,1,1,0,0
"216.Flowering","Point Reyes","6","S","JHNSNRCH","Flowering",1,216,1,1,0,0
"217.Flowering","Point Reyes","6","S","JHNSNRCH","Flowering",1,217,1,1,0,0
"218.Flowering","Point Reyes","6","S","JHNSNRCH","Flowering",1,218,1,1,0,0
"219.Flowering","Point Reyes","7","S","JHNSNRCH","Flowering",1,219,1,1,0,0
"220.Flowering","Point Reyes","7","S","JHNSNRCH","Flowering",1,220,1,1,0,0
"221.Flowering","Point Reyes","7","S","JHNSNRCH","Flowering",1,221,1,1,0,0
"222.Flowering","Point Reyes","7","S","JHNSNRCH","Flowering",1,222,1,1,0,0
"223.Flowering","Point Reyes","7","S","JHNSNRCH","Flowering",1,223,1,1,0,0
"224.Flowering","Point Reyes","8","S","JHNSNRCH","Flowering",1,224,1,1,0,0
"225.Flowering","Point Reyes","8","S","JHNSNRCH","Flowering",1,225,1,1,0,0
"226.Flowering","Point Reyes","8","S","JHNSNRCH","Flowering",1,226,1,1,0,0
"227.Flowering","Point Reyes","8","S","JHNSNRCH","Flowering",1,227,1,1,0,0
"228.Flowering","Point Reyes","8","S","JHNSNRCH","Flowering",1,228,1,1,0,0
"229.Flowering","Point Reyes","9","S","JHNSNRCH","Flowering",1,229,1,1,0,0
"230.Flowering","Point Reyes","9","S","JHNSNRCH","Flowering",1,230,1,1,0,0
"231.Flowering","Point Reyes","9","S","JHNSNRCH","Flowering",1,231,1,1,0,0
"232.Flowering","Point Reyes","9","S","JHNSNRCH","Flowering",1,232,1,1,0,0
"233.Flowering","Point Reyes","9","S","JHNSNRCH","Flowering",1,233,1,1,0,0
"234.Flowering","Point Reyes","10","S","JHNSNRCH","Flowering",1,234,1,1,0,0
"235.Flowering","Point Reyes","10","S","JHNSNRCH","Flowering",1,235,1,1,0,0
"236.Flowering","Point Reyes","10","S","JHNSNRCH","Flowering",1,236,1,1,0,0
"237.Flowering","Point Reyes","10","S","JHNSNRCH","Flowering",1,237,1,1,0,0
"238.Flowering","Point Reyes","10","S","JHNSNRCH","Flowering",0,238,1,1,0,0
"239.Flowering","Point Reyes","6","S","NEWSW33HMT","Flowering",1,239,1,1,0,0
"240.Flowering","Point Reyes","6","S","NEWSW33HMT","Flowering",1,240,1,1,0,0
"241.Flowering","Point Reyes","6","S","NEWSW33HMT","Flowering",1,241,1,1,0,0
"242.Flowering","Point Reyes","6","S","NEWSW33HMT","Flowering",1,242,1,1,0,0
"243.Flowering","Point Reyes","6","S","NEWSW33HMT","Flowering",0,243,1,1,0,0
"244.Flowering","Point Reyes","7","S","NEWSW33HMT","Flowering",1,244,1,1,0,0
"245.Flowering","Point Reyes","7","S","NEWSW33HMT","Flowering",1,245,1,1,0,0
"246.Flowering","Point Reyes","7","S","NEWSW33HMT","Flowering",1,246,1,1,0,0
"247.Flowering","Point Reyes","7","S","NEWSW33HMT","Flowering",1,247,1,1,0,0
"248.Flowering","Point Reyes","8","S","NEWSW33HMT","Flowering",1,248,1,1,0,0
"249.Flowering","Point Reyes","8","S","NEWSW33HMT","Flowering",1,249,1,1,0,0
"250.Flowering","Point Reyes","8","S","NEWSW33HMT","Flowering",1,250,1,1,0,0
"251.Flowering","Point Reyes","8","S","NEWSW33HMT","Flowering",1,251,1,1,0,0
"252.Flowering","Point Reyes","9","S","NEWSW33HMT","Flowering",1,252,1,1,0,0
"253.Flowering","Point Reyes","9","S","NEWSW33HMT","Flowering",1,253,1,1,0,0
"254.Flowering","Point Reyes","9","S","NEWSW33HMT","Flowering",1,254,1,1,0,0
"255.Flowering","Point Reyes","9","S","NEWSW33HMT","Flowering",1,255,1,1,0,0
"256.Flowering","Point Reyes","9","S","NEWSW33HMT","Flowering",1,256,1,1,0,0
"257.Flowering","Point Reyes","10","S","NEWSW33HMT","Flowering",1,257,1,1,0,0
"258.Flowering","Point Reyes","10","S","NEWSW33HMT","Flowering",1,258,1,1,0,0
"259.Flowering","Point Reyes","10","S","NEWSW33HMT","Flowering",0,259,1,1,0,0
"260.Flowering","Point Reyes","10","S","NEWSW33HMT","Flowering",1,260,1,1,0,0
"261.Flowering","Point Reyes","10","S","NEWSW33HMT","Flowering",1,261,1,1,0,0
"262.Flowering","Point Reyes","6","S","WATKINSUCR","Flowering",1,262,1,1,0,0
"263.Flowering","Point Reyes","6","S","WATKINSUCR","Flowering",0,263,1,1,0,0
"264.Flowering","Point Reyes","6","S","WATKINSUCR","Flowering",1,264,1,1,0,0
"265.Flowering","Point Reyes","6","S","WATKINSUCR","Flowering",1,265,1,1,0,0
"266.Flowering","Point Reyes","6","S","WATKINSUCR","Flowering",0,266,1,1,0,0
"267.Flowering","Point Reyes","7","S","WATKINSUCR","Flowering",1,267,1,1,0,0
"268.Flowering","Point Reyes","7","S","WATKINSUCR","Flowering",1,268,1,1,0,0
"269.Flowering","Point Reyes","7","S","WATKINSUCR","Flowering",1,269,1,1,0,0
"270.Flowering","Point Reyes","7","S","WATKINSUCR","Flowering",1,270,1,1,0,0
"271.Flowering","Point Reyes","7","S","WATKINSUCR","Flowering",1,271,1,1,0,0
"272.Flowering","Point Reyes","8","S","WATKINSUCR","Flowering",1,272,1,1,0,0
"273.Flowering","Point Reyes","8","S","WATKINSUCR","Flowering",1,273,1,1,0,0
"274.Flowering","Point Reyes","8","S","WATKINSUCR","Flowering",1,274,1,1,0,0
"275.Flowering","Point Reyes","8","S","WATKINSUCR","Flowering",1,275,1,1,0,0
"276.Flowering","Point Reyes","8","S","WATKINSUCR","Flowering",1,276,1,1,0,0
"277.Flowering","Point Reyes","9","S","WATKINSUCR","Flowering",1,277,1,1,0,0
"278.Flowering","Point Reyes","9","S","WATKINSUCR","Flowering",1,278,1,1,0,0
"279.Flowering","Point Reyes","9","S","WATKINSUCR","Flowering",1,279,1,1,0,0
"280.Flowering","Point Reyes","9","S","WATKINSUCR","Flowering",1,280,1,1,0,0
"281.Flowering","Point Reyes","9","S","WATKINSUCR","Flowering",1,281,1,1,0,0
"282.Flowering","Point Reyes","10","S","WATKINSUCR","Flowering",1,282,1,1,0,0
"283.Flowering","Point Reyes","10","S","WATKINSUCR","Flowering",1,283,1,1,0,0
"284.Flowering","Point Reyes","10","S","WATKINSUCR","Flowering",0,284,1,1,0,0
"285.Flowering","Point Reyes","10","S","WATKINSUCR","Flowering",1,285,1,1,0,0
"286.Flowering","Point Reyes","10","S","WATKINSUCR","Flowering",1,286,1,1,0,0
"1.Flowers","Riverside","1","N","HLFMNGRVST","Flowers",0,1,1,0,1,0
"2.Flowers","Riverside","1","N","HLFMNGRVST","Flowers",0,2,1,0,1,0
"3.Flowers","Riverside","1","N","HLFMNGRVST","Flowers",0,3,1,0,1,0
"4.Flowers","Riverside","1","N","HLFMNGRVST","Flowers",0,4,1,0,1,0
"5.Flowers","Riverside","1","N","HLFMNGRVST","Flowers",0,5,1,0,1,0
"6.Flowers","Riverside","2","N","HLFMNGRVST","Flowers",0,6,1,0,1,0
"7.Flowers","Riverside","2","N","HLFMNGRVST","Flowers",0,7,1,0,1,0
"8.Flowers","Riverside","2","N","HLFMNGRVST","Flowers",1514,8,1,0,1,0
"9.Flowers","Riverside","2","N","HLFMNGRVST","Flowers",0,9,1,0,1,0
"10.Flowers","Riverside","2","N","HLFMNGRVST","Flowers",0,10,1,0,1,0
"11.Flowers","Riverside","3","N","HLFMNGRVST","Flowers",671,11,1,0,1,0
"12.Flowers","Riverside","3","N","HLFMNGRVST","Flowers",1204,12,1,0,1,0
"13.Flowers","Riverside","3","N","HLFMNGRVST","Flowers",0,13,1,0,1,0
"14.Flowers","Riverside","3","N","HLFMNGRVST","Flowers",35,14,1,0,1,0
"15.Flowers","Riverside","3","N","HLFMNGRVST","Flowers",0,15,1,0,1,0
"16.Flowers","Riverside","4","N","HLFMNGRVST","Flowers",0,16,1,0,1,0
"17.Flowers","Riverside","4","N","HLFMNGRVST","Flowers",230,17,1,0,1,0
"18.Flowers","Riverside","4","N","HLFMNGRVST","Flowers",349,18,1,0,1,0
"19.Flowers","Riverside","4","N","HLFMNGRVST","Flowers",0,19,1,0,1,0
"20.Flowers","Riverside","4","N","HLFMNGRVST","Flowers",0,20,1,0,1,0
"21.Flowers","Riverside","5","N","HLFMNGRVST","Flowers",908,21,1,0,1,0
"22.Flowers","Riverside","5","N","HLFMNGRVST","Flowers",3257,22,1,0,1,0
"23.Flowers","Riverside","5","N","HLFMNGRVST","Flowers",505,23,1,0,1,0
"24.Flowers","Riverside","5","N","HLFMNGRVST","Flowers",1668,24,1,0,1,0
"25.Flowers","Riverside","5","N","HLFMNGRVST","Flowers",891,25,1,0,1,0
"26.Flowers","Riverside","1","N","SEARANCH","Flowers",0,26,1,0,1,0
"27.Flowers","Riverside","1","N","SEARANCH","Flowers",106,27,1,0,1,0
"28.Flowers","Riverside","1","N","SEARANCH","Flowers",0,28,1,0,1,0
"29.Flowers","Riverside","1","N","SEARANCH","Flowers",0,29,1,0,1,0
"30.Flowers","Riverside","1","N","SEARANCH","Flowers",0,30,1,0,1,0
"31.Flowers","Riverside","2","N","SEARANCH","Flowers",0,31,1,0,1,0
"32.Flowers","Riverside","2","N","SEARANCH","Flowers",0,32,1,0,1,0
"33.Flowers","Riverside","2","N","SEARANCH","Flowers",116,33,1,0,1,0
"34.Flowers","Riverside","2","N","SEARANCH","Flowers",252,34,1,0,1,0
