"","hdct02","hdct03","hdct04","pop","ewloc","nsloc","ld02","fl02","ld03","fl03","ld04","fl04"
"62",1,2,2,"Stevens",1,2,1,1,1,1,1,1
"63",0,0,0,"SPP",1,3,0,0,0,0,0,0
"64",0,0,0,"NWLF",1,4,1,0,1,0,0,0
"65",1,2,1,"Stevens",1,5,1,1,1,1,1,1
"66",0,0,0,"Stevens",1,6,0,0,0,0,0,0
"67",0,0,0,"NWLF",1,7,0,0,0,0,0,0
"68",2,0,2,"Eriley",1,8,1,1,1,0,1,1
"69",0,0,0,"Stevens",1,9,1,0,0,0,0,0
"70",1,0,3,"Stevens",1,10,1,1,1,0,1,1
"71",0,1,0,"Lf",1,11,1,0,1,1,1,0
"72",0,0,0,"Stevens",1,12,1,0,1,0,1,0
"73",0,0,3,"NWLF",4,-12,1,0,1,0,1,1
"74",0,0,1,"NWLF",4,-11,1,0,1,0,1,1
"75",0,0,0,"NWLF",4,-10,0,0,0,0,0,0
"76",0,0,1,"Stevens",4,-9,1,0,1,0,1,1
"77",1,0,3,"Stevens",4,-8,1,1,1,0,1,1
"78",0,0,0,"Nessman",4,-7,0,0,0,0,0,0
"79",0,0,0,"Nessman",4,-6,0,0,0,0,0,0
"80",0,0,1,"NWLF",4,-5,1,0,1,0,1,1
"81",0,0,0,"AA",4,-4,1,0,1,0,1,0
"82",3,0,1,"NWLF",4,-3,1,1,1,0,1,1
"83",0,0,0,"SPP",4,-2,0,0,0,0,0,0
"84",2,2,0,"SPP",4,-1,1,1,1,1,1,0
"85",1,2,1,"Stevens",4,0,1,1,1,1,1,1
"86",1,0,3,"Lf",4,1,1,1,1,0,1,1
"87",0,0,1,"Lf",4,2,1,0,1,0,1,1
"88",0,0,3,"Nessman",4,3,1,0,1,0,1,1
"89",1,0,1,"SPP",4,4,1,1,1,0,1,1
"90",1,1,2,"Eriley",4,5,1,1,1,1,1,1
"91",0,0,0,"Eriley",4,6,1,0,1,0,1,0
"92",1,0,2,"NWLF",4,7,1,1,1,0,1,1
"93",0,0,0,"NWLF",4,8,1,0,1,0,1,0
"94",1,0,0,"NWLF",4,9,1,1,1,0,1,0
"95",0,0,0,"NWLF",4,10,0,0,0,0,0,0
"96",0,0,0,"Eriley",4,11,0,0,0,0,0,0
"97",2,3,3,"Stevens",4,12,1,1,1,1,1,1
"98",0,0,0,"Eriley",8,-12,0,0,0,0,0,0
"99",0,0,0,"Eriley",8,-11,1,0,1,0,1,0
"100",0,0,0,"Eriley",8,-10,1,0,1,0,1,0
"101",0,0,0,"Eriley",8,-9,1,0,1,0,1,0
"102",0,0,0,"Nessman",8,-8,0,0,0,0,0,0
"103",1,0,0,"Eriley",8,-7,1,1,1,0,1,0
"104",0,0,0,"Lf",8,-6,0,0,0,0,0,0
"105",1,0,2,"Eriley",8,-5,1,1,1,0,1,1
"106",0,1,1,"Eriley",8,-4,1,0,1,1,1,1
"107",0,1,1,"Lf",8,-3,1,0,1,1,1,1
"108",0,0,0,"Eriley",8,-2,1,0,1,0,1,0
"109",3,3,0,"Eriley",8,-1,1,1,1,1,1,0
"110",0,2,0,"Lf",8,0,1,0,1,1,1,0
"111",6,4,6,"Eriley",8,1,1,1,1,1,1,1
"112",2,0,1,"Eriley",8,2,1,1,1,0,1,1
"113",0,6,0,"Eriley",8,3,1,0,1,1,1,0
"114",0,0,0,"Eriley",8,4,1,0,1,0,1,0
"115",0,1,2,"Eriley",8,5,1,0,1,1,1,1
"116",0,0,0,"Eriley",8,6,1,0,1,0,1,0
"117",0,0,0,"Lf",8,7,1,0,1,0,1,0
"118",0,0,1,"SPP",8,8,1,0,1,0,1,1
"119",0,0,0,"Eriley",8,9,1,0,1,0,1,0
"120",0,0,0,"Eriley",8,10,0,0,0,0,0,0
"121",0,0,1,"Eriley",8,11,1,0,1,0,1,1
"122",0,0,1,"Eriley",8,12,1,0,1,0,1,1
"123",0,0,0,"NWLF",3,7,0,0,0,0,0,0
"124",2,0,0,"Lf",3,8,1,1,1,0,1,0
"125",1,0,0,"SPP",3,9,1,1,1,0,1,0
"126",0,0,0,"NWLF",3,10,1,0,1,0,1,0
"127",0,1,0,"AA",3,11,1,0,1,1,1,0
"128",0,1,2,"NWLF",3,12,1,0,1,1,1,1
"129",0,4,10,"Stevens",9,-1,1,0,1,1,1,1
"130",0,1,3,"Stevens",9,0,1,0,1,1,1,1
"131",1,1,1,"Lf",9,1,1,1,1,1,1,1
"132",0,0,0,"Lf",9,2,0,0,0,0,0,0
"133",0,0,1,"Lf",9,3,1,0,1,0,1,1
"134",1,1,2,"NWLF",9,4,1,1,1,1,1,1
"135",0,0,0,"Stevens",9,5,1,0,1,0,1,0
"136",0,0,0,"Stevens",9,6,1,0,1,0,1,0
"137",0,0,0,"Stevens",9,7,0,0,0,0,0,0
"138",0,0,0,"NWLF",9,8,0,0,0,0,0,0
"139",0,0,0,"SPP",9,9,1,0,1,0,1,0
"140",1,0,0,"Nessman",9,10,1,1,1,0,1,0
"141",0,0,0,"NWLF",9,11,1,0,1,0,1,0
"142",0,0,0,"Stevens",9,12,0,0,0,0,0,0
"143",0,0,0,"NWLF",-11,-12,1,0,1,0,1,0
"144",0,0,0,"NWLF",-11,-11,0,0,0,0,0,0
"145",0,0,0,"Nessman",-11,-10,0,0,0,0,0,0
"146",0,0,0,"Nessman",-11,-9,1,0,1,0,1,0
"147",0,0,0,"SPP",-11,-8,1,0,1,0,1,0
"148",0,0,0,"AA",-11,-7,1,0,1,0,1,0
"149",1,0,3,"Eriley",-11,-6,1,1,1,0,1,1
"150",0,0,0,"NWLF",-11,-5,1,0,0,0,0,0
"151",0,0,0,"Lf",-11,-4,1,0,1,0,1,0
"152",0,0,0,"AA",-11,-3,0,0,0,0,0,0
"153",0,0,0,"Stevens",-11,-2,0,0,0,0,0,0
"154",0,0,0,"Stevens",-11,-1,0,0,0,0,0,0
"155",0,1,2,"NWLF",-11,0,1,0,1,1,1,1
"156",0,0,0,"Nessman",-11,1,0,0,0,0,0,0
"157",0,0,0,"NWLF",-11,2,1,0,1,0,1,0
"158",0,0,0,"Nessman",-11,3,1,0,1,0,1,0
"159",0,0,0,"Nessman",-11,4,1,0,1,0,1,0
"160",0,0,0,"NWLF",-11,5,1,0,1,0,1,0
"161",0,0,0,"Nessman",-11,6,1,0,1,0,1,0
"162",1,1,1,"SPP",-11,8,1,1,1,1,1,1
"163",0,0,0,"Eriley",-11,9,1,0,1,0,1,0
"164",0,0,0,"NWLF",-11,10,1,0,1,0,1,0
"165",0,0,0,"AA",-11,11,1,0,1,0,1,0
"166",0,0,0,"NWLF",-11,12,0,0,0,0,0,0
"167",0,0,0,"NWLF",-7,-12,0,0,0,0,0,0
"168",0,0,0,"NWLF",-7,-11,1,0,1,0,1,0
"169",0,0,0,"Stevens",-7,-10,0,0,0,0,0,0
"170",0,0,0,"Stevens",-7,-9,1,0,1,0,1,0
"171",0,0,0,"SPP",-7,-8,1,0,1,0,1,0
"172",0,0,0,"Nessman",-7,-7,0,0,0,0,0,0
"173",0,0,0,"SPP",-7,-6,0,0,0,0,0,0
"174",0,0,2,"Nessman",-7,-4,1,0,1,0,1,1
"175",0,0,1,"AA",-7,-3,1,0,1,0,1,1
"176",0,0,0,"NWLF",-7,-2,0,0,0,0,0,0
"177",0,0,0,"SPP",-7,-1,1,0,1,0,1,0
"178",0,0,0,"NWLF",-7,0,0,0,0,0,0,0
"179",0,0,0,"Eriley",-7,1,0,0,0,0,0,0
"180",1,1,4,"NWLF",-7,2,1,1,1,1,1,1
"181",3,0,2,"Lf",-7,3,1,1,1,0,1,1
"182",0,0,0,"AA",-7,4,1,0,1,0,0,0
"183",1,2,4,"NWLF",-7,5,1,1,1,1,1,1
"184",0,1,3,"NWLF",-7,6,1,0,1,1,1,1
"185",0,0,3,"NWLF",-7,7,1,0,1,0,1,1
"186",1,1,1,"SPP",-7,8,1,1,1,1,1,1
"187",0,2,8,"NWLF",-7,9,1,0,1,1,1,1
"188",1,0,1,"NWLF",-7,10,1,1,1,0,1,1
"189",0,0,1,"NWLF",-7,11,1,0,1,0,1,1
"190",0,0,0,"NWLF",-7,12,1,0,1,0,1,0
"191",0,0,0,"SPP",-4,-12,0,0,0,0,0,0
"192",0,0,0,"SPP",-4,-11,0,0,0,0,0,0
"193",0,0,0,"AA",-4,-10,1,0,1,0,1,0
"194",0,0,0,"Stevens",-4,-9,1,0,1,0,1,0
"195",0,0,0,"Lf",-4,-8,1,0,1,0,1,0
"196",0,0,0,"Eriley",-4,-7,0,0,0,0,0,0
"197",0,0,2,"Stevens",-4,-6,1,0,1,0,1,1
"198",0,0,0,"NWLF",-4,-5,0,0,0,0,0,0
"199",0,0,0,"NWLF",-4,-4,1,0,0,0,0,0
"200",0,0,0,"SPP",-4,-3,1,0,1,0,1,0
"201",0,0,0,"Stevens",-4,-2,1,0,1,0,1,0
"202",0,0,0,"Stevens",-4,-1,0,0,0,0,0,0
"203",3,3,4,"NWLF",-4,0,1,1,1,1,1,1
"204",0,0,0,"Eriley",-4,1,1,0,1,0,1,0
"205",0,0,0,"NWLF",-4,2,1,0,1,0,1,0
"206",0,0,0,"Nessman",-4,3,1,0,1,0,1,0
"207",3,3,1,"NWLF",-4,4,1,1,1,1,1,1
"208",3,2,3,"NWLF",-4,5,1,1,1,1,1,1
"209",0,3,1,"NWLF",-4,6,1,0,1,1,1,1
"210",0,0,0,"NWLF",-4,7,0,0,0,0,0,0
"211",0,1,5,"NWLF",-4,8,1,0,1,1,1,1
"212",0,0,0,"NWLF",-4,9,1,0,1,0,1,0
"213",1,0,3,"Stevens",-4,10,1,1,1,0,1,1
"214",3,4,5,"SPP",-4,11,1,1,1,1,1,1
"215",0,0,4,"Eriley",-4,12,1,0,1,0,1,1
"216",0,0,0,"Eriley",2,-12,0,0,0,0,0,0
"217",0,0,0,"Eriley",2,-11,0,0,0,0,0,0
"218",0,0,0,"Lf",2,-10,1,0,1,0,1,0
"219",0,0,0,"Eriley",2,-9,0,0,0,0,0,0
"220",0,0,0,"SPP",2,-8,0,0,0,0,0,0
"221",0,0,0,"AA",2,-7,0,0,0,0,0,0
"222",0,0,0,"Eriley",2,-6,1,0,1,0,1,0
"223",0,0,0,"AA",2,-5,0,0,0,0,0,0
"224",1,0,1,"Lf",2,-4,1,1,1,0,1,1
"225",0,0,0,"Eriley",2,-3,0,0,0,0,0,0
"226",0,0,0,"Lf",2,-2,0,0,0,0,0,0
"227",0,0,0,"Nessman",2,-1,1,0,1,0,1,0
"228",0,0,1,"Eriley",2,0,1,0,1,0,1,1
"229",0,0,0,"Nessman",2,1,0,0,0,0,0,0
"230",0,0,3,"SPP",2,2,1,0,1,0,1,1
"231",0,0,0,"Eriley",2,3,0,0,0,0,0,0
"232",1,0,1,"Eriley",2,4,1,1,1,0,1,1
"233",2,1,2,"Lf",2,5,1,1,1,1,1,1
"234",0,0,1,"AA",2,7,1,0,1,0,1,1
"235",0,0,0,"Nessman",2,8,0,0,0,0,0,0
"236",4,0,3,"SPP",2,9,1,1,1,0,1,1
"237",0,1,2,"Eriley",2,10,1,0,1,1,1,1
"238",2,0,2,"Eriley",2,11,1,1,1,0,1,1
"239",0,1,0,"Lf",2,12,1,0,1,1,1,0
"240",0,0,0,"Lf",5,-12,0,0,0,0,0,0
"241",0,0,0,"Nessman",5,-11,1,0,1,0,1,0
"242",0,0,0,"Lf",5,-10,1,0,1,0,1,0
"243",0,0,0,"SPP",5,-9,0,0,0,0,0,0
"244",2,2,7,"Stevens",5,-8,1,1,1,1,1,1
"245",0,0,0,"NWLF",5,-7,1,0,1,0,1,0
"246",1,1,3,"NWLF",5,-6,1,1,1,1,1,1
"247",0,0,0,"NWLF",5,-5,0,0,0,0,0,0
"248",0,1,2,"Stevens",5,-4,1,0,1,1,1,1
"249",1,0,0,"Stevens",5,-3,1,1,1,0,1,0
"250",2,0,0,"NWLF",5,-2,1,1,1,0,1,0
"251",0,1,0,"Stevens",5,-1,1,0,1,1,0,0
"252",0,1,2,"Stevens",5,0,1,0,1,1,1,1
"253",1,4,0,"SPP",5,1,1,1,1,1,1,0
"254",1,2,1,"Lf",5,2,1,1,1,1,1,1
"255",0,0,0,"NWLF",5,3,1,0,1,0,0,0
"256",0,0,0,"Stevens",5,4,0,0,0,0,0,0
"257",0,0,0,"Lf",5,5,1,0,1,0,1,0
"258",0,0,0,"NWLF",5,6,0,0,0,0,0,0
"259",0,0,0,"Eriley",5,7,1,0,1,0,1,0
"260",1,0,0,"Lf",5,8,1,1,1,0,1,0
"261",0,0,0,"Nessman",5,9,0,0,0,0,0,0
"262",0,0,0,"NWLF",5,10,1,0,1,0,1,0
"263",0,0,0,"SPP",5,11,1,0,1,0,1,0
"264",0,0,1,"Lf",5,12,1,0,1,0,1,1
"265",0,0,0,"Lf",9,-12,1,0,1,0,1,0
"266",0,0,0,"Stevens",9,-11,0,0,0,0,0,0
"267",0,0,0,"Nessman",9,-10,1,0,1,0,1,0
"268",0,0,0,"NWLF",9,-9,0,0,0,0,0,0
"269",0,0,0,"NWLF",9,-8,1,0,1,0,1,0
"270",0,0,0,"Stevens",9,-7,0,0,0,0,0,0
"271",2,2,3,"Stevens",9,-5,1,1,1,1,1,1
"272",4,2,9,"AA",9,-4,1,1,1,1,1,1
"273",0,0,0,"Stevens",9,-3,0,0,0,0,0,0
"274",0,0,0,"NWLF",9,-2,0,0,0,0,0,0
"275",0,0,0,"AA",-9,-12,0,0,0,0,0,0
"276",0,0,0,"SPP",-9,-11,0,0,0,0,0,0
"277",0,0,0,"Lf",-9,-10,1,0,0,0,0,0
"278",0,0,0,"Eriley",-9,-9,1,0,1,0,1,0
"279",0,0,0,"Eriley",-9,-8,0,0,0,0,0,0
"280",0,1,2,"Eriley",-9,-6,1,0,1,1,1,1
"281",0,0,2,"Eriley",-9,-5,1,0,1,0,1,1
"282",0,0,0,"Lf",-9,-4,0,0,0,0,0,0
"283",0,1,2,"Eriley",-9,-2,1,0,1,1,1,1
"284",1,0,1,"Lf",-9,-1,1,1,1,0,1,1
"285",0,0,0,"SPP",-9,0,1,0,1,0,1,0
"286",0,0,1,"SPP",-9,1,1,0,1,0,1,1
"287",0,0,1,"Eriley",-9,2,1,0,1,0,1,1
"288",0,0,0,"Eriley",-9,3,1,0,1,0,1,0
"289",1,0,1,"Eriley",-9,4,1,1,1,0,1,1
"290",0,0,0,"Lf",-9,5,0,0,0,0,0,0
"291",0,0,0,"Eriley",-9,6,0,0,0,0,0,0
"292",1,0,0,"Eriley",-9,7,1,1,1,0,1,0
"293",1,0,1,"Lf",-9,8,1,1,1,0,1,1
"294",0,0,1,"Eriley",-9,9,1,0,1,0,1,1
"295",0,1,3,"Eriley",-9,10,1,0,1,1,1,1
"296",0,0,0,"Eriley",-9,11,1,0,1,0,1,0
"297",0,0,0,"Lf",-9,12,1,0,1,0,1,0
"298",0,0,0,"Lf",-5,-12,0,0,0,0,0,0
"299",0,0,0,"Stevens",-5,-11,0,0,0,0,0,0
"300",0,0,0,"NWLF",-5,-10,1,0,1,0,1,0
"301",0,0,1,"SPP",-5,-9,1,0,1,0,1,1
"302",0,0,0,"AA",-5,-8,1,0,1,0,0,0
"303",2,1,3,"Eriley",-5,-7,1,1,1,1,1,1
"304",0,0,0,"NWLF",-5,-6,0,0,0,0,0,0
"305",0,0,0,"Lf",-5,-5,0,0,0,0,0,0
"306",0,0,0,"NWLF",-5,-4,0,0,0,0,0,0
"307",3,0,0,"Stevens",-5,-3,1,1,0,0,0,0
"308",0,0,0,"Stevens",-5,-2,0,0,0,0,0,0
"309",0,0,0,"SPP",-5,-1,1,0,1,0,1,0
"310",0,0,0,"NWLF",-5,0,0,0,0,0,0,0
"311",0,0,0,"NWLF",-5,1,0,0,0,0,0,0
"312",0,0,3,"NWLF",-5,2,1,0,1,0,1,1
"313",1,1,2,"Stevens",-5,3,1,1,1,1,1,1
"314",2,0,3,"SPP",-5,4,1,1,1,0,1,1
"315",0,0,0,"SPP",-5,5,0,0,0,0,0,0
"316",0,1,2,"Eriley",-5,6,1,0,1,1,1,1
"317",1,0,3,"NWLF",-5,7,1,1,1,0,1,1
"318",0,0,4,"SPP",-5,8,1,0,1,0,1,1
"319",1,2,8,"AA",-5,9,1,1,1,1,1,1
"320",3,2,3,"NWLF",-5,10,1,1,1,1,1,1
"321",0,1,0,"NWLF",-5,11,1,0,1,1,1,0
"322",3,3,5,"NWLF",-5,12,1,1,1,1,1,1
"323",0,0,0,"Stevens",-1,-12,1,0,1,0,1,0
"324",0,0,0,"NWLF",-1,-11,0,0,0,0,0,0
"325",0,0,0,"NWLF",-1,-10,0,0,0,0,0,0
"326",0,0,0,"Stevens",-1,-9,0,0,0,0,0,0
"327",0,0,0,"NWLF",-1,-8,1,0,1,0,1,0
"328",0,0,0,"NWLF",-1,-7,1,0,1,0,0,0
"329",0,0,0,"Stevens",-1,-6,1,0,0,0,0,0
"330",0,0,5,"SPP",-1,-5,1,0,1,0,1,1
"331",4,0,0,"Nessman",-1,-4,1,1,1,0,1,0
"332",6,0,0,"SPP",-1,-3,1,1,0,0,0,0
"333",2,1,2,"Eriley",-1,-2,1,1,1,1,1,1
"334",0,0,0,"NWLF",-1,-1,1,0,1,0,0,0
"335",0,0,0,"Lf",-1,0,0,0,0,0,0,0
"336",6,4,7,"SPP",-1,1,1,1,1,1,1,1
"337",0,2,1,"Lf",-1,2,1,0,1,1,1,1
"338",1,0,3,"Stevens",-1,3,1,1,1,0,1,1
"339",1,0,0,"NWLF",-1,4,1,1,1,0,1,0
"340",0,0,1,"NWLF",-1,5,1,0,1,0,1,1
"341",2,3,5,"NWLF",-1,6,1,1,1,1,1,1
"342",3,2,4,"NWLF",-1,7,1,1,1,1,1,1
"343",0,0,3,"NWLF",-1,8,1,0,1,0,1,1
"344",0,4,5,"NWLF",-1,9,1,0,1,1,1,1
"345",1,2,3,"NWLF",-1,10,1,1,1,1,1,1
"346",2,1,3,"AA",-1,11,1,1,1,1,1,1
"347",0,2,2,"SPP",-1,12,1,0,1,1,1,1
"348",0,0,0,"NWLF",6,-12,1,0,1,0,1,0
"349",0,0,0,"Stevens",6,-11,0,0,0,0,0,0
"350",0,0,0,"Stevens",6,-10,0,0,0,0,0,0
"351",0,0,0,"Eriley",6,-9,1,0,0,0,0,0
"352",0,0,0,"NWLF",6,-8,1,0,0,0,0,0
"353",0,0,0,"NWLF",6,-7,1,0,0,0,0,0
"354",0,0,0,"NWLF",6,-6,0,0,0,0,0,0
"355",2,5,3,"Stevens",6,-5,1,1,1,1,1,1
"356",3,0,5,"Stevens",6,-4,1,1,1,0,1,1
"357",0,0,0,"Stevens",6,-3,0,0,0,0,0,0
"358",1,4,1,"SPP",6,-2,1,1,1,1,1,1
"359",2,0,2,"SPP",6,-1,1,1,1,0,1,1
"360",3,1,2,"SPP",6,0,1,1,1,1,1,1
"361",0,2,1,"Eriley",6,1,1,0,1,1,1,1
"362",0,0,0,"NWLF",6,2,1,0,1,0,1,0
"363",1,0,0,"NWLF",6,3,1,1,1,0,1,0
"364",0,0,0,"NWLF",6,4,0,0,0,0,0,0
"365",0,1,1,"Stevens",6,5,1,0,1,1,1,1
"366",0,0,0,"NWLF",6,6,0,0,0,0,0,0
"367",0,0,0,"Stevens",6,7,1,0,1,0,1,0
"368",0,0,0,"NWLF",6,8,1,0,1,0,1,0
"369",0,0,0,"SPP",6,9,1,0,0,0,0,0
"370",0,0,0,"Eriley",6,10,1,0,1,0,1,0
"371",0,0,1,"SPP",6,11,1,0,1,0,1,1
"372",0,3,0,"Stevens",6,12,1,0,1,1,1,0
"373",4,0,0,"NWLF",10,-5,1,1,1,0,0,0
"374",3,2,6,"NWLF",10,-2,1,1,1,1,1,1
"375",0,1,4,"Stevens",10,0,1,0,1,1,1,1
"376",1,0,0,"NWLF",10,1,1,1,1,0,1,0
"377",1,0,1,"NWLF",10,2,1,1,1,0,1,1
"378",0,1,1,"Lf",10,3,1,0,1,1,1,1
"379",1,0,0,"Stevens",10,4,1,1,1,0,1,0
"380",0,0,0,"Lf",10,5,1,0,1,0,1,0
"381",0,0,0,"Eriley",10,6,0,0,0,0,0,0
"382",0,0,0,"SPP",10,7,1,0,1,0,1,0
"383",0,0,1,"SPP",10,9,1,0,1,0,1,1
"384",0,0,0,"Lf",10,10,1,0,1,0,1,0
"385",2,2,4,"NWLF",10,11,1,1,1,1,1,1
"386",0,0,0,"Stevens",10,12,0,0,0,0,0,0
"387",0,0,0,"AA",12,-10,1,0,1,0,1,0
"388",0,0,0,"Eriley",12,-9,0,0,0,0,0,0
"389",0,0,0,"Lf",12,-8,1,0,1,0,1,0
"390",0,0,3,"SPP",12,-7,1,0,1,0,1,1
"391",0,0,0,"AA",12,-6,0,0,0,0,0,0
"392",0,0,1,"SPP",12,-5,1,0,1,0,1,1
"393",0,0,0,"Eriley",12,-4,0,0,0,0,0,0
"394",3,1,5,"Lf",12,-3,1,1,1,1,1,1
"395",0,0,0,"Eriley",12,-2,0,0,0,0,0,0
"396",1,0,3,"SPP",12,-1,1,1,1,0,1,1
"397",2,1,4,"Lf",12,0,1,1,1,1,1,1
"398",0,0,0,"Eriley",12,1,0,0,0,0,0,0
"399",1,0,2,"Lf",12,2,1,1,1,0,1,1
"400",2,3,1,"SPP",12,3,1,1,1,1,1,1
"401",0,0,0,"SPP",12,4,0,0,0,0,0,0
"402",1,0,0,"Eriley",12,5,1,1,1,0,1,0
"403",0,0,0,"SPP",12,6,0,0,0,0,0,0
"404",0,0,0,"Eriley",12,7,1,0,0,0,0,0
"405",1,0,0,"AA",12,8,1,1,1,0,1,0
"406",1,0,2,"Eriley",12,10,1,1,1,0,1,1
"407",3,2,5,"AA",12,11,1,1,1,1,1,1
"408",0,0,0,"NWLF",-12,-11,0,0,0,0,0,0
"409",0,0,0,"Stevens",-12,-9,1,0,1,0,1,0
"410",0,0,0,"NWLF",-12,-8,1,0,1,0,1,0
"411",0,0,0,"NWLF",-12,-7,1,0,1,0,1,0
"412",0,0,0,"NWLF",-12,-6,1,0,1,0,1,0
"413",0,0,0,"NWLF",-12,-5,1,0,1,0,1,0
"414",0,0,0,"NWLF",-12,-4,0,0,0,0,0,0
"415",0,0,0,"NWLF",-12,-3,1,0,1,0,1,0
"416",0,0,0,"NWLF",-12,-2,1,0,1,0,1,0
"417",0,0,0,"NWLF",-12,-1,0,0,0,0,0,0
"418",0,0,0,"Stevens",-12,0,0,0,0,0,0,0
"419",0,0,0,"Stevens",-12,1,0,0,0,0,0,0
"420",0,0,0,"Stevens",-12,2,1,0,1,0,1,0
"421",0,0,0,"NWLF",-12,3,0,0,0,0,0,0
"422",0,0,0,"NWLF",-12,4,0,0,0,0,0,0
"423",0,0,0,"Lf",-12,5,0,0,0,0,0,0
"424",0,1,3,"SPP",-12,6,1,0,1,1,1,1
"425",1,0,1,"NWLF",-12,7,1,1,1,0,1,1
"426",0,0,0,"AA",-12,8,0,0,0,0,0,0
"427",0,0,0,"NWLF",-12,9,0,0,0,0,0,0
"428",0,0,0,"Stevens",-12,10,1,0,1,0,1,0
"429",1,0,1,"Stevens",-12,11,1,1,1,0,1,1
"430",0,0,0,"NWLF",-6,-12,1,0,1,0,1,0
"431",0,0,0,"NWLF",-6,-11,0,0,0,0,0,0
"432",0,0,0,"NWLF",-6,-10,0,0,0,0,0,0
"433",0,0,0,"NWLF",-6,-9,1,0,1,0,1,0
"434",0,0,0,"NWLF",-6,-8,0,0,0,0,0,0
"435",0,0,0,"Lf",-6,-7,0,0,0,0,0,0
"436",0,0,1,"NWLF",-6,-6,1,0,1,0,1,1
"437",0,0,0,"NWLF",-6,-5,1,0,1,0,1,0
"438",0,0,0,"NWLF",-6,-4,1,0,1,0,1,0
"439",0,1,2,"SPP",-6,-3,1,0,1,1,1,1
