"","CityCode","CityName","Type","FertilityRate","MortalityRate","MR_male","MR_female","IMR","FDR_sp","FDR_artificial","MarriageRate","DivorceRate","TFR","SMR_male","SMR_female","pop_male","pop_female"
"32",40217,"Chikushino","City",10,7.1,7.7,6.6,1,10.8,9.9,5.4,1.93,1.46,93,93.8,47487,52124
"33",40218,"Kasuga","City",9.6,6.1,6.8,5.4,1.4,10.4,18.2,5.5,2.28,1.43,92.2,99.9,51312,55134
"34",40219,"Oonojou","City",11.4,6.2,6.9,5.5,1.9,13,14.8,6.4,2.03,1.59,89.6,87.8,45258,49315
"35",40221,"Dazaifu","City",10.4,7.6,8.7,6.6,1.6,9.1,10.7,5.7,1.98,1.51,90.6,83.2,33020,37014
"36",40305,"Nakagawa","Town",12,6.3,6.7,5.8,1.7,9.2,12.5,5.6,2.52,1.71,91.5,95.5,24120,25515
"37",40230,"Itoshima","City",7.8,9,10,8,2.9,18.1,16.1,4.1,2.15,1.37,101,89.1,46294,51700
"38",40206,"Tagawa","City",8.7,13.3,14.7,12.2,0.9,12.3,21.2,4.8,2.73,1.65,117.1,107.1,22809,27521
"39",40601,"Kawara","Town",8.4,14.8,16.6,13.3,4.1,17.7,25.5,4.8,2.46,1.8,113.2,101.2,5313,6328
"40",40602,"Soeda","Town",6.1,17,18.6,15.6,6,8.7,20.3,4.3,2.33,1.53,113.1,104.6,5028,5861
"41",40604,"Itoda","Town",8.4,15.7,17.7,14,NA,12,24,5,2.65,1.64,127.6,104.3,4362,5231
"42",40605,"Kawasaki","Town",8,16.7,18.5,15.2,1.4,15.7,34.1,5.5,3.49,1.63,139.5,127,8227,9974
"43",40608,"Ootou","Town",7.8,17.7,17.8,17.6,4.7,4.5,31.7,6.2,3.46,1.59,129.3,117.3,2478,3015
"44",40609,"Aka","Villege",7.3,16.1,18.2,14.2,8.4,39.4,23.6,5.2,2.46,1.51,114.6,104.1,1507,1741
"45",40610,"Fukuchi","Town",8.1,14.5,14.6,14.4,2,14.6,19.5,5,3.29,1.62,113.8,108.1,11430,13213
"46",40216,"Ogoori","City",7.8,8.2,8.9,7.7,3.5,11.2,13.3,4.3,1.58,1.38,87.2,89.6,27439,30903
"47",40225,"Ukiha","City",8,12.4,13.4,11.5,3.2,10,20.8,4.7,1.94,1.53,106.9,97.8,14718,16775
"48",40228,"Asakura","City",7.5,13.3,14.1,12.5,1.4,8.9,15.4,4.7,1.58,1.44,107.1,103.8,26199,29953
"49",40447,"Chikuzen","Town",8.3,9.8,11,8.7,NA,8,18.5,4.9,1.81,1.52,103.6,82.1,13713,15376
"50",40448,"Touhou","Villege",5.8,22.7,24.8,20.9,14.3,NA,27.8,3,0.74,1.49,117,100.3,1130,1299
"51",40503,"Tachiarai","Town",9.4,9.8,9.9,9.7,2.8,10.9,12.3,4.6,1.84,1.55,96.4,100.7,7166,7978
"52",40207,"Yanagawa","City",7.6,12.2,13.1,11.5,1.9,11.9,12.7,4.1,1.69,1.45,106.4,108.2,33445,37744
"53",40210,"Yame","City",6.9,13.2,14.1,12.4,3,22.3,18.7,4.3,1.54,1.47,99.2,97.6,32273,36545
"54",40211,"Chikugo","City",9.9,9.7,10.2,9.2,2.1,11.8,16.7,5.1,1.81,1.68,98.2,98.2,22974,25350
"55",40212,"Ookawa","City",6.7,12.1,13.2,11.1,2.4,12.5,12.5,4.1,1.72,1.34,104.7,99.8,17714,19649
"56",40229,"Miyama","City",6.3,13.7,14.6,12.9,3.9,11.4,19.8,3.9,1.29,1.35,101.4,100.1,18955,21709
"57",40522,"Ooki","City",10.7,11,11.8,10.2,NA,11.5,11.5,4.7,1.72,1.71,110.8,102.1,6707,7594
"58",40544,"Hirokawa","City",9.8,10.4,11.1,9.8,2,10.8,12.8,5,1.91,1.69,103.8,88.8,9664,10495
"59",40213,"Yukuhashi","City",8.9,9.9,10.8,9.2,0.6,10.3,17.7,5.2,2.29,1.6,102.2,104.4,33152,37006
"60",40214,"Buzen","City",7.6,13.9,15.1,12.9,3.9,16.9,27.2,4.5,1.72,1.58,110,101.7,12495,14390
"61",40621,"Kanda","City",10.5,8.4,8.9,8,1.6,13.1,15.7,6.3,2.25,1.76,99.3,96.5,17811,17606
"62",40625,"Miyako","Town",5.5,13.8,14.6,13.1,5,12.9,25.8,4,1.94,1.33,104.1,89.6,9919,11581
"63",40642,"Yoshitomi","Town",10.4,12.4,13.6,11.3,2.8,16.4,21.9,6,1.71,1.84,116.8,107,3181,3583
"64",40646,"Joumou","Town",7.2,14.7,15.4,14,NA,6.9,27.5,4.4,1.89,1.58,107.8,105.1,3694,4135
"65",40647,"Chikujou","Town",7.9,14.6,14.9,14.4,5.2,16.3,20.1,5.7,2.16,1.64,113.1,109.7,9196,10249
"66",40204,"Noogata","City",9.2,11.5,12.6,10.6,3.8,13.9,18.3,5.5,2.69,1.71,105,99.9,26610,30810
"67",40205,"Iizuka","City",9,11.2,11.6,10.8,1.9,13.1,16.1,5.4,2.43,1.58,105.4,102,61732,68765
"68",40226,"Miyawaka","City",9,13.9,15,13,3.7,10.8,20.9,4.8,2.29,1.7,111.3,94.1,13909,16007
"69",40227,"Kama","City",7,14.8,15.6,14.2,1.4,12.3,27.9,4.3,2.57,1.48,113.9,100.8,19315,23035
"70",40401,"Kotake","Town",6.6,15.2,16,14.6,14.3,17.1,24,3.9,2.75,1.43,113,104.5,3909,4597
"71",40402,"Kurate","Town",6.1,13.2,14.1,12.4,3.9,13.2,13.2,4.2,1.87,1.29,112.7,101.6,7983,8936
"72",40421,"Keisen","Town",8,12.6,13.1,12.2,NA,3.6,14.2,5.4,2.3,1.49,109,103.5,6407,7406
