"","HEMOCUE1","HEMOCUE2","SIGMA1","SIGMA2"
"126",140,140,64,64.2
"127",110,110,50,50.5
"128",1440,1420,1630,1470
"129",1150,1130,1130,1090
"130",810,820,850,875
"131",400,400,460,486
"132",110,120,170.1,169.5
"133",1510,1520,1530,1460
"134",1030,1010,1005,1125
"135",370,370,330,340
"136",150,150,141,154.5
"137",800,800,720,752
"138",580,580,566,582
"139",220,240,261,269
"140",90,90,100.8,94.5
"141",530,530,725.7,705.2
"142",470,470,475,486.4
"143",200,210,237.6,234.3
"144",100,100,102.2,98.7
"145",1080,1080,1141,1113
"146",50,50,54,52.2
"147",570,570,585,580
"148",360,370,352,364
"149",240,240,230,226
"150",50,60,75,76
"151",1660,1740,1521,1557
"152",50,60,52.3,53.6
"153",1190,1150,1017,1066.5
"154",70,80,74.2,75.6
"155",1640,1660,1764,1822.5
"156",880,820,738,760.5
"157",670,670,609,621
"158",270,280,286,283
"159",80,70,68.2,66.4
"160",1380,1380,1427.4,1488.4
"161",670,670,675,665
"162",440,430,466.2,474.6
"163",140,140,173.6,175.7
"164",90,80,87.5,86
"165",1510,1380,1647,1628.7
"166",860,870,843.2,830.8
"167",90,90,75.6,78.8
"168",160,160,150.5,149.5
"169",230,240,234,231
"170",520,510,439,466
"171",1000,1010,958,886
"172",450,450,393,399
"173",300,270,292,305
"174",150,150,164,180
"175",280,280,207.5,213
"176",80,80,65.6,66.2
"177",820,790,648,666
"178",510,520,465,472.5
"179",130,130,123,130.5
"180",1610,1610,1795,1855
"181",70,70,68.6,69.2
"182",50,50,52.7,53.6
"183",1420,1440,1540,1425
"184",330,330,366,342
"185",90,90,120,123.6
"186",100,100,104.6,105.8
"187",80,70,83.4,87.3
"188",50,60,72,67.2
"189",1180,1230,1380,1330
"190",80,70,73.5,73.2
"191",1180,1160,1170,1200
"192",460,460,455,432.5
"193",190,190,194,212
"194",1150,1150,1116,1111.5
"195",530,520,530,550
"196",450,450,459.9,474.6
"197",200,200,254.1,237.6
"198",1380,1300,1468.8,1448.4
"199",320,320,296.4,314.6
"200",170,180,175.7,173.6
"201",1250,1250,1224,1206
"202",580,580,543.9,556.5
"203",430,430,432.6,420
"204",180,180,222.2,205.7
"205",1040,1040,1071,1080
"206",420,420,427,427
"207",870,870,855,835
"208",1260,1230,1145,1165
"209",840,840,850,810
"210",320,320,334,326
"211",70,70,130.5,129
"212",70,60,68,72
"213",1410,1440,1455,1510
"214",450,450,714,819
"215",360,360,504,490
"216",950,940,837,879
"217",80,80,72,73.6
"218",1120,1170,1024,1100
"219",450,460,420,438
"220",150,150,151,160
"221",740,750,700,722
"222",880,880,842,894
"223",540,540,546,552
"224",230,230,253.5,246.5
"225",1180,1180,1070,1108
"226",1500,1510,1165,1165
"227",760,760,750,770
"228",130,130,138.5,137.5
"229",1060,1080,1465,1450
"230",770,770,875,875
"231",360,380,317,331
"232",450,460,384,422
"233",50,50,58.2,59.5
"234",230,230,248,236
"235",460,460,231,218
"236",360,370,358,346
"237",640,640,630,625
"238",110,110,135,141.5
"239",1590,1590,1445,1460
"240",500,510,318,321
"241",810,810,705,725
"242",80,90,114.5,112.5
"243",580,580,580,602.5
"244",60,60,72.8,72
"245",130,130,161,173
"246",420,420,438,450
"247",340,340,360,382
"248",230,220,280,269
"249",400,400,290,288
"250",140,130,138,139
"251",390,380,430,429
"252",50,70,101.2,111.8
"253",570,560,588,594
"254",530,540,564,582
"255",410,420,420,429.6
"256",60,60,87.6,87
"257",460,460,462,487.2
"258",50,50,103.2,99.2
"259",330,340,361,370
"260",690,690,686,706
"261",120,120,156.5,161.5
"262",90,90,111.2,114.8
"263",790,790,765,775
"264",570,520,590,585
"265",130,140,150,151.5
"266",1430,1400,1590,1505
"267",420,420,465,480
"268",670,680,722,686
"269",80,80,142.5,138.5
"270",300,300,328,334
"271",210,220,348,274
"272",130,120,137,130
"273",340,340,353,369
"274",450,450,480,486
"275",130,130,170.5,179
"276",850,870,843,921
"277",240,250,289,314
"278",430,430,439,472
"279",50,50,96.8,98.8
"280",50,60,51.2,52.8
"281",360,380,372,387
"282",400,400,538,572
"283",110,120,175.5,183.5
"284",980,970,976,962
"285",200,280,304.5,315
"286",50,50,74.8,75.6
"287",480,470,507,521
"288",100,90,153.5,156.5
"289",160,160,169.5,173
"290",80,80,59.6,56.8
"291",760,770,830,860
"292",590,500,190.5,189.5
"293",700,710,414,420
"294",130,130,247,242.5
"295",230,230,300,274
"296",50,50,60.4,62.4
"297",500,500,557.5,537.5
"298",500,500,502.5,505
"299",60,60,119,123.5
