"","Income","Sex","Marital","Age","Edu","Occupation","Lived","Dual_Income","Household","Householdu18","Status","Home_Type","Ethnic","Language"
"39",9,1,1,5,6,1,5,2,4,0,1,1,7,1
"40",5,2,3,4,5,1,3,1,2,1,2,3,2,3
"41",2,2,4,6,6,1,1,1,1,0,2,3,7,1
"42",1,1,5,1,2,6,5,1,5,2,3,1,7,1
"43",8,2,1,4,4,1,5,2,5,3,1,1,7,1
"44",8,2,1,5,4,5,5,3,3,0,1,1,7,1
"45",2,2,5,2,2,6,2,1,3,0,3,1,3,1
"46",6,2,1,6,4,2,5,2,4,2,2,1,7,1
"47",8,2,1,5,4,5,5,3,3,0,1,1,7,1
"48",6,2,1,6,3,5,NA,3,2,0,1,1,7,1
"49",8,2,1,4,3,5,3,3,6,4,1,1,7,NA
"50",6,2,1,3,3,5,5,3,5,3,1,1,5,1
"51",4,2,5,1,2,2,5,1,3,1,3,2,7,1
"52",7,1,3,5,4,1,5,1,1,0,2,2,7,1
"53",1,1,5,1,2,6,NA,1,5,3,3,1,7,1
"54",9,2,1,5,6,5,5,3,2,0,1,1,7,NA
"55",3,1,1,1,5,8,5,2,3,0,2,1,3,2
"56",1,1,5,1,1,3,5,1,NA,0,3,1,7,1
"57",1,1,5,1,1,6,5,1,4,2,3,1,7,1
"58",9,2,1,4,4,1,5,2,2,0,1,1,7,1
"59",8,2,1,6,6,5,5,3,2,0,1,1,7,1
"60",1,2,3,5,4,1,2,1,1,0,1,1,7,1
"61",8,1,1,3,4,3,5,2,3,1,1,1,7,1
"62",4,1,3,4,3,3,5,1,1,0,1,1,8,1
"63",8,2,1,3,5,1,4,2,3,1,1,2,7,1
"64",7,1,1,7,4,8,5,2,4,2,1,1,7,1
"65",3,2,1,5,4,5,NA,1,4,1,2,3,2,NA
"66",1,1,5,1,2,6,5,1,5,3,3,1,5,1
"67",1,1,5,1,2,6,5,1,5,3,3,1,7,1
"68",7,2,1,4,4,5,4,3,4,2,1,1,2,3
"69",1,1,5,1,1,6,5,1,3,0,3,1,7,1
"70",9,2,1,6,5,1,NA,2,2,0,1,1,7,1
"71",3,2,3,4,2,1,5,1,2,0,3,1,7,1
"72",9,2,1,4,4,5,5,3,4,2,1,1,7,1
"73",8,2,1,3,4,5,2,3,4,2,1,2,7,1
"74",1,1,5,1,2,4,5,1,5,3,3,1,7,1
"75",6,2,1,5,3,5,NA,3,3,1,1,1,7,1
"76",2,2,1,6,3,8,NA,3,NA,0,2,3,7,3
"77",4,2,5,3,5,1,5,1,4,0,2,1,3,3
"78",3,2,1,7,3,5,NA,3,2,2,1,1,7,1
"79",8,2,2,2,5,1,4,1,2,0,2,3,7,1
"80",5,1,1,3,5,6,2,3,3,0,2,1,7,1
"81",6,2,NA,4,5,5,NA,3,5,3,1,1,7,1
"82",9,1,1,6,5,1,5,2,2,0,1,1,7,1
"83",2,2,1,2,2,5,3,3,4,2,2,3,7,1
"84",2,2,2,4,4,3,NA,1,2,0,2,1,7,1
"85",9,2,1,4,6,5,2,3,4,1,1,1,7,1
"86",4,1,1,3,4,1,3,2,2,0,2,3,2,1
"87",3,1,5,2,4,6,4,1,2,0,2,3,7,1
"88",5,2,1,2,4,2,5,2,2,0,2,3,7,1
"89",5,1,3,6,3,8,NA,1,1,0,1,2,7,1
"90",9,2,5,2,4,6,3,1,4,0,3,1,7,1
"91",8,2,1,6,4,4,5,2,2,0,1,1,7,1
"92",9,1,5,2,4,6,5,1,3,0,3,1,7,1
"93",9,1,5,2,4,6,5,1,4,0,1,1,5,1
"94",7,2,1,6,4,5,2,1,2,0,1,5,7,3
"95",8,2,1,6,3,2,5,2,2,0,1,1,7,1
"96",3,1,1,7,3,8,5,3,2,0,1,4,7,1
"97",7,2,1,6,4,8,5,3,2,0,1,2,7,1
"98",5,2,1,7,4,8,NA,3,2,0,1,1,7,1
"99",1,2,3,7,3,8,5,1,2,0,1,1,7,1
"100",9,2,1,5,6,1,5,2,4,2,1,1,7,1
"101",4,2,NA,4,4,1,5,1,NA,0,2,NA,7,NA
"102",8,2,1,5,6,1,2,2,3,0,1,1,4,3
"103",7,2,1,4,3,5,5,3,2,0,1,1,8,2
"104",5,2,5,1,3,9,4,1,3,1,3,1,7,1
"105",6,1,5,2,3,6,5,1,2,0,3,1,7,1
"106",8,1,5,1,2,2,5,1,3,1,3,1,7,1
"107",1,1,5,1,2,6,5,1,5,3,3,1,7,1
"108",7,2,5,1,1,1,2,1,7,5,2,2,8,NA
"109",1,2,5,2,3,1,5,1,2,0,3,3,7,1
"110",7,2,1,6,4,1,5,2,6,0,1,1,1,1
"111",6,2,1,5,4,5,5,3,4,0,1,1,7,1
"112",8,1,1,3,6,2,2,2,2,0,2,3,NA,1
"113",9,1,5,2,2,6,5,1,5,1,3,1,7,1
"114",4,2,2,3,3,4,2,1,3,1,2,3,1,1
"115",5,2,NA,7,3,8,5,1,1,0,2,3,7,1
"116",5,2,1,7,4,8,5,3,2,0,1,1,7,1
"117",2,2,3,3,4,4,NA,1,3,1,2,2,7,1
"118",3,2,1,2,5,2,2,2,2,0,2,1,7,1
"119",6,1,5,5,6,1,1,1,1,0,2,2,7,1
"120",7,2,4,7,3,8,2,1,2,0,NA,2,7,1
"121",7,2,3,7,5,8,NA,1,NA,0,2,2,7,NA
"122",7,2,3,4,4,4,5,1,NA,0,1,1,7,1
"123",1,2,5,1,1,6,5,1,NA,0,3,1,7,NA
"124",9,2,1,3,5,5,3,3,3,1,1,1,7,1
"125",8,2,2,5,4,1,5,1,2,0,1,1,7,NA
"126",8,2,2,5,4,1,5,1,2,0,1,1,7,1
"127",1,2,5,1,2,6,NA,1,5,1,3,1,7,1
"128",8,2,1,4,5,4,3,2,4,2,1,1,7,1
"129",7,2,NA,4,3,NA,NA,3,4,2,1,1,7,NA
"130",6,2,3,3,4,5,5,1,4,3,2,2,7,1
"131",8,1,1,6,4,8,5,3,NA,0,NA,NA,NA,NA
"132",4,2,1,5,6,4,5,3,3,0,1,1,7,1
"133",9,2,1,5,5,1,5,2,2,0,1,1,7,1
"134",1,1,5,1,1,9,5,1,5,3,3,1,5,1
"135",8,2,1,5,4,1,4,2,5,1,1,1,7,1
"136",8,2,1,6,4,1,5,3,2,0,1,1,7,1
"137",1,2,5,1,2,6,NA,1,8,6,3,NA,7,1
"138",9,2,1,5,6,5,2,3,3,0,1,1,7,1
"139",1,2,5,1,2,6,3,1,5,3,3,3,2,3
"140",7,1,1,4,4,1,4,2,6,2,2,1,7,1
"141",9,1,1,4,6,1,3,2,5,3,1,1,7,1
"142",7,1,1,7,3,1,5,3,2,0,1,1,7,1
"143",7,1,1,7,6,1,5,3,3,0,1,1,7,1
"144",4,1,5,2,4,1,NA,1,7,0,2,2,7,1
"145",7,2,3,5,4,1,4,1,2,0,1,1,7,1
"146",1,2,5,3,6,6,5,1,7,1,3,1,7,1
"147",7,1,1,7,3,8,5,3,3,0,1,1,7,1
"148",1,1,5,2,4,9,2,1,NA,0,2,3,3,1
"149",5,1,1,7,3,8,5,3,2,0,1,1,7,1
"150",9,2,1,4,6,1,3,2,4,2,1,1,7,1
"151",2,2,5,1,2,4,3,1,2,1,3,NA,7,1
"152",2,2,5,1,2,4,5,1,3,2,3,3,5,1
"153",8,1,1,6,4,8,5,3,2,0,1,1,7,1
"154",8,2,1,4,4,5,5,3,4,0,1,1,7,1
"155",9,2,1,4,5,1,5,2,2,0,1,1,7,1
"156",9,2,1,3,5,1,3,2,2,0,1,5,7,1
"157",9,2,1,4,6,1,5,2,3,1,1,1,7,1
"158",9,1,1,4,6,1,5,2,2,0,1,1,5,1
"159",1,1,5,1,2,6,3,1,6,3,3,5,7,1
"160",2,2,1,2,3,1,5,2,2,0,2,3,7,1
"161",9,1,1,7,6,1,5,3,3,3,1,1,7,1
"162",6,2,1,4,3,1,5,3,4,2,1,1,7,1
"163",3,2,1,7,4,8,NA,3,2,0,NA,5,7,1
"164",4,2,3,7,3,8,NA,1,1,0,NA,3,2,1
"165",3,2,3,6,5,1,5,1,2,0,1,1,7,1
"166",1,2,4,7,4,4,5,1,1,0,1,1,7,1
"167",1,1,5,1,2,6,4,1,3,0,3,2,5,1
"168",6,2,1,3,3,5,5,3,4,2,1,1,7,1
"169",5,1,5,4,4,2,5,1,1,0,2,3,7,1
"170",7,2,4,5,4,8,2,1,2,0,2,3,7,1
"171",7,1,5,3,4,1,2,1,2,0,1,1,7,1
"172",7,1,1,7,6,NA,5,3,2,0,1,1,7,1
"173",5,2,1,7,4,8,5,3,2,0,1,NA,7,1
"174",1,2,5,2,4,6,4,1,NA,0,2,2,7,1
"175",5,1,1,7,4,8,5,3,2,0,1,1,7,1
"176",2,2,5,3,4,3,5,1,1,0,2,3,7,1
"177",2,2,5,3,3,3,4,1,3,1,2,3,7,1
"178",4,2,4,7,5,8,5,1,1,1,2,3,7,1
"179",8,2,1,6,5,2,5,2,2,0,1,1,7,1
"180",8,2,1,4,6,5,4,3,5,3,1,1,7,3
"181",4,1,1,7,5,8,5,3,2,0,1,1,7,1
"182",5,2,5,3,4,4,5,1,1,0,2,3,7,1
"183",4,2,5,2,4,6,5,1,4,0,3,1,7,1
"184",9,2,5,2,3,2,3,1,3,1,3,1,7,1
"185",3,2,3,7,6,1,5,1,1,0,2,1,7,1
"186",8,1,5,3,4,1,5,1,2,0,1,1,6,1
"187",7,1,5,3,5,1,3,1,2,0,2,2,7,1
"188",7,1,1,3,5,1,4,2,3,1,2,3,7,3
"189",7,1,5,3,4,1,5,1,1,0,2,2,7,1
"190",8,2,1,3,5,1,5,2,2,0,1,1,7,1
"191",1,2,5,1,2,6,4,1,3,1,3,1,2,1
"192",8,2,1,5,4,1,5,2,2,0,1,1,7,1
"193",6,2,5,3,5,1,5,1,2,0,1,1,5,1
"194",8,1,1,6,6,1,5,2,2,0,1,1,7,1
"195",3,1,1,7,3,8,NA,3,NA,0,1,1,7,1
"196",4,1,2,3,4,1,5,2,4,0,2,1,7,1
"197",9,2,1,4,4,5,5,3,5,3,1,1,7,1
"198",6,2,1,5,3,4,5,2,3,0,1,1,7,1
"199",9,2,1,6,5,5,5,3,2,0,1,NA,7,1
"200",1,2,1,5,3,1,5,3,3,1,1,1,7,1
"201",8,1,1,4,6,1,5,2,2,0,1,2,7,1
"202",5,1,5,2,5,1,5,1,3,0,2,3,2,1
"203",5,2,3,3,4,4,5,1,4,1,1,4,5,1
"204",2,1,5,2,5,4,3,1,1,0,3,1,7,1
"205",6,2,1,5,2,5,5,3,4,1,NA,3,7,1
"206",6,1,1,4,1,2,5,2,3,1,2,3,5,1
"207",8,2,5,2,3,6,5,1,3,0,3,1,7,1
"208",8,2,5,2,3,6,5,1,6,0,2,5,7,1
"209",1,2,5,1,NA,6,3,1,4,2,3,1,5,1
"210",7,2,3,4,6,1,5,1,1,0,1,1,7,1
"211",9,2,1,3,5,1,4,2,3,1,1,1,7,1
"212",5,2,5,3,4,1,5,1,1,1,1,1,7,1
"213",8,1,1,7,5,8,5,3,2,0,1,1,7,1
"214",9,1,1,5,5,1,5,2,2,0,1,1,7,NA
"215",1,1,5,1,1,6,5,1,3,1,3,2,5,1
"216",4,1,1,3,4,NA,5,2,2,0,2,2,7,1
"217",8,1,1,6,4,1,5,2,3,0,1,1,7,1
"218",7,1,3,5,3,3,4,1,4,1,2,1,7,1
"219",9,1,1,3,4,1,4,2,4,2,2,1,7,1
"220",9,1,1,6,5,1,5,2,2,0,1,1,7,1
"221",8,1,1,6,6,1,5,2,3,1,1,1,7,1
"222",6,2,2,3,4,3,5,1,2,0,2,3,7,1
"223",7,1,1,3,4,3,5,2,2,0,1,1,7,1
"224",9,1,1,6,6,8,5,3,2,0,1,1,7,1
"225",8,1,5,2,3,1,5,1,3,0,2,2,7,1
"226",6,1,1,5,NA,2,5,2,4,2,1,1,7,1
"227",8,1,1,5,6,1,5,3,2,1,1,1,3,1
"228",9,1,5,1,2,4,5,1,4,2,3,1,7,1
"229",8,1,1,6,5,1,5,3,2,0,1,1,7,1
"230",9,1,1,7,4,8,5,2,2,0,1,1,7,1
"231",9,1,1,6,4,1,5,2,2,0,2,1,7,1
"232",4,1,5,3,4,6,5,1,4,0,2,1,7,1
"233",9,1,5,2,4,3,5,1,3,0,3,1,7,1
"234",8,1,1,5,6,1,5,1,3,0,1,1,3,1
"235",5,1,5,3,6,1,5,1,2,0,2,3,7,1
"236",7,1,1,5,3,8,5,2,3,0,1,1,7,1
"237",9,2,1,7,4,8,5,3,3,0,1,1,7,1
"238",9,1,1,4,6,1,5,2,3,1,1,1,7,1
"239",5,1,1,7,5,8,5,3,2,0,1,1,7,1
"240",6,2,3,6,3,4,NA,1,1,0,1,5,7,1
"241",8,1,1,6,4,1,5,2,3,1,1,1,7,1
"242",9,1,1,4,5,2,5,2,4,2,1,1,7,1
"243",9,1,1,4,6,1,5,2,2,0,1,1,7,1
"244",8,1,1,4,6,1,5,2,4,2,1,1,7,1
"245",9,1,1,3,6,1,5,2,2,0,1,1,1,1
"246",4,1,2,2,3,3,2,1,4,0,2,3,7,1
"247",9,1,1,4,5,1,5,2,4,1,1,1,7,1
"248",7,1,1,6,5,8,5,2,4,0,1,1,7,1
"249",7,2,1,3,3,1,3,3,4,2,2,3,7,1
"250",8,1,1,3,4,1,4,2,4,2,1,1,7,1
"251",8,1,1,5,4,1,5,3,2,0,1,1,7,1
"252",1,1,3,4,6,9,3,1,1,0,2,1,7,1
"253",2,1,3,7,2,8,5,1,1,0,1,1,7,1
"254",4,2,3,5,3,4,5,1,NA,0,1,1,5,1
"255",6,1,1,7,3,8,5,3,2,0,1,1,7,1
"256",3,2,5,2,4,1,5,1,6,1,3,1,7,1
"257",4,1,1,7,4,8,NA,3,2,0,1,2,7,1
"258",4,2,4,7,3,4,5,1,1,0,1,1,7,1
"259",5,1,5,2,4,1,5,1,1,0,2,1,7,1
"260",2,2,4,4,3,4,NA,1,5,3,2,3,7,1
"261",6,2,3,6,4,5,5,1,4,0,1,1,7,1
"262",6,2,1,3,4,2,5,2,3,1,2,3,7,1
"263",8,2,3,4,6,1,5,1,1,0,1,2,7,1
"264",6,1,1,3,3,3,5,2,4,2,2,5,7,1
"265",1,2,5,7,6,8,5,1,2,0,1,1,7,1
"266",8,2,1,5,4,5,5,2,5,1,1,1,7,1
"267",7,2,1,5,4,5,4,2,4,2,2,2,3,1
"268",5,2,1,3,4,5,4,3,5,0,2,1,7,1
"269",9,2,1,4,5,2,5,2,4,1,1,1,7,1
"270",6,2,5,3,5,1,5,1,1,0,2,2,7,1
"271",4,2,1,6,4,8,5,3,3,0,1,1,7,1
"272",8,2,1,3,5,1,5,2,4,2,1,1,7,1
"273",4,2,3,5,4,2,NA,1,1,0,2,NA,7,1
"274",3,1,5,2,4,6,5,1,3,0,3,1,7,1
"275",7,1,1,4,4,1,5,3,4,2,1,1,7,1
"276",8,2,5,2,4,6,5,1,NA,0,3,1,7,1
"277",6,1,1,7,4,8,5,3,NA,0,1,1,7,1
"278",8,2,1,7,6,8,NA,3,2,0,1,2,7,1
"279",9,2,1,3,5,1,5,2,4,2,1,1,8,3
"280",9,1,5,2,4,2,5,1,3,0,3,1,7,1
"281",9,1,5,2,2,4,2,1,4,0,3,1,7,1
"282",1,1,5,2,2,6,2,1,4,0,3,1,7,1
"283",8,1,5,3,5,1,5,1,2,0,1,1,7,1
"284",8,1,1,3,5,1,5,2,2,0,1,1,7,1
"285",1,2,5,2,4,6,3,1,5,2,1,1,7,1
"286",5,1,5,2,3,6,4,1,3,0,2,1,7,1
"287",1,1,5,2,3,7,3,1,NA,0,3,1,7,1
"288",9,2,1,5,4,1,5,2,2,0,1,1,7,1
"289",4,2,1,6,5,7,5,3,2,0,1,1,7,1
"290",3,1,5,5,5,1,5,1,1,0,2,3,7,1
"291",9,1,1,5,6,1,5,3,2,0,1,1,7,1
"292",1,2,4,7,4,1,5,1,NA,0,1,1,7,1
"293",7,1,1,7,5,8,5,3,2,0,1,1,7,1
"294",1,1,5,1,2,2,4,1,4,2,3,1,7,3
"295",1,1,5,1,3,6,5,1,4,2,3,1,7,1
"296",7,2,2,3,2,4,5,1,2,0,1,2,7,1
"297",5,2,1,6,3,5,NA,3,2,0,1,1,7,1
"298",8,1,5,3,4,1,3,1,1,0,1,1,7,1
"299",6,2,3,5,4,NA,5,1,1,0,1,NA,7,1
"300",6,2,2,3,5,1,5,1,2,0,1,1,7,1
"301",8,2,1,4,4,1,5,2,2,0,1,1,7,1
"302",8,1,1,5,4,1,5,3,3,0,1,1,1,1
"303",8,1,1,6,6,8,5,3,2,0,1,5,7,1
"304",5,2,5,7,6,8,5,1,2,0,1,1,7,NA
"305",2,1,5,3,6,1,5,1,1,0,2,3,7,1
"306",1,2,5,3,4,8,5,1,1,0,2,5,5,1
"307",3,2,3,3,5,1,5,1,2,0,2,3,7,1
"308",5,2,5,3,5,2,5,1,1,0,2,3,7,1
"309",7,1,1,6,4,2,5,2,2,0,1,1,7,NA
"310",3,1,5,3,4,4,5,1,1,0,2,3,7,1
"311",8,2,5,4,4,1,5,1,2,0,1,1,7,1
"312",1,2,5,1,2,6,NA,1,NA,3,3,1,1,1
"313",1,2,5,1,3,6,2,1,4,2,3,1,7,1
"314",8,2,1,3,5,4,5,2,2,0,1,1,7,1
"315",8,2,1,6,4,1,5,2,2,0,1,1,7,1
"316",8,2,1,6,4,5,5,3,4,0,1,1,7,1
"317",8,2,1,4,5,1,4,2,4,2,1,1,7,1
"318",6,2,5,3,4,1,NA,1,3,0,1,1,7,1
"319",8,1,3,5,6,1,5,1,NA,1,1,1,7,1
"320",9,1,5,2,4,6,5,1,3,0,1,1,7,1
"321",8,1,1,5,5,1,NA,2,4,2,1,1,2,1
"322",6,2,3,5,4,1,5,1,1,0,2,3,7,1
"323",6,1,1,3,6,1,2,2,2,0,2,3,7,1
"324",6,2,1,2,3,6,1,3,2,0,2,3,7,1
"325",8,1,5,4,6,1,4,1,1,0,1,5,7,1
"326",6,2,3,5,6,4,5,1,1,0,2,NA,7,1
"327",8,1,2,4,4,1,5,2,2,0,2,3,7,1
"328",6,1,1,3,6,1,2,3,2,0,2,1,2,3
"329",2,2,5,3,6,4,5,1,2,0,2,1,2,1
"330",8,2,5,2,4,5,5,1,5,0,3,1,7,1
"331",1,2,5,1,2,6,5,1,4,2,3,1,5,1
"332",8,2,1,3,3,4,5,2,4,2,1,1,7,1
"333",9,2,1,4,6,1,NA,2,4,2,1,1,7,1
"334",1,1,2,2,4,2,5,1,2,0,NA,3,5,1
"335",1,2,2,2,4,6,5,1,2,0,2,3,7,1
"336",8,2,1,4,4,5,5,3,4,2,1,1,7,1
"337",2,1,5,2,4,3,5,1,3,0,3,1,7,1
"338",9,1,1,4,3,1,5,3,2,0,1,NA,7,1
"339",2,2,2,2,4,5,5,1,3,1,2,1,7,1
"340",7,2,3,7,5,4,5,1,1,0,1,NA,7,1
"341",4,2,5,3,6,9,5,1,1,0,2,3,7,1
"342",2,1,5,1,2,2,NA,1,NA,0,3,1,7,1
"343",1,1,5,1,2,6,5,1,3,1,3,1,7,1
"344",2,2,1,2,3,5,2,3,4,2,2,3,7,1
"345",2,2,3,3,3,6,5,1,5,4,2,3,7,1
"346",1,2,5,4,3,2,2,1,3,2,2,3,7,1
"347",6,2,1,4,4,5,5,3,3,1,1,1,7,1
"348",3,1,1,6,1,3,5,3,4,1,1,1,3,1
"349",1,2,5,2,2,9,1,1,9,3,2,3,7,1
"350",1,1,5,6,4,8,5,1,1,0,2,3,7,1
"351",7,1,3,6,5,7,5,1,NA,0,2,NA,7,1
"352",1,2,5,2,5,6,5,1,2,0,2,1,7,1
"353",1,2,3,3,4,6,4,1,3,2,2,3,7,1
"354",1,2,5,2,4,6,NA,1,3,0,3,1,1,1
"355",4,2,1,2,5,1,3,2,2,0,2,3,7,1
"356",4,1,1,2,4,3,3,2,2,0,2,3,7,1
"357",1,2,4,7,2,5,NA,1,NA,0,NA,3,7,1
"358",4,2,1,2,4,6,2,3,2,0,2,3,7,1
"359",7,2,1,4,6,1,5,2,3,1,1,1,7,1
"360",8,2,1,6,5,8,5,3,2,0,1,1,7,1
"361",8,1,1,7,3,8,5,3,2,0,1,1,7,1
"362",4,1,2,3,5,4,1,1,6,4,2,1,7,1
"363",8,1,1,7,5,1,5,3,2,0,1,1,7,1
"364",7,1,3,3,5,1,4,1,1,0,1,1,7,1
"365",6,2,1,4,4,5,5,2,5,3,1,1,2,1
"366",6,2,4,6,6,8,5,1,1,0,1,NA,7,1
"367",6,1,1,3,4,1,5,2,2,0,2,3,7,1
"368",9,1,1,4,6,1,5,3,4,2,1,1,7,1
"369",6,1,1,5,4,3,5,3,2,0,1,1,7,1
"370",9,1,1,5,4,1,5,3,NA,0,1,1,1,1
"371",7,2,1,3,5,2,4,2,4,2,1,2,3,1
"372",9,2,1,4,4,1,3,2,2,0,1,1,7,1
"373",9,1,1,4,4,1,NA,3,3,1,1,1,7,1
"374",5,1,4,7,3,7,NA,1,1,0,NA,4,7,1
"375",3,2,5,5,6,1,4,1,1,0,2,3,7,1
"376",1,2,4,6,3,8,5,1,1,0,1,1,7,1
"377",1,1,5,5,4,8,NA,1,2,0,2,1,7,1
"378",8,2,1,4,5,4,NA,2,4,2,1,1,7,1
"379",8,1,5,2,4,6,NA,1,3,0,3,1,7,1
"380",3,1,5,2,5,3,NA,1,2,0,2,1,7,1
"381",3,2,3,5,3,5,5,1,2,0,1,1,7,1
"382",4,2,5,4,5,1,4,1,1,0,2,3,7,1
"383",6,1,2,7,6,9,5,1,2,0,1,1,7,1
"384",3,1,1,2,3,3,NA,2,3,1,2,3,7,1
"385",3,1,3,3,4,1,5,1,4,2,2,1,7,1
"386",2,1,5,1,3,2,1,1,4,0,2,3,1,1
"387",5,2,2,2,3,5,NA,1,7,5,2,3,5,1
"388",5,2,2,3,2,3,NA,2,7,5,2,3,5,1
"389",1,2,5,1,2,6,1,1,4,3,3,5,7,1
"390",4,2,3,3,5,NA,NA,1,2,1,2,2,7,1
"391",7,1,5,2,4,6,NA,1,4,0,3,1,7,1
"392",1,2,5,2,4,6,NA,1,4,0,3,1,7,1
"393",8,2,5,2,4,6,1,1,4,0,2,3,7,1
"394",3,2,2,1,3,5,5,3,4,1,2,1,7,1
"395",1,1,5,1,2,6,5,1,4,2,3,1,7,1
"396",8,2,1,3,4,1,5,2,3,1,1,1,7,1
"397",1,2,5,1,2,6,5,1,4,2,3,1,7,1
"398",1,1,5,1,2,6,4,1,3,2,3,1,7,1
"399",4,2,3,5,6,1,5,1,1,0,1,1,7,1
"400",6,2,4,5,4,1,NA,1,2,0,1,1,7,1
"401",3,1,5,3,4,3,NA,1,1,0,2,3,7,1
"402",2,2,3,3,3,3,5,1,1,0,2,5,7,1
"403",9,2,1,4,6,1,5,2,3,1,1,1,7,1
"404",8,1,1,3,4,1,5,2,2,0,1,1,8,1
"405",6,2,1,6,3,8,5,3,2,0,1,1,7,1
"406",2,2,5,3,4,2,5,1,1,0,2,3,7,1
"407",2,1,NA,2,4,7,NA,1,1,0,2,3,7,3
"408",3,1,5,2,4,3,2,1,8,2,3,1,7,1
"409",6,1,5,3,3,1,NA,1,2,0,2,3,7,1
"410",1,1,5,3,4,3,5,1,4,0,2,1,7,1
"411",8,1,5,1,2,2,5,1,3,1,3,1,7,1
"412",2,1,5,3,3,6,2,1,3,0,2,3,3,1
"413",3,2,5,2,3,4,2,1,2,0,2,1,7,1
"414",1,2,3,3,3,5,2,1,2,1,3,3,7,1
"415",6,1,5,4,4,3,5,1,1,0,2,4,7,1
"416",7,2,1,5,5,1,4,2,2,0,1,1,7,1
"417",9,1,1,5,3,8,NA,3,2,0,1,1,7,1
"418",1,1,5,1,2,2,5,1,2,1,3,3,7,1
"419",7,1,1,7,1,8,5,3,2,0,NA,4,7,1
"420",9,2,5,2,2,6,5,1,3,0,3,1,NA,1
"421",8,1,1,4,6,1,5,2,4,2,1,1,7,1
"422",8,2,1,4,4,1,NA,2,4,0,1,1,8,NA
"423",1,2,5,1,2,9,2,1,4,3,3,1,7,1
"424",3,1,1,7,3,2,5,3,2,0,2,1,7,1
"425",7,2,1,6,3,5,5,3,2,0,1,4,7,1
"426",4,1,5,3,4,2,5,1,3,0,3,3,7,1
"427",2,2,5,2,3,2,NA,1,1,0,2,1,7,1
"428",6,1,1,7,4,8,5,3,2,0,1,1,7,1
"429",6,1,1,7,5,8,5,3,2,0,1,1,7,1
"430",5,2,4,7,3,8,2,1,1,0,1,4,7,1
"431",6,2,1,5,5,NA,5,2,3,1,1,1,7,1
"432",5,1,1,7,4,1,NA,3,2,0,1,1,7,1
"433",9,1,5,3,4,NA,2,1,NA,0,1,4,7,1
"434",4,2,5,2,3,2,5,1,4,1,2,1,7,1
"435",3,2,5,1,1,1,1,1,3,1,3,3,7,1
"436",1,2,5,1,1,6,NA,1,NA,0,3,3,7,1
"437",2,2,1,6,3,5,5,3,2,0,1,1,7,1
"438",6,2,1,6,6,2,5,2,2,0,2,3,7,1
"439",7,1,3,6,6,8,5,1,2,0,2,1,7,1
"440",4,2,1,2,3,6,5,2,4,2,2,3,7,NA
"441",4,2,3,4,4,4,NA,1,4,0,2,2,7,1
"442",1,2,5,1,2,6,2,1,5,3,3,1,7,1
