"","col","row","yield"
"277",77,3,301
"278",78,3,253
"279",79,3,301
"280",80,3,213
"281",81,3,251
"282",82,3,277
"283",83,3,246
"284",84,3,284
"285",85,3,282
"286",86,3,275
"287",87,3,235
"288",88,3,240
"289",89,3,297
"290",90,3,227
"291",91,3,236
"292",92,3,208
"293",93,3,215
"294",94,3,173
"295",95,3,251
"296",96,3,231
"297",97,3,189
"298",98,3,194
"299",99,3,205
"300",100,3,196
"301",1,4,231
"302",2,4,202
"303",3,4,207
"304",4,4,300
"305",5,4,275
"306",6,4,265
"307",7,4,216
"308",8,4,281
"309",9,4,264
"310",10,4,289
"311",11,4,262
"312",12,4,366
"313",13,4,328
"314",14,4,223
"315",15,4,220
"316",16,4,251
"317",17,4,280
"318",18,4,235
"319",19,4,221
"320",20,4,196
"321",21,4,248
"322",22,4,195
"323",23,4,171
"324",24,4,187
"325",25,4,216
"326",26,4,205
"327",27,4,203
"328",28,4,267
"329",29,4,233
"330",30,4,184
"331",31,4,187
"332",32,4,263
"333",33,4,229
"334",34,4,223
"335",35,4,245
"336",36,4,257
"337",37,4,198
"338",38,4,232
"339",39,4,282
"340",40,4,246
"341",41,4,264
"342",42,4,171
"343",43,4,200
"344",44,4,204
"345",45,4,215
"346",46,4,247
"347",47,4,221
"348",48,4,264
"349",49,4,185
"350",50,4,207
"351",51,4,158
"352",52,4,280
"353",53,4,220
"354",54,4,216
"355",55,4,209
"356",56,4,205
"357",57,4,281
"358",58,4,225
"359",59,4,203
"360",60,4,230
"361",61,4,252
"362",62,4,209
"363",63,4,213
"364",64,4,266
"365",65,4,203
"366",66,4,218
"367",67,4,235
"368",68,4,222
"369",69,4,242
"370",70,4,261
"371",71,4,208
"372",72,4,241
"373",73,4,250
"374",74,4,276
"375",75,4,225
"376",76,4,226
"377",77,4,201
"378",78,4,215
"379",79,4,238
"380",80,4,238
"381",81,4,183
"382",82,4,256
"383",83,4,256
"384",84,4,216
"385",85,4,212
"386",86,4,287
"387",87,4,228
"388",88,4,239
"389",89,4,203
"390",90,4,237
"391",91,4,226
"392",92,4,208
"393",93,4,258
"394",94,4,348
"395",95,4,198
"396",96,4,236
"397",97,4,219
"398",98,4,214
"399",99,4,290
"400",100,4,234
"401",1,5,176
"402",2,5,251
"403",3,5,178
"404",4,5,175
"405",5,5,246
"406",6,5,214
"407",7,5,282
"408",8,5,217
"409",9,5,266
"410",10,5,225
"411",11,5,254
"412",12,5,266
"413",13,5,281
"414",14,5,237
"415",15,5,263
"416",16,5,275
"417",17,5,232
"418",18,5,242
"419",19,5,239
"420",20,5,219
"421",21,5,258
"422",22,5,164
"423",23,5,200
"424",24,5,218
"425",25,5,225
"426",26,5,328
"427",27,5,230
"428",28,5,245
"429",29,5,207
"430",30,5,259
"431",31,5,215
"432",32,5,354
"433",33,5,206
"434",34,5,279
"435",35,5,206
"436",36,5,320
"437",37,5,174
"438",38,5,365
"439",39,5,210
"440",40,5,474
"441",41,5,203
"442",42,5,380
"443",43,5,261
"444",44,5,294
"445",45,5,215
"446",46,5,353
"447",47,5,264
"448",48,5,306
"449",49,5,224
"450",50,5,290
"451",51,5,253
"452",52,5,268
"453",53,5,261
"454",54,5,318
"455",55,5,268
"456",56,5,315
"457",57,5,249
"458",58,5,318
"459",59,5,204
"460",60,5,215
"461",61,5,211
"462",62,5,294
"463",63,5,224
"464",64,5,244
"465",65,5,230
"466",66,5,299
"467",67,5,253
"468",68,5,252
"469",69,5,180
"470",70,5,283
"471",71,5,179
"472",72,5,323
"473",73,5,264
"474",74,5,264
"475",75,5,199
"476",76,5,319
"477",77,5,246
"478",78,5,271
"479",79,5,262
"480",80,5,317
"481",81,5,190
"482",82,5,344
"483",83,5,255
"484",84,5,277
"485",85,5,224
"486",86,5,337
"487",87,5,191
"488",88,5,250
"489",89,5,244
"490",90,5,483
"491",91,5,249
"492",92,5,302
"493",93,5,339
"494",94,5,347
"495",95,5,341
"496",96,5,401
"497",97,5,245
"498",98,5,320
"499",99,5,269
"500",100,5,360
"501",1,6,403
"502",2,6,305
"503",3,6,361
"504",4,6,386
"505",5,6,391
"506",6,6,416
"507",7,6,321
"508",8,6,317
"509",9,6,390
"510",10,6,252
"511",11,6,344
"512",12,6,287
"513",13,6,326
"514",14,6,329
"515",15,6,245
"516",16,6,318
"517",17,6,245
"518",18,6,266
"519",19,6,240
"520",20,6,263
"521",21,6,230
"522",22,6,320
"523",23,6,217
"524",24,6,375
"525",25,6,243
"526",26,6,324
"527",27,6,223
"528",28,6,328
"529",29,6,244
"530",30,6,339
"531",31,6,257
"532",32,6,295
"533",33,6,230
"534",34,6,322
"535",35,6,196
"536",36,6,275
"537",37,6,261
"538",38,6,359
"539",39,6,213
"540",40,6,445
"541",41,6,254
"542",42,6,449
"543",43,6,261
"544",44,6,412
"545",45,6,220
"546",46,6,387
"547",47,6,231
"548",48,6,355
"549",49,6,218
"550",50,6,248
"551",51,6,212
"552",52,6,351
"553",53,6,275
"554",54,6,334
"555",55,6,282
"556",56,6,385
"557",57,6,298
"558",58,6,350
"559",59,6,174
"560",60,6,318
"561",61,6,296
"562",62,6,342
"563",63,6,175
"564",64,6,176
"565",65,6,209
"566",66,6,254
"567",67,6,210
"568",68,6,316
"569",69,6,224
"570",70,6,289
"571",71,6,224
"572",72,6,245
"573",73,6,212
"574",74,6,292
"575",75,6,225
"576",76,6,244
"577",77,6,319
"578",78,6,327
"579",79,6,268
"580",80,6,231
"581",81,6,297
"582",82,6,221
"583",83,6,268
"584",84,6,277
"585",85,6,220
"586",86,6,234
"587",87,6,210
"588",88,6,376
"589",89,6,239
"590",90,6,304
"591",91,6,258
"592",92,6,359
"593",93,6,266
"594",94,6,275
"595",95,6,279
"596",96,6,280
"597",97,6,358
"598",98,6,283
"599",99,6,278
"600",100,6,308
