"","isle","site","block","plot","trt","ears","yield"
"51","Antigua","LFAN","B2",15,"T002",35,1.72
"52","Antigua","LFAN","B2",16,"T131",43,4.42
"53","Antigua","LFAN","B2",17,"T111",46,4.14
"54","Antigua","LFAN","B2",18,"T020",40,3.94
"55","Antigua","LFAN","B3",19,"T220",41,5
"56","Antigua","LFAN","B3",20,"T202",46,5.26
"57","Antigua","LFAN","B3",21,"T000",36,2.9
"58","Antigua","LFAN","B3",22,"T111",43,4.94
"59","Antigua","LFAN","B3",23,"T113",45,4.43
"60","Antigua","LFAN","B3",24,"T311",47,5.42
"61","Antigua","LFAN","B3",25,"T022",34,1.22
"62","Antigua","LFAN","B3",26,"T111",42,3.72
"63","Antigua","LFAN","B3",27,"T131",41,3.7
"64","Antigua","LFAN","B4",28,"T131",46,5.61
"65","Antigua","LFAN","B4",29,"T111",45,6.02
"66","Antigua","LFAN","B4",30,"T020",45,3.18
"67","Antigua","LFAN","B4",31,"T311",47,6.07
"68","Antigua","LFAN","B4",32,"T002",38,1.48
"69","Antigua","LFAN","B4",33,"T222",47,5.94
"70","Antigua","LFAN","B4",34,"T111",42,3.58
"71","Antigua","LFAN","B4",35,"T200",39,3.95
"72","Antigua","LFAN","B4",36,"T113",44,3.38
"73","Antigua","TEAN","B1",1,"T113",32,1.27
"74","Antigua","TEAN","B1",2,"T111",29,2.1
"75","Antigua","TEAN","B1",3,"T022",46,2.37
"76","Antigua","TEAN","B1",4,"T202",28,2.08
"77","Antigua","TEAN","B1",5,"T000",31,1.74
"78","Antigua","TEAN","B1",6,"T131",39,3.16
"79","Antigua","TEAN","B1",7,"T220",42,4.55
"80","Antigua","TEAN","B1",8,"T111",36,3.2
"81","Antigua","TEAN","B1",9,"T311",35,3.69
"82","Antigua","TEAN","B2",10,"T200",28,1.52
"83","Antigua","TEAN","B2",11,"T311",30,2.02
"84","Antigua","TEAN","B2",12,"T222",29,1.97
"85","Antigua","TEAN","B2",13,"T020",29,1.94
"86","Antigua","TEAN","B2",14,"T131",30,2.01
"87","Antigua","TEAN","B2",15,"T111",35,2.18
"88","Antigua","TEAN","B2",16,"T002",36,3.24
"89","Antigua","TEAN","B2",17,"T113",39,3.91
"90","Antigua","TEAN","B2",18,"T111",48,4.2
"91","Antigua","TEAN","B3",19,"T111",34,2.57
"92","Antigua","TEAN","B3",20,"T202",37,2.88
"93","Antigua","TEAN","B3",21,"T220",37,3.45
"94","Antigua","TEAN","B3",22,"T000",42,2.89
"95","Antigua","TEAN","B3",23,"T111",38,3.01
"96","Antigua","TEAN","B3",24,"T113",39,2.87
"97","Antigua","TEAN","B3",25,"T311",35,3.25
"98","Antigua","TEAN","B3",26,"T131",41,3.92
"99","Antigua","TEAN","B3",27,"T022",28,0.88
"100","Antigua","TEAN","B4",28,"T311",25,1.14
"101","Antigua","TEAN","B4",29,"T111",43,3.61
"102","Antigua","TEAN","B4",30,"T113",42,3.05
"103","Antigua","TEAN","B4",31,"T002",44,3.41
"104","Antigua","TEAN","B4",32,"T222",48,4.46
"105","Antigua","TEAN","B4",33,"T200",41,4.36
"106","Antigua","TEAN","B4",34,"T111",39,3.42
"107","Antigua","TEAN","B4",35,"T131",28,1.06
"108","Antigua","TEAN","B4",36,"T020",NA,NA
"109","Antigua","WEAN","B1",1,"T000",48,4.02
"110","Antigua","WEAN","B1",2,"T311",47,5.8
"111","Antigua","WEAN","B1",3,"T202",32,2.16
"112","Antigua","WEAN","B1",4,"T220",43,5.31
"113","Antigua","WEAN","B1",5,"T111",42,5.12
"114","Antigua","WEAN","B1",6,"T131",45,5.98
"115","Antigua","WEAN","B1",7,"T113",46,5.46
"116","Antigua","WEAN","B1",8,"T022",43,3.45
"117","Antigua","WEAN","B1",9,"T111",45,4.96
"118","Antigua","WEAN","B2",10,"T111",46,4.26
"119","Antigua","WEAN","B2",11,"T131",48,6.35
"120","Antigua","WEAN","B2",12,"T020",47,4.28
"121","Antigua","WEAN","B2",13,"T111",41,4.94
"122","Antigua","WEAN","B2",14,"T311",38,4.39
"123","Antigua","WEAN","B2",15,"T002",44,3.92
"124","Antigua","WEAN","B2",16,"T113",43,5.74
"125","Antigua","WEAN","B2",17,"T200",46,4.98
"126","Antigua","WEAN","B2",18,"T222",44,5.4
"127","Antigua","WEAN","B3",19,"T111",45,6.1
"128","Antigua","WEAN","B3",20,"T113",45,5.86
"129","Antigua","WEAN","B3",21,"T022",47,4.59
"130","Antigua","WEAN","B3",22,"T311",36,4.36
"131","Antigua","WEAN","B3",23,"T000",41,4.16
"132","Antigua","WEAN","B3",24,"T111",46,6.58
"133","Antigua","WEAN","B3",25,"T220",38,5.11
"134","Antigua","WEAN","B3",26,"T131",48,5.96
"135","Antigua","WEAN","B3",27,"T202",36,3.45
"136","Antigua","WEAN","B4",28,"T020",43,5.77
"137","Antigua","WEAN","B4",29,"T111",46,6.6
"138","Antigua","WEAN","B4",30,"T200",43,3.88
"139","Antigua","WEAN","B4",31,"T222",34,4.04
"140","Antigua","WEAN","B4",32,"T002",32,2.76
"141","Antigua","WEAN","B4",33,"T311",42,6.31
"142","Antigua","WEAN","B4",34,"T131",38,5.28
"143","Antigua","WEAN","B4",35,"T113",44,4.61
"144","Antigua","WEAN","B4",36,"T111",46,5.65
"145","Antigua","WLAN","B1",1,"T000",58,2
"146","Antigua","WLAN","B1",2,"T113",56,2.39
"147","Antigua","WLAN","B1",3,"T131",52,2.04
"148","Antigua","WLAN","B1",4,"T202",44,1.64
"149","Antigua","WLAN","B1",5,"T220",45,1.83
"150","Antigua","WLAN","B1",6,"T111",47,2.08
"151","Antigua","WLAN","B1",7,"T022",55,3.13
"152","Antigua","WLAN","B1",8,"T111",53,1.96
"153","Antigua","WLAN","B1",9,"T311",43,1.3
"154","Antigua","WLAN","B2",10,"T311",68,2.16
"155","Antigua","WLAN","B2",11,"T002",40,1.74
"156","Antigua","WLAN","B2",12,"T111",58,2.46
"157","Antigua","WLAN","B2",13,"T200",44,2.17
"158","Antigua","WLAN","B2",14,"T020",42,2.72
"159","Antigua","WLAN","B2",15,"T113",55,2.07
"160","Antigua","WLAN","B2",16,"T111",54,2.87
"161","Antigua","WLAN","B2",17,"T222",48,2.14
"162","Antigua","WLAN","B2",18,"T131",38,1.45
"163","Antigua","WLAN","B3",19,"T311",69,2.05
"164","Antigua","WLAN","B3",20,"T022",60,2.44
"165","Antigua","WLAN","B3",21,"T111",50,2.88
"166","Antigua","WLAN","B3",22,"T000",40,2.28
"167","Antigua","WLAN","B3",23,"T111",51,3.44
"168","Antigua","WLAN","B3",24,"T113",54,2.56
"169","Antigua","WLAN","B3",25,"T202",41,2.41
"170","Antigua","WLAN","B3",26,"T131",53,3.24
"171","Antigua","WLAN","B3",27,"T220",51,1.66
"172","Antigua","WLAN","B4",28,"T200",57,1.76
"173","Antigua","WLAN","B4",29,"T113",55,2.84
"174","Antigua","WLAN","B4",30,"T002",39,2.25
"175","Antigua","WLAN","B4",31,"T131",63,2.73
"176","Antigua","WLAN","B4",32,"T111",48,3.55
"177","Antigua","WLAN","B4",33,"T311",51,3.13
"178","Antigua","WLAN","B4",34,"T020",39,2.41
"179","Antigua","WLAN","B4",35,"T111",43,3.49
"180","Antigua","WLAN","B4",36,"T222",56,1.96
"181","Antigua","NSAN","B1",1,"T202",25,2.43
"182","Antigua","NSAN","B1",2,"T111",13,1.28
"183","Antigua","NSAN","B1",3,"T311",10,0.83
"184","Antigua","NSAN","B1",4,"T131",24,2.44
"185","Antigua","NSAN","B1",5,"T022",30,1.3
"186","Antigua","NSAN","B1",6,"T000",25,1.34
"187","Antigua","NSAN","B1",7,"T113",25,2.06
"188","Antigua","NSAN","B1",8,"T220",32,3.02
"189","Antigua","NSAN","B1",9,"T111",27,2.18
"190","Antigua","NSAN","B2",10,"T131",26,2.35
"191","Antigua","NSAN","B2",11,"T002",28,2.15
"192","Antigua","NSAN","B2",12,"T111",36,3.24
"193","Antigua","NSAN","B2",13,"T020",34,2.78
"194","Antigua","NSAN","B2",14,"T222",27,2.91
"195","Antigua","NSAN","B2",15,"T111",32,3.1
"196","Antigua","NSAN","B2",16,"T200",28,2.86
"197","Antigua","NSAN","B2",17,"T113",32,3.33
"198","Antigua","NSAN","B2",18,"T311",32,3
"199","Antigua","NSAN","B3",19,"T022",32,2.75
"200","Antigua","NSAN","B3",20,"T131",36,2.92
"201","Antigua","NSAN","B3",21,"T000",28,1.7
"202","Antigua","NSAN","B3",22,"T220",34,3.36
"203","Antigua","NSAN","B3",23,"T111",30,1.58
"204","Antigua","NSAN","B3",24,"T202",27,1.98
"205","Antigua","NSAN","B3",25,"T311",39,2.9
"206","Antigua","NSAN","B3",26,"T113",26,2.05
"207","Antigua","NSAN","B3",27,"T111",24,1.4
"208","Antigua","NSAN","B4",28,"T002",33,1.95
"209","Antigua","NSAN","B4",29,"T111",29,2.34
"210","Antigua","NSAN","B4",30,"T200",19,1.55
"211","Antigua","NSAN","B4",31,"T222",22,1.73
"212","Antigua","NSAN","B4",32,"T020",30,2.05
"213","Antigua","NSAN","B4",33,"T131",33,3.44
"214","Antigua","NSAN","B4",34,"T113",33,2.11
"215","Antigua","NSAN","B4",35,"T311",35,3.22
"216","Antigua","NSAN","B4",36,"T111",21,1.6
"217","Antigua","OVAN","B1",1,"T111",28,2.04
"218","Antigua","OVAN","B1",2,"T113",35,3.88
"219","Antigua","OVAN","B1",3,"T311",38,5.53
"220","Antigua","OVAN","B1",4,"T131",42,6.61
"221","Antigua","OVAN","B1",5,"T000",31,2.97
"222","Antigua","OVAN","B1",6,"T111",35,4.47
"223","Antigua","OVAN","B1",7,"T220",26,4.06
"224","Antigua","OVAN","B1",8,"T022",37,5.02
"225","Antigua","OVAN","B1",9,"T202",38,4.56
"226","Antigua","OVAN","B2",10,"T111",41,3.5
"227","Antigua","OVAN","B2",11,"T020",37,4.58
"228","Antigua","OVAN","B2",12,"T131",30,4.42
"229","Antigua","OVAN","B2",13,"T200",47,6.16
"230","Antigua","OVAN","B2",14,"T311",45,6.09
"231","Antigua","OVAN","B2",15,"T113",38,4.94
"232","Antigua","OVAN","B2",16,"T222",37,5.83
"233","Antigua","OVAN","B2",17,"T111",37,5.05
"234","Antigua","OVAN","B2",18,"T002",30,3.9
"235","Antigua","OVAN","B3",19,"T131",35,3.92
"236","Antigua","OVAN","B3",20,"T022",42,4.78
"237","Antigua","OVAN","B3",21,"T111",40,5.26
"238","Antigua","OVAN","B3",22,"T220",40,5.52
"239","Antigua","OVAN","B3",23,"T111",42,5.87
"240","Antigua","OVAN","B3",24,"T311",43,6.19
"241","Antigua","OVAN","B3",25,"T000",39,5.26
"242","Antigua","OVAN","B3",26,"T202",30,3.08
"243","Antigua","OVAN","B3",27,"T113",29,3.14
"244","Antigua","OVAN","B4",28,"T222",45,4.56
"245","Antigua","OVAN","B4",29,"T113",38,4.74
"246","Antigua","OVAN","B4",30,"T311",38,5.32
"247","Antigua","OVAN","B4",31,"T111",45,5.57
"248","Antigua","OVAN","B4",32,"T002",26,1.69
"249","Antigua","OVAN","B4",33,"T020",40,4.57
"250","Antigua","OVAN","B4",34,"T131",38,6.18
"251","Antigua","OVAN","B4",35,"T111",48,6.9
"252","Antigua","OVAN","B4",36,"T200",33,3.93
"253","Antigua","ORAN","B1",1,"T113",43,5.26
"254","Antigua","ORAN","B1",2,"T111",44,6.87
"255","Antigua","ORAN","B1",3,"T202",44,7.78
"256","Antigua","ORAN","B1",4,"T311",41,6.75
"257","Antigua","ORAN","B1",5,"T022",44,6.56
"258","Antigua","ORAN","B1",6,"T131",42,6.47
"259","Antigua","ORAN","B1",7,"T111",41,6.71
"260","Antigua","ORAN","B1",8,"T220",41,6.74
"261","Antigua","ORAN","B1",9,"T000",45,6.92
"262","Antigua","ORAN","B2",10,"T002",36,3.75
"263","Antigua","ORAN","B2",11,"T020",35,3.56
"264","Antigua","ORAN","B2",12,"T113",38,5.45
"265","Antigua","ORAN","B2",13,"T311",40,7.55
"266","Antigua","ORAN","B2",14,"T111",40,7.2
"267","Antigua","ORAN","B2",15,"T222",44,6.48
"268","Antigua","ORAN","B2",16,"T200",41,7.36
"269","Antigua","ORAN","B2",17,"T131",41,7.18
"270","Antigua","ORAN","B2",18,"T111",48,7.53
"271","Antigua","ORAN","B3",19,"T000",36,5.74
"272","Antigua","ORAN","B3",20,"T311",44,7.52
"273","Antigua","ORAN","B3",21,"T220",46,7.87
"274","Antigua","ORAN","B3",22,"T111",43,6.39
"275","Antigua","ORAN","B3",23,"T113",46,7.04
"276","Antigua","ORAN","B3",24,"T111",40,6.48
"277","Antigua","ORAN","B3",25,"T131",47,7.56
"278","Antigua","ORAN","B3",26,"T202",46,6.87
"279","Antigua","ORAN","B3",27,"T022",41,6.12
"280","Antigua","ORAN","B4",28,"T200",47,7.45
"281","Antigua","ORAN","B4",29,"T111",45,6.75
"282","Antigua","ORAN","B4",30,"T131",42,6.41
"283","Antigua","ORAN","B4",31,"T020",37,5.28
"284","Antigua","ORAN","B4",32,"T311",35,5.27
"285","Antigua","ORAN","B4",33,"T002",46,7.28
"286","Antigua","ORAN","B4",34,"T111",45,7.39
"287","Antigua","ORAN","B4",35,"T222",43,6.61
"288","Antigua","ORAN","B4",36,"T113",37,4.75
"289","StVincent","CPSV","B1",1,"T022",NA,24
"290","StVincent","CPSV","B1",2,"T131",NA,27.1
"291","StVincent","CPSV","B1",3,"T111",NA,26.5
"292","StVincent","CPSV","B1",4,"T000",NA,23.1
"293","StVincent","CPSV","B1",5,"T202",NA,22.1
"294","StVincent","CPSV","B1",6,"T220",NA,24.1
"295","StVincent","CPSV","B1",7,"T111",NA,26.1
"296","StVincent","CPSV","B1",8,"T113",NA,22.5
"297","StVincent","CPSV","B1",9,"T311",NA,23
"298","StVincent","CPSV","B2",10,"T111",NA,26.4
"299","StVincent","CPSV","B2",11,"T311",NA,24.8
"300","StVincent","CPSV","B2",12,"T111",NA,23.8
"301","StVincent","CPSV","B2",13,"T222",NA,24
"302","StVincent","CPSV","B2",14,"T200",NA,22.8
"303","StVincent","CPSV","B2",15,"T131",NA,26
"304","StVincent","CPSV","B2",16,"T002",NA,20.5
"305","StVincent","CPSV","B2",17,"T113",NA,24.4
"306","StVincent","CPSV","B2",18,"T020",NA,26
"307","StVincent","CPSV","B3",19,"T220",NA,19
"308","StVincent","CPSV","B3",20,"T111",NA,21
"309","StVincent","CPSV","B3",21,"T111",NA,24.1
"310","StVincent","CPSV","B3",22,"T311",NA,23.1
"311","StVincent","CPSV","B3",23,"T131",NA,20.1
"312","StVincent","CPSV","B3",24,"T022",NA,23.2
"313","StVincent","CPSV","B3",25,"T202",NA,19.8
"314","StVincent","CPSV","B3",26,"T113",NA,19
"315","StVincent","CPSV","B3",27,"T000",NA,22.2
"316","StVincent","CPSV","B4",28,"T131",NA,25.2
"317","StVincent","CPSV","B4",29,"T222",NA,24.8
"318","StVincent","CPSV","B4",30,"T200",NA,21.2
"319","StVincent","CPSV","B4",31,"T111",NA,23.1
"320","StVincent","CPSV","B4",32,"T002",NA,20.9
"321","StVincent","CPSV","B4",33,"T311",NA,20
"322","StVincent","CPSV","B4",34,"T020",NA,20.9
"323","StVincent","CPSV","B4",35,"T111",NA,21.5
"324","StVincent","CPSV","B4",36,"T113",NA,13.4
"325","StVincent","MPSV","B1",1,"T311",NA,16.7
"326","StVincent","MPSV","B1",2,"T131",NA,13
"327","StVincent","MPSV","B1",3,"T111",NA,17.8
"328","StVincent","MPSV","B1",4,"T111",NA,11.5
"329","StVincent","MPSV","B1",5,"T022",NA,12.4
"330","StVincent","MPSV","B1",6,"T113",NA,12.1
"331","StVincent","MPSV","B1",7,"T220",NA,13.5
"332","StVincent","MPSV","B1",8,"T000",NA,8.5
"333","StVincent","MPSV","B1",9,"T202",NA,13
"334","StVincent","MPSV","B2",10,"T131",NA,12.2
"335","StVincent","MPSV","B2",11,"T222",NA,15.1
"336","StVincent","MPSV","B2",12,"T200",NA,11.8
"337","StVincent","MPSV","B2",13,"T111",NA,12.8
"338","StVincent","MPSV","B2",14,"T002",NA,7.1
"339","StVincent","MPSV","B2",15,"T311",NA,17
"340","StVincent","MPSV","B2",16,"T020",NA,6.2
"341","StVincent","MPSV","B2",17,"T111",NA,12.5
"342","StVincent","MPSV","B2",18,"T113",NA,15.2
"343","StVincent","MPSV","B3",19,"T000",NA,8.1
"344","StVincent","MPSV","B3",20,"T113",NA,13.1
"345","StVincent","MPSV","B3",21,"T202",NA,14.2
"346","StVincent","MPSV","B3",22,"T311",NA,18.9
"347","StVincent","MPSV","B3",23,"T022",NA,12.5
"348","StVincent","MPSV","B3",24,"T131",NA,17
"349","StVincent","MPSV","B3",25,"T111",NA,13.5
"350","StVincent","MPSV","B3",26,"T220",NA,12
"351","StVincent","MPSV","B3",27,"T111",NA,12.8
"352","StVincent","MPSV","B4",28,"T113",NA,14
"353","StVincent","MPSV","B4",29,"T002",NA,10.5
"354","StVincent","MPSV","B4",30,"T020",NA,14.4
"355","StVincent","MPSV","B4",31,"T111",NA,13.8
"356","StVincent","MPSV","B4",32,"T311",NA,12.8
"357","StVincent","MPSV","B4",33,"T131",NA,14.5
"358","StVincent","MPSV","B4",34,"T222",NA,13.1
"359","StVincent","MPSV","B4",35,"T200",NA,14
"360","StVincent","MPSV","B4",36,"T111",NA,13.5
"361","StVincent","AGSV","B1",1,"T220",NA,10.4
"362","StVincent","AGSV","B1",2,"T000",NA,9.1
"363","StVincent","AGSV","B1",3,"T131",NA,9.2
"364","StVincent","AGSV","B1",4,"T022",NA,10.1
"365","StVincent","AGSV","B1",5,"T311",NA,15.2
"366","StVincent","AGSV","B1",6,"T111",NA,13.9
"367","StVincent","AGSV","B1",7,"T113",NA,15.1
"368","StVincent","AGSV","B1",8,"T111",NA,12.2
"369","StVincent","AGSV","B1",9,"T202",NA,9.8
"370","StVincent","AGSV","B2",10,"T113",NA,11.8
"371","StVincent","AGSV","B2",11,"T002",NA,10.1
"372","StVincent","AGSV","B2",12,"T020",NA,13
"373","StVincent","AGSV","B2",13,"T111",NA,13.2
"374","StVincent","AGSV","B2",14,"T311",NA,10.2
"375","StVincent","AGSV","B2",15,"T131",NA,12
"376","StVincent","AGSV","B2",16,"T222",NA,13.2
"377","StVincent","AGSV","B2",17,"T200",NA,10.9
"378","StVincent","AGSV","B2",18,"T111",NA,15.1
"379","StVincent","AGSV","B3",19,"T220",NA,9.9
"380","StVincent","AGSV","B3",20,"T022",NA,12
"381","StVincent","AGSV","B3",21,"T113",NA,12.5
"382","StVincent","AGSV","B3",22,"T111",NA,14.5
"383","StVincent","AGSV","B3",23,"T131",NA,12.2
"384","StVincent","AGSV","B3",24,"T111",NA,11.5
"385","StVincent","AGSV","B3",25,"T202",NA,11.5
"386","StVincent","AGSV","B3",26,"T311",NA,16.5
"387","StVincent","AGSV","B3",27,"T000",NA,7.8
"388","StVincent","AGSV","B4",28,"T200",NA,13
"389","StVincent","AGSV","B4",29,"T311",NA,7
"390","StVincent","AGSV","B4",30,"T111",NA,12.4
"391","StVincent","AGSV","B4",31,"T222",NA,14
"392","StVincent","AGSV","B4",32,"T131",NA,13.1
"393","StVincent","AGSV","B4",33,"T111",NA,13
"394","StVincent","AGSV","B4",34,"T020",NA,16
"395","StVincent","AGSV","B4",35,"T113",NA,14.5
"396","StVincent","AGSV","B4",36,"T002",NA,11
"397","StVincent","CASV","B1",1,"T311",NA,22
"398","StVincent","CASV","B1",2,"T113",NA,18.2
"399","StVincent","CASV","B1",3,"T022",NA,14.4
"400","StVincent","CASV","B1",4,"T111",NA,22.4
"401","StVincent","CASV","B1",5,"T220",NA,22.3
"402","StVincent","CASV","B1",6,"T111",NA,20
"403","StVincent","CASV","B1",7,"T000",NA,16
"404","StVincent","CASV","B1",8,"T202",NA,17.2
"405","StVincent","CASV","B1",9,"T131",NA,16.1
"406","StVincent","CASV","B2",10,"T311",NA,22.1
"407","StVincent","CASV","B2",11,"T113",NA,20.3
"408","StVincent","CASV","B2",12,"T020",NA,16
"409","StVincent","CASV","B2",13,"T111",NA,23.8
"410","StVincent","CASV","B2",14,"T131",NA,20.2
"411","StVincent","CASV","B2",15,"T111",NA,24.5
"412","StVincent","CASV","B2",16,"T222",NA,26.8
"413","StVincent","CASV","B2",17,"T200",NA,19.9
"414","StVincent","CASV","B2",18,"T002",NA,13.7
"415","StVincent","CASV","B3",19,"T202",NA,9.1
"416","StVincent","CASV","B3",20,"T113",NA,12.2
"417","StVincent","CASV","B3",21,"T000",NA,11.1
"418","StVincent","CASV","B3",22,"T131",NA,10.5
"419","StVincent","CASV","B3",23,"T311",NA,21.8
"420","StVincent","CASV","B3",24,"T111",NA,17.2
"421","StVincent","CASV","B3",25,"T111",NA,20.5
"422","StVincent","CASV","B3",26,"T220",NA,20
"423","StVincent","CASV","B3",27,"T022",NA,16.1
"424","StVincent","CASV","B4",28,"T002",NA,19.1
"425","StVincent","CASV","B4",29,"T111",NA,22.2
"426","StVincent","CASV","B4",30,"T111",NA,24.2
"427","StVincent","CASV","B4",31,"T131",NA,20.2
"428","StVincent","CASV","B4",32,"T311",NA,21.1
"429","StVincent","CASV","B4",33,"T200",NA,22.8
"430","StVincent","CASV","B4",34,"T020",NA,20.1
"431","StVincent","CASV","B4",35,"T113",NA,20.3
"432","StVincent","CASV","B4",36,"T222",NA,22
"433","StVincent","SSSV","B1",1,"T022",NA,9.5
"434","StVincent","SSSV","B1",2,"T202",NA,10.5
"435","StVincent","SSSV","B1",3,"T000",NA,14.1
"436","StVincent","SSSV","B1",4,"T220",NA,9.7
"437","StVincent","SSSV","B1",5,"T131",NA,11.2
"438","StVincent","SSSV","B1",6,"T111",NA,13.1
"439","StVincent","SSSV","B1",7,"T311",NA,9.2
"440","StVincent","SSSV","B1",8,"T113",NA,13.1
"441","StVincent","SSSV","B1",9,"T111",NA,11.5
"442","StVincent","SSSV","B2",10,"T111",NA,11.2
"443","StVincent","SSSV","B2",11,"T020",NA,12.1
"444","StVincent","SSSV","B2",12,"T002",NA,11
"445","StVincent","SSSV","B2",13,"T111",NA,16.1
"446","StVincent","SSSV","B2",14,"T200",NA,12.5
"447","StVincent","SSSV","B2",15,"T131",NA,9.9
"448","StVincent","SSSV","B2",16,"T222",NA,17.5
"449","StVincent","SSSV","B2",17,"T131",NA,11.8
"450","StVincent","SSSV","B2",18,"T311",NA,12.2
"451","StVincent","SSSV","B3",19,"T202",NA,8.7
"452","StVincent","SSSV","B3",20,"T131",NA,16.4
"453","StVincent","SSSV","B3",21,"T113",NA,16.1
"454","StVincent","SSSV","B3",22,"T220",NA,9.1
"455","StVincent","SSSV","B3",23,"T022",NA,12.2
"456","StVincent","SSSV","B3",24,"T111",NA,12.4
"457","StVincent","SSSV","B3",25,"T111",NA,10
"458","StVincent","SSSV","B3",26,"T000",NA,12.3
"459","StVincent","SSSV","B3",27,"T311",NA,9
"460","StVincent","SSSV","B4",28,"T111",NA,15.2
"461","StVincent","SSSV","B4",29,"T113",NA,20.2
"462","StVincent","SSSV","B4",30,"T020",NA,13.7
"463","StVincent","SSSV","B4",31,"T111",NA,14.2
"464","StVincent","SSSV","B4",32,"T200",NA,14.5
"465","StVincent","SSSV","B4",33,"T222",NA,12
"466","StVincent","SSSV","B4",34,"T002",NA,11.5
"467","StVincent","SSSV","B4",35,"T311",NA,11.2
"468","StVincent","SSSV","B4",36,"T131",NA,10.2
"469","StVincent","UISV","B1",1,"T202",NA,15.4
"470","StVincent","UISV","B1",2,"T000",NA,12.2
"471","StVincent","UISV","B1",3,"T220",NA,26
"472","StVincent","UISV","B1",4,"T111",NA,20.1
"473","StVincent","UISV","B1",5,"T022",NA,14.1
"474","StVincent","UISV","B1",6,"T131",NA,21.8
"475","StVincent","UISV","B1",7,"T113",NA,20.1
"476","StVincent","UISV","B1",8,"T311",NA,28.1
"477","StVincent","UISV","B1",9,"T111",NA,23.1
"478","StVincent","UISV","B2",10,"T311",NA,22.4
"479","StVincent","UISV","B2",11,"T113",NA,28.9
"480","StVincent","UISV","B2",12,"T111",NA,19
"481","StVincent","UISV","B2",13,"T131",NA,21.4
"482","StVincent","UISV","B2",14,"T111",NA,20.5
"483","StVincent","UISV","B2",15,"T020",NA,14
"484","StVincent","UISV","B2",16,"T200",NA,29.5
"485","StVincent","UISV","B2",17,"T002",NA,13.3
"486","StVincent","UISV","B2",18,"T222",NA,23.7
"487","StVincent","UISV","B3",19,"T202",NA,25.1
"488","StVincent","UISV","B3",20,"T220",NA,30.1
"489","StVincent","UISV","B3",21,"T111",NA,23.1
"490","StVincent","UISV","B3",22,"T113",NA,24.5
"491","StVincent","UISV","B3",23,"T131",NA,17.8
"492","StVincent","UISV","B3",24,"T022",NA,15.1
"493","StVincent","UISV","B3",25,"T311",NA,25.8
"494","StVincent","UISV","B3",26,"T111",NA,23.2
"495","StVincent","UISV","B3",27,"T000",NA,17.2
"496","StVincent","UISV","B4",28,"T113",NA,20.4
