"","yield","rep","gen","env"
"129",2955,"R1","Chip","G81"
"130",3728,"R1","Hodg","G81"
"131",3089,"R1","S200","G81"
"132",3753,"R1","Cors","G81"
"133",3188,"R1","Well","G81"
"134",2755,"R1","Evan","L81"
"135",2922,"R1","Wilk","L81"
"136",2697,"R1","Chip","L81"
"137",3167,"R1","Hodg","L81"
"138",2449,"R1","S200","L81"
"139",3209,"R1","Cors","L81"
"140",2728,"R1","Well","L81"
"141",1950,"R1","Evan","D81"
"142",1646,"R1","Wilk","D81"
"143",2809,"R1","Chip","D81"
"144",3553,"R1","Hodg","D81"
"145",1463,"R1","S200","D81"
"146",2479,"R1","Cors","D81"
"147",1637,"R1","Well","D81"
"148",1525,"R1","Evan","R81"
"149",1484,"R1","Wilk","R81"
"150",2597,"R1","Chip","R81"
"151",2404,"R1","Hodg","R81"
"152",2798,"R1","S200","R81"
"153",2170,"R1","Cors","R81"
"154",2903,"R1","Well","R81"
"155",3103,"R1","Evan","V81"
"156",1825,"R1","Wilk","V81"
"157",2308,"R1","Chip","V81"
"158",2685,"R1","Hodg","V81"
"159",2498,"R1","S200","V81"
"160",2664,"R1","Cors","V81"
"161",2457,"R1","Well","V81"
"162",2127,"R1","Evan","A82"
"163",1545,"R1","Wilk","A82"
"164",2007,"R1","Chip","A82"
"165",3038,"R1","Hodg","A82"
"166",2396,"R1","S200","A82"
"167",2689,"R1","Cors","A82"
"168",1946,"R1","Well","A82"
"169",2591,"R1","Evan","L82"
"170",1682,"R1","Wilk","L82"
"171",2401,"R1","Chip","L82"
"172",2863,"R1","Hodg","L82"
"173",3342,"R1","S200","L82"
"174",3088,"R1","Cors","L82"
"175",2825,"R1","Well","L82"
"176",3160,"R1","Evan","G82"
"177",3102,"R1","Wilk","G82"
"178",2489,"R1","Chip","G82"
"179",3584,"R1","Hodg","G82"
"180",4488,"R1","S200","G82"
"181",3671,"R1","Cors","G82"
"182",3452,"R1","Well","G82"
"183",2146,"R1","Evan","V82"
"184",2077,"R1","Wilk","V82"
"185",1295,"R1","Chip","V82"
"186",1484,"R1","Hodg","V82"
"187",1204,"R1","S200","V82"
"188",1520,"R1","Cors","V82"
"189",1061,"R1","Well","V82"
"190",3405,"R1","Evan","A83"
"191",1927,"R1","Wilk","A83"
"192",2212,"R1","Chip","A83"
"193",2423,"R1","Hodg","A83"
"194",2272,"R1","S200","A83"
"195",2139,"R1","Cors","A83"
"196",1930,"R1","Well","A83"
"197",1716,"R1","Evan","I83"
"198",1084,"R1","Wilk","I83"
"199",1431,"R1","Chip","I83"
"200",1713,"R1","Hodg","I83"
"201",2073,"R1","S200","I83"
"202",1826,"R1","Cors","I83"
"203",1730,"R1","Well","I83"
"204",4511,"R1","Evan","G83"
"205",4115,"R1","Wilk","G83"
"206",3026,"R1","Chip","G83"
"207",5085,"R1","Hodg","G83"
"208",3767,"R1","S200","G83"
"209",3659,"R1","Cors","G83"
"210",4064,"R1","Well","G83"
"211",3316,"R1","Evan","A84"
"212",2307,"R1","Wilk","A84"
"213",3177,"R1","Chip","A84"
"214",3958,"R1","Hodg","A84"
"215",3078,"R1","S200","A84"
"216",2923,"R1","Cors","A84"
"217",3492,"R1","Well","A84"
"218",2903,"R1","Evan","N84"
"219",2567,"R1","Wilk","N84"
"220",2964,"R1","Chip","N84"
"221",3285,"R1","Hodg","N84"
"222",3325,"R1","S200","N84"
"223",3046,"R1","Cors","N84"
"224",2875,"R1","Well","N84"
"225",3225,"R1","Evan","C84"
"226",2815,"R1","Wilk","C84"
"227",2399,"R1","Chip","C84"
"228",2791,"R1","Hodg","C84"
"229",2332,"R1","S200","C84"
"230",3170,"R1","Cors","C84"
"231",2818,"R1","Well","C84"
"232",2206,"R1","Evan","I84"
"233",1435,"R1","Wilk","I84"
"234",2125,"R1","Chip","I84"
"235",2278,"R1","Hodg","I84"
"236",2033,"R1","S200","I84"
"237",2308,"R1","Cors","I84"
"238",1713,"R1","Well","I84"
"239",4213,"R1","Evan","G84"
"240",3360,"R1","Wilk","G84"
"241",3049,"R1","Chip","G84"
"242",3641,"R1","Hodg","G84"
"243",4274,"R1","S200","G84"
"244",3376,"R1","Cors","G84"
"245",3846,"R1","Well","G84"
"246",1058,"R1","Evan","A85"
"247",858,"R1","Wilk","A85"
"248",1010,"R1","Chip","A85"
"249",1612,"R1","Hodg","A85"
"250",2083,"R1","S200","A85"
"251",1667,"R1","Cors","A85"
"252",1213,"R1","Well","A85"
"253",2404,"R1","Evan","N85"
"254",1814,"R1","Wilk","N85"
"255",1748,"R1","Chip","N85"
"256",2122,"R1","Hodg","N85"
"257",2620,"R1","S200","N85"
"258",2593,"R1","Cors","N85"
"259",2484,"R1","Well","N85"
"260",3127,"R1","Evan","C85"
"261",2905,"R1","Wilk","C85"
"262",2798,"R1","Chip","C85"
"263",3092,"R1","Hodg","C85"
"264",2834,"R1","S200","C85"
"265",3541,"R1","Cors","C85"
"266",2777,"R1","Well","C85"
"267",1783,"R1","Evan","I85"
"268",1902,"R1","Wilk","I85"
"269",1717,"R1","Chip","I85"
"270",1707,"R1","Hodg","I85"
"271",1419,"R1","S200","I85"
"272",1814,"R1","Cors","I85"
"273",1378,"R1","Well","I85"
"274",3194,"R1","Evan","G85"
"275",2619,"R1","Wilk","G85"
"276",2742,"R1","Chip","G85"
"277",3561,"R1","Hodg","G85"
"278",2760,"R1","S200","G85"
"279",3039,"R1","Cors","G85"
"280",2285,"R1","Well","G85"
"281",2989,"R1","Evan","A86"
"282",2652,"R1","Wilk","A86"
"283",3317,"R1","Chip","A86"
"284",3764,"R1","Hodg","A86"
"285",2900,"R1","S200","A86"
"286",3639,"R1","Cors","A86"
"287",3715,"R1","Well","A86"
"288",2826,"R1","Evan","C86"
"289",2420,"R1","Wilk","C86"
"290",2105,"R1","Chip","C86"
"291",2489,"R1","Hodg","C86"
"292",1645,"R1","S200","C86"
"293",1905,"R1","Cors","C86"
"294",1763,"R1","Well","C86"
"295",2996,"R1","Evan","G86"
"296",3759,"R1","Wilk","G86"
"297",2234,"R1","Chip","G86"
"298",2846,"R1","Hodg","G86"
"299",2040,"R1","S200","G86"
"300",2515,"R1","Cors","G86"
"301",3701,"R1","Well","G86"
"302",3025,"R1","Evan","E86"
"303",1990,"R1","Wilk","E86"
"304",2587,"R1","Chip","E86"
"305",3056,"R1","Hodg","E86"
"306",3191,"R1","S200","E86"
"307",3054,"R1","Cors","E86"
"308",2457,"R1","Well","E86"
"309",2040,"R1","Evan","N86"
"310",2520,"R1","Wilk","N86"
"311",1476,"R1","Chip","N86"
"312",2504,"R1","Hodg","N86"
"313",1711,"R1","S200","N86"
"314",2100,"R1","Cors","N86"
"315",1383,"R1","Well","N86"
"316",2636,"R1","Evan","A87"
"317",2069,"R1","Wilk","A87"
"318",2580,"R1","Chip","A87"
"319",2803,"R1","Hodg","A87"
"320",2923,"R1","S200","A87"
"321",2856,"R1","Cors","A87"
"322",2609,"R1","Well","A87"
"323",2574,"R1","Evan","N87"
"324",1989,"R1","Wilk","N87"
"325",2602,"R1","Chip","N87"
"326",2892,"R1","Hodg","N87"
"327",2219,"R1","S200","N87"
"328",2840,"R1","Cors","N87"
"329",2726,"R1","Well","N87"
"330",2961,"R1","Evan","C87"
"331",3348,"R1","Wilk","C87"
"332",2206,"R1","Chip","C87"
"333",2484,"R1","Hodg","C87"
"334",1267,"R1","S200","C87"
"335",2177,"R1","Cors","C87"
"336",1504,"R1","Well","C87"
"337",2962,"R1","Evan","E87"
"338",2572,"R1","Wilk","E87"
"339",2374,"R1","Chip","E87"
"340",2795,"R1","Hodg","E87"
"341",1717,"R1","S200","E87"
"342",2843,"R1","Cors","E87"
"343",2809,"R1","Well","E87"
"344",3104,"R1","Evan","G87"
"345",2963,"R1","Wilk","G87"
"346",1964,"R1","Chip","G87"
"347",3342,"R1","Hodg","G87"
"348",2848,"R1","S200","G87"
"349",2081,"R1","Cors","G87"
"350",3750,"R1","Well","G87"
"351",2720,"R1","Evan","A88"
"352",2611,"R1","Wilk","A88"
"353",2604,"R1","Chip","A88"
"354",3157,"R1","Hodg","A88"
"355",3334,"R1","S200","A88"
"356",3211,"R1","Cors","A88"
"357",2924,"R1","Well","A88"
"358",3442,"R1","Evan","N88"
"359",3010,"R1","Wilk","N88"
"360",2892,"R1","Chip","N88"
"361",3880,"R1","Hodg","N88"
"362",3395,"R1","S200","N88"
"363",3450,"R1","Cors","N88"
"364",3558,"R1","Well","N88"
"365",4370,"R1","Evan","C88"
"366",3852,"R1","Wilk","C88"
"367",3185,"R1","Chip","C88"
"368",2824,"R1","Hodg","C88"
"369",2022,"R1","S200","C88"
"370",2770,"R1","Cors","C88"
"371",3192,"R1","Well","C88"
"372",2843,"R1","Evan","E88"
"373",2779,"R1","Wilk","E88"
"374",2570,"R1","Chip","E88"
"375",2807,"R1","Hodg","E88"
"376",2733,"R1","S200","E88"
"377",2339,"R1","Cors","E88"
"378",2996,"R1","Well","E88"
"379",5437,"R1","Evan","G88"
"380",4687,"R1","Wilk","G88"
"381",3085,"R1","Chip","G88"
"382",4275,"R1","Hodg","G88"
"383",4615,"R1","S200","G88"
"384",4777,"R1","Cors","G88"
"385",4447,"R1","Well","G88"
"386",2747,"R2","Evan","A77"
"387",2238,"R2","Wilk","A77"
"388",2425,"R2","Chip","A77"
"389",2072,"R2","Hodg","A77"
"390",3036,"R2","S200","A77"
"391",3430,"R2","Cors","A77"
"392",2951,"R2","Well","A77"
"393",2948,"R2","Evan","C77"
"394",2747,"R2","Wilk","C77"
"395",1719,"R2","Chip","C77"
"396",1839,"R2","Hodg","C77"
"397",1301,"R2","S200","C77"
"398",2115,"R2","Cors","C77"
"399",1471,"R2","Well","C77"
"400",1024,"R2","Evan","V77"
"401",891,"R2","Wilk","V77"
"402",2200,"R2","Chip","V77"
"403",2254,"R2","Hodg","V77"
"404",2074,"R2","S200","V77"
"405",2958,"R2","Cors","V77"
"406",2972,"R2","Well","V77"
"407",1965,"R2","Evan","V78"
"408",1476,"R2","Wilk","V78"
"409",1496,"R2","Chip","V78"
"410",1927,"R2","Hodg","V78"
"411",1497,"R2","S200","V78"
"412",2363,"R2","Cors","V78"
"413",1691,"R2","Well","V78"
"414",2687,"R2","Evan","A79"
"415",2861,"R2","Wilk","A79"
"416",2353,"R2","Chip","A79"
"417",3268,"R2","Hodg","A79"
"418",3061,"R2","S200","A79"
"419",2422,"R2","Cors","A79"
"420",3034,"R2","Well","A79"
"421",2807,"R2","Evan","C79"
"422",2471,"R2","Wilk","C79"
"423",1725,"R2","Chip","C79"
"424",1648,"R2","Hodg","C79"
"425",1636,"R2","S200","C79"
"426",880,"R2","Cors","C79"
"427",1272,"R2","Well","C79"
"428",2765,"R2","Evan","G79"
"429",2504,"R2","Wilk","G79"
"430",2286,"R2","Chip","G79"
"431",2976,"R2","Hodg","G79"
"432",2391,"R2","S200","G79"
"433",3460,"R2","Cors","G79"
"434",2416,"R2","Well","G79"
"435",2000,"R2","Evan","R79"
"436",1055,"R2","Wilk","R79"
"437",2104,"R2","Chip","R79"
"438",2625,"R2","Hodg","R79"
"439",2024,"R2","S200","R79"
"440",1991,"R2","Cors","R79"
"441",2126,"R2","Well","R79"
"442",1445,"R2","Evan","V79"
"443",491,"R2","Wilk","V79"
"444",1258,"R2","Chip","V79"
"445",1484,"R2","Hodg","V79"
"446",2239,"R2","S200","V79"
"447",2041,"R2","Cors","V79"
"448",1767,"R2","Well","V79"
"449",2660,"R2","Evan","A80"
"450",2685,"R2","Wilk","A80"
"451",2706,"R2","Chip","A80"
"452",3202,"R2","Hodg","A80"
"453",2357,"R2","S200","A80"
"454",2469,"R2","Cors","A80"
"455",2634,"R2","Well","A80"
"456",2332,"R2","Evan","C80"
"457",3205,"R2","Wilk","C80"
"458",2472,"R2","Chip","C80"
"459",2615,"R2","Hodg","C80"
"460",2123,"R2","S200","C80"
"461",2384,"R2","Cors","C80"
"462",1295,"R2","Well","C80"
"463",4641,"R2","Evan","G80"
"464",3592,"R2","Wilk","G80"
"465",3589,"R2","Chip","G80"
"466",4261,"R2","Hodg","G80"
"467",3517,"R2","S200","G80"
"468",4141,"R2","Cors","G80"
"469",3382,"R2","Well","G80"
"470",3395,"R2","Evan","L80"
"471",3653,"R2","Wilk","L80"
"472",3299,"R2","Chip","L80"
"473",3488,"R2","Hodg","L80"
"474",3886,"R2","S200","L80"
"475",3648,"R2","Cors","L80"
"476",2804,"R2","Well","L80"
"477",2072,"R2","Evan","D80"
"478",1701,"R2","Wilk","D80"
"479",1488,"R2","Chip","D80"
"480",2615,"R2","Hodg","D80"
"481",1766,"R2","S200","D80"
"482",3013,"R2","Cors","D80"
"483",1117,"R2","Well","D80"
"484",1841,"R2","Evan","R80"
"485",1810,"R2","Wilk","R80"
"486",2547,"R2","Chip","R80"
"487",2874,"R2","Hodg","R80"
"488",2077,"R2","S200","R80"
"489",1981,"R2","Cors","R80"
"490",2446,"R2","Well","R80"
"491",2014,"R2","Evan","V80"
"492",1699,"R2","Wilk","V80"
"493",2040,"R2","Chip","V80"
"494",1884,"R2","Hodg","V80"
"495",1709,"R2","S200","V80"
"496",2264,"R2","Cors","V80"
"497",1484,"R2","Well","V80"
"498",3317,"R2","Evan","A81"
"499",2744,"R2","Wilk","A81"
"500",2652,"R2","Chip","A81"
"501",2755,"R2","Hodg","A81"
"502",3218,"R2","S200","A81"
"503",3085,"R2","Cors","A81"
"504",2921,"R2","Well","A81"
"505",2956,"R2","Evan","C81"
"506",3001,"R2","Wilk","C81"
"507",2051,"R2","Chip","C81"
"508",2341,"R2","Hodg","C81"
"509",1780,"R2","S200","C81"
"510",2829,"R2","Cors","C81"
"511",1804,"R2","Well","C81"
"512",3387,"R2","Evan","G81"
"513",3007,"R2","Wilk","G81"
"514",3351,"R2","Chip","G81"
"515",3546,"R2","Hodg","G81"
"516",3642,"R2","S200","G81"
"517",3844,"R2","Cors","G81"
"518",2991,"R2","Well","G81"
"519",2852,"R2","Evan","L81"
"520",2862,"R2","Wilk","L81"
"521",2600,"R2","Chip","L81"
"522",3132,"R2","Hodg","L81"
"523",2639,"R2","S200","L81"
"524",2389,"R2","Cors","L81"
"525",2524,"R2","Well","L81"
"526",2870,"R2","Evan","D81"
"527",1997,"R2","Wilk","D81"
"528",2148,"R2","Chip","D81"
"529",3321,"R2","Hodg","D81"
"530",1954,"R2","S200","D81"
"531",2966,"R2","Cors","D81"
"532",3400,"R2","Well","D81"
"533",2348,"R2","Evan","R81"
"534",1426,"R2","Wilk","R81"
"535",2686,"R2","Chip","R81"
"536",3028,"R2","Hodg","R81"
"537",2500,"R2","S200","R81"
"538",3125,"R2","Cors","R81"
"539",2944,"R2","Well","R81"
"540",2871,"R2","Evan","V81"
"541",3595,"R2","Wilk","V81"
"542",2525,"R2","Chip","V81"
"543",2455,"R2","Hodg","V81"
"544",2141,"R2","S200","V81"
"545",2549,"R2","Cors","V81"
"546",2603,"R2","Well","V81"
"547",2380,"R2","Evan","A82"
"548",2051,"R2","Wilk","A82"
"549",1877,"R2","Chip","A82"
"550",2190,"R2","Hodg","A82"
"551",2644,"R2","S200","A82"
"552",2276,"R2","Cors","A82"
"553",1958,"R2","Well","A82"
"554",2732,"R2","Evan","L82"
"555",2237,"R2","Wilk","L82"
"556",2663,"R2","Chip","L82"
"557",2728,"R2","Hodg","L82"
"558",3145,"R2","S200","L82"
"559",3204,"R2","Cors","L82"
"560",2646,"R2","Well","L82"
"561",3589,"R2","Evan","G82"
"562",3354,"R2","Wilk","G82"
"563",2894,"R2","Chip","G82"
"564",3836,"R2","Hodg","G82"
"565",3017,"R2","S200","G82"
"566",3786,"R2","Cors","G82"
"567",3496,"R2","Well","G82"
"568",2997,"R2","Evan","V82"
"569",2092,"R2","Wilk","V82"
"570",815,"R2","Chip","V82"
"571",1650,"R2","Hodg","V82"
"572",1126,"R2","S200","V82"
"573",1443,"R2","Cors","V82"
"574",1151,"R2","Well","V82"
"575",1789,"R2","Evan","A83"
"576",2880,"R2","Wilk","A83"
"577",1867,"R2","Chip","A83"
"578",1945,"R2","Hodg","A83"
"579",2049,"R2","S200","A83"
"580",2216,"R2","Cors","A83"
"581",1996,"R2","Well","A83"
"582",918,"R2","Evan","I83"
"583",1050,"R2","Wilk","I83"
"584",1439,"R2","Chip","I83"
"585",1605,"R2","Hodg","I83"
"586",2028,"R2","S200","I83"
"587",2019,"R2","Cors","I83"
"588",1581,"R2","Well","I83"
"589",4327,"R2","Evan","G83"
"590",4106,"R2","Wilk","G83"
"591",3755,"R2","Chip","G83"
"592",4253,"R2","Hodg","G83"
"593",3126,"R2","S200","G83"
"594",4843,"R2","Cors","G83"
"595",3495,"R2","Well","G83"
"596",3148,"R2","Evan","A84"
"597",2762,"R2","Wilk","A84"
"598",3063,"R2","Chip","A84"
"599",3855,"R2","Hodg","A84"
"600",3514,"R2","S200","A84"
"601",3490,"R2","Cors","A84"
"602",4060,"R2","Well","A84"
"603",3136,"R2","Evan","N84"
"604",2593,"R2","Wilk","N84"
"605",2193,"R2","Chip","N84"
"606",3461,"R2","Hodg","N84"
"607",3337,"R2","S200","N84"
"608",3391,"R2","Cors","N84"
"609",2688,"R2","Well","N84"
"610",3508,"R2","Evan","C84"
"611",2376,"R2","Wilk","C84"
"612",2654,"R2","Chip","C84"
"613",3305,"R2","Hodg","C84"
"614",2422,"R2","S200","C84"
"615",2821,"R2","Cors","C84"
"616",2882,"R2","Well","C84"
"617",2041,"R2","Evan","I84"
"618",1845,"R2","Wilk","I84"
"619",1922,"R2","Chip","I84"
"620",2224,"R2","Hodg","I84"
"621",2258,"R2","S200","I84"
"622",2241,"R2","Cors","I84"
"623",1667,"R2","Well","I84"
"624",3818,"R2","Evan","G84"
"625",3298,"R2","Wilk","G84"
"626",3915,"R2","Chip","G84"
"627",4166,"R2","Hodg","G84"
"628",3977,"R2","S200","G84"
"629",4416,"R2","Cors","G84"
"630",3338,"R2","Well","G84"
"631",1418,"R2","Evan","A85"
"632",962,"R2","Wilk","A85"
"633",867,"R2","Chip","A85"
"634",1212,"R2","Hodg","A85"
"635",1465,"R2","S200","A85"
"636",983,"R2","Cors","A85"
"637",1090,"R2","Well","A85"
"638",1997,"R2","Evan","N85"
"639",1287,"R2","Wilk","N85"
"640",2275,"R2","Chip","N85"
"641",2727,"R2","Hodg","N85"
"642",2258,"R2","S200","N85"
"643",2313,"R2","Cors","N85"
"644",2922,"R2","Well","N85"
"645",3398,"R2","Evan","C85"
"646",2882,"R2","Wilk","C85"
"647",2468,"R2","Chip","C85"
"648",3048,"R2","Hodg","C85"
"649",2933,"R2","S200","C85"
"650",2792,"R2","Cors","C85"
"651",2006,"R2","Well","C85"
"652",1957,"R2","Evan","I85"
"653",1534,"R2","Wilk","I85"
"654",1405,"R2","Chip","I85"
"655",1955,"R2","Hodg","I85"
"656",1404,"R2","S200","I85"
"657",1967,"R2","Cors","I85"
"658",1656,"R2","Well","I85"
"659",3085,"R2","Evan","G85"
"660",2839,"R2","Wilk","G85"
"661",2560,"R2","Chip","G85"
"662",3208,"R2","Hodg","G85"
"663",2911,"R2","S200","G85"
"664",3250,"R2","Cors","G85"
"665",3119,"R2","Well","G85"
"666",3640,"R2","Evan","A86"
"667",2366,"R2","Wilk","A86"
"668",2334,"R2","Chip","A86"
"669",2862,"R2","Hodg","A86"
"670",3298,"R2","S200","A86"
"671",3647,"R2","Cors","A86"
"672",3641,"R2","Well","A86"
"673",2560,"R2","Evan","C86"
"674",2359,"R2","Wilk","C86"
"675",2134,"R2","Chip","C86"
"676",2432,"R2","Hodg","C86"
"677",1500,"R2","S200","C86"
"678",1840,"R2","Cors","C86"
"679",1943,"R2","Well","C86"
"680",4038,"R2","Evan","G86"
"681",4261,"R2","Wilk","G86"
"682",3174,"R2","Chip","G86"
"683",3507,"R2","Hodg","G86"
"684",3405,"R2","S200","G86"
"685",1873,"R2","Cors","G86"
"686",3307,"R2","Well","G86"
"687",2642,"R2","Evan","E86"
"688",2010,"R2","Wilk","E86"
"689",2711,"R2","Chip","E86"
"690",3070,"R2","Hodg","E86"
"691",2964,"R2","S200","E86"
"692",3393,"R2","Cors","E86"
"693",3289,"R2","Well","E86"
"694",2546,"R2","Evan","N86"
"695",2658,"R2","Wilk","N86"
"696",1796,"R2","Chip","N86"
"697",2715,"R2","Hodg","N86"
"698",1675,"R2","S200","N86"
"699",2035,"R2","Cors","N86"
"700",1999,"R2","Well","N86"
"701",2347,"R2","Evan","A87"
"702",1758,"R2","Wilk","A87"
"703",2454,"R2","Chip","A87"
"704",2839,"R2","Hodg","A87"
"705",2680,"R2","S200","A87"
"706",3192,"R2","Cors","A87"
"707",2885,"R2","Well","A87"
"708",2312,"R2","Evan","N87"
"709",2394,"R2","Wilk","N87"
"710",2322,"R2","Chip","N87"
"711",2368,"R2","Hodg","N87"
"712",2674,"R2","S200","N87"
"713",2467,"R2","Cors","N87"
"714",2363,"R2","Well","N87"
"715",3354,"R2","Evan","C87"
"716",2909,"R2","Wilk","C87"
"717",2313,"R2","Chip","C87"
"718",2467,"R2","Hodg","C87"
"719",1220,"R2","S200","C87"
"720",1324,"R2","Cors","C87"
"721",1630,"R2","Well","C87"
"722",2303,"R2","Evan","E87"
"723",2075,"R2","Wilk","E87"
"724",2718,"R2","Chip","E87"
"725",3022,"R2","Hodg","E87"
"726",2128,"R2","S200","E87"
"727",2342,"R2","Cors","E87"
"728",2507,"R2","Well","E87"
"729",2854,"R2","Evan","G87"
"730",3467,"R2","Wilk","G87"
"731",3285,"R2","Chip","G87"
"732",3413,"R2","Hodg","G87"
"733",3367,"R2","S200","G87"
"734",2343,"R2","Cors","G87"
"735",3403,"R2","Well","G87"
"736",3290,"R2","Evan","A88"
"737",2720,"R2","Wilk","A88"
"738",3143,"R2","Chip","A88"
"739",3148,"R2","Hodg","A88"
"740",3711,"R2","S200","A88"
"741",2623,"R2","Cors","A88"
"742",2551,"R2","Well","A88"
"743",3742,"R2","Evan","N88"
"744",3170,"R2","Wilk","N88"
"745",2877,"R2","Chip","N88"
"746",3684,"R2","Hodg","N88"
"747",3176,"R2","S200","N88"
"748",3624,"R2","Cors","N88"
"749",3659,"R2","Well","N88"
"750",3726,"R2","Evan","C88"
"751",3605,"R2","Wilk","C88"
"752",3300,"R2","Chip","C88"
"753",3361,"R2","Hodg","C88"
"754",2920,"R2","S200","C88"
"755",3503,"R2","Cors","C88"
"756",2783,"R2","Well","C88"
"757",3186,"R2","Evan","E88"
"758",2567,"R2","Wilk","E88"
"759",2171,"R2","Chip","E88"
"760",2691,"R2","Hodg","E88"
"761",2467,"R2","S200","E88"
"762",2527,"R2","Cors","E88"
"763",2772,"R2","Well","E88"
"764",5165,"R2","Evan","G88"
"765",4650,"R2","Wilk","G88"
"766",4372,"R2","Chip","G88"
"767",4632,"R2","Hodg","G88"
"768",4756,"R2","S200","G88"
"769",4941,"R2","Cors","G88"
"770",3509,"R2","Well","G88"
"771",2593,"R3","Evan","A77"
"772",2454,"R3","Wilk","A77"
"773",2191,"R3","Chip","A77"
"774",2994,"R3","Hodg","A77"
"775",3097,"R3","S200","A77"
"776",3265,"R3","Cors","A77"
