"","plot","row","col","year","yield"
"207",507,14,5,96,98.9
"208",508,13,5,96,92.6
"209",509,12,5,96,95.9
"210",510,11,5,96,96.9
"211",511,10,5,96,94.6
"212",512,9,5,96,97.4
"213",513,8,5,96,95.7
"214",514,7,5,96,98.2
"215",515,6,5,96,99.6
"216",516,5,5,96,94.1
"217",517,4,5,96,86.3
"218",518,3,5,96,89.5
"219",519,2,5,96,94.1
"220",520,1,5,96,90
"221",601,20,6,96,80.8
"222",602,19,6,96,86.5
"223",603,18,6,96,81.8
"224",604,17,6,96,83.5
"225",605,16,6,96,94.6
"226",606,15,6,96,93.2
"227",607,14,6,96,94
"228",608,13,6,96,91.6
"229",609,12,6,96,92.4
"230",610,11,6,96,96.5
"231",611,10,6,96,96.4
"232",612,9,6,96,90.4
"233",613,8,6,96,91.1
"234",614,7,6,96,93.8
"235",615,6,6,96,93.8
"236",616,5,6,96,84.4
"237",617,4,6,96,63.7
"238",618,3,6,96,43.4
"239",619,2,6,96,37.5
"240",620,1,6,96,64.2
"241",101,20,1,97,69
"242",102,19,1,97,68.6
"243",103,18,1,97,67.5
"244",104,17,1,97,66.6
"245",105,16,1,97,67.5
"246",106,15,1,97,66.8
"247",107,14,1,97,69.9
"248",108,13,1,97,68.4
"249",109,12,1,97,66.9
"250",110,11,1,97,68.5
"251",111,10,1,97,67.9
"252",112,9,1,97,74.9
"253",113,8,1,97,73.2
"254",114,7,1,97,72.8
"255",115,6,1,97,70.8
"256",116,5,1,97,67.8
"257",117,4,1,97,50.7
"258",118,3,1,97,44.2
"259",119,2,1,97,59.2
"260",120,1,1,97,79.8
"261",201,20,2,97,65.9
"262",202,19,2,97,69.7
"263",203,18,2,97,72
"264",204,17,2,97,73.2
"265",205,16,2,97,72.9
"266",206,15,2,97,75.2
"267",207,14,2,97,72.6
"268",208,13,2,97,71.3
"269",209,12,2,97,70.2
"270",210,11,2,97,69.8
"271",211,10,2,97,76.6
"272",212,9,2,97,73.1
"273",213,8,2,97,73.5
"274",214,7,2,97,76.2
"275",215,6,2,97,73
"276",216,5,2,97,72
"277",217,4,2,97,73.2
"278",218,3,2,97,73.7
"279",219,2,2,97,73.5
"280",220,1,2,97,72.2
"281",301,20,3,97,64.7
"282",302,19,3,97,69.9
"283",303,18,3,97,67.6
"284",304,17,3,97,73.2
"285",305,16,3,97,78.3
"286",306,15,3,97,75.6
"287",307,14,3,97,77.3
"288",308,13,3,97,75.4
"289",309,12,3,97,71.4
"290",310,11,3,97,72.6
"291",311,10,3,97,74.1
"292",312,9,3,97,75.2
"293",313,8,3,97,74.6
"294",314,7,3,97,74.6
"295",315,6,3,97,73.4
"296",316,5,3,97,73.1
"297",317,4,3,97,74.3
"298",318,3,3,97,70.6
"299",319,2,3,97,73
"300",320,1,3,97,74.6
"301",401,20,4,97,69.2
"302",402,19,4,97,67
"303",403,18,4,97,68.8
"304",404,17,4,97,71.7
"305",405,16,4,97,72
"306",406,15,4,97,75.7
"307",407,14,4,97,74.3
"308",408,13,4,97,69.2
"309",409,12,4,97,72.3
"310",410,11,4,97,76.6
"311",411,10,4,97,79.3
"312",412,9,4,97,78
"313",413,8,4,97,79.8
"314",414,7,4,97,80.2
"315",415,6,4,97,80
"316",416,5,4,97,76.6
"317",417,4,4,97,76.7
"318",418,3,4,97,77.9
"319",419,2,4,97,80.2
"320",420,1,4,97,77.9
"321",501,20,5,97,69.6
"322",502,19,5,97,69.7
"323",503,18,5,97,68.3
"324",504,17,5,97,67.4
"325",505,16,5,97,72.4
"326",506,15,5,97,74.7
"327",507,14,5,97,74.4
"328",508,13,5,97,70.2
"329",509,12,5,97,73.5
"330",510,11,5,97,69.7
"331",511,10,5,97,69.2
"332",512,9,5,97,75.2
"333",513,8,5,97,75.8
"334",514,7,5,97,75.8
"335",515,6,5,97,74.2
"336",516,5,5,97,76.9
"337",517,4,5,97,75
"338",518,3,5,97,72.5
"339",519,2,5,97,73.2
"340",520,1,5,97,72
"341",601,20,6,97,66.2
"342",602,19,6,97,64.3
"343",603,18,6,97,67
"344",604,17,6,97,71.4
"345",605,16,6,97,72.4
"346",606,15,6,97,73.9
"347",607,14,6,97,71.1
"348",608,13,6,97,66.1
"349",609,12,6,97,69.3
"350",610,11,6,97,72.4
"351",611,10,6,97,74
"352",612,9,6,97,74.5
"353",613,8,6,97,73.9
"354",614,7,6,97,74
"355",615,6,6,97,71.6
"356",616,5,6,97,78.2
"357",617,4,6,97,66.4
"358",618,3,6,97,45.8
"359",619,2,6,97,40
"360",620,1,6,97,62.1
