"","loc","gen","yield"
"192","JM","G08",1.5
"193","SC","G08",4.8
"194","NB","G08",1.1
"195","PI","G08",4.7
"196","TC","G08",2
"197","PA","G08",2.2
"198","SR","G08",1
"199","AS","G08",3.5
"200","MM","G08",5.6
"201","EG","G09",8.6
"202","ES","G09",6.5
"203","KN","G09",2.3
"204","SG","G09",1.8
"205","TB","G09",5.2
"206","BJ","G09",3.8
"207","IL","G09",4.3
"208","MG","G09",11.2
"209","MS","G09",7.5
"210","AK","G09",5
"211","EB","G09",6.5
"212","SJ","G09",5.5
"213","CA","G09",2.7
"214","SE","G09",8.4
"215","SS","G09",5.8
"216","ID","G09",4.9
"217","JM","G09",4
"218","SC","G09",4.8
"219","NB","G09",2
"220","PI","G09",4.2
"221","TC","G09",3.6
"222","PA","G09",3
"223","SR","G09",1.3
"224","AS","G09",3.9
"225","MM","G09",6.4
"226","EG","G10",6.7
"227","ES","G10",5
"228","KN","G10",2.4
"229","SG","G10",1.9
"230","TB","G10",5
"231","BJ","G10",3
"232","IL","G10",3.5
"233","MG","G10",9.4
"234","MS","G10",7.3
"235","AK","G10",6.5
"236","EB","G10",6.4
"237","SJ","G10",6
"238","CA","G10",2.9
"239","SE","G10",7.3
"240","SS","G10",5.5
"241","ID","G10",4.5
"242","JM","G10",3.2
"243","SC","G10",3.9
"244","NB","G10",1.9
"245","PI","G10",4.1
"246","TC","G10",3
"247","PA","G10",3.1
"248","SR","G10",1.3
"249","AS","G10",3.8
"250","MM","G10",5.5
"251","EG","G11",7.9
"252","ES","G11",6.2
"253","KN","G11",2.1
"254","SG","G11",1.5
"255","TB","G11",6.1
"256","BJ","G11",3.8
"257","IL","G11",2.6
"258","MG","G11",8.6
"259","MS","G11",7.4
"260","AK","G11",6.5
"261","EB","G11",6.3
"262","SJ","G11",5.5
"263","CA","G11",3.1
"264","SE","G11",8.2
"265","SS","G11",4.9
"266","ID","G11",4.2
"267","JM","G11",4.6
"268","SC","G11",3.7
"269","NB","G11",1.9
"270","PI","G11",3.6
"271","TC","G11",2.4
"272","PA","G11",2
"273","SR","G11",1.4
"274","AS","G11",3.7
"275","MM","G11",4
"276","EG","G12",7.5
"277","ES","G12",5.5
"278","KN","G12",2.1
"279","SG","G12",1.6
"280","TB","G12",5.6
"281","BJ","G12",3.2
"282","IL","G12",3.3
"283","MG","G12",11.3
"284","MS","G12",7.1
"285","AK","G12",6.1
"286","EB","G12",7.3
"287","SJ","G12",6.5
"288","CA","G12",2.9
"289","SE","G12",8.6
"290","SS","G12",5.4
"291","ID","G12",4.7
"292","JM","G12",4.1
"293","SC","G12",4.8
"294","NB","G12",1.5
"295","PI","G12",3.9
"296","TC","G12",1.6
"297","PA","G12",3.1
"298","SR","G12",1.2
"299","AS","G12",3.9
"300","MM","G12",5.2
"301","EG","G13",8.6
"302","ES","G13",5.9
"303","KN","G13",1.7
"304","SG","G13",1.5
"305","TB","G13",5.5
"306","BJ","G13",2.4
"307","IL","G13",3.4
"308","MG","G13",10.8
"309","MS","G13",7.2
"310","AK","G13",5.3
"311","EB","G13",6.6
"312","SJ","G13",5.1
"313","CA","G13",2.9
"314","SE","G13",7.9
"315","SS","G13",4.9
"316","ID","G13",4.1
"317","JM","G13",4.4
"318","SC","G13",3
"319","NB","G13",1.1
"320","PI","G13",3.9
"321","TC","G13",1.1
"322","PA","G13",2.2
"323","SR","G13",1.1
"324","AS","G13",3.9
"325","MM","G13",3.6
"326","EG","G14",7.1
"327","ES","G14",6
"328","KN","G14",2
"329","SG","G14",2
"330","TB","G14",5.8
"331","BJ","G14",2.8
"332","IL","G14",3.3
"333","MG","G14",10.6
"334","MS","G14",7.5
"335","AK","G14",6.6
"336","EB","G14",7.9
"337","SJ","G14",5.6
"338","CA","G14",2.8
"339","SE","G14",8.4
"340","SS","G14",4.8
"341","ID","G14",5.4
"342","JM","G14",3.7
"343","SC","G14",4.8
"344","NB","G14",1.7
"345","PI","G14",4.1
"346","TC","G14",3
"347","PA","G14",2.3
"348","SR","G14",1.1
"349","AS","G14",3.9
"350","MM","G14",4.7
"351","EG","G15",8.5
"352","ES","G15",6.7
"353","KN","G15",2.2
"354","SG","G15",1.4
"355","TB","G15",6.9
"356","BJ","G15",2
"357","IL","G15",2.5
"358","MG","G15",11.3
"359","MS","G15",7.8
"360","AK","G15",6.2
"361","EB","G15",7.5
"362","SJ","G15",5.5
"363","CA","G15",3.7
"364","SE","G15",8.8
"365","SS","G15",5.4
"366","ID","G15",4.3
"367","JM","G15",3.9
"368","SC","G15",4.2
"369","NB","G15",1.3
"370","PI","G15",3.4
"371","TC","G15",1
"372","PA","G15",2
"373","SR","G15",1.2
"374","AS","G15",3.7
"375","MM","G15",5.2
"376","EG","G16",7.7
"377","ES","G16",5.5
"378","KN","G16",2.6
"379","SG","G16",1.2
"380","TB","G16",6.1
"381","BJ","G16",3.3
"382","IL","G16",3.9
"383","MG","G16",10.7
"384","MS","G16",6.9
"385","AK","G16",5.4
"386","EB","G16",5.9
"387","SJ","G16",4.6
"388","CA","G16",2.7
"389","SE","G16",7.8
"390","SS","G16",5.5
"391","ID","G16",5.1
"392","JM","G16",4.3
"393","SC","G16",4
"394","NB","G16",2.1
"395","PI","G16",3.4
"396","TC","G16",3.5
"397","PA","G16",2.7
"398","SR","G16",1.5
"399","AS","G16",4
"400","MM","G16",4.5
"401","EG","G17",9.1
"402","ES","G17",5
"403","KN","G17",2.3
"404","SG","G17",1.6
"405","TB","G17",6.6
"406","BJ","G17",2.4
"407","IL","G17",2.9
"408","MG","G17",10.8
"409","MS","G17",7.4
"410","AK","G17",5.2
"411","EB","G17",6.1
"412","SJ","G17",5.8
"413","CA","G17",3.6
"414","SE","G17",7.6
"415","SS","G17",5.4
"416","ID","G17",4.3
"417","JM","G17",3.5
"418","SC","G17",4.8
"419","NB","G17",1.7
"420","PI","G17",3.5
"421","TC","G17",2.4
"422","PA","G17",2.2
"423","SR","G17",1.5
"424","AS","G17",3.5
"425","MM","G17",6
"426","EG","G18",7.9
"427","ES","G18",5.8
"428","KN","G18",2.7
"429","SG","G18",1.4
"430","TB","G18",5.3
"431","BJ","G18",3.1
"432","IL","G18",2.9
"433","MG","G18",11.3
"434","MS","G18",7.1
"435","AK","G18",5.6
"436","EB","G18",6.2
"437","SJ","G18",6.8
"438","CA","G18",3.1
"439","SE","G18",8.4
"440","SS","G18",5.1
"441","ID","G18",5.3
"442","JM","G18",3.9
"443","SC","G18",4.3
"444","NB","G18",2.1
"445","PI","G18",3.7
"446","TC","G18",2.4
"447","PA","G18",2.4
"448","SR","G18",1
"449","AS","G18",3.5
"450","MM","G18",5.2
