"","row","col","yield"
"93",21,4,1.3
"94",22,4,1.4
"95",23,4,1.5
"96",24,4,1.3
"97",1,5,1.8
"98",2,5,1.6
"99",3,5,1.6
"100",4,5,1.3
"101",5,5,1.8
"102",6,5,1.5
"103",7,5,1.6
"104",8,5,1.7
"105",9,5,1.4
"106",10,5,1.6
"107",11,5,1.6
"108",12,5,1.2
"109",13,5,1.6
"110",14,5,1.6
"111",15,5,1.4
"112",16,5,1.3
"113",17,5,1.2
"114",18,5,1.2
"115",19,5,1.3
"116",20,5,1
"117",21,5,0.9
"118",22,5,1.3
"119",23,5,1.4
"120",24,5,1
"121",1,6,2
"122",2,6,1.5
"123",3,6,1.5
"124",4,6,1.6
"125",5,6,1.5
"126",6,6,1.4
"127",7,6,1.4
"128",8,6,1.5
"129",9,6,1.9
"130",10,6,1.7
"131",11,6,1.3
"132",12,6,1.3
"133",13,6,1.6
"134",14,6,1.5
"135",15,6,1.3
"136",16,6,1.5
"137",17,6,1.1
"138",18,6,1.4
"139",19,6,1.3
"140",20,6,1.5
"141",21,6,1.3
"142",22,6,1.3
"143",23,6,1.5
"144",24,6,1.3
"145",1,7,1.9
"146",2,7,1.8
"147",3,7,1.5
"148",4,7,1.8
"149",5,7,1.6
"150",6,7,1.5
"151",7,7,1.6
"152",8,7,1.6
"153",9,7,1.6
"154",10,7,1.6
"155",11,7,1.4
"156",12,7,1.7
"157",13,7,1.5
"158",14,7,1.5
"159",15,7,1.3
"160",16,7,1.4
"161",17,7,1.1
"162",18,7,1.1
"163",19,7,1.3
"164",20,7,1.2
"165",21,7,1.1
"166",22,7,1.3
"167",23,7,1.7
"168",24,7,1.3
"169",1,8,2
"170",2,8,1.9
"171",3,8,1.6
"172",4,8,1.4
"173",5,8,1.5
"174",6,8,1.3
"175",7,8,1.4
"176",8,8,1.7
"177",9,8,1.2
"178",10,8,1.6
"179",11,8,1.3
"180",12,8,1.7
"181",13,8,1.7
"182",14,8,2.1
"183",15,8,1.6
"184",16,8,1.6
"185",17,8,1.4
"186",18,8,1.5
"187",19,8,1.5
"188",20,8,1.5
"189",21,8,1.5
"190",22,8,1.5
"191",23,8,1.7
"192",24,8,1.3
"193",1,9,2
"194",2,9,1.8
"195",3,9,1.7
"196",4,9,1.6
"197",5,9,1.6
"198",6,9,1.3
"199",7,9,1.6
"200",8,9,1.4
"201",9,9,1.6
"202",10,9,1.5
"203",11,9,1.6
"204",12,9,1.6
"205",13,9,1.6
"206",14,9,1.6
"207",15,9,1.4
"208",16,9,1.5
"209",17,9,1.5
"210",18,9,1.2
"211",19,9,1.4
"212",20,9,1.3
"213",21,9,1.2
"214",22,9,1.3
"215",23,9,1.5
"216",24,9,1.3
"217",1,10,1.8
"218",2,10,2.1
"219",3,10,1.7
"220",4,10,1.5
"221",5,10,1.3
"222",6,10,1.3
"223",7,10,1.3
"224",8,10,1.4
"225",9,10,1.4
"226",10,10,1.8
"227",11,10,1.5
"228",12,10,1.6
"229",13,10,1.6
"230",14,10,1.9
"231",15,10,1.3
"232",16,10,1.4
"233",17,10,1.5
"234",18,10,1.5
"235",19,10,1.5
"236",20,10,1.3
"237",21,10,1.3
"238",22,10,1.4
"239",23,10,1.5
"240",24,10,1.3
"241",1,11,1.8
"242",2,11,1.9
"243",3,11,1.6
"244",4,11,1.6
"245",5,11,1.5
"246",6,11,1.4
"247",7,11,1.5
"248",8,11,1.4
"249",9,11,1.5
"250",10,11,1.7
"251",11,11,1.4
"252",12,11,1.4
"253",13,11,1.6
"254",14,11,1.6
"255",15,11,1.2
"256",16,11,1.2
"257",17,11,1.3
"258",18,11,1.2
"259",19,11,1.2
"260",20,11,1.4
"261",21,11,1.3
"262",22,11,1.4
"263",23,11,1.4
"264",24,11,1.4
"265",1,12,1.9
"266",2,12,1.7
"267",3,12,1.5
"268",4,12,1.2
"269",5,12,1.3
"270",6,12,1.3
"271",7,12,1.4
"272",8,12,1.5
"273",9,12,1.5
"274",10,12,1.5
"275",11,12,1.7
"276",12,12,1.6
"277",13,12,1.8
"278",14,12,1.9
"279",15,12,1.3
"280",16,12,1.5
"281",17,12,1.6
"282",18,12,1.4
"283",19,12,1.7
"284",20,12,1.4
"285",21,12,1.3
"286",22,12,1.5
"287",23,12,1.4
"288",24,12,1.3
"289",1,13,1.6
"290",2,13,1.7
"291",3,13,1.2
"292",4,13,1.5
"293",5,13,1.3
"294",6,13,1
"295",7,13,1.3
"296",8,13,1.2
"297",9,13,1.1
"298",10,13,1.1
"299",11,13,1.3
"300",12,13,1.3
"301",13,13,1.6
"302",14,13,1.4
"303",15,13,1.3
"304",16,13,1.6
"305",17,13,1.3
"306",18,13,1.4
"307",19,13,1.7
"308",20,13,1.7
"309",21,13,1.5
"310",22,13,1.4
"311",23,13,1.3
"312",24,13,1.4
"313",1,14,1.8
"314",2,14,1.9
"315",3,14,1.6
"316",4,14,1.5
"317",5,14,1.7
"318",6,14,1.6
"319",7,14,1.5
"320",8,14,1.5
"321",9,14,1.4
"322",10,14,1.6
"323",11,14,1.7
"324",12,14,1.8
"325",13,14,1.6
"326",14,14,1.7
"327",15,14,1.6
"328",16,14,1.6
"329",17,14,1.4
"330",18,14,1.5
"331",19,14,1.5
"332",20,14,1.6
"333",21,14,1.5
"334",22,14,1.6
"335",23,14,1.4
"336",24,14,1.4
"337",1,15,1.8
"338",2,15,1.8
"339",3,15,1.4
"340",4,15,1.8
"341",5,15,1.9
"342",6,15,1.8
"343",7,15,1.2
"344",8,15,1.4
"345",9,15,1.4
"346",10,15,1.6
"347",11,15,1.5
"348",12,15,1.4
"349",13,15,1.6
"350",14,15,1.6
"351",15,15,1.4
"352",16,15,1.5
"353",17,15,1.4
"354",18,15,1.6
"355",19,15,1.6
"356",20,15,2
"357",21,15,1.5
"358",22,15,1.8
"359",23,15,1.6
"360",24,15,1.7
"361",1,16,1.8
"362",2,16,1.7
"363",3,16,1.8
"364",4,16,1.8
"365",5,16,1.5
"366",6,16,1.6
"367",7,16,1.7
"368",8,16,1.3
"369",9,16,1.7
"370",10,16,1.4
"371",11,16,1.8
"372",12,16,1.6
"373",13,16,2
"374",14,16,1.7
"375",15,16,1.3
"376",16,16,1.6
"377",17,16,1.5
"378",18,16,1.6
"379",19,16,1.8
"380",20,16,1.3
"381",21,16,1.4
"382",22,16,1.7
"383",23,16,1.4
"384",24,16,1.6
"385",1,17,2
"386",2,17,1.8
"387",3,17,1.7
"388",4,17,1.9
"389",5,17,1.7
"390",6,17,1.8
"391",7,17,1.6
"392",8,17,1.6
"393",9,17,1.5
"394",10,17,1.5
"395",11,17,1.8
"396",12,17,1.5
"397",13,17,1.9
"398",14,17,1.7
"399",15,17,1.5
"400",16,17,1.5
"401",17,17,1.6
"402",18,17,1.9
"403",19,17,1.7
"404",20,17,2
"405",21,17,1.7
"406",22,17,1.8
"407",23,17,1.4
"408",24,17,1.6
"409",1,18,2
"410",2,18,1.7
"411",3,18,1.5
"412",4,18,1.9
"413",5,18,1.4
"414",6,18,1.5
"415",7,18,1.5
"416",8,18,1.4
"417",9,18,1.7
"418",10,18,1.4
"419",11,18,1.5
"420",12,18,1.8
"421",13,18,2.2
"422",14,18,1.7
"423",15,18,1.6
"424",16,18,1.6
"425",17,18,1.6
"426",18,18,1.8
"427",19,18,1.8
"428",20,18,1.9
"429",21,18,1.8
"430",22,18,1.7
"431",23,18,1.8
"432",24,18,1.5
"433",1,19,1.9
"434",2,19,1.7
"435",3,19,1.4
"436",4,19,1.5
"437",5,19,1.5
"438",6,19,1.7
"439",7,19,1.6
"440",8,19,1.4
"441",9,19,1.6
"442",10,19,1.6
"443",11,19,1.4
"444",12,19,1.8
"445",13,19,1.7
"446",14,19,1.7
"447",15,19,1.5
"448",16,19,1.6
"449",17,19,1.4
"450",18,19,1.5
"451",19,19,1.9
"452",20,19,1.8
"453",21,19,1.7
"454",22,19,1.8
"455",23,19,1.5
"456",24,19,1.7
"457",1,20,2
"458",2,20,1.9
"459",3,20,1.7
"460",4,20,1.7
"461",5,20,1.6
"462",6,20,1.6
"463",7,20,1.7
"464",8,20,1.9
"465",9,20,1.7
"466",10,20,1.7
"467",11,20,2
"468",12,20,2
"469",13,20,1.9
"470",14,20,2.1
"471",15,20,1.6
"472",16,20,1.8
"473",17,20,1.9
"474",18,20,1.9
"475",19,20,2
"476",20,20,1.8
"477",21,20,1.9
"478",22,20,1.8
"479",23,20,1.6
"480",24,20,1.7
"481",1,21,2
"482",2,21,1.8
"483",3,21,1.6
"484",4,21,1.8
"485",5,21,1.8
"486",6,21,1.6
"487",7,21,1.6
"488",8,21,1.8
"489",9,21,1.5
"490",10,21,1.2
"491",11,21,1.9
"492",12,21,1.7
"493",13,21,1.6
"494",14,21,1.6
"495",15,21,1.3
"496",16,21,1.3
"497",17,21,1.2
"498",18,21,1.7
"499",19,21,2
"500",20,21,1.6
"501",21,21,1.7
"502",22,21,1.8
"503",23,21,1.3
"504",24,21,1.5
"505",1,22,2
"506",2,22,2
"507",3,22,2
"508",4,22,1.9
"509",5,22,1.8
"510",6,22,1.9
"511",7,22,2
"512",8,22,1.9
"513",9,22,1.7
"514",10,22,2
"515",11,22,1.7
"516",12,22,2
"517",13,22,1.8
"518",14,22,2.2
"519",15,22,2
"520",16,22,1.8
"521",17,22,1.9
"522",18,22,2
"523",19,22,2.2
"524",20,22,2
"525",21,22,1.9
"526",22,22,1.8
"527",23,22,1.7
"528",24,22,1.4
"529",1,23,1.8
"530",2,23,2
"531",3,23,1.8
"532",4,23,2
"533",5,23,1.7
"534",6,23,1.9
"535",7,23,2
"536",8,23,1.9
"537",9,23,2
"538",10,23,2
"539",11,23,2
"540",12,23,2.6
"541",13,23,2.1
"542",14,23,2.1
"543",15,23,2
"544",16,23,2
"545",17,23,2.1
"546",18,23,2.3
"547",19,23,2.1
"548",20,23,2
"549",21,23,1.9
"550",22,23,1.9
"551",23,23,1.7
"552",24,23,1.7
"553",1,24,2
"554",2,24,2.1
"555",3,24,2.1
"556",4,24,2
"557",5,24,1.6
"558",6,24,2
"559",7,24,1.9
"560",8,24,2
"561",9,24,2
"562",10,24,1.9
"563",11,24,2
"564",12,24,2
"565",13,24,2
"566",14,24,1.9
"567",15,24,1.9
"568",16,24,1.9
"569",17,24,2
"570",18,24,1.7
"571",19,24,1.9
"572",20,24,2
"573",21,24,1.9
"574",22,24,1.8
"575",23,24,1.7
"576",24,24,2
"577",1,25,1.8
"578",2,25,1.9
"579",3,25,1.8
"580",4,25,2
"581",5,25,1.9
"582",6,25,2
"583",7,25,2
"584",8,25,1.8
"585",9,25,1.9
"586",10,25,1.8
"587",11,25,1.9
"588",12,25,2
"589",13,25,2
"590",14,25,1.9
"591",15,25,1.8
"592",16,25,2.2
"593",17,25,2.2
"594",18,25,2
"595",19,25,2.1
"596",20,25,1.8
"597",21,25,1.8
"598",22,25,1.8
"599",23,25,1.6
"600",24,25,1.5
"601",1,26,1.8
"602",2,26,1.9
"603",3,26,1.9
"604",4,26,1.4
"605",5,26,1.5
"606",6,26,1.5
"607",7,26,1.1
"608",8,26,1.6
"609",9,26,1.6
"610",10,26,1.7
"611",11,26,1.7
"612",12,26,1.5
"613",13,26,1.6
"614",14,26,1.6
"615",15,26,1.3
"616",16,26,1.9
"617",17,26,1.6
"618",18,26,1.9
"619",19,26,1.8
"620",20,26,1.5
"621",21,26,1.9
"622",22,26,1.7
"623",23,26,1.6
"624",24,26,1.3
"625",1,27,2
"626",2,27,1.9
"627",3,27,1.8
"628",4,27,1.6
"629",5,27,1.5
"630",6,27,1.7
"631",7,27,1.8
"632",8,27,1.7
"633",9,27,1.6
"634",10,27,1.7
"635",11,27,1.6
"636",12,27,1.9
"637",13,27,1.6
"638",14,27,1.6
"639",15,27,2
"640",16,27,1.2
"641",17,27,2.1
"642",18,27,1.6
"643",19,27,1.7
"644",20,27,1.6
"645",21,27,1.8
"646",22,27,1.7
"647",23,27,1.8
"648",24,27,1.7
"649",1,28,2.1
"650",2,28,1.9
"651",3,28,2
"652",4,28,1.8
"653",5,28,1.5
"654",6,28,1.7
"655",7,28,1.9
"656",8,28,1.6
"657",9,28,1.8
"658",10,28,1.6
"659",11,28,1.9
"660",12,28,1.8
"661",13,28,1.6
"662",14,28,1.5
"663",15,28,1.9
"664",16,28,2.1
"665",17,28,2.2
"666",18,28,2
"667",19,28,2.3
"668",20,28,1.7
"669",21,28,2
"670",22,28,1.8
"671",23,28,1.7
"672",24,28,1.3
"673",1,29,1.9
"674",2,29,1.7
"675",3,29,1.8
"676",4,29,1.5
"677",5,29,1.8
"678",6,29,1.8
"679",7,29,1.7
"680",8,29,1.6
"681",9,29,1.7
"682",10,29,1.8
"683",11,29,1.6
"684",12,29,1.8
"685",13,29,1.8
"686",14,29,1.5
"687",15,29,1.9
"688",16,29,1.9
"689",17,29,1.8
"690",18,29,1.8
"691",19,29,1.6
"692",20,29,1.4
"693",21,29,1.8
"694",22,29,1.6
"695",23,29,1.6
"696",24,29,1.7
"697",1,30,1.9
"698",2,30,1.8
"699",3,30,1.9
"700",4,30,1.7
"701",5,30,1.6
"702",6,30,1.3
"703",7,30,1.5
"704",8,30,1.9
"705",9,30,1.9
"706",10,30,1.7
"707",11,30,1.8
"708",12,30,2
"709",13,30,1.7
"710",14,30,1.8
"711",15,30,1.9
"712",16,30,2
"713",17,30,1.9
"714",18,30,1.9
"715",19,30,2
"716",20,30,1.8
"717",21,30,1.9
"718",22,30,1.8
"719",23,30,1.6
"720",24,30,1.8
"721",1,31,1.7
"722",2,31,1.9
"723",3,31,1.9
"724",4,31,2
"725",5,31,1.8
"726",6,31,1.9
"727",7,31,2
"728",8,31,2.1
"729",9,31,1.8
"730",10,31,2.2
"731",11,31,1.9
"732",12,31,1.9
"733",13,31,1.9
"734",14,31,2
"735",15,31,2.1
"736",16,31,2
"737",17,31,2
"738",18,31,1.9
"739",19,31,1.8
"740",20,31,1.8
"741",21,31,1.8
"742",22,31,1.7
"743",23,31,1.8
"744",24,31,2
"745",1,32,1.6
"746",2,32,1.9
"747",3,32,2
"748",4,32,1.8
"749",5,32,2
"750",6,32,2
"751",7,32,1.9
"752",8,32,2.1
"753",9,32,2
"754",10,32,1.8
"755",11,32,2.3
"756",12,32,2.1
"757",13,32,2.1
"758",14,32,2
"759",15,32,2
"760",16,32,2
"761",17,32,2.3
"762",18,32,2.1
"763",19,32,2.4
"764",20,32,2
"765",21,32,2.1
"766",22,32,1.9
"767",23,32,1.8
"768",24,32,1.9
"769",1,33,1.8
"770",2,33,1.9
"771",3,33,1.6
"772",4,33,2
"773",5,33,1.8
"774",6,33,1.8
"775",7,33,1.9
"776",8,33,2.1
"777",9,33,2.1
"778",10,33,2.1
"779",11,33,2
"780",12,33,2
"781",13,33,1.7
"782",14,33,1.9
"783",15,33,2.2
"784",16,33,1.8
"785",17,33,2.1
"786",18,33,1.9
"787",19,33,1.9
"788",20,33,2
"789",21,33,1.8
"790",22,33,2.1
"791",23,33,1.8
"792",24,33,2
"793",1,34,1.8
"794",2,34,1.8
"795",3,34,2
"796",4,34,1.8
"797",5,34,1.8
"798",6,34,1.9
"799",7,34,1.5
"800",8,34,1.7
"801",9,34,1.7
"802",10,34,1.6
"803",11,34,1.5
"804",12,34,1.8
"805",13,34,1.7
"806",14,34,2
"807",15,34,2
"808",16,34,1.9
"809",17,34,2
"810",18,34,1.8
"811",19,34,2
"812",20,34,1.9
"813",21,34,2.1
"814",22,34,2
"815",23,34,1.9
"816",24,34,1.7
"817",1,35,1.6
"818",2,35,1.7
"819",3,35,1.9
"820",4,35,1.8
"821",5,35,1.9
"822",6,35,1.7
"823",7,35,1.9
"824",8,35,1.7
"825",9,35,2
"826",10,35,1.5
"827",11,35,1.7
"828",12,35,1.7
"829",13,35,1.6
"830",14,35,1.9
"831",15,35,2
"832",16,35,1.9
"833",17,35,2.1
"834",18,35,1.9
"835",19,35,1.9
"836",20,35,1.9
"837",21,35,2
"838",22,35,1.9
"839",23,35,1.7
"840",24,35,1.8
"841",1,36,1.8
"842",2,36,2
"843",3,36,1.9
"844",4,36,1.9
"845",5,36,1.7
"846",6,36,1.7
"847",7,36,1.9
"848",8,36,2
"849",9,36,2.1
"850",10,36,1.7
"851",11,36,2
"852",12,36,1.9
"853",13,36,1.9
"854",14,36,2.2
"855",15,36,2.1
"856",16,36,2.1
"857",17,36,1.9
"858",18,36,2
"859",19,36,2.1
"860",20,36,2
"861",21,36,1.9
"862",22,36,1.7
"863",23,36,1.5
"864",24,36,1.7
"865",1,37,1.8
"866",2,37,1.8
"867",3,37,1.7
"868",4,37,1.7
"869",5,37,1.7
"870",6,37,2
"871",7,37,2.1
"872",8,37,2.1
"873",9,37,2
"874",10,37,1.9
"875",11,37,1.8
"876",12,37,2.2
"877",13,37,2.1
"878",14,37,2
"879",15,37,2.1
"880",16,37,2.1
"881",17,37,2.3
"882",18,37,2.3
"883",19,37,2
"884",20,37,2.1
"885",21,37,2.2
"886",22,37,1.7
"887",23,37,1.4
"888",24,37,1.3
"889",1,38,1.6
"890",2,38,1.7
"891",3,38,1.8
"892",4,38,2
"893",5,38,1.7
"894",6,38,1.8
"895",7,38,2.1
"896",8,38,2
"897",9,38,2.2
"898",10,38,2
"899",11,38,2.1
"900",12,38,2.5
"901",13,38,2
"902",14,38,1.9
"903",15,38,2
"904",16,38,2.1
"905",17,38,2.2
"906",18,38,2.2
"907",19,38,1.8
"908",20,38,2
"909",21,38,1.9
"910",22,38,1.9
"911",23,38,1.3
"912",24,38,1.3
"913",1,39,1.5
"914",2,39,1.7
"915",3,39,1.9
"916",4,39,1.7
"917",5,39,1.7
"918",6,39,1.8
"919",7,39,2
"920",8,39,1.9
"921",9,39,2.2
"922",10,39,2
"923",11,39,1.9
"924",12,39,2.3
"925",13,39,2.1
"926",14,39,2.2
"927",15,39,2.1
"928",16,39,2
"929",17,39,2.4
"930",18,39,2.1
"931",19,39,1.8
"932",20,39,1.9
"933",21,39,1.9
"934",22,39,1.7
"935",23,39,1.3
"936",24,39,1.7
"937",1,40,1.6
"938",2,40,1.6
"939",3,40,2
"940",4,40,1.8
"941",5,40,1.5
"942",6,40,1.5
"943",7,40,1.6
"944",8,40,1.9
"945",9,40,1.8
"946",10,40,1.8
"947",11,40,1.8
"948",12,40,2
"949",13,40,2
"950",14,40,2.2
"951",15,40,2
"952",16,40,2.1
"953",17,40,2.2
"954",18,40,2.1
"955",19,40,1.9
"956",20,40,1.6
"957",21,40,1.8
"958",22,40,1.9
"959",23,40,1.4
"960",24,40,1.5
"961",1,41,1.6
"962",2,41,1.8
"963",3,41,1.8
"964",4,41,1.9
"965",5,41,1.7
"966",6,41,1.8
"967",7,41,2
"968",8,41,2
"969",9,41,1.9
"970",10,41,1.9
"971",11,41,1.8
"972",12,41,2
"973",13,41,2
"974",14,41,2
"975",15,41,2.2
"976",16,41,2
"977",17,41,2.4
"978",18,41,2.1
"979",19,41,1.5
"980",20,41,2.6
"981",21,41,1.9
"982",22,41,1.8
"983",23,41,1.5
"984",24,41,1.7
"985",1,42,1.6
"986",2,42,1.6
"987",3,42,1.9
"988",4,42,1.6
"989",5,42,1.5
"990",6,42,1.7
"991",7,42,1.7
"992",8,42,1.4
"993",9,42,1.4
"994",10,42,1.6
"995",11,42,1.7
"996",12,42,1.8
"997",13,42,1.9
"998",14,42,2.2
"999",15,42,2.2
"1000",16,42,2.2
"1001",17,42,2
"1002",18,42,1.8
"1003",19,42,2
"1004",20,42,1.7
"1005",21,42,1.9
"1006",22,42,1.7
"1007",23,42,1.4
"1008",24,42,1.5
