"","yield","x","y"
"477",875,14,28
"478",823,14,27
"479",755,14,26
"480",743,14,25
"481",682,14,24
"482",767,14,23
"483",814,14,22
"484",718,14,21
"485",638,14,20
"486",727,14,19
"487",625,14,18
"488",769,14,17
"489",751,14,16
"490",696,14,15
"491",697,14,14
"492",704,14,13
"493",695,14,12
"494",726,14,11
"495",637,14,10
"496",595,14,9
"497",654,14,8
"498",651,14,7
"499",665,14,6
"500",654,14,5
"501",636,14,4
"502",636,14,3
"503",706,14,2
"504",653,14,1
"505",943,15,36
"506",775,15,35
"507",566,15,34
"508",836,15,33
"509",730,15,32
"510",819,15,31
"511",753,15,30
"512",739,15,29
"513",659,15,28
"514",724,15,27
"515",730,15,26
"516",728,15,25
"517",694,15,24
"518",648,15,23
"519",718,15,22
"520",694,15,21
"521",754,15,20
"522",767,15,19
"523",623,15,18
"524",751,15,17
"525",701,15,16
"526",717,15,15
"527",731,15,14
"528",648,15,13
"529",681,15,12
"530",669,15,11
"531",590,15,10
"532",563,15,9
"533",640,15,8
"534",676,15,7
"535",557,15,6
"536",585,15,5
"537",665,15,4
"538",651,15,3
"539",725,15,2
"540",680,15,1
"541",894,16,36
"542",846,16,35
"543",893,16,34
"544",778,16,33
"545",832,16,32
"546",699,16,31
"547",720,16,30
"548",733,16,29
"549",661,16,28
"550",750,16,27
"551",638,16,26
"552",692,16,25
"553",675,16,24
"554",715,16,23
"555",721,16,22
"556",704,16,21
"557",767,16,20
"558",738,16,19
"559",699,16,18
"560",648,16,17
"561",665,16,16
"562",732,16,15
"563",661,16,14
"564",605,16,13
"565",716,16,12
"566",766,16,11
"567",640,16,10
"568",634,16,9
"569",718,16,8
"570",728,16,7
"571",734,16,6
"572",674,16,5
"573",731,16,4
"574",684,16,3
"575",738,16,2
"576",696,16,1
"577",968,17,36
"578",947,17,35
"579",914,17,34
"580",923,17,33
"581",813,17,32
"582",670,17,31
"583",751,17,30
"584",783,17,29
"585",759,17,28
"586",764,17,27
"587",724,17,26
"588",748,17,25
"589",709,17,24
"590",655,17,23
"591",708,17,22
"592",915,17,21
"593",763,17,20
"594",659,17,19
"595",662,17,18
"596",680,17,17
"597",603,17,16
"598",712,17,15
"599",627,17,14
"600",585,17,13
"601",626,17,12
"602",709,17,11
"603",658,17,10
"604",666,17,9
"605",667,17,8
"606",547,17,7
"607",674,17,6
"608",608,17,5
"609",753,17,4
"610",584,17,3
"611",669,17,2
"612",633,17,1
"613",917,18,36
"614",965,18,35
"615",861,18,34
"616",949,18,33
"617",914,18,32
"618",934,18,31
"619",894,18,30
"620",786,18,29
"621",767,18,28
"622",764,18,27
"623",734,18,26
"624",671,18,25
"625",720,18,24
"626",665,18,23
"627",722,18,22
"628",705,18,21
"629",685,18,20
"630",695,18,19
"631",613,18,18
"632",696,18,17
"633",680,18,16
"634",679,18,15
"635",644,18,14
"636",651,18,13
"637",637,18,12
"638",645,18,11
"639",609,18,10
"640",644,18,9
"641",649,18,8
"642",682,18,7
"643",727,18,6
"644",612,18,5
"645",640,18,4
"646",622,18,3
"647",636,18,2
"648",660,18,1
