"","row","col","oats","wheat"
"127",29,1,1601,19.7
"128",29,2,1459,12.7
"129",29,3,1576,16.4
"130",29,4,1693,13.4
"131",29,5,1464,13.7
"132",29,6,1413,11.6
"133",3,1,1907,15
"134",3,2,2096,15.3
"135",3,3,1816,11.5
"136",3,4,1851,10.6
"137",3,5,1882,8.9
"138",3,6,2127,11
"139",30,1,1668,17.3
"140",30,2,1907,11.8
"141",30,3,1795,14.4
"142",30,4,1729,18
"143",30,5,1673,10.7
"144",30,6,1678,16.9
"145",31,1,2632,26.7
"146",31,2,1943,18.6
"147",31,3,2122,17.3
"148",31,4,1683,16.1
"149",31,5,1673,13.9
"150",31,6,1836,15.8
"151",32,1,2433,26.5
"152",32,2,2224,21
"153",32,3,1897,18.5
"154",32,4,1800,17.2
"155",32,5,1744,12.6
"156",32,6,1811,15.2
"157",33,1,2540,26.1
"158",33,2,2050,17.2
"159",33,3,1749,14.9
"160",33,4,1703,16.6
"161",33,5,1754,18.1
"162",33,6,1836,16.9
"163",34,1,1790,21.6
"164",34,2,1734,21.1
"165",34,3,1612,16.5
"166",34,4,1821,18
"167",34,5,1693,16.1
"168",34,6,2132,15.7
"169",35,1,2040,20.8
"170",35,2,1989,19.8
"171",35,3,1663,17
"172",35,4,1550,16.5
"173",35,5,1535,14.4
"174",35,6,1800,20.7
"175",36,1,2142,17.2
"176",36,2,2142,20.3
"177",36,3,1816,21.7
"178",36,4,1882,19.7
"179",36,5,1612,19.7
"180",36,6,1765,20.9
"181",37,1,2015,18
"182",37,2,2137,15.9
"183",37,3,1999,18.4
"184",37,4,2009,25.5
"185",37,5,1617,13.2
"186",37,6,1913,16.3
"187",38,1,1984,9.9
"188",38,2,2066,16.5
"189",38,3,2280,24
"190",38,4,2086,30.6
"191",38,5,1418,13.3
"192",38,6,1525,15.4
"193",39,1,1964,14.7
"194",39,2,2040,17.5
"195",39,3,2198,20.3
"196",39,4,2458,28.2
"197",39,5,1658,16.5
"198",39,6,1688,18.6
"199",4,1,1831,12.5
"200",4,2,2045,13.2
"201",4,3,1780,8.6
"202",4,4,1964,10.3
"203",4,5,1729,7.8
"204",4,6,2290,14.4
"205",40,1,2025,15.4
"206",40,2,1907,14.2
"207",40,3,2372,24.4
"208",40,4,1918,23.5
"209",40,5,1142,14.3
"210",40,6,1566,18.8
"211",41,1,2208,16.1
"212",41,2,2224,10.5
"213",41,3,2448,20.9
"214",41,4,1795,17.5
"215",41,5,1209,12.9
"216",41,6,1285,12.3
"217",42,1,2015,14.8
"218",42,2,1530,15.3
"219",42,3,1795,17.5
"220",42,4,1714,16.5
"221",42,5,1515,14.2
"222",42,6,1576,19.9
"223",43,1,1933,14.9
"224",43,2,1632,11.9
"225",43,3,1081,11.1
"226",43,4,1811,17.2
"227",43,5,1214,12.4
"228",43,6,1714,12
"229",44,1,1872,11.6
"230",44,2,1724,13.5
"231",44,3,1311,10.5
"232",44,4,2091,12
"233",44,5,1703,16
"234",44,6,1948,15.2
"235",45,1,1698,15.2
"236",45,2,1678,10.5
"237",45,3,1596,12.6
"238",45,4,1948,13.9
"239",45,5,2071,12.7
"240",45,6,1693,12.8
"241",5,1,1851,14.3
"242",5,2,2377,10.6
"243",5,3,2550,14.3
"244",5,4,2601,13.1
"245",5,5,2229,7.9
"246",5,6,2642,13.6
"247",6,1,1918,17.3
"248",6,2,2137,11.8
"249",6,3,2764,14.2
"250",6,4,2836,16
"251",6,5,2157,11.7
"252",6,6,2315,11.5
"253",7,1,2091,15.5
"254",7,2,2310,17.4
"255",7,3,2780,22
"256",7,4,2723,15.1
"257",7,5,2188,10
"258",7,6,1989,11.4
"259",8,1,2208,13.4
"260",8,2,2178,17.2
"261",8,3,2377,13.6
"262",8,4,2275,12.3
"263",8,5,2280,14.4
"264",8,6,1958,12.2
"265",9,1,1913,19.1
"266",9,2,1902,19.1
"267",9,3,2224,12.7
"268",9,4,2234,10.4
"269",9,5,2071,11.5
"270",9,6,1913,12.6
