"","id","state","county","population","housingUnits","totalArea","waterArea","landArea"
"44","0100000US","Alabama","Limestone County","82782","34977",607.19,47.25,559.94
"45","0100000US","Alabama","Lowndes County","11299","5140",725.07,9.16,715.91
"46","0100000US","Alabama","Macon County","21452","10259",613.21,4.32,608.89
"47","0100000US","Alabama","Madison County","334811","146447",812.7,11.11,801.59
"48","0100000US","Alabama","Marengo County","21027","10237",982.67,5.79,976.88
"49","0100000US","Alabama","Marion County","30776","14737",743.57,1.28,742.29
"50","0100000US","Alabama","Marshall County","93019","40342",623.18,57.34,565.84
"51","0100000US","Alabama","Mobile County","412992(r38160)","178196(r14961)",1644.01,414.58,1229.44
"52","0100000US","Alabama","Monroe County","23068","11333",1034.42,8.74,1025.67
"53","0100000US","Alabama","Montgomery County","229363","101641",799.91,15.66,784.25
"54","0100000US","Alabama","Morgan County","119490","51193",599.05,19.72,579.34
"55","0100000US","Alabama","Perry County","10591","4737",723.88,4.22,719.66
"56","0100000US","Alabama","Pickens County","19746","9483",890.13,8.72,881.41
"57","0100000US","Alabama","Pike County","32899","15267",673.01,0.91,672.09
"58","0100000US","Alabama","Randolph County","22913","11982",584.13,3.59,580.55
"59","0100000US","Alabama","Russell County","52947","24595",647.19,6.05,641.14
"60","0100000US","Alabama","St. Clair County","83593","35541",653.64,21.74,631.9
"61","0100000US","Alabama","Shelby County","195085","80970",809.53,24.59,784.93
"62","0100000US","Alabama","Sumter County","13763","6786",913.32,9.43,903.89
"63","0100000US","Alabama","Talladega County","82291","37088",760.31,23.53,736.78
"64","0100000US","Alabama","Tallapoosa County","41616","22111",766.25,49.73,716.52
"65","0100000US","Alabama","Tuscaloosa County","194656","84872",1351.25,29.5,1321.75
"66","0100000US","Alabama","Walker County","67023","30816",805.19,14,791.19
"67","0100000US","Alabama","Washington County","17581","8407",1088.57,8.36,1080.21
"68","0100000US","Alabama","Wilcox County","11670","5649",907.41,18.91,888.5
"69","0100000US","Alabama","Winston County","24484","13469",631.87,18.89,612.98
"71","0100000US","Alaska","Aleutians East Borough","3141","747",15009.86,8027.92,6981.94
"72","0100000US","Alaska","Aleutians West Census Area","5561","1929",14116.44,9726.16,4390.28
"73","0100000US","Alaska","Anchorage Municipality","291826","113032",1961,256.32,1704.68
"74","0100000US","Alaska","Bethel Census Area","17013","5919",45504.21,4934.2,40570
"75","0100000US","Alaska","Bristol Bay Borough","997","969",887.56,383.72,503.84
"76","0100000US","Alaska","Denali Borough","1826","1771",12776.92,25.51,12751.41
"77","0100000US","Alaska","Dillingham Census Area","4847","2427",20915.21,2346.43,18568.78
"78","0100000US","Alaska","Fairbanks North Star Borough","97581","41783",7443.69,105.48,7338.21
"79","0100000US","Alaska","Haines Borough","2508","1631",2725.5,406.9,2318.6
"80","0100000US","Alaska","Hoonah-Angoon Census Area","2150","1771",10914.15,3389.24,7524.91
"81","0100000US","Alaska","Juneau City and Borough","31275","13055",3253.89,551.96,2701.93
"82","0100000US","Alaska","Kenai Peninsula Borough","55400","30578",24752.32,8676.99,16075.33
"83","0100000US","Alaska","Ketchikan Gateway Borough","13477","6166",6653.56,1795.15,4858.41
"84","0100000US","Alaska","Kodiak Island Borough","13592","5303",12021.83,5472.25,6549.58
"85","0100000US","Alaska","Lake and Peninsula Borough","1631(r38835)","1502(r15613)",32922.5,9270.49,23652.01
"86","0100000US","Alaska","Matanuska-Susitna Borough","88995","41329",25257.61,649.71,24607.9
"87","0100000US","Alaska","Nome Census Area","9492","4008",28277.62,5315.86,22961.76
"88","0100000US","Alaska","North Slope Borough","9430","2500",94796.28,6100.87,88695.41
"89","0100000US","Alaska","Northwest Arctic Borough","7523","2707",40748.94,5176.35,35572.58
"90","0100000US","Alaska","Petersburg Census Area","3815","1994",5684.07,2402.08,3281.98
"91","0100000US","Alaska","Prince of Wales-Hyder Census Area","5559","2992",7683.28,3760.41,3922.87
"92","0100000US","Alaska","Sitka City and Borough","8881","4102",4811.43,1941.09,2870.34
"93","0100000US","Alaska","Skagway Municipality","968","636",464.04,11.71,452.32
"94","0100000US","Alaska","Southeast Fairbanks Census Area","7029","3915",25059.46,290.66,24768.81
"95","0100000US","Alaska","Valdez-Cordova Census Area","9636","6102",40340.17,6100.29,34239.88
"96","0100000US","Alaska","Wade Hampton Census Area","7459","2183",19672.95,2591.52,17081.43
"97","0100000US","Alaska","Wrangell City and Borough","2369","1428",3462.06,920.57,2541.48
"98","0100000US","Alaska","Yakutat City and Borough","662","450",9462.87,1813.41,7649.46
"99","0100000US","Alaska","Yukon-Koyukuk Census Area","5588","4038",147804.63,2299.84,145504.79
"101","0100000US","Arizona","Apache County","71518","32514",11218.44,20.92,11197.52
"102","0100000US","Arizona","Cochise County","131346","59041",6218.6,52.91,6165.69
"103","0100000US","Arizona","Coconino County","134421","63321",18661.34,42.46,18618.89
"104","0100000US","Arizona","Gila County","53597","32698",4795.43,37.5,4757.93
"105","0100000US","Arizona","Graham County","37220","12980",4641.07,18.47,4622.6
"106","0100000US","Arizona","Greenlee County","8437","4372",1848.43,5.31,1843.13
"107","0100000US","Arizona","La Paz County","20489","16049",4513.75,14.12,4499.63
"108","0100000US","Arizona","Maricopa County","3817117","1639279",9224.39,24.25,9200.14
"109","0100000US","Arizona","Mohave County","200186","110911",13460.65,149.56,13311.08
"110","0100000US","Arizona","Navajo County","107449","56938",9959.72,9.3,9950.42
"111","0100000US","Arizona","Pima County","980263","440909",9189.1,2.06,9187.04
"112","0100000US","Arizona","Pinal County","375770","159222",5374.23,8.62,5365.61
"113","0100000US","Arizona","Santa Cruz County","47420","18010",1238.11,1.19,1236.92
"114","0100000US","Arizona","Yavapai County","211033","110432",8127.94,4.44,8123.5
"115","0100000US","Arizona","Yuma County","195751","87850",5519.11,5.12,5513.99
"117","0100000US","Arkansas","Arkansas County","19019","9436",1033.75,44.98,988.77
"118","0100000US","Arkansas","Ashley County","21853","10137",940.53,15.18,925.35
"119","0100000US","Arkansas","Baxter County","41513","22580",586.71,32.43,554.28
"120","0100000US","Arkansas","Benton County","221339","93084",883.91,36.55,847.36
"121","0100000US","Arkansas","Boone County","36903","16827",601.83,11.6,590.23
"122","0100000US","Arkansas","Bradley County","11508","5860",652.92,3.69,649.23
"123","0100000US","Arkansas","Calhoun County","5368","2897",632.41,3.83,628.58
"124","0100000US","Arkansas","Carroll County","27446","13559",638.8,8.71,630.09
"125","0100000US","Arkansas","Chicot County","11800","5421",690.79,46.48,644.3
"126","0100000US","Arkansas","Clark County","22995","10385",882.83,16.76,866.07
"127","0100000US","Arkansas","Clay County","16083","8031",641.44,1.97,639.46
"128","0100000US","Arkansas","Cleburne County","25970","15826",591.92,38.23,553.69
"129","0100000US","Arkansas","Cleveland County","8689","4064",598.75,0.97,597.78
"130","0100000US","Arkansas","Columbia County","24552","11596",766.75,0.7,766.05
"131","0100000US","Arkansas","Conway County","21273","9720",566.67,14.42,552.25
"132","0100000US","Arkansas","Craighead County","96443","40515",712.67,5.47,707.21
"133","0100000US","Arkansas","Crawford County","61948","26115",604.24,11.15,593.09
"134","0100000US","Arkansas","Crittenden County","50902","21489",636.38,26.62,609.76
"135","0100000US","Arkansas","Cross County","17870","7853",622.31,5.93,616.38
"136","0100000US","Arkansas","Dallas County","8116","4305",668.11,0.72,667.39
"137","0100000US","Arkansas","Desha County","13008","6261",819.53,51.37,768.15
"138","0100000US","Arkansas","Drew County","18509","8408",835.66,7.31,828.36
"139","0100000US","Arkansas","Faulkner County","113237","46612",664.07,16.19,647.88
"140","0100000US","Arkansas","Franklin County","18125","8021",619.64,10.79,608.86
"141","0100000US","Arkansas","Fulton County","12245","6778",620.33,2.13,618.19
"142","0100000US","Arkansas","Garland County","96024","50548",734.62,56.84,677.78
"143","0100000US","Arkansas","Grant County","17853","7758",632.93,1.12,631.81
"144","0100000US","Arkansas","Greene County","42090","17892",579.56,1.86,577.7
"145","0100000US","Arkansas","Hempstead County","22609","10419",741.18,13.66,727.52
"146","0100000US","Arkansas","Hot Spring County","32923","14332",622.17,6.97,615.2
"147","0100000US","Arkansas","Howard County","13789","6238",595.31,6.76,588.55
"148","0100000US","Arkansas","Independence County","36647","16187",771.52,7.57,763.95
"149","0100000US","Arkansas","Izard County","13696","7232",584.02,3.44,580.58
"150","0100000US","Arkansas","Jackson County","17997","7601",641.5,7.56,633.94
"151","0100000US","Arkansas","Jefferson County","77435","33006",913.78,43.03,870.75
"152","0100000US","Arkansas","Johnson County","25540","11311",682.74,22.94,659.8
"153","0100000US","Arkansas","Lafayette County","7645","4353",545.08,16.81,528.27
"154","0100000US","Arkansas","Lawrence County","17415","8000",592.34,4.73,587.61
"155","0100000US","Arkansas","Lee County","10424","4356",619.5,16.88,602.62
"156","0100000US","Arkansas","Lincoln County","14134","4860",572.18,10.67,561.52
"157","0100000US","Arkansas","Little River County","13171","6460",564.77,32.51,532.25
"158","0100000US","Arkansas","Logan County","22353","10108",731.56,23.43,708.12
"159","0100000US","Arkansas","Lonoke County","68356","27239",802.84,32.11,770.73
"160","0100000US","Arkansas","Madison County","15717","7481",837.08,2.82,834.26
"161","0100000US","Arkansas","Marion County","16653","9354",640.32,43.31,597.01
"162","0100000US","Arkansas","Miller County","43462","19281",637.65,12.07,625.58
"163","0100000US","Arkansas","Mississippi County","46480","20459",919.81,19.24,900.57
"164","0100000US","Arkansas","Monroe County","8149","4455",621.3,14.18,607.12
"165","0100000US","Arkansas","Montgomery County","9487","5763",800.29,20.41,779.88
"166","0100000US","Arkansas","Nevada County","8997","4563",620.64,2.8,617.84
"167","0100000US","Arkansas","Newton County","8330","4664",823.19,2.29,820.9
"168","0100000US","Arkansas","Ouachita County","26120(r39094)","13121(r15861)",739.75,6.97,732.78
"169","0100000US","Arkansas","Perry County","10445","4907",560.53,9.13,551.4
"170","0100000US","Arkansas","Phillips County","21757","10126",727.34,31.68,695.66
"171","0100000US","Arkansas","Pike County","11291","5580",614.13,13.51,600.62
"172","0100000US","Arkansas","Poinsett County","24583","10923",763.61,5.22,758.39
"173","0100000US","Arkansas","Polk County","20662","10002",862.46,4.78,857.68
"174","0100000US","Arkansas","Pope County","61754","25551",830.78,18.23,812.55
"175","0100000US","Arkansas","Prairie County","8715","4503",675.61,27.66,647.96
"176","0100000US","Arkansas","Pulaski County","382748","175555",807.66,47.9,759.76
"177","0100000US","Arkansas","Randolph County","17969","8513",656.04,3.85,652.19
"178","0100000US","Arkansas","St. Francis County","28258","10903",642.51,7.74,634.77
"179","0100000US","Arkansas","Saline County","107118","44811",730.49,6.89,723.6
"180","0100000US","Arkansas","Scott County","11233","5193",898.07,5.75,892.32
"181","0100000US","Arkansas","Searcy County","8195","4900",668.51,2.42,666.09
"182","0100000US","Arkansas","Sebastian County","125744","54651",546.16,14.25,531.91
"183","0100000US","Arkansas","Sevier County","17058","6887",581.28,16.15,565.13
"184","0100000US","Arkansas","Sharp County","17264","9822",606.44,2,604.44
"185","0100000US","Arkansas","Stone County","12394","6712",609.43,3.03,606.4
"186","0100000US","Arkansas","Union County","41639","19653",1055.2,15.99,1039.21
"187","0100000US","Arkansas","Van Buren County","17295","10345",724.28,16.14,708.14
"188","0100000US","Arkansas","Washington County","203065","87808",952.41,10.44,941.97
"189","0100000US","Arkansas","White County","77076","32488",1042.15,7.07,1035.08
"190","0100000US","Arkansas","Woodruff County","7260","3893",594.01,7.22,586.79
"191","0100000US","Arkansas","Yell County","22185","9752",948.86,18.87,929.98
"193","0100000US","California","Alameda County","1510271","582549",821.33,82.31,739.02
"194","0100000US","California","Alpine County","1175","1760",743.18,4.85,738.33
"195","0100000US","California","Amador County","38091","18032",605.96,11.37,594.58
"196","0100000US","California","Butte County","220000","95835",1677.13,40.67,1636.46
"197","0100000US","California","Calaveras County","45578","27925",1036.93,16.92,1020.01
"198","0100000US","California","Colusa County","21419","7883",1156.36,5.63,1150.73
"199","0100000US","California","Contra Costa County","1049025","400263",803.77,87.83,715.94
"200","0100000US","California","Del Norte County","28610","11186",1229.74,223.37,1006.37
"201","0100000US","California","El Dorado County","181058","88159",1786.36,78.47,1707.88
"202","0100000US","California","Fresno County","930450","315531",6011.2,53.21,5957.99
"203","0100000US","California","Glenn County","28122","10778",1326.98,13.03,1313.95
"204","0100000US","California","Humboldt County","134623","61559",4052.26,484.27,3567.99
"205","0100000US","California","Imperial County","174528","56067",4481.72,305.12,4176.6
"206","0100000US","California","Inyo County","18546","9478",10226.91,46.03,10180.88
"207","0100000US","California","Kern County","839631","284367",8162.64,30.72,8131.92
"208","0100000US","California","Kings County","152982","43867",1391.53,2.11,1389.42
"209","0100000US","California","Lake County","64665","35492",1329.42,72.96,1256.46
"210","0100000US","California","Lassen County","34895","12710",4720.12,178.94,4541.18
"211","0100000US","California","Los Angeles County","9818605","3445076",4750.94,693.06,4057.88
"212","0100000US","California","Madera County","150865","49140",2153.27,16.2,2137.07
"213","0100000US","California","Marin County","252409","111214",828.19,307.89,520.31
"214","0100000US","California","Mariposa County","18251","10188",1462.82,14,1448.82
"215","0100000US","California","Mendocino County","87841","40323",3878.14,371.8,3506.34
"216","0100000US","California","Merced County","255793","83698",1978.51,43.54,1934.97
"217","0100000US","California","Modoc County","9686","5192",4203.4,285.63,3917.77
"218","0100000US","California","Mono County","14202","13912",3131.88,82.89,3048.98
"219","0100000US","California","Monterey County","415057","139048",3771.22,490.63,3280.6
"220","0100000US","California","Napa County","136484","54759",788.58,40.22,748.36
"221","0100000US","California","Nevada County","98764","52590",973.8,16.03,957.77
"222","0100000US","California","Orange County","3010232","1048907",948.07,157.5,790.57
"223","0100000US","California","Placer County","348432","152648",1502.46,95.45,1407.01
"224","0100000US","California","Plumas County","20007","15566",2613.43,60.38,2553.04
"225","0100000US","California","Riverside County","2189641","800707",7303.42,96.94,7206.48
"226","0100000US","California","Sacramento County","1418788","555932",994.02,29.37,964.64
"227","0100000US","California","San Benito County","55269","17870",1390.47,1.76,1388.71
"228","0100000US","California","San Bernardino County","2035210","699637",20104.83,47.89,20056.94
"229","0100000US","California","San Diego County","3095313","1164786",4525.68,319.05,4206.63
"230","0100000US","California","San Francisco County","805235","376942",231.89,185.02,46.87
"231","0100000US","California","San Joaquin County","685306","233755",1426.5,35.18,1391.32
"232","0100000US","California","San Luis Obispo County","269637","117315",3615.55,316.98,3298.57
"233","0100000US","California","San Mateo County","718451","271031",740.96,292.55,448.41
"234","0100000US","California","Santa Barbara County","423895","152834",3789.08,1053.99,2735.09
"235","0100000US","California","Santa Clara County","1781642","631920",1304.07,13.97,1290.1
"236","0100000US","California","Santa Cruz County","262382","104476",607.17,162,445.17
"237","0100000US","California","Shasta County","177223","77313",3847.42,72.02,3775.4
"238","0100000US","California","Sierra County","3240","2328",962.21,9,953.21
"239","0100000US","California","Siskiyou County","44900","23910",6347.34,69.46,6277.89
"240","0100000US","California","Solano County","413344","152698",906.19,84.43,821.76
"241","0100000US","California","Sonoma County","483878","204572",1767.95,192.1,1575.85
"242","0100000US","California","Stanislaus County","514453","179503",1514.69,19.86,1494.83
"243","0100000US","California","Sutter County","94737","33858",608.49,6.08,602.41
"244","0100000US","California","Tehama County","63463","26987",2962.17,12.46,2949.71
"245","0100000US","California","Trinity County","13786","8681",3207.6,28.34,3179.25
"246","0100000US","California","Tulare County","442179","141696",4838.65,14.44,4824.21
"247","0100000US","California","Tuolumne County","55365","31244",2274.43,53.55,2220.88
"248","0100000US","California","Ventura County","823318","281695",2208.38,365.25,1843.13
"249","0100000US","California","Yolo County","200849","75054",1023.56,8.87,1014.69
"250","0100000US","California","Yuba County","72155","27635",643.81,11.97,631.84
"252","0100000US","Colorado","Adams County","441603","163136",1183.9,16.24,1167.65
"253","0100000US","Colorado","Alamosa County","15445","6554",723.34,0.7,722.64
"254","0100000US","Colorado","Arapahoe County","572003(r39380)","238301(r16086)",805.44,7.34,798.1
"255","0100000US","Colorado","Archuleta County","12084","8762",1355.51,5.34,1350.18
"256","0100000US","Colorado","Baca County","3788","2248",2557.34,2.37,2554.97
"257","0100000US","Colorado","Bent County","6499","2242",1541.08,28.22,1512.86
"258","0100000US","Colorado","Boulder County","294567","127071",740.37,14.08,726.29
"259","0100000US","Colorado","Broomfield County","55889","22646",33.6,0.57,33.03
"260","0100000US","Colorado","Chaffee County","17809","10020",1014.95,1.55,1013.4
"261","0100000US","Colorado","Cheyenne County","1836","975",1781.43,3.15,1778.28
"262","0100000US","Colorado","Clear Creek County","9088","5685",396.49,1.27,395.23
"263","0100000US","Colorado","Conejos County","8256","4286",1290.96,3.57,1287.39
"264","0100000US","Colorado","Costilla County","3524","2613",1230.36,3.41,1226.95
"265","0100000US","Colorado","Crowley County","5823","1559",800.33,12.91,787.42
"266","0100000US","Colorado","Custer County","4255","3956",739.92,1.3,738.63
"267","0100000US","Colorado","Delta County","30952","14572",1148.6,6.55,1142.05
"268","0100000US","Colorado","Denver County","600158(r39385)","285797(r16091)",154.63,1.63,153
"269","0100000US","Colorado","Dolores County","2064","1468",1068.1,1.05,1067.05
"270","0100000US","Colorado","Douglas County","285465","106859",842.87,2.62,840.25
"271","0100000US","Colorado","Eagle County","52197","31312",1691.79,7.26,1684.53
"272","0100000US","Colorado","Elbert County","23086","8939",1851.02,0.17,1850.85
"273","0100000US","Colorado","El Paso County","622263","252852",2129.55,2.75,2126.8
"274","0100000US","Colorado","Fremont County","46824","19242",1533.93,0.86,1533.07
"275","0100000US","Colorado","Garfield County","56389","23309",2955.84,8.27,2947.56
"276","0100000US","Colorado","Gilpin County","5441","3560",150.26,0.36,149.9
"277","0100000US","Colorado","Grand County","14843","16061",1869.59,23.26,1846.33
"278","0100000US","Colorado","Gunnison County","15324","11412",3259.63,20.53,3239.1
"279","0100000US","Colorado","Hinsdale County","843","1388",1123.17,5.92,1117.25
"280","0100000US","Colorado","Huerfano County","6711","5075",1593.24,2.24,1591
"281","0100000US","Colorado","Jackson County","1394","1286",1620.96,7.24,1613.72
"282","0100000US","Colorado","Jefferson County","534543","229967",774.03,9.82,764.21
"283","0100000US","Colorado","Kiowa County","1398","805",1785.93,18.16,1767.77
"284","0100000US","Colorado","Kit Carson County","8270","3527",2161.69,0.87,2160.82
"285","0100000US","Colorado","Lake County","7310","4271",383.91,7,376.91
"286","0100000US","Colorado","La Plata County","51334","25860",1699.71,7.63,1692.08
"287","0100000US","Colorado","Larimer County","299630","132722",2633.95,37.95,2596
"288","0100000US","Colorado","Las Animas County","15507","8217",4775.35,2.68,4772.67
"289","0100000US","Colorado","Lincoln County","5467","2420",2586.42,8.8,2577.63
"290","0100000US","Colorado","Logan County","22709","8981",1844.86,6.32,1838.55
"291","0100000US","Colorado","Mesa County","146723","62644",3341.12,12.15,3328.97
"292","0100000US","Colorado","Mineral County","712","1201",877.68,2.02,875.67
"293","0100000US","Colorado","Moffat County","13795","6196",4750.91,7.62,4743.29
"294","0100000US","Colorado","Montezuma County","25535","12094",2040.15,10.62,2029.53
"295","0100000US","Colorado","Montrose County","41276","18250",2242.6,1.9,2240.7
"296","0100000US","Colorado","Morgan County","28159","11490",1293.74,13.31,1280.43
"297","0100000US","Colorado","Otero County","18831","8969",1269.7,7.74,1261.96
"298","0100000US","Colorado","Ouray County","4436","3083",542.21,0.62,541.59
"299","0100000US","Colorado","Park County","16206","13947",2210.65,16.81,2193.85
"300","0100000US","Colorado","Phillips County","4442","2087",688.04,0.12,687.93
"301","0100000US","Colorado","Pitkin County","17148","12953",973.2,2.5,970.7
"302","0100000US","Colorado","Prowers County","12551","5942",1644.32,5.93,1638.39
"303","0100000US","Colorado","Pueblo County","159063","69526",2397.8,11.69,2386.1
"304","0100000US","Colorado","Rio Blanco County","6666","3309",3222.81,1.88,3220.93
"305","0100000US","Colorado","Rio Grande County","11982","6630",912.34,0.38,911.96
"306","0100000US","Colorado","Routt County","23509","16303",2368.14,6.11,2362.03
"307","0100000US","Colorado","Saguache County","6108","3843",3170.24,1.72,3168.52
"308","0100000US","Colorado","San Juan County","699","756",388.27,0.79,387.49
"309","0100000US","Colorado","San Miguel County","7359","6638",1288.62,2.01,1286.61
"310","0100000US","Colorado","Sedgwick County","2379","1415",549.4,1.36,548.04
"311","0100000US","Colorado","Summit County","27994","29842",619.28,10.92,608.36
"312","0100000US","Colorado","Teller County","23350","12643",558.96,1.91,557.06
"313","0100000US","Colorado","Washington County","4814","2434",2523.9,5.87,2518.03
"314","0100000US","Colorado","Weld County","252825","96281",4016.8,29.56,3987.24
"315","0100000US","Colorado","Yuma County","10043","4466",2368.7,4.3,2364.4
"317","0100000US","Connecticut","Fairfield County","916829","361221",836.92,212.03,624.89
"318","0100000US","Connecticut","Hartford County","894014","374249",750.62,15.53,735.1
"319","0100000US","Connecticut","Litchfield County","189927","87550",944.56,24,920.56
"320","0100000US","Connecticut","Middlesex County","165676","74837",439.06,69.76,369.3
"321","0100000US","Connecticut","New Haven County","862477","362004",862.06,257.55,604.51
"322","0100000US","Connecticut","New London County","274055","120994",771.7,106.82,664.88
"323","0100000US","Connecticut","Tolland County","152691","57963",417.05,6.83,410.21
"324","0100000US","Connecticut","Windham County","118428","49073",521.44,8.53,512.91
"326","0100000US","Delaware","Kent County","162310","65338",798.33,212.15,586.18
"327","0100000US","Delaware","New Castle County","538479","217511",494,67.72,426.29
"328","0100000US","Delaware","Sussex County","197145","123036",1196.39,260.31,936.08
"330","0100000US","District of Columbia","District of Columbia","601723(r39495)","296719(r16188)",68.34,7.29,61.05
"332","0100000US","Florida","Alachua County","247336","112766",968.81,93.79,875.02
"333","0100000US","Florida","Baker County","27115","9687",588.97,3.74,585.23
"334","0100000US","Florida","Bay County","168852","99650",1033.15,274.69,758.46
"335","0100000US","Florida","Bradford County","28520","11011",300.49,6.53,293.96
"336","0100000US","Florida","Brevard County","543376","269864",1557,541.33,1015.66
"337","0100000US","Florida","Broward County","1748066","810388",1322.86,113.08,1209.79
"338","0100000US","Florida","Calhoun County","14625","5999",574.31,6.98,567.33
"339","0100000US","Florida","Charlotte County","159978","100632",858.3,178.02,680.28
"340","0100000US","Florida","Citrus County","141236","78026",773.29,191.6,581.7
"341","0100000US","Florida","Clay County","190865","75478",643.55,39.19,604.36
"342","0100000US","Florida","Collier County","321520","197298",2305.02,306.69,1998.32
"343","0100000US","Florida","Columbia County","67531","28636",801.33,3.75,797.57
"344","0100000US","Florida","DeSoto County","34862","14590",639.48,2.42,637.06
"345","0100000US","Florida","Dixie County","16422","9319",863.65,158.6,705.05
"346","0100000US","Florida","Duval County","864263","388486",918.45,156.26,762.19
"347","0100000US","Florida","Escambia County","297619","136703",874.7,218.24,656.46
"348","0100000US","Florida","Flagler County","95696","48595",570.82,85.36,485.46
"349","0100000US","Florida","Franklin County","11549","8652",1026.49,491.77,534.72
"350","0100000US","Florida","Gadsden County","46389","19506",528.53,12.2,516.33
"351","0100000US","Florida","Gilchrist County","16939","7307",355.24,5.56,349.68
"352","0100000US","Florida","Glades County","12884","6979",986.85,180.84,806.01
"353","0100000US","Florida","Gulf County","15863","9110",755.56,191.55,564.01
"354","0100000US","Florida","Hamilton County","14799","5778",519.06,5.27,513.79
"355","0100000US","Florida","Hardee County","27731","9722",638.34,0.56,637.78
"356","0100000US","Florida","Hendry County","39140","14564",1190,37.25,1152.75
"357","0100000US","Florida","Hernando County","172778","84504",589.02,116.48,472.54
"358","0100000US","Florida","Highlands County","98786","55386",1106.03,89.42,1016.61
"359","0100000US","Florida","Hillsborough County","1229226","536092",1265.76,245.55,1020.21
"360","0100000US","Florida","Holmes County","19927","8641",489.05,10.27,478.78
"361","0100000US","Florida","Indian River County","138028","76346",617.01,114.13,502.87
"362","0100000US","Florida","Jackson County","49746","21003",954.56,36.8,917.76
"363","0100000US","Florida","Jefferson County","14761","6632",636.54,38.44,598.1
"364","0100000US","Florida","Lafayette County","8870","3328",547.91,4.5,543.41
"365","0100000US","Florida","Lake County","297052(r40336)","144996",1156.96,218.58,938.38
"366","0100000US","Florida","Lee County","618754","371099",1212.46,427.95,784.51
"367","0100000US","Florida","Leon County","275487","124136",701.79,34.94,666.85
"368","0100000US","Florida","Levy County","40801","20123",1412.79,294.59,1118.21
"369","0100000US","Florida","Liberty County","8365","3357",843.12,7.56,835.56
"370","0100000US","Florida","Madison County","19224","8481",715.68,19.74,695.95
"371","0100000US","Florida","Manatee County","322833","172690",892.68,149.75,742.93
"372","0100000US","Florida","Marion County","331298(r40439)","164050",1662.61,78.06,1584.55
"373","0100000US","Florida","Martin County","146318","78131",752.83,209.36,543.46
"374","0100000US","Florida","Miami-Dade County","2496435(r40445)","989435(r17101)",2431.18,533.47,1897.72
"375","0100000US","Florida","Monroe County","73090","52764",3737.52,2754.24,983.28
