"","study","latent","nearestGene","H4K12ac"
"102","Central","Unexpressed",0,5.34233425196481
"103","Central","Unexpressed",0,5.4971682252932
"104","Central","Expressed",0,5.53338948872752
"105","Active","Expressed",0,5.54907608489522
"106","Jurkat","Expressed",0,4.94875989037817
"107","Resting","Unexpressed",0,5.18178355029209
"108","Jurkat","Unexpressed",0,5.24174701505964
"109","Central","Expressed",0,5.24174701505964
"110","Central","Unexpressed",0,5.04342511691925
"111","Central","Unexpressed",0,5.22035582507832
"112","Active","Expressed",0,4.99721227376411
"113","Resting","Unexpressed",0,5.09375020080676
"114","Central","Expressed",0,5.37527840768417
"115","Active","Unexpressed",0,5.54126354515843
"116","Central","Unexpressed",92247,4.36944785246702
"117","Jurkat","Unexpressed",0,4.96284463025991
"118","Resting","Unexpressed",0,4.98360662170834
"119","Active","Expressed",0,4.98360662170834
"120","Resting","Unexpressed",0,5.25749537202778
"121","Active","Unexpressed",0,5.62762111369064
"122","Central","Unexpressed",0,5.68357976733868
"123","Central","Expressed",0,5.80814248998044
"124","Resting","Expressed",0,5.79909265446053
"125","Bcl-2","Expressed",0,5.79301360838414
"126","Central","Expressed",0,5.80814248998044
"127","Bcl-2","Unexpressed",0,5.85507192220243
"128","Central","Expressed",0,5.88610403145016
"129","Central","Expressed",0,6.00881318544259
"130","Resting","Expressed",0,6.00388706710654
"131","Central","Expressed",0,6.05678401322862
"132","Central","Expressed",0,6.05678401322862
"133","Central","Expressed",0,5.89440283426485
"134","Central","Expressed",4305,5.63835466933375
"135","Central","Unexpressed",24282,5.35185813347607
"136","Central","Expressed",0,5.33271879326537
"137","Active","Unexpressed",0,5.25227342804663
"138","Resting","Unexpressed",0,6.06842558824411
"139","Central","Unexpressed",0,6.18826412308259
"140","Active","Expressed",0,6.20455776256869
"141","Bcl-2","Unexpressed",0,6.20253551718792
"142","Resting","Unexpressed",0,6.05678401322862
"143","Active","Unexpressed",0,5.28320372873799
"144","Resting","Unexpressed",0,5.47646355193151
"145","Active","Unexpressed",0,5.51745289646471
"146","Central","Expressed",2842,5.03695260241363
"147","Central","Expressed",0,5.67675380226828
"148","Active","Expressed",0,5.89989735358249
"149","Active","Expressed",0,5.94542060860658
"150","Central","Expressed",0,5.98141421125448
"151","Bcl-2","Unexpressed",0,6.01859321449623
"152","Active","Expressed",0,6.01859321449623
"153","Central","Expressed",7425,4.9416424226093
"154","Active","Unexpressed",0,5.70711026474888
"155","Central","Unexpressed",0,5.71373280550937
"156","Resting","Expressed",0,5.74939298590825
"157","Central","Unexpressed",0,5.77455154554441
"158","Central","Unexpressed",0,4.31748811353631
"159","Jurkat","Unexpressed",0,5.4971682252932
"160","Central","Expressed",0,5.67675380226828
"161","Jurkat","Unexpressed",0,5.90263333340137
"162","Active","Expressed",0,5.92425579741453
"163","Central","Expressed",0,5.93753620508243
"164","Central","Expressed",0,5.93753620508243
"165","Central","Unexpressed",0,5.91079664404053
"166","Jurkat","Unexpressed",2616,5.8171111599632
"167","Central","Expressed",3461,5.78689738136671
"168","Resting","Expressed",0,6.50727771238501
"169","Active","Expressed",0,5.39816270151775
"170","Central","Expressed",0,5.40267738187228
"171","Active","Unexpressed",2452,5.61312810638807
"172","Resting","Unexpressed",0,5.62401750618734
"173","Resting","Expressed",0,5.63478960316925
"174","Active","Expressed",0,5.47646355193151
"175","Central","Expressed",0,5.46806014113513
"176","Jurkat","Expressed",0,5.07517381523383
"177","Resting","Unexpressed",0,5.26785815906333
"178","Central","Expressed",0,5.27811465923052
"179","Central","Expressed",0,5.98645200528444
"180","Active","Unexpressed",0,5.68357976733868
"181","Active","Unexpressed",0,5.65948221575962
"182","Resting","Expressed",0,5.41610040220442
"183","Active","Expressed",0,6.15060276844628
"184","Resting","Unexpressed",0,6.17586727010576
"185","Resting","Unexpressed",0,6.22059017009974
"186","Active","Unexpressed",0,6.21660610108486
"187","Resting","Expressed",0,6.17378610390194
"188","Resting","Expressed",3555,6.13988455222626
"189","Central","Unexpressed",5582,6.13772705408623
"190","Resting","Unexpressed",77804,4.33073334028633
"191","Central","Unexpressed",0,5.51745289646471
"192","Jurkat","Unexpressed",0,5.54907608489522
"193","Resting","Expressed",0,5.57215403217776
"194","Jurkat","Unexpressed",0,5.58724865840025
"195","Resting","Unexpressed",0,5.66296048013595
"196","Active","Expressed",0,5.47227067367148
"197","Central","Expressed",0,5.27299955856375
"198","Central","Unexpressed",55040,5.23644196282995
"199","Resting","Expressed",5102,5.5834963087817
"200","Resting","Unexpressed",821,5.12396397940326
"201","Resting","Expressed",38,5.12989871492307
"202","Active","Unexpressed",0,5.76205138278018
"203","Active","Expressed",0,5.74939298590825
"204","Bcl-2","Unexpressed",0,5.74620319054015
"205","Central","Expressed",0,5.6937321388027
"206","Active","Unexpressed",0,5.6970934865054
"207","Resting","Unexpressed",2335,5.31811999384422
"208","Central","Unexpressed",0,4.64439089914137
"209","Central","Expressed",0,4.72738781871234
"210","Resting","Unexpressed",0,5.57594910314632
"211","Active","Unexpressed",50602,5.36129216570943
"212","Central","Unexpressed",0,4.87519732320115
"213","Active","Unexpressed",0,4.85981240436167
"214","Jurkat","Unexpressed",0,4.85981240436167
"215","Active","Unexpressed",0,4.86753445045558
"216","Jurkat","Expressed",0,5.44241771052179
"217","Resting","Expressed",0,5.46806014113513
"218","Active","Unexpressed",0,5.62762111369064
"219","Resting","Expressed",0,5.67675380226828
"220","Resting","Expressed",0,5.71042701737487
"221","Active","Unexpressed",0,5.61312810638807
"222","Active","Unexpressed",0,5.61312810638807
"223","Resting","Unexpressed",0,5.61312810638807
"224","Active","Unexpressed",0,5.64190707093811
"225","Central","Expressed",0,5.66642668811243
"226","Central","Expressed",0,5.65248918026865
"227","Resting","Unexpressed",0,5.67675380226828
"228","Jurkat","Expressed",0,4.47733681447821
"229","Active","Unexpressed",0,4.69134788222914
"230","Central","Unexpressed",0,4.70953020131233
"231","Active","Unexpressed",0,4.70048036579242
"232","Active","Unexpressed",0,4.69134788222914
"233","Central","Expressed",0,4.69134788222914
"234","Central","Expressed",11352,5.30330490805908
"235","Resting","Expressed",0,5.65599181081985
"236","Active","Unexpressed",9630,4.85203026391962
"237","Central","Unexpressed",9739,4.85203026391962
"238","Resting","Expressed",11088,4.88280192258637
"239","Active","Unexpressed",0,5.15905529921453
"240","Resting","Unexpressed",0,5.18738580584075
"241","Resting","Unexpressed",0,5.18738580584075
"242","Central","Expressed",15077,5.57972982598622
"243","Active","Expressed",9926,5.605802066296
"244","Resting","Expressed",0,5.87211778947542
"245","Resting","Expressed",0,5.8805329864007
"246","Resting","Expressed",0,5.89989735358249
"247","Resting","Unexpressed",0,5.93489419561959
"248","Central","Expressed",0,5.96870755998537
"249","Active","Unexpressed",0,5.98645200528444
"250","Active","Expressed",0,5.99645208861902
"251","Central","Expressed",0,6.02586597382531
"252","Central","Expressed",0,6.07304453410041
"253","Active","Unexpressed",0,6.16961073249146
"254","Active","Expressed",0,6.18208490671663
"255","Active","Unexpressed",0,6.18414889093748
"256","Central","Unexpressed",0,6.20455776256869
"257","Active","Unexpressed",0,6.25575004175337
"258","Resting","Unexpressed",0,6.29341927884648
"259","Resting","Unexpressed",6088,5.56452040732269
"260","Central","Expressed",2942,5.55295958492162
"261","Central","Unexpressed",0,5.25227342804663
"262","Central","Expressed",0,5.32787616878958
"263","Active","Expressed",0,5.39816270151775
"264","Bcl-2","Unexpressed",0,5.44241771052179
"265","Active","Expressed",0,6.03787091992214
"266","Active","Unexpressed",0,6.04263283368238
"267","Resting","Expressed",0,5.95842469302978
"268","Active","Expressed",0,5.96357934361845
"269","Resting","Expressed",0,5.96357934361845
"270","Resting","Unexpressed",0,5.96870755998537
"271","Central","Expressed",0,5.96870755998537
"272","Central","Expressed",0,5.87773578177964
"273","Central","Unexpressed",10929,5.39816270151775
"274","Active","Expressed",0,5.48893772615669
"275","Resting","Unexpressed",0,5.74620319054015
"276","Active","Unexpressed",0,5.66988092298052
"277","Resting","Unexpressed",0,5.82008293035236
"278","Active","Expressed",0,5.80814248998044
"279","Active","Unexpressed",0,5.80814248998044
"280","Resting","Unexpressed",0,5.80814248998044
"281","Resting","Unexpressed",0,5.75257263882563
"282","Jurkat","Unexpressed",0,5.61677109766657
"283","Central","Expressed",0,5.61312810638807
"284","Resting","Unexpressed",0,5.59471137960184
"285","Resting","Unexpressed",0,5.55295958492162
"286","Central","Expressed",0,5.55295958492162
"287","Central","Expressed",0,5.55295958492162
"288","Central","Expressed",1731,5.48063892334199
"289","Central","Expressed",0,4.81218435537242
"290","Active","Unexpressed",0,5.20948615284142
"291","Jurkat","Expressed",0,5.17614973257383
"292","Central","Unexpressed",0,5.31811999384422
"293","Active","Expressed",0,5.53338948872752
"294","Active","Expressed",0,5.53338948872752
"295","Central","Unexpressed",0,5.51745289646471
"296","Resting","Unexpressed",0,5.94542060860658
"297","Active","Expressed",0,5.96357934361845
"298","Active","Expressed",0,5.96100533962327
"299","Central","Unexpressed",0,5.98896141688986
"300","Active","Expressed",0,6.00881318544259
"301","Resting","Expressed",0,6.01859321449623
"302","Resting","Unexpressed",0,6.03068526026126
"303","Active","Unexpressed",0,6.03068526026126
"304","Active","Expressed",0,6.06842558824411
"305","Active","Expressed",0,6.02586597382531
"306","Jurkat","Unexpressed",0,5.79605775076537
"307","Jurkat","Unexpressed",0,6.24222326545517
"308","Central","Expressed",0,6.25575004175337
"309","Active","Expressed",0,6.22455842927536
"310","Central","Expressed",0,6.20050917404269
"311","Active","Expressed",0,6.16751649088834
"312","Resting","Unexpressed",0,6.07534603108868
"313","Central","Unexpressed",0,6.01859321449623
"314","Active","Unexpressed",0,5.97380961186926
"315","Central","Expressed",0,5.29330482472449
"316","Central","Expressed",0,4.95582705760126
"317","Central","Expressed",11615,5.12989871492307
"318","Resting","Unexpressed",39717,5.11198778835654
"319","Central","Expressed",39444,5.44673737166631
"320","Central","Expressed",248,5.76205138278018
"321","Central","Unexpressed",0,5.79301360838414
"322","Active","Expressed",0,5.79909265446053
"323","Resting","Unexpressed",0,5.79909265446053
"324","Resting","Unexpressed",0,5.8171111599632
"325","Resting","Unexpressed",0,5.8111409929767
"326","Central","Expressed",0,5.80513496891649
"327","Resting","Expressed",0,5.79301360838414
"328","Resting","Unexpressed",0,5.79301360838414
"329","Resting","Unexpressed",0,5.8171111599632
"330","Resting","Expressed",0,5.8111409929767
"331","Resting","Unexpressed",0,5.81413053182507
"332","Jurkat","Expressed",0,5.87773578177964
"333","Resting","Expressed",0,5.89164421182577
"334","Central","Expressed",0,5.60947179518496
"335","Resting","Unexpressed",0,5.66642668811243
"336","Active","Expressed",0,5.66988092298052
"337","Bcl-2","Expressed",0,5.73009978297357
"338","Active","Unexpressed",0,5.91889385427315
"339","Active","Unexpressed",0,5.91889385427315
"340","Active","Expressed",0,5.92157841964382
"341","Central","Expressed",0,5.89715386763674
"342","Central","Unexpressed",0,5.92157841964382
"343","Active","Unexpressed",0,5.92692602597041
"344","Resting","Expressed",0,5.93753620508243
"345","Resting","Expressed",0,6.04973345523196
"346","Resting","Unexpressed",0,6.03787091992214
"347","Resting","Unexpressed",0,5.89164421182577
"348","Central","Expressed",0,4.33073334028633
"349","Active","Unexpressed",0,5.21493575760899
"350","Central","Expressed",0,5.37989735354046
"351","Central","Expressed",0,5.37989735354046
"352","Resting","Unexpressed",0,5.38449506278909
"353","Active","Unexpressed",0,5.37527840768417
"354","Active","Unexpressed",0,5.37527840768417
"355","Active","Unexpressed",0,5.25227342804663
"356","Active","Expressed",0,5.17614973257383
"357","Resting","Expressed",0,5.19849703126583
"358","Central","Unexpressed",0,5.23110861685459
"359","Central","Expressed",0,4.38202663467388
"360","Resting","Unexpressed",0,4.40671924726425
"361","Central","Expressed",108716,4.04305126783455
"362","Central","Expressed",4645,4.77068462446567
"363","Resting","Expressed",0,5.48063892334199
"364","Active","Unexpressed",0,5.0998664278242
"365","Central","Expressed",0,4.99721227376411
"366","Central","Expressed",0,5.52942908751142
"367","Active","Unexpressed",0,5.61677109766657
"368","Central","Unexpressed",0,5.62401750618734
"369","Jurkat","Expressed",0,5.64190707093811
"370","Jurkat","Expressed",0,5.73657229747919
"371","Active","Unexpressed",0,5.75257263882563
"372","Active","Expressed",0,5.82008293035236
"373","Resting","Expressed",0,5.80513496891649
"374","Active","Expressed",0,5.71373280550937
"375","Active","Unexpressed",0,5.71702770140622
"376","Resting","Unexpressed",0,5.71702770140622
"377","Central","Unexpressed",0,5.16478597392351
"378","Central","Expressed",0,5.15329159449778
"379","Bcl-2","Unexpressed",0,5.14166355650266
"380","Central","Unexpressed",0,5.23110861685459
"381","Central","Unexpressed",0,5.37989735354046
"382","Central","Unexpressed",0,5.37527840768417
"383","Central","Unexpressed",0,5.36129216570943
"384","Active","Unexpressed",0,5.4249500174814
"385","Central","Expressed",0,5.63121178182137
"386","Central","Unexpressed",0,5.62762111369064
"387","Central","Expressed",0,5.54907608489522
"388","Central","Expressed",0,5.4380793089232
"389","Central","Expressed",0,5.40717177146012
"390","Central","Expressed",0,5.6970934865054
"391","Active","Expressed",0,5.90808293816893
"392","Jurkat","Expressed",0,5.97380961186926
"393","Central","Expressed",0,5.94017125272043
"394","Central","Unexpressed",48280,4.45434729625351
"395","Central","Expressed",47843,4.31748811353631
"396","Central","Unexpressed",4075,5.59098698051086
"397","Resting","Expressed",0,5.63121178182137
"398","Central","Expressed",0,4.68213122712422
"399","Central","Unexpressed",0,5.4380793089232
"400","Resting","Unexpressed",319238,4.53259949315326
"401","Central","Expressed",0,5.34233425196481
"402","Resting","Expressed",0,6.18620862390049
"403","Active","Expressed",0,6.19031540585315
"404","Central","Unexpressed",0,6.20657592672493
"405","Bcl-2","Unexpressed",0,6.33859407820318
"406","Active","Expressed",0,6.35262939631957
"407","Resting","Unexpressed",0,6.4150969591716
"408","Jurkat","Expressed",0,6.41836493593621
"409","Central","Unexpressed",0,6.4707995037826
"410","Active","Expressed",0,6.46925031679577
"411","Central","Expressed",0,6.45047042214418
"412","Central","Expressed",0,6.4118182677099
"413","Central","Unexpressed",0,6.30261897574491
"414","Central","Unexpressed",0,6.25575004175337
"415","Active","Unexpressed",0,6.25190388316589
"416","Central","Expressed",0,5.13579843705026
"417","Central","Unexpressed",0,4.81218435537242
"418","Resting","Unexpressed",0,5.42934562895444
"419","Resting","Expressed",0,5.97888576490112
"420","Resting","Unexpressed",0,6.02344759296103
"421","Active","Unexpressed",0,5.54126354515843
"422","Resting","Expressed",0,5.7268477475872
"423","Central","Expressed",0,5.62762111369064
"424","Central","Expressed",0,5.61677109766657
"425","Bcl-2","Unexpressed",0,5.4380793089232
"426","Active","Unexpressed",26663,5.52942908751142
"427","Central","Expressed",0,5.8664680569333
"428","Resting","Expressed",0,5.92425579741453
"429","Resting","Expressed",0,5.91889385427315
"430","Active","Unexpressed",0,4.81218435537242
"431","Central","Expressed",0,5.74939298590825
"432","Central","Expressed",0,5.74939298590825
"433","Active","Expressed",0,5.17614973257383
"434","Resting","Unexpressed",0,5.08759633523238
"435","Central","Expressed",0,5.68697535633982
"436","Central","Expressed",0,5.70044357339069
"437","Active","Unexpressed",0,5.70711026474888
"438","Active","Expressed",0,5.71042701737487
"439","Resting","Unexpressed",0,5.61677109766657
"440","Active","Expressed",0,5.72031177660741
"441","Jurkat","Expressed",0,5.63121178182137
"442","Active","Expressed",0,5.64897423816121
"443","Active","Expressed",0,5.66988092298052
"444","Bcl-2","Expressed",0,5.67332326717149
"445","Active","Unexpressed",0,5.57972982598622
"446","Bcl-2","Unexpressed",0,5.59098698051086
"447","Resting","Expressed",0,5.5834963087817
"448","Central","Unexpressed",0,5.59471137960184
"449","Resting","Unexpressed",901,4.60517018598809
"450","Bcl-2","Expressed",0,5.43372200355424
"451","Active","Expressed",1830,5.44673737166631
"452","Central","Expressed",7021,5.62401750618734
"453","Central","Expressed",0,5.68017260901707
"454","Central","Unexpressed",0,5.77144112313002
"455","Bcl-2","Expressed",0,5.54517744447956
"456","Central","Expressed",0,5.14166355650266
"457","Active","Expressed",0,5.43372200355424
"458","Central","Unexpressed",0,5.35185813347607
"459","Central","Unexpressed",0,5.09375020080676
"460","Active","Expressed",0,5.2040066870768
"461","Central","Expressed",0,5.23644196282995
"462","Central","Unexpressed",0,5.27299955856375
"463","Central","Expressed",0,5.27299955856375
"464","Central","Expressed",0,5.26785815906333
"465","Central","Unexpressed",0,5.26269018890489
"466","Bcl-2","Expressed",0,5.25749537202778
"467","Central","Unexpressed",0,5.36129216570943
"468","Active","Unexpressed",0,5.34710753071747
"469","Central","Expressed",0,5.32787616878958
"470","Active","Unexpressed",0,4.8283137373023
"471","Central","Unexpressed",0,5.26785815906333
"472","Central","Unexpressed",0,4.77068462446567
"473","Central","Expressed",0,5.9427993751267
"474","Bcl-2","Unexpressed",0,6.03787091992214
"475","Central","Unexpressed",0,5.81413053182507
"476","Central","Unexpressed",0,5.36129216570943
"477","Central","Expressed",0,4.78749174278205
"478","Jurkat","Unexpressed",0,4.87519732320115
"479","Active","Unexpressed",0,4.89783979995091
"480","Bcl-2","Unexpressed",0,4.85981240436167
"481","Jurkat","Expressed",0,4.64439089914137
"482","Jurkat","Expressed",0,4.68213122712422
"483","Central","Unexpressed",0,4.69134788222914
"484","Central","Expressed",0,5.41610040220442
"485","Active","Unexpressed",0,5.95064255258773
"486","Central","Unexpressed",0,5.96357934361845
"487","Resting","Expressed",0,5.88610403145016
"488","Resting","Unexpressed",0,5.8664680569333
"489","Active","Expressed",0,5.84932477994686
"490","Active","Unexpressed",0,4.969813299576
"491","Resting","Unexpressed",0,4.04305126783455
"492","Central","Unexpressed",29756,4.44265125649032
"493","Resting","Unexpressed",0,4.31748811353631
"494","Resting","Unexpressed",0,4.11087386417331
"495","Jurkat","Unexpressed",0,5.25749537202778
"496","Central","Expressed",0,5.2040066870768
"497","Resting","Unexpressed",0,5.25749537202778
"498","Central","Unexpressed",0,5.28826703069454
"499","Active","Expressed",0,5.4249500174814
"500","Central","Expressed",9746,5.35658627467201
"501","Central","Expressed",0,5.94542060860658
"502","Central","Expressed",0,5.52146091786225
"503","Active","Expressed",0,6.06610809010375
"504","Central","Expressed",1586,5.00394630594546
"505","Resting","Unexpressed",0,5.01063529409626
"506","Central","Expressed",0,5.63835466933375
"507","Bcl-2","Expressed",0,5.75890177387728
"508","Central","Expressed",0,5.75257263882563
"509","Central","Unexpressed",0,5.71702770140622
"510","Central","Expressed",0,5.7037824746562
"511","Central","Expressed",0,5.70711026474888
"512","Resting","Expressed",0,5.69035945432406
"513","Resting","Expressed",0,5.65599181081985
"514","Jurkat","Expressed",0,5.65599181081985
"515","Central","Unexpressed",0,5.68697535633982
"516","Resting","Expressed",0,5.63478960316925
"517","Resting","Unexpressed",0,5.53338948872752
"518","Central","Unexpressed",0,5.52146091786225
"519","Central","Unexpressed",0,5.52146091786225
"520","Resting","Unexpressed",737,5.62040086571715
"521","Jurkat","Expressed",0,5.27299955856375
"522","Active","Unexpressed",0,5.19295685089021
"523","Resting","Expressed",0,5.32300997913841
"524","Active","Unexpressed",0,5.4249500174814
"525","Central","Expressed",0,5.44241771052179
"526","Active","Expressed",0,5.56452040732269
"527","Bcl-2","Unexpressed",0,5.54907608489522
"528","Bcl-2","Unexpressed",0,6.30809844150953
"529","Central","Unexpressed",0,6.29526600143965
"530","Central","Expressed",0,6.29710931993394
"531","Central","Unexpressed",0,4.26267987704132
"532","Active","Unexpressed",0,4.24849524204936
"533","Jurkat","Expressed",0,4.20469261939097
"534","Jurkat","Expressed",0,4.38202663467388
"535","Central","Unexpressed",0,5.71702770140622
"536","Central","Unexpressed",0,4.84418708645859
"537","Jurkat","Unexpressed",0,4.68213122712422
"538","Central","Expressed",0,4.74493212836325
"539","Central","Expressed",0,5.56452040732269
"540","Resting","Unexpressed",0,5.35658627467201
"541","Jurkat","Unexpressed",0,5.20948615284142
"542","Central","Expressed",34609,4.45434729625351
"543","Central","Unexpressed",0,5.33271879326537
"544","Central","Expressed",0,5.28320372873799
"545","Central","Expressed",0,4.46590811865458
"546","Resting","Unexpressed",0,4.51085950651685
"547","Central","Expressed",0,5.62040086571715
"548","Central","Expressed",0,6.18001665365257
"549","Central","Expressed",0,6.18208490671663
"550","Active","Expressed",0,6.12249280951439
"551","Resting","Unexpressed",0,6.0913098820777
"552","Central","Expressed",0,6.08449941307517
"553","Central","Expressed",130,6.14846829591765
"554","Central","Expressed",0,5.90808293816893
"555","Central","Expressed",20595,5.00394630594546
"556","Resting","Unexpressed",0,4.23410650459726
"557","Resting","Unexpressed",0,4.51085950651685
"558","Central","Expressed",0,4.67282883446191
"559","Central","Expressed",0,6.21660610108486
"560","Central","Expressed",0,5.94803498918065
"561","Resting","Unexpressed",0,5.92958914338989
"562","Resting","Unexpressed",0,4.8283137373023
"563","Central","Expressed",0,5.17614973257383
"564","Active","Unexpressed",448495,4.14313472639153
"565","Central","Unexpressed",0,4.04305126783455
"566","Jurkat","Unexpressed",0,4.00733318523247
"567","Jurkat","Expressed",0,5.39362754635236
"568","Resting","Unexpressed",0,4.96284463025991
"569","Active","Unexpressed",0,5.4510384535657
"570","Jurkat","Expressed",0,6.08221891037645
"571","Central","Expressed",0,6.00881318544259
"572","Central","Expressed",574121,3.97029191355212
"573","Central","Unexpressed",915258,4.15888308335967
"574","Central","Expressed",978562,4.02535169073515
"575","Bcl-2","Expressed",105654,4.55387689160054
"576","Central","Expressed",17038,4.24849524204936
"577","Central","Expressed",0,5.24174701505964
"578","Resting","Expressed",0,5.91350300563827
"579","Central","Expressed",0,5.78689738136671
"580","Central","Expressed",0,5.20948615284142
"581","Central","Unexpressed",0,5.10594547390058
"582","Resting","Unexpressed",0,5.25227342804663
"583","Bcl-2","Expressed",0,5.52146091786225
"584","Central","Expressed",0,5.59471137960184
"585","Central","Unexpressed",0,4.78749174278205
"586","Central","Unexpressed",47671,4.65396035015752
"587","Active","Unexpressed",191099,4.48863636973214
"588","Central","Expressed",85013,4.26267987704132
"589","Active","Unexpressed",0,5.71042701737487
"590","Central","Expressed",0,5.98896141688986
"591","Active","Expressed",0,5.84354441703136
"592","Resting","Unexpressed",14967,5.83773044716594
"593","Central","Unexpressed",23540,5.9427993751267
"594","Resting","Expressed",0,6.03068526026126
"595","Resting","Unexpressed",27002,6.05443934626937
"596","Active","Unexpressed",29472,6.0591231955818
"597","Active","Unexpressed",43168,5.82304589548302
"598","Central","Unexpressed",0,5.71042701737487
"599","Resting","Unexpressed",0,5.99146454710798
"600","Active","Unexpressed",0,5.91350300563827
"601","Central","Expressed",0,6.14846829591765
"602","Active","Expressed",0,6.14846829591765
"603","Central","Unexpressed",0,6.17586727010576
"604","Active","Expressed",0,6.19440539110467
"605","Central","Unexpressed",0,6.16751649088834
"606","Active","Expressed",0,5.20948615284142
"607","Resting","Expressed",0,5.97126183979046
"608","Central","Unexpressed",0,4.8283137373023
"609","Central","Unexpressed",0,5.18178355029209
"610","Central","Expressed",0,5.68357976733868
"611","Central","Expressed",2691,5.29831736654804
"612","Central","Expressed",0,5.08140436498446
"613","Active","Unexpressed",0,5.03695260241363
"614","Resting","Unexpressed",0,4.969813299576
