"","age","length"
"624",2470,122
"625",2838,120
"626",5760,114
"627",6125,122
"628",2110,115
"629",2110,109
"630",2117,111
"631",5037,130
"632",3212,117
"633",3212,113
"634",5039,118
"635",4674,113
"636",2849,113
"637",2119,119
"638",3214,118
"639",1754,114
"640",7230,130
"641",3215,121
"642",3215,119
"643",3580,123
"644",3580,117
"645",4311,117
"646",2121,113
"647",3216,118
"648",5406,120
"649",2122,120
"650",3217,114
"651",2122,119
"652",5407,124
"653",3218,123
"654",3583,114
"655",5043,116
"656",2853,120
"657",2123,119
"658",3948,117
"659",5043,127
"660",2123,124
"661",2854,118
"662",2854,113
"663",2489,117
"664",2854,120
"665",3220,125
"666",4686,132
"667",2496,115
"668",2131,115
"669",2861,124
"670",2496,122
"671",3226,122
"672",4686,122
"673",2498,130
"674",5418,124
"675",4688,134
"676",2498,117
"677",2498,122
"678",2863,109
"679",3593,124
"680",4689,128
"681",2864,122
"682",2500,134
"683",5059,136
"684",2870,121
"685",2512,123
"686",3242,114
"687",2518,125
"688",3613,139
"689",5438,137
"690",3614,133
"691",2156,124
"692",5334,133
"693",2779,123
"694",2780,116
"695",3145,116
"696",2415,132
"697",3145,127
"698",2780,120
"699",3510,127
"700",2415,119
"701",3875,138
"702",3510,121
"703",2415,122
"704",3875,127
"705",2780,131
"706",6795,126
"707",3510,119
"708",4605,131
"709",2780,118
"710",3510,121
"711",2415,120
"712",5335,132
"713",3145,127
"714",2780,120
"715",4240,125
"716",2780,124
"717",3510,126
"718",3510,128
"719",4255,128
"720",3525,140
"721",4620,123
"722",4255,126
"723",2795,124
"724",3539,124
"725",4634,129
"726",1730,108
"727",2468,123
"728",3201,119
"729",4663,124
"730",1743,122
"731",2474,120
"732",2474,128
"733",6125,122
"734",3205,123
"735",2475,117
"736",1745,109
"737",4665,138
"738",3936,124
"739",4301,119
"740",1748,114
"741",2867,120
"742",2868,115
"743",3233,126
"744",2869,128
"745",5424,129
"746",5433,130
"747",6893,131
"748",2878,135
"749",3243,120
"750",5068,129
"751",3973,135
"752",4703,128
"753",5068,140
"754",5433,130
"755",2878,122
"756",4338,135
"757",3608,120
"758",3608,124
"759",1783,115
"760",2148,130
"761",2878,121
"762",5073,135
"763",5073,130
"764",3248,110
"765",3613,136
"766",3613,128
"767",5073,125
"768",3248,125
"769",3248,135
"770",6168,135
"771",3613,130
"772",2169,114
"773",2170,116
"774",3995,128
"775",2170,128
"776",3995,122
"777",3630,129
"778",1805,120
"779",2539,133
"780",5094,135
"781",3999,134
"782",3270,119
"783",4730,136
"784",2175,125
"785",4365,125
"786",4365,134
"787",4365,133
"788",3635,128
"789",6190,123
"790",5460,126
"791",2905,133
"792",1810,118
"793",4730,129
"794",2905,130
"795",3270,120
"796",4730,131
"797",4730,127
"798",5095,134
"799",3270,131
"800",2540,129
"801",3270,121
"802",2905,126
"803",2540,133
"804",2905,128
"805",3270,126
"806",2540,131
"807",4365,125
"808",2176,123
"809",2906,133
"810",2906,130
"811",4001,134
"812",2906,126
"813",5461,140
"814",3271,127
"815",4001,128
"816",4001,131
"817",6556,128
"818",1811,123
"819",3636,132
"820",3271,131
"821",4001,125
"822",3271,128
"823",4731,142
"824",4001,134
"825",3636,123
"826",3636,135
"827",3271,130
"828",1811,121
"829",3271,129
"830",4001,139
"831",2541,128
"832",2176,122
"833",5826,130
"834",2906,130
"835",5096,128
"836",3636,133
"837",5096,127
"838",3271,136
"839",3271,130
"840",3636,133
"841",4001,136
"842",3636,135
"843",3271,132
"844",2541,128
"845",3271,127
"846",3636,127
"847",2906,122
"848",3271,125
"849",4001,129
"850",2176,131
"851",3271,131
"852",2541,125
"853",3271,122
"854",3271,126
"855",5461,131
"856",3271,126
"857",3271,126
"858",3271,127
"859",3271,127
"860",5826,126
"861",2176,126
"862",4001,130
"863",4731,141
"864",3271,126
"865",1446,116
"866",5463,130
"867",2543,135
"868",2543,122
"869",1813,120
"870",3273,125
"871",2543,127
"872",2178,124
"873",4733,125
"874",2908,124
"875",5828,132
"876",4369,131
"877",3274,127
"878",2909,122
"879",1814,128
"880",2544,129
"881",5099,132
"882",1814,111
"883",3639,126
"884",4734,134
"885",3274,128
"886",1818,118
"887",2183,131
"888",1818,131
"889",4374,125
"890",2914,127
"891",2914,125
"892",2184,132
"893",3279,135
"894",3279,124
"895",2914,120
"896",2914,124
"897",2135,122
"898",1771,107
"899",4326,130
"900",2136,115
"901",4691,131
"902",2142,132
"903",3616,130
"904",3616,129
"905",3981,134
"906",3254,129
"907",1794,116
"908",4349,128
"909",3985,126
"910",2160,126
"911",4715,130
"912",3985,126
"913",5445,132
"914",4715,131
"915",4350,129
"916",3985,128
"917",5810,135
"918",4350,135
"919",3985,122
"920",2890,134
"921",5080,134
"922",3620,125
"923",5810,141
"924",6175,132
"925",4350,138
"926",6175,142
"927",3620,127
"928",5080,135
"929",6540,130
"930",5080,131
"931",3255,131
"932",4715,122
"933",5810,136
"934",2890,119
"935",2525,128
"936",3985,126
"937",3985,126
"938",4350,127
"939",4350,124
"940",5810,130
"941",5080,135
"942",2160,120
"943",3255,121
"944",5455,117
"945",5090,132
"946",3995,128
"947",2170,121
"948",4361,131
"949",3266,134
"950",2901,128
"951",5821,126
"952",2171,123
"953",3266,133
"954",4361,124
"955",5456,127
"956",3996,122
"957",3631,132
"958",4361,127
"959",5091,140
"960",4361,126
"961",2536,124
"962",3634,130
"963",1809,120
"964",3269,120
"965",4364,131
"966",5094,124
"967",4364,133
"968",4364,134
"969",3634,121
"970",5094,133
"971",4729,131
"972",2174,124
"973",3634,128
"974",5094,131
"975",4729,130
"976",3999,129
"977",6554,140
"978",4364,120
"979",5824,129
"980",2174,124
"981",5459,134
"982",4729,136
"983",5824,134
"984",3634,140
"985",2539,123
"986",3999,123
"987",4729,132
"988",5824,129
"989",5459,124
"990",7284,138
"991",2539,124
"992",5824,135
"993",5824,125
"994",4364,135
"995",3634,127
"996",6554,136
"997",2539,119
"998",3999,123
"999",5459,129
"1000",3999,130
"1001",5094,137
"1002",5094,122
"1003",4729,130
"1004",2904,131
"1005",5094,122
"1006",4364,126
"1007",5459,129
"1008",5094,123
"1009",4364,130
"1010",2904,131
"1011",2904,127
"1012",3269,123
"1013",2904,130
"1014",3999,126
"1015",5459,130
"1016",4364,121
"1017",5461,132
"1018",4731,125
"1019",4001,135
"1020",6192,138
"1021",2920,119
"1022",3650,129
"1023",2191,128
"1024",3651,122
"1025",3212,119
"1026",2117,114
"1027",2123,115
"1028",2125,120
"1029",4680,127
"1030",3952,141
"1031",5057,133
"1032",2868,119
"1033",2507,123
"1034",2874,115
"1035",3604,122
"1036",2874,128
"1037",2144,114
"1038",4334,126
"1039",2154,110
"1040",3253,121
"1041",4349,128
"1042",2160,114
"1043",2525,109
"1044",2161,121
"1045",3256,127
"1046",1796,123
"1047",3256,129
"1048",2536,120
"1049",2174,124
"1050",2175,116
"1051",2113,120
"1052",2113,119
"1053",3573,118
"1054",2113,120
"1055",3580,124
"1056",4310,116
"1057",3580,126
"1058",1755,117
"1059",3215,122
"1060",3945,135
"1061",2485,115
"1062",3950,122
"1063",2146,114
"1064",2511,126
"1065",1711,117
"1066",4631,124
"1067",2817,117
"1068",1722,110
"1069",3548,115
"1070",2819,114
"1071",2089,119
"1072",5010,111
"1073",3550,120
"1074",3916,121
"1075",2456,129
"1076",1726,123
"1077",3916,126
"1078",2457,120
"1079",2823,115
"1080",5743,118
"1081",5013,122
"1082",2458,119
"1083",1728,114
"1084",2458,120
"1085",2093,111
"1086",5015,116
"1087",2460,116
"1088",2460,110
"1089",2095,110
"1090",1731,111
"1091",2826,113
"1092",3922,133
"1093",2462,118
"1094",2097,133
"1095",2463,124
"1096",2834,122
"1097",3564,118
"1098",3564,121
"1099",4660,117
"1100",2835,128
"1101",4660,128
"1102",3565,114
"1103",5025,144
"1104",3930,134
"1105",2836,133
"1106",2473,120
"1107",2838,122
"1108",2108,118
"1109",2108,115
"1110",3205,119
"1111",3216,127
"1112",2851,114
"1113",3581,126
"1114",3582,125
"1115",2122,117
"1116",2852,128
"1117",2863,120
"1118",2137,114
"1119",1774,121
"1120",2464,120
"1121",2829,121
"1122",2099,126
"1123",3925,122
"1124",2465,126
"1125",4291,116
"1126",2466,125
"1127",2466,120
"1128",3201,121
"1129",2471,121
"1130",2472,113
"1131",3202,125
"1132",3202,119
"1133",3567,122
"1134",3210,122
"1135",2858,123
"1136",3223,120
"1137",2137,124
"1138",2503,127
"1139",4693,138
"1140",2143,118
"1141",3553,115
"1142",6473,124
"1143",3921,118
"1144",2828,130
"1145",2828,128
"1146",3559,144
"1147",2830,122
"1148",3560,114
"1149",3560,123
"1150",3925,124
"1151",6845,134
"1152",3925,124
"1153",3195,123
"1154",2466,113
"1155",2831,115
"1156",6481,125
"1157",3197,120
"1158",3567,120
"1159",3203,124
"1160",7218,126
"1161",2480,123
"1162",3576,116
"1163",4306,124
"1164",2481,121
"1165",2848,126
"1166",1390,111
"1167",2485,116
"1168",2120,115
"1169",3580,119
"1170",1755,105
"1171",3580,125
"1172",3215,120
"1173",2120,123
"1174",3580,126
"1175",4310,127
"1176",2485,127
"1177",5040,130
"1178",3945,117
"1179",2850,127
"1180",1755,120
"1181",3216,124
"1182",2121,116
"1183",5041,126
"1184",2851,119
"1185",3581,127
"1186",2121,117
"1187",4311,118
"1188",3216,120
"1189",3216,121
"1190",1758,105
"1191",2123,125
"1192",3583,123
"1193",2128,117
"1194",2128,125
"1195",2858,126
"1196",3223,117
"1197",2493,127
"1198",3226,122
"1199",1766,121
"1200",3226,122
"1201",1766,120
"1202",1771,118
"1203",5422,127
"1204",5787,122
"1205",3962,119
"1206",2137,124
"1207",2137,120
"1208",2137,123
"1209",3234,125
"1210",5424,127
"1211",2139,123
"1212",2154,117
"1213",2155,121
"1214",3980,125
"1215",3615,127
"1216",2156,123
"1217",2156,113
"1218",5807,127
"1219",5807,125
"1220",2157,124
"1221",2157,126
"1222",3260,125
"1223",5815,128
"1224",3626,133
"1225",6181,135
"1226",3629,135
"1227",2534,123
"1228",3630,129
"1229",1440,111
"1230",1805,115
"1231",1805,118
"1232",2901,125
"1233",2172,120
"1234",1807,118
"1235",5092,133
"1236",2172,130
"1237",2172,132
"1238",3267,126
"1239",2172,126
"1240",5092,144
"1241",5822,135
"1242",2537,125
"1243",3267,132
"1244",2173,124
"1245",2538,126
"1246",2177,131
"1247",4002,126
"1248",4732,128
"1249",2907,126
"1250",2178,120
"1251",3273,128
"1252",4735,132
"1253",3641,127
"1254",2546,121
"1255",3276,130
"1256",2546,124
"1257",4006,127
"1258",1816,108
"1259",1821,114
"1260",2186,117
"1261",3646,128
"1262",2186,118
"1263",2554,125
"1264",1826,114
"1265",4659,109
"1266",3564,120
"1267",1739,109
"1268",5754,137
"1269",3930,115
"1270",1740,117
"1271",2470,127
"1272",2835,116
"1273",1740,120
"1274",2105,114
"1275",3930,117
"1276",4661,120
"1277",2471,124
"1278",2836,118
"1279",5026,120
"1280",5391,126
"1281",3566,120
"1282",6851,116
"1283",2837,117
"1284",4297,120
"1285",2472,110
"1286",3202,117
"1287",3568,120
"1288",3204,124
"1289",5759,128
"1290",3934,122
"1291",4299,116
"1292",3205,115
"1293",2475,117
"1294",4300,120
"1295",1747,118
"1296",2112,120
"1297",2842,126
"1298",3573,124
"1299",4668,130
"1300",4303,120
"1301",2843,113
"1302",3938,121
"1303",3573,117
"1304",4310,111
"1305",1766,118
"1306",1766,113
"1307",2132,119
"1308",3227,122
"1309",2134,118
"1310",2135,123
"1311",1770,112
"1312",1774,112
"1313",6884,127
"1314",2139,119
"1315",4333,130
"1316",5793,136
"1317",5063,126
"1318",3238,130
"1319",2509,127
"1320",7621,130
"1321",1783,116
"1322",5068,117
"1323",1783,125
"1324",7259,123
"1325",3609,126
"1326",4339,124
"1327",3244,114
"1328",1784,125
"1329",3609,122
"1330",3609,116
"1331",7260,130
"1332",2150,120
"1333",2515,111
"1334",3975,119
"1335",2516,120
"1336",4341,114
"1337",1786,119
"1338",3843,122
"1339",2018,108
"1340",4573,116
"1341",2748,116
"1342",3478,124
"1343",4573,121
"1344",3478,120
"1345",2018,112
"1346",2383,125
"1347",4939,118
"1348",3480,117
"1349",4210,117
"1350",3480,122
"1351",1655,106
"1352",2385,117
"1353",2020,113
"1354",3115,113
"1355",3480,117
"1356",3115,117
"1357",4210,130
"1358",2385,111
"1359",6037,120
"1360",4213,127
"1361",2023,117
"1362",4952,132
"1363",6412,123
"1364",4587,131
"1365",2397,121
"1366",4952,125
"1367",4587,127
"1368",5317,117
"1369",2397,124
"1370",2397,123
"1371",3127,123
"1372",3857,125
"1373",2036,127
"1374",2766,137
"1375",6781,134
"1376",5321,125
"1377",3498,124
"1378",2768,118
"1379",2768,129
"1380",3505,116
"1381",3140,127
"1382",2412,117
"1383",3872,131
"1384",2051,122
"1385",2051,116
"1386",3146,121
"1387",2051,122
"1388",2782,120
"1389",2782,125
"1390",2417,122
"1391",1687,131
"1392",2052,120
"1393",2052,125
"1394",3158,122
"1395",2430,112
"1396",1701,115
"1397",4621,121
"1398",4261,128
"1399",2744,122
"1400",1649,125
"1401",6394,127
"1402",3110,129
"1403",2380,125
"1404",3110,122
"1405",4205,134
"1406",6395,129
"1407",2745,127
"1408",4571,128
"1409",4571,129
"1410",4207,114
"1411",2382,124
"1412",2017,118
"1413",2749,120
"1414",3479,125
"1415",2384,126
"1416",2019,111
"1417",4209,132
"1418",2384,126
"1419",4209,134
"1420",4209,132
"1421",1654,117
"1422",2385,122
"1423",3117,117
"1424",3847,125
"1425",3482,128
"1426",2752,113
"1427",1657,124
"1428",6767,139
"1429",2387,131
"1430",2022,123
"1431",5307,126
"1432",2022,117
"1433",2032,116
"1434",2762,125
"1435",2765,121
"1436",2035,128
"1437",3860,134
"1438",2400,125
"1439",6415,123
"1440",3860,131
"1441",4226,128
"1442",2401,119
"1443",3131,127
"1444",2039,121
"1445",4594,136
"1446",2769,119
"1447",2051,119
"1448",2052,118
"1449",1694,119
"1450",1719,117
"1451",6099,121
"1452",4274,141
"1453",2084,122
"1454",4639,124
"1455",2084,126
"1456",1719,118
"1457",2449,124
"1458",1719,122
"1459",2449,124
"1460",2814,120
"1461",3909,125
"1462",6829,131
"1463",3909,131
"1464",1719,116
"1465",2084,119
"1466",2449,121
"1467",2450,121
"1468",2085,115
"1469",4275,129
"1470",2450,121
"1471",2815,129
"1472",2450,121
"1473",2450,122
"1474",3545,131
"1475",3546,126
"1476",2451,115
"1477",2816,127
"1478",2453,127
"1479",3183,121
"1480",4278,124
"1481",3183,134
"1482",6103,128
"1483",3548,126
"1484",5373,132
"1485",2453,126
"1486",2088,116
"1487",4643,123
"1488",2092,116
"1489",4282,119
"1490",3917,135
"1491",4282,132
"1492",4287,131
"1493",5017,124
"1494",3192,133
"1495",2827,125
"1496",5748,133
"1497",4291,128
"1498",5997,119
"1499",6729,119
"1500",2354,119
"1501",1260,122
"1502",3452,123
"1503",7102,139
"1504",1263,119
"1505",3819,123
"1506",5280,133
"1507",3820,133
"1508",6011,124
"1509",3473,123
"1510",1648,119
"1511",4203,128
"1512",2021,127
"1513",2751,129
"1514",4941,130
"1515",2751,129
"1516",3846,131
"1517",3116,124
"1518",3483,123
"1519",2388,125
"1520",2388,124
"1521",2391,123
"1522",2032,127
"1523",4223,133
"1524",3130,124
"1525",1671,127
"1526",2036,126
"1527",2766,126
"1528",2766,121
"1529",4237,133
"1530",3874,119
"1531",2056,127
"1532",3881,130
"1533",6076,137
"1534",2428,126
"1535",4178,134
"1536",2721,133
"1537",4567,125
"1538",3837,128
"1539",2742,132
"1540",5297,132
"1541",3107,122
"1542",4203,134
"1543",3473,124
"1544",2743,124
"1545",4934,123
"1546",6029,124
"1547",2379,130
"1548",4204,124
"1549",5299,121
"1550",4934,128
"1551",2744,119
"1552",2744,122
"1553",2744,128
"1554",3839,131
"1555",6035,126
"1556",2397,134
"1557",6049,127
"1558",2767,124
"1559",2406,123
"1560",2406,122
"1561",1676,127
"1562",5326,131
"1563",2041,119
"1564",3137,131
"1565",3867,121
"1566",3867,131
"1567",4913,112
"1568",4914,124
"1569",4184,136
"1570",1647,105
"1571",3841,123
"1572",3111,124
"1573",2381,123
"1574",2016,117
"1575",4206,122
"1576",3476,113
"1577",3476,116
"1578",2381,114
"1579",5666,122
"1580",3841,112
"1581",3476,122
"1582",4937,114
"1583",3112,115
"1584",3112,122
"1585",5667,132
"1586",4207,127
"1587",2382,114
"1588",6762,128
"1589",3112,116
"1590",3842,124
"1591",4945,122
"1592",7135,124
"1593",3125,118
"1594",3125,119
"1595",2922,112
"1596",4750,127
"1597",5480,132
"1598",5847,130
"1599",4387,138
"1600",5117,138
"1601",2197,117
"1602",2197,121
"1603",5117,118
"1604",2927,124
"1605",2198,129
"1606",4760,137
"1607",3513,123
"1608",3519,123
"1609",3884,117
"1610",3154,124
"1611",3884,122
"1612",3154,122
"1613",3519,122
"1614",2060,115
"1615",3520,119
"1616",4602,130
"1617",4605,125
"1618",2420,115
"1619",5705,122
"1620",2785,119
"1621",4967,123
"1622",2047,109
"1623",4235,122
"1624",3870,119
"1625",3872,116
"1626",3142,116
"1627",4237,129
"1628",2047,116
"1629",2777,125
"1630",4967,114
"1631",2048,118
"1632",2413,123
"1633",3873,124
"1634",3873,141
"1635",2048,123
"1636",3873,127
"1637",4238,135
"1638",3873,127
"1639",2050,120
"1640",1685,117
"1641",2050,119
"1642",3510,124
"1643",2782,122
"1644",2417,117
"1645",2052,120
"1646",4607,128
"1647",3877,127
"1648",2782,120
"1649",3878,120
"1650",3148,122
"1651",3148,121
"1652",3513,123
"1653",2053,115
"1654",3148,126
"1655",3878,123
"1656",2418,122
"1657",958,115
"1658",2053,125
"1659",2419,119
"1660",3879,121
"1661",2054,122
"1662",3514,124
"1663",2419,119
"1664",3879,130
"1665",2420,118
