"","flower.length","generation"
"158",67,"F1"
"159",67,"F1"
"160",67,"F1"
"161",67,"F1"
"162",67,"F1"
"163",67,"F1"
"164",67,"F1"
"165",67,"F1"
"166",67,"F1"
"167",67,"F1"
"168",67,"F1"
"169",67,"F1"
"170",67,"F1"
"171",70,"F1"
"172",70,"F1"
"173",70,"F1"
"174",52,"F2"
"175",52,"F2"
"176",52,"F2"
"177",55,"F2"
"178",55,"F2"
"179",55,"F2"
"180",55,"F2"
"181",55,"F2"
"182",55,"F2"
"183",55,"F2"
"184",55,"F2"
"185",55,"F2"
"186",58,"F2"
"187",58,"F2"
"188",58,"F2"
"189",58,"F2"
"190",58,"F2"
"191",58,"F2"
"192",58,"F2"
"193",58,"F2"
"194",58,"F2"
"195",58,"F2"
"196",58,"F2"
"197",58,"F2"
"198",58,"F2"
"199",58,"F2"
"200",58,"F2"
"201",58,"F2"
"202",58,"F2"
"203",58,"F2"
"204",61,"F2"
"205",61,"F2"
"206",61,"F2"
"207",61,"F2"
"208",61,"F2"
"209",61,"F2"
"210",61,"F2"
"211",61,"F2"
"212",61,"F2"
"213",61,"F2"
"214",61,"F2"
"215",61,"F2"
"216",61,"F2"
"217",61,"F2"
"218",61,"F2"
"219",61,"F2"
"220",61,"F2"
"221",61,"F2"
"222",61,"F2"
"223",61,"F2"
"224",61,"F2"
"225",61,"F2"
"226",61,"F2"
"227",61,"F2"
"228",61,"F2"
"229",61,"F2"
"230",61,"F2"
"231",61,"F2"
"232",61,"F2"
"233",61,"F2"
"234",61,"F2"
"235",61,"F2"
"236",61,"F2"
"237",61,"F2"
"238",61,"F2"
"239",61,"F2"
"240",61,"F2"
"241",61,"F2"
"242",61,"F2"
"243",61,"F2"
"244",61,"F2"
"245",61,"F2"
"246",61,"F2"
"247",61,"F2"
"248",61,"F2"
"249",61,"F2"
"250",61,"F2"
"251",64,"F2"
"252",64,"F2"
"253",64,"F2"
"254",64,"F2"
"255",64,"F2"
"256",64,"F2"
"257",64,"F2"
"258",64,"F2"
"259",64,"F2"
"260",64,"F2"
"261",64,"F2"
"262",64,"F2"
"263",64,"F2"
"264",64,"F2"
"265",64,"F2"
"266",64,"F2"
"267",64,"F2"
"268",64,"F2"
"269",64,"F2"
"270",64,"F2"
"271",64,"F2"
"272",64,"F2"
"273",64,"F2"
"274",64,"F2"
"275",64,"F2"
"276",64,"F2"
"277",64,"F2"
"278",64,"F2"
"279",64,"F2"
"280",64,"F2"
"281",64,"F2"
"282",64,"F2"
"283",64,"F2"
"284",64,"F2"
"285",64,"F2"
"286",64,"F2"
"287",64,"F2"
"288",64,"F2"
"289",64,"F2"
"290",64,"F2"
"291",64,"F2"
"292",64,"F2"
"293",64,"F2"
"294",64,"F2"
"295",64,"F2"
"296",64,"F2"
"297",64,"F2"
"298",64,"F2"
"299",64,"F2"
"300",64,"F2"
"301",64,"F2"
"302",64,"F2"
"303",64,"F2"
"304",64,"F2"
"305",64,"F2"
"306",67,"F2"
"307",67,"F2"
"308",67,"F2"
"309",67,"F2"
"310",67,"F2"
"311",67,"F2"
"312",67,"F2"
"313",67,"F2"
"314",67,"F2"
"315",67,"F2"
"316",67,"F2"
"317",67,"F2"
"318",67,"F2"
"319",67,"F2"
"320",67,"F2"
"321",67,"F2"
"322",67,"F2"
"323",67,"F2"
"324",67,"F2"
"325",67,"F2"
"326",67,"F2"
"327",67,"F2"
"328",67,"F2"
"329",67,"F2"
"330",67,"F2"
"331",67,"F2"
"332",67,"F2"
"333",67,"F2"
"334",67,"F2"
"335",67,"F2"
"336",67,"F2"
"337",67,"F2"
"338",67,"F2"
"339",67,"F2"
"340",67,"F2"
"341",67,"F2"
"342",67,"F2"
"343",67,"F2"
"344",67,"F2"
"345",67,"F2"
"346",67,"F2"
"347",67,"F2"
"348",67,"F2"
"349",67,"F2"
"350",67,"F2"
"351",67,"F2"
"352",67,"F2"
"353",67,"F2"
"354",67,"F2"
"355",67,"F2"
"356",67,"F2"
"357",67,"F2"
"358",67,"F2"
"359",67,"F2"
"360",67,"F2"
"361",67,"F2"
"362",67,"F2"
"363",67,"F2"
"364",67,"F2"
"365",67,"F2"
"366",67,"F2"
"367",67,"F2"
"368",67,"F2"
"369",67,"F2"
"370",67,"F2"
"371",67,"F2"
"372",67,"F2"
"373",67,"F2"
"374",67,"F2"
"375",67,"F2"
"376",67,"F2"
"377",67,"F2"
"378",67,"F2"
"379",67,"F2"
"380",67,"F2"
"381",67,"F2"
"382",67,"F2"
"383",67,"F2"
"384",67,"F2"
"385",67,"F2"
"386",67,"F2"
"387",67,"F2"
"388",67,"F2"
"389",67,"F2"
"390",67,"F2"
"391",67,"F2"
"392",67,"F2"
"393",67,"F2"
"394",67,"F2"
"395",67,"F2"
"396",67,"F2"
"397",67,"F2"
"398",67,"F2"
"399",70,"F2"
"400",70,"F2"
"401",70,"F2"
"402",70,"F2"
"403",70,"F2"
"404",70,"F2"
"405",70,"F2"
"406",70,"F2"
"407",70,"F2"
"408",70,"F2"
"409",70,"F2"
"410",70,"F2"
"411",70,"F2"
"412",70,"F2"
"413",70,"F2"
"414",70,"F2"
"415",70,"F2"
"416",70,"F2"
"417",70,"F2"
"418",70,"F2"
"419",70,"F2"
"420",70,"F2"
"421",70,"F2"
"422",70,"F2"
"423",70,"F2"
"424",70,"F2"
"425",70,"F2"
"426",70,"F2"
"427",70,"F2"
"428",70,"F2"
"429",70,"F2"
"430",70,"F2"
"431",70,"F2"
"432",70,"F2"
"433",70,"F2"
"434",70,"F2"
"435",70,"F2"
"436",70,"F2"
"437",70,"F2"
"438",70,"F2"
"439",70,"F2"
"440",70,"F2"
"441",70,"F2"
"442",70,"F2"
"443",70,"F2"
"444",70,"F2"
"445",70,"F2"
"446",70,"F2"
"447",70,"F2"
"448",70,"F2"
"449",70,"F2"
"450",70,"F2"
"451",70,"F2"
"452",70,"F2"
"453",70,"F2"
"454",70,"F2"
"455",70,"F2"
"456",70,"F2"
"457",70,"F2"
"458",70,"F2"
"459",70,"F2"
"460",70,"F2"
"461",70,"F2"
"462",70,"F2"
"463",70,"F2"
"464",70,"F2"
"465",70,"F2"
"466",70,"F2"
"467",70,"F2"
"468",70,"F2"
"469",70,"F2"
"470",70,"F2"
"471",70,"F2"
"472",70,"F2"
"473",70,"F2"
"474",73,"F2"
"475",73,"F2"
"476",73,"F2"
"477",73,"F2"
"478",73,"F2"
"479",73,"F2"
"480",73,"F2"
"481",73,"F2"
"482",73,"F2"
"483",73,"F2"
"484",73,"F2"
"485",73,"F2"
"486",73,"F2"
"487",73,"F2"
"488",73,"F2"
"489",73,"F2"
"490",73,"F2"
"491",73,"F2"
"492",73,"F2"
"493",73,"F2"
"494",73,"F2"
"495",73,"F2"
"496",73,"F2"
"497",73,"F2"
"498",73,"F2"
"499",73,"F2"
"500",73,"F2"
"501",73,"F2"
"502",73,"F2"
"503",73,"F2"
"504",73,"F2"
"505",73,"F2"
"506",73,"F2"
"507",73,"F2"
"508",73,"F2"
"509",73,"F2"
"510",73,"F2"
"511",73,"F2"
"512",73,"F2"
"513",73,"F2"
"514",73,"F2"
"515",73,"F2"
"516",73,"F2"
"517",73,"F2"
"518",73,"F2"
"519",73,"F2"
"520",73,"F2"
"521",73,"F2"
"522",73,"F2"
"523",73,"F2"
"524",73,"F2"
"525",73,"F2"
"526",73,"F2"
"527",73,"F2"
"528",73,"F2"
"529",73,"F2"
"530",73,"F2"
"531",73,"F2"
"532",73,"F2"
"533",73,"F2"
"534",76,"F2"
"535",76,"F2"
"536",76,"F2"
"537",76,"F2"
"538",76,"F2"
"539",76,"F2"
"540",76,"F2"
"541",76,"F2"
"542",76,"F2"
"543",76,"F2"
"544",76,"F2"
"545",76,"F2"
"546",76,"F2"
"547",76,"F2"
"548",76,"F2"
"549",76,"F2"
"550",76,"F2"
"551",76,"F2"
"552",76,"F2"
"553",76,"F2"
"554",76,"F2"
"555",76,"F2"
"556",76,"F2"
"557",76,"F2"
"558",76,"F2"
"559",76,"F2"
"560",76,"F2"
"561",76,"F2"
"562",76,"F2"
"563",76,"F2"
"564",76,"F2"
"565",76,"F2"
"566",76,"F2"
"567",76,"F2"
"568",76,"F2"
"569",76,"F2"
"570",76,"F2"
"571",76,"F2"
"572",76,"F2"
"573",76,"F2"
"574",76,"F2"
"575",76,"F2"
"576",76,"F2"
"577",79,"F2"
"578",79,"F2"
"579",79,"F2"
"580",79,"F2"
"581",79,"F2"
"582",79,"F2"
"583",79,"F2"
"584",79,"F2"
"585",79,"F2"
"586",79,"F2"
"587",79,"F2"
"588",79,"F2"
"589",79,"F2"
"590",79,"F2"
"591",79,"F2"
"592",79,"F2"
"593",79,"F2"
"594",79,"F2"
"595",79,"F2"
"596",79,"F2"
"597",79,"F2"
"598",79,"F2"
"599",79,"F2"
"600",79,"F2"
"601",79,"F2"
"602",82,"F2"
"603",82,"F2"
"604",82,"F2"
"605",82,"F2"
"606",82,"F2"
"607",82,"F2"
"608",82,"F2"
"609",85,"F2"
"610",85,"F2"
"611",85,"F2"
"612",85,"F2"
"613",85,"F2"
"614",85,"F2"
"615",85,"F2"
"616",85,"F2"
"617",88,"F2"
