"","genotype","plates"
"146","Mm",54
"147","mm",12
"148","MM",63
"149","Mm",47
"150","MM",65
"151","MM",62
"152","MM",63
"153","Mm",48
"154","Mm",59
"155","mm",8
"156","mm",12
"157","Mm",62
"158","MM",61
"159","MM",64
"160","Mm",61
"161","Mm",31
"162","mm",11
"163","Mm",24
"164","Mm",26
"165","mm",14
"166","Mm",64
"167","mm",12
"168","Mm",25
"169","Mm",49
"170","MM",61
"171","Mm",60
"172","MM",65
"173","Mm",61
"174","MM",64
"175","MM",63
"176","Mm",62
"177","mm",8
"178","MM",65
"179","mm",12
"180","Mm",22
"181","Mm",48
"182","Mm",68
"183","Mm",42
"184","Mm",63
"185","Mm",62
"186","Mm",27
"187","mm",10
"188","Mm",61
"189","MM",63
"190","Mm",29
"191","Mm",62
"192","MM",64
"193","mm",9
"194","MM",42
"195","Mm",35
"196","mm",10
"197","Mm",62
"198","Mm",61
"199","Mm",62
"200","Mm",51
"201","Mm",59
"202","Mm",45
"203","Mm",62
"204","Mm",60
"205","Mm",63
"206","Mm",60
"207","MM",62
"208","MM",64
"209","Mm",29
"210","Mm",63
"211","mm",14
"212","Mm",21
"213","mm",10
"214","mm",8
"215","Mm",64
"216","MM",63
"217","Mm",60
"218","Mm",51
"219","Mm",58
"220","Mm",45
"221","mm",14
"222","mm",10
"223","Mm",39
"224","Mm",49
"225","Mm",13
"226","mm",14
"227","MM",65
"228","MM",63
"229","MM",69
"230","Mm",61
"231","Mm",62
"232","mm",12
"233","MM",62
"234","MM",63
"235","MM",62
"236","MM",63
"237","Mm",54
"238","Mm",60
"239","MM",64
"240","Mm",41
"241","MM",62
"242","mm",11
"243","mm",12
"244","Mm",61
"245","Mm",61
"246","Mm",64
"247","MM",67
"248","mm",12
"249","mm",14
"250","MM",66
"251","mm",12
"252","Mm",54
"253","MM",60
"254","Mm",64
"255","Mm",40
"256","mm",12
"257","mm",9
"258","Mm",59
"259","Mm",45
"260","MM",66
"261","mm",11
"262","Mm",34
"263","Mm",62
"264","mm",14
"265","Mm",52
"266","Mm",17
"267","Mm",64
"268","Mm",51
"269","mm",9
"270","MM",56
"271","Mm",57
"272","mm",9
"273","Mm",62
"274","MM",62
"275","Mm",60
"276","mm",11
"277","Mm",61
"278","Mm",24
"279","MM",62
"280","mm",12
"281","mm",10
"282","Mm",60
"283","MM",64
"284","Mm",62
"285","Mm",53
"286","mm",10
"287","MM",65
"288","mm",11
"289","Mm",64
"290","Mm",37
"291","Mm",54
"292","MM",62
"293","mm",11
"294","MM",65
"295","Mm",62
"296","Mm",60
"297","mm",14
"298","MM",62
"299","MM",62
"300","mm",13
"301","MM",63
"302","MM",64
"303","MM",64
"304","Mm",24
"305","Mm",23
"306","MM",63
"307","mm",11
"308","mm",9
"309","MM",64
"310","MM",62
"311","mm",12
"312","Mm",41
"313","Mm",61
"314","Mm",59
"315","Mm",59
"316","MM",57
"317","mm",14
"318","Mm",12
"319","Mm",20
"320","Mm",42
"321","Mm",10
"322","MM",62
"323","Mm",47
"324","mm",11
"325","Mm",64
"326","Mm",64
"327","Mm",42
"328","Mm",61
"329","Mm",26
"330","Mm",27
"331","mm",12
"332","MM",61
"333","mm",11
"334","mm",6
"335","Mm",64
"336","Mm",62
"337","Mm",61
"338","mm",14
"339","Mm",60
"340","mm",8
"341","MM",62
"342","mm",14
"343","Mm",60
"344","mm",11
