"","species","traitname","strength.of.selection","sample.size","authors","year","journal","volume.pages"
"73","Homo sapiens","fathers life span",0.18,137,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"74","Homo sapiens","mother age at first repro",-0.42,137,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"75","Homo sapiens","father age at first repro",-0.08,137,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"76","Cordylochernes scorpioides","PC1PALP(chelipeds)",0.95,44,"Zeh et al.",1997,"Proc R Soc Lond B","264:119-125"
"77","Cordylochernes scorpioides","PC2CEPH (chephalothorax)",-0.42,44,"Zeh et al.",1997,"Proc R Soc Lond B","264:119-125"
"78","Aquarius remigis","Thorax Length",0.077,242,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"79","Aquarius remigis","Abdomen Length",0.036,242,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"80","Aquarius remigis","Genital Length",0.322,242,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"81","Aquarius remigis","Hind Femoral Length",0.35,242,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"82","Aquarius remigis","Midfemoral Length",-0.499,242,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"83","Aquarius remigis","Forefemoral Length",0.46,242,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"84","Aquarius remigis","Forefemoral Width",0.219,242,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"85","Aquarius remigis","Thorax Length",-0.069,214,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"86","Aquarius remigis","Abdomen Length",0.014,214,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"87","Aquarius remigis","Genital Length",0.423,214,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"88","Aquarius remigis","Hind Femoral Length",0.039,214,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"89","Aquarius remigis","Midfemoral Length",-0.13,214,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"90","Aquarius remigis","Forefemoral Length",-0.031,214,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"91","Aquarius remigis","Forefemoral Width",0.005,214,"Preziosi, R. F. and D. Fairbairn",1996,"JEB","9:317-336"
"92","Aquarius remigis","Thorax Length",0.094,242,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"93","Aquarius remigis","Abdomen Length",0.144,242,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"94","Aquarius remigis","Genital Length",0.306,242,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"95","Aquarius remigis","Hind Femoral Length",0.127,242,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"96","Aquarius remigis","Midfemoral Length",-0.199,242,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"97","Aquarius remigis","Forefemoral Length",0.17,242,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"98","Aquarius remigis","Forefemoral Width",-0.13,242,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"99","Aquarius remigis","Thorax Length",-0.036,214,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"100","Aquarius remigis","Abdomen Length",-0.004,214,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"101","Aquarius remigis","Genital Length",0.354,214,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"102","Aquarius remigis","Hind Femoral Length",0.093,214,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"103","Aquarius remigis","Midfemoral Length",-0.184,214,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"104","Aquarius remigis","Forefemoral Length",-0.029,214,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"105","Aquarius remigis","Forefemoral Width",0.028,214,"Preziosi, R. F. and D. J. Fairbairn",1996,"JEB","9:317-336"
"106","Parus major","Size: indexed as 1st PC from morphological data",0.06,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"107","Parus major","Tarsus length (size corrected)",0.36,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"108","Parus major","Bill length (size corrected)",-0.24,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"109","Parus major","Bill depth (size corrected)",-0.03,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"110","Parus major","Wing length (size corrected)",0.17,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"111","Parus major","Length of 1st primary (size corrected)",0.09,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"112","Parus major","Tail length (size corrected)",0.17,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"113","Parus major","Size: indexed as 1st PC from morphological data",0.12,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"114","Parus major","Tarsus length (size corrected)",0.28,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"115","Parus major","Bill length (size corrected)",0.14,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"116","Parus major","Bill depth (size corrected)",0.32,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"117","Parus major","Wing length (size corrected)",0.05,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"118","Parus major","Length of 1st primary (size corrected)",-0.4,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"119","Parus major","Tail length (size corrected)",0.17,255,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"120","Parus major","Size: indexed as 1st PC from morphological data",0.31,193,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"121","Parus major","Tarsus length (size corrected)",0.15,193,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"122","Parus major","Bill length (size corrected)",0.14,193,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"123","Parus major","Bill depth (size corrected)",0.13,193,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"124","Parus major","Wing length (size corrected)",0.46,193,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"125","Parus major","Length of 1st primary (size corrected)",-0.24,193,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"126","Parus major","Tail length (size corrected)",-0.05,193,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"127","Parus major","Size: indexed as 1st PC from morphological data",0.25,126,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"128","Parus major","Tarsus length (size corrected)",-0.38,126,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"129","Parus major","Bill length (size corrected)",-0.6,126,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"130","Parus major","Bill depth (size corrected)",-0.1,126,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"131","Parus major","Wing length (size corrected)",0.41,126,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"132","Parus major","Length of 1st primary (size corrected)",-0.26,126,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"133","Parus major","Tail length (size corrected)",0.61,126,"Bjorklund, M. and M. Linden",1993,"JEB","6:397-415"
"134","Brassica nigra","Flower Size",-0.01,42,"Conner, J. K. and S. Rush",1997,"JEB","10:327-335"
"135","Brassica nigra","Stigma Exsertion",0.09,42,"Conner, J. K. and S. Rush",1997,"JEB","10:327-335"
"136","Brassica nigra","Ovules per Flower",0.05,42,"Conner, J. K. and S. Rush",1997,"JEB","10:327-335"
"137","Brassica nigra","Flower Number",0.75,42,"Conner, J. K. and S. Rush",1997,"JEB","10:327-335"
"138","Brassica nigra","Flowering Time",-0.16,42,"Conner, J. K. and S. Rush",1997,"JEB","10:327-335"
"139","Mimulus guttatus","Date of first flower",-0.314,186,"Willis",1996,"Evolution","50:1501-1511"
"140","Mimulus guttatus","Internode length",0.408,184,"Willis",1996,"Evolution","50:1501-1511"
"141","Mimulus guttatus","Corolla length",0.471,183,"Willis",1996,"Evolution","50:1501-1511"
"142","Mimulus guttatus","Flower width",0.52,182,"Willis",1996,"Evolution","50:1501-1511"
"143","Mimulus guttatus","Stigma-anther seperation",0.26,170,"Willis",1996,"Evolution","50:1501-1511"
"144","Mimulus guttatus","Date of first flower",-0.644,109,"Willis",1996,"Evolution","50:1501-1511"
"145","Mimulus guttatus","Leaf length",-0.039,82,"Willis",1996,"Evolution","50:1501-1511"
"146","Mimulus guttatus","Internode length",0.065,107,"Willis",1996,"Evolution","50:1501-1511"
"147","Mimulus guttatus","Corolla length",0.664,106,"Willis",1996,"Evolution","50:1501-1511"
"148","Mimulus guttatus","Flower width",1.088,102,"Willis",1996,"Evolution","50:1501-1511"
"149","Mimulus guttatus","Stigma-anther seperation",-0.179,105,"Willis",1996,"Evolution","50:1501-1511"
"150","Mimulus guttatus","Date of first flower",-0.289,134,"Willis",1996,"Evolution","50:1501-1511"
"151","Mimulus guttatus","Internode length",0.495,134,"Willis",1996,"Evolution","50:1501-1511"
"152","Mimulus guttatus","Corolla length",1.353,127,"Willis",1996,"Evolution","50:1501-1511"
"153","Mimulus guttatus","Flower width",1.513,126,"Willis",1996,"Evolution","50:1501-1511"
"154","Mimulus guttatus","Stigma-anther seperation",0.059,122,"Willis",1996,"Evolution","50:1501-1511"
"155","Mimulus guttatus","Date of first flower",-0.609,176,"Willis",1996,"Evolution","50:1501-1511"
"156","Mimulus guttatus","Leaf length",1.197,176,"Willis",1996,"Evolution","50:1501-1511"
"157","Mimulus guttatus","Internode length",0.443,176,"Willis",1996,"Evolution","50:1501-1511"
"158","Mimulus guttatus","Corolla length",0.961,173,"Willis",1996,"Evolution","50:1501-1511"
"159","Mimulus guttatus","Flower width",1.389,169,"Willis",1996,"Evolution","50:1501-1511"
"160","Mimulus guttatus","Stigma-anther seperation",0.197,172,"Willis",1996,"Evolution","50:1501-1511"
"161","Impatiens capensis","seed weight",0.015,450,"Mitchell-Olds & Bergelson",1990,"Genetics","124: 417-421"
"162","Impatiens capensis","germination date",-0.053,450,"Mitchell-Olds & Bergelson",1990,"Genetics","124: 417-421"
"163","Impatiens capensis","June size",0.032,450,"Mitchell-Olds & Bergelson",1990,"Genetics","124: 417-421"
"164","Impatiens capensis","early growth rate",0.404,450,"Mitchell-Olds & Bergelson",1990,"Genetics","124: 417-421"
"165","Impatiens capensis","late growth rate",0.311,450,"Mitchell-Olds & Bergelson",1990,"Genetics","124: 417-421"
"166","Ipomopsis aggregata and tenuituba","Corolla width",0.33,84,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"167","Ipomopsis aggregata and tenuituba","Corolla length",0.02,84,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"168","Ipomopsis aggregata and tenuituba","color",0.19,84,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"169","Ipomopsis aggregata and tenuituba","Corolla width",0.27,21,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"170","Ipomopsis aggregata and tenuituba","Corolla length",0.02,21,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"171","Ipomopsis aggregata and tenuituba","color",0.18,21,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"172","Ipomopsis aggregata and tenuituba","Corolla width",-0.95,50,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"173","Ipomopsis aggregata and tenuituba","Corolla length",0.01,50,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"174","Ipomopsis aggregata and tenuituba","color",0.07,50,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"175","Ipomopsis aggregata and tenuituba","Corolla width",-0.44,50,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"176","Ipomopsis aggregata and tenuituba","Corolla length",-0.04,50,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"177","Ipomopsis aggregata and tenuituba","color",0.08,50,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"178","Ipomopsis aggregata and tenuituba","Corolla width",-0.56,100,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"179","Ipomopsis aggregata and tenuituba","Corolla length",-0.06,100,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"180","Ipomopsis aggregata and tenuituba","color",0.01,100,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"181","Ipomopsis aggregata and tenuituba","Corolla width",-0.38,150,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"182","Ipomopsis aggregata and tenuituba","Corolla length",-0.05,150,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"183","Ipomopsis aggregata and tenuituba","color",0.01,150,"Campbell, Waser, Melendez-Ackerman",1997,"Am Nat","149(2):295-315"
"184","Clibanarius digueti","body size",0.48,120,"Harvey",1990,"Am Nat","136(3):292-304"
"185","Clibanarius digueti","body size",-0.01,120,"Harvey",1990,"Am Nat","136(3):292-304"
"186","Vermivora virginiae","habitat preference",0.119,167,"Martin",1998,"Ecology","79(2):656-670"
"187","Vermivora virginiae","habitat preference",-0.018,167,"Martin",1998,"Ecology","79(2):656-670"
"188","Vermivora virginiae","habitat preference",0.137,167,"Martin",1998,"Ecology","79(2):656-670"
"189","Vermivora virginiae","habitat preference",0.047,167,"Martin",1998,"Ecology","79(2):656-670"
"190","Junco hyemalis","habitat preference",0.071,308,"Martin",1998,"Ecology","79(2):656-670"
"191","Junco hyemalis","habitat preference",0.078,308,"Martin",1998,"Ecology","79(2):656-670"
"192","Junco hyemalis","habitat preference",-0.031,308,"Martin",1998,"Ecology","79(2):656-670"
"193","Junco hyemalis","habitat preference",-0.076,308,"Martin",1998,"Ecology","79(2):656-670"
"194","Cardellina rubifrons","habitat preference",-0.086,218,"Martin",1998,"Ecology","79(2):656-670"
"195","Cardellina rubifrons","habitat preference",0.147,218,"Martin",1998,"Ecology","79(2):656-670"
"196","Cardellina rubifrons","habitat preference",-0.171,218,"Martin",1998,"Ecology","79(2):656-670"
"197","Cardellina rubifrons","habitat preference",-0.024,218,"Martin",1998,"Ecology","79(2):656-670"
"198","Vermivora celata","habitat preference",-0.065,358,"Martin",1998,"Ecology","79(2):656-670"
"199","Vermivora celata","habitat preference",0.076,358,"Martin",1998,"Ecology","79(2):656-670"
"200","Vermivora celata","habitat preference",0.208,358,"Martin",1998,"Ecology","79(2):656-670"
"201","Vermivora celata","habitat preference",0.02,358,"Martin",1998,"Ecology","79(2):656-670"
"202","Pipilo chlorurus","habitat preference",0.154,119,"Martin",1998,"Ecology","79(2):656-670"
"203","Pipilo chlorurus","habitat preference",-0.061,119,"Martin",1998,"Ecology","79(2):656-670"
"204","Pipilo chlorurus","habitat preference",-0.043,119,"Martin",1998,"Ecology","79(2):656-670"
"205","Pipilo chlorurus","habitat preference",0.017,119,"Martin",1998,"Ecology","79(2):656-670"
"206","Oporornis tolmei","habitat preference",0.074,76,"Martin",1998,"Ecology","79(2):656-670"
"207","Oporornis tolmei","habitat preference",0.152,76,"Martin",1998,"Ecology","79(2):656-670"
"208","Oporornis tolmei","habitat preference",0.275,76,"Martin",1998,"Ecology","79(2):656-670"
"209","Oporornis tolmei","habitat preference",-0.21,76,"Martin",1998,"Ecology","79(2):656-670"
"210","Catharus guttatus","habitat preference",-0.19,310,"Martin",1998,"Ecology","79(2):656-670"
"211","Catharus guttatus","habitat preference",0.134,310,"Martin",1998,"Ecology","79(2):656-670"
"212","Catharus guttatus","habitat preference",-0.13,310,"Martin",1998,"Ecology","79(2):656-670"
"213","Catharus guttatus","habitat preference",-0.191,310,"Martin",1998,"Ecology","79(2):656-670"
"214","Asclepias syriaca","no. inflorescences",-0.0038,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"215","Asclepias syriaca","no. pedicels",8e-04,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"216","Asclepias syriaca","flower area",7e-04,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"217","Asclepias syriaca","pigement",-0.2443,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"218","Asclepias syriaca","target",0.0872,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"219","Asclepias syriaca","visual rank",-0.0029,433,"Morgan & Schoen",1997,"Heredity","79:433-441"
"220","Asclepias syriaca","optical density",-0.0851,435,"Morgan & Schoen",1997,"Heredity","79:433-441"
"221","Asclepias syriaca","length",0.1937,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"222","Asclepias syriaca","width",0.63,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"223","Asclepias syriaca","height",-0.0131,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"224","Asclepias syriaca","separation",0.2171,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"225","Asclepias syriaca","horn length",0.3302,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"226","Asclepias syriaca","slit length",0.464,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"227","Asclepias syriaca","width",0.2585,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"228","Asclepias syriaca","corpusculum length",0.0533,417,"Morgan & Schoen",1997,"Heredity","79:433-441"
"229","Asclepias syriaca","no. inflorescences",0.0155,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"230","Asclepias syriaca","no. pedicels",-0.0016,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"231","Asclepias syriaca","flower area",-6e-04,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"232","Asclepias syriaca","pigement",0.0807,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"233","Asclepias syriaca","target",-0.0092,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"234","Asclepias syriaca","visual rank",-0.0085,433,"Morgan & Schoen",1997,"Heredity","79:433-441"
"235","Asclepias syriaca","optical density",0.7855,435,"Morgan & Schoen",1997,"Heredity","79:433-441"
"236","Asclepias syriaca","length",0.1323,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"237","Asclepias syriaca","width",0.0801,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"238","Asclepias syriaca","height",0.0333,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"239","Asclepias syriaca","separation",0.0493,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"240","Asclepias syriaca","horn length",0.0958,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"241","Asclepias syriaca","slit length",-0.1298,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"242","Asclepias syriaca","width",0.1233,444,"Morgan & Schoen",1997,"Heredity","79:433-441"
"243","Asclepias syriaca","corpusculum length",0.2105,417,"Morgan & Schoen",1997,"Heredity","79:433-441"
"244","Aquarius remigis","profemoral width (univariate)",-0.087,90,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"245","Aquarius remigis","profemoral width (univariate)",0.045,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"246","Aquarius remigis","profemoral width (univariate)",0.816,10,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"247","Aquarius remigis","profemoral width (univariate)",-0.15,25,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"248","Aquarius remigis","profemoral width (univariate)",-0.539,10,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"249","Aquarius remigis","profemoral width (univariate)",0.015,14,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"250","Aquarius remigis","profemoral width (univariate)",-0.229,18,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"251","Aquarius remigis","profemoral width (univariate)",-0.101,30,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"252","Aquarius remigis","profemoral width (univariate)",-0.004,15,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
