"","convicted","income"
"340","no","adequate"
"341","no","adequate"
"342","no","adequate"
"343","no","adequate"
"344","no","adequate"
"345","no","adequate"
"346","no","adequate"
"347","no","adequate"
"348","no","adequate"
"349","no","inadequate"
"350","no","inadequate"
"351","no","inadequate"
"352","no","inadequate"
"353","no","inadequate"
"354","no","inadequate"
"355","no","inadequate"
"356","no","inadequate"
"357","no","inadequate"
"358","no","inadequate"
"359","no","inadequate"
"360","no","inadequate"
"361","no","inadequate"
"362","no","inadequate"
"363","no","inadequate"
"364","no","inadequate"
"365","no","inadequate"
"366","no","inadequate"
"367","no","inadequate"
"368","no","inadequate"
"369","no","inadequate"
"370","no","inadequate"
"371","no","inadequate"
"372","no","inadequate"
"373","no","inadequate"
"374","no","inadequate"
"375","no","inadequate"
"376","no","inadequate"
"377","no","inadequate"
"378","no","inadequate"
"379","no","inadequate"
"380","no","inadequate"
"381","no","inadequate"
"382","no","inadequate"
"383","no","inadequate"
"384","no","inadequate"
"385","no","inadequate"
"386","no","inadequate"
"387","no","inadequate"
"388","no","inadequate"
"389","no","inadequate"
"390","no","inadequate"
"391","no","inadequate"
"392","no","inadequate"
"393","no","inadequate"
"394","no","inadequate"
"395","no","inadequate"
