"","gene.length"
"541",1506
"542",1075
"543",4883
"544",2065
"545",6788
"546",4956
"547",1931
"548",2177
"549",4322
"550",2769
"551",2902
"552",4813
"553",1772
"554",708
"555",4767
"556",3217
"557",2975
"558",2884
"559",2174
"560",1743
"561",2266
"562",2041
"563",2935
"564",3483
"565",6686
"566",2079
"567",6654
"568",4726
"569",10226
"570",11185
"571",6786
"572",3682
"573",4813
"574",3940
"575",13971
"576",6280
"577",4103
"578",3658
"579",4901
"580",3265
"581",1715
"582",1908
"583",7884
"584",2526
"585",4038
"586",2638
"587",2612
"588",1917
"589",1212
"590",3261
"591",3375
"592",1382
"593",1167
"594",2946
"595",3278
"596",2336
"597",7544
"598",2028
"599",1060
"600",2690
"601",2273
"602",3240
"603",453
"604",1983
"605",3412
"606",3001
"607",1566
"608",777
"609",18883
"610",1177
"611",8451
"612",3060
"613",1454
"614",3147
"615",6463
"616",2681
"617",2421
"618",2129
"619",1723
"620",4185
"621",597
"622",5470
"623",3496
"624",4556
"625",4248
"626",5807
"627",3906
"628",3488
"629",1674
"630",3593
"631",3216
"632",1993
"633",5382
"634",4582
"635",6284
"636",2402
"637",2152
"638",3799
"639",4368
"640",7360
"641",7221
"642",3322
"643",6618
"644",1931
"645",5084
"646",3711
"647",3809
"648",2829
"649",6632
"650",4241
"651",3653
"652",4471
"653",4565
"654",7368
"655",4631
"656",4650
"657",2506
"658",823
"659",4790
"660",4929
"661",4219
"662",994
"663",5501
"664",3450
"665",2110
"666",1867
"667",5312
"668",14599
"669",2384
"670",4949
"671",4640
"672",2831
"673",1411
"674",2010
"675",2842
"676",2649
"677",2204
"678",6278
"679",652
"680",1883
"681",2926
"682",2372
"683",6133
"684",2344
"685",2274
"686",1692
"687",8224
"688",2161
"689",4878
"690",1869
"691",2677
"692",1899
"693",2161
"694",10624
"695",2113
"696",2636
"697",5540
"698",2846
"699",1825
"700",3647
"701",2109
"702",4097
"703",7410
"704",2468
"705",2393
"706",1928
"707",2701
"708",3216
"709",3413
"710",1865
"711",1979
"712",2255
"713",9094
"714",4580
"715",1625
"716",679
"717",1561
"718",1282
"719",3609
"720",6487
"721",1612
"722",3847
"723",4395
"724",7931
"725",4570
"726",1741
"727",2300
"728",3476
"729",5653
"730",4719
"731",2635
"732",2329
"733",1357
"734",1185
"735",1300
"736",843
"737",4772
"738",2748
"739",10503
"740",3068
"741",2671
"742",3245
"743",1260
"744",3609
"745",906
"746",2100
"747",6902
"748",6033
"749",2523
"750",2148
"751",3630
"752",3594
"753",10507
"754",1662
"755",2169
"756",21842
"757",6512
"758",7214
"759",1827
"760",3025
"761",1719
"762",1793
"763",3502
"764",3989
"765",1963
"766",1662
"767",3894
"768",3208
"769",2789
"770",4274
"771",1215
"772",1844
"773",2806
"774",5885
"775",14977
"776",2795
"777",3982
"778",6109
"779",2151
"780",3260
"781",2910
"782",1182
"783",4714
"784",3495
"785",4628
"786",1916
"787",4894
"788",3668
"789",6323
"790",5825
"791",2601
"792",2357
"793",2908
"794",2044
"795",4943
"796",3262
"797",6093
"798",1706
"799",3392
"800",4426
"801",3266
"802",2475
"803",2273
"804",5165
"805",3218
"806",4710
"807",1613
"808",5332
"809",2717
"810",7030
"811",5175
"812",4953
"813",3635
"814",4628
"815",4088
"816",2432
"817",6274
"818",4800
"819",9038
"820",5009
"821",1832
"822",1803
"823",2517
"824",3760
"825",5110
"826",2276
"827",1948
"828",3411
"829",3262
"830",5130
"831",2013
"832",1001
"833",4041
"834",2244
"835",3225
"836",4183
"837",3744
"838",1912
"839",2751
"840",7149
"841",408
"842",3858
"843",2420
"844",2068
"845",2586
"846",2362
"847",5608
"848",1595
"849",3825
"850",6355
"851",4719
"852",962
"853",1799
"854",8174
"855",4189
"856",1830
"857",2618
"858",1597
"859",1452
"860",4982
"861",1864
"862",1939
"863",3245
"864",4551
"865",6067
"866",3670
"867",2012
"868",3304
"869",2420
"870",3652
"871",3025
"872",3119
"873",656
"874",3680
"875",6301
"876",2509
"877",6468
"878",3443
"879",4292
"880",3837
"881",2694
"882",5697
"883",2962
"884",640
"885",1645
"886",1122
"887",3034
"888",2621
"889",3500
"890",2480
"891",618
"892",1915
"893",2801
"894",3686
"895",2188
"896",1477
"897",2940
"898",2893
"899",5319
"900",2653
"901",2709
"902",2595
"903",935
"904",1376
"905",1403
"906",2184
"907",2534
"908",3600
"909",3395
"910",4194
"911",4743
"912",3984
"913",3669
"914",2866
"915",1438
"916",1783
"917",2546
"918",3045
"919",3784
"920",6859
"921",2021
"922",2735
"923",2454
"924",6704
"925",4958
"926",3446
"927",3166
"928",2072
"929",2816
"930",1340
"931",1418
"932",4877
"933",3032
"934",2400
"935",2970
"936",1533
"937",6346
"938",4728
"939",2653
"940",1616
"941",1067
"942",4706
"943",3138
"944",5965
"945",2017
"946",3858
"947",3254
"948",1523
"949",7053
"950",1990
"951",1728
"952",4514
"953",2770
"954",4975
"955",2026
"956",3686
"957",2000
"958",2727
"959",1679
"960",3461
"961",1393
"962",12227
"963",7834
"964",2122
"965",3770
"966",2475
"967",4335
"968",5990
"969",2208
"970",5610
"971",1493
"972",2038
"973",3344
"974",2561
"975",1322
"976",3785
"977",2105
"978",5688
"979",5237
"980",2153
"981",2200
"982",5481
"983",1504
"984",4487
"985",3127
"986",2865
"987",6057
"988",3881
"989",7327
"990",3329
"991",4417
"992",2350
"993",1687
"994",2584
"995",3146
"996",10434
"997",3274
"998",1482
"999",1373
"1000",858
"1001",2246
"1002",3346
"1003",5040
"1004",1911
"1005",2891
"1006",4576
"1007",2847
"1008",1930
"1009",3942
"1010",2083
"1011",4117
"1012",2283
"1013",6627
"1014",4055
"1015",6948
"1016",2748
"1017",4608
"1018",2635
"1019",3921
"1020",2558
"1021",8120
"1022",4410
"1023",2644
"1024",2134
"1025",2796
"1026",1591
"1027",1744
"1028",5251
"1029",2789
"1030",4202
"1031",2203
"1032",3690
"1033",2382
"1034",2041
"1035",2671
"1036",4469
"1037",2374
"1038",1506
"1039",6270
"1040",4371
"1041",1339
"1042",1919
"1043",4200
"1044",477
"1045",2318
"1046",4556
"1047",3542
"1048",4703
"1049",8846
"1050",1473
"1051",1457
"1052",3764
"1053",6574
"1054",4065
"1055",3131
"1056",1526
"1057",4054
"1058",8448
"1059",1961
"1060",4075
"1061",1163
"1062",3925
"1063",2106
"1064",2980
"1065",5240
"1066",2740
"1067",3393
"1068",2360
"1069",5333
"1070",3072
"1071",1651
"1072",3238
"1073",2051
"1074",3286
"1075",3851
"1076",7613
"1077",6150
"1078",1419
"1079",4739
"1080",1739
"1081",5810
"1082",3663
"1083",4379
"1084",3359
"1085",2425
"1086",6605
"1087",4292
"1088",2531
"1089",2410
"1090",2737
"1091",3447
"1092",650
"1093",630
"1094",2362
"1095",2589
"1096",7714
"1097",5463
"1098",9564
"1099",2562
"1100",4170
"1101",1791
"1102",3228
"1103",1975
"1104",1861
"1105",4273
"1106",4650
"1107",734
"1108",2212
"1109",1147
"1110",2554
"1111",1053
"1112",2021
"1113",1360
"1114",3859
"1115",4235
"1116",995
"1117",4235
"1118",1853
"1119",7008
"1120",1880
"1121",4188
"1122",2677
"1123",2814
"1124",1798
"1125",1158
"1126",5288
"1127",3744
"1128",514
"1129",5521
"1130",5903
"1131",1263
"1132",2251
"1133",4082
"1134",7078
"1135",2893
"1136",627
"1137",4278
"1138",2886
"1139",5979
"1140",7590
"1141",5481
"1142",520
"1143",2490
"1144",4473
"1145",1634
"1146",1749
"1147",2472
"1148",2018
"1149",5100
"1150",1259
"1151",2516
"1152",1885
"1153",4916
"1154",3610
"1155",2204
"1156",2285
"1157",3542
"1158",4362
"1159",1888
"1160",2485
"1161",3484
"1162",3064
"1163",1289
"1164",1651
"1165",4094
"1166",1630
"1167",4803
"1168",4816
"1169",2182
"1170",6705
"1171",4983
"1172",3131
"1173",3045
"1174",6891
"1175",3914
"1176",2285
"1177",3963
"1178",2115
"1179",442
"1180",4141
"1181",1159
"1182",3055
"1183",3946
"1184",2204
"1185",5726
"1186",1733
"1187",1229
"1188",7853
"1189",2349
"1190",924
"1191",4408
"1192",3062
"1193",2185
"1194",2559
"1195",264
"1196",5317
"1197",1317
"1198",1705
"1199",4466
"1200",6048
"1201",4234
"1202",3185
"1203",1311
"1204",3635
"1205",2475
"1206",2671
"1207",5641
"1208",1019
"1209",3436
"1210",9669
"1211",2547
"1212",4814
"1213",2792
"1214",2155
"1215",2751
"1216",6729
"1217",3740
"1218",3670
"1219",5012
"1220",4172
"1221",5840
"1222",1327
"1223",5858
"1224",2651
"1225",5356
"1226",4453
"1227",1839
"1228",9725
"1229",956
"1230",2947
"1231",2986
"1232",3166
"1233",5617
"1234",2196
"1235",1541
"1236",3968
"1237",2170
"1238",2273
"1239",4400
"1240",4575
"1241",2494
"1242",2910
"1243",6430
"1244",1127
"1245",4575
"1246",1943
"1247",3485
"1248",1623
"1249",2282
"1250",3196
"1251",2068
"1252",2087
"1253",2555
"1254",2338
"1255",3432
"1256",3897
"1257",2932
"1258",2314
"1259",4896
"1260",4280
"1261",3385
"1262",3975
"1263",4557
"1264",2557
"1265",2280
"1266",3082
"1267",1335
"1268",1624
"1269",6435
"1270",3166
"1271",6743
"1272",3226
"1273",4776
"1274",2863
"1275",2152
"1276",4465
"1277",3595
"1278",3544
"1279",4403
"1280",2572
"1281",1952
"1282",10706
"1283",3640
"1284",3932
"1285",4090
"1286",8076
"1287",1002
"1288",8070
"1289",1366
"1290",4121
"1291",2159
"1292",2033
"1293",3990
"1294",1449
"1295",1532
"1296",4528
"1297",4857
"1298",3974
"1299",1890
"1300",2656
"1301",3465
"1302",1582
"1303",6821
"1304",4525
"1305",4718
"1306",6181
"1307",3442
"1308",2757
"1309",3214
"1310",6685
"1311",11455
"1312",2044
"1313",1812
"1314",4491
"1315",1016
"1316",4150
"1317",2091
"1318",4487
"1319",2563
"1320",4738
"1321",7543
"1322",1878
"1323",2464
"1324",1087
"1325",2007
"1326",5850
"1327",1203
"1328",2520
"1329",2889
"1330",5173
"1331",2560
"1332",1512
"1333",4258
"1334",11389
"1335",2068
"1336",6496
"1337",1515
"1338",1310
"1339",3938
"1340",1220
"1341",5043
"1342",1329
"1343",6998
"1344",3458
"1345",1911
"1346",6889
"1347",5095
"1348",891
"1349",3397
"1350",7039
"1351",6120
"1352",2656
"1353",1804
"1354",2724
"1355",5551
"1356",3573
"1357",4786
"1358",510
"1359",3210
"1360",2232
"1361",2884
"1362",4854
"1363",3776
"1364",1689
"1365",1544
"1366",4275
"1367",1013
"1368",3018
"1369",2783
"1370",3743
"1371",1117
"1372",1974
"1373",1704
"1374",5871
"1375",5224
"1376",2524
"1377",2064
"1378",2251
"1379",3462
"1380",2376
"1381",2093
"1382",6263
"1383",4024
"1384",3902
"1385",744
"1386",7580
"1387",2006
"1388",3767
"1389",3362
"1390",1770
"1391",3256
"1392",3580
"1393",3714
"1394",2659
"1395",3889
"1396",3270
"1397",2663
"1398",3231
"1399",1867
"1400",1124
"1401",6294
"1402",5967
"1403",1513
"1404",3129
"1405",5204
"1406",3575
"1407",3004
"1408",897
"1409",11102
"1410",4430
"1411",7072
"1412",3443
"1413",4323
"1414",2516
"1415",3568
"1416",9406
"1417",1602
"1418",2593
"1419",1116
"1420",2611
"1421",2413
"1422",2552
"1423",3825
"1424",1636
"1425",2384
"1426",3430
"1427",4181
"1428",2145
"1429",1997
"1430",3160
"1431",3576
"1432",3158
"1433",1794
"1434",4070
"1435",1498
"1436",4529
"1437",3857
"1438",2947
"1439",3261
"1440",928
"1441",6619
"1442",1901
"1443",3272
"1444",2470
"1445",2529
"1446",3296
"1447",2778
"1448",8028
"1449",3445
"1450",2205
"1451",3065
"1452",6605
"1453",1361
"1454",2930
"1455",7235
"1456",6551
"1457",4149
"1458",2820
"1459",3761
"1460",3127
"1461",2036
"1462",1314
"1463",3842
"1464",2013
"1465",1643
"1466",1016
"1467",1789
"1468",1637
"1469",3819
"1470",1384
"1471",6671
"1472",5318
"1473",6920
"1474",3158
"1475",6480
"1476",2318
"1477",4124
"1478",2078
"1479",6278
"1480",2371
"1481",1897
"1482",2309
"1483",3603
"1484",1398
"1485",1933
"1486",3463
"1487",3697
"1488",2100
"1489",1337
"1490",3770
"1491",3936
"1492",3305
"1493",1113
"1494",3247
"1495",2575
"1496",7241
"1497",4577
"1498",2978
"1499",4245
"1500",3604
"1501",3479
"1502",4969
"1503",1726
"1504",5473
"1505",3813
"1506",2029
"1507",1003
"1508",7350
"1509",1997
"1510",2096
"1511",1442
"1512",3451
"1513",2470
"1514",1587
"1515",2706
"1516",3614
"1517",4316
"1518",5079
"1519",2950
"1520",1607
"1521",3671
"1522",2775
"1523",2291
"1524",3415
"1525",2283
"1526",2461
"1527",4776
"1528",999
"1529",1860
"1530",3275
"1531",7419
"1532",2627
"1533",3704
"1534",7588
"1535",5774
"1536",1714
"1537",2757
"1538",2294
"1539",1651
"1540",6174
"1541",10804
"1542",2175
"1543",1723
"1544",2998
"1545",2515
"1546",2618
"1547",3046
"1548",2693
"1549",2005
"1550",2704
"1551",3510
"1552",4270
"1553",4888
"1554",5319
"1555",1262
"1556",5276
"1557",2102
"1558",4149
"1559",3794
"1560",5547
"1561",1116
"1562",2032
"1563",5750
"1564",3345
"1565",3050
"1566",2828
"1567",4156
"1568",2239
"1569",3230
"1570",1978
"1571",4095
"1572",5027
"1573",6172
"1574",2742
"1575",3052
"1576",1686
"1577",4960
"1578",5154
"1579",14384
"1580",2000
"1581",2550
"1582",1267
"1583",3311
"1584",5964
"1585",3038
"1586",3796
"1587",4631
"1588",3621
"1589",6115
"1590",5503
"1591",599
"1592",5113
"1593",3756
"1594",4040
"1595",2321
"1596",2122
"1597",2642
"1598",2447
"1599",2174
"1600",3338
"1601",5000
"1602",2919
"1603",2660
"1604",3314
"1605",2364
"1606",5900
"1607",8728
"1608",4446
"1609",6328
"1610",5672
"1611",2085
"1612",2006
"1613",4105
"1614",717
"1615",5376
"1616",1602
"1617",4769
"1618",4725
"1619",2356
"1620",3371
"1621",6809
"1622",4808
"1623",870
"1624",2933
"1625",5067
"1626",4013
"1627",7899
"1628",873
"1629",3692
"1630",7850
"1631",4999
"1632",5807
"1633",4778
"1634",3037
"1635",3004
"1636",2191
"1637",3857
"1638",7304
"1639",3103
"1640",3008
"1641",2107
"1642",3445
"1643",7437
"1644",3369
"1645",2144
"1646",1533
"1647",5371
"1648",2361
"1649",3000
"1650",2417
"1651",2508
"1652",2211
"1653",2170
"1654",2210
"1655",6530
"1656",729
"1657",14770
"1658",3245
"1659",2541
"1660",2574
"1661",1300
"1662",3103
"1663",3367
"1664",3415
"1665",3663
"1666",3139
"1667",4022
"1668",740
"1669",3721
"1670",2621
"1671",3838
"1672",2672
"1673",1416
"1674",2493
"1675",5465
"1676",4853
"1677",14121
"1678",4708
"1679",3225
"1680",5162
"1681",5378
"1682",3534
"1683",2186
"1684",2927
"1685",1869
"1686",7108
"1687",7661
"1688",1463
"1689",6552
"1690",10332
"1691",1195
"1692",1277
"1693",3131
"1694",5731
"1695",4549
"1696",2849
"1697",4540
"1698",3450
"1699",4236
"1700",4602
"1701",2233
"1702",3395
"1703",5448
"1704",1308
"1705",4044
"1706",4872
"1707",3207
"1708",1398
"1709",4737
"1710",3700
"1711",3236
"1712",1927
"1713",2184
"1714",4524
"1715",2623
"1716",4257
"1717",3156
"1718",801
"1719",4070
"1720",3312
"1721",3520
"1722",2726
"1723",3096
"1724",5734
"1725",2242
"1726",4076
"1727",1404
"1728",4602
"1729",5129
"1730",1512
"1731",4357
"1732",2632
"1733",4388
"1734",2305
"1735",2590
"1736",2576
"1737",2597
"1738",1143
"1739",651
"1740",3383
"1741",2231
"1742",13050
"1743",2297
"1744",2034
"1745",2964
"1746",1674
"1747",1427
"1748",2045
"1749",2882
"1750",1996
"1751",10206
"1752",2882
"1753",1965
"1754",3442
"1755",2385
"1756",2423
"1757",4681
"1758",2349
"1759",1062
"1760",1658
"1761",2911
"1762",870
"1763",3003
"1764",657
"1765",4042
"1766",2523
"1767",3636
"1768",2103
"1769",3516
"1770",2156
"1771",1319
"1772",2501
"1773",1790
"1774",3069
"1775",581
"1776",1914
"1777",2222
"1778",4548
"1779",7333
"1780",2889
"1781",4738
"1782",2064
"1783",4552
"1784",1080
"1785",5045
"1786",2368
"1787",2693
"1788",3868
"1789",3088
"1790",3295
"1791",1872
"1792",2396
"1793",4958
"1794",2863
"1795",2339
"1796",2849
"1797",1303
"1798",510
"1799",4002
"1800",4519
"1801",1343
"1802",1447
"1803",1983
"1804",4257
"1805",2268
"1806",3943
"1807",3765
"1808",2993
"1809",1475
"1810",4077
"1811",1885
"1812",4335
"1813",1655
"1814",3770
"1815",2918
"1816",1374
"1817",6664
"1818",3105
"1819",7592
"1820",2494
"1821",1848
"1822",6060
"1823",2654
"1824",1614
"1825",1710
"1826",2738
"1827",5149
"1828",1155
"1829",503
"1830",4927
"1831",8635
"1832",2184
"1833",7884
"1834",1560
"1835",3644
"1836",3093
"1837",4015
"1838",3626
"1839",2788
"1840",2374
"1841",3929
"1842",5247
"1843",2217
"1844",3425
"1845",2130
"1846",640
"1847",1064
"1848",2152
"1849",929
"1850",1693
"1851",2527
"1852",3135
"1853",3216
"1854",3855
"1855",2449
"1856",6944
"1857",3011
"1858",1430
"1859",3430
"1860",4095
"1861",4079
"1862",2084
"1863",2306
"1864",1343
"1865",8600
"1866",1264
"1867",4112
"1868",1173
"1869",4182
"1870",5260
"1871",2945
"1872",2454
"1873",1488
"1874",3825
"1875",2036
"1876",961
"1877",8646
"1878",1822
"1879",1859
"1880",1631
"1881",3835
"1882",4282
"1883",2467
"1884",1389
"1885",4854
"1886",1033
"1887",1058
"1888",3920
"1889",3924
"1890",3479
"1891",1659
"1892",1689
"1893",1990
"1894",1509
"1895",3869
"1896",2947
"1897",2094
"1898",2547
"1899",3369
"1900",2589
"1901",3070
"1902",1449
"1903",2472
"1904",5028
"1905",731
"1906",4517
"1907",2780
"1908",4507
"1909",1604
"1910",2712
"1911",1328
"1912",994
"1913",653
"1914",656
"1915",3511
"1916",1327
"1917",2188
"1918",2998
"1919",3160
"1920",2334
"1921",1516
"1922",6009
"1923",2436
"1924",2072
"1925",2850
"1926",1797
"1927",1624
"1928",2397
"1929",3502
"1930",1805
"1931",3521
"1932",1035
"1933",4249
"1934",1212
"1935",4402
"1936",6938
"1937",2999
"1938",4267
"1939",1774
"1940",2280
"1941",4070
"1942",3335
"1943",7999
"1944",3344
"1945",3910
"1946",4326
"1947",6604
"1948",16382
"1949",4706
"1950",2340
"1951",1313
"1952",6799
"1953",3351
"1954",3728
"1955",1017
"1956",7239
"1957",2766
"1958",3581
"1959",3484
"1960",5854
"1961",6225
"1962",5828
"1963",4923
"1964",2862
"1965",2320
"1966",7056
"1967",1930
"1968",2368
"1969",4535
"1970",3828
"1971",5575
"1972",4258
"1973",7176
"1974",886
"1975",1790
"1976",4382
"1977",2318
"1978",3306
"1979",11868
"1980",1409
"1981",1171
"1982",4434
"1983",3097
"1984",888
"1985",1627
"1986",10748
"1987",3919
"1988",1379
"1989",1931
"1990",6455
"1991",1636
"1992",2227
"1993",1536
"1994",2125
"1995",4521
"1996",784
"1997",1003
"1998",1828
"1999",7296
"2000",1621
"2001",4380
"2002",6047
"2003",1201
"2004",4214
"2005",1547
"2006",2344
"2007",4798
"2008",2156
"2009",5533
"2010",5668
"2011",4501
"2012",3858
"2013",4677
"2014",4174
"2015",1285
"2016",342
"2017",2701
"2018",2095
"2019",3043
"2020",1569
"2021",6848
"2022",7243
"2023",3949
"2024",2529
"2025",4477
"2026",2307
"2027",3492
"2028",1911
"2029",2511
"2030",3067
"2031",702
"2032",7478
"2033",1526
"2034",4447
"2035",4039
"2036",4354
"2037",2506
"2038",4548
"2039",1774
"2040",3176
"2041",2038
"2042",1909
"2043",1290
"2044",3927
"2045",3047
"2046",1712
"2047",2282
"2048",2412
"2049",1608
"2050",3694
"2051",1879
"2052",4135
"2053",1068
"2054",3318
"2055",1593
"2056",2837
"2057",2184
"2058",3132
"2059",1798
"2060",839
"2061",3395
"2062",5793
"2063",3145
"2064",4686
"2065",1325
"2066",2526
"2067",1887
"2068",4037
"2069",5232
"2070",2076
"2071",3384
"2072",5093
"2073",5633
"2074",2777
"2075",3153
"2076",1377
"2077",3866
"2078",4022
"2079",5124
"2080",2967
"2081",3103
"2082",2546
"2083",4655
"2084",7036
"2085",1569
"2086",1808
"2087",6753
"2088",2245
"2089",4510
"2090",5926
"2091",2889
"2092",1523
"2093",2354
"2094",5581
"2095",3063
"2096",2513
"2097",1374
"2098",855
"2099",513
"2100",9014
"2101",1036
"2102",1226
"2103",2091
"2104",3869
"2105",4744
"2106",6019
"2107",1060
"2108",976
"2109",1354
"2110",994
"2111",2182
"2112",1266
"2113",2375
"2114",540
"2115",2793
"2116",3797
"2117",894
"2118",4086
"2119",1895
"2120",651
"2121",1558
"2122",932
"2123",2571
"2124",572
"2125",5673
"2126",8834
"2127",1964
"2128",4113
"2129",3078
"2130",722
"2131",9588
"2132",4088
"2133",2292
"2134",1995
"2135",3500
"2136",2747
"2137",5440
"2138",1872
"2139",1564
"2140",3172
"2141",2989
"2142",3286
"2143",5362
"2144",1356
"2145",7582
"2146",5182
"2147",2797
"2148",5502
"2149",1515
"2150",1926
"2151",2549
"2152",1695
"2153",1922
