"","date_time","v1_40m_avg","v1_40m_max","v1_40m_min","v1_40m_std","v2_30m_avg","v2_30m_max","v2_30m_min","v2_30m_std","v3_20m_avg","v3_20m_max","v3_20m_min","v3_20m_std","dir1_40m_avg","dir1_40m_std","dir2_30m_avg","dir2_30m_std"
"36","06.05.2009 17:10",7.06,10.24,5.3,1.01,6.85,9.84,4.52,1.05,6.51,10.24,4.17,1.06,214.64,8.42,213.3,8.51
"37","06.05.2009 17:20",8.5,11.38,6.06,0.99,8.08,11.36,5.28,1.02,7.75,10.62,4.92,0.98,212.45,7.07,210.73,7.04
"38","06.05.2009 17:30",8.24,11,4.92,1.14,7.94,10.22,4.9,1.04,7.69,10.24,5.3,0.94,216.8,6.79,214.14,6.62
"39","06.05.2009 17:40",7.82,10.62,5.3,1.18,7.47,9.84,5.28,1.15,7.03,9.86,4.54,0.96,227.54,5.94,226.24,6.26
"40","06.05.2009 17:50",7.1,9.1,5.3,0.65,6.98,9.08,4.52,0.67,6.76,8.34,4.92,0.63,227.76,7.03,225.91,7.61
"41","06.05.2009 18:00",7.74,10.62,5.3,0.89,7.64,11.36,5.28,0.99,7.43,11.38,4.92,0.98,229.62,8.88,226.44,8.58
"42","06.05.2009 18:10",7.92,10.62,5.3,0.96,7.83,10.6,5.28,0.87,7.63,10.24,5.68,0.84,240.26,7.23,239.07,7.83
"43","06.05.2009 18:20",7.77,9.86,6.06,0.71,7.67,9.84,5.66,0.73,7.33,9.48,5.68,0.73,238.95,5.29,236.74,5.75
"44","06.05.2009 18:30",7.5,10.24,5.68,0.68,7.43,9.46,5.66,0.67,7.05,9.1,5.3,0.73,236.53,4.81,234.09,4.97
"45","06.05.2009 18:40",8.55,10.62,6.44,0.68,8.33,10.6,6.04,0.78,7.76,10.24,5.68,0.84,233.43,5,231.27,5.92
"46","06.05.2009 18:50",7.98,10.24,5.68,0.97,7.86,11.36,5.28,1.03,7.42,10.62,4.92,1.02,241.85,7.14,239.76,8.02
"47","06.05.2009 19:00",7.48,11,4.17,1.18,7.34,11.36,4.14,1.23,6.99,11,4.54,1.09,237.16,7.52,235.87,8.64
"48","06.05.2009 19:10",5.6,8.34,3.79,0.91,5.51,7.94,3,0.97,5.31,8.34,3.03,0.99,236.83,9.96,234.62,10.51
"49","06.05.2009 19:20",5.15,7.96,3.41,0.85,4.96,6.8,3,0.71,4.68,6.82,3.03,0.69,237.4,10.38,235.22,10.74
"50","06.05.2009 19:30",4.54,6.44,2.27,0.97,4.44,6.8,2.24,0.94,4.34,7.2,2.27,0.97,219.52,12.58,217.97,11.13
"51","06.05.2009 19:40",5.42,7.96,2.65,0.92,5.41,8.32,3,0.91,5.21,8.34,2.65,0.93,224.33,10.01,222.67,10.3
"52","06.05.2009 19:50",6.1,8.72,4.17,0.9,5.9,8.32,3.76,0.91,5.61,8.72,3.79,0.87,230.3,12.98,230.42,12.93
"53","06.05.2009 20:00",5.31,7.58,3.03,0.92,5.1,8.32,3,0.9,4.8,7.2,2.65,0.91,238.96,9.18,236.48,9.59
"54","06.05.2009 20:10",4.05,6.82,0.37,1.38,3.92,6.8,1.1,1.35,3.74,6.82,1.13,1.22,225.58,13.16,220.49,12.48
"55","06.05.2009 20:20",3.41,6.82,1.13,1.19,3.4,6.8,0.72,1.22,3.18,6.44,0.37,1.39,206.31,22.02,203.95,22.1
"56","06.05.2009 20:30",2.85,5.3,0.37,1.05,2.72,6.42,1.1,0.94,2.43,4.92,0.37,0.99,199.57,26.86,197.61,25.39
"57","06.05.2009 20:40",1.15,4.92,0.37,1.24,1.15,5.28,0.34,1.21,1.03,5.3,0.37,1.14,256.87,53.6,271.28,53.13
"58","06.05.2009 20:50",1.36,4.92,0.37,1.16,1.37,4.52,0.34,1.15,1.23,5.3,0.37,1.07,274.07,59.4,289.64,53.58
"59","06.05.2009 21:00",1.78,5.3,0.37,1.37,1.8,5.28,0.34,1.29,1.55,5.3,0.37,1.27,320.46,47.15,331.56,44.93
"60","06.05.2009 21:10",3.09,8.34,0.37,1.51,3.07,8.32,0.34,1.59,2.67,8.34,0.37,1.73,264.91,23.77,267.96,23.61
"61","06.05.2009 21:20",2.61,5.3,0.37,1.23,2.72,5.28,0.34,1.07,2.44,4.92,0.37,1.16,266.94,23.43,265.58,27.48
"62","06.05.2009 21:30",3.93,6.44,1.89,1.17,3.91,6.8,1.86,1.12,3.6,6.82,0.75,1.2,229.63,23.36,227.11,23.7
"63","06.05.2009 21:40",5.31,7.96,3.03,0.97,5.31,7.94,2.62,1.04,5.15,8.34,2.65,1.07,242.72,9.53,240.21,11.54
"64","06.05.2009 21:50",3.46,6.06,1.13,0.91,3.54,6.04,1.1,0.92,3.35,6.06,0.37,1.03,251.22,17.84,254.98,17.45
"65","06.05.2009 22:00",4.59,9.48,2.65,1.06,4.49,9.08,2.24,1.06,4.29,7.58,1.89,1.11,241.84,13.45,241.67,15.72
"66","06.05.2009 22:10",3.72,5.68,1.89,0.69,3.81,5.66,2.24,0.62,3.71,4.92,2.27,0.63,226.3,11.71,224.8,10.4
"67","06.05.2009 22:20",3.5,4.54,2.27,0.45,3.41,4.52,2.24,0.44,3.24,4.54,1.89,0.46,221.75,10.03,219.17,10.11
"68","06.05.2009 22:30",2.68,5.3,0.37,1.06,2.71,4.9,0.34,0.9,2.6,4.92,1.13,0.77,230.2,12.95,224.68,14.48
"69","06.05.2009 22:40",3.06,4.17,1.89,0.5,3.07,4.52,1.48,0.57,2.89,4.54,1.51,0.59,239.01,12.36,236.5,13.41
"70","06.05.2009 22:50",3.17,6.44,1.13,0.96,3.21,6.42,1.48,0.93,3.17,6.06,1.13,0.9,231.53,12.46,229.66,12.86
"71","06.05.2009 23:00",3.68,6.44,1.51,0.95,3.72,6.42,1.48,0.9,3.62,5.3,1.51,0.92,223.07,18.57,218.71,16.52
"72","06.05.2009 23:10",4.43,6.82,1.89,0.9,4.29,7.18,1.48,0.94,4.05,6.44,0.37,1.12,241.41,16.35,239.74,15.81
"73","06.05.2009 23:20",3.23,6.82,1.51,1.12,3.14,5.66,1.1,1.08,3.05,6.06,0.37,1.19,243.56,15.85,241.3,16.97
"74","06.05.2009 23:30",5.2,8.72,1.89,1.29,5,7.94,1.86,1.28,4.89,7.96,2.27,1.26,225.06,11.38,220.67,11.99
"75","06.05.2009 23:40",4.65,6.44,2.65,0.71,4.5,6.8,2.24,0.72,4.43,6.82,2.65,0.77,217.7,12.9,215.02,12.63
"76","06.05.2009 23:50",5.11,7.58,2.65,1.09,5.06,7.56,2.24,1.04,4.96,7.2,2.27,1,214.03,17.55,210.98,17.91
"77","07.05.2009 00:00",4.13,6.82,1.89,1.04,4.01,7.56,1.48,1.07,3.86,7.58,1.13,1.04,202.18,17.74,200.62,18.65
"78","07.05.2009 00:10",4.71,7.2,2.27,0.84,4.46,6.8,2.24,0.87,4.3,7.2,1.89,0.9,219.68,15,215.66,12.59
"79","07.05.2009 00:20",3.46,6.82,0.37,0.86,3.3,5.28,1.1,0.84,3.03,5.3,0.37,0.95,217.09,22.42,215.49,21.91
"80","07.05.2009 00:30",3.53,5.68,1.89,0.77,3.51,5.66,1.86,0.73,3.37,5.3,0.75,0.8,218.28,18,213.08,16.21
"81","07.05.2009 00:40",3.03,4.54,1.13,0.62,3.08,4.52,1.48,0.61,3.04,4.54,1.51,0.64,211.99,11.81,206.57,10.11
"82","07.05.2009 00:50",2.94,4.54,1.13,0.66,2.87,4.52,1.48,0.59,2.62,4.17,1.51,0.52,229.64,8.95,226.32,9.03
"83","07.05.2009 01:00",4.45,6.06,3.03,0.56,4.17,6.42,2.62,0.59,3.88,5.3,2.27,0.55,228.74,7.43,226.44,7.02
"84","07.05.2009 01:10",4.58,7.58,3.03,0.81,4.49,7.56,3,0.79,4.15,7.2,2.65,0.75,228.21,8.88,224.58,8.57
"85","07.05.2009 01:20",5.26,7.58,3.03,0.82,5,7.56,2.62,0.93,4.81,7.58,3.03,0.91,222.49,9.7,220.24,10
"86","07.05.2009 01:30",5.51,8.72,3.41,0.87,5.18,8.7,3,0.82,4.9,7.2,3.03,0.65,219.41,14.57,215.45,15.24
"87","07.05.2009 01:40",7.1,9.86,4.54,0.95,6.96,9.46,4.9,0.91,6.73,9.48,3.79,0.96,223.41,12.89,219.75,13.02
"88","07.05.2009 01:50",6.66,9.86,4.17,1.18,6.54,10.6,4.14,1.16,6.21,9.86,3.79,1.08,224.42,10.85,222.46,11.47
"89","07.05.2009 02:00",6.63,9.1,4.17,0.92,6.49,9.08,4.14,0.96,6.29,9.48,4.17,0.98,223.79,8.52,220.85,9.82
"90","07.05.2009 02:10",5.52,7.2,4.54,0.59,5.26,7.18,3.76,0.67,4.77,6.82,3.03,0.76,227.83,4.08,224.52,4.05
"91","07.05.2009 02:20",3.87,6.44,1.51,0.98,3.51,5.66,1.1,0.98,3.08,5.3,1.13,0.92,235.79,6.42,232.87,7.07
"92","07.05.2009 02:30",3.4,5.3,1.13,0.98,2.96,5.28,0.34,1.14,2.6,4.92,0.37,1.14,247.34,14.2,245.17,15.17
"93","07.05.2009 02:40",2.66,5.3,0.37,1.13,2.4,5.66,0.34,1.12,2.05,4.92,0.37,1.14,236.5,33.78,236.64,27.32
"94","07.05.2009 02:50",2.87,7.2,0.37,1.31,2.7,7.94,0.34,1.37,2.45,7.58,0.37,1.5,220.55,36.01,220.99,38.88
"95","07.05.2009 03:00",5.43,10.24,3.03,1.45,5.17,10.6,1.86,1.45,4.95,9.1,2.27,1.43,223.01,12.59,220.9,13.1
"96","07.05.2009 03:10",5.29,9.1,3.41,1.05,5.07,9.46,3,1.11,4.93,8.72,3.03,1.06,231.94,10.71,228.97,9.99
"97","07.05.2009 03:20",2.99,4.92,1.13,0.8,2.77,5.28,1.1,0.87,2.54,4.92,1.13,0.86,237.51,10.63,237.24,13.5
"98","07.05.2009 03:30",3.7,4.92,1.51,0.65,3.47,4.52,1.86,0.59,3.26,4.54,1.51,0.59,234.99,6.58,231.5,6.85
"99","07.05.2009 03:40",5.07,6.82,3.41,0.79,4.89,6.8,2.62,0.91,4.68,6.44,2.27,0.92,230.79,7.04,228.17,7.46
"100","07.05.2009 03:50",4.97,6.82,3.41,0.76,4.87,6.8,3.38,0.7,4.55,6.44,3.03,0.77,238.31,6.16,237,7.11
"101","07.05.2009 04:00",3.12,4.54,1.51,0.69,2.89,4.52,1.1,0.73,2.7,4.17,0.37,0.77,242.12,7.09,241.98,8.42
"102","07.05.2009 04:10",2.5,4.54,1.13,0.66,2.14,4.14,0.34,0.58,1.93,4.54,0.37,0.69,235.13,14.39,234.64,15.72
"103","07.05.2009 04:20",4.29,6.44,1.89,0.96,4.19,6.42,1.86,0.98,4.06,6.44,1.89,0.89,235.12,9.15,235.46,10.35
"104","07.05.2009 04:30",4.98,6.82,3.41,0.73,4.78,6.8,3.38,0.68,4.65,6.44,3.41,0.64,226.53,6.54,225.14,6.47
"105","07.05.2009 04:40",5.61,7.96,3.41,0.95,5.46,8.32,3.76,0.89,5.14,7.58,3.41,0.86,230.39,12.18,228.33,11.76
"106","07.05.2009 04:50",4.61,8.34,1.89,1.43,4.41,7.56,1.1,1.32,4.29,8.34,1.51,1.34,242.39,16.57,243.19,17.44
"107","07.05.2009 05:00",3.01,5.3,1.13,0.94,2.82,5.66,1.1,0.93,2.59,5.3,0.37,0.95,254.23,20.81,255.13,19.69
"108","07.05.2009 05:10",3.51,5.68,1.51,1.01,3.37,5.66,0.72,1.16,3.33,5.3,0.37,1.12,229.69,13.31,227.86,13.75
"109","07.05.2009 05:20",2.43,4.92,0.37,1.02,2.29,5.66,0.34,1.14,2.06,6.44,0.37,1.37,236.34,20.05,234.77,22.7
"110","07.05.2009 05:30",1.67,3.41,0.37,0.74,1.6,3,0.34,0.66,1.73,3.41,0.37,0.82,342.41,33.54,349.03,37.28
"111","07.05.2009 05:40",1.59,2.65,0.37,0.54,1.33,2.62,0.34,0.56,1.08,2.65,0.37,0.59,323.48,23.87,328,25.75
"112","07.05.2009 05:50",1.8,3.03,0.37,0.66,1.28,2.62,0.34,0.72,1.01,2.27,0.37,0.57,299.14,18.04,303.85,18
"113","07.05.2009 06:00",3.51,5.3,1.89,0.69,3.52,6.04,1.48,0.77,3.34,6.44,1.13,0.85,262.9,10.75,262.12,11.01
"114","07.05.2009 06:10",2.1,3.41,1.13,0.54,2,3.38,0.72,0.55,1.62,3.41,0.37,0.66,256.9,9.29,257.85,10.91
"115","07.05.2009 06:20",3.29,5.3,1.51,0.67,3.12,4.52,1.48,0.57,2.78,4.17,0.37,0.57,240.17,8.91,237.46,11.58
"116","07.05.2009 06:30",2.78,4.54,1.13,0.67,2.65,4.14,1.1,0.67,2.3,3.79,0.37,0.78,252.04,20.03,248.63,20.58
"117","07.05.2009 06:40",2.36,4.54,0.37,1.03,2.31,4.14,0.34,0.97,2.29,4.54,0.37,0.76,257.1,12.68,257.43,14.15
"118","07.05.2009 06:50",2.01,3.79,0.37,0.65,1.99,3.76,0.34,0.6,1.56,3.03,0.37,0.75,256.75,9.11,253.61,11.58
"119","07.05.2009 07:00",2.21,3.41,0.75,0.49,2.13,3.38,0.72,0.44,1.92,3.41,0.37,0.47,265.79,11.66,268.56,11.85
"120","07.05.2009 07:10",1.8,3.41,0.37,0.57,1.73,3.38,0.34,0.58,1.58,3.41,0.37,0.56,266.59,15.45,267.31,15.11
"121","07.05.2009 07:20",1.17,3.03,0.37,0.74,1.22,2.62,0.34,0.7,1.07,2.65,0.37,0.62,273.82,18.24,273.01,18.24
"122","07.05.2009 07:30",2.07,4.17,0.37,0.96,1.93,4.14,0.34,0.95,1.78,4.17,0.37,1.01,250.48,28.48,248.72,31.52
"123","07.05.2009 07:40",2.47,4.92,1.13,0.74,1.97,4.52,0.34,0.8,1.58,4.17,0.37,0.72,234.08,21.36,234.03,28.52
"124","07.05.2009 07:50",2.18,4.17,0.37,0.72,1.98,3.76,0.34,0.87,1.63,3.41,0.37,0.83,213.9,24.25,213.95,23.33
"125","07.05.2009 08:00",1.32,3.79,0.37,0.93,1.2,3.38,0.34,0.88,1.03,2.65,0.37,0.71,224.41,24.28,223.46,26.96
"126","07.05.2009 08:10",1.63,4.54,0.37,1.02,1.52,4.9,0.34,1,1.27,4.17,0.37,0.95,222.83,44.87,225.58,47.9
"127","07.05.2009 08:20",1.56,3.41,0.37,0.74,1.17,3.38,0.34,0.75,1.01,3.03,0.37,0.79,221.06,23.34,227.98,24.13
"128","07.05.2009 08:30",2.34,4.92,0.37,0.9,2.16,4.9,0.34,0.74,1.91,4.17,0.37,0.79,244.96,19.66,244.4,21.78
"129","07.05.2009 08:40",3.38,6.44,1.51,0.84,3.19,5.66,0.34,0.84,3.08,5.68,0.37,0.85,229.14,15.56,228.24,15.66
"130","07.05.2009 08:50",3.72,5.3,1.89,0.66,3.7,5.66,1.1,0.74,3.72,5.68,1.51,0.76,209.75,21.55,210.08,21.45
"131","07.05.2009 09:00",4.46,6.44,1.89,1.01,4.41,7.18,1.86,1.04,4.46,6.82,1.51,1.08,223.81,15.35,223.8,16.4
"132","07.05.2009 09:10",3.88,6.82,2.27,0.59,3.81,6.04,2.24,0.61,3.76,5.3,1.89,0.71,237.58,12.96,236.75,13.46
"133","07.05.2009 09:20",3.37,5.3,1.89,0.64,3.36,5.28,1.48,0.64,3.36,5.3,1.51,0.71,230.21,13.73,228.9,13.32
"134","07.05.2009 09:30",4.25,6.44,3.03,0.69,4.19,6.04,2.24,0.75,4.17,6.44,1.89,0.95,231.86,9.06,230.13,9.01
"135","07.05.2009 09:40",5.58,7.2,3.41,0.69,5.61,7.56,3.38,0.73,5.58,7.58,3.03,0.87,224.24,7.79,224.44,8.46
"136","07.05.2009 09:50",6.69,9.1,4.92,0.87,6.54,9.08,4.14,0.9,6.47,9.1,4.17,0.93,224.45,12.22,222.96,12.45
"137","07.05.2009 10:00",6.86,9.86,3.79,1.17,6.68,9.08,4.14,1.17,6.62,9.48,4.17,1.11,216.99,9.09,216.04,8.58
"138","07.05.2009 10:10",6.39,9.1,4.54,1,6.43,9.46,4.14,1.02,6.29,8.72,4.17,0.97,240.78,9.68,241.34,11.01
"139","07.05.2009 10:20",5.88,8.34,3.79,0.73,5.87,7.94,4.14,0.68,5.75,7.96,4.17,0.66,241,9.39,239.25,9.5
"140","07.05.2009 10:30",6.64,8.72,4.17,1.05,6.67,9.08,4.52,1.04,6.55,8.72,4.17,0.95,240.38,7.83,239.58,8.15
"141","07.05.2009 10:40",5.78,7.96,3.79,0.78,5.62,7.94,3.38,0.84,5.47,8.34,3.41,0.94,226.77,12.1,225.77,11.53
"142","07.05.2009 10:50",6.1,7.96,3.03,0.89,6.18,8.7,3.38,0.99,6.14,8.34,3.03,0.96,230.84,16.34,232.38,16.87
"143","07.05.2009 11:00",6.59,7.96,5.3,0.5,6.63,7.94,4.9,0.55,6.43,8.34,4.54,0.65,238.89,5.59,237.45,5.51
"144","07.05.2009 11:10",6.67,9.1,4.92,0.87,6.6,8.7,4.52,0.9,6.47,9.1,4.54,0.92,231.23,9.93,230.73,10.39
"145","07.05.2009 11:20",7.02,9.1,5.3,0.62,6.99,8.7,5.28,0.63,6.89,9.1,4.92,0.66,223.18,8.23,222.71,7.61
"146","07.05.2009 11:30",7.19,9.1,4.92,0.89,7.1,9.08,4.52,0.89,7,9.1,4.54,0.9,217.12,5.78,215.57,5.21
"147","07.05.2009 11:40",7.36,9.86,4.17,1.06,7.2,9.84,4.52,1.14,7.1,9.48,4.54,1.13,211.53,9.15,210.3,8.46
"148","07.05.2009 11:50",7.38,10.62,4.17,1.15,7.16,10.22,4.14,1.16,7.02,10.62,4.17,1.07,207.65,13.72,205.65,12.56
"149","07.05.2009 12:00",6.76,8.72,4.92,0.75,6.68,8.7,4.52,0.74,6.49,8.34,4.17,0.74,221.14,9.48,220.1,9.92
"150","07.05.2009 12:10",5.62,7.96,3.41,0.84,5.49,7.56,3.38,0.86,5.51,7.2,3.41,0.79,215.59,13.1,215.9,12.1
"151","07.05.2009 12:20",5.73,7.2,4.17,0.6,5.57,7.56,3.38,0.74,5.48,7.58,3.79,0.73,224.79,12.48,224.39,12.47
"152","07.05.2009 12:30",5.4,7.2,3.41,0.78,5.32,7.18,3.38,0.8,5.42,7.58,3.41,0.73,204.81,13.24,206.39,12.93
"153","07.05.2009 12:40",5.42,7.2,3.79,0.9,5.17,7.18,3.38,0.94,5.14,7.2,3.03,0.99,216.28,8.7,214.55,8.4
"154","07.05.2009 12:50",5.95,7.58,3.79,0.6,5.88,7.56,3.76,0.64,5.78,7.58,3.41,0.69,229.97,5.63,228.11,5.82
"155","07.05.2009 13:00",5.79,8.34,3.79,0.77,5.56,7.94,3.76,0.78,5.54,7.96,3.41,0.8,217.82,8.26,217.1,7.93
"156","07.05.2009 13:10",6.64,8.72,4.17,0.86,6.5,9.08,3.76,0.98,6.42,9.48,3.79,1,222.26,9.43,220.55,9.54
"157","07.05.2009 13:20",6.33,7.96,4.54,0.7,6.15,8.32,4.14,0.8,5.98,7.96,3.79,0.78,217.94,12.91,217.36,13.15
"158","07.05.2009 13:30",5.44,7.2,3.79,0.66,5.31,7.18,3.38,0.67,5.39,7.2,3.79,0.75,219.97,9.44,219.06,9.38
"159","07.05.2009 13:40",5.12,7.58,2.65,0.82,4.86,7.56,2.62,0.82,4.81,7.2,2.27,0.9,199.45,12.94,202.6,14.62
"160","07.05.2009 13:50",4.79,6.82,2.65,0.78,4.46,7.18,2.62,0.82,4.42,7.58,2.27,0.86,199.22,11.82,200.83,10.64
"161","07.05.2009 14:00",5.9,8.34,3.41,0.84,5.57,7.56,3,0.92,5.45,7.2,3.03,0.87,217.4,15.43,216.17,13.53
"162","07.05.2009 14:10",6.19,7.96,4.54,0.63,6,7.94,4.14,0.67,5.85,7.96,4.17,0.63,229.4,5.33,228.25,5.97
"163","07.05.2009 14:20",5.69,7.58,3.79,0.71,5.58,7.18,3.76,0.75,5.54,7.58,4.17,0.72,223.77,7.26,223.49,7.68
"164","07.05.2009 14:30",6.2,8.72,4.54,0.76,6.1,8.32,4.52,0.81,6.04,7.96,4.17,0.78,228.02,10.52,227.58,11.6
"165","07.05.2009 14:40",6.13,8.34,4.54,0.74,5.91,7.56,3.76,0.87,5.79,7.58,4.17,0.85,220.64,7.15,219.98,7.05
"166","07.05.2009 14:50",5.5,7.2,3.41,0.68,5.32,6.8,3,0.75,5.08,6.82,3.41,0.7,223.18,6.46,221.73,6.73
"167","07.05.2009 15:00",5.67,7.2,3.79,0.6,5.58,7.56,3.76,0.75,5.37,7.2,3.41,0.78,242.14,10.41,241.78,11.56
"168","07.05.2009 15:10",5.84,7.2,3.03,0.84,5.88,7.56,2.62,0.96,5.75,7.2,3.03,0.94,241.92,11.39,240.88,12.04
"169","07.05.2009 15:20",4.88,6.82,3.03,0.77,4.77,6.8,3,0.79,4.75,6.82,3.03,0.77,225.91,8.6,225.4,8.85
"170","07.05.2009 15:30",5.34,7.2,2.27,0.66,5.12,7.56,2.62,0.71,4.97,7.2,3.03,0.75,186.72,9.8,188.28,10.48
"171","07.05.2009 15:40",5.29,6.82,3.41,0.71,5.2,6.8,3.38,0.79,5.18,6.82,3.41,0.72,189.01,8.08,190.16,7.2
"172","07.05.2009 15:50",4.13,5.68,2.27,0.8,3.8,5.66,1.86,0.89,3.78,5.68,1.89,0.8,186.74,9.1,186.3,9.01
"173","07.05.2009 16:00",3.19,4.92,1.51,0.59,2.88,4.9,0.72,0.73,2.93,5.3,0.37,0.86,194.4,14.43,193.95,14.56
"174","07.05.2009 16:10",3.07,4.54,1.13,0.68,2.82,4.9,0.34,0.78,2.99,4.54,1.13,0.71,192.32,17.66,194.31,16.85
"175","07.05.2009 16:20",3.58,5.3,1.89,0.77,3.2,4.9,1.1,0.88,3.31,4.92,1.13,0.93,196.83,11.59,196.34,12.41
"176","07.05.2009 16:30",4.65,6.44,3.03,0.56,4.43,6.04,3,0.57,4.46,6.06,3.03,0.53,203.47,7.85,203.22,7.07
"177","07.05.2009 16:40",4.43,5.68,3.03,0.48,4.26,5.66,2.62,0.54,4.27,6.06,3.03,0.57,192.72,9.26,194.02,8.5
