"","X19.66","X21.72","X26.09","X34","X35.12","X39.22","X41.34","X43.75","X47.44","X49.34","X51.3","X55.38","X57.47","X59.04","X61.4","X70.28","X74.24","X78.97","X81.02","X85.02","X88.9","X91","X93.53","X99.44","X102.44","X104.74","X106.8","X108.69","X111","X112.88","X120.43","X124.42","X128.2","X132.43","X136.37","X141.34","X143.02","X145.16","X149.14","X151.1","X155.06","X157.14","X161.18","X163.18","X167.44","X169.47","X173.44","X175.44","X179.08","X180.97","X183.16","X187.22","X191.04","X193.12","X197.08","X198.87","X203.3","X205.21","X209.44","X213.44","X215.44","X218.44","X220.18","X224.28","X228.09","X232.36","X236.44","X240.22","X244.12","X248.42","X252.66","X258.88","X263.12","X269.2","X271.36","X272.92","X275.07","X279.18","X281.24","X285.69","X287.46","X291.54","X293.46","X295.61","X300.08","X302.17","X304.11","X306.34","X308.43","X312.43","X314.56","X316.68","X318.56","X320.31","X324.42","X326.59","X330.34","X332.3","X334.44","X336.47","X338.65","X340.58","X342.48","X344.89","X347.17","X349.05","X350.93","X353.04","X357.05","X359.44","X361.49","X363.5","X367.44"
"Bombacacidites ""pseudoannae""","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bombacacidites annae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","1","","","2","","","","","","","","","","","","","","","","","","","","1","","","","1","","1","","","","1","","1","","","","","","","","","","","1","","","","","","","","","1","2","","","","","","","","","",""
"Bombacacidites foveolatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bombacacidites nacimientoensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bombacacidites sp.","1","","","","1","","3","","","","","1","","","","1","","","","","","","","","","1","","","","","","","","1","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","1","","1","","","","","","1","1","","","2","","","","","","","","","","","","","","","","","","2","2","","1","","","1","1","","","","1"
"Botryococcus sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Camarozonosporites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chomotriletes minor","13","","","","","","","1","1","","","1","1","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","1","2","","","","","","","2","","","","","","1","","","","2","1","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chomotriletes sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cicatricosisporites sp.","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cingulatisporites ""felipe""","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Clavatisporites mutisii","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Clavatisporites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
"Clavatricolpites densiclavatus","","","","","","","","","","","","","","","","","","","1","","","","","","","2","","","","","","","1","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colombipollis tropicalis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colombipollis? sp.","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Corsinipollenites sp.","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","",""
"Crassitricolporites sp.","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ctenolophonidites lisamae","","","","","","","","","","","4","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","","1","1","48","9","","","1","2","1","","","","","","","","1","","2","4","3","6","1","","","1","","","","","1","1","","","","2","1","","","","","","6","","","","","","1","1","","3","","","","","","","","","","",""
"Ctenolophonidites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Curvimonocolpites inornatus","","","","","","19","2","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Dinocyst","","","","","","","","","","","","2","","1","","","","","","","","","","","","1","","","","","","","","","","","","1","","","8","4","1","1","","","1","","","","","","","","","","","","","","","","","","2","","1","1","","3","3","","","","","","","","","","1","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dinogymnium sp. (rew)","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diporipollis assamica","","","1","18","2","4","9","2","1","","","","","","","1","","2","4","2","","","2","","3","2","","","18","2","2","6","3","","","5","","1","","1","","","1","","","","","","","","","","1","","","","","","","","","2","1","","","1","","","3","","1","","","","","","1","13","","","","","","","","","","","","","","","4","4","","","","1","","","13","1","2","","6","7","1","10","5","44","","","1"
"Duplotriporites ariani","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Echimonocolpites protofranciscoi (rew)","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Echimonocolpites sp. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
"Echimonoletes sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Echinatisporis minutus","","","","","","","","2","1","","","1","5","","2","","","","2","","","","","","","1","","2","","","","","","","","","","","9","1","2","2","1","3","","","5","1","2","4","1","3","","","1","1","","","","","1","1","","","","","","","","3","","1","","4","2","","","","","","2","4","1","1","3","2","4","5","","","","","","","2","1","","","","","2","2","","","1","","1","","","","","",""
"Echinatisporites? sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Echiperiporites? sp.","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Echipollenites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"Echistephanoporites inciertus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","3","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","1"
"Echitricolporites? sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Echitriletes ""tuberosus""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"Echitriletes sp.","4","2","2","","","","2","1","","","","1","1","1","","","","","1","","","","2","","","4","","2","2","","4","","2","","4","","","2","10","","","1","1","","","","4","1","1","1","","1","","","","1","","","","1","","2","2","1","1","2","","","1","","","","","6","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","5","","1","","1","","2","","","","",""
"Echitriporites sp.","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Echitriporites suescae","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Echitriporites trianguliformis","","","","","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Echitriporites trianguliformis orbicularis","","","","","","","","","","","","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","1","2","","","","","","","1","","","","","1","1","","","","","","1","1","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ephedripites spp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ephedripites vanegensis","","","","","","18","2","1","","","","2","1","","3","","","","4","","","1","1","","","1","","2","2","","3","2","4","8","","1","","","","1","1","","","2","","","","","","","","","","","1","","1","","","","","","1","","1","","","","","1","","","","","","","","","2","","1","1","","","","","3","","","","","","","","","","","1","","","2","","","3","1","","","","3","","","","4"
"Ericipites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","",""
"Escolecodontes","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foram lining","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foveotricolpites perforatus","2","","","","","","","","","","","","","","","","","","1","","1","","1","","","","","","1","","","","","1","","1","","1","","","1","","3","","","","2","","1","","","","","","","","","","","","1","","","","","","","","1","","1","1","","","","2","","2","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","",""
"Foveotricolpites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foveotricolporites brevicolpatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foveotricolporites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
"Foveotriletes ""microfoveolatus""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foveotriletes concavoides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foveotriletes margaritae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foveotriletes ornatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foveotriletes sp.  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"Foveotriporites sp.","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
"Fungal spores","72","16","100","240","209","182","178","163","135","4","32","104","105","104","77","100","115","95","101","38","135","78","126","3","32","138","11","139","172","197","178","230","139","84","131","90","","85","145","28","82","74","106","65","3","9","34","31","20","36","28","54","116","42","31","56","73","13","9","48","59","103","124","84","20","26","19","14","130","60","66","81","3","135","24","9","12","202","37","72","42","21","6","11","15","18","19","21","2","4","9","3","179","139","5","5","1","11","83","22","23","46","56","9","122","94","8","79","37","127","14","5","67"
"Gemmamonocolpites aff. ovatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gemmamonocolpites dispersus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gemmamonocolpites gemmatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gemmamonocolpites sp.","","","","","","","1","1","","","","1","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gemmapollenites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gemmastephanocolpites gemmatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gemmatriletes sp.","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Horniella lunarensis","","","","","","","1","1","","","","1","","","","2","","","2","","","","","","","","","","","","2","","2","2","1","","","","3","1","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Horniella sp.","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ischyosporites problematicus","1","","","","1","","8","","","","","","","","","","","","","","","","","","","1","","","1","","2","","","","2","3","","2","19","","","1","","","","","","","1","1","","","","","","","","","","","","3","4","","1","","","","","","","","","19","","","","","","","","","","","","","","","","","","","","","","","","5","","","","4","1","","","25","1","4","2","","","1","6"
"Ladakhipollenites ""felipei""","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Laevigatosporites granulatus","","","","1","","","","","","","","1","","1","","","","","6","","","","","","","","","","","","2","2","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","4"
"Laevigatosporites tibuensis","","","","","","","5","","","1","","3","2","1","","","1","1","7","","","","3","","","3","","13","2","","11","","2","4","15","2","","3","21","","4","1","5","1","","","1","2","","4","1","2","1","","","1","","","","2","","9","10","","2","1","1","","1","2","2","4","","21","2","1","","1","","4","1","2","","1","1","","","","","","","","","","1","1","","","","","2","7","1","","3","7","","3","2","","","","4"
"Laevigatosporites? ""spongy""","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Leiosphaeridia sp.","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longapertites aff. sp. 1 (J. & D.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longapertites aff. vaneendenburgi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longapertites marginatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longapertites microfoveolatus","","","","","","","","","","","","","2","","","","","","","","","","","","2","","1","","2","","","","","1","","","","","","","","","2","","","","","5","","1","","2","","","","","","","","","","","","1","","","","","","","","","","1","","","","1","","1","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Longapertites perforatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longapertites proxapertitoides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longapertites proxapertitoides var reticuloides","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longapertites proxapertitoides var. proxapertitoides","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longapertites spp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longapertites vaneendenburgii","","1","","1","1","","","","","","","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Magnotetradites magnus","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Margocolporites ""reticulatus""","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Margocolporites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
