"","word","freq"
"low","low",3
"lower","lower",3
"lowered","lowered",3
"made","made",3
"main","main",3
"march","march",3
"mckiernan","mckiernan",3
"measures","measures",3
"mizrahi","mizrahi",3
"moves","moves",3
"much","much",3
"named","named",3
"next","next",3
"officials","officials",3
"plant","plant",3
"position","position",3
"president","president",3
"pressure","pressure",3
"producer","producer",3
"projected","projected",3
"published","published",3
"real","real",3
"refinery","refinery",3
"reiterated","reiterated",3
"remain","remain",3
"rule","rule",3
"say","say",3
"sector","sector",3
"several","several",3
"sharp","sharp",3
"ship","ship",3
"six","six",3
"slightly","slightly",3
"smaller","smaller",3
"spokeswoman","spokeswoman",3
"state","state",3
"sweet","sweet",3
"texaco","texaco",3
"three","three",3
"trading","trading",3
"two","two",3
"weeks","weeks",3
"york","york",3
"1518","1518",2
"198687","198687",2
"20s","20s",2
"285000","285000",2
"500","500",2
"725","725",2
"750","750",2
"948000","948000",2
"activity","activity",2
"adhering","adhering",2
"agriculture","agriculture",2
"along","along",2
"apparently","apparently",2
"appeared","appeared",2
"approved","approved",2
"architect","architect",2
"areas","areas",2
"aspen","aspen",2
"bankers","bankers",2
"based","based",2
"benchmark","benchmark",2
"benefits","benefits",2
"canada","canada",2
"canadian","canadian",2
"cash","cash",2
"changed","changed",2
"changes","changes",2
"circumstance","circumstance",2
"clearly","clearly",2
"closed","closed",2
"coast","coast",2
"come","come",2
"committee","committee",2
"commodity","commodity",2
"consumption","consumption",2
"countries","countries",2
"country","country",2
"crossroads","crossroads",2
"crucial","crucial",2
"cubic","cubic",2
"currently","currently",2
"customers","customers",2
"deal","deal",2
"decembers","decembers",2
"decline","decline",2
"deficit","deficit",2
"deposits","deposits",2
"deputy","deputy",2
"diamond","diamond",2
"differentials","differentials",2
"difficulties","difficulties",2
"direction","direction",2
"discounted","discounted",2
"dlr","dlr",2
"early","early",2
"ecuador","ecuador",2
"effect","effect",2
"embargo","embargo",2
"embassy","embassy",2
"entering","entering",2
"even","even",2
"falling","falling",2
"feb","feb",2
"first","first",2
"fiscal","fiscal",2
"fiscales","fiscales",2
"forced","forced",2
"fully","fully",2
"gcc","gcc",2
"general","general",2
"given","given",2
"grades","grades",2
"halt","halt",2
"hit","hit",2
"hope","hope",2
"humanistic","humanistic",2
"impact","impact",2
"import","import",2
"increased","increased",2
"increasing","increasing",2
"instead","instead",2
"institute","institute",2
"interview","interview",2
"investment","investment",2
"jersey","jersey",2
"june","june",2
"keep","keep",2
"late","late",2
"light","light",2
"limit","limit",2
"limits","limits",2
"line","line",2
"lost","lost",2
"louisiana","louisiana",2
"lowest","lowest",2
"major","major",2
"marketing","marketing",2
"member","member",2
"mid","mid",2
"million","million",2
"ministers","ministers",2
"mitigate","mitigate",2
"months","months",2
"nearing","nearing",2
"net","net",2
"neutral","neutral",2
"none","none",2
"nuclear","nuclear",2
"organisation","organisation",2
"organization","organization",2
"outlook","outlook",2
"overseas","overseas",2
"pact","pact",2
"pay","pay",2
"petroliferos","petroliferos",2
"planned","planned",2
"port","port",2
"positive","positive",2
"postings","postings",2
"predicted","predicted",2
"press","press",2
"pricing","pricing",2
"private","private",2
"probably","probably",2
"problems","problems",2
"pronounced","pronounced",2
"protected","protected",2
"public","public",2
"put","put",2
"quotes","quotes",2
"raise","raise",2
"rate","rate",2
"reduction","reduction",2
"referring","referring",2
"remarks","remarks",2
"reports","reports",2
"return","return",2
"review","review",2
"risks","risks",2
"riyal","riyal",2
"selfimposed","selfimposed",2
"selling","selling",2
"share","share",2
"shortfall","shortfall",2
"spot","spot",2
"steady","steady",2
"stick","stick",2
"strongly","strongly",2
"studies","studies",2
"support","support",2
"take","take",2
"taken","taken",2
"techniques","techniques",2
"throughput","throughput",2
"trade","trade",2
"trust","trust",2
"trying","trying",2
"uncertainty","uncertainty",2
"union","union",2
"value","value",2
"wam","wam",2
"wanted","wanted",2
"weakness","weakness",2
"winter","winter",2
"yacimientos","yacimientos",2
"yanbu","yanbu",2
"zero","zero",2
"zone","zone",2
"100000","100000",1
"108","108",1
"111","111",1
"115","115",1
"12217","12217",1
"1232","1232",1
"1381","1381",1
"13member","13member",1
"156","156",1
"1600","1600",1
"1635","1635",1
"1650","1650",1
"1667","1667",1
"168","168",1
"1685","1685",1
"1752","1752",1
"180000","180000",1
"200000","200000",1
"200foot","200foot",1
"2226","2226",1
"24hour","24hour",1
"2766","2766",1
"300","300",1
"3749598","3749598",1
"3750003","3750003",1
"4133","4133",1
"534","534",1
"5472","5472",1
"614","614",1
"658","658",1
"6745","6745",1
"678","678",1
"718","718",1
"738","738",1
"able","able",1
"abroad","abroad",1
"accept","accept",1
"across","across",1
"add","add",1
"addressed","addressed",1
"adherence","adherence",1
"advantage","advantage",1
"advisers","advisers",1
"after","after",1
"agricultural","agricultural",1
"aground","aground",1
"allocated","allocated",1
"allocations","allocations",1
"allow","allow",1
"almost","almost",1
"already","already",1
"althani","althani",1
"although","although",1
"alvite","alvite",1
"amidst","amidst",1
"analysis","analysis",1
"analyst","analyst",1
"annual","annual",1
"anything","anything",1
"apparent","apparent",1
"aramco","aramco",1
"argentine","argentine",1
"arrangement","arrangement",1
"asia","asia",1
"asian","asian",1
"assesses","assesses",1
"assign","assign",1
"assigned","assigned",1
"associates","associates",1
"attract","attract",1
"available","available",1
"averaging","averaging",1
"aware","aware",1
"bahrain","bahrain",1
"bahrains","bahrains",1
"balance","balance",1
"baseless","baseless",1
"basic","basic",1
"basis","basis",1
"because","because",1
"beginning","beginning",1
"bijan","bijan",1
"bin","bin",1
"bit","bit",1
"bodys","bodys",1
"briefly","briefly",1
"broadened","broadened",1
"brothers","brothers",1
"buildings","buildings",1
"burden","burden",1
"buy","buy",1
"buyer","buyer",1
"calendar","calendar",1
"cambridge","cambridge",1
"capacity","capacity",1
"capozza","capozza",1
"carrying","carrying",1
"center","center",1
"century","century",1
"cera","cera",1
"certain","certain",1
"cftc","cftc",1
"chairman","chairman",1
"challenge","challenge",1
"characterized","characterized",1
"charging","charging",1
"cheap","cheap",1
"cheating","cheating",1
"chevron","chevron",1
"chv","chv",1
"cited","cited",1
"citing","citing",1
"clever","clever",1
"close","close",1
"closer","closer",1
"closes","closes",1
"coming","coming",1
"commission","commission",1
"communications","communications",1
"companys","companys",1
"completed","completed",1
"complex","complex",1
"condition","condition",1
"conditions","conditions",1
"considered","considered",1
"construction","construction",1
"contacts","contacts",1
"continuation","continuation",1
"continue","continue",1
"continued","continued",1
"continues","continues",1
"contracted","contracted",1
"contributed","contributed",1
"control","control",1
"cooperation","cooperation",1
"coordination","coordination",1
"copany","copany",1
"corps","corps",1
"council","council",1
"counter","counter",1
"coupled","coupled",1
"covered","covered",1
"creek","creek",1
"critical","critical",1
"cts","cts",1
"currency","currency",1
"custom","custom",1
"cuts","cuts",1
"cutting","cutting",1
"cypriot","cypriot",1
"daniel","daniel",1
"david","david",1
"days","days",1
"debtburdened","debtburdened",1
"debut","debut",1
"decided","decided",1
"declared","declared",1
"declines","declines",1
"deemed","deemed",1
"defence","defence",1
"delaware","delaware",1
"delivered","delivered",1
"delivering","delivering",1
"departments","departments",1
"deregulate","deregulate",1
"deregulation","deregulation",1
"determination","determination",1
"devalue","devalue",1
"device","device",1
"differential","differential",1
"difficulty","difficulty",1
"dillard","dillard",1
"director","director",1
"discuss","discuss",1
"discussing","discussing",1
"distribution","distribution",1
"distributions","distributions",1
"divided","divided",1
"doha","doha",1
"dollar","dollar",1
"drawbacks","drawbacks",1
"drop","drop",1
"dropped","dropped",1
"earlier","earlier",1
"earnings","earnings",1
"eastern","eastern",1
"easy","easy",1
"ecuadors","ecuadors",1
"editor","editor",1
"edmontonswann","edmontonswann",1
"education","education",1
"eight","eight",1
"either","either",1
"elaborate","elaborate",1
"elections","elections",1
"electricity","electricity",1
"end","end",1
"engineers","engineers",1
"entitlements","entitlements",1
"environment","environment",1
"equally","equally",1
"estimated","estimated",1
"european","european",1
"exceed","exceed",1
"exceeding","exceeding",1
"excess","excess",1
"excesses","excesses",1
"excessive","excessive",1
"exerted","exerted",1
"exist","exist",1
"expanded","expanded",1
"expansion","expansion",1
"expartners","expartners",1
"expectations","expectations",1
"expects","expects",1
"explained","explained",1
"exporting","exporting",1
"exxon","exxon",1
"face","face",1
"faced","faced",1
"faces","faces",1
"facilities","facilities",1
"facing","facing",1
"failed","failed",1
"fallen","fallen",1
"favours","favours",1
"fee","fee",1
"fernando","fernando",1
"figure","figure",1
"figures","figures",1
"finance","finance",1
"firmer","firmer",1
"floating","floating",1
"followed","followed",1
"for","for",1
"forces","forces",1
"foremost","foremost",1
"fourth","fourth",1
"frank","frank",1
"full","full",1
"fundamentals","fundamentals",1
"gas","gas",1
"generally","generally",1
"geneva","geneva",1
"get","get",1
"globalization","globalization",1
"glut","glut",1
"guaranteed","guaranteed",1
"halting","halting",1
"harvard","harvard",1
"heads","heads",1
"health","health",1
"hedge","hedge",1
"hedged","hedged",1
"helped","helped",1
"hemisphere","hemisphere",1
"highly","highly",1
"hills","hills",1
"hitting","hitting",1
"hoped","hoped",1
"housing","housing",1
"houston","houston",1
"immediately","immediately",1
"implementation","implementation",1
"improve","improve",1
"improvement","improvement",1
"include","include",1
"including","including",1
"independent","independent",1
"indications","indications",1
"initiate","initiate",1
"initiative","initiative",1
"institutions","institutions",1
"interbank","interbank",1
"interest","interest",1
"investments","investments",1
"issue","issue",1
"jamaica","jamaica",1
"jan","jan",1
"juaymah","juaymah",1
"jubail","jubail",1
"jump","jump",1
"just","just",1
"khalifa","khalifa",1
"lack","lack",1
"largest","largest",1
"later","later",1
"latest","latest",1
"launched","launched",1
"lead","lead",1
"leading","leading",1
"learn","learn",1
"least","least",1
"lending","lending",1
"less","less",1
"lesson","lesson",1
"level","level",1
"liberalised","liberalised",1
"lift","lift",1
"liftings","liftings",1
"like","like",1
"lines","lines",1
"liquidity","liquidity",1
"little","little",1
"loan","loan",1
"lodged","lodged",1
"longterm","longterm",1
"ltd","ltd",1
"lukman","lukman",1
"lull","lull",1
"maintain","maintain",1
"make","make",1
"manager","manager",1
"manipulate","manipulate",1
"many","many",1
"marathon","marathon",1
"marathons","marathons",1
"marker","marker",1
"mcfadden","mcfadden",1
"means","means",1
"mercantile","mercantile",1
"metrers","metrers",1
"metres","metres",1
"mid1960s","mid1960s",1
"mid1986","mid1986",1
"mideast","mideast",1
"minus","minus",1
"mlotok","mlotok",1
"mob","mob",1
"mobil","mobil",1
"momentum","momentum",1
"money","money",1
"monopolies","monopolies",1
"monthend","monthend",1
"moussavarrahmani","moussavarrahmani",1
"movement","movement",1
"nation","nation",1
"natural","natural",1
"need","need",1
"needs","needs",1
"negative","negative",1
"negotiate","negotiate",1
"neither","neither",1
"network","network",1
"news","news",1
"newspaper","newspaper",1
"nigerian","nigerian",1
"nine","nine",1
"nonoil","nonoil",1
"northern","northern",1
"notes","notes",1
"offset","offset",1
"onetwelfth","onetwelfth",1
"oneweek","oneweek",1
"open","open",1
"opens","opens",1
"operations","operations",1
"opposite","opposite",1
"optimism","optimism",1
"optimistic","optimistic",1
"option","option",1
"order","order",1
"organiaation","organiaation",1
"our","our",1
"outlining","outlining",1
"outside","outside",1
"overproducing","overproducing",1
"part","part",1
"parties","parties",1
"partly","partly",1
"party","party",1
"past","past",1
"paths","paths",1
"paul","paul",1
"paulsboro","paulsboro",1
"payments","payments",1
"pegged","pegged",1
"performance","performance",1
"period","period",1
"pertains","pertains",1
"pessimistic","pessimistic",1
"philadelphia","philadelphia",1
"physical","physical",1
"placed","placed",1
"plastics","plastics",1
"platinum","platinum",1
"point","point",1
"policies","policies",1
"political","political",1
"population","population",1
"positions","positions",1
"postponed","postponed",1
"pressures","pressures",1
"previous","previous",1
"primarily","primarily",1
"primary","primary",1
"principal","principal",1
"procedure","procedure",1
"produce","produce",1
"produced","produced",1
"producers","producers",1
"product","product",1
"products","products",1
"program","program",1
"projection","projection",1
"projects","projects",1
"prompted","prompted",1
"proposed","proposed",1
"proved","proved",1
"providing","providing",1
"provision","provision",1
"publish","publish",1
"purposes","purposes",1
"quarter","quarter",1
"quiet","quiet",1
"quietly","quietly",1
"quotas","quotas",1
"rallied","rallied",1
"ran","ran",1
"ranging","ranging",1
"ras","ras",1
"rates","rates",1
"rationalise","rationalise",1
"readdress","readdress",1
"reaffirmed","reaffirmed",1
"reasonable","reasonable",1
"recommending","recommending",1
"recovering","recovering",1
"recurrent","recurrent",1
"reference","reference",1
"refineries","refineries",1
"refining","refining",1
"reflect","reflect",1
"refloat","refloat",1
"reform","reform",1
"reforms","reforms",1
"regain","regain",1
"regard","regard",1
"regarding","regarding",1
"region","region",1
"regional","regional",1
"reiterate","reiterate",1
"relaxation","relaxation",1
"relieve","relieve",1
"reluctant","reluctant",1
"remainder","remainder",1
"remained","remained",1
"reported","reported",1
"request","request",1
"resistance","resistance",1
"resisting","resisting",1
"resources","resources",1
"respectively","respectively",1
"responsibilites","responsibilites",1
"restored","restored",1
"restraint","restraint",1
"restrictions","restrictions",1
"result","result",1
"reuters","reuters",1
"revealed","revealed",1
"reviews","reviews",1
"right","right",1
"rilwanu","rilwanu",1
"rising","rising",1
"river","river",1
"rocks","rocks",1
"rosemary","rosemary",1
"rumour","rumour",1
"rushing","rushing",1
"sales","sales",1
"salomon","salomon",1
"santos","santos",1
"satisfied","satisfied",1
"saw","saw",1
"scheduled","scheduled",1
"scheme","scheme",1
"seapride","seapride",1
"season","season",1
"secretary","secretary",1
"security","security",1
"seeing","seeing",1
"seek","seek",1
"september","september",1
"series","series",1
"serve","serve",1
"services","services",1
"session","session",1
"sets","sets",1
"seven","seven",1
"severely","severely",1
"shamrock","shamrock",1
"sharply","sharply",1
"shoulder","shoulder",1
"show","show",1
"showed","showed",1
"shown","shown",1
"signed","signed",1
"signs","signs",1
"situation","situation",1
"sixmonth","sixmonth",1
"slackens","slackens",1
"slide","slide",1
"slump","slump",1
"social","social",1
"sold","sold",1
"soon","soon",1
"sort","sort",1
"sour","sour",1
"south","south",1
"southeast","southeast",1
"spend","spend",1
"spill","spill",1
"spoke","spoke",1
"spokesman","spokesman",1
"spotnext","spotnext",1
"spriggs","spriggs",1
"stabilise","stabilise",1
"stabilize","stabilize",1
"stable","stable",1
"start","start",1
"statement","statement",1
"steel","steel",1
"steering","steering",1
"steps","steps",1
"stiff","stiff",1
"storage","storage",1
"strong","strong",1
"subsequently","subsequently",1
"substitution","substitution",1
"succeed","succeed",1
"suffer","suffer",1
"suffering","suffering",1
"suhartos","suhartos",1
"sunday","sunday",1
"sundays","sundays",1
"supply","supply",1
"supporting","supporting",1
"suppose","suppose",1
"surrounding","surrounding",1
"swift","swift",1
"talks","talks",1
"tanker","tanker",1
"tanurah","tanurah",1
"tapers","tapers",1
"teach","teach",1
"telephone","telephone",1
"terminals","terminals",1
"test","test",1
"there","there",1
"third","third",1
"thomas","thomas",1
"though","though",1
"thought","thought",1
"threemonth","threemonth",1
"tide","tide",1
"together","together",1
"told","told",1
"totalled","totalled",1
"tower","tower",1
"trader","trader",1
"trades","trades",1
"traditional","traditional",1
"traditionally","traditionally",1
"transacted","transacted",1
"transmission","transmission",1
"transport","transport",1
"trends","trends",1
"trusts","trusts",1
"try","try",1
"turmoil","turmoil",1
"twofold","twofold",1
"uae","uae",1
"uncertain","uncertain",1
"unchanged","unchanged",1
"under","under",1
"unions","unions",1
"unitholders","unitholders",1
"universitys","universitys",1
"unlikely","unlikely",1
"unocal","unocal",1
"unusually","unusually",1
"urged","urged",1
"use","use",1
"virtual","virtual",1
"wants","wants",1
"water","water",1
"wealth","wealth",1
"wednesday","wednesday",1
"weekend","weekend",1
"welcomed","welcomed",1
"when","when",1
"whether","whether",1
"wishes","wishes",1
"worldwide","worldwide",1
"xon","xon",1
"yergin","yergin",1
"yesterdays","yesterdays",1
