"","r","n","s","m"
"247",84,251,24,85
"248",66,204,15,63
"249",25,95,18,52
"250",27,157,9,47
"251",40,410,13,125
"252",97,470,28,130
"253",57,420,15,133
"254",31,130,18,72
"255",41,199,16,60
"256",67,380,46,211
"257",85,383,39,160
"258",70,298,16,104
"259",72,236,19,72
"260",37,123,14,58
"261",51,260,16,72
"262",25,133,13,63
"263",15,76,5,23
"264",12,76,4,28
"265",39,219,6,65
"266",22,93,12,47
"267",9,59,1,32
"268",25,134,6,41
"269",40,156,17,46
"270",55,369,19,133
"271",55,312,20,133
"272",39,149,13,59
"273",36,92,6,32
"274",26,105,10,50
"275",121,461,31,117
"276",31,409,9,107
"277",31,309,12,109
"278",44,188,14,64
"279",55,442,23,178
"280",53,305,13,100
"281",49,334,14,109
"282",12,175,9,48
"283",33,301,12,90
"284",8,104,2,40
"285",21,98,5,32
"286",63,279,20,72
"287",74,304,29,95
"288",58,353,20,105
"289",59,370,23,128
"290",17,119,7,42
"291",31,286,11,83
"292",103,367,40,130
"293",28,112,4,33
"294",73,354,24,113
"295",43,204,18,67
"296",43,440,17,127
"297",62,449,16,153
"298",40,449,12,152
"299",65,349,27,159
"300",98,354,52,152
"301",39,168,24,80
"302",83,321,35,129
"303",12,101,8,37
"304",29,203,9,55
"305",17,140,6,52
"306",58,271,25,122
"307",33,153,8,51
"308",43,150,12,54
"309",31,124,6,53
"310",11,85,3,25
"311",30,135,11,55
"312",19,69,8,25
"313",34,122,12,39
"314",29,128,15,46
"315",12,60,9,31
"316",32,96,11,25
"317",35,404,17,120
"318",39,499,6,141
"319",61,444,19,174
"320",84,370,37,182
"321",43,345,13,119
"322",37,206,14,87
"323",32,272,13,120
"324",5,69,3,26
"325",65,371,29,122
"326",23,183,8,41
"327",104,381,25,148
"328",28,135,9,54
"329",13,140,6,53
"330",47,380,13,99
"331",44,283,23,123
"332",13,76,11,45
"333",44,265,17,87
"334",25,109,9,49
"335",14,69,8,26
"336",61,530,9,155
"337",93,378,30,142
"338",79,424,35,168
"339",37,409,12,140
"340",70,367,16,120
"341",68,442,19,160
"342",34,325,7,94
"343",38,137,12,36
"344",19,103,12,50
"345",40,160,21,51
"346",23,84,10,30
"347",13,62,8,28
"348",31,153,10,44
"349",27,137,2,27
"350",30,107,4,36
"351",27,269,12,82
"352",13,94,4,21
"353",36,231,15,71
"354",26,151,12,46
"355",25,189,15,82
"356",97,353,36,128
"357",60,456,20,151
"358",47,425,15,129
"359",93,462,35,150
"360",127,506,41,131
"361",22,108,7,32
"362",22,121,4,28
"363",45,342,19,126
"364",17,85,5,21
"365",42,294,10,83
"366",85,527,20,120
"367",73,370,15,111
"368",110,443,42,180
"369",90,438,38,147
"370",71,279,29,115
"371",33,162,15,69
"372",33,262,15,95
"373",22,159,10,63
"374",50,190,20,63
"375",85,296,34,98
"376",46,226,28,98
"377",22,75,9,27
"378",72,522,22,123
"379",32,284,7,81
"380",78,390,23,160
"381",91,413,40,162
"382",29,287,17,133
"383",42,329,14,80
"384",40,308,16,105
"385",39,189,24,92
"386",13,109,6,26
"387",29,118,9,48
"388",63,216,22,76
"389",48,134,14,36
"390",56,525,17,140
"391",30,393,9,123
"392",94,425,22,156
"393",95,355,49,157
"394",93,315,37,139
"395",53,395,22,145
"396",42,342,27,139
"397",50,280,18,69
"398",31,176,9,94
"399",37,148,7,32
"400",58,218,22,84
"401",19,127,2,40
"402",30,468,11,111
"403",52,514,19,150
"404",89,370,25,129
"405",121,418,48,146
"406",95,302,34,119
"407",35,413,17,142
"408",72,297,20,93
"409",28,149,8,36
"410",29,168,10,67
"411",50,285,20,104
"412",58,251,20,77
"413",14,87,8,29
"414",46,212,18,77
"415",12,56,13,41
"416",64,191,14,39
"417",22,146,5,34
"418",24,77,7,30
"419",16,99,1,14
"420",33,124,14,53
"421",33,216,12,80
"422",14,123,9,40
"423",58,363,38,188
"424",28,97,10,33
"425",28,98,5,41
"426",21,68,9,28
"427",19,128,9,37
"428",26,84,8,22
"429",40,193,20,84
"430",27,215,5,47
"431",28,199,12,67
"432",22,104,7,28
"433",19,94,12,39
"434",6,95,1,22
"435",16,89,4,20
"436",10,64,11,27
"437",46,120,22,40
"438",58,173,13,44
